Probe Identification	Gene Symbol	SAM Score	Fold Change	Genes More Highly Expressed in Bone	FDR (%)	~PAM	Gene Title
210272_at	CYP2B6	-2.58	1.8		4.4		Cytochrome P450, family 2, subfamily B, polypeptide 6
205597_at	C6orf29	-2.56	1.7		4.4		Chromosome 6 open reading frame 29
221946_at	C9orf116	-2.5	1.9		4.4		Chromosome 9 open reading frame 116
210297_s_at	MSMB	-2.49	3		4.4		Microseminoprotein beta
204014_at	DUSP4	-2.48	1.9		4.4		Dual specificity phosphatase 4
204379_s_at	FGFR3	-2.47	1.8		4.4		Fibroblast growth factor receptor 3
205014_at	FGFBP1	3.66	1.9		1.9		Fibroblast growth factor binding protein 1
209406_at	BAG2	3.65	1.8		1.9		BCL2-associated athanogene 2
210655_s_at	FOXO3A	3.56	2.6		1.9	Yes	Forkhead box O3A
220559_at	EN1	3.53	2.5		1.9		Engrailed homolog
1209800_at	KRT16	3.46	12.7		1.9		Keratin 16
209373_at	BENE	3.39	1.9		1.9		BENE protein
214595_at	KCNG1	3.33	3.4		1.9		Potassium voltage-gated channel, subfamily G, member 1
216365_x_at	IGLC2  /  IGLJ3	3.28	2.7		1.9		Immunoglobulin lambda constant 2 / Immunoglobulin lambda joining 3
206125_s_at	KLK8	3.22	1.8		1.9		Kallikrein 8
211637_x_at	NA	3.22	2.4		1.9		Immunoglobulin heavy chain V region (Humha448) / similar to Ig heavy-chain V-I region HG3 precursor
209126_x_at	KRT6B	3.2	2.5		1.9	Yes	Keratin 6B
219480_at	SNAI1	3.15	1.8		3.3		Snail homolog 1
205347_s_at	TMSNB	3.1	2.3		3.3		Thymosin, beta, identified in neuroblastoma cells
210683_at	NRTN	3.02	2.7		3.3	Yes	Neurturin
1438_at	EPHB3	2.99	2		3.3	Yes	EPH receptor B3
217294_s_at	ENO1	2.87	2.3		4.4	Yes	Enolase 1
215223_s_at	SOD2	2.86	1.9		4.4		Superoxide dismutase 2, mitochondrial
211908_x_at	IGHG1	2.85	1.9		4.4		Ig heavy constant gamma 1 (G1m marker)
222242_s_at	KLK5	2.8	2.2		4.4		Kallikrein 5
206391_at	RARRES1	2.79	2.2		4.4		Retinoic acid receptor responder 1
219415_at	TTYH1	2.78	5		4.4		Tweety homolog 1
209772_s_at	CD24	2.78	2.1		4.4		CD24 antigen
217281_x_at	MGC27165 / IGHG1	2.77	2.1		4.4		Hypothetical protein MGC27165 / immunoglobulin heavy constant gamma 1 (G1m marker)
204855_at	SERPINB5	2.75	2.5		4.4		Serine (or cysteine) proteinase inhibitor, clade B member 5
201387_s_at	UCHL1	2.73	2.6		4.4		Ubiquitin carboxyl-terminal esterase L1
220425_x_at	ROPN1	2.73	2.6		4.4		Ropporin, rhophilin-associated protein 1
218484_at	LOC56901	2.72	2.4		4.4		NADH:ubiquinone oxidoreductase MLRQ subunit homolog
215177_s_at	ITGA6	2.7	1.9		4.4		Integrin, alpha 6
209372_x_at	TUBB / MGC8685	2.7	2.1		4.4		Tubulin, beta polypeptide
202316_x_at	UBE4B	2.67	1.9		4.4		Ubiquitination factor E4B
211641_x_at	IGHM	2.67	2		4.4		Immunoglobulin heavy chain VH3 (H11)
217404_s_at	COL2A1	2.65	4.4		4.4		Collagen, type II, alpha 1
203126_at	IMPA2	2.65	1.9		4.4		Inositol(myo)�1(or 4)-monophosphatase 2
221986_s_at	DRE1	2.64	1.8		4.4		DRE1 protein
205778_at	KLK7	2.64	4		4.4		Kallikrein 7
202134_s_at	TAZ	2.6	2		4.4		Transcriptional coactivator with PDZ-binding motif
212065_s_at	USP34	2.6	1.8		4.4		Ubiquitin specific protease 34
201952_at	NA					Yes
202987_at	C6ORF4					Yes	Chromosome 6 open reading frame 4
218489_s_at	ALAD					Yes	Aminolevulinate, delta-, dehydratase
213606_s_at	ARHGDIA					Yes	Rho GDP dissociation inhibitor alpha
201679_at	ARS2					Yes	Arsenate resistance protein
217528_at	CLCA2					Yes	Chloride channel, calcium activated, family member 2
205830_at	CLGN					Yes	Calmegin
220363_s_at	ELMO2					Yes	Engulfment and cell motility 2 (ced-12 homolog, C. elegans)
220622_at	LRRC31					Yes	Leucine rich repeat containing 31
202601_s_at	HTATSF1					Yes	HIV TAT-specific factor 1
206638_at	HTR2B					Yes	5-Hydroxytryptamine (serotonin) receptor 2B
218211_s_at	MLPH					Yes	Melanophilin
218985_at	SLC2A8					Yes	Solute carrier family 2, member 8
209278_s_at	TFPI2					Yes	Tissue factor pathway inhibitor 2
