Probe set	Influence	SD	z-score	DMFS	Gene Symbol	Gene Title	Function
215050_x_at	47.49	13.74	3.46	+	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	Protein amino acid phosphorylation
208875_s_at	10.32	3.05	3.39	+	PAK2	p21 (CDKN1A)-activated kinase 2	Protein amino acid phosphorylation
216711_s_at	12.5	3.71	3.37	+	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor	Protein amino acid phosphorylation
203131_at	24.32	7.64	3.18	-	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	Protein amino acid phosphorylation
214683_s_at	32.74	10.72	3.05	-	CLK1	CDC-like kinase 1	Protein amino acid phosphorylation
201401_s_at	103.31	33.85	3.05	+	ADRBK1	adrenergic, beta, receptor kinase 1	Protein amino acid phosphorylation
203552_at	12.54	4.52	2.77	-	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	Protein amino acid phosphorylation
205880_at	6.18	2.31	2.68	-	PRKD1	protein kinase D1	Protein amino acid phosphorylation
200604_s_at	20.81	8.27	2.52	+	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha	Protein amino acid phosphorylation
207239_s_at	19.06	7.73	2.47	+	PCTK1	PCTAIRE protein kinase 1	Protein amino acid phosphorylation
214007_s_at	60.27	24.46	2.46	+	PTK9	PTK9 protein tyrosine kinase 9	Protein amino acid phosphorylation
212530_at	8.39	3.43	2.45	-	NEK7	NIMA (never in mitosis gene a)-related kinase 7	Protein amino acid phosphorylation
212740_at	5.21	2.15	2.43	-	PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4, p150	Protein amino acid phosphorylation
215296_at	42.64	17.82	2.39	-	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	Protein amino acid phosphorylation
201461_s_at	20.08	8.57	2.34	+	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	Protein amino acid phosphorylation
204396_s_at	13.51	5.78	2.34	-	GRK5	G protein-coupled receptor kinase 5	Protein amino acid phosphorylation
207667_s_at	14.58	6.35	2.3	+	MAP2K3	mitogen-activated protein kinase kinase 3	Protein amino acid phosphorylation
202127_at	10.85	4.86	2.23	-	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	Protein amino acid phosphorylation
59644_at	9.95	4.5	2.21	-	BMP2K	BMP2 inducible kinase	Protein amino acid phosphorylation
207228_at	15.38	6.96	2.21	+	PRKACG	protein kinase, cAMP-dependent, catalytic, gamma	Protein amino acid phosphorylation
213490_s_at	43.56	20.23	2.15	+	MAP2K2	mitogen-activated protein kinase kinase 2	Protein amino acid phosphorylation
211599_x_at	8.19	3.83	2.14	+	MET	met proto-oncogene (hepatocyte growth factor receptor)	Protein amino acid phosphorylation
211208_s_at	7.35	3.44	2.14	+	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	Protein amino acid phosphorylation
205578_at	20.67	9.69	2.13	-	ROR2	receptor tyrosine kinase-like orphan receptor 2	Protein amino acid phosphorylation
204813_at	6.64	3.3	2.01	+	MAPK10	mitogen-activated protein kinase 10	Protein amino acid phosphorylation
208824_x_at	12.76	6.35	2.01	+	PCTK1	PCTAIRE protein kinase 1	Protein amino acid phosphorylation
212724_at	22.05	6.48	3.4	-	RND3	Rho family GTPase 3	Cell adhesion
209210_s_at	26.72	8.13	3.28	-	PLEKHC1	pleckstrin homology domain containing, family C member 1	Cell adhesion
202363_at	24.96	7.95	3.14	-	SPOCK	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	Cell adhesion
209651_at	15.39	4.94	3.12	-	TGFB1I1	transforming growth factor beta 1 induced transcript 1	Cell adhesion
201505_at	21	7.24	2.9	-	LAMB1	laminin, beta 1	Cell adhesion
200771_at	8.56	3.01	2.84	-	LAMC1	laminin, gamma 1 (formerly LAMB2)	Cell adhesion
213790_at	14.02	4.96	2.83	-	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	Cell adhesion
203083_at	12.25	4.39	2.79	-	THBS2	thrombospondin 2	Cell adhesion
222020_s_at	62.24	22.64	2.75	-	HNT	neurotrimin	Cell adhesion
205532_s_at	42.4	15.54	2.73	+	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	Cell adhesion
201792_at	18.97	6.98	2.72	-	AEBP1	AE binding protein 1	Cell adhesion
209101_at	19.18	7.13	2.69	-	CTGF	connective tissue growth factor	Cell adhesion
215904_at	29.42	11.01	2.67	+	MLLT4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	Cell adhesion
201561_s_at	6.71	2.62	2.56	+	CLSTN1	calsyntenin 1	Cell adhesion
204677_at	11.48	4.53	2.53	-	CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	Cell adhesion
214212_x_at	10.68	4.26	2.51	-	PLEKHC1	pleckstrin homology domain containing, family C (with FERM domain) member 1	Cell adhesion
214375_at	23.91	10.02	2.39	-	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	Cell adhesion
202149_at	12.81	5.37	2.39	-	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	Cell adhesion
204955_at	12.74	5.34	2.39	-	SRPX	sushi-repeat-containing protein, X-linked	Cell adhesion
209873_s_at	11.75	5.14	2.29	+	PKP3	plakophilin 3	Cell adhesion
211208_s_at	5.66	2.65	2.14	+	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	Cell adhesion
205176_s_at	3.87	1.82	2.13	-	ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	Cell adhesion
201281_at	2.86	1.39	2.06	+	ADRM1	adhesion regulating molecule 1	Cell adhesion
212843_at	22	10.69	2.06	-	NCAM1	neural cell adhesion molecule 1	Cell adhesion
210809_s_at	7.63	3.72	2.05	-	POSTN	periostin, osteoblast specific factor	Cell adhesion
205656_at	4.03	1.96	2.05	-	PCDH17	protocadherin 17	Cell adhesion
201438_at	5.86	2.89	2.03	-	COL6A3	collagen, type VI, alpha 3	Cell adhesion
213241_at	6.19	3.06	2.02	-	PLXNC1	plexin C1	Cell adhesion
218975_at	26.96	13.55	1.99	-	COL5A3	collagen, type V, alpha 3	Cell adhesion
202499_s_at	39.16	13.68	2.86	-	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	Carbohydrate metabolism
216010_x_at	91.48	32.31	2.83	+	FUT3	fucosyltransferase 3	Carbohydrate metabolism
205799_s_at	17.32	6.72	2.58	+	SLC3A1	solute carrier family 3, member 1	Carbohydrate metabolism
201765_s_at	4.24	2.08	2.04	+	HEXA	hexosaminidase A (alpha polypeptide)	Carbohydrate metabolism
200686_s_at	20.8	5.76	3.61	-	SFRS11	splicing factor, arginine/serine-rich 11	Nuclear mRNA splicing, via splicesome
203376_at	7.88	2.58	3.06	-	CDC40	cell division cycle 40 homolog (yeast)	Nuclear mRNA splicing, via splicesome
209162_s_at	45.77	16.98	2.69	+	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	Nuclear mRNA splicing, via splicesome
201698_s_at	3.64	1.44	2.52	+	SFRS9	splicing factor, arginine/serine-rich 9	Nuclear mRNA splicing, via splicesome
200685_at	17.74	7.38	2.4	-	SFRS11	splicing factor, arginine/serine-rich 11	Nuclear mRNA splicing, via splicesome
202127_at	10.16	4.55	2.23	-	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	Nuclear mRNA splicing, via splicesome
221546_at	31.79	14.83	2.14	+	PRPF18	PRP18 pre-mRNA processing factor 18 homolog (yeast)	Nuclear mRNA splicing, via splicesome
201385_at	3.45	1.66	2.08	-	DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	Nuclear mRNA splicing, via splicesome
204064_at	7.66	3.76	2.04	-	THOC1	THO complex 1	Nuclear mRNA splicing, via splicesome
214016_s_at	8.09	4.04	2	-	SFPQ	Splicing factor proline/glutamine-rich	Nuclear mRNA splicing, via splicesome
219119_at	3.44	1.75	1.97	-	LSM8	LSM8 homolog, U6 small nuclear RNA associated	Nuclear mRNA splicing, via splicesome
204337_at	77.97	19.56	3.99	-	RGS4	regulator of G-protein signalling 4	Signal transduction
209324_s_at	25.24	6.77	3.73	-	RGS16	regulator of G-protein signalling 16	Signal transduction
204464_s_at	14.07	3.89	3.62	-	EDNRA	endothelin receptor type A	Signal transduction
202247_s_at	14.76	4.24	3.48	+	MTA1	metastasis associated 1	Signal transduction
221773_at	16.08	4.7	3.42	-	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	Signal transduction
203328_x_at	3.87	1.13	3.41	+	IDE	insulin-degrading enzyme	Signal transduction
208875_s_at	10.94	3.23	3.39	+	PAK2	p21 (CDKN1A)-activated kinase 2	Signal transduction
201835_s_at	19.43	6.22	3.12	+	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	Signal transduction
217496_s_at	6.53	2.13	3.07	+	IDE	insulin-degrading enzyme	Signal transduction
209895_at	64.8	21.23	3.05	+	PTPN11	protein tyrosine phosphatase, non-receptor type 11	Signal transduction
201401_s_at	109.49	35.88	3.05	+	ADRBK1	adrenergic, beta, receptor kinase 1	Signal transduction
202716_at	7.6	2.5	3.05	+	PTPN1	protein tyrosine phosphatase, non-receptor type 1	Signal transduction
215984_s_at	129.29	44.77	2.89	+	ARFRP1	ADP-ribosylation factor related protein 1	Signal transduction
219837_s_at	84.68	29.97	2.83	-	CYTL1	cytokine-like 1	Signal transduction
207987_s_at	96.2	34.37	2.8	-	GNRH1	gonadotropin-releasing hormone 1	Signal transduction
204115_at	15.78	5.64	2.8	-	GNG11	guanine nucleotide binding protein (G protein), gamma 11	Signal transduction
218157_x_at	13.07	4.7	2.78	+	CDC42SE1	CDC42 small effector 1	Signal transduction
211302_s_at	34.25	12.62	2.71	+	PDE4B	phosphodiesterase 4B, cAMP-specific	Signal transduction
215904_at	40.46	15.15	2.67	+	MLLT4	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 4	Signal transduction
205701_at	32.4	12.37	2.62	+	IPO8	importin 8	Signal transduction
202388_at	61.1	23.45	2.61	-	RGS2	regulator of G-protein signalling 2, 24kDa	Signal transduction
213446_s_at	17.87	6.86	2.6	+	IQGAP1	IQ motif containing GTPase activating protein 1	Signal transduction
222201_s_at	23.74	9.21	2.58	-	CASP8AP2	CASP8 associated protein 2	Signal transduction
201065_s_at	8.99	3.55	2.53	+	GTF2I	general transcription factor II, I	Signal transduction
35150_at	7.62	3.06	2.49	+	CD40	CD40 antigen (TNF receptor superfamily member 5)	Signal transduction
212294_at	10.32	4.16	2.48	-	GNG12	guanine nucleotide binding protein (G protein), gamma 12	Signal transduction
200644_at	9.85	4	2.46	+	MARCKSL1	MARCKS-like 1	Signal transduction
210221_at	14.37	5.85	2.46	+	CHRNA3	cholinergic receptor, nicotinic, alpha polypeptide 3	Signal transduction
211245_x_at	28.38	11.62	2.44	+	KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	Signal transduction
211242_x_at	78.57	32.17	2.44	+	KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	Signal transduction
221386_at	17.71	7.29	2.43	+	OR3A2	olfactory receptor, family 3, subfamily A, member 2	Signal transduction
202149_at	17.62	7.38	2.39	-	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	Signal transduction
201008_s_at	50.83	21.32	2.38	+	TXNIP	thioredoxin interacting protein	Signal transduction
202467_s_at	6.12	2.57	2.38	-	COPS2	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	Signal transduction
204396_s_at	14.32	6.12	2.34	-	GRK5	G protein-coupled receptor kinase 5	Signal transduction
396_f_at	9.39	4.05	2.32	+	EPOR	erythropoietin receptor	Signal transduction
201488_x_at	2.09	0.91	2.31	+	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	Signal transduction
221745_at	17.06	7.42	2.3	+	WDR68	WD repeat domain 68	Signal transduction
207667_s_at	15.45	6.73	2.3	+	MAP2K3	mitogen-activated protein kinase kinase 3	Signal transduction
209505_at	73.82	32.44	2.28	-	NR2F1	Nuclear receptor subfamily 2, group F, member 1	Signal transduction
213401_s_at	76.88	33.94	2.27	-	---	---	Signal transduction
202091_at	16.37	7.23	2.26	+	ARL2BP	ADP-ribosylation factor-like 2 binding protein	Signal transduction
201009_s_at	25.86	11.52	2.25	+	TXNIP	thioredoxin interacting protein	Signal transduction
213270_at	5.27	2.36	2.24	+	MPP2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	Signal transduction
209239_at	4.89	2.27	2.15	+	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	Signal transduction
211599_x_at	8.68	4.06	2.14	+	MET	met proto-oncogene (hepatocyte growth factor receptor)	Signal transduction
205578_at	21.9	10.27	2.13	-	ROR2	receptor tyrosine kinase-like orphan receptor 2	Signal transduction
205176_s_at	5.32	2.5	2.13	-	ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	Signal transduction
206132_at	1.84	0.87	2.11	+	MCC	mutated in colorectal cancers	Signal transduction
203218_at	22.38	10.69	2.09	-	MAPK9	mitogen-activated protein kinase 9	Signal transduction
33814_at	10.79	5.17	2.09	+	PAK4	p21(CDKN1A)-activated kinase 4	Signal transduction
203077_s_at	5.06	2.43	2.08	-	SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	Signal transduction
201431_s_at	9.4	4.52	2.08	-	DPYSL3	dihydropyrimidinase-like 3	Signal transduction
221060_s_at	14.8	7.12	2.08	+	TLR4	toll-like receptor 4	Signal transduction
204712_at	58.79	28.53	2.06	-	WIF1	WNT inhibitory factor 1	Signal transduction
200923_at	21.83	10.68	2.04	+	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein	Signal transduction
204064_at	8.66	4.25	2.04	-	THOC1	THO complex 1	Signal transduction
218158_s_at	8.68	4.29	2.02	-	APPL	adaptor protein containing pH domain, PTB domain and leucine zipper motif 1	Signal transduction
204813_at	7.04	3.5	2.01	+	MAPK10	mitogen-activated protein kinase 10	Signal transduction
208486_at	3.82	1.91	2	+	DRD5	dopamine receptor D5	Signal transduction
205802_at	76.09	17.7	4.3	-	TRPC1	transient receptor potential cation channel, subfamily C, member 1	Cation transport
203688_at	16.25	4.21	3.86	-	PKD2	polycystic kidney disease 2 (autosomal dominant)	Cation transport
205803_s_at	21.92	6.71	3.26	-	TRPC1	transient receptor potential cation channel, subfamily C, member 1	Cation transport
212297_at	4.78	1.92	2.49	-	ATP13A3	ATPase type 13A3	Cation transport
208349_at	5.7	2.33	2.45	+	TRPA1	transient receptor potential cation channel, subfamily A, member 1	Cation transport
205802_at	60.75	14.13	4.3	-	TRPC1	transient receptor potential cation channel, subfamily C, member 1	Calcium ion transport
205803_s_at	17.5	5.36	3.26	-	TRPC1	transient receptor potential cation channel, subfamily C, member 1	Calcium ion transport
219090_at	32.29	13.55	2.38	-	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	Calcium ion transport
220483_s_at	131.49	33.34	3.94	+	RNF19	ring finger protein 19	Protein modification
205571_at	16.8	4.32	3.89	-	LIPT1	lipoyltransferase 1	Protein modification
208689_s_at	13.18	4.81	2.74	+	RPN2	ribophorin II	Protein modification
213704_at	12.56	5.11	2.46	-	RABGGTB	Rab geranylgeranyltransferase, beta subunit	Protein modification
209648_x_at	35.05	8.74	4.01	-	SOCS5	suppressor of cytokine signaling 5	Intracellular signaling cascade
208127_s_at	21.05	5.61	3.75	-	SOCS5	suppressor of cytokine signaling 5	Intracellular signaling cascade
219165_at	14.5	4.12	3.52	-	PDLIM2	PDZ and LIM domain 2 (mystique)	Intracellular signaling cascade
212729_at	13.42	3.94	3.41	+	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	Intracellular signaling cascade
221748_s_at	17.17	5.23	3.28	-	TNS1	tensin 1	Intracellular signaling cascade
215829_at	13.31	4.23	3.15	+	SHANK2	SH3 and multiple ankyrin repeat domains 2	Intracellular signaling cascade
209895_at	68.09	22.31	3.05	+	PTPN11	protein tyrosine phosphatase, non-receptor type 11	Intracellular signaling cascade
212801_at	5.4	1.77	3.04	+	CIT	citron (rho-interacting, serine/threonine kinase 21)	Intracellular signaling cascade
202226_s_at	55.9	18.78	2.98	+	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	Intracellular signaling cascade
213337_s_at	11.05	3.83	2.88	+	SOCS1	suppressor of cytokine signaling 1	Intracellular signaling cascade
209684_at	5.91	2.06	2.87	-	RIN2	Ras and Rab interactor 2	Intracellular signaling cascade
207732_s_at	17.4	6.2	2.81	+	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	Intracellular signaling cascade
203370_s_at	30.18	11.04	2.73	-	PDLIM7	PDZ and LIM domain 7 (enigma)	Intracellular signaling cascade
213545_x_at	12.62	4.65	2.71	-	SNX3	sorting nexin 3	Intracellular signaling cascade
205880_at	6.88	2.57	2.68	-	PRKD1	protein kinase D1	Intracellular signaling cascade
210648_x_at	10.35	3.91	2.65	-	SNX3	sorting nexin 3	Intracellular signaling cascade
202114_at	10.97	4.15	2.64	-	SNX2	sorting nexin 2	Intracellular signaling cascade
218705_s_at	22.9	8.73	2.62	-	SNX24	sorting nexing 24	Intracellular signaling cascade
220300_at	24.59	9.42	2.61	-	RGS3	regulator of G-protein signalling 3	Intracellular signaling cascade
205147_x_at	5.11	2.01	2.54	+	NCF4	neutrophil cytosolic factor 4, 40kDa	Intracellular signaling cascade
207782_s_at	25.02	9.94	2.52	+	PSEN1	presenilin 1	Intracellular signaling cascade
200604_s_at	23.18	9.21	2.52	+	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha	Intracellular signaling cascade
200067_x_at	7.46	3.22	2.32	-	SNX3	sorting nexin 3	Intracellular signaling cascade
207105_s_at	5.09	2.2	2.32	+	PIK3R2	phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta)	Intracellular signaling cascade
205170_at	9.41	4.22	2.23	+	STAT2	signal transducer and activator of transcription 2, 113kDa	Intracellular signaling cascade
215411_s_at	23.5	10.69	2.2	-	TRAF3IP2	TRAF3 interacting protein 2	Intracellular signaling cascade
219457_s_at	15.25	7.45	2.05	-	RIN3	Ras and Rab interactor 3	Intracellular signaling cascade
221526_x_at	12.87	6.32	2.04	+	PARD3	par-3 partitioning defective 3 homolog (C. elegans)	Intracellular signaling cascade
209154_at	3.29	1.66	1.98	-	TAX1BP3	Tax1 binding protein 3	Intracellular signaling cascade
202987_at	19.16	9.79	1.96	-	TRAF3IP2	TRAF3 interacting protein 2	Intracellular signaling cascade
222040_at	36.12	11.14	3.24	-	HNRPA1	heterogeneous nuclear ribonucleoprotein A1	mRNA processing
208765_s_at	21.68	6.81	3.18	+	HNRPR	heterogeneous nuclear ribonucleoprotein R	mRNA processing
221919_at	28.33	9.18	3.09	-	---	---	mRNA processing
205063_at	23.4	7.98	2.93	-	SIP1	survival of motor neuron protein interacting protein 1	mRNA processing
201488_x_at	2.29	0.99	2.31	+	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	mRNA processing
201224_s_at	10.5	4.62	2.27	+	SRRM1	serine/arginine repetitive matrix 1	mRNA processing
200686_s_at	20.7	5.73	3.61	-	SFRS11	splicing factor, arginine/serine-rich 11	RNA splicing
203376_at	7.85	2.56	3.06	-	CDC40	cell division cycle 40 homolog (yeast)	RNA splicing
209162_s_at	45.56	16.91	2.69	+	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	RNA splicing
200685_at	17.66	7.35	2.4	-	SFRS11	splicing factor, arginine/serine-rich 11	RNA splicing
201362_at	9.18	4.04	2.27	-	IVNS1ABP	influenza virus NS1A binding protein	RNA splicing
202127_at	10.12	4.53	2.23	-	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	RNA splicing
221546_at	31.65	14.76	2.14	+	PRPF18	PRP18 pre-mRNA processing factor 18 homolog (yeast)	RNA splicing
214016_s_at	8.05	4.02	2	-	SFPQ	Splicing factor proline/glutamine-rich	RNA splicing
209839_at	37.68	6.99	5.39	-	DNM3	dynamin 3	Endotosis
209684_at	3.32	1.16	2.87	-	RIN2	Ras and Rab interactor 2	Endotosis
213545_x_at	7.08	2.61	2.71	-	SNX3	sorting nexin 3	Endotosis
210648_x_at	5.81	2.2	2.65	-	SNX3	sorting nexin 3	Endotosis
202114_at	6.16	2.33	2.64	-	SNX2	sorting nexin 2	Endotosis
200067_x_at	4.19	1.81	2.32	-	SNX3	sorting nexin 3	Endotosis
207287_at	7.81	3.74	2.09	-	FLJ14107	hypothetical protein FLJ14107	Endotosis
219457_s_at	8.56	4.18	2.05	-	RIN3	Ras and Rab interactor 3	Endotosis
219778_at	58.94	14.41	4.09	-	ZFPM2	zinc finger protein, multitype 2	Regulation of transcription from PolII promoter
221773_at	13.43	3.93	3.42	-	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	Regulation of transcription from PolII promoter
211251_x_at	11.18	3.69	3.03	+	NFYC	nuclear transcription factor Y, gamma	Regulation of transcription from PolII promoter
202724_s_at	9.6	3.34	2.88	-	FOXO1A	forkhead box O1A	Regulation of transcription from PolII promoter
212257_s_at	14.37	5.13	2.8	+	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, membe	Regulation of transcription from PolII promoter
202216_x_at	9.15	3.28	2.79	+	NFYC	nuclear transcription factor Y, gamma	Regulation of transcription from PolII promoter
204349_at	9.97	3.9	2.56	-	CRSP9	cofactor required for Sp1 transcriptional activation, subunit 9, 33kDa	Regulation of transcription from PolII promoter
200604_s_at	18.43	7.33	2.52	+	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha	Regulation of transcription from PolII promoter
206858_s_at	13.06	5.74	2.28	-	HOXC6	homeo box C6	Regulation of transcription from PolII promoter
205170_at	7.49	3.35	2.23	+	STAT2	signal transducer and activator of transcription 2, 113kDa	Regulation of transcription from PolII promoter
213891_s_at	11.07	4.97	2.23	-	TCF4	Transcription factor 4	Regulation of transcription from PolII promoter
201073_s_at	9.51	4.49	2.12	+	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, membe	Regulation of transcription from PolII promoter
213251_at	2.17	1.07	2.03	-	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, membe	Regulation of transcription from PolII promoter
209292_at	21.21	10.46	2.03	-	ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	Regulation of transcription from PolII promoter
209189_at	61.47	30.61	2.01	-	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	Regulation of transcription from PolII promoter
202172_at	6.04	3.07	1.97	-	ZNF161	zinc finger protein 161	Regulation of transcription from PolII promoter
216061_x_at	7.05	2.09	3.38	-	PDGFB	platelet-derived growth factor beta polypeptide	Regulation of cell cycle
209550_at	23.27	7.33	3.18	-	NDN	necdin homolog (mouse)	Regulation of cell cycle
214683_s_at	30.04	9.83	3.05	-	CLK1	CDC-like kinase 1	Regulation of cell cycle
211251_x_at	11.58	3.82	3.03	+	NFYC	nuclear transcription factor Y, gamma	Regulation of cell cycle
202216_x_at	9.48	3.4	2.79	+	NFYC	nuclear transcription factor Y, gamma	Regulation of cell cycle
205106_at	47.82	17.22	2.78	+	MTCP1	mature T-cell proliferation 1	Regulation of cell cycle
219910_at	4.96	1.83	2.71	+	HYPE	Huntingtin interacting protein E	Regulation of cell cycle
207239_s_at	17.48	7.09	2.47	+	PCTK1	PCTAIRE protein kinase 1	Regulation of cell cycle
202149_at	15.25	6.39	2.39	-	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	Regulation of cell cycle
38707_r_at	1.72	0.8	2.16	+	E2F4	E2F transcription factor 4, p107/p130-binding	Regulation of cell cycle
204566_at	6.86	3.21	2.14	-	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	Regulation of cell cycle
201700_at	5.14	2.44	2.11	+	CCND3	cyclin D3	Regulation of cell cycle
200712_s_at	5.65	2.72	2.07	+	MAPRE1	microtubule-associated protein, RP/EB family, member 1	Regulation of cell cycle
206272_at	3.58	1.78	2.02	-	SPHAR	S-phase response (cyclin-related)	Regulation of cell cycle
208824_x_at	11.71	5.83	2.01	+	PCTK1	PCTAIRE protein kinase 1	Regulation of cell cycle
