GID	yorf	NAME	GWEIGHT	216 A	216 B	228 A	228 B	125 B	175 B	217 B	217 A	218 B	201 B	202 B	145 B	263 B	39 A	39 B	138 A	138 B	64 A	64 B	262 B	21 A	227 B	155 A	155 B	218 A	223 A	67 A	17 A	21 B	146 A	146 B	117 A	117 B	30 A	30 B	148 B	148 A	149 A	70 A	70 B	223 B	61 A	175 A	125 A	17 B	141 A	141 B	123 A	123 B	151 A	145 A	262 A	61 B	67 B	90 A	90 B	149 B	151 B	P3 A	P3 B	201 A	202 A	227 A	263 A	203 A	203 B	152 A	152 B
GENE1233X	HSI017H04	COG7		-1.108	-1.113	-1.241	-1.007	-0.5401	-0.799	-1.974	-1.121	-0.8657	-1.944	-2.849	-2.162	-2.336	0.3562	0.5655	1.313	0.3688	0.0986	-0.2708	-1.063	-0.3122	-0.2662	-0.1854	-0.2266	-0.1422	0.09201	0.4486	-0.2449	0.1317	0.4398	0.3167	0.4973	0.04519	0.6718	1.212	0.1679	1.734	1.285	0.8038	0.878	1.861	1.392	0.8487	0.6546	0.7872	0.7123	0.3422	0.9466	0.9469	2.113	0.8527	1.149	-0.1063	0.1627	-0.06382	-0.3425	0.5807	0.6008	0.167	-0.1748	-0.2803	-0.6878	-0.5067	0.7491	-0.6893	-0.9909	0.1092	-0.7873
GENE233X	HSI051D07	TMPRSS5		-1.47	-1.295	-0.84	-0.7222	-0.7483	-0.4768	-2.283	-2.045	-1.325	-1.862	-2.229	-2.126	-2.202	0.787	0.7284	1.817	0.6196	0.1968	-0.3377	-0.9923	-0.3176	-0.2535	-0.305	-0.2874	-0.09548	0.3378	0.3016	0.2135	0.1906	1.123	0.4355	0.3048	0.08584	0.4556	0.7499	0.008666	1.597	1.413	0.9169	0.4607	1.562	1.679	1.071	0.5727	0.6867	0.3116	0.17	1.097	0.8311	1.906	0.3616	1.423	-0.2514	-0.2881	0.005383	-0.6467	0.375	0.3916	-0.1462	-0.6686	-0.1062	0.1115	-0.7476	0.2796	0.09047	-0.3677	0.378	-0.6099
GENE348X	HSI051C07	CA11		-1.617	-1.372	-0.583	-0.6501	-0.04185	-0.4851	-2.285	-2.071	-1.368	-1.927	-2.27	-2.147	-2.081	0.7174	0.69	1.644	0.6225	0.2133	-0.3135	-1.01	-0.4706	-0.6849	-0.1869	-0.6983	-0.1885	0.5325	0.1081	0.3245	0.09354	1.155	-0.624	0.3078	0.1642	0.2279	0.6682	0.3497	0.782	1.55	0.6729	0.5699	1.571	1.56	1.224	0.6344	0.7078	0.4046	0.2477	1.096	0.8807	2.105	0.3364	1.597	-0.2183	-0.08606	-0.07905	-0.6521	0.5395	0.5013	-0.2035	-0.6054	-0.1947	0.3071	-0.4389	0.3781	0.2846	-0.2715	0.5258	-0.4683
GENE2336X	HSI014A12	OGFOD1		-1.404	-1.254	-0.6856	-0.8631	-0.181	-0.604	-2.585	-2.052	-1.222	-1.474	-2.707	-1.56	-1.917	0.6468	0.8165	1.21	0.5921	0.1907	-0.1832	-0.8704	-0.6151	-0.4705	-0.4735	-0.4189	-0.2392	-0.1357	0.3158	0.02459	0.08842	0.2661	0.4002	0.2927	0.1089	0.8127	0.756	0.1695	1.155	1.641	0.7896	0.7574	0.984	1.097	1.084	0.712	0.3386	1.364	0.1442	0.8673	1.706	2.353	0.9319	1.453	0.06151	-0.09102	0.1128	-0.9286	0.5881	0.5506	-0.03243	-0.2021	0.08036	-0.249	-0.7027	0.5213	-0.3434	-1.063	0.1793	-0.6368
GENE1229X	HSI011F10	EST		-1.394	-1.103	-0.6259	-1.119	-0.1543	-0.517	-2.121	-2.282	-1.034	-1.371	-2.107	-2.157	-1.739	0.5527	0.9162	1.615	0.4707	-0.2325	-0.7826	-1.288	-0.2204	-0.7786	-0.3445	-0.4023	-0.5411	-0.08289	0.4985	-0.05035	0.1986	0.6316	0.1579	0.1903	0.1718	0.7089	0.7202	-0.1436	1.099	1.694	0.9364	0.911	1.446	0.7565	1.17	0.6496	0.7711	0.8151	-0.08465	1.127	1.539	2.577	1.346	1.186	-0.1707	-0.467	-0.06832	-0.515	0.4273	0.598	-0.4797	-0.355	0.09794	0.1789	-0.4571	0.3874	-0.09434	-0.8347	0.07572	-0.5024
GENE1739X	HSI015E11	CHD8		-1.405	-0.9936	-0.8041	-0.7397	-0.05558	-0.7606	-1.762	-2.049	-1.36	-1.786	-2.362	-2.146	-1.978	0.5307	0.6834	1.438	0.5336	0.01756	-0.4832	-1.34	0.1399	-0.6047	-0.2369	-0.06902	-0.6114	-0.2977	0.03019	-0.1891	0.1287	0.5307	0.2171	0.2538	0.5565	0.6587	0.8791	0.05432	1.449	1.794	1.103	0.6758	1.445	0.9969	0.7402	0.7624	0.6623	0.6334	0.0808	1.088	1.305	2.666	1.046	1.469	-0.3243	-0.1909	0.05731	-0.4522	0.458	0.5052	-0.195	-0.3861	0.07504	0.04606	-0.7395	-0.003856	-0.3499	-0.6219	0.221	-0.6375
GENE495X	HSI007E02	ZNF10		-1.278	-1.088	-0.7036	-0.8185	-0.786	-0.6387	-1.831	-1.198	-1.183	-1.893	-2.399	-2.065	-1.73	0.843	0.924	1.847	0.03659	0.405	-0.167	-1.17	-0.4604	-0.4475	0.05212	0.08401	-0.4203	0.1983	0.3382	-0.1349	0.05981	0.2425	-1.537	0.3783	0.4121	0.6908	1.552	-0.0941	-0.2203	0.8445	1.289	1.097	1.947	2.063	1.088	0.9234	0.87	0.8651	0.3137	1.41	1.037	1.207	0.2998	1.837	-0.001909	-0.07588	-0.004861	-0.6303	0.4672	0.4916	0.04928	-0.2433	-0.3919	-0.1003	-0.3861	0.06333	-0.2332	-1.142	-0.1647	-0.59
GENE87X	HSI007E01	LOC92689		-1.235	-1.214	-0.7794	-0.8324	-0.5258	-0.17	-2.261	-2.165	-1.218	-1.854	-2.417	-2.06	-1.638	0.7124	0.8434	1.157	0.6211	-0.0465	-0.3701	-1.247	-0.6002	-0.4314	-0.04693	-0.1505	-0.3221	-0.02526	0.2031	-0.1486	0.0516	-0.08046	0.2602	0.2983	0.6158	0.7981	1.258	0.02471	0.7456	0.8917	1.122	1.132	1.97	2.173	0.8237	0.7455	0.8013	0.973	0.3643	1.077	1.393	1.329	0.4705	1.647	-0.2732	-0.09287	-0.3747	-0.6069	0.6688	0.5384	-0.01915	-0.4839	-0.4932	0.3556	-0.3267	0.4589	-0.2794	-0.7421	-0.229	-0.7657
GENE968X	HSI063A09	EST		-1.283	-0.9247	-0.6297	-1.012	-0.426	-0.3534	-1.973	-1.875	-1.208	-2.029	-2.36	-2.101	-2.308	0.7845	0.8654	1.746	0.5552	0.4852	-0.5211	-1.498	-0.3813	-0.6546	-0.1745	-0.1366	-0.1447	0.3286	0.1187	0.1365	0.3269	-0.1535	-0.4459	0.199	0.5476	0.2961	1.066	0.1182	0.828	0.7325	0.9924	0.9705	1.93	1.792	1.093	0.9958	1.044	0.2271	0.3171	1.412	0.9372	1.776	0.3696	1.604	-0.2456	-0.06842	0.063	-0.3521	0.5727	0.5315	0.04204	-0.2817	-0.2778	-0.1991	-0.2288	-0.0258	-0.05513	-0.7149	-0.06182	-0.6997
GENE211X	HSI023D01	TMEM39A		-1.184	-1.13	-0.8375	-1.011	-0.9501	-0.678	-1.436	-1.804	-1.425	-2.073	-2.355	-2.039	-2.025	0.6433	0.7445	1.941	0.1348	0.4463	-0.309	-1.425	-0.6582	-0.8695	0.1239	0.2595	-1.056	-0.05211	0.3996	-0.4011	0.4256	0.08266	0.08844	0.2213	0.5294	0.6498	1.206	0.144	0.8461	0.5031	1.229	0.9021	1.968	2.234	0.8256	0.9815	0.8174	0.7768	0.7103	1.375	0.8956	0.9006	0.5541	1.259	0.003695	-0.05737	0.158	-0.3345	0.7302	0.5976	0.2815	-0.1456	0.003615	-0.07009	-0.485	-0.2544	-0.2286	-0.7	0.1721	-0.7712
GENE862X	HSI058B09	JM11		-1.505	-1.152	-0.9372	-1.074	-1.103	-0.5768	-1.585	-1.792	-1.382	-2.054	-2.315	-2.201	-2.46	0.5252	0.7283	1.941	0.362	0.3015	-0.4325	-1.552	-0.2917	-0.6408	0.2337	0.1628	-0.05229	0.3801	0.2745	0.2731	0.4939	-0.07014	0.1234	0.4184	0.4807	0.4013	1.026	0.1776	1.029	0.5457	1.009	0.8997	1.999	1.855	0.795	0.9014	0.8187	0.3843	0.4694	1.41	0.9878	1.115	0.4733	1.112	-0.2589	0.4205	-0.05297	-0.6772	0.59	0.5974	0.2248	-0.2444	0.1208	0.05675	-0.446	-0.2952	0.05923	-0.5187	0.2684	-0.7755
GENE2251X	HSI053F12	EST		-1.447	-0.8767	-0.7159	-0.7671	-0.6829	-0.3665	-1.744	-1.888	-1.183	-1.627	-2.215	-1.914	-1.996	0.08665	0.733	1.264	0.3277	0.02804	-0.6816	-1.692	-0.6488	-0.4532	0.484	0.2912	-0.2568	0.5364	0.05879	0.6068	0.1475	0.7335	0.2363	-0.1522	0.9804	0.5756	0.6185	-0.7403	1.6	1.406	0.09671	0.5278	1.68	1.594	1.238	0.215	0.5664	0.335	0.4377	1.139	0.6632	2.183	1.153	2.102	-0.286	-0.2941	-0.5133	-1.506	0.5705	-0.4577	-0.2297	-0.3483	0.2716	0.3736	-0.3809	0.3652	0.2754	-0.4503	0.3911	-0.3775
GENE2278X	HSI081H06	PLS3		-1.339	-0.725	-0.6373	-0.9268	-0.8763	-0.4244	-1.924	-2.009	-1.099	-1.856	-2.04	-1.701	-2.022	0.4982	1.088	2.061	0.2594	0.3396	-0.8729	-2.096	-0.5286	-0.2725	0.1071	0.1408	-0.1154	0.496	-0.004495	0.5147	0.493	0.2187	0.3759	0.1946	1.305	0.5664	0.9812	-0.7043	0.8358	0.4817	0.6708	0.9753	1.859	1.814	0.832	0.8644	1.327	-0.03744	0.5127	1.434	0.4666	1.15	0.7093	1.888	-0.3387	-0.04673	-0.3291	-1.078	0.5818	-0.156	-0.1809	-0.3184	-0.07881	0.1178	-0.3476	0.1921	-0.04715	-0.5546	0.02572	-0.6893
GENE2271X	HSI071H12	DYNLRB1		-1.052	-0.4968	-0.3788	-0.9554	-0.1836	-0.2165	-1.873	-1.77	-0.8036	-1.889	-2.503	-1.735	-2.711	0.4411	1.213	1.931	0.66	0.1029	-0.5361	-1.558	-0.866	-0.608	0.2969	0.04138	-0.4009	0.224	-0.0179	0.1825	0.4766	0.3892	0.3935	0.3068	0.9001	0.4907	1.165	-1.213	1.159	0.3487	0.9058	0.6689	1.518	1.195	0.3321	0.9649	1.067	0.8459	0.15	1.45	1.224	1.377	0.7778	1.609	-0.213	0.3974	-0.1579	-0.4025	0.7698	-0.9013	0.2132	-0.1205	-0.4847	-0.3807	-0.4253	0.755	-0.3076	-0.8429	-0.1443	-0.7937
GENE285X	HSI070H07	SIGLEC11		-1.223	-0.5238	-0.6286	-1.286	-0.4433	-0.3163	-1.459	-1.442	-0.8207	-2.358	-2.513	-2.502	-2.263	0.6272	1.134	1.823	0.196	0.1327	-0.6896	-1.606	-0.4993	-0.6368	0.2459	0.1473	-0.3356	0.4113	-0.03978	0.1069	0.2696	0.4833	0.3187	0.03785	0.5042	0.2574	0.9226	-0.01994	1.164	0.8233	0.6449	0.8228	1.864	1.115	0.6509	0.5941	1.193	0.6915	0.3915	1.466	1.19	1.41	0.7434	1.822	-0.5727	0.1504	-0.5853	-0.6748	0.8118	0.7715	-0.1045	-0.4599	-0.2325	-0.0319	-0.3037	0.2725	-0.2024	-0.8889	-0.06108	-0.4867
GENE2319X	HSI107H06	KLK13		-1.259	-0.9673	-0.6808	-1.173	-0.374	-0.6492	-1.793	-1.714	-0.8328	-1.872	-2.193	-2.296	-2.331	0.75	0.8194	1.963	0.3531	0.2961	-0.5449	-1.589	-0.4798	-1.189	0.3718	0.0952	-0.181	0.3785	-0.2024	0.5056	0.7728	0.3441	0.1405	0.2048	0.6221	0.1307	0.9486	-0.5974	0.6356	0.5438	0.8585	0.9441	1.704	0.9038	1.292	0.6432	1.365	0.827	0.4851	1.924	1.01	1.287	0.5832	1.659	-0.4018	-0.3323	-0.6426	-0.6894	0.1991	0.1953	-0.1033	-0.3668	0.3654	0.3728	-0.3661	0.15	0.07064	-1	0.3555	-0.2506
GENE585X	HSI098E02	ZNF566		-1.425	-0.7258	-0.6598	-0.85	0.3288	-0.03022	-2.172	-1.498	-0.818	-1.429	-1.628	-1.704	-1.626	0.5484	0.9548	1.61	0.9168	-0.2733	-0.686	-1.594	-0.6205	-1.015	0.3309	0.6948	0.06921	0.5231	-0.3498	0.3202	0.2778	1.001	-1.834	-0.1373	0.1166	0.03772	0.09023	-0.00161	-0.8246	1.867	0.09667	0.2755	1.047	0.4364	0.6842	0.1906	0.6936	0.9682	0.2124	0.9828	1.487	3.279	1.184	2.017	-0.2516	-0.2553	-0.6961	-0.7794	0.564	0.6727	-0.2713	-0.2283	-0.437	0.4842	-0.2803	0.772	0.2278	-0.5113	0.03614	-0.3846
GENE591X	HSI110C02	LOC339535		-1.092	-0.4759	-0.4279	-1.063	0.7742	-0.1641	-1.805	-1.073	-0.7447	-1.611	-1.618	-1.691	-2.422	0.5952	1.298	1.694	1.068	-0.2165	-0.2741	-1.02	-0.877	-1.001	0.3504	0.4279	0.005784	0.254	-0.7188	-0.2519	0.5519	1.15	-1.965	0.5052	1.008	0.2924	0.7222	-0.2058	-0.3195	1.39	0.4881	0.6497	0.9581	-0.09899	0.3291	0.5803	1.233	0.7444	-0.06646	0.9894	1.328	3.119	0.9145	1.464	-0.2329	0.1825	-0.3052	-0.3394	0.1299	0.5645	0.1204	-0.0644	-1.132	-0.5797	0.000296	0.9042	-0.9839	-1.194	-0.2331	-0.5196
GENE494X	HSI007A02	AGTR1		-1.137	-0.9647	-0.9357	-0.8473	-0.1237	-0.4269	-1.894	-1.534	-1.041	-1.894	-2.056	-1.893	-2.418	0.4809	0.873	1.452	0.8522	-0.01164	-0.4641	-1.102	-0.7907	-0.3306	-0.05901	0.1498	-0.2851	0.1635	0.01706	-0.5092	0.02364	0.4499	-1.224	0.3278	0.3059	0.4463	1.209	0.269	0.9989	1.755	0.9083	0.6483	0.8084	1.098	0.999	0.5298	0.8287	1.175	0.2097	1.226	1.626	2.872	0.8475	1.182	-0.1485	0.006153	-0.1697	-0.2561	0.6813	0.6013	-0.04954	-0.3845	-0.686	-0.2276	-0.5112	0.5506	-0.3634	-0.9477	-0.4006	-0.4865
GENE562X	HSI080G08	PPM1D		-1.152	-0.7234	-0.4713	-0.8611	0.3877	-0.75	-1.944	-1.22	-1.015	-2.155	-2.621	-1.795	-1.381	0.6762	1.06	2.122	1.248	0.1261	-0.1429	-1.348	-0.8264	-0.6897	-0.2862	0.1776	-0.2504	-0.6235	-0.1417	-0.5418	0.3356	0.04417	-1.527	0.1301	0.5873	0.4799	0.6386	0.03925	0.2045	1.079	0.7287	0.8855	1.136	1.352	1.045	1.01	1.145	0.8763	0.2049	1.499	1.256	2.025	0.6565	1.68	0.03035	0.1847	-0.03571	-0.2412	0.6417	0.7777	0.07193	-0.05317	-0.8711	-0.3812	-0.3858	0.478	-0.3444	-1.056	-0.3075	-0.8796
GENE349X	HSI051E07	ZHX2		-1.143	-1.671	-0.6144	-0.9727	0.2304	-0.8227	-1.677	-1.456	-1.106	-1.974	-1.861	-2.377	-1.598	0.9921	0.8127	1.504	0.6035	0.2624	-0.3153	-0.8317	0.121	-0.7084	-0.6408	-0.9491	-0.5397	0.1677	0.02442	0.2708	0.01118	0.6818	-0.9779	0.3925	0.2723	0.5244	0.8827	0.1601	0.5353	1.655	0.8538	0.8604	1.967	1.438	1.103	0.721	0.6757	0.4406	0.3777	1.168	1.212	2.594	0.7078	1.556	-0.1686	-0.03629	0.05764	-0.6373	0.544	0.5927	-0.1086	-0.4649	-0.2194	-0.2583	-0.3827	0.03418	-0.2265	-0.6626	-0.4516	-1.152
GENE501X	HSI011A02	EST		-1.37	-1.302	-0.8553	-1.058	0.493	-0.9696	-1.354	-1.201	-1.092	-1.509	-1.525	-1.757	-0.729	0.3461	0.9984	1.669	0.9033	0.05286	-0.3163	-1.065	-0.6637	-0.9554	-0.1778	-0.5664	-1.013	-0.7605	0.05934	-0.8688	0.07887	0.3274	-1.914	0.2213	0.4568	0.7149	0.949	0.2312	-0.1575	2.189	1.13	0.486	1.467	0.8279	1.365	0.7163	0.5864	1.051	0.2881	1.079	1.772	2.86	0.9736	1.285	-0.03064	-0.1202	-0.001139	-0.4084	0.7929	0.9645	-0.158	-0.08488	0.07705	-0.283	-0.5263	-0.4923	-0.2397	-0.9407	-0.1213	-0.8265
GENE2016X	HSI107A05	MTMR8		-1.709	-1.132	-0.4969	-1.074	0.08107	-0.2676	-2.267	-2.218	-1.178	-2.24	-2.066	-1.295	-1.528	0.5973	0.9776	1.316	0.4638	0.002825	-0.2338	-0.6965	-0.684	-1.057	0.3972	0.3459	-0.3236	0.1931	-0.3488	0.2266	0.3492	0.9741	0.3103	0.268	0.3317	0.2297	0.1868	-0.2934	0.2214	1.328	0.6193	0.6343	1.328	0.05375	1.112	0.6993	0.9133	0.787	0.1168	1.311	1.623	2.702	0.6779	2.248	-0.3779	-0.2177	-0.1608	-0.5406	0.4211	0.5285	-0.06762	0.1065	-0.3398	-0.1384	-0.1077	0.7091	-0.5066	-1.422	0.2219	-0.6264
GENE2017X	HSI107G05	EST		-1.686	-1.11	-0.498	-1.168	-0.03873	-0.2732	-2.299	-2.271	-1.149	-2.313	-2.064	-0.8786	-1.405	0.5418	0.9446	1.216	0.4717	0.06566	-0.1383	-0.6659	-0.6384	-1.047	-0.05707	0.3022	-0.4862	0.1129	-0.2521	0.2871	0.2097	0.9946	0.4044	0.2637	0.08872	0.09264	0.2078	-0.217	0.3351	1.275	0.5726	0.7283	1.358	0.3202	1.13	0.6178	0.9171	0.7073	0.1887	1.166	1.582	2.851	0.7801	2.368	-0.2948	-0.2265	-0.1999	-0.5283	0.5204	0.4269	0.04896	0.3893	-0.3659	-0.1531	-0.1698	0.6894	-0.58	-1.416	0.1373	-0.7241
GENE1725X	HSI108D05	BRUNOL4		-1.588	-1.073	-0.592	-0.8884	-0.2199	-0.1413	-2.064	-2.118	-1.137	-2.131	-2.174	-1.909	-1.729	0.4699	0.5591	1.16	1.032	0.2252	-0.381	-0.9135	-0.6007	-1.01	1.045	1.168	-0.3927	-0.0287	0.4425	0.4572	0.503	1.078	0.5712	0.559	0.558	0.1442	0.4637	-0.1405	0.2943	1.114	0.7831	0.2636	1.321	0.5711	1.256	0.5696	0.8535	0.413	0.4294	1.23	0.3349	2.561	0.7687	2.052	-0.4613	-0.1711	-0.1173	-0.704	0.6031	0.5619	-0.2498	-0.5698	-0.4834	-0.444	-0.2675	0.6045	-0.7318	-1.241	0.2228	-0.5719
GENE1913X	HSI107D05	EST		-1.639	-1.08	-0.5326	-1.087	-0.1732	-0.2183	-2.223	-2.152	-1.099	-2.296	-2.228	-1.458	-1.659	0.7442	0.9413	1.477	1.077	0.01361	-0.1816	-0.736	-0.5318	-1.101	0.2922	0.263	-0.262	0.1762	-0.2267	0.3515	0.4797	0.8909	0.2616	0.4129	0.64	0.09892	0.2189	-0.2456	0.2404	1.324	0.6228	0.3471	1.364	-0.009992	1.155	0.4889	0.9599	0.5655	0.2405	1.31	0.1869	2.73	0.6731	2.32	-0.3161	0.2156	-0.1856	-0.5146	0.4964	0.6556	0.03089	0.1075	-0.484	-0.1857	-0.08081	0.8111	-0.6075	-1.306	0.2308	-0.5944
GENE802X	HSI176A02	KCTD7		-1.45	-0.7532	-0.7216	-1.312	0.07326	0.3354	-2.183	-1.596	-0.8728	-2.041	-1.987	-1.824	-1.985	0.6574	1.329	1.578	0.6197	-0.04142	-0.5194	-1.248	-0.6535	-0.9655	0.04562	-0.2505	-0.02935	0.7691	-0.07395	0.2058	0.3464	-0.1869	-0.742	0.3307	0.8468	0.1496	0.8151	0.2109	-0.8496	0.1266	0.5555	0.826	2.199	0.9267	1.539	0.8083	1.285	0.5876	0.2421	1.358	1.133	1.934	0.07744	2.013	-0.4032	-0.02722	-0.4474	-0.7559	0.6022	1.05	0.005508	-0.4159	-0.3068	0.06723	0.02736	0.1492	-0.2717	-0.9976	0.2604	-0.1756
