Gene	Description	LocusLink ID	Gene expression (log 2 tumor/normal ratio): TRAMP prostate	Gene expression (log 2 tumor/normal ratio): C3(1)-Tag mammary	Gene expression (log 2 tumor/normal ratio): CC10-Tag lung	Function
Mcmd4	Mini chromosome maintenance deficient 4 homologue (S. cerevisiae)	17217	1.77	1.43	1.27	DNA binding/repair/recombination
Mcmd6	Mini chromosome maintenance deficient 6 (S. cerevisiae)	17219	3.13	2.41	2.01	DNA binding/repair/recombination
Msh6	MutS homolog 6 (E. coli)	17688	1.74	1.5	1.47	DNA binding/repair/recombination
Pola1	Polymerase (D directed), 1	18968	2.8	2.57	2.27	DNA binding/repair/recombination
Pole	Polymerase (D directed),	18973	1.48	1.48	1.29	DNA binding/repair/recombination
Pole2	Polymerase (D directed), 2 (p59 subunit)	18974	1.39	1.01	1.07	DNA binding/repair/recombination
Prim1	Dprimase, p49 subunit	19075	2.43	1.84	1.7	DNA binding/repair/recombination
Prim2	Dprimase, p58 subunit	19076	1.83	1.07	1.04	DNA binding/repair/recombination
Rad21	RAD21 homolog (S. pombe)	19357	2.73	1.48	1.3	DNA binding/repair/recombination
Rad51ap1	RAD51-associated protein 1	19362	2.35	1.28	1.36	DNA binding/repair/recombination
Rfc5	Replication factor C (activator 1) 5 (36.5 kDa)	72151	1.38	1.03	1.06	DNA binding/repair/recombination
Rrm1	Ribonucleotide reductase M1	20133	1.88	1.15	1.62	DNA binding/repair/recombination
Dhfr	Dihydrofolate reductase	13361	2.76	1.84	2.52	DNA metabolism
Tk1	Thymidine kinase 1	21877	2.06	1.28	1.09	DNA metabolism
Top2a	Topoisomerase (D) II	21973	3.71	1.83	3.02	DNA metabolism
Tyms	Thymidylate synthase	22171	2.06	1.75	1.65	DNA metabolism
Cenpa	Centromere autoantigen A	12615	2.09	1.54	1.38	Chromosome assembly
Cenpf	leucine, glutamic acid, lysine family 1 protein	108000	2.63	1.69	2	Chromosome assembly
H2afz	H2A histone family, member Z	51788	3.1	1.74	2.4	Chromosome assembly
Hmgn2	High mobility group nucleosomal binding domain 2	15331	3.3	1.1	1.7	Chromosome assembly
Mki67	Antigen identified by monoclonal antibody Ki 67 SWI/SNF related, matrix associated, actin	17345	2.61	1.63	2.63	Chromosome assembly
Smarca5	Dependent regulator of chromatin, subfamily a, member 5	93762	1.25	1.43	1.2	Chromosome assembly
Suv39h1	Suppressor of variegation 3-9 homologue 1 (Drosophila)	20937	2.13	1.37	1.22	Chromosome assembly
Arhgap11a	Mus musculus 10 days neote cerebellum cDNA, RIKEN full-length enriched library, insert sequence	228482	1.92	1.33	1.7	Signal transduction
AurkB	Serine/threonine kinase 12	20877	2.3	1.33	1.47	Signal transduction
Melk	Materl embryonic leucine zipper kinase	17279	2.25	1.4	2.42	Signal transduction
Plk4	Serine/threonine kinase 18 or polo-like kinase 4	20873	1.67	1.4	1.49	Signal transduction
Shcbp1	Shc SH2-domain binding protein 1	20419	2.19	1.63	1.53	Signal transduction
Rbm3	R binding motif protein 3	5935	1.63	1.8	1.16	RNA binding/RNA splicing
Slbp	Stem-loop binding protein	20492	1.7	1.71	1.79	RNA binding/RNA splicing
Grin1	Glutamate receptor, ionotropic, NMDA1 (1)	14810	–1.36	–1.08	–2.35	Hormone/growth factors/receptors/effectors
Hmmr	Hyaluron-mediated motility receptor (RHAMM)	15366	2.2	1.19	1.09	Hormone/growth factors/receptors/effectors
Birc5	Baculoviral IAP repeat-containing 5	11799	2.27	1.08	1.65	Apoptosis
Casp2	Caspase-2	12366	1.43	1.21	1.29	Apoptosis
Casp3	Caspase-3, apoptosis-related cysteine protease	12367	1.8	1.02	1.23	Apoptosis
Cav1	Caveolin, caveolae protein	12389	–1.89	–2.84	–2.36	Membrane proteins/transporters
Cd36	CD36 antigen	12491	–2.19	–2.30	–1.58	Membrane proteins/transporters
Cd59a	CD59a antigen	12509	–1.91	–1.36	–1.14	Membrane proteins/transporters
CyP39a1	Cytochrome P450, 39a1 (oxysterol 7-hydroxylase)	56050	1.31	1.22	1.29	Membrane proteins/transporters
Elovl1	Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3,yeast)–like 1	54325	–1.02	–1.35	–1.73	Membrane proteins/transporters
Fxyd1	FXYD domain-containing ion transport regulator 1	56188	–2.85	–2.24	–1.26	Membrane proteins/transporters
Kpna2	Karyopherin (importin) 2	16647	2.35	2.04	2.16	Membrane proteins/transporters
Kpna4	ESTs, highly similar to IMA4_MOUSE importin -4 subunit (karyopherin -4 subunit) (importin Q1) [M. musculus]	16649	–1.04	–1.15	–1.33	Membrane proteins/transporters
Mup1	Major uriry protein 1	17840	–3.57	–1.62	–1.60	Membrane proteins/transporters
Mup2	Major uriry protein 2	17841	–4.89	–2.50	–2.93	Membrane proteins/transporters
Ppap2b	Phosphatidic acid phosphatase type 2B	67916	–2.42	–1.90	–2.57	Membrane proteins/transporters
Ptprb	Protein tyrosine phosphatase, receptor type, B	19263	–1.38	–1.44	–1.29	Membrane proteins/transporters
Tcn2	Transcobalamin 2	17841	–2.67	–1.24	–1.63	Membrane proteins/transporters
Uqcrfs1	Ubiquinol-cytochrome C reductase Rieske iron-sulfur polypeptide 1	66694	2.36	1.35	1.38	Membrane proteins/transporters
Mrpl39	Mitochondrial ribosomal protein L39	27393	–1.79	–2.12	–1.04	Protein translation/metabolism
Cbfb	Core binding factor ß	12400	1.29	1.88	1.21	Transcription factors/regulators
Ezh2	Enhancer of zeste homologue 2 (Drosophila)	14056	2.44	1.9	1.68	Transcription factors/regulators
FoxM1	Forkhead box M1	14235	2.96	1.62	1.81	Transcription factors/regulators
Hoxc8	Homeo box C8	15426	3.19	1.93	2.23	Transcription factors/regulators
Meox2	Mesenchyme homeobox 2	17286	–1.49	–1.77	–1.32	Transcription factors/regulators
Tacc3	Transforming, acidic coiled-coil containing protein 3	21335	2.53	1.71	1.97	Transcription factors/regulators
Tfdp1	Transcription factor Dp 1	21781	1.59	1.17	1.2	Transcription factors/regulators
Calmbp1	Calmodulin binding protein 1	12316	3.34	1.83	2.43	Calcium binding/signaling
C3	Complement component 3	12266	–1.46	–1.47	–1.84	Immune defense response
Cxcl12	Chemokine (C-X-C motif) ligand 12	20315	–1.24	–1.62	–1.23	Immune defense response
Lta	Lymphotoxin A	16992	2.1	1.97	2.3	Immune defense response
Brp44l	Brain protein 44-like	55951	–2.01	–2.47	–1.10	Others
Crym	Crystallin µ	12971	–1.17	–1.20	–1.69	Others
Dleu2	Deleted in lymphocytic leukemia, 2	328425	1.21	1.35	1.38	Others
Grcc8	Gene rich cluster, C8 gene	14793	2.97	1.23	1.87	Others
PHF6	RIKEN cDNA 4931428F02 gene	70998	2.22	1.13	1.23	Others
Serpinf1	Serine (or cysteine) protease inhibitor, clade F, member 1	20317	–1.37	–1.11	–1.42	Others
Sgol1	RIKEN cD 3300001M08 gene	72415	2.56	2.51	2.26	Others
Tnxb	Tescin XB	81877	–1.56	–1.16	–1.07	Others
