Probe	Gene Name	Gene Symbol	p Value	Fold Change	Function
1433919_at	Ankyrin repeat + SOCS box-containing protein 4	Asb4	0.01	33.2	Other
1429273_at	BMP-binding endothelial regulator	Bmper	0.01	32.8	Other
1433707_at	gamma-Aminobutyric acid receptor, subunit alpha 4, mRNA (cDNA clone Mammalian Gene Collection: 106499, Integrated Molecular Analysis of Genome Expression: 6828002)	Gabra4	0.01	14.1	Other
1456326_at	Gene model 784, National Center for Biotechnology Information	Gm784	0.01	10.5	Other
1439506_at	Gene model 98 National Center for Biotechnology Information, gene model 1804 National Center for Biotechnology Information	Gm98, Gm1804	0.01	10.4	Other
1416761_at	Hydroxysteroid 11-beta dehydrogenase 2	Hsd11b2	0.01	8.9	Other
1454622_at	Solute carrier family 38, member 5	Slc38a5	0.01	8.1	Other
1448845_at	Ribonuclease P 25 subunit (human)	Rpp25	0.01	7.5	Other
1455223_at	Insulin-like growth factor 2, binding protein 1	Igf2bp1	0.01	7.5	Other
1444487_at	Lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase) (Lrat), mRNA	Lrat	0.04	6.9	Other
1440371_at	Predicted: similar to hypothetical protein FLJ34960 (Mus musculus), mRNA sequence		0.01	6.9	Other
1420799_at	Neurotensin receptor 1	Ntsr1	0.01	6.7	Other
