Affy ID	Accession	Gene Symbol	Description	Ctrl mean	Ctrl SD	SD/mean Ctrl	BC mean	BC SD	SD/mean BC	BC/ctrl	direction	P-value
200074_s_at	U16738	RPL14	ribosomal protein L14 /// ribosomal protein L14 /// ribosomal protein L14	1.20	0.20	0.17	0.94	0.22	0.24	0.79	down	0.002105193
200091_s_at	AA888388	RPS25	ribosomal protein S25 /// ribosomal protein S25	1.10	0.15	0.14	0.99	0.15	0.15	0.90	down	0.011846416
200095_x_at	AA320764	RPS10	ribosomal protein S10 /// ribosomal protein S10	1.11	0.12	0.11	0.96	0.16	0.17	0.87	down	0.004283246
200099_s_at	AL356115		ribosomal protein S3A /// ribosomal protein S3A	1.07	0.13	0.12	0.96	0.14	0.15	0.90	down	0.032073358
200598_s_at	AI582238	TRA1	tumor rejection antigen (gp96) 1	0.81	0.18	0.22	1.11	0.27	0.24	1.37	up	3.58E-04
200607_s_at	BG289967	RAD21	RAD21 homolog (S. pombe)	0.89	0.13	0.15	1.03	0.33	0.32	1.16	up	0.038369689
200650_s_at	NM_005566	LDHA	lactate dehydrogenase A /// lactate dehydrogenase A	0.89	0.16	0.18	1.26	0.57	0.45	1.41	up	0.030171071
200656_s_at	NM_000918	P4HB	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55) /// procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	0.82	0.18	0.22	1.13	0.41	0.37	1.37	up	0.005964279
200674_s_at	NM_000994	RPL32	ribosomal protein L32 /// ribosomal protein L32	1.15	0.14	0.12	0.99	0.21	0.21	0.87	down	0.005957871
200689_x_at	NM_001404	EEF1G	eukaryotic translation elongation factor 1 gamma	1.11	0.22	0.19	0.98	0.20	0.21	0.88	down	0.038369689
200705_s_at	NM_001959	EEF1B2	eukaryotic translation elongation factor 1 beta 2 /// eukaryotic translation elongation factor 1 beta 2	1.25	0.30	0.24	0.97	0.29	0.30	0.78	down	0.005964279
200715_x_at	BC000514	RPL13A	ribosomal protein L13a	1.13	0.21	0.19	0.93	0.21	0.23	0.83	down	0.014663846
200716_x_at	NM_012423	RPL13A	ribosomal protein L13a /// ribosomal protein L13a	1.08	0.12	0.11	1.00	0.20	0.20	0.93	down	0.045622534
200720_s_at	AL532341	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	0.83	0.15	0.18	1.04	0.40	0.38	1.25	up	0.025024684
200725_x_at	NM_006013	RPL10	ribosomal protein L10	1.09	0.13	0.12	0.99	0.20	0.20	0.91	down	0.016836046
200741_s_at	NM_001030	RPS27	ribosomal protein S27 (metallopanstimulin 1) /// ribosomal protein S27 (metallopanstimulin 1)	1.08	0.09	0.09	1.00	0.14	0.14	0.93	down	0.016849603
200744_s_at	AI741124	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	0.93	0.12	0.12	1.13	0.33	0.29	1.21	up	0.038369689
200745_s_at	AF070603	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1 /// guanine nucleotide binding protein (G protein), beta polypeptide 1	0.94	0.19	0.21	1.16	0.22	0.19	1.24	up	0.030171071
200766_at	NM_001909	CTSD	cathepsin D (lysosomal aspartyl protease) /// cathepsin D (lysosomal aspartyl protease)	0.82	0.27	0.33	1.31	0.63	0.48	1.60	up	0.012741388
200809_x_at	NM_000976	RPL12	ribosomal protein L12 /// ribosomal protein L12	1.16	0.19	0.17	1.00	0.20	0.20	0.87	down	0.006985679
200817_x_at	NM_001014	RPS10	ribosomal protein S10 /// ribosomal protein S10	1.10	0.13	0.12	1.00	0.16	0.16	0.91	down	0.032073358
200819_s_at	NM_001018	RPS15	ribosomal protein S15 /// ribosomal protein S15	1.10	0.13	0.12	0.97	0.16	0.17	0.88	down	0.006454409
200834_s_at	NM_001024	RPS21	ribosomal protein S21 /// ribosomal protein S21	1.22	0.23	0.19	1.00	0.25	0.25	0.82	down	0.005964279
200838_at	NM_001908	CTSB	cathepsin B	0.80	0.19	0.24	1.07	0.36	0.34	1.34	up	0.007553592
200839_s_at	NM_001908	CTSB	cathepsin B /// cathepsin B	0.88	0.14	0.16	1.07	0.28	0.26	1.22	up	0.025024684
200850_s_at	NM_006621	AHCYL1	S-adenosylhomocysteine hydrolase-like 1 /// S-adenosylhomocysteine hydrolase-like 1	1.13	0.17	0.15	1.01	0.14	0.14	0.89	down	0.015718787
200869_at	NM_000980	RPL18A	ribosomal protein L18a /// ribosomal protein L18a	1.17	0.24	0.20	0.98	0.21	0.22	0.84	down	0.013668535
200909_s_at	NM_001004	RPLP2	ribosomal protein, large P2 /// ribosomal protein, large P2	1.15	0.17	0.15	1.01	0.20	0.20	0.88	down	0.006985679
200912_s_at	NM_001967	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2 /// eukaryotic translation initiation factor 4A, isoform 2	1.07	0.14	0.13	0.93	0.17	0.19	0.86	down	0.020589577
200914_x_at	BF589024		kinectin 1 (kinesin receptor)	0.85	0.21	0.25	1.08	0.27	0.25	1.27	up	0.02664114
200933_x_at	NM_001007	RPS4X	ribosomal protein S4, X-linked /// ribosomal protein S4, X-linked	1.16	0.16	0.14	1.03	0.17	0.16	0.89	down	0.004658583
200946_x_at	AI339331	GLUD1	glutamate dehydrogenase 1	0.84	0.12	0.14	0.94	0.23	0.24	1.12	up	0.003934113
200947_s_at	NM_005271	GLUD1	glutamate dehydrogenase 1 /// glutamate dehydrogenase 1	0.88	0.19	0.21	0.97	0.22	0.22	1.10	up	0.030171071
200949_x_at	NM_001023	RPS20	ribosomal protein S20	1.10	0.15	0.14	0.97	0.18	0.18	0.88	down	0.040676371
200972_at	BC000704	TSPAN-3	transmembrane 4 superfamily member 8 /// transmembrane 4 superfamily member 8	1.21	0.36	0.30	0.92	0.24	0.26	0.77	down	0.030171071
200997_at	NM_002896	RBM4	RNA binding motif protein 4 /// RNA binding motif protein 4	1.10	0.14	0.13	1.03	0.22	0.21	0.94	down	0.036169262
201004_at	NM_006280	SSR4	signal sequence receptor, delta (translocon-associated protein delta) /// signal sequence receptor, delta (translocon-associated protein delta)	1.14	0.21	0.18	0.99	0.21	0.21	0.87	down	0.021984286
201027_s_at	NM_015904	IF2	eukaryotic translation initiation factor 5B	1.24	0.39	0.32	0.98	0.28	0.29	0.80	down	0.040700539
201033_x_at	NM_001002	RPLP0	ribosomal protein, large, P0	1.19	0.17	0.14	1.01	0.21	0.21	0.85	down	0.001436014
201049_s_at	NM_022551	na	ribosomal protein S18 /// ribosomal protein S18	1.10	0.11	0.10	1.01	0.17	0.17	0.91	down	0.02664114
201070_x_at	AI739389		splicing factor 3b, subunit 1, 155kDa	0.74	0.33	0.44	1.00	0.16	0.16	1.36	up	0.011024637
201075_s_at	NM_003074	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 /// SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	1.24	0.22	0.18	1.03	0.24	0.23	0.83	down	0.005494224
201083_s_at	AA740754	BTF	BCL2-associated transcription factor 1	0.85	0.17	0.20	0.99	0.15	0.15	1.17	up	0.013668535
201122_x_at	BC000751	EIF5A	eukaryotic translation initiation factor 5A	0.84	0.17	0.20	0.98	0.15	0.16	1.17	up	0.005067366
201143_s_at	BC002513	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	0.89	0.23	0.25	1.05	0.21	0.20	1.19	up	0.023455726
201154_x_at	NM_000968	RPL4	ribosomal protein L4	1.13	0.20	0.18	0.96	0.21	0.21	0.86	down	0.030171071
201163_s_at	NM_001553	IGFBP7	insulin-like growth factor binding protein 7 /// insulin-like growth factor binding protein 7	0.83	0.28	0.34	1.29	0.87	0.68	1.56	up	0.030171071
201164_s_at	BG474429	PUM1	pumilio homolog 1 (Drosophila)	1.17	0.24	0.21	0.97	0.23	0.23	0.83	down	0.028380669
201202_at	NM_002592	PCNA	proliferating cell nuclear antigen /// proliferating cell nuclear antigen	0.88	0.20	0.23	1.46	1.03	0.71	1.66	up	0.02664114
201217_x_at	NM_000967	RPL3	ribosomal protein L3	1.08	0.10	0.09	0.95	0.23	0.24	0.88	down	0.02664114
201222_s_at	AL527365	RAD23B	RAD23 homolog B (S. cerevisiae)	0.95	0.13	0.13	1.19	0.45	0.38	1.25	up	0.043092809
201251_at	NM_002654	PKM2	pyruvate kinase, muscle /// pyruvate kinase, muscle	0.93	0.17	0.19	1.31	0.53	0.40	1.42	up	0.02664114
201254_x_at	NM_001010	RPS6	ribosomal protein S6	1.09	0.12	0.11	0.97	0.16	0.16	0.90	down	0.023455726
201258_at	NM_001020	RPS16	ribosomal protein S16 /// ribosomal protein S16	1.21	0.28	0.23	1.01	0.25	0.24	0.84	down	0.038369689
201299_s_at	NM_018221	C2orf6	chromosome 2 open reading frame 6	0.84	0.15	0.17	1.12	0.50	0.45	1.34	up	0.011846416
201406_at	NM_021029	na	ribosomal protein L36a-like /// ribosomal protein L36a-like	1.13	0.16	0.14	0.98	0.20	0.20	0.86	down	0.040676371
201425_at	NM_000690	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial) /// aldehyde dehydrogenase 2 family (mitochondrial)	0.85	0.23	0.27	1.22	0.53	0.44	1.43	up	0.036191734
201488_x_at	BC000717	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	0.86	0.19	0.22	1.01	0.22	0.22	1.17	up	0.030171071
201489_at	BC005020	PPIF	peptidylprolyl isomerase F (cyclophilin F) /// peptidylprolyl isomerase F (cyclophilin F)	1.14	0.21	0.18	1.00	0.32	0.32	0.88	down	0.022000545
201528_at	BG398414	RPA1	replication protein A1, 70kDa	1.13	0.16	0.14	0.94	0.20	0.22	0.84	down	0.003308497
201529_s_at	NM_002945	RPA1	replication protein A1, 70kDa	1.13	0.19	0.17	0.93	0.16	0.17	0.82	down	0.016849603
201544_x_at	BF675004		poly(A) binding protein, nuclear 1	0.93	0.13	0.15	1.06	0.17	0.16	1.15	up	0.045622534
201545_s_at	NM_004643	PABPN1	poly(A) binding protein, nuclear 1	1.19	0.27	0.23	0.99	0.15	0.15	0.83	down	0.030171071
201591_s_at	NM_007184	NISCH	nischarin /// nischarin	1.16	0.26	0.23	0.97	0.20	0.21	0.84	down	0.043092809
201635_s_at	AI990766	FXR1	fragile X mental retardation, autosomal homolog 1	0.84	0.16	0.19	1.00	0.33	0.33	1.19	up	0.02664114
201647_s_at	NM_005506	SCARB2	scavenger receptor class B, member 2 /// scavenger receptor class B, member 2	0.83	0.18	0.22	1.09	0.27	0.25	1.31	up	0.001742896
201665_x_at	NM_001021	RPS17	ribosomal protein S17 /// ribosomal protein S17	1.12	0.17	0.15	0.99	0.15	0.15	0.88	down	0.008160128
201685_s_at	NM_014828	C14orf92	chromosome 14 open reading frame 92	1.13	0.24	0.21	0.96	0.22	0.23	0.85	down	0.034071627
201700_at	NM_001760	CCND3	cyclin D3 /// cyclin D3	0.93	0.14	0.15	1.17	0.28	0.24	1.26	up	0.028380669
201725_at	NM_006023	C10orf7	chromosome 10 open reading frame 7 /// chromosome 10 open reading frame 7	1.21	0.28	0.23	1.13	0.39	0.34	0.93	down	0.040700539
201739_at	NM_005627	SGK	serum/glucocorticoid regulated kinase /// serum/glucocorticoid regulated kinase	1.17	0.23	0.20	0.93	0.25	0.26	0.80	down	0.006985679
201748_s_at	NM_002967	SAFB	scaffold attachment factor B /// scaffold attachment factor B	1.06	0.18	0.17	0.94	0.19	0.20	0.88	down	0.048269105
201875_s_at	NM_024569	MPZL1	myelin protein zero-like 1	1.29	0.28	0.22	1.00	0.39	0.39	0.78	down	0.005061696
201879_at	AI694332	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	0.90	0.16	0.18	1.02	0.17	0.16	1.13	up	0.048269105
201901_s_at	Z14077	YY1	YY1 transcription factor /// YY1 transcription factor	0.92	0.17	0.18	1.07	0.20	0.18	1.16	up	0.014663846
201917_s_at	AI694452	FLJ10618	hypothetical protein FLJ10618	0.82	0.36	0.44	1.07	0.43	0.40	1.31	up	0.011846416
202029_x_at	NM_000999	RPL38	ribosomal protein L38	1.11	0.14	0.13	1.02	0.17	0.17	0.92	down	0.043092809
202031_s_at	NM_015610	DKFZP434J154	DKFZP434J154 protein	1.13	0.22	0.19	1.01	0.17	0.17	0.89	down	0.038369689
202047_s_at	AI458128	CBX6	chromobox homolog 6	0.83	0.17	0.21	0.98	0.18	0.18	1.19	up	0.003614061
202116_at	NM_006268	REQ	D4, zinc and double PHD fingers family 2 /// D4, zinc and double PHD fingers family 2	1.24	0.30	0.24	0.97	0.22	0.23	0.78	down	0.003934113
202118_s_at	AA541758	CPNE3	copine III	0.85	0.15	0.18	1.76	1.77	1.01	2.06	up	0.001742896
202124_s_at	AV705253		amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3	0.92	0.39	0.42	1.15	0.59	0.51	1.25	up	0.043092809
202131_s_at	NM_003831	RIOK3	RIO kinase 3 (yeast)	0.81	0.21	0.26	1.19	0.69	0.58	1.48	up	0.003614061
202157_s_at	U69546	CUGBP2	CUG triplet repeat, RNA binding protein 2 /// CUG triplet repeat, RNA binding protein 2	1.09	0.12	0.11	1.02	0.18	0.18	0.94	down	0.048269105
202191_s_at	BE439987	GAS7	growth arrest-specific 7	0.76	0.29	0.38	1.23	0.56	0.46	1.61	up	0.003308497
202195_s_at	NM_016040	CGI-100	CGI-100 protein	0.86	0.25	0.29	1.03	0.32	0.31	1.20	up	0.045622534
202205_at	NM_003370	VASP	vasodilator-stimulated phosphoprotein /// vasodilator-stimulated phosphoprotein	0.83	0.27	0.32	1.10	0.31	0.29	1.32	up	0.012730241
202217_at	NM_004649	C21orf33	chromosome 21 open reading frame 33 /// chromosome 21 open reading frame 33	1.20	0.31	0.26	0.97	0.28	0.29	0.81	down	0.036169262
202239_at	NM_006437	ADPRTL1	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1 /// ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1	0.91	0.26	0.29	1.15	0.27	0.23	1.27	up	0.003308497
202251_at	NM_004698	HPRP3P	PRP3 pre-mRNA processing factor 3 homolog (yeast) /// PRP3 pre-mRNA processing factor 3 homolog (yeast)	1.34	0.42	0.31	0.99	0.21	0.22	0.73	down	0.004658583
202290_at	NM_014891	PDAP1	PDGFA associated protein 1 /// PDGFA associated protein 1	0.79	0.25	0.31	1.27	0.73	0.58	1.61	up	0.004658583
