Agilent Probe ID	GeneName	TopHit	Description	P.Value
A_24_P297539	UBE2C	ref|NM_181803|ref|NM_181799|ref|NM_007019|ref|NM_181800	Homo sapiens ubiquitin-conjugating enzyme E2C (UBE2C), transcript variant 6, mRNA [NM_181803]	5.02E-72
A_23_P113111	AR	ref|NM_000044|ref|NM_001011645|gb|M23263|gb|M20132	Homo sapiens androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease) (AR), transcript variant 1, mRNA [NM_000044]	8.33E-72
A_32_P234145	SHC4	ref|NM_203349|gb|AK124916|thc|THC2372273	Homo sapiens rai-like protein (RaLP), mRNA [NM_203349]	9.59E-71
A_23_P74145	CD48	ref|NM_001778|gb|BC016182|gb|X06341|gb|M59904	Homo sapiens CD48 antigen (B-cell membrane protein) (CD48), mRNA [NM_001778]	1.28E-70
A_23_P23048	S100A9	ref|NM_002965|gb|BC047681|gb|CR542224|gb|CR542207	Homo sapiens S100 calcium binding protein A9 (calgranulin B) (S100A9), mRNA [NM_002965]	1.34E-70
A_23_P408363	ITGBL1	gb|AL359052|gb|AK075136|thc|THC2373459	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1968422. [AL359052]	3.17E-70
A_23_P146284	SQLE	ref|NM_003129|gb|D78130|ens|ENST00000265896|gb|AF098865	Homo sapiens squalene epoxidase (SQLE), mRNA [NM_003129]	2.66E-69
A_23_P106362	AQP9	ref|NM_020980|gb|BC026258|gb|AB008775|gb|AF016495	Homo sapiens aquaporin 9 (AQP9), mRNA [NM_020980]	5.95E-69
A_23_P9574	ECT2	ref|NM_018098|gb|AK027713|gb|BC006838|gb|AY376439	Homo sapiens epithelial cell transforming sequence 2 oncogene (ECT2), mRNA [NM_018098]	2.17E-68
A_23_P873	C1orf38	ref|NM_004848|gb|AF044896|gb|AB050854|gb|BC031655	Homo sapiens chromosome 1 open reading frame 38 (C1orf38), mRNA [NM_004848]	8.57E-68
A_23_P133445	GZMA	ref|NM_006144|gb|BC015739|gb|CR456968|gb|M18737	Homo sapiens granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3) (GZMA), mRNA [NM_006144]	1.44E-67
A_23_P401	CENPF	ref|NM_016343|gb|U19769|ens|ENST00000271778|gb|CR597113	Homo sapiens centromere protein F, 350/400ka (mitosin) (CENPF), mRNA [NM_016343]	2.25E-65
A_23_P400465	C6orf51	ref|NM_138408|gb|AF361492|gb|AK057977|gb|CR615266	Homo sapiens chromosome 6 open reading frame 51 (C6orf51), mRNA [NM_138408]	7.98E-65
A_32_P87013	IL8	ref|NM_000584|gb|BC013615|ens|ENST00000307407|gb|Y00787	Homo sapiens interleukin 8 (IL8), mRNA [NM_000584]	5.46E-64
A_23_P18604	LAP3	ref|NM_015907|gb|AF061738|gb|CR605730|gb|CR604573	Homo sapiens leucine aminopeptidase 3 (LAP3), mRNA [NM_015907]	6.44E-64
A_23_P253123	VGLL1	ref|NM_016267|gb|BC000045|gb|CR590059|gb|CR611631	Homo sapiens vestigial like 1 (Drosophila) (VGLL1), mRNA [NM_016267]	1.38E-63
A_23_P150316	MMP12	ens|ENST00000326227|gb|CR603756|gb|CR594246|thc|THC2416644	full-length cDNA clone CS0DI002YD16 of Placenta Cot 25-normalized of Homo sapiens (human). [CR603756]	2.20E-63
A_23_P103310	S100A7	ref|NM_002963|gb|BC034687|gb|CR542164|gb|M86757	Homo sapiens S100 calcium binding protein A7 (psoriasin 1) (S100A7), mRNA [NM_002963]	3.01E-62
A_23_P167159	SCRG1	ref|NM_007281|gb|AJ224677|gb|BC017583|gb|AY359040	Homo sapiens scrapie responsive protein 1 (SCRG1), mRNA [NM_007281]	3.85E-62
A_24_P8371	MYBBP1A	gb|BC041772|ens|ENST00000329078|gb|BC065221|thc|THC2435403	Homo sapiens, Similar to spinster-like protein, clone IMAGE:4814561, mRNA, partial cds. [BC041772]	2.86E-61
A_23_P138194	NCF2	ref|NM_000433|gb|CR593013|gb|AB209647|gb|M32011	Homo sapiens neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2) (NCF2), mRNA [NM_000433]	4.22E-61
A_23_P64743	STK38L	ref|NM_015000|gb|BC028603|gb|AB023182|ens|ENST00000282893	Homo sapiens serine/threonine kinase 38 like (STK38L), mRNA [NM_015000]	1.86E-59
A_23_P255016	UGCGL1	ref|NM_020120|gb|AK023671|gb|AF227905|gb|AK074251	Homo sapiens UDP-glucose ceramide glucosyltransferase-like 1 (UGCGL1), mRNA [NM_020120]	2.44E-59
A_23_P51231	RUNX3	ref|NM_004350|gb|Z35278|thc|THC2337057	Homo sapiens runt-related transcription factor 3 (RUNX3), mRNA [NM_004350]	4.76E-59
A_23_P117602	GZMB	ref|NM_004131|gb|AY232655|gb|AY232656|gb|AY372494	Homo sapiens granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1) (GZMB), mRNA [NM_004131]	1.37E-58
A_23_P214821	EDN1	ref|NM_001955|gb|BC009720|gb|CR605456|gb|CR591383	Homo sapiens endothelin 1 (EDN1), mRNA [NM_001955]	2.06E-57
A_23_P7313	SPP1	ref|NM_000582|gb|BC022844|ens|ENST00000237623|ens|ENST00000359072	Homo sapiens secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1) (SPP1), mRNA [NM_000582]	2.68E-57
A_23_P78248	KRT23	ref|NM_173213|ref|NM_015515|gb|AL117538|gb|AF102848	Homo sapiens keratin 23 (histone deacetylase inducible) (KRT23), transcript variant 2, mRNA [NM_173213]	2.86E-57
A_23_P74290	GBP5	ref|NM_052942|gb|AF430642|gb|BC033761|gb|AF288815	Homo sapiens guanylate binding protein 5 (GBP5), mRNA [NM_052942]	2.21E-56
A_23_P127948	ADM	ref|NM_001124|gb|BC015961|gb|CR599806|gb|CR619368	Homo sapiens adrenomedullin (ADM), mRNA [NM_001124]	2.48E-56
A_23_P93027	FGF18	ref|NM_003862|gb|AF075292|gb|BC006245|thc|THC2238947	Homo sapiens fibroblast growth factor 18 (FGF18), transcript variant 1, mRNA [NM_003862]	1.10E-55
A_24_P216654	SOAT1	ref|NM_003101|gb|BC028940|gb|AL833625|thc|THC2258038	Homo sapiens sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1 (SOAT1), transcript variant 688113, mRNA [NM_003101]	1.69E-55
A_24_P462899	C6orf173	ref|NM_001012507|gb|AY902475|gb|BC046178|gb|BC039556	Homo sapiens chromosome 6 open reading frame 173 (C6orf173), mRNA [NM_001012507]	2.99E-54
A_32_P60065	F2RL2	ref|NM_004101|gb|BX537386|thc|THC2238152|thc|THC2441800	Homo sapiens coagulation factor II (thrombin) receptor-like 2 (F2RL2), mRNA [NM_004101]	3.49E-54
A_23_P52017	ASPM	ref|NM_018136|gb|AY367065|ens|ENST00000294732|gb|AF509326	Homo sapiens asp (abnormal spindle)-like, microcephaly associated (Drosophila) (ASPM), mRNA [NM_018136]	4.50E-54
A_23_P253177	STK24	ref|NM_003576|gb|BC035578|gb|CR594698|gb|AF024636	Homo sapiens serine/threonine kinase 24 (STE20 homolog, yeast) (STK24), mRNA [NM_003576]	6.23E-54
A_24_P759477	ITGB8	gb|BC042028|thc|THC2268868	Homo sapiens, clone IMAGE:4794726, mRNA. [BC042028]	6.75E-54
A_23_P430818	HSPC159	ref|NM_014181|gb|BC062691|gb|AF161508|thc|THC2336632	Homo sapiens HSPC159 protein (HSPC159), mRNA [NM_014181]	1.02E-53
A_23_P3866	COTL1	ref|NM_021149|gb|AK127352|gb|BC053682|gb|CR625832	Homo sapiens coactosin-like 1 (Dictyostelium) (COTL1), mRNA [NM_021149]	1.17E-53
A_23_P57658	HRASLS	ref|NM_020386|gb|AB030816|gb|AY251533|gb|BC048095	Homo sapiens HRAS-like suppressor (HRASLS), mRNA [NM_020386]	1.68E-52
A_23_P379614	OIP5	ref|NM_007280|gb|BC015050|gb|CR603974|gb|AF025441	Homo sapiens Opa interacting protein 5 (OIP5), mRNA [NM_007280]	2.23E-52
A_32_P184394	TFEC	ref|NM_012252|ref|NM_001018058|gb|CR933605|gb|BX538223	Homo sapiens transcription factor EC (TFEC), transcript variant 1, mRNA [NM_012252]	5.66E-52
A_23_P259071	AREG	ref|NM_001657|gb|BC009799|gb|CR617114|gb|CR606995	Homo sapiens amphiregulin (schwannoma-derived growth factor) (AREG), mRNA [NM_001657]	1.45E-51
A_23_P138985	CD3D	ref|NM_000732|gb|CR599233|gb|CR611428|gb|BC070321	Homo sapiens CD3D antigen, delta polypeptide (TiT3 complex) (CD3D), mRNA [NM_000732]	2.24E-51
A_32_P9382		gb|AK025522|gb|BC047655|gb|BC062361|gb|XM_495961	Homo sapiens cDNA: FLJ21869 fis, clone HEP02442. [AK025522]	3.41E-51
A_23_P366468	BXDC1	ens|ENST00000246228	Unknown	5.21E-51
A_23_P1691	MMP1	ref|NM_002421|gb|BC013118|gb|BC013875|gb|AK223035	Homo sapiens matrix metalloproteinase 1 (interstitial collagenase) (MMP1), mRNA [NM_002421]	6.98E-51
A_32_P25050	RDH10	ref|NM_172037|gb|BC067131|thc|THC2259164	Homo sapiens retinol dehydrogenase 10 (all-trans) (RDH10), mRNA [NM_172037]	8.94E-51
A_24_P371053	ORMDL1	ref|NM_016467|gb|AK075160|gb|CR602229|gb|AK074756	Homo sapiens ORM1-like 1 (S. cerevisiae) (ORMDL1), mRNA [NM_016467]	9.27E-51
A_23_P259333	C6orf203	ref|NM_016487|gb|BC010899|gb|CR622886|gb|AK091564	Homo sapiens chromosome 6 open reading frame 203 (C6orf203), mRNA [NM_016487]	9.80E-51
A_23_P502520	IL4I1	ref|NM_172374|ref|NM_152899|gb|BC064378|gb|AY358933	Homo sapiens interleukin 4 induced 1 (IL4I1), transcript variant 2, mRNA [NM_172374]	3.17E-50
A_23_P102611	WISP2	ref|NM_003881|gb|BC017782|gb|BC058074|gb|AK129660	Homo sapiens WNT1 inducible signaling pathway protein 2 (WISP2), mRNA [NM_003881]	5.01E-50
A_23_P393099	TFF3	ref|NM_003226|gb|BC017859|ens|ENST00000291525|gb|L08044	Homo sapiens trefoil factor 3 (intestinal) (TFF3), mRNA [NM_003226]	1.47E-49
A_23_P82990	OGN	ref|NM_033014|ref|NM_024416|ref|NM_014057|gb|AF173383	Homo sapiens osteoglycin (osteoinductive factor, mimecan) (OGN), transcript variant 1, mRNA [NM_033014]	2.37E-49
A_23_P56898	KYNU	ref|NM_003937|gb|U57721|gb|CR457423|gb|CR609484	Homo sapiens kynureninase (L-kynurenine hydrolase) (KYNU), mRNA [NM_003937]	2.97E-49
A_23_P85800	CD52	ref|NM_001803|gb|BC000644|ens|ENST00000305548|gb|X62466	Homo sapiens CD52 antigen (CAMPATH-1 antigen) (CD52), mRNA [NM_001803]	4.01E-49
A_23_P500000	SCEL	ref|NM_144777|ref|NM_003843|gb|AF045941|gb|AK025320	Homo sapiens sciellin (SCEL), transcript variant 2, mRNA [NM_144777]	5.24E-49
A_23_P157435	AZIN1	ref|NM_015878|ref|NM_148174|gb|BC013420|gb|D88674	Homo sapiens antizyme inhibitor 1 (AZIN1), transcript variant 1, mRNA [NM_015878]	9.98E-49
A_23_P42588	GIMAP5	ref|NM_018384|gb|AK055568|gb|CR594804|gb|CR614401	Homo sapiens GTPase, IMAP family member 5 (GIMAP5), mRNA [NM_018384]	1.23E-48
A_23_P206280	GPR56	ref|NM_201525|ref|NM_201524|ref|NM_005682|gb|AK131550	Homo sapiens G protein-coupled receptor 56 (GPR56), transcript variant 3, mRNA [NM_201525]	1.32E-48
A_23_P39955	ACTG2	ref|NM_001615|gb|BC012617|gb|AK124338|gb|X16940	Homo sapiens actin, gamma 2, smooth muscle, enteric (ACTG2), mRNA [NM_001615]	4.04E-48
A_23_P309739	ESR1	ref|NM_000125|gb|X03635|thc|THC2337408	Homo sapiens estrogen receptor 1 (ESR1), mRNA [NM_000125]	7.86E-48
A_24_P937159	KLF8	gb|AB209004|gb|AK054627|thc|THC2312426	Homo sapiens mRNA for Hypothetical protein DKFZp686O08126 variant protein. [AB209004]	8.26E-48
A_32_P49764	SNTG2	thc|THC2394165|thc|THC2341816	DBP_HUMAN (Q10586) D-site-binding protein (Albumin D box-binding protein) (TAXREB302), partial (6%) [THC2394165]	2.16E-47
A_23_P91230	SLPI	ref|NM_003064|gb|BC020708|gb|X04470|gb|AX772818	Homo sapiens secretory leukocyte protease inhibitor (antileukoproteinase) (SLPI), mRNA [NM_003064]	3.40E-47
A_23_P204847	LCP1	ref|NM_002298|gb|BC010271|gb|CR617209|gb|CR593418	Homo sapiens lymphocyte cytosolic protein 1 (L-plastin) (LCP1), mRNA [NM_002298]	1.13E-46
A_23_P253752	FAM54A	ref|NM_138419|gb|AK125758|gb|BC063688|gb|BC011716	Homo sapiens family with sequence similarity 54, member A (FAM54A), mRNA [NM_138419]	5.76E-46
A_23_P213745	CXCL14	ref|NM_004887|gb|AY358906|gb|AF144103|gb|AF106911	Homo sapiens chemokine (C-X-C motif) ligand 14 (CXCL14), mRNA [NM_004887]	1.33E-45
A_32_P68103	PRND	ref|NM_012409|gb|BC043644|gb|AF086354|thc|THC2273890	Homo sapiens prion protein 2 (dublet) (PRND), mRNA [NM_012409]	1.42E-45
A_24_P45476	XCL1	ref|NM_002995|ref|NM_003175|gb|D43768|gb|U23772	Homo sapiens chemokine (C motif) ligand 1 (XCL1), mRNA [NM_002995]	3.23E-45
A_23_P55584	RIOK3	ref|NM_145906|ref|NM_003831|gb|BC039729|gb|AF013591	Homo sapiens RIO kinase 3 (yeast) (RIOK3), transcript variant 2, mRNA [NM_145906]	1.31E-44
A_23_P93269	ZNF165	ref|NM_003447|gb|U78722|gb|X84801|gb|AY366500	Homo sapiens zinc finger protein 165 (ZNF165), mRNA [NM_003447]	1.63E-44
A_24_P680947	KIF18B	gb|BC067365|gb|BC044933|ens|ENST00000335534|gb|BC048263	Homo sapiens hypothetical protein LOC146909, mRNA (cDNA clone IMAGE:4587138), partial cds. [BC067365]	2.27E-44
A_23_P357207	C6orf117	ref|NM_138409|gb|AK090775|gb|AX746611|gb|BC010003	Homo sapiens chromosome 6 open reading frame 117 (C6orf117), mRNA [NM_138409]	3.23E-44
A_23_P251421	CDCA7	ref|NM_031942|ref|NM_145810|gb|AL834186|gb|AL833728	Homo sapiens cell division cycle associated 7 (CDCA7), transcript variant 1, mRNA [NM_031942]	7.51E-44
A_24_P923984	SGOL1	gb|AK024292	Homo sapiens cDNA FLJ14230 fis, clone NT2RP3004349. [AK024292]	1.31E-43
A_23_P121665	SORCS2	ref|NM_020777|gb|AB037750|ens|ENST00000329016|ens|ENST00000360303	Homo sapiens sortilin-related VPS10 domain containing receptor 2 (SORCS2), mRNA [NM_020777]	1.83E-43
A_23_P211561	MEI1	gb|AK093341|gb|AK097834|gb|AK128158|gb|AK094461	Homo sapiens cDNA FLJ36022 fis, clone TESTI2016599. [AK093341]	2.43E-42
A_23_P21092	CALB2	ref|NM_001740|ref|NM_007087|ref|NM_007088|gb|X56667	Homo sapiens calbindin 2, 29kDa (calretinin) (CALB2), transcript variant CALB2, mRNA [NM_001740]	2.70E-42
A_24_P407235	CRY1	ref|NM_004075|gb|AK098615|gb|BC030519|ens|ENST00000319645	Homo sapiens cryptochrome 1 (photolyase-like) (CRY1), mRNA [NM_004075]	3.09E-42
A_23_P146456	CTSL2	ref|NM_001333|gb|AY358641|gb|AF070448|gb|Y14734	Homo sapiens cathepsin L2 (CTSL2), mRNA [NM_001333]	4.85E-42
A_24_P365767	CYBB	ref|NM_000397|gb|BC032720|gb|X04011|thc|THC2245973	Homo sapiens cytochrome b-245, beta polypeptide (chronic granulomatous disease) (CYBB), mRNA [NM_000397]	4.97E-42
A_23_P18372	B3GNT5	ref|NM_032047|gb|AB045278|gb|AB209517|gb|AK074235	Homo sapiens UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 (B3GNT5), mRNA [NM_032047]	5.62E-42
A_32_P119154	IQGAP3	gb|AI345640|gb|AA613834|gb|BE138636|gb|AI144063	AI345640 tb83h08.x1 NCI_CGAP_Lu26 Homo sapiens cDNA clone IMAGE:2060991 3, mRNA sequence [AI345640]	5.84E-42
A_23_P417363	RSNL2	gb|AK024722|gb|AK057267|gb|AF433661|gb|BC015310	Homo sapiens cDNA: FLJ21069 fis, clone CAS01594. [AK024722]	7.41E-42
A_23_P252711	LACTB2	ref|NM_016027|gb|AF151841|gb|BC000878|gb|BC008505	Homo sapiens lactamase, beta 2 (LACTB2), mRNA [NM_016027]	1.23E-41
A_23_P111593	PSCD3	ref|NM_004227|gb|BC008191|gb|BC028717|gb|AJ223957	Homo sapiens pleckstrin homology, Sec7 and coiled-coil domains 3 (PSCD3), mRNA [NM_004227]	2.87E-41
A_24_P78531	CLEC4E	ref|NM_014358|gb|AB024718|gb|BC000715|gb|AY358499	Homo sapiens C-type lectin domain family 4, member E (CLEC4E), mRNA [NM_014358]	4.68E-41
A_23_P314024	HLA-F	ref|NM_018950|thc|THC2257471	Homo sapiens major histocompatibility complex, class I, F (HLA-F), mRNA [NM_018950]	6.65E-41
A_23_P102391	SLC40A1	ref|NM_014585|gb|AK002038|gb|BC037733|gb|AK223236	Homo sapiens solute carrier family 40 (iron-regulated transporter), member 1 (SLC40A1), mRNA [NM_014585]	7.25E-41
A_24_P712350	CHML	ref|NM_001821|gb|AK023423|gb|AK000933|thc|THC2336929	Homo sapiens choroideremia-like (Rab escort protein 2) (CHML), mRNA [NM_001821]	2.18E-40
A_23_P203173	IL10RA	ref|NM_001558|gb|BC028082|gb|U00672|gb|AB209626	Homo sapiens interleukin 10 receptor, alpha (IL10RA), mRNA [NM_001558]	7.79E-40
A_23_P434809	S100A8	ref|NM_002964|gb|BC005928|gb|X06234|gb|Y00278	Homo sapiens S100 calcium binding protein A8 (calgranulin A) (S100A8), mRNA [NM_002964]	8.00E-40
A_32_P18475	A_32_P18475	gb|AW205591|thc|THC2340539	UI-H-BI1-afr-b-02-0-UI.s1 NCI_CGAP_Sub3 Homo sapiens cDNA clone IMAGE:2722515 3, mRNA sequence [AW205591]	2.26E-39
A_23_P122443	HIST1H1C	ref|NM_005319|gb|BC002649|gb|CR614667|thc|THC2256879	Homo sapiens histone 1, H1c (HIST1H1C), mRNA [NM_005319]	2.47E-39
A_23_P319423	KCNK5	ref|NM_003740|gb|BC060793|gb|AK001897|gb|AF084830	Homo sapiens potassium channel, subfamily K, member 5 (KCNK5), mRNA [NM_003740]	3.48E-39
A_23_P363778	FRZB	ref|NM_001463|gb|U91903|gb|BT019883|gb|CR593578	Homo sapiens frizzled-related protein (FRZB), mRNA [NM_001463]	1.90E-38
A_24_P125871	RIPK4	ref|NM_020639|gb|AL137448|gb|AB047783|ens|ENST00000352483	Homo sapiens receptor-interacting serine-threonine kinase 4 (RIPK4), mRNA [NM_020639]	2.55E-38
A_23_P35871	FLJ23311	ref|NM_024680|gb|AK026964|gb|AK055206|gb|BC090877	Homo sapiens likely ortholog of mouse E2F transcription factor 8 (E2F8), mRNA [NM_024680]	7.91E-38
A_32_P37592	ACAA2	thc|THC2301370	Q7Z5X4 (Q7Z5X4) Intermediate filament-like protein MGC:2625, isoform 1, partial (12%) [THC2301370]	9.64E-38
A_24_P114249	GALNT3	ref|NM_004482|gb|BX647473|thc|THC2371684	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3) (GALNT3), mRNA [NM_004482]	1.40E-37
A_23_P78958	CAPS	ref|NM_004058|ref|NM_080590|gb|AK090469|gb|BC011961	Homo sapiens calcyphosine (CAPS), transcript variant 1, mRNA [NM_004058]	1.58E-37
A_23_P116123	CHEK1	ref|NM_001274|gb|BC017575|gb|AF016582|gb|CR591943	Homo sapiens CHK1 checkpoint homolog (S. pombe) (CHEK1), mRNA [NM_001274]	2.26E-37
A_23_P68759	TFF1	ref|NM_003225|gb|BC032811|gb|X52003|gb|M12075	Homo sapiens trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in) (TFF1), mRNA [NM_003225]	4.78E-37
A_23_P254165	RAI2	ref|NM_021785|gb|BC027937|gb|AK056214|thc|THC2299867	Homo sapiens retinoic acid induced 2 (RAI2), mRNA [NM_021785]	4.97E-36
A_23_P329768	GREB1	ref|NM_014668|gb|AB011147|gb|BC054502|ens|ENST00000234142	Homo sapiens GREB1 protein (GREB1), transcript variant a, mRNA [NM_014668]	1.10E-35
A_32_P163247	CD8A	ref|NM_001768|ref|NM_171827|gb|M12824|gb|AK124156	Homo sapiens CD8 antigen, alpha polypeptide (p32) (CD8A), transcript variant 1, mRNA [NM_001768]	2.03E-35
A_24_P936252	A_24_P936252	thc|THC2269172	Unknown	3.50E-35
A_24_P77904	HOXA10	ref|NM_018951|ref|NM_153715|gb|BC013971|gb|BC007600	Homo sapiens homeo box A10 (HOXA10), transcript variant 1, mRNA [NM_018951]	1.11E-34
A_23_P161076	CD2	ref|NM_001767|gb|BC033583|gb|M16445|gb|M16336	Homo sapiens CD2 antigen (p50), sheep red blood cell receptor (CD2), mRNA [NM_001767]	1.43E-34
A_23_P39386	HCST	ref|NM_014266|ref|NM_001007469|gb|AY359058|gb|BC046348	Homo sapiens hematopoietic cell signal transducer (HCST), transcript variant 1, mRNA [NM_014266]	1.35E-33
A_23_P218988	SLC30A5	ref|NM_022902|gb|AK022818|gb|BC003411|gb|AF212235	Homo sapiens solute carrier family 30 (zinc transporter), member 5 (SLC30A5), mRNA [NM_022902]	1.46E-33
A_23_P157527	LRRCC1	ref|NM_033402|gb|BC070092|gb|AB051551|gb|AK057990	Homo sapiens KIAA1764 protein (KIAA1764), mRNA [NM_033402]	3.29E-33
A_32_P170406	TLN2	ref|NM_015059|gb|AF402000|ens|ENST00000306829|thc|THC2401939	Homo sapiens talin 2 (TLN2), mRNA [NM_015059]	5.21E-33
A_23_P323751	C20orf129	ref|NM_030919|gb|AK055793|gb|BC063661|gb|BC053683	Homo sapiens chromosome 20 open reading frame 129 (C20orf129), mRNA [NM_030919]	4.17E-32
A_23_P50108	KNTC2	ref|NM_006101|gb|BC035617|gb|CR609890|gb|AF017790	Homo sapiens kinetochore associated 2 (KNTC2), mRNA [NM_006101]	7.48E-32
A_23_P94204	OXR1	ref|NM_181354|gb|BC032710|gb|AK000987|gb|BC035484	Homo sapiens oxidation resistance 1 (OXR1), mRNA [NM_181354]	5.28E-31
A_23_P258504		gb|BC063385|gb|BC039714|gb|BC070344|gb|BC070364	Homo sapiens T cell receptor alpha locus, mRNA (cDNA clone MGC:71411 IMAGE:4853814), complete cds. [BC063385]	6.70E-31
