UniGene cluster ID	GenBank accession number	Gene title	Gene symbol	Fold change	Function
Hs.483944	AK025252.1	ADAM metallopeptidase domain 19 (meltrin beta)	ADAM19	22.63	Metabolism
Hs.567495	BC005184.1	TRNA nucleotidyl transferase, CCA-adding, 1	TRNT1	4.29	Metabolism
Hs.529571	AI802099	Retinol binding protein 1, cellular	RBP1	12.13	Metabolism
Hs.117176	AI130920	Poly(A) binding protein, nuclear 1	PABPN1	-5.28	Muscle contraction
Hs.9914	NM_013409.1	Follistatin	FST	-55.41	Negative regulation of hormone secretion
Hs.624	NM_000584.1	Interleukin 8	IL-8	-9.19	Pro-angiogenesis
Hs.500466	AK021487.1	Phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	PTEN	55.72	Pro-apoptosis
Hs.450230	M31159.1	Insulin-like growth factor binding protein 3	IGFBP3	6.64	Pro-apoptosis
Hs.104925	NM_003633.1	Ectodermal-neural cortex (with BTB-like domain)	ENC1	4	Pro-proliferation
Hs.646364	NM_006533.1	Melanoma inhibitory activity	MIA	-4.59	Pro-proliferation
Hs.646346	NM_000820.1	Growth arrest-specific 6	GAS6	-5.66	Pro-proliferation
Hs.153058	NM_001732.1	Butyrophilin, subfamily 1, member A1	BTN1A1	25.99	Receptor activity
Hs.486354	AF225513.1	Protein kinase (cAMP-dependent, catalytic) inhibitor beta	PKIB	5.13	Regulation of catalytic activity
Hs.567255	AB018261.1	Diacylglycerol kinase, beta 90 kDa	DGKB	-17.15	Regulation of catalytic activity
Hs.99886	NM_000716.1	Complement component 4 binding protein, beta	C4BPB	-6.06	Response to stimulus
Hs.465295	BF217539	Lectin, mannose-binding, 1	LMAN1	-13.48	Response to stimulus
Hs.654362	NM_002261.1	Killer cell lectin-like receptor subfamily C, member 3 (Homo sapiens)	KLRC3	14.93	Response to stimulus
Hs.591157	NM_002260.2	Killer cell lectin-like receptor subfamily C, member 2 (Homo sapiens)	KLRC2	4.29	Response to stimulus
Hs.275775	NM_005410.1	Selenoprotein P, plasma, 1	SEPP1	13	Response to stimulus
Hs.660143	NM_021822.1	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G (Homo sapiens)	APOBEC3G	-8.57	Response to virus
Hs.198072	NM_002600.1	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 duncehomolog, Drosophila)	PDE4B	8.11	Signal transduction
Hs.590920	AU157324	Ras association (RalGDS/AF-6) domain family 6	RASSF6	6.96	Signal transduction
Hs.593027	AI355441	Sprouty homolog 4 (Drosophila)	SPRY4	-4.29	Signal transduction
Hs.73739	R44298	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	HTR7	4.92	Signal transduction
Hs.83381	NM_004126.1	Guanine nucleotide binding protein (G protein), gamma 11	GNG11	-13.93	Signal transduction
Hs.435013	AI754423	Vestigial like 3 (Drosophila)	VGLL3	13.93	Transcription
Hs.288995	BC027922.1	Zinc finger protein 587	ZNF587	13.93	Transcription
Hs.676168	BE675108	Hypothetical protein LOC730245	LOC730245	10.56	Transcription
Hs.534074	NM_006162.1	Nuclear factor of activated T-cells, cytoplasmic,calcineurin-dependent 1	NFATC1	6.96	Transcription
Hs.224843	AI056364	Zinc finger protein 502	ZNF502	6.5	Transcription
Hs.241529	AI916600	Hepatocyte nuclear factor 4, gamma	HNF4G	5.66	Transcription
Hs.279840	NM_013360.1	Zinc finger protein 222	ZNF222	5.66	Transcription
Hs.444931	AK022156.1	Cofactor required for Sp1 transcriptional activation, subunit 6, 77 kDa	CRSP6	5.28	Transcription
Hs.437075	AI819043	CAMP responsive element binding protein 5	CREB5	4.92	Transcription
Hs.644595	AW014345	Similar to zinc finger protein 418	LOC730051	4.29	Transcription
Hs.655043	BQ777552	Cofactor of BRCA1	COBRA1	-4.00	Transcription
Hs.558440	AI373854	KIAA0415 protein	KIAA0415	-5.66	Transcription
Hs.189826	AK000847.1	Zinc finger protein 236	ZNF236	-9.19	Transcription
Hs.23270	AA721240	Enhancer of polycomb homolog 2 (Drosophila)	EPC2	-11.31	Transcription
Hs.34024	BF431017	TRAF2 and NCK interacting kinase	TNIK	4.92	Translation
Hs.591918	AW970089	Nanos homolog 1 (Drosophila)	NANOS1	-7.96	Translation
Hs.371001	AA628539	Eukaryotic translation initiation factor 3, subunit 9 eta, 116 kDa	EIF3S9	-18.38	Translation
Hs.419240	NM_006931.1	Solute carrier family 2 (facilitated glucose transporter), member 3 (Homo sapiens)	SLC2A3	-4.00	Transport
Hs.250	BG260086	Xanthine dehydrogenase	XDH	-4.29	Transport
Hs.187393	NM_021187.1	Cytochrome P450, family 4, subfamily F, polypeptide 11 (Homo sapiens)	CYP4F11	-13.00	Transport
Hs.31720	NM_014799.1	Hephaestin	HEPH	13.93	Transport
Hs.527919	AL137645.1	Karyopherin alpha 3 (importin alpha 4)	KPNA3	9.19	Transport
Hs.347144	BC033959.1	Chromosome 6 open reading frame 192	C6orf192	14.93	Transport
