Gene ID	SAM Score(d)	Fold Change
P4HA1	-6.051713675	0.409943793
BCMP11	-6.033817113	0.292798603
CMKOR1	-6.02481053	0.379932318
OLFM1	-6.013047508	0.491676839
XPOT	-5.941044131	0.468678585
AP1S1	-5.940653054	0.381649259
LOC377970	-5.928835997	0.438283496
WDR34	-5.878186803	0.487219177
PRO2000	-5.818272416	0.433413464
PSMC4	-5.802551344	0.279965783
ADAM9	-5.774164681	0.294765642
TUBB	-5.752419792	0.37265183
HIST1H3H	-5.711862417	0.358139042
ILF3	-5.617679877	0.443329465
HIST2H2AC	-5.51536624	0.108000179
PABPN1	-5.433031649	0.494963319
ATP2A2	-5.399950709	0.363781396
ADD3	-5.386094639	0.489374241
CRK	-5.240280851	0.496472503
LOC129439	-5.212861313	0.324125396
NUSAP1	-5.185024797	0.492452819
EIF4EBP1	-5.102159595	0.499594897
HM13	-5.042974264	0.427128533
HIST1H2AE	-4.981481134	0.472555384
EIF5A	-4.953229684	0.312467363
Hes4	-4.948101521	0.484502526
UBC	-4.900656529	0.407233803
BTG3	-4.888605904	0.482239839
HRASLS3	-4.836701238	0.244972042
CFL1	-4.831545508	0.286635105
G2AN	-4.706391301	0.359695061
TUBG1	-4.694458991	0.427832544
MRPL12	-4.678081725	0.49767968
HIST1H4H	-4.633884547	0.252808218
DKFZP564J0863	-4.55859496	0.203815067
BACH	-4.535359796	0.403596211
LOC338692	-4.511538406	0.446901926
SAH	-4.510458795	0.498922805
HIST1H3D	-4.510120872	0.487762608
HIST1H2BG	-4.500171361	0.337884971
HIST1H2BJ	-4.487747585	0.245039747
SLC12A7	-4.472697271	0.416437862
PLA1A	-4.41910825	0.419216783
E2F2	-4.390093416	0.484364819
KCNS3	-4.273349131	0.465489986
POLA2	-4.198048077	0.497439669
HIST1H2AC	-4.19638273	0.402501248
FLJ10199	-4.133439837	0.443931531
C20orf97	-4.096204848	0.459182278
HT021	-4.082802189	0.431020026
LOC387908	-4.041614226	0.26798706
FASN	-4.034291474	0.354378739
CSRP1	-3.959608279	0.465325546
DUSP4	-3.907124454	0.232094937
BZRP	-3.843243133	0.327576353
HIST1H2BK	-3.815646901	0.423450448
HIST1H2BE	-3.810889657	0.369979403
LOC375215	-3.778651143	0.481932599
HIST1H2BH	-3.697063423	0.301139371
LOC375683	-3.696981097	0.484044884
DBP	-3.626214346	0.433724934
SAT	-3.573461424	0.479319313
HIST1H3C	-3.508427423	0.495498965
YAP1	-3.489942091	0.390921108
ANKRD9	-3.484028346	0.497022843
LGALS8	-3.424771693	0.313045911
CANP	-3.409583773	0.487570967
GGTL4	-3.378215504	0.424111705
H2BFS	-3.155230661	0.241751255
RPLP0	-3.090597963	0.314416339
RNPC6	-3.053356892	0.495798104
