CLASSIFICATION	Gene Name	Gene Symbol	fold change (down regulated)
signal transduction	FYN oncogene related to SRC, FGR, YES	FYN	4.1
signal transduction	RAB27A, member RAS oncogene family	RAB27A	3.8
signal transduction	HSPC163 protein	HSPC163	3.5
signal transduction	interleukin 13 receptor, alpha 1	IL13RA1	3.1
signal transduction	calmodulin 1 (phosphorylase kinase, delta)	CALM1	3.1
signal transduction	IQ motif containing GTPase activating protein 1	IQGAP1	2.9
cell adhesion	nidogen (enactin)	NID	14.1
cell adhesion	CD36 antigen (collagen type I receptor, thrombospondin receptor)	CD36	10.4
cell adhesion	CD96 antigen	CD96	10.1
cell adhesion	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	9.7
cell adhesion	lectin, galactoside-binding, soluble, 2 (galectin 2)	LGALS2	8.4
cell adhesion	ficolin (collagen/fibrinogen domain containing) 1	FCN1	7.7
cell adhesion	NEL-like 2 (chicken)	NELL2	7.6
cell adhesion	integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide)	ITGAM	7.2
cell adhesion	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	ITGAX	5.4
cell adhesion	neural precursor cell expressed, developmentally down-regulated 9	NEDD9	4.3
cell adhesion	sialic acid binding Ig-like lectin 7	SIGLEC7	3.8
cell adhesion	leupaxin /// leupaxin	LPXN	3.6
cell adhesion	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 13 (macrophage-derived)	CLECSF13	3.6
catabolism	elastase 2, neutrophil	ELA2	22.4
catabolism	granzyme K (serine protease, granzyme 3; tryptase II)	GZMK	19.8
catabolism	hexokinase 3 (white cell)	HK3	16.7
catabolism	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	PRTN3	8.8
catabolism	kynureninase (L-kynurenine hydrolase)	KYNU	6.8
catabolism	cathepsin H	CTSH	6.6
catabolism	ribonuclease, RNase A family, 3 (eosinophil cationic protein)	RNASE3	6.5
catabolism	carboxypeptidase, vitellogenic-like /// carboxypeptidase, vitellogenic-like	CPVL	6.2
catabolism	likely homolog of rat and mouse retinoid-inducible serine carboxypeptidase	RISC	5.2
catabolism	succinate-CoA ligase, GDP-forming, beta subunit	SUCLG2	4.2
catabolism	cathepsin B	CTSB	4
catabolism	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast), ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast) /// ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	UBE2D1	3.7
catabolism	zinc finger protein 36, C3H type, homolog (mouse)	ZFP36	3.7
catabolism	a disintegrin and metalloproteinase domain 19 (meltrin beta)	ADAM19	2.6
cell death	granzyme H (cathepsin G-like 2, protein h-CCPX)	GZMH	30.8
cell death	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	GZMB	24.9
cell death	G protein-coupled receptor 65	GPR65	10.2
cell death	serum/glucocorticoid regulated kinase	SGK	8.5
cell death	protein kinase C, alpha	PRKCA	5.5
other	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	MYBL1	72.9
other	cytidine deaminase	CDA	28.5
other	lymphocyte-specific protein tyrosine kinase	LCK	20.5
other	UDP-glucose ceramide glucosyltransferase	UGCG	17.1
other	prostaglandin D2 synthase 21kDa (brain) /// prostaglandin D2 synthase 21kDa (brain)	PTGDS	14.2
other	spectrin repeat containing, nuclear envelope 2	SYNE2	12.1
other	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	MAFB	11.7
other	aquaporin 3	AQP3	10.6
other	potassium channel tetramerisation domain containing 12	KCTD12	10.6
other	syntaxin 11	STX11	9.5
other	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	QPCT	9.5
other	B-cell CLL/lymphoma 11B (zinc finger protein)	BCL11B	9.1
other	solute carrier family 15, member 3	SLC15A3	9.1
other	histamine N-methyltransferase	HNMT	8.3
other	mannosidase, alpha, class 1C, member 1	MAN1C1	7.9
other	vanin 2	VNN2	7.1
other	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	CHST6	6.9
other	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	SLC7A7	6.2
other	N-sulfoglucosamine sulfohydrolase (sulfamidase)	SGSH	4.8
other	retinoblastoma-like 2 (p130)	RBL2	4.3
other	T-box 21	TBX21	4.2
other	transcription factor EB	TFEB	3.8
other	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	PSAP	3.8
other	NAD kinase	FLJ13052	3.8
other	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A	MGAT4A	3.7
other	coronin, actin binding protein, 1A	CORO1A	3.1
other	likely ortholog of rat SNF1/AMP-activated protein kinase /// likely ortholog of rat SNF1/AMP-activated protein kinase	SNARK	3.1
other	cell division cycle 25B	CDC25B	2.9
unclassified	natural killer cell transcript 4	NK4	80.2
unclassified	bactericidal/permeability-increasing protein	BPI	31.6
unclassified	T cell receptor delta locus	TRD	22.9
unclassified	Homo sapiens cDNA clone MGC:71411 IMAGE:4853814, complete cds	---	20
unclassified	Homo sapiens transcribed sequences	---	15.7
unclassified	---	---	15.1
unclassified	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)	MS4A3	15.1
unclassified	Homo sapiens cDNA clone MGC:71411 IMAGE:4853814, complete cds	---	14.2
unclassified	KIAA0882 protein	KIAA0882	13.3
unclassified	natural killer cell group 7 sequence	NKG7	13.2
unclassified	cystatin A (stefin A)	CSTA	11.7
unclassified	Homo sapiens partial mRNA for immunoglobulin light chain variable region (IGLV gene), clone RN86	---	11.5
unclassified	lectin, galactoside-binding, soluble, 3 (galectin 3)	LGALS3	10.5
unclassified	S100 calcium binding protein A12 (calgranulin C)	S100A12	10.5
unclassified	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	CYBB	10.4
unclassified	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) /// N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	NPL	10.3
unclassified	hypothetical protein FLJ22662	FLJ22662	10.2
unclassified	sphingomyelin phosphodiesterase, acid-like 3A	SMPDL3A	10
unclassified	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)	FCGR3A	9.7
unclassified	Homo sapiens PRO2275 mRNA, complete cds	---	9
unclassified	cystatin F (leukocystatin)	CST7	9
unclassified	fibrinogen-like 2	FGL2	8.6
unclassified	---	---	8.5
unclassified	Homo sapiens cDNA clone MGC:71411 IMAGE:4853814, complete cds	---	8.3
unclassified	biliverdin reductase B (flavin reductase (NADPH))	BLVRB	7.9
unclassified	leukocyte Ig-like receptor 9	LIR9	7.6
unclassified	class-I MHC-restricted T cell associated molecule	CRTAM	7.4
unclassified	hemopoietic cell kinase	HCK	7.4
unclassified	membrane-spanning 4-domains, subfamily A, member 6A	MS4A6A	7.2
unclassified	---	---	7.2
unclassified	LR8 protein	LR8	6.9
unclassified	Homo sapiens similar to Neutrophil cytosolic factor 1 (LOC378112), mRNA	---	6.8
unclassified	interleukin 10 receptor, alpha	IL10RA	6.6
unclassified	likely ortholog of mouse limb-bud and heart gene /// likely ortholog of mouse limb-bud and heart gene	LBH	6.5
unclassified	arachidonate 5-lipoxygenase	ALOX5	6.3
unclassified	integrin, beta 7	ITGB7	6.2
unclassified	immunoglobulin lambda joining 3	IGLJ3	6.2
unclassified	CD163 antigen	CD163	6.2
unclassified	insulin-like growth factor 2 receptor	IGF2R	6.2
unclassified	Homo sapiens T cell receptor beta chain BV20S1 BJ1-5 BC1 mRNA, complete cds	---	6.1
unclassified	RAB31, member RAS oncogene family	RAB31	6
unclassified	coagulation factor XIII, A1 polypeptide	F13A1	5.5
unclassified	KIAA0146 protein	KIAA0146	5.4
unclassified	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	CHST2	5.4
unclassified	Homo sapiens cDNA FLJ26905 fis, clone RCT01427, highly similar to Ig lambda chain C regions	---	5.3
unclassified	heat shock 70kDa protein 6 (HSP70B)	HSPA6	5.3
unclassified	zinc finger protein 36, C3H type-like 1	ZFP36L1	4.9
unclassified	EGF-like-domain, multiple 5	EGFL5	4.7
unclassified	cystatin C (amyloid angiopathy and cerebral hemorrhage)	CST3	4.7
unclassified	fructose-1,6-bisphosphatase 1	FBP1	4.5
unclassified	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	CSF2RA	4.5
unclassified	cisplatin resistance associated	CRA	4.4
unclassified	cytoskeleton-associated protein 4	CKAP4	4.2
unclassified	Chediak-Higashi syndrome 1	CHS1	4.2
unclassified	secreted and transmembrane 1	SECTM1	4.1
unclassified	hypothetical protein FLJ20607	TSC	4
unclassified	RNA-binding protein	FLJ20273	3.9
unclassified	osteopetrosis associated transmembrane protein 1	OSTM1	3.7
unclassified	polyposis locus protein 1	DP1	3.7
unclassified	pyridoxal (pyridoxine, vitamin B6) kinase	PDXK	3.5
unclassified	myosin IF	MYO1F	3.4
unclassified	TBC1 domain family, member 8 (with GRAM domain)	TBC1D8	3.4
unclassified	hypothetical protein FLJ21308	FLJ21308	3.3
unclassified	actinin, alpha 1	ACTN1	3
unclassified	tetraspanin similar to TM4SF9 /// tetraspanin similar to TM4SF9	DC-TM4F2	2.9
