Genbank	0.1mM Ibu Ratio	0.1mM Ibu P-value	Description
AI418777	7.56	0.001	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
NM_001674	7.54	0.003	activating transcription factor 3
BQ020597	7.47	0.0002	Homo sapiens, clone IMAGE:4158072, mRNA
NM_003364	7.46	0.003	uridine phosphorylase 1
NM_003364	7.35	0.001	uridine phosphorylase 1
NM_013391	7.34	0.002	dimethylglycine dehydrogenase
NM_025113	7.19	0.001	chromosome 13 open reading frame 18
AI306612	6.80	0.037	Beta-transducin repeat containing
AL389977	6.71	0.004	Exocyst complex component 4
NM_052966	6.71	0.001	chromosome 1 open reading frame 24
NM_003597	6.64	0.001	Kruppel-like factor 11
H26843	6.56	0.008	Transgelin
NM_173554	6.49	0.005	chromosome 10 open reading frame 107
BM722820	6.48	0.046	T-cell leukemia homeobox 2
NM_030824	6.38	0.0005	zinc finger protein 442
NM_002928	6.36	0.001	regulator of G-protein signalling 16
NM_002422	6.31	0.003	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
BU430768	6.31	0.007	Procollagen-proline, 2-oxoglutarate 4-dioxygenase
NM_138432	6.23	0.00002	serine dehydratase-like
NM_173576	6.23	0.008	mohawk homeobox
BX117028	6.22	0.003	Histone 1, H4h
BE622512	6.21	0.00004	High mobility group AT-hook 2
NM_030572	6.17	0.012	chromosome 12 open reading frame 39
NM_017576	6.09	0.003	kinesin family member 27
NM_003068	6.06	0.0001	snail homolog 2 (Drosophila)
NM_000422	6.05	0.0002	keratin 17
NM_005127	6.04	0.003	C-type lectin domain family 2, member B
BM909110	6.02	0.005	Transcribed locus
AU146329	5.85	0.018	Guanine nucleotide binding protein (G protein), gamma 2
AB082524	5.83	0.023	zinc finger and BTB domain containing 34
AK098073	5.82	0.032	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)
NM_030751	5.78	0.038	transcription factor 8 (represses interleukin 2 expression)
NM_003806	5.75	0.001	harakiri, BCL2 interacting protein (contains only BH3 domain)
NM_002506	5.73	0.001	nerve growth factor, beta polypeptide
AB033040	5.69	0.014	ring finger protein 150
AA367338	5.69	0.005	Basic helix-loop-helix domain containing, class B, 8
NM_152602	5.68	0.0001	zinc finger protein 433
NM_152422	5.62	0.002	protein tyrosine phosphatase domain containing 1
AW938887	5.62	0.002	Signal-induced proliferation-associated 1 like 2
NM_198080	5.61	0.0002	methionine sulfoxide reductase B3
NM_005328	5.60	0.039	hyaluronan synthase 2
NM_003518	5.60	0.010	histone 1, H2bg
NM_017691	5.57	0.011	leucine rich repeat containing 49
NM_003582	5.57	0.001	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
NM_001148	5.56	0.004	ankyrin 2, neuronal
BU165839	5.55	0.001	Kallikrein B, plasma (Fletcher factor) 1
NM_153751	5.50	0.046	chromosome 21 open reading frame 82
NM_032930	5.47	0.0002	chromosome 11 open reading frame 70
BX446222	5.44	0.002	SET binding factor 1
NM_032621	5.42	0.0002	brain expressed X-linked 2
BX101020	5.42	0.038	FLJ36157 protein
NM_000600	5.39	0.0001	interleukin 6 (interferon, beta 2)
NM_004235	5.38	0.004	Kruppel-like factor 4 (gut)
AW630870	5.35	0.010	P21 (CDKN1A)-activated kinase 2
NM_018700	5.34	0.00001	tripartite motif-containing 36
BG009563	5.33	0.004	ADP-ribosylation factor-like 5A
NM_001924	5.32	0.0004	growth arrest and DNA-damage-inducible, alpha
NM_018456	5.29	0.004	ELL associated factor 2
NM_003530	5.27	0.004	histone 1, H3d
BG025371	5.26	0.007	Poly(rC) binding protein 3
NM_153206	5.26	0.028	adhesion molecule, interacts with CXADR antigen 1
BX113240	5.18	0.003	S-adenosylhomocysteine hydrolase-like 1
AW204500	5.15	0.000	Chromosome 7 open reading frame 13
NM_019074	5.13	0.003	delta-like 4 (Drosophila)
NM_144770	5.04	0.003	RNA binding motif protein 11
NM_017447	5.00	0.016	chromosome 21 open reading frame 91
AK093122	4.98	0.031	chromosome 9 open reading frame 50
NM_012328	4.97	0.003	DnaJ (Hsp40) homolog, subfamily B, member 9
NM_021784	4.96	0.0001	forkhead box A2
NM_032625	4.96	0.002	chromosome 7 open reading frame 13
AA977908	4.96	0.009	Phosphotriesterase related
BF149419	4.96	0.007	Pleckstrin homology-like domain, family A, member 1
NM_004235	4.95	0.005	Kruppel-like factor 4 (gut)
NM_017633	4.91	0.00001	family with sequence similarity 46, member A
AI383285	4.89	0.001	LOC441035
NM_183376	4.89	0.001	arrestin domain containing 4
NM_005158	4.89	0.0003	v-abl Abelson murine leukemia viral oncogene homolog 2
NM_003914	4.87	0.0004	cyclin A1
NM_052957	4.83	0.004	acidic repeat containing
NM_002357	4.82	0.027	MAX dimerization protein 1
AK001393	4.80	0.000004	EF-hand calcium binding domain 2
NM_000389	4.79	0.0002	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
NM_024778	4.76	0.0001	LON peptidase N-terminal domain and ring finger 3
NM_144973	4.75	0.008	hypothetical protein MGC24039
AW406401	4.74	0.0001	DNA-damage-inducible transcript 3
NM_000800	4.70	0.013	fibroblast growth factor 1 (acidic)
NM_016114	4.68	0.008	ankyrin repeat and SOCS box-containing 1
NM_147189	4.65	0.012	chromosome 8 open reading frame 72
AB007946	4.64	0.001	phosphodiesterase 4D interacting protein (myomegalin)
BC023640	4.62	0.041	Homo sapiens, clone IMAGE:4890344, mRNA
NM_021136	4.61	0.002	reticulon 1
NM_170744	4.61	0.041	unc-5 homolog B (C. elegans)
NM_000149	4.61	0.039	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase)
NM_004133	4.57	0.0001	hepatocyte nuclear factor 4, gamma
NM_006290	4.57	0.015	tumor necrosis factor, alpha-induced protein 3
NM_152455	4.56	0.001	zinc finger protein 690
NM_019891	4.52	0.032	ERO1-like beta (S. cerevisiae)
NM_016246	4.52	0.002	dehydrogenase/reductase (SDR family) member 10
AA036997	4.51	0.001	Histone 1, H2ac
NM_173583	4.50	0.001	hypothetical protein FLJ33790
BE928851	4.46	0.025	Complement factor B
NM_021047	4.46	0.003	zinc finger protein 253
NM_022358	4.45	0.021	potassium channel, subfamily K, member 15
NM_006097	4.45	0.023	myosin, light polypeptide 9, regulatory
NM_130810	4.41	0.023	dyslexia susceptibility 1 candidate 1
BC038745	4.38	0.008	DNA (cytosine-5-)-methyltransferase 1
BF665534	4.37	0.031	ATPase, Cu++ transporting, beta polypeptide
AI692651	4.33	0.005	Inhibitor of growth family, member 1
NM_152782	4.33	0.002	Sad1 and UNC84 domain containing 1
NM_007350	4.33	0.006	pleckstrin homology-like domain, family A, member 1
CD640158	4.33	0.008	Serpin peptidase inhibitor, clade B (ovalbumin), member 2
NM_182491	4.29	0.001	zinc finger, AN1-type domain 2A
BX108834	4.28	0.0002	Matrilin 3
NM_007038	4.28	0.008	ADAM metallopeptidase with thrombospondin type 1 motif, 5
T33971	4.27	0.008	Defensin, beta 119
NM_006705	4.25	0.028	growth arrest and DNA-damage-inducible, gamma
AK090765	4.22	0.017	Similar to FRAS1-related extracellular matrix protein 2 precursor
NM_144695	4.21	0.026	chromosome 1 open reading frame 58
NM_058176	4.20	0.018	histone deacetylase 9
NM_004362	4.20	0.023	calmegin
NM_004113	4.16	0.014	fibroblast growth factor 12
BC042589	4.15	0.003	CDNA clone IMAGE:4819084
NM_015003	4.14	0.018	golgi autoantigen, golgin subfamily a, 8A
Z42232	4.14	0.006	Wolf-Hirschhorn syndrome candidate 1-like 1
AK055332	4.13	0.007	CDNA FLJ30771 fis, clone FEBRA2000740
NM_001433	4.12	0.012	endoplasmic reticulum to nucleus signalling 1
NM_002583	4.11	0.0004	PRKC, apoptosis, WT1, regulator
NM_177452	4.11	0.003	trafficking protein particle complex 6B
NM_005559	4.09	0.001	laminin, alpha 1
BE612695	4.09	0.020	Full length insert cDNA clone YZ38H04
BM354099	4.09	0.002	Histone 2, H3a
N24610	4.08	0.009	Chromosome 9 open reading frame 93
NM_022054	4.05	0.001	potassium channel, subfamily K, member 13
BI560717	4.05	0.001	Similar to CG14853-PB
NM_152330	4.04	0.001	FERM domain containing 6
NM_006468	4.03	0.001	polymerase (RNA) III (DNA directed) polypeptide C (62kD)
NM_178815	4.02	0.002	ADP-ribosylation factor-like 5B
NM_000533	4.01	0.022	proteolipid protein 1
NM_004816	4.00	0.008	chromosome 9 open reading frame 61
BC045765	4.00	0.005	SH3 and multiple ankyrin repeat domains 3
AA804771	3.99	0.013	Acrosin binding protein
BM129642	3.98	0.002	Similar to zinc finger protein 207
NM_030907	3.94	0.000	chromosome 1 open reading frame 89
BU683519	3.91	0.006	Nitric oxide synthase 3 (endothelial cell)
NM_003530	3.91	0.003	histone 1, H3d
NM_177478	3.90	0.020	ferritin mitochondrial
BX097608	3.90	0.008	Regulatory factor X, 3 (influences HLA class II expression)
NM_001657	3.90	0.000	amphiregulin (schwannoma-derived growth factor)
NM_033111	3.89	0.001	CG016
BF222744	3.88	0.001	Glycoprotein VI (platelet)
BM670033	3.88	0.020	Contactin associated protein-like 2
NM_031427	3.87	0.003	dynein, axonemal, light chain 1
NM_152230	3.85	0.008	inositol polyphosphate multikinase
NM_033262	3.85	0.007	solute carrier family 8 (sodium-calcium exchanger), member 3
NM_004881	3.85	0.025	tumor protein p53 inducible protein 3
BC001342	3.83	0.001	Huntingtin interacting protein E
BM969117	3.81	0.032	Transmembrane emp24 protein transport domain containing 8
NM_000410	3.80	0.005	hemochromatosis
NM_007017	3.78	0.007	SRY (sex determining region Y)-box 30
BU533957	3.78	0.010	Chromosome 2 open reading frame 18
BC029580	3.77	0.003	F-box and WD-40 domain protein 12
NM_021240	3.76	0.004	doublesex and mab-3 related transcription factor 3
NM_018470	3.76	0.008	chromosome 10 open reading frame 110
NM_147196	3.75	0.049	transmembrane inner ear
AF124368	3.75	0.008	Killer cell immunoglobulin-like receptor
NM_025236	3.74	0.005	ring finger protein 39
BM930167	3.73	0.004	RGM domain family, member B
NM_003543	3.72	0.010	histone 1, H4h
NM_016607	3.71	0.009	armadillo repeat containing, X-linked 3
BC033543	3.70	0.023	Major histocompatibility complex, class I, B
NM_014548	3.68	0.0001	tropomodulin 2 (neuronal)
NM_014035	3.68	0.014	sorting nexing 24
NM_007041	3.68	0.014	arginyltransferase 1
BU074299	3.67	0.007	Islet cell autoantigen 1, 69kDa
BU500614	3.67	0.016	Pseudouridylate synthase 1
NM_021101	3.66	0.011	claudin 1
NM_000433	3.66	0.005	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease)
NM_017923	3.65	0.002	membrane-associated ring finger (C3HC4) 1
NM_020962	3.64	0.0003	likely ortholog of mouse neighbor of Punc E11
NM_014724	3.64	0.008	zinc finger protein 96
NM_001163	3.63	0.012	amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)
NM_033120	3.62	0.002	naked cuticle homolog 2 (Drosophila)
AW867776	3.61	0.002	Splicing factor, arginine/serine-rich 3
NM_031412	3.61	0.003	GABA(A) receptor-associated protein like 1
NM_173672	3.59	0.035	peptidylprolyl isomerase (cyclophilin)-like 6
NM_018986	3.59	0.011	SH3 domain and tetratricopeptide repeats 1
NM_024582	3.59	0.026	FAT tumor suppressor homolog 4 (Drosophila)
NM_032433	3.58	0.015	zinc finger protein 333
NM_138788	3.58	0.004	transmembrane protein 45B
NM_017786	3.58	0.003	hypothetical protein FLJ20366
NM_173622	3.58	0.039	CMT1A duplicated region transcript 4
BC038580	3.57	0.001	CDNA clone IMAGE:5418341
NM_020727	3.57	0.006	zinc finger protein 295
BC042976	3.57	0.037	Proline-rich protein BstNI subfamily 1
NM_174926	3.56	0.007	transmembrane protein 136
AF372214	3.56	0.002	interleukin 6 (interferon, beta 2)
BX111370	3.55	0.001	Profilin family, member 4
NM_016651	3.55	0.017	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)
BI962694	3.55	0.001	KIAA1718 protein
NM_000523	3.54	0.032	homeobox D13
NM_021063	3.54	0.023	histone 1, H2bd
NM_014496	3.52	0.006	ribosomal protein S6 kinase, 90kDa, polypeptide 6
Z45312	3.51	0.001	Sodium channel, voltage-gated, type III, beta
NM_002056	3.51	0.007	glutamine-fructose-6-phosphate transaminase 1
NM_005384	3.50	0.013	nuclear factor, interleukin 3 regulated
NM_005877	3.50	0.047	splicing factor 3a, subunit 1, 120kDa
NM_031919	3.49	0.006	fibronectin type III and SPRY domain containing 1-like
NM_002640	3.49	0.006	serpin peptidase inhibitor, clade B (ovalbumin), member 8
BM563139	3.47	0.012	Unc-51-like kinase 4 (C. elegans)
D58893	3.46	0.0002	Phosphodiesterase 4D interacting protein (myomegalin)
BX509552	3.45	0.001	Transient receptor potential cation channel, subfamily V, member 3
AK098252	3.45	0.0002	Gap junction protein, chi 1, 31.9kDa (connexin 31.9)
NM_022726	3.44	0.0002	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3)-like 4
NM_007115	3.44	0.004	tumor necrosis factor, alpha-induced protein 6
NM_004155	3.43	0.016	serpin peptidase inhibitor, clade B (ovalbumin), member 9
NM_021244	3.42	0.004	Ras-related GTP binding D
NM_003410	3.41	0.001	zinc finger protein, X-linked
NM_016474	3.41	0.004	chromosome 3 open reading frame 19
NM_012182	3.40	0.017	forkhead box B1
NM_002970	3.39	0.004	spermidine/spermine N1-acetyltransferase 1
NM_000173	3.38	0.0004	glycoprotein Ib (platelet), alpha polypeptide
NM_139241	3.37	0.001	FYVE, RhoGEF and PH domain containing 4
AL589210	3.36	0.024	Ephrin-B2
NM_013257	3.35	0.001	serum/glucocorticoid regulated kinase family, member 3
AI582189	3.34	0.004	Chromosome 19 open reading frame 7
NM_015872	3.34	0.001	zinc finger and BTB domain containing 7B
AI873141	3.34	0.017	Dedicator of cytokinesis 9
NM_016530	3.33	0.009	RAB8B, member RAS oncogene family
NM_012219	3.32	0.049	muscle RAS oncogene homolog
NM_007156	3.31	0.009	zinc finger, X-linked, duplicated A
BG928976	3.31	0.039	Zinc finger protein 676
NM_020870	3.31	0.035	SH3 domain containing ring finger 1
NM_005715	3.31	0.001	uronyl-2-sulfotransferase
NM_178844	3.29	0.042	NOD3 protein
NM_152422	3.29	0.047	protein tyrosine phosphatase domain containing 1
NM_005674	3.28	0.002	zinc finger protein 239
NM_021628	3.27	0.002	arachidonate lipoxygenase 3
NM_014395	3.27	0.005	dual adaptor of phosphotyrosine and 3-phosphoinositides
NM_058184	3.26	0.009	chromosome 21 open reading frame 42
NM_024806	3.25	0.008	chromosome 11 open reading frame 63
NM_022094	3.25	0.000	cell death-inducing DFFA-like effector c
AW418499	3.25	0.002	FLJ41603 protein
NM_005639	3.24	0.012	synaptotagmin I
NM_173831	3.23	0.008	zinc finger protein 707
NM_019096	3.22	0.028	GTP binding protein 2
AI087798	3.22	0.002	Transcribed locus
BG217313	3.22	0.002	Endothelin 3
AI420233	3.22	0.010	Integral membrane protein 2C
NM_006094	3.22	0.012	deleted in liver cancer 1
AI061413	3.22	0.046	Raptor
NM_031459	3.22	0.001	sestrin 2
NM_002937	3.22	0.001	ribonuclease, RNase A family, 4
BM468332	3.22	0.002	Dedicator of cytokinesis 2
NM_053000	3.21	0.027	chromosome 5 open reading frame 26
NM_015046	3.21	0.002	senataxin
NM_004690	3.19	0.021	LATS, large tumor suppressor, homolog 1 (Drosophila)
X02404	3.18	0.001	calcitonin-related polypeptide, beta
NM_031917	3.18	0.013	angiopoietin-like 6
BM906897	3.18	0.004	Asparagine-linked glycosylation 8 homolog
NM_005436	3.17	0.033	coiled-coil domain containing 6
NM_015508	3.17	0.001	TCDD-inducible poly(ADP-ribose) polymerase
AW021261	3.16	0.034	Forkhead box C1
NM_006978	3.16	0.002	ring finger protein 113A
NM_018040	3.14	0.003	G patch domain containing 2
NM_024686	3.13	0.003	tubulin tyrosine ligase-like family, member 7
NM_153006	3.13	0.002	N-acetylglutamate synthase
NM_006443	3.11	0.040	chromosome 6 open reading frame 108
NM_003597	3.11	0.0002	Kruppel-like factor 11
NM_019072	3.10	0.001	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta
NM_020127	3.10	0.010	tuftelin 1
NM_173539	3.10	0.029	zinc finger protein 596
D56117	3.09	0.036	Tubulin, beta 2B
BM723068	3.09	0.006	Phosphodiesterase 4D interacting protein (myomegalin)
AK094896	3.09	0.046	hypothetical protein LOC284100
NM_024111	3.08	0.024	ChaC, cation transport regulator-like 1 (E. coli)
NM_000197	3.08	0.019	hydroxysteroid (17-beta) dehydrogenase 3
AK022877	3.07	0.019	Clone TUA8 Cri-du-chat region mRNA
NM_023037	3.07	0.003	furry homolog (Drosophila)
NM_032203	3.07	0.019	general transcription factor II i repeat domain 2 alpha
NM_007075	3.07	0.001	WD repeat domain 45
NM_030925	3.07	0.001	calcium binding protein 39-like
NM_012242	3.07	0.030	dickkopf homolog 1 (Xenopus laevis)
NM_013359	3.06	0.010	zinc finger protein 221
NM_001558	3.05	0.039	interleukin 10 receptor, alpha
AW611761	3.05	0.013	CDNA clone IMAGE:4611044
AA367643	3.05	0.005	PERP, TP53 apoptosis effector
NM_001621	3.05	0.004	aryl hydrocarbon receptor
NM_004226	3.04	0.005	serine/threonine kinase 17b (apoptosis-inducing)
NM_015964	3.03	0.016	brain specific protein
NM_004668	3.03	0.0003	maltase-glucoamylase (alpha-glucosidase)
AI079520	3.03	0.001	Exocyst complex component 6
NM_020836	3.03	0.001	likely ortholog of rat brain-enriched guanylate kinase-associated protein
NM_007114	3.03	0.001	TATA element modulatory factor 1
R23839	3.02	0.045	Fork head domain protein (FKHR) mRNA, 3 end
NM_138705	3.02	0.030	calmodulin-like 6
NM_017548	3.02	0.024	CDV3 homolog (mouse)
NM_000461	3.00	0.002	thyroid hormone receptor, beta
AW295792	3.00	0.025	Fibronectin 1
BE772231	3.00	0.036	Phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III
NM_012248	2.99	0.001	selenophosphate synthetase 2
NM_000882	2.99	0.005	interleukin 12A (natural killer cell stimulatory factor 1, p35)
NM_012406	2.99	0.003	PR domain containing 4
NM_000747	2.98	0.0001	cholinergic receptor, nicotinic, beta 1 (muscle)
NM_018699	2.97	0.0005	PR domain containing 5
BC028609	2.97	0.001	coiled-coil domain containing 93
NM_032257	2.97	0.009	zinc finger, MYND-type containing 12
NM_004841	2.97	0.00005	RAS protein activator like 2
NM_002955	2.97	0.007	ras responsive element binding protein 1
NM_000091	2.96	0.007	collagen, type IV, alpha 3 (Goodpasture antigen)
AA007214	2.96	0.024	Transcribed locus
AI628663	2.96	0.010	Transcribed locus
BE272064	2.96	0.039	Titin
NM_021158	2.95	0.008	tribbles homolog 3 (Drosophila)
NM_198447	2.95	0.002	golgi transport 1 homolog A (S. cerevisiae)
NM_002167	2.95	0.013	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
NM_001453	2.94	0.003	forkhead box C1
AK090816	2.94	0.001	zinc finger protein 460
NM_144621	2.94	0.017	zinc finger and BTB domain containing 8
NM_006832	2.93	0.0004	pleckstrin homology domain containing, family C (with FERM domain)
NM_138571	2.93	0.014	histidine triad nucleotide binding protein 3
BG254667	2.93	0.035	Homo sapiens, clone IMAGE:3897156, mRNA
NM_033280	2.93	0.006	SEC11-like 3 (S. cerevisiae)
BM969327	2.92	0.011	Receptor accessory protein 5
NM_174891	2.92	0.0001	chromosome 14 open reading frame 79
NM_020162	2.92	0.003	DEAH (Asp-Glu-Ala-His) box polypeptide 33
BC041467	2.91	0.040	chromosome 17 open reading frame 67
NM_001145	2.91	0.003	angiogenin, ribonuclease, RNase A family, 5
NM_020127	2.91	0.013	tuftelin 1
BU616767	2.91	0.009	Hypothetical protein LOC283174
NM_017983	2.91	0.003	WD repeat domain, phosphoinositide interacting 1
NM_005865	2.91	0.013	protease, serine, 16 (thymus)
NM_015871	2.90	0.031	zinc finger protein 593
BM852541	2.90	0.001	Protein kinase C, alpha
NM_145001	2.90	0.005	serine/threonine kinase 32A
NM_175854	2.90	0.039	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)
BG113334	2.89	0.008	Phospholipase C, epsilon 1
NM_013376	2.89	0.002	SERTA domain containing 1
NM_024708	2.88	0.005	ankyrin repeat and SOCS box-containing 7
NM_016508	2.88	0.001	cyclin-dependent kinase-like 3
NM_013399	2.88	0.030	chromosome 16 open reading frame 5
AK022645	2.87	0.005	Chromosome 3 open reading frame 20
NM_139161	2.87	0.008	crumbs homolog 3 (Drosophila)
NM_032673	2.87	0.012	polycomb group ring finger 1
NM_004073	2.87	0.004	polo-like kinase 3 (Drosophila)
NM_001953	2.86	0.004	endothelial cell growth factor 1 (platelet-derived)
NM_016061	2.85	0.021	yippee-like 5 (Drosophila)
AW511955	2.85	0.014	Chromosome 8 open reading frame 59
AK090932	2.84	0.002	CDNA FLJ33613 fis, clone BRAMY2017348
AK092659	2.84	0.000	Shroom family member 4
NM_030630	2.84	0.005	chromosome 17 open reading frame 28
NM_144626	2.84	0.002	transmembrane protein 125
NM_138334	2.83	0.040	Josephin domain containing 2
NM_022128	2.83	0.007	ribokinase
NM_003113	2.83	0.011	SP100 nuclear antigen
NM_018004	2.83	0.00003	transmembrane protein 45A
NM_016536	2.82	0.001	zinc finger protein 571
NM_021205	2.82	0.009	ras homolog gene family, member U
BC051698	2.82	0.008	PDZ domain containing 6
NM_144636	2.82	0.005	coiled-coil-helix-coiled-coil-helix domain containing 4
AK094730	2.82	0.008	hypothetical protein LOC283454
NM_031421	2.82	0.0004	tetratricopeptide repeat domain 25
NM_014205	2.81	0.001	zinc finger, HIT type 2
NM_173832	2.81	0.034	zinc finger protein 41 homolog (mouse)
NM_138341	2.81	0.005	transmembrane protein 116
NM_172365	2.81	0.002	chromosome 14 open reading frame 50
NM_003509	2.80	0.011	histone 1, H2ai
NM_194284	2.80	0.003	claudin 23
NM_014157	2.80	0.023	coiled-coil domain containing 113
AI951796	2.80	0.014	Ubiquitin specific peptidase 8
NM_080834	2.80	0.010	chromosome 20 open reading frame 152
AK023341	2.80	0.044	pre-B-cell colony enhancing factor 1
AI792568	2.79	0.017	Germ cell associated 1
AW082878	2.79	0.048	Transcribed locus
NM_001221	2.79	0.049	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta
NM_012081	2.79	0.050	elongation factor, RNA polymerase II, 2
BG182900	2.79	0.004	Major histocompatibility complex, class I, A
BX647942	2.78	0.00003	schlafen family member 5
NM_020739	2.78	0.0001	cell cycle progression 1
BF055481	2.78	0.001	Hephaestin-like 1
NM_003580	2.78	0.002	neutral sphingomyelinase (N-SMase) activation associated factor
NM_004287	2.77	0.012	golgi SNAP receptor complex member 2
BC023258	2.77	0.017	Microtubule associated monoxygenase, calponin and LIM domain containing 3
NM_024643	2.77	0.0005	chromosome 14 open reading frame 140
NM_018467	2.77	0.018	uncharacterized hematopoietic stem/progenitor cells protein MDS032
CA446641	2.76	0.001	Protein phosphatase 1B (formerly 2C), magnesium-dependent
NM_012151	2.76	0.010	coagulation factor VIII-associated (intronic transcript) 1
NM_024840	2.76	0.015	zinc finger protein 613
AV727430	2.75	0.002	Kallikrein B, plasma (Fletcher factor) 1
NM_001268	2.75	0.0004	regulator of chromosome condensation (RCC1) and BTB (POZ)
NM_003113	2.75	0.025	SP100 nuclear antigen
NM_024512	2.75	0.004	leucine rich repeat containing 2
NM_005083	2.75	0.005	signal recognition particle 19kDa
AK024697	2.75	0.006	roundabout, axon guidance receptor, homolog 3 (Drosophila)
NM_004210	2.74	0.015	neuralized-like (Drosophila)
NM_145698	2.74	0.0003	acyl-Coenzyme A binding domain containing 5
NM_013335	2.74	0.0002	GDP-mannose pyrophosphorylase A
AK124523	2.74	0.010	similar to KIF27C
NM_007341	2.74	0.009	SH3 domain binding glutamic acid-rich protein
NM_172366	2.74	0.005	F-box protein 16
NM_016618	2.74	0.010	lysine-rich coiled-coil 1
BX102054	2.74	0.006	Solute carrier organic anion transporter family, member 1B1
AW452895	2.73	0.010	Zinc finger protein 425
NM_003516	2.73	0.018	histone 2, H2aa3
NM_002735	2.73	0.013	protein kinase, cAMP-dependent, regulatory, type I, beta
NM_006022	2.73	0.0002	TSC22 domain family, member 1
NM_006106	2.73	0.002	Yes-associated protein 1, 65kDa
BE707322	2.73	0.007	Wolf-Hirschhorn syndrome candidate 1-like 1
CB215642	2.72	0.027	DENN/MADD domain containing 2D
NM_000814	2.72	0.002	gamma-aminobutyric acid (GABA) A receptor, beta 3
NM_018985	2.72	0.007	HLA complex group 4
BF172500	2.72	0.004	Chromosome 18 open reading frame 18
NM_030936	2.72	0.001	ring finger protein 32
BF212408	2.72	0.050	Chromosome 1 open reading frame 116
AW300142	2.72	0.033	Glycerol kinase
NM_006553	2.71	0.008	chromosome 18 open reading frame 43
AA010870	2.71	0.018	Full length insert cDNA clone ZA05C02
F33824	2.70	0.032	RUN and SH3 domain containing 2
CA310495	2.70	0.037	RAB3A interacting protein (rabin3)
NM_005025	2.70	0.0004	serpin peptidase inhibitor, clade I (neuroserpin), member 1
NM_004055	2.69	0.005	calpain 5
BM977838	2.69	0.016	WW domain containing oxidoreductase
BF530928	2.69	0.003	Rho-related BTB domain containing 2
NM_024854	2.69	0.005	hypothetical protein FLJ22028
NM_004626	2.68	0.004	wingless-type MMTV integration site family, member 11
NM_020245	2.68	0.018	tubby like protein 4
NM_177417	2.68	0.001	kinesin light chain 3
AW300004	2.68	0.006	Transcribed locus
NM_013360	2.68	0.001	zinc finger protein 222
AK124970	2.67	0.040	Similar to F-box only protein 25 isoform 2
NM_007156	2.67	0.0005	zinc finger, X-linked, duplicated A
NM_032226	2.67	0.001	zinc finger, CCHC domain containing 7
NM_003729	2.67	0.010	RNA terminal phosphate cyclase domain 1
