AFFY ID	UGID	Unigene Name	Symbol	Genbank	|d|	Fold Change	q-value (%)	direction
235046_at	Hs.176376	Transcribed sequences		AA456099	6.06	1.12	0.12	1
205339_at	Hs.323032	TAL1 (SCL) interrupting locus	SIL	NM_003035	6.05	0.93	0.14	-1
201663_s_at	Hs.50758	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	SMC4L1	NM_005496	6.05	0.92	0.14	-1
204162_at	Hs.414407	kinetochore associated 2	KNTC2	NM_006101	6.04	0.82	0.12	-1
223307_at	Hs.30114	cell division cycle associated 3	CDCA3	BC002551	6.02	0.92	0.13	-1
221922_at	Hs.278338	G-protein signalling modulator 2 (AGS3-like, C. elegans)	GPSM2	AW195581	6.02	0.9	0.12	-1
203362_s_at	Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	NM_002358	6.01	0.88	0.13	-1
205046_at	Hs.75573	centromere protein E, 312kDa	CENPE	NM_001813	6.01	0.8	0.12	-1
201508_at	Hs.1516	insulin-like growth factor binding protein 4	IGFBP4	NM_001552	6.01	1.08	0.13	1
232286_at	Hs.188173	CDNA FLJ12187 fis, clone MAMMA1000831.		AA572675	6	1.14	0.14	1
204510_at	Hs.28853	CDC7 cell division cycle 7 (S. cerevisiae)	CDC7	NM_003503	6	0.93	0.12	-1
218662_s_at	Hs.528669	chromosome condensation protein G	HCAP-G	NM_022346	5.97	0.9	0.14	-1
201761_at	Hs.154672	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	MTHFD2	NM_006636	5.96	0.94	0.12	-1
234863_x_at	Hs.272027	F-box only protein 5	FBXO5	AK026197	5.94	0.85	0.14	-1
238116_at	Hs.98849	dynein, cytoplasmic, light polypeptide 2B	DNCL2B	AW959427	5.94	1.14	0.12	1
218009_s_at	Hs.344037	protein regulator of cytokinesis 1	PRC1	NM_003981	5.93	0.89	0.13	-1
204695_at	Hs.1634	cell division cycle 25A	CDC25A	AI343459	5.93	0.83	0.13	-1
241577_at				AI732794	5.92	1.13	0.12	1
209680_s_at	Hs.20830	kinesin family member C1	KIFC1	BC000712	5.92	0.86	0.14	-1
230021_at	Hs.441708	hypothetical protein MGC45866	MGC4586 6	AI638593	5.92	0.8	0.13	-1
223229_at	Hs.5199	HSPC150 protein similar to ubiquitin-conjugating enzyme	HSPC150	AB032931	5.91	0.87	0.14	-1
228729_at	Hs.23960	cyclin B1	CCNB1	N90191	5.91	0.89	0.13	-1
204558_at	Hs.66718	RAD54-like (S. cerevisiae)	RAD54L	NM_003579	5.91	0.82	0.13	-1
222039_at	Hs.406639	hypothetical protein LOC146909	LOC14690 9	AA292789	5.89	0.89	0.13	-1
200783_s_at	Hs.209983	stathmin 1/oncoprotein 18	STMN1	NM_005563	5.89	0.91	0.14	-1
221562_s_at	Hs.511950	sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)	SIRT3	AF083108	5.89	1.16	0.13	1
203554_x_at	Hs.350966	pituitary tumor-transforming 1	PTTG1	NM_004219	5.89	0.94	0.12	-1
203405_at	Hs.5198	Down syndrome critical region gene 2	DSCR2	NM_003720	5.89	0.93	0.12	-1
228597_at	Hs.49932	chromosome 21 open reading frame 45	C21orf45	AW151538	5.89	0.91	0.14	-1
203428_s_at	Hs.292316	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	ASF1A	AB028628	5.88	0.94	0.12	-1
202307_s_at	Hs.352018	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	TAP1	NM_000593	5.87	0.91	0.14	-1
203418_at	Hs.85137	cyclin A2	CCNA2	NM_001237	5.87	0.89	0.14	-1
209602_s_at	Hs.169946	GATA binding protein 3	GATA3	AI796169	5.85	1.15	0.12	1
224578_at	Hs.380857	RCC1-like	TD-60	AB040903	5.84	0.96	0.13	-1
217834_s_at	Hs.436376	synaptotagmin binding, cytoplasmic RNA interacting protein	SYNCRIP	NM_006372	5.84	0.91	0.14	-1
218211_s_at	Hs.297405	melanophilin	MLPH	NM_024101	5.84	1.1	0.13	1
204170_s_at	Hs.83758	CDC28 protein kinase regulatory subunit 2	CKS2	NM_001827	5.83	0.9	0.14	-1
204444_at	Hs.8878	kinesin family member 11	KIF11	NM_004523	5.83	0.9	0.12	-1
204026_s_at	Hs.42650	ZW10 interactor	ZWINT	NM_007057	5.82	0.92	0.12	-1
228252_at	Hs.112160	DNA helicase homolog PIF1	PIF1	AF108138	5.82	0.92	0.12	-1
205186_at	Hs.406050	dynein, axonemal, light intermediate polypeptide 1	DNALI1	NM_003462	5.81	1.26	0.13	1
235709_at	Hs.20575	hypothetical protein LOC283431	LOC28343 1	H37811	5.81	0.86	0.13	-1
216237_s_at	Hs.77171	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	MCM5	AA807529	5.8	0.93	0.13	-1
205898_at	Hs.78913	chemokine (C-X3-C motif) receptor 1	CX3CR1	U20350	5.8	1.16	0.14	1
222843_at	Hs.137516	fidgetin-like 1	FIGNL1	AK023411	5.8	0.94	0.13	-1
204023_at	Hs.35120	replication factor C (activator 1) 4, 37kDa	RFC4	NM_002916	5.79	0.94	0.13	-1
202095_s_at	Hs.1578	baculoviral IAP repeat-containing 5 (survivin)	BIRC5	NM_001168	5.78	0.85	0.12	-1
222962_s_at	Hs.198363	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	MCM10	AB042719	5.77	0.85	0.13	-1
219197_s_at	Hs.435861	signal peptide, CUB domain, EGF-like 2	SCUBE2	AI424243	5.76	1.19	0.12	1
225300_at	Hs.181466	TRAF4 associated factor 1	FLJ14502	BF792864	5.75	0.95	0.14	-1
200996_at	Hs.433512	ARP3 actin-related protein 3 homolog (yeast)	ACTR3	NM_005721	5.74	0.95	0.12	-1
212680_x_at	Hs.120197	protein phosphatase 1, regulatory (inhibitor) subunit 14B	PPP1R14B	BE305165	5.74	0.94	0.12	-1
226661_at				T90295	5.74	0.85	0.12	-1
203287_at	Hs.18141	ladinin 1	LAD1	NM_005558	5.72	0.91	0.12	-1
204092_s_at	Hs.250822	serine/threonine kinase 6	STK6	NM_003600	5.72	0.9	0.13	-1
241310_at	Hs.161354	Transcribed sequences		AI685841	5.72	1.14	0.14	1
224944_at				AL566034	5.71	0.94	0.14	-1
203358_s_at	Hs.444082	enhancer of zeste homolog 2 (Drosophila)	EZH2	NM_004456	5.7	0.88	0.12	-1
219787_s_at	Hs.293257	epithelial cell transforming sequence 2 oncogene	ECT2	NM_018098	5.69	0.9	0.14	-1
225841_at	Hs.7962	hypothetical protein FLJ30525	FLJ30525	BE502436	5.68	0.94	0.12	-1
218308_at	Hs.104019	transforming, acidic coiled-coil containing protein 3	TACC3	NM_006342	5.66	0.85	0.13	-1
221275_s_at				NM_030896	5.66	1.39	0.13	1
220540_at	Hs.528664	potassium channel, subfamily K, member 15	KCNK15	NM_022358	5.65	1.29	0.14	1
203276_at	Hs.89497	lamin B1	LMNB1	NM_005573	5.64	0.91	0.13	-1
202409_at				X07868	5.63	1.11	0.12	1
205354_at	Hs.81131	guanidinoacetate N-methyltransferase	GAMT	NM_000156	5.63	1.23	0.12	1
218219_s_at	Hs.134342	LanC lantibiotic synthetase component C-like 2 (bacterial)	LANCL2	NM_018697	5.61	0.92	0.14	-1
215304_at	Hs.159264	Human clone 23948 mRNA sequence		U79293	5.61	1.15	0.13	1
226915_s_at	Hs.132499	actin related protein 2/3 complex, subunit 5-like	ARPC5L	AU158936	5.57	0.94	0.13	-1
222077_s_at	Hs.23900	Rac GTPase activating protein 1	RACGAP1	AU153848	5.56	0.92	0.13	-1
221258_s_at	Hs.301052	kinesin family member 18A	DKFZP434 G2226	NM_031217	5.56	0.82	0.14	-1
211042_x_at				BC006329	5.55	0.94	0.14	-1
205644_s_at	Hs.436656	small nuclear ribonucleoprotein polypeptide G	SNRPG	NM_003096	5.54	0.95	0.14	-1
213599_at	Hs.191583	Opa-interacting protein 5	OIP5	BE045993	5.53	0.93	0.14	-1
219148_at	Hs.104741	T-LAK cell-originated protein kinase	TOPK	NM_018492	5.53	0.89	0.14	-1
235343_at	Hs.96885	hypothetical protein FLJ12505	FLJ12505	AI961235	5.53	0.86	0.14	-1
238075_at	Hs.530803	Transcribed sequences		AA224205	5.52	0.93	0.12	-1
209464_at	Hs.442658	aurora kinase B	AURKB	AB011446	5.52	0.87	0.14	-1
226980_at	Hs.421337	HBxAg transactivated protein 1	XTP1	AK001166	5.52	0.79	0.14	-1
212978_at	Hs.387915	T-cell activation leucine repeat-rich protein	TA-LRRP	D86984	5.52	0.94	0.13	-1
225777_at	Hs.19322	hypothetical protein LOC89958	LOC89958	AW250904	5.51	0.92	0.12	-1
201292_at	Hs.156346	topoisomerase (DNA) II alpha 170kDa	TOP2A	NM_001067	5.51	0.89	0.13	-1
211122_s_at	Hs.103982	chemokine (C-X-C motif) ligand 11	CXCL11	AF002985	5.5	0.84	0.14	-1
235786_at	Hs.19173	Transcribed sequences		AI806781	5.5	1.11	0.14	1
227350_at	Hs.127797	CDNA FLJ11381 fis, clone HEMBA1000501.		AI807356	5.49	0.91	0.14	-1
237339_at	Hs.144151	Transcribed sequences		AI668620	5.49	1.17	0.14	1
200687_s_at	Hs.195614	splicing factor 3b, subunit 3, 130kDa	SF3B3	NM_012426	5.49	0.94	0.14	-1
204675_at	Hs.552	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	SRD5A1	NM_001047	5.48	0.9	0.13	-1
214039_s_at	Hs.296398	lysosomal associated protein transmembrane 4 beta	LAPTM4B	T15777	5.47	0.93	0.13	-1
225804_at	Hs.284163	hypothetical protein MGC32124	MGC3212 4	BE044480	5.46	1.06	0.14	1
214745_at	Hs.193143	KIAA1069 protein	KIAA1069	AW665865	5.46	0.88	0.14	-1
206074_s_at	Hs.57301	high mobility group AT-hook 1	HMGA1	NM_002131	5.45	0.92	0.14	-1
226456_at	Hs.347524	hypothetical protein MGC24665	MGC2466 5	AW138157	5.45	0.93	0.14	-1
225071_at	Hs.289008	chromosome 6 open reading frame 68	C6orf68	AK025467	5.45	0.94	0.12	-1
200039_s_at	Hs.432607	proteasome (prosome, macropain) subunit, beta type, 2	PSMB2	NM_002794	5.44	0.95	0.13	-1
201397_at	Hs.3343	phosphoglycerate dehydrogenase	PHGDH	NM_006623	5.44	0.92	0.13	-1
223864_at	Hs.326736	breast cancer antigen NY-BR-1	NY-BR-1	AF269087	5.43	1.25	0.14	1
225655_at	Hs.108106	ubiquitin-like, containing PHD and RING finger domains, 1	UHRF1	AK025578	5.42	0.91	0.14	-1
218447_at	Hs.6879	DC13 protein	DC13	NM_020188	5.42	0.93	0.14	-1
204203_at	Hs.2227	CCAAT/enhancer binding protein (C/EBP), gamma	CEBPG	NM_001806	5.4	0.93	0.14	-1
202107_s_at	Hs.57101	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	MCM2	NM_004526	5.4	0.93	0.13	-1
222848_at	Hs.164018	leucine zipper protein FKSG14	FKSG14	BC005400	5.38	0.89	0.13	-1
203145_at	Hs.16244	sperm associated antigen 5	SPAG5	NM_006461	5.38	0.91	0.14	-1
201195_s_at	Hs.184601	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	SLC7A5	AB018009	5.37	0.88	0.14	-1
201327_s_at	Hs.82916	chaperonin containing TCP1, subunit 6A (zeta 1)	CCT6A	NM_001762	5.37	0.95	0.13	-1
229097_at	Hs.283127	Similar to diaphanous homolog 3 (Drosophila), clone IMAGE:5277415, mRNA		AI813331	5.33	0.93	0.13	-1
217499_x_at	Hs.512431	Similar to CG14980-PB (LOC378140), mRNA		AW874308	5.33	0.95	0.14	-1
227232_at				T58044	5.33	1.11	0.14	1
205024_s_at	Hs.446554	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	RAD51	NM_002875	5.33	0.89	0.14	-1
215223_s_at	Hs.384944	superoxide dismutase 2, mitochondrial	SOD2	W46388	5.32	0.91	0.14	-1
205472_s_at	Hs.63931	dachshund homolog (Drosophila)	DACH	NM_004392	5.32	1.35	0.14	1
203625_x_at	Hs.23348	S-phase kinase-associated protein 2 (p45)	SKP2	BG105365	5.32	0.93	0.14	-1
203439_s_at	Hs.155223	stanniocalcin 2	STC2	BC000658	5.32	1.15	0.12	1
226346_at	Hs.406056	Transcribed sequence with strong similarity to protein pdb:14GS (H.sapiens) B Chain B, Glutathione S-Transferase P1-1 Apo Form 1		AA527151	5.32	0.93	0.14	1
214053_at	Hs.7888	CDNA FLJ44318 fis, clone TRACH3000780		AW772192	5.32	1.13	0.14	1
228554_at	Hs.32405	MRNA; cDNA DKFZp686A0815 (from clone DKFZp686A0815)		AL137566	5.32	1.18	0.13	1
202503_s_at	Hs.81892	KIAA0101 gene product	KIAA0101	NM_014736	5.3	0.93	0.13	-1
235363_at	Hs.28360	Transcribed sequences		BF108778	5.3	0.94	0.13	-1
204126_s_at	Hs.114311	CDC45 cell division cycle 45-like (S. cerevisiae)	CDC45L	NM_003504	5.3	0.79	0.14	-1
219990_at	Hs.94292	FLJ23311 protein	FLJ23311	NM_024680	5.29	0.86	0.14	-1
201970_s_at	Hs.446206	nuclear autoantigenic sperm protein (histone-binding)	NASP	NM_002482	5.28	0.94	0.14	-1
223225_s_at	Hs.301048	sec13-like protein	SEC13L	AI201534	5.28	0.92	0.12	-1
209205_s_at	Hs.3844	LIM domain only 4	LMO4	BC003600	5.28	0.92	0.13	-1
218755_at	Hs.73625	kinesin family member 20A	KIF20A	NM_005733	5.28	0.91	0.12	-1
230966_at	Hs.437023	interleukin 4 induced 1	IL4I1	AI859620	5.27	0.85	0.12	-1
229551_x_at	Hs.48480	zinc finger protein 367	ZNF367	N62196	5.27	0.9	0.12	-1
218982_s_at	Hs.44298	mitochondrial ribosomal protein S17	MRPS17	NM_015969	5.27	0.94	0.13	-1
213427_at	Hs.511756	ribonuclease P1	RNASEP1	NM_006638	5.26	0.94	0.13	-1
212022_s_at	Hs.80976	antigen identified by monoclonal antibody Ki-67	MKI67	BF001806	5.25	0.88	0.13	-1
202188_at	Hs.295014	KIAA0095 gene product	KIAA0095	NM_014669	5.24	0.87	0.14	-1
233388_at	Hs.511707	CDNA FLJ12288 fis, clone MAMMA1001783.		AK022350	5.23	1.1	0.13	1
224217_s_at	Hs.12899	Fas (TNFRSF6) associated factor 1	FAF1	AF094700	5.22	0.96	0.14	-1
219061_s_at	Hs.444619	DNA segment on chromosome X (unique) 9879 expressed sequence	DXS9879E	NM_006014	5.22	0.93	0.13	-1
227550_at	Hs.388347	MRNA; cDNA DKFZp686J0156 (from clone DKFZp686J0156)		AW242720	5.22	1.22	0.12	-1
231577_s_at	Hs.62661	guanylate binding protein 1, interferon-inducible, 67kDa	GBP1	AW014593	5.21	0.91	0.13	-1
224509_s_at	Hs.155839	reticulon 4 interacting protein 1	RTN4IP1	BC006399	5.21	0.82	0.14	-1
202240_at	Hs.329989	polo-like kinase 1 (Drosophila)	PLK1	NM_005030	5.2	0.91	0.12	-1
228528_at	Hs.445414	CDNA FLJ41270 fis, clone BRAMY2036387		AI927692	5.19	1.08	0.14	1
203022_at	Hs.25292	jun B proto-oncogene	JUNB	NM_006397	5.19	0.94	0.14	-1
227182_at	Hs.88417	sushi domain containing 3	SUSD3	AW966474	5.18	1.15	0.14	1
201833_at	Hs.3352	histone deacetylase 2	HDAC2	NM_001527	5.17	0.94	0.14	-1
212099_at	Hs.406064	ras homolog gene family, member B	ARHB	AI263909	5.16	1.07	0.14	1
209189_at	Hs.25647	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	BC004490	5.15	1.11	0.13	1
205440_s_at	Hs.169266	neuropeptide Y receptor Y1	NPY1R	NM_000909	5.14	1.27	0.12	1
203964_at	Hs.54483	N-myc (and STAT) interactor	NMI	NM_004688	5.14	0.93	0.13	-1
213007_at	Hs.334828	hypothetical protein FLJ10719	FLJ10719	BG478677	5.13	0.92	0.14	-1
240192_at	Hs.158992	CDNA FLJ45983 fis, clone PROST2017749		AI631850	5.13	1.27	0.13	1
243334_at	Hs.208647	Transcribed sequences		BF224050	5.13	1.11	0.13	1
230656_s_at	Hs.151001	cirrhosis, autosomal recessive 1A (cirhin)	CIRH1A	AL578336	5.12	0.94	0.12	-1
230165_at	Hs.44269	tripin	TRIPIN	N31731	5.12	0.93	0.12	-1
212247_at	Hs.413636	nucleoporin 205kDa	NUP205	AW008531	5.12	0.94	0.13	-1
219000_s_at	Hs.315167	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	MGC5528	NM_024094	5.11	0.9	0.12	-1
212141_at	Hs.460184	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	X74794	5.11	0.88	0.14	-1
219650_at				NM_017669	5.11	0.81	0.14	-1
218115_at	Hs.26516	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	ASF1B	NM_018154	5.09	0.93	0.13	-1
203594_at	Hs.274518	RNA terminal phosphate cyclase domain 1	RTCD1	NM_003729	5.09	0.95	0.14	-1
222889_at	Hs.115660	DNA cross-link repair 1B (PSO2 homolog, S. cerevisiae)	DCLRE1B	AI703304	5.09	0.94	0.14	-1
230856_at	Hs.9398	hypothetical protein FLJ10055	FLJ10055	AI073396	5.09	1.13	0.13	1
215942_s_at	Hs.122552	G-2 and S-phase expressed 1	GTSE1	BF973178	5.09	0.82	0.13	-1
202200_s_at	Hs.369358	SFRS protein kinase 1	SRPK1	NM_003137	5.08	0.95	0.14	-1
38158_at	Hs.153479	extra spindle poles like 1 (S. cerevisiae)	ESPL1	D79987	5.08	0.93	0.13	-1
215867_x_at				AL050025	5.08	1.1	0.14	1
204482_at	Hs.505337	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	CLDN5	NM_003277	5.08	1.16	0.13	1
219493_at	Hs.123253	likely ortholog of mouse Shc SH2-domain binding protein 1	SHCBP1	NM_024745	5.08	0.9	0.13	-1
209026_x_at	Hs.356729	beta 5-tubulin	OK/SW-cl.56	AF141349	5.08	0.96	0.12	-1
213696_s_at	Hs.301756	mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	MED8	AA421957	5.06	0.93	0.13	-1
200795_at	Hs.75445	SPARC-like 1 (mast9, hevin)	SPARCL1	NM_004684	5.05	1.06	0.12	1
207165_at	Hs.72550	hyaluronan-mediated motility receptor (RHAMM)		HMMR	NM_012485	5.05	0.89	1
202647_s_at	Hs.260523	neuroblastoma RAS viral (v-ras) oncogene homolog		NRAS	NM_002524	5.05	0.93	-1
213523_at	Hs.244723	cyclin E1		CCNE1	AI671049	5.04	0.88	-1
205034_at	Hs.408658	cyclin E2		CCNE2	NM_004702	5.04	0.89	-1
227060_at	Hs.434975	tumor necrosis factor receptor superfamily, member 19-like		TNFRSF19 L	AW571669	5.04	0.9	-1
222752_s_at	Hs.30318	hypothetical protein FLJ10874		FLJ10874	AK024066	5.04	0.95	-1
209714_s_at	Hs.84113	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)		CDKN3	AF213033	5.04	0.93	-1
209460_at	Hs.1588	4-aminobutyrate aminotransferase		ABAT	AF237813	5.04	1.14	1
200670_at	Hs.437638	X-box binding protein 1		XBP1	NM_005080	5.03	1.06	1
204709_s_at	Hs.270845	kinesin family member 23		KIF23	NM_004856	5.03	0.84	-1
202613_at	Hs.251871	CTP synthase		CTPS	NM_001905	5.02	0.94	-1
237881_at	Hs.432939	Transcribed sequences			AI821602	5.02	1.17	1
225330_at	Hs.104679	hypothetical protein MGC18216		MGC1821 6	AL044092	5.02	1.08	1
223315_at	Hs.102541	netrin 4		NTN4	AF278532	5.01	1.12	1
213103_at					AA128023	5.01	1.08	1
201196_s_at	Hs.159118	adenosylmethionine decarboxylase 1		AMD1	M21154	5.01	0.93	-1
242579_at	Hs.283417	Transcribed sequences			AA935461	5	1.2	1
218741_at	Hs.208912	chromosome 22 open reading frame 18		C22orf18	NM_024053	5	0.85	-1
228565_at					AI809005	5	0.91	-1
225676_s_at	Hs.273344	DKFZP564O0463 protein		DKFZP564 O0463	AK001693	4.99	0.95	-1
211986_at	Hs.378738	hypothetical protein MGC5395		MGC5395	BG287862	4.99	1.05	1
203859_s_at	Hs.78482	paralemmin		PALM	NM_002579	4.99	1.05	1
202858_at	Hs.365116	U2(RNU2) small nuclear RNA auxiliary factor 1		U2AF1	NM_006758	4.98	0.96	-1
206134_at	Hs.145296	ADAM-like, decysin 1		ADAMDE C1	NM_014479	4.97	0.87	-1
206869_at	Hs.97220	chondroadherin		CHAD	NM_001267	4.97	1.39	1
209608_s_at	Hs.278544	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)		ACAT2	BC000408	4.97	0.94	-1
204267_x_at	Hs.77783	membrane-associated tyrosine- and threonine-specific cdc2?inhibitory kinase		PKMYT1	NM_004203	4.97	0.94	-1
203961_at					AL157398	4.97	1.08	1
