Probe set	Gene Symbol	Description	Fold-change: Upper/Lower	P-value
1558621_at	CABLES1;GTF2F2	Cdk5 and Abl enzyme substrate 1 /// General transcription factor IIF, polypeptide 2, 30kDa	1.8	0.0002006
244599_at	ITGA4	Integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	1.8	0.0007391
212875_s_at	C21orf25	chromosome 21 open reading frame 25	1.8	5.82E-05
225431_x_at	ACY1L2	aminoacylase 1-like 2	1.8	0.0005107
218096_at	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	1.8	0.0005222
229513_at	STRBP	Spermatid perinuclear RNA binding protein	1.8	0.0001792
228742_at		Full length insert cDNA clone YQ54B06	1.7	0.0001797
216286_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	1.7	5.60E-06
228167_at	KLHL6	kelch-like 6 (Drosophila)	1.7	0.0009545
235315_at	TSC22D1	TSC22 domain family, member 1	1.7	0.0009816
244665_at	ITGA6	Integrin, alpha 6	1.7	0.0006525
235309_at		CDNA clone IMAGE:4140029	1.7	0.0003018
202979_s_at	CREBZF	CREB/ATF bZIP transcription factor	1.7	0.000251
226473_at	CBX2	chromobox homolog 2 (Pc class homolog, Drosophila)	1.7	0.0004562
240084_at	SDHA;LOC220729	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp) /// Succinate dehydrogenase complex, subunit A, flavoprotein pseudogene	1.7	4.74E-05
217080_s_at	HOMER2	homer homolog 2 (Drosophila)	1.7	0.0007652
1560739_a_at	UBE3C	Ubiquitin protein ligase E3C	1.7	0.0004404
1555486_a_at	FLJ14213	hypothetical protein FLJ14213	1.7	8.10E-06
229141_at	WDR33	WD repeat domain 33	1.7	0.0004082
218825_at	EGFL7	EGF-like-domain, multiple 7	1.7	0.0001454
227108_at	STARD9	START domain containing 9	1.7	0.0004328
229949_at	DKFZP434A0131	DKFZp434A0131 protein	1.7	0.000277
202594_at	LEPROTL1	leptin receptor overlapping transcript-like 1	1.7	0.0002102
205984_at	CRHBP	corticotropin releasing hormone binding protein	1.6	0.000332
228049_x_at		Transcribed locus, strongly similar to XP_001172939.1  hypothetical protein [Pan troglodytes]	1.6	0.0008344
219109_at	SPAG16	sperm associated antigen 16	1.6	0.0009935
1561762_s_at	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	1.6	0.0001711
213658_at	ZNF710	Zinc finger protein 710	1.6	0.000555
241505_at		Transcribed locus	1.6	0.0001831
226503_at	RIF1	RAP1 interacting factor homolog (yeast)	1.6	8.51E-05
208498_s_at	AMY1A;AMY1B;AMY1C;AMY2A;AMY2B;LOC730924	amylase, alpha 1A; salivary /// amylase, alpha 1B; salivary /// amylase, alpha 1C; salivary /// amylase, alpha 2A; pancreatic /// amylase, alpha 2B (pancreatic) /// similar to Pancreatic alpha-amylase precursor (PA) (1,4-alpha-D-glucan glucanohydrolase)	1.6	0.0005019
228613_at	RAB11FIP3	RAB11 family interacting protein 3 (class II)	1.6	0.0008991
231329_at	ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	1.6	0.000858
223162_s_at	KIAA1147	KIAA1147	1.6	0.0006951
206896_s_at	GNG7	guanine nucleotide binding protein (G protein), gamma 7	1.6	0.0001219
239442_at	CEP68	Centrosomal protein 68kDa	1.6	0.0005025
213657_s_at	ZNF710;DOCK4	Zinc finger protein 710 /// MRNA full length insert cDNA clone EUROIMAGE 375854 /// Dedicator of cytokinesis 4	1.6	0.0007827
212796_s_at	TBC1D2B	TBC1 domain family, member 2B	1.6	0.0009049
242494_at	PLCB1	Phospholipase C, beta 1 (phosphoinositide-specific)	1.6	0.0002857
1569484_s_at	MDN1	MDN1, midasin homolog (yeast)	1.6	0.0001079
207076_s_at	ASS1	argininosuccinate synthetase 1	1.6	1.08E-05
202259_s_at	PFAAP5	phosphonoformate immuno-associated protein 5	1.6	4.74E-05
226143_at	RAI1	retinoic acid induced 1	1.5	7.30E-05
228099_at	ZNF550	zinc finger protein 550	1.5	0.00034
242325_at			1.5	0.0003575
214700_x_at	RIF1	RAP1 interacting factor homolog (yeast)	1.5	3.51E-05
214124_x_at			1.5	0.0008907
203156_at	AKAP11	A kinase (PRKA) anchor protein 11	1.5	0.0008539
239803_at		Transcribed locus	1.5	0.0006475
232253_at	RAD50	RAD50 homolog (S. cerevisiae)	1.5	9.00E-07
225159_s_at			1.5	0.0002453
225111_s_at	NAPB	N-ethylmaleimide-sensitive factor attachment protein, beta	1.5	0.0007155
231234_at	CTSC	cathepsin C	1.5	0.000113
212667_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1.5	0.0008038
1552347_at	CRYZL1	crystallin, zeta (quinone reductase)-like 1	1.5	0.0005339
221823_at	C5orf30	chromosome 5 open reading frame 30	1.5	0.000868
228569_at	PAPOLA	poly(A) polymerase alpha	1.5	0.0002061
230570_at		Transcribed locus	1.5	0.0006417
230654_at		Transcribed locus	1.5	0.0001354
212399_s_at	VGLL4	vestigial like 4 (Drosophila)	1.5	0.0001348
212623_at	TMEM41B	transmembrane protein 41B	1.5	0.0003079
1555688_s_at	SLA2	Src-like-adaptor 2	1.5	0.0006419
230481_at	ACY3	aspartoacylase (aminocyclase) 3	1.5	0.0009182
209332_s_at	MAX	MYC associated factor X	1.5	0.0001216
230405_at	RAD50	RAD50 homolog (S. cerevisiae)	1.5	0.0001384
240824_at	OBFC1	Oligonucleotide/oligosaccharide-binding fold containing 1	1.4	0.0007264
227598_at	C7orf29	chromosome 7 open reading frame 29	1.4	0.0004326
239071_at	RBBP4	Retinoblastoma binding protein 4	1.4	0.0001012
222018_at	NACA;NACAP1;LOC389240	nascent-polypeptide-associated complex alpha polypeptide /// nascent-polypeptide-associated complex alpha polypeptide pseudogene 1 /// similar to nascent polypeptide-associated complex alpha polypeptide	1.4	0.0002132
203840_at	BLZF1	basic leucine zipper nuclear factor 1 (JEM-1)	1.4	0.0006102
214997_at	GOLGA1	Golgi autoantigen, golgin subfamily a, 1	1.4	0.0001613
233246_at	C9orf126	Chromosome 9 open reading frame 126	1.4	9.83E-05
1562497_at	MKL2	MKL/myocardin-like 2	1.4	0.0005362
226793_at	LOC283267	hypothetical protein LOC283267	1.4	0.0004419
212078_s_at	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	1.4	0.0003651
212357_at	KIAA0280	KIAA0280	1.4	0.0001528
243923_at			1.4	0.0002685
212033_at	RBM25	RNA binding motif protein 25	1.4	0.0001441
1554974_at	ACY3	aspartoacylase (aminocyclase) 3	1.4	0.0009661
213359_at	HNRPD	Heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	1.4	0.00028
220680_at	RAVER2	ribonucleoprotein, PTB-binding 2	1.4	0.0002277
218084_x_at	FXYD5	FXYD domain containing ion transport regulator 5	1.4	0.0001291
212030_at	RBM25	RNA binding motif protein 25	1.4	8.22E-05
1552742_at	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	1.4	0.000288
236197_at	NCBP1	Nuclear cap binding protein subunit 1, 80kDa	1.4	0.0007543
223849_s_at	MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	1.4	0.0003371
225396_at	ZBTB8OS	Zinc finger and BTB domain containing 8 opposite strand	1.4	0.0001522
212572_at	STK38L	serine/threonine kinase 38 like	1.4	0.0008876
202792_s_at	SAPS2	SAPS domain family, member 2	1.4	0.0001677
211678_s_at	ZNF313	zinc finger protein 313 /// zinc finger protein 313	1.4	0.0008711
224252_s_at	FXYD5	FXYD domain containing ion transport regulator 5	1.4	0.0001903
229726_at	GRAP	GRB2-related adaptor protein	1.3	0.0001394
36612_at	KIAA0280	KIAA0280	1.3	0.0001988
212757_s_at	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	1.3	0.0002444
227232_at	EVL	Enah/Vasp-like	1.3	0.0006539
228125_at		MRNA; cDNA DKFZp686P1116 (from clone DKFZp686P1116)	1.3	0.0004765
222284_at	SIPA1L3	Signal-induced proliferation-associated 1 like 3	1.3	0.0006681
239559_at	PLEKHA5	Pleckstrin homology domain containing, family A member 5	1.3	0.0004739
226508_at	PHC3	polyhomeotic homolog 3 (Drosophila)	1.3	0.0006926
225740_x_at	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	1.3	0.0003931
231958_at	C3orf31	Chromosome 3 open reading frame 31	1.3	0.0001679
223259_at	ORMDL3	ORM1-like 3 (S. cerevisiae)	1.3	0.0006715
1564276_at	LOC441108	hypothetical gene supported by AK128882	1.3	0.0006542
214004_s_at	VGLL4	vestigial like 4 (Drosophila)	1.3	0.0008574
223494_at	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	1.3	0.0006146
1557081_at	RBM25	RNA binding motif protein 25	1.3	0.0006902
238087_at			1.3	0.0004148
233917_s_at	MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	1.3	0.0001455
243511_at	HEXA	Hexosaminidase A (alpha polypeptide)	1.3	0.0002184
1555760_a_at	RBM15	RNA binding motif protein 15	1.3	0.0005478
219286_s_at	RBM15	RNA binding motif protein 15	1.3	0.0001219
226634_at	LOC399818	similar to CG9643-PA	1.3	0.0008348
