Genbank	0.01mM NS Ratio	0.01mM NS P-value	0.1mM Ibu Ratio	0.1mM Ibu P-value	V vs S Ratio	V vs S P-value	Description
BE348394	1.55	0.335	1.14	0.679	0.42	0.046	Chromosome 5 open reading frame 21
AI243004	1.48	0.537	0.73	0.116	0.41	0.017	Ataxin 1
AA243353	1.03	0.866	1.21	0.438	0.41	0.009	Hepatitis B virus x interacting protein
BE093599	0.83	0.615	0.87	0.743	0.36	0.008	Kinesin family member 22
BF732521	0.86	0.698	1.45	0.470	0.23	0.032	Holocarboxylase synthetase
NM_006408	0.76	0.063	0.50	0.0001	1.09	0.707	anterior gradient 2 homolog (Xenopus laevis)
NM_002971	0.97	0.878	0.47	0.049	0.98	0.968	special AT-rich sequence binding protein 1
BI495713	0.83	0.197	0.47	0.020	1.05	0.758	Thrombospondin 1
NM_173855	0.71	0.335	0.46	0.037	1.24	0.603	MORN repeat containing 3
NM_005627	0.87	0.291	0.45	0.008	1.21	0.016	serum/glucocorticoid regulated kinase
AL700075	0.97	0.962	0.45	0.040	0.55	0.070	Protein tyrosine phosphatase, receptor type, J
BX098081	0.83	0.390	0.43	0.019	0.72	0.064	Polycystic kidney disease 2 (autosomal dominant)
NM_019111	0.89	0.654	0.36	0.029	1.34	0.375	major histocompatibility complex, class II
BU754381	0.47	0.050	1.08	0.819	0.94	0.862	Membrane associated guanylate kinase
AA873769	0.79	0.491	0.84	0.535	2.09	0.037	Chemokine-like factor
NM_025003	1.41	0.196	0.34	0.152	3.29	0.0001	ADAM metallopeptidase with thrombospondin type 1
NM_033066	1.13	0.147	0.43	0.015	1.16	0.366	membrane protein, palmitoylated 4
NM_024749	1.06	0.474	0.53	0.066	0.50	0.037	vasohibin 2
NM_054020	1.62	0.404	0.50	0.037	0.68	0.167	cation channel, sperm associated 2
NM_004121	0.51	0.071	0.24	0.004	0.54	0.531	gamma-glutamyltransferase-like activity 1
AI208235	0.41	0.566	2.01	0.039	0.94	0.871	Adaptor-related protein complex 2, mu 1 subunit
NM_001276	0.97	0.867	0.43	0.016	1.02	0.911	chitinase 3-like 1 (cartilage glycoprotein-39)
NM_005841	0.90	0.637	0.46	0.003	0.78	0.065	sprouty homolog 1, antagonist of FGF signaling
AI188167	0.92	0.704	0.70	0.460	0.50	0.038	Stress-associated endoplasmic reticulum protein 1
CD643907	1.26	0.527	0.34	0.315	0.39	0.003	Leucine rich repeat (in FLII) interacting protein 2
BF326784	0.78	0.416	0.42	0.014	1.67	0.443	Albumin
NM_033439	0.87	0.398	0.24	0.027	0.81	0.627	chromosome 9 open reading frame 26 (NF-HEV)
NM_018556	1.04	0.789	0.63	0.060	0.50	0.019	signal-regulatory protein gamma
NM_012391	0.81	0.274	0.38	0.009	0.61	0.113	SAM pointed domain containing ets transcription factor
NM_000624	1.03	0.832	0.35	0.035	0.66	0.054	serpin peptidase inhibitor, clade A
NM_002546	0.90	0.363	0.39	0.036	0.69	0.014	tumor necrosis factor receptor superfamily
NM_017828	0.42	0.003	0.61	0.298	0.93	0.740	COMM domain containing 4
BF765033	0.87	0.485	0.49	0.014	0.89	0.586	Ubiquitin protein ligase E3A
