Clone ID	Unigene no.	Gene Symbol	Description	Putative function	Fold change a HEC-151	Fold change a HHUA	Fold change a Ishikawa
A3929	Hs.105435	GMDS	GDP-mannose 4,6-dehydratase	Metabolic enzyme	0.29	0.85	0.19
A0800	Hs.772	GYS1	Glycogen synthase 1	Metabolic enzyme	0.41	0.51	0.74
A4981	Hs.51043	HEXB	Hexosaminidase B	Metabolic enzyme	0.4	0.55	1.08
A4699	Hs.3828	MVD	Mevalonate decarboxylase	Metabolic enzyme	0.07	0.93	0.24
A3795	Hs.118721	NEU1	Neuraminidase 1	Metabolic enzyme	0.44	0.9	0.32
A2164	Hs.1869	PGM1	Phosphoglucomutase 1	Metabolic enzyme	0.1	0.41	0.66
A0899	Hs.75093	PLOD	Procollagen-lysine 2-oxoglutarate 5-dioxygenase	Metabolic enzyme	0.35	0.59	0.63
A3469	Hs.111024	SLC25A1	Solute carrier family 25 member 1	Metabolic enzyme	0.3	0.76	0.97
A0833	Hs.878	SORD	Sorbitol dehydrogenase	Metabolic enzyme	0.14	0.44	0.73
A0439	Hs.388	NUDT1	Nudix-type motif 1	Catalytic enzyme (prevents mutation)	0.47	0.88	0.82
A2832	Hs.80986	ATP5G1	ATP synthase H. transporting mitochondrial F0 complex subunit c isoform 1	Production of biochemical energy	0.17	0.56	0.38
A2930	Hs.85539	ATP5I	ATP synthase H. transporting mitochondrial F0 complex subunit e	Production of biochemical energy	0.18	0.56	0.55
A4132	Hs.153028	CYB561	Cytochrome b-561	Production of biochemical energy	0.02	0.6	0.09
A2770	Hs.181028	COX5A	Cytochrome c oxidase subunit Va subunit	Production of biochemical energy	0.35	0.56	0.76
A2931	Hs.81097	COX8	Cytochrome c oxidase subunit VIII	Production of biochemical energy	0.28	0.63	0.61
A4177	Hs.109760	NDUFB3	NADH dehydrogenase 1 . subcomplex 3	Production of biochemical energy	0.4	0.69	0.75
A2943	Hs.84549	NDUFC1	NADH dehydrogenase 1 subcomplex unknown 1	Production of biochemical energy	0.34	0.44	0.71
A5677	Hs.5273	NDUFS3	NADH dehydrogenase Fe-S protein 3	Production of biochemical energy	0.29	0.81	0.67
A4248	Hs.109059	RPML12	Ribosomal protein mitochondrial L12	Production of biochemical energy	0.46	0.63	0.54
A4693	Hs.18141	LAD1	Ladinin 1	Cell structure (component of basement membrane)	0.23	0.83	0.74
A0124	Hs.78452	SLC20A1	Solute carrier family 20 member 1	Other (phosphate transporter)	0.35	1	0.75
A4686	Hs.169900	PABPC4	Poly(A)-binding protein, cytoplasmic 4	Other (pseudogene)	0.43	0.73	0.41
A2518	Hs.106283	IGFBP6	Insulin-like growth factor-binding protein 6	Growth inhibitor	0.11	1.09	(-)
A4234	Hs.14623	IFI30	Interferon g-inducible protein 30	Unknown (interferon-induced protein)	0.23	1.06	0
A1054	Hs.833	ISG15	Interferon-stimulated protein	Unknown (interferon-stimulated protein)	0.33	0.64	0.82
A4184	Hs.24391	BET3	BET3	Unknown	0.32	1.04	0.86
A4677	Hs.194662	CNN3	Calponin 3 acidic	Unknown	0.44	0.91	1.16
A4797		---	DBI-related protein	Unknown	0.18	0.6	0.66
A4356	Hs.182265	KRT19	Keratin 19	Unknown	0.36	1.22	1.16
A5172	Hs.153591	NOT56L	Not56-like protein	Unknown	0.37	0.76	0
A4301	Hs.101033	---	Putative GTP-binding protein	Unknown	0.24	1.29	0.76
