geneid	symbol	description	pvalue	zscore	probe	w_pvalue	signed_p(negative--down, positive--up in LSC)
961	CD47	CD47 molecule	0.00312	-2.734926	226016_at;213055_at;213857_s_at;	0.033333333;0.002797203;0.016666667;	0.982401
30817	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	0.00312	-2.734926	232009_at;207610_s_at;207610_s_at;	0.033333333;0.002797203;0.016666667;	0.982401
719	C3AR1	complement component 3a receptor 1	0.010157	-2.320495	209906_at;209906_at;	0.002797203;0.033333333;	0.981935
2207	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	0.010157	-2.320495	204232_at;204232_at;	0.002797203;0.033333333;	0.981935
3556	IL1RAP	interleukin 1 receptor accessory protein	0.010157	-2.320495	205227_at;205227_at;	0.002797203;0.033333333;	0.981935
9057	SLC7A6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	0.010157	-2.320495	203578_s_at;203579_s_at;	0.002797203;0.033333333;	0.981935
9934	P2RY14	purinergic receptor P2Y, G-protein coupled, 14	0.010157	-2.320495	206637_at;206637_at;	0.002797203;0.033333333;	0.981935
10063	COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	0.010157	-2.320495	203880_at;203880_at;	0.002797203;0.033333333;	0.981935
54961	SSH3	slingshot homolog 3 (Drosophila)	0.010157	-2.320495	51192_at;51192_at;	0.002797203;0.033333333;	0.981935
65258	MPPE1	metallophosphoesterase 1	0.010157	-2.320495	206764_x_at;206764_x_at;	0.002797203;0.033333333;	0.981935
57714	KIAA1618	KIAA1618	0.020282	-2.047964	231956_at;241347_at;	0.033333333;0.002797203;	0.981935
84376	HOOK3	hook homolog 3 (Drosophila)	0.020282	-2.047964	240527_at;235114_x_at;	0.033333333;0.002797203;	0.981935
159195	USP54	ubiquitin specific peptidase 54	0.020282	-2.047964	235772_at;238522_at;	0.033333333;0.002797203;	0.981935
3140	MR1	major histocompatibility complex, class I-related	0.009891	-2.330462	207565_s_at;207565_s_at;	0.01958042;0.016666667;	0.981876
3419	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	0.009891	-2.330462	202069_s_at;202070_s_at;	0.01958042;0.016666667;	0.981876
6282	S100A11	S100 calcium binding protein A11	0.009891	-2.330462	200660_at;200660_at;	0.01958042;0.016666667;	0.981876
8861	LDB1	LIM domain binding 1	0.009891	-2.330462	203451_at;35160_at;	0.01958042;0.016666667;	0.981876
9776	KIAA0652	KIAA0652	0.009891	-2.330462	203363_s_at;203364_s_at;	0.01958042;0.016666667;	0.981876
23659	LYPLA3	lysophospholipase 3 (lysosomal phospholipase A2)	0.009891	-2.330462	204458_at;204458_at;	0.01958042;0.016666667;	0.981876
26031	OSBPL3	oxysterol binding protein-like 3	0.009891	-2.330462	209626_s_at;209626_s_at;	0.01958042;0.016666667;	0.981876
148022	TICAM1	toll-like receptor adaptor molecule 1	0.009891	-2.330462	213191_at;213191_at;	0.01958042;0.016666667;	0.981876
10870	HCST	hematopoietic cell signal transducer	0.0198	-2.057898	223640_at;223640_at;	0.01958042;0.016666667;	0.981876
23087	TRIM35	tripartite motif-containing 35	0.0198	-2.057898	227102_at;227102_at;	0.01958042;0.016666667;	0.981876
399979	SNX19	sorting nexin 19	0.009939	-2.32865	202358_s_at;202359_s_at;	0.020463665;0.016666667;	0.981435
1436	CSF1R	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	0.010313	-2.314756	203104_at;203104_at;	0.005594406;0.033333333;	0.980536
7518	XRCC4	X-ray repair complementing defective repair in Chinese hamster cells 4	0.010313	-2.314756	210812_at;205071_x_at;	0.005594406;0.033333333;	0.980536
50852	TRAT1	T cell receptor associated transmembrane adaptor 1	0.010313	-2.314756	217147_s_at;217147_s_at;	0.005594406;0.033333333;	0.980536
51588	PIAS4	protein inhibitor of activated STAT, 4	0.010313	-2.314756	212879_x_at;212881_at;	0.005594406;0.033333333;	0.980536
64755	C16orf58	chromosome 16 open reading frame 58	0.010313	-2.314756	222190_s_at;217891_at;	0.005594406;0.033333333;	0.980536
85464	SSH2	slingshot homolog 2 (Drosophila)	0.020565	-2.042225	226080_at;241988_x_at;	0.033333333;0.005594406;	0.980536
7226	TRPM2	transient receptor potential cation channel, subfamily M, member 2	0.010371	-2.312647	205708_s_at;205708_s_at;	0.006622198;0.033333333;	0.980022
3563	IL3RA	interleukin 3 receptor, alpha (low affinity)	0.010384	-2.312179	206148_at;206148_at;	0.006850503;0.033333333;	0.979908
10096	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	0.010384	-2.312179	213101_s_at;213101_s_at;	0.006850503;0.033333333;	0.979908
2533	FYB	FYN binding protein (FYB-120/130)	0.003256	-2.720841	227266_s_at;205285_s_at;211795_s_at;	0.016666667;0.011188811;0.033333333;	0.979604
8705	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	0.010192	-2.31922	210205_at;210205_at;	0.02505989;0.016666667;	0.979137
84933	C8orf76	chromosome 8 open reading frame 76	0.020524	-2.043046	225702_at;1554063_at;	0.022245497;0.01958042;	0.979087
6452	SH3BP2	SH3-domain binding protein 2	0.010608	-2.304101	209370_s_at;209370_s_at;	0.010787449;0.033333333;	0.97794
80342	TRAF3IP3	TRAF3 interacting protein 3	0.003377	-2.708733	240481_at;240481_at;205804_s_at;	0.033333333;0.011188811;0.022245497;	0.977744
11156	PTP4A3	protein tyrosine phosphatase type IVA, member 3	0.010632	-2.303278	209695_at;209695_at;	0.011188811;0.033333333;	0.977739
26019	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	0.010632	-2.303278	1561762_s_at;203519_s_at;	0.011188811;0.033333333;	0.977739
79668	PARP8	poly (ADP-ribose) polymerase family, member 8	0.010632	-2.303278	219033_at;219033_at;	0.011188811;0.033333333;	0.977739
81631	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta	0.010632	-2.303278	208785_s_at;208785_s_at;	0.011188811;0.033333333;	0.977739
246098			0.010632	-2.303278	222067_x_at;215071_s_at;	0.011188811;0.033333333;	0.977739
25921	ZDHHC5	zinc finger, DHHC-type containing 5	0.02114	-2.030747	224868_at;224868_at;	0.033333333;0.011188811;	0.977739
84868	HAVCR2	hepatitis A virus cellular receptor 2	0.02114	-2.030747	235458_at;235458_at;	0.033333333;0.011188811;	0.977739
119587	CPXM2	carboxypeptidase X (M14 family), member 2	0.02114	-2.030747	236144_at;226824_at;	0.033333333;0.011188811;	0.977739
144165	PRICKLE1	prickle homolog 1 (Drosophila)	0.02114	-2.030747	226069_at;226069_at;	0.033333333;0.011188811;	0.977739
158830	LOC158830	similar to Ab2-183	0.02114	-2.030747	231377_at;231377_at;	0.033333333;0.011188811;	0.977739
387521	TMEM189	transmembrane protein 189	0.02114	-2.030747	223186_at;223186_at;	0.033333333;0.011188811;	0.977739
160	AP2A1	adaptor-related protein complex 2, alpha 1 subunit	0.021712	-2.019602	229617_x_at;229617_x_at;	0.033333333;0.016620637;	0.975023
47	ACLY	ATP citrate lyase	0.010674	-2.301766	201127_s_at;201127_s_at;	0.033566434;0.016666667;	0.974883
241	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	0.010674	-2.301766	204174_at;204174_at;	0.033566434;0.016666667;	0.974883
311	ANXA11	annexin A11	0.010674	-2.301766	206200_s_at;206200_s_at;	0.033566434;0.016666667;	0.974883
2672	GFI1	growth factor independent 1 transcription repressor	0.010674	-2.301766	206589_at;206589_at;	0.033566434;0.016666667;	0.974883
4034	LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4	0.010674	-2.301766	204692_at;222017_x_at;	0.033566434;0.016666667;	0.974883
4064	CD180	CD180 molecule	0.010674	-2.301766	206206_at;206206_at;	0.033566434;0.016666667;	0.974883
6275	S100A4	S100 calcium binding protein A4	0.010674	-2.301766	203186_s_at;203186_s_at;	0.033566434;0.016666667;	0.974883
6945	MLX	MAX-like protein X	0.010674	-2.301766	217909_s_at;210752_s_at;	0.033566434;0.016666667;	0.974883
9121	SLC16A5	solute carrier family 16, member 5 (monocarboxylic acid transporter 6)	0.010674	-2.301766	206600_s_at;213590_at;	0.033566434;0.016666667;	0.974883
9814	SFI1	Sfi1 homolog, spindle assembly associated (yeast)	0.010674	-2.301766	36545_s_at;36545_s_at;	0.033566434;0.016666667;	0.974883
23370	ARHGEF18	rho/rac guanine nucleotide exchange factor (GEF) 18	0.010674	-2.301766	213039_at;213039_at;	0.033566434;0.016666667;	0.974883
79675	FASTKD1	FAST kinase domains 1	0.010674	-2.301766	219002_at;219002_at;	0.033566434;0.016666667;	0.974883
92595	ZNF764	zinc finger protein 764	0.010674	-2.301766	213475_s_at;213475_s_at;	0.033566434;0.016666667;	0.974883
123803	NTAN1	N-terminal asparagine amidase	0.010674	-2.301766	213062_at;213062_at;	0.033566434;0.016666667;	0.974883
51738	GHRL	ghrelin/obestatin preprohormone	0.021219	-2.029202	223862_at;223862_at;	0.033566434;0.016666667;	0.974883
54749	EPDR1	ependymin related protein 1 (zebrafish)	0.021219	-2.029202	240297_at;240297_at;	0.033566434;0.016666667;	0.974883
57461	ISY1	ISY1 splicing factor homolog (S. cerevisiae)	0.021219	-2.029202	223831_x_at;223831_x_at;	0.033566434;0.016666667;	0.974883
57532	NUFIP2	nuclear fragile X mental retardation protein interacting protein 2	0.021219	-2.029202	224956_at;224958_at;	0.033566434;0.016666667;	0.974883
84230	LRRC8C	leucine rich repeat containing 8 family, member C	0.021219	-2.029202	1570007_at;223533_at;	0.033566434;0.016666667;	0.974883
84888	SPPL2A	signal peptide peptidase-like 2A	0.021219	-2.029202	226353_at;226353_at;	0.033566434;0.016666667;	0.974883
92714	ARRDC1	arrestin domain containing 1	0.021219	-2.029202	226405_s_at;226405_s_at;	0.033566434;0.016666667;	0.974883
221468	C6orf128	chromosome 6 open reading frame 128	0.022006	-2.013972	237016_at;237016_at;	0.03963481;0.011188811;	0.974588
283219	KCTD21	potassium channel tetramerisation domain containing 21	0.022006	-2.013972	229873_at;229873_at;	0.03963481;0.011188811;	0.974588
1893	ECM1	extracellular matrix protein 1	0.011125	-2.286061	209365_s_at;209365_s_at;	0.01958042;0.033333333;	0.973543
3082	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	0.011125	-2.286061	210755_at;209960_at;	0.01958042;0.033333333;	0.973543
5884	RAD17	RAD17 homolog (S. pombe)	0.011125	-2.286061	210826_x_at;211228_s_at;	0.01958042;0.033333333;	0.973543
7355	SLC35A2	solute carrier family 35 (UDP-galactose transporter), member A2	0.011125	-2.286061	207439_s_at;209326_at;	0.01958042;0.033333333;	0.973543
11237	RNF24	ring finger protein 24	0.011125	-2.286061	204668_at;204668_at;	0.01958042;0.033333333;	0.973543
28956	MAPBPIP	mitogen-activated protein-binding protein-interacting protein	0.011125	-2.286061	218291_at;218291_at;	0.01958042;0.033333333;	0.973543
78994	PRR14	proline rich 14	0.011125	-2.286061	1559397_s_at;218714_at;	0.01958042;0.033333333;	0.973543
55593	OTUD5	OTU domain containing 5	0.022029	-2.01353	233933_s_at;224745_x_at;	0.033333333;0.01958042;	0.973543
85026	C9orf37	chromosome 9 open reading frame 37	0.022029	-2.01353	223390_at;223390_at;	0.033333333;0.01958042;	0.973543
113026	PLCD3	phospholipase C, delta 3	0.022029	-2.01353	234971_x_at;1552476_s_at;	0.033333333;0.01958042;	0.973543
114294	LACTB	lactamase, beta	0.022029	-2.01353	226354_at;1552486_s_at;	0.033333333;0.01958042;	0.973543
160335	TMTC2	transmembrane and tetratricopeptide repeat containing 2	0.022029	-2.01353	232927_at;228574_at;	0.033333333;0.01958042;	0.973543
28755	TRAC	T cell receptor alpha constant	0.011178	-2.284248	209670_at;209670_at;	0.020463665;0.033333333;	0.973102
489	ATP2A3	ATPase, Ca++ transporting, ubiquitous	0.003557	-2.69149	207521_s_at;230453_s_at;207522_s_at;	0.05034965;0.016666667;0.016666667;	0.972106
54662	TBC1D13	TBC1 domain family, member 13	0.011101	-2.286904	44696_at;218596_at;	0.033566434;0.022245497;	0.972094
347734	SLC35B2	solute carrier family 35, member B2	0.021986	-2.014351	224716_at;224716_at;	0.033566434;0.022245497;	0.972094
55176	SEC61A2	Sec61 alpha 2 subunit (S. cerevisiae)	0.003878	-2.662472	222824_at;219499_at;219499_at;	0.066666667;0.002797203;0.016666667;	0.97129
58986	TMEM8	transmembrane protein 8 (five membrane-spanning domains)	0.003957	-2.655682	222718_at;221882_s_at;221882_s_at;	0.066666667;0.006850503;0.016666667;	0.969939
23062	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	0.011328	-2.279193	208915_s_at;210658_s_at;	0.044568465;0.016666667;	0.969382
960	CD44	CD44 molecule (Indian blood group)	0.004077	-2.645651	234411_x_at;234411_x_at;210916_s_at;	0.066666667;0.005594406;0.022245497;	0.968498
9641	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	0.012111	-2.253578	204549_at;204549_at;	0.011188811;0.051988699;	0.968411
64855	FAM129B	family with sequence similarity 129, member B	0.023236	-1.991076	223019_at;233974_s_at;	0.033333333;0.030524232;	0.968071
84897	TBRG1	transforming growth factor beta regulator 1	0.023236	-1.991076	225819_at;225818_s_at;	0.033333333;0.030524232;	0.968071
81	ACTN4	actinin, alpha 4	0.003962	-2.655264	232058_at;241788_x_at;200601_at;	0.05034965;0.033333333;0.016666667;	0.96655
55526	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	0.003963	-2.655237	227094_at;227094_at;209916_at;	0.05034965;0.016666667;0.033333333;	0.96655
475	ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	0.011993	-2.257365	203454_s_at;203454_s_at;	0.033566434;0.033333333;	0.96655
811	CALR	calreticulin	0.011993	-2.257365	200935_at;212952_at;	0.033566434;0.033333333;	0.96655
1522	CTSZ	cathepsin Z	0.011993	-2.257365	210042_s_at;210042_s_at;	0.033566434;0.033333333;	0.96655
1861	TOR1A	torsin family 1, member A (torsin A)	0.011993	-2.257365	202348_s_at;202349_at;	0.033566434;0.033333333;	0.96655
3099	HK2	hexokinase 2	0.011993	-2.257365	202934_at;202934_at;	0.033566434;0.033333333;	0.96655
5329	PLAUR	plasminogen activator, urokinase receptor	0.011993	-2.257365	214866_at;210845_s_at;	0.033566434;0.033333333;	0.96655
6448	SGSH	N-sulfoglucosamine sulfohydrolase (sulfamidase)	0.011993	-2.257365	35626_at;35626_at;	0.033566434;0.033333333;	0.96655
6621	SNAPC4	small nuclear RNA activating complex, polypeptide 4, 190kDa	0.011993	-2.257365	205658_s_at;205658_s_at;	0.033566434;0.033333333;	0.96655
9337	CNOT8	CCR4-NOT transcription complex, subunit 8	0.011993	-2.257365	202162_s_at;202163_s_at;	0.033566434;0.033333333;	0.96655
22916	NCBP2	nuclear cap binding protein subunit 2, 20kDa	0.011993	-2.257365	201521_s_at;201521_s_at;	0.033566434;0.033333333;	0.96655
64080	RBKS	ribokinase	0.011993	-2.257365	219222_at;219222_at;	0.033566434;0.033333333;	0.96655
112950	MED8	mediator complex subunit 8	0.011993	-2.257365	213127_s_at;213696_s_at;	0.033566434;0.033333333;	0.96655
28988	DBNL	drebrin-like	0.023581	-1.984834	222429_at;222429_at;	0.033333333;0.033566434;	0.96655
55824	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	0.023581	-1.984834	225622_at;225622_at;	0.033333333;0.033566434;	0.96655
83933	HDAC10	histone deacetylase 10	0.023581	-1.984834	232870_at;232870_at;	0.033333333;0.033566434;	0.96655
91624	NEXN	nexilin (F actin binding protein)	0.023581	-1.984834	226103_at;1552309_a_at;	0.033333333;0.033566434;	0.96655
92806	MGC16385	hypothetical protein MGC16385	0.023581	-1.984834	223728_at;223728_at;	0.033333333;0.033566434;	0.96655
168850	ZNF800	zinc finger protein 800	0.023581	-1.984834	227104_x_at;227097_at;	0.033333333;0.033566434;	0.96655
219402	MTIF3	mitochondrial translational initiation factor 3	0.023581	-1.984834	243064_at;243064_at;	0.033333333;0.033566434;	0.96655
29909	GPR171	G protein-coupled receptor 171	0.011685	-2.267332	207651_at;207651_at;	0.05034965;0.016666667;	0.966492
57862	ZNF410	zinc finger protein 410	0.011685	-2.267332	209944_at;202010_s_at;	0.05034965;0.016666667;	0.966492
284021	C17orf60	chromosome 17 open reading frame 60	0.011685	-2.267332	217513_at;217513_at;	0.05034965;0.016666667;	0.966492
56850	GRIPAP1	GRIP1 associated protein 1	0.023034	-1.994767	225451_at;225451_at;	0.05034965;0.016666667;	0.966492
84630	TTBK1	tau tubulin kinase 1	0.023034	-1.994767	240643_at;230191_at;	0.05034965;0.016666667;	0.966492
4063	LY9	lymphocyte antigen 9	0.004317	-2.626219	231124_x_at;215967_s_at;210370_s_at;	0.066666667;0.002797203;0.033333333;	0.965734
8569	MKNK1	MAP kinase interacting serine/threonine kinase 1	0.004318	-2.626164	243256_at;243256_at;209467_s_at;	0.033333333;0.002797203;0.066666667;	0.965734
5140	PDE3B	phosphodiesterase 3B, cGMP-inhibited	0.004215	-2.634356	231276_at;222317_at;222317_at;	0.066666667;0.01958042;0.016666667;	0.965695
317	APAF1	apoptotic peptidase activating factor 1	0.012818	-2.231692	211554_s_at;204859_s_at;	0.002797203;0.066666667;	0.965268
2268	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.012818	-2.231692	208438_s_at;208438_s_at;	0.002797203;0.066666667;	0.965268
6404	SELPLG	selectin P ligand	0.012818	-2.231692	209879_at;209879_at;	0.002797203;0.066666667;	0.965268
7334	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	0.012818	-2.231692	201523_x_at;201524_x_at;	0.002797203;0.066666667;	0.965268
10105	PPIF	peptidylprolyl isomerase F (cyclophilin F)	0.012818	-2.231692	201490_s_at;201490_s_at;	0.002797203;0.066666667;	0.965268
10225	CD96	CD96 molecule	0.012818	-2.231692	206761_at;206761_at;	0.002797203;0.066666667;	0.965268
27351	FAM152B	family with sequence similarity 152, member B	0.012818	-2.231692	212527_at;212527_at;	0.002797203;0.066666667;	0.965268
117178	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	0.012818	-2.231692	203015_s_at;203016_s_at;	0.002797203;0.066666667;	0.965268
57614	KIAA1468	KIAA1468	0.025043	-1.959227	225508_at;225508_at;	0.066666667;0.002797203;	0.965268
81704	DOCK8	dedicator of cytokinesis 8	0.025043	-1.959227	232842_at;232842_at;	0.066666667;0.002797203;	0.965268
121665	UNQ1887	signal peptide peptidase 3	0.025043	-1.959227	224638_at;1566897_at;	0.066666667;0.002797203;	0.965268
143187	VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	0.025043	-1.959227	236849_at;236849_at;	0.066666667;0.002797203;	0.965268
143384	C10orf46	chromosome 10 open reading frame 46	0.025043	-1.959227	227258_at;227257_s_at;	0.066666667;0.002797203;	0.965268
10681	GNB5	guanine nucleotide binding protein (G protein), beta 5	0.012163	-2.251955	1554346_at;207124_s_at;	0.036203362;0.033333333;	0.965232
113612	CYP2U1	cytochrome P450, family 2, subfamily U, polypeptide 1	0.023974	-1.977826	228678_at;228678_at;	0.033333333;0.036982017;	0.964842
440149	LOC440149	hypothetical LOC440149	0.023974	-1.977826	236366_at;236366_at;	0.033333333;0.036982017;	0.964842
116985	CENTD2	centaurin, delta 2	0.004377	-2.621478	242039_at;242039_at;34206_at;	0.033333333;0.005594406;0.066666667;	0.964802
83856	FSD1L	fibronectin type III and SPRY domain containing 1-like	0.025381	-1.953488	242807_at;242586_at;	0.066666667;0.005594406;	0.963869
84326	C16orf13	chromosome 16 open reading frame 13	0.025381	-1.953488	238800_s_at;227378_x_at;	0.066666667;0.005594406;	0.963869
