Primary Sequence Name	Sequence Code	Sequence Description	Log(Ratio)	Fold Change	P-value	Intensity1	Intensity2
PAPSS2	203058_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	-0.22	-1.66	0.002	0.83	0.49
ALEX1	218694_at	ALEX1 protein	-0.22	-1.66	0.001	0.54	0.32
TJP2	202085_at	tight junction protein 2 (zona occludens 2)	-0.22	-1.66	0.008	0.80	0.48
KNS2	212877_at	kinesin 2 60/70kDa	-0.21	-1.62	0.007	0.64	0.39
UGCG	221765_at	UDP-glucose ceramide glucosyltransferase	-0.19	-1.56	0.001	0.91	0.58
HIS1	202814_s_at	HMBA-inducible	-0.19	-1.55	0.008	1.03	0.66
CITED2	207980_s_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	-0.18	-1.53	0.001	1.08	0.70
CCNE2	205034_at	cyclin E2	-0.18	-1.52	0.000	1.13	0.74
FLJ11088	218545_at	GGA binding partner	-0.18	-1.51	0.009	0.45	0.30
LOC113251	214155_s_at	c-Mpl binding protein	-0.18	-1.51	0.006	0.49	0.32
NR2F2	215073_s_at	nuclear receptor subfamily 2, group F, member 2	-0.18	-1.51	0.000	1.38	0.91
RGS16	209325_s_at	regulator of G-protein signalling 16	-0.18	-1.50	0.003	1.65	1.09
ANXA3	209369_at	annexin A3	-0.18	-1.50	0.000	1.02	0.67
GTF2IRD1	218412_s_at	GTF2I repeat domain containing 1	0.18	1.51	0.000	1.48	2.20
BCL3	204908_s_at	B-cell CLL/lymphoma 3	0.19	1.54	0.002	0.66	1.01
217653_x_at	217653_x_at	Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]	0.19	1.56	0.001	0.70	1.08
215553_x_at	215553_x_at	Sapiens cDNA FLJ14253 fis, clone OVARC1001376.	0.19	1.56	0.000	1.21	1.87
WASPIP	202664_at	Sapiens, clone IMAGE:5264268, mRNA	0.19	1.56	0.001	0.48	0.74
217704_x_at	217704_x_at	Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]	0.20	1.57	0.002	1.08	1.68
X123	213900_at	Friedreich ataxia region gene X123	0.20	1.58	0.000	0.91	1.42
215604_x_at	215604_x_at	Homo sapiens cDNA FLJ13721 fis, clone PLACE2000450.	0.20	1.60	0.006	0.78	1.24
217586_x_at	217586_x_at	Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_062553.1 (H.sapiens)  hypothetical protein FLJ11267 [Homo sapiens]	0.21	1.61	0.000	1.33	2.12
SCARB1	201819_at	scavenger receptor class B, member 1	0.21	1.62	0.000	1.27	2.04
215595_x_at	215595_x_at	Sapiens cDNA FLJ13856 fis, clone THYRO1000988.	0.21	1.62	0.009	0.60	0.96
CDKN1A	202284_s_at	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	0.21	1.62	0.000	2.20	3.53
217713_x_at	217713_x_at	Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]	0.21	1.63	0.000	1.30	2.10
ATP6V1D	214923_at	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	0.22	1.64	0.005	0.42	0.69
MADH3	205398_s_at	MAD, mothers against decapentaplegic homolog 3 (Drosophila)	0.22	1.64	0.010	0.59	0.96
DKFZP586N0721	218284_at	DKFZP586N0721 protein	0.23	1.68	0.000	1.08	1.80
na	218018_at	hypothetical gene supported by AL109793; AL122067	0.23	1.69	0.003	0.73	1.22
COL18A1	209082_s_at	collagen, type XVIII, alpha 1	0.23	1.69	0.000	0.79	1.32
FLJ12650	219438_at	hypothetical protein FLJ12650	0.23	1.69	0.002	0.73	1.22
RNU17D	215011_at	RNA, U17D small nucleolar	0.23	1.70	0.005	0.28	0.48
IGSF4	209031_at	immunoglobulin superfamily, member 4	0.24	1.74	0.000	1.50	2.59
CBFA2T3	208056_s_at	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	0.24	1.76	0.000	0.84	1.46
THBS1	201110_s_at	thrombospondin 1	0.26	1.81	0.000	1.25	2.23
THBS1	201109_s_at	thrombospondin 1	0.27	1.86	0.000	1.01	1.86
GPR56	212070_at	G protein-coupled receptor 56	0.30	1.99	0.000	1.65	3.24
CISH	221223_x_at	cytokine inducible SH2-containing protein	0.30	2.00	0.001	0.50	1.00
TIEG	202393_s_at	TGFB inducible early growth response	0.32	2.09	0.000	1.64	3.40
THBS1	201108_s_at	thrombospondin 1	0.32	2.11	0.000	0.87	1.82
KIAA1361	216310_at	Homo sapiens cDNA FLJ14314 fis, clone PLACE3000350, weakly similar to SERINE/THREONINE-PROTEIN KINASE SULU (EC 2.7.1.-).	0.34	2.20	0.000	0.61	1.33
FZD2	210220_at	frizzled homolog 2 (Drosophila)	0.36	2.31	0.010	0.20	0.45
ULK1	209333_at	unc-51-like kinase 1 (C. elegans)	0.37	2.34	0.000	1.16	2.70
PFKFB3	202464_s_at	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	0.38	2.40	0.001	0.24	0.57
N4BP3	214775_at	Nedd4 binding protein 3	0.39	2.45	0.008	0.23	0.56
KIAA1659	215750_at	Homo sapiens mRNA for KIAA1659 protein, partial cds.	0.41	2.56	0.000	0.13	0.34
KIAA1233	213974_at	KIAA1233 protein	0.42	2.65	0.007	0.09	0.24
BACE	217904_s_at	beta-site APP-cleaving enzyme	0.43	2.66	0.001	0.25	0.66
217591_at	217591_at	Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_060265.1 (H.sapiens)  hypothetical protein FLJ20378 [Homo sapiens]	0.46	2.89	0.000	0.77	2.21
RASGRP1	205590_at	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	0.48	3.02	0.001	0.10	0.30
MSMB	207430_s_at	microseminoprotein, beta-	0.56	3.64	0.005	0.05	0.18
