Gene name	Fold	Description (accession no.)	Function	Location
Clone 24504	2.4	Homo sapiens clone 24504 mRNA sequence (R43867)	Miscellaneous	Genes up-regulated in EECs
ESTs	2.3	ESTs, weakly similar to FYB_human FYN-binding protein [H. sapiens] (H95358)	Miscellaneous	Genes up-regulated in EECs
ESTs	2.3	ESTs (AA928778)	Miscellaneous	Genes up-regulated in EECs
Clone MGC:19762	2.2	H. sapiens, clone MGC: 19762 IMAGE: 3636045, mRNA, complete cds (AA454864)	Miscellaneous	Genes up-regulated in EECs
ESTs	2.1	ESTs (g1102475)	Miscellaneous	Genes up-regulated in EECs
ESTs	2.1	ESTs (W86445)	Miscellaneous	Genes up-regulated in EECs
ESTs		ESTs, weakly similar to S59501 interferon receptor JFNAR 2-1 [H. sapiens] (g2878163)	Miscellaneous	Genes up-regulated in EECs
ITGB1	2.8	Integrin, ß1 (fibronectin receptor, ß-polypeptide, antigen CD29 includes MDF2, MSK12)	Cell adhesion	Genes up-regulated in NEECs
DEK	2.6	DEK oncogene (DNA binding)	Oncogene	Genes up-regulated in NEECs
CCNB2	2.6	Cyclin B2	Cell cycle	Genes up-regulated in NEECs
STK15	2.4	Serine/threonine kinase 15	Cell cycle	Genes up-regulated in NEECs
BUB1	2.3	Budding uninhibited by benzimidazoles 1 (yeast homologue)	Cell cycle	Genes up-regulated in NEECs
PCNA	2.3	Proliferating cell nuclear antigen	Cell cycle	Genes up-regulated in NEECs
SON	2.3	SON DNA-binding protein	Cell death	Genes up-regulated in NEECs
AREG	2.6	Insulin-like growth factor 1 (somatomedin C)	Cell growth	Genes up-regulated in NEECs
RUVBL1	2.1	Amphiregulin (schwannoma-derived growth factor) RuvB (Escherichia coli homologue)-like 1	Cell growth	Genes up-regulated in NEECs
CORO1C	2.3	Coronin, actin-binding protein, 1C	Cell motility	Genes up-regulated in NEECs
HMMR	2.1	Hyaluronan-mediated motility receptor (RHAMM)	Cell motility	Genes up-regulated in NEECs
ARPC5	2.6	Actin-related protein 2/3 complex, subunit 5 (16 kDa)	Cytoskeleton	Genes up-regulated in NEECs
ANLN	2.4	Anillin (Drosophila scraps homologue), actin-binding protein	Cytoskeleton	Genes up-regulated in NEECs
ARPC1B	2.2	Actin-related protein 2/3 complex, subunit 1A (41 kDa)	Cytoskeleton	Genes up-regulated in NEECs
TUBA2	2.1	Tubulin, alpha2	Cytoskeleton	Genes up-regulated in NEECs
GLDC	3.3	Glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	Metabolism	Genes up-regulated in NEECs
DLD	2.5	Dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxoglutarate complex, branched chain keto acid dehydrogenase complex)	Metabolism	Genes up-regulated in NEECs
MDH1	2.5	Malate dehydrogenase 1, NAD (soluble)	Metabolism	Genes up-regulated in NEECs
OAT	2.3	Ornithine aminotransferase (gyrate atrophy)	Metabolism	Genes up-regulated in NEECs
PGK1	2.1	Phosphoglycerate kinase 1	Metabolism	Genes up-regulated in NEECs
AK3	2.1	Adenylate kinase 3	Metabolism	Genes up-regulated in NEECs
GLUD1	2.1	Glutamate dehydrogenase 1	Metabolism	Genes up-regulated in NEECs
RAB10	2.6	RAB10, member RAS oncogene family	Transport	Genes up-regulated in NEECs
CREG	2.4	Cellular repressor of E1A-stimulated genes	Transcription related	Genes up-regulated in NEECs
TCEB3	2.2	Transcription elongation factor B (SIII), polypeptide 3 (110 kDa, elongin A)	Transcription related	Genes up-regulated in NEECs
SMARCA3	2.1	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 3	Transcription related	Genes up-regulated in NEECs
CCT4	2.7	Chaperonin-containing TCP1, subunit 4 (delta)	Basic cellular function	Genes up-regulated in NEECs
TXNRD1	2.2	Thioredoxin reductase 1	Basic cellular function	Genes up-regulated in NEECs
PSMD10	2.1	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 poly(rC)-binding protein 2	Basic cellular function	Genes up-regulated in NEECs
PCBP2	2.1	Chaperonin-containing TCP1, subunit 5 (epsilon)	Basic cellular function	Genes up-regulated in NEECs
CCT5	2.1	Eukaryotic translation initiation factor 3, subunit 10 (theta, 150/170 kDa)	Basic cellular function	Genes up-regulated in NEECs
EIF3S10	2.1		Basic cellular function	Genes up-regulated in NEECs
Clone COL04196	2.8	H. sapiens cDNA: FLJ23249 fis, clone COL04196 (AA625759)	Miscellaneous	Genes up-regulated in NEECs
PTD010	2.6	PTD010 protein (AA401686)	Miscellaneous	Genes up-regulated in NEECs
HTGN29	2.3	HTGN29 protein (AA018631)	Miscellaneous	Genes up-regulated in NEECs
