Kegg Pathway	Pathway description	Gene symbol	Parametric p-value	Hazard Ratio
hsa00190	Oxidative phosphorylation	UQCRC2	0.7720897	1.046
hsa00190	Oxidative phosphorylation	NDUFB9	0.7753108	1.041
hsa00190	Oxidative phosphorylation	NDUFB11	0.7779222	1.054
hsa00190	Oxidative phosphorylation	COX5B	0.7847691	1.051
hsa00190	Oxidative phosphorylation	COX4I2	0.7894379	1.031
hsa00190	Oxidative phosphorylation	COX15	0.7955971	1.054
hsa00190	Oxidative phosphorylation	NDUFB3	0.799769	1.039
hsa00190	Oxidative phosphorylation	COX7B	0.7997771	1.023
hsa00190	Oxidative phosphorylation	NDUFA9	0.8057005	1.034
hsa00190	Oxidative phosphorylation	UQCRH	0.8290149	1.018
hsa00190	Oxidative phosphorylation	NDUFB7	0.8344862	1.027
hsa00190	Oxidative phosphorylation	ATP4A	0.8383611	0.959
hsa00190	Oxidative phosphorylation	NDUFS4	0.839221	1.026
hsa00190	Oxidative phosphorylation	ATP5C1	0.8483991	1.026
hsa00190	Oxidative phosphorylation	NDUFS7	0.8585573	0.969
hsa00190	Oxidative phosphorylation	COX5A	0.8604975	1.028
hsa00190	Oxidative phosphorylation	ATP5J2	0.8691591	1.036
hsa00190	Oxidative phosphorylation	NDUFS5	0.8728715	1.035
hsa00190	Oxidative phosphorylation	NDUFA12	0.8734749	1.029
hsa00190	Oxidative phosphorylation	ATP5G3	0.8830679	1.023
hsa00190	Oxidative phosphorylation	COX6C	0.8845406	0.98
hsa00190	Oxidative phosphorylation	UQCR	0.8875964	0.98
hsa00190	Oxidative phosphorylation	ATP6V1E2	0.9176845	0.975
hsa00190	Oxidative phosphorylation	ATP6V1B2	0.9433987	0.989
hsa00190	Oxidative phosphorylation	UQCRC1	0.9624807	0.992
hsa00190	Oxidative phosphorylation	ATP5J	0.9876749	0.998
hsa00190	Oxidative phosphorylation	ATP5H	0.9882533	1.003
hsa00190	Oxidative phosphorylation	ATP6V1C1	0.9895814	0.998
hsa00230	Purine metabolism	PRPS1L1	0.0024829	0.471
hsa00230	Purine metabolism	PDE6H	0.0035661	2.313
hsa00230	Purine metabolism	PDE4D	0.0096529	0.464
hsa00230	Purine metabolism	NT5C	0.0121329	0.574
hsa00230	Purine metabolism	GMPR	0.0124692	0.678
hsa00230	Purine metabolism	PDE1A	0.0202549	1.387
hsa00230	Purine metabolism	GUCY2F	0.0304644	0.683
hsa00230	Purine metabolism	NT5C1A	0.0426517	0.735
hsa00230	Purine metabolism	POLR3F	0.0528693	1.426
hsa00230	Purine metabolism	POLD3	0.0572799	0.69
hsa00230	Purine metabolism	PDE2A	0.0658284	0.496
hsa00230	Purine metabolism	POLR2L	0.0700983	1.385
hsa00230	Purine metabolism	ADCY3	0.075951	0.647
hsa00230	Purine metabolism	ADCY8	0.0771716	1.239
hsa00230	Purine metabolism	IMPDH1	0.0904947	0.726
hsa00230	Purine metabolism	PDE8A	0.0963839	0.667
hsa00230	Purine metabolism	ENTPD3	0.0976189	0.725
hsa00230	Purine metabolism	ENTPD1	0.0976825	0.63
hsa00230	Purine metabolism	NUDT5	0.101495	1.263
hsa00230	Purine metabolism	POLD2	0.102137	1.306
hsa00230	Purine metabolism	POLR2C	0.1152546	1.454
hsa00230	Purine metabolism	GART	0.1175366	1.4
hsa00230	Purine metabolism	RRM2B	0.124294	0.808
hsa00230	Purine metabolism	RFC5	0.1315058	1.346
hsa00230	Purine metabolism	NME7	0.1332272	1.301
hsa00230	Purine metabolism	ECGF1	0.1384602	0.859
hsa00230	Purine metabolism	POLA1	0.139801	0.72
hsa00230	Purine metabolism	POLR2K	0.1437658	1.18
hsa00230	Purine metabolism	NPR2	0.145979	0.705
hsa00230	Purine metabolism	GUCY2D	0.1462213	0.663
hsa00230	Purine metabolism	ENTPD6	0.151974	0.721
hsa00230	Purine metabolism	APRT	0.1545756	0.791
hsa00230	Purine metabolism	ADCY6	0.1615081	0.635
hsa00230	Purine metabolism	POLR3B	0.1669088	1.304
hsa00230	Purine metabolism	DCK	0.1908609	0.712
hsa00230	Purine metabolism	PRPS1	0.2063818	0.751
hsa00230	Purine metabolism	PFAS	0.2082733	0.753
hsa00230	Purine metabolism	POLR2D	0.2145086	1.333
hsa00230	Purine metabolism	RRM2	0.2166045	1.125
hsa00230	Purine metabolism	AK7	0.2198437	0.804
hsa00230	Purine metabolism	DGUOK	0.2218205	1.359
hsa00230	Purine metabolism	ADCY1	0.2279433	0.649
hsa00230	Purine metabolism	NME5	0.2339677	0.875
hsa00230	Purine metabolism	POLR2I	0.239837	1.161
hsa00230	Purine metabolism	GUCY1B2	0.2647355	0.759
hsa00230	Purine metabolism	ADCY4	0.269317	0.676
hsa00230	Purine metabolism	PDE9A	0.2975986	1.136
hsa00230	Purine metabolism	RRM1	0.3044645	0.837
hsa00230	Purine metabolism	PAPSS2	0.3091654	1.236
hsa00230	Purine metabolism	AMPD3	0.3094145	0.743
hsa00230	Purine metabolism	ENPP2	0.341501	0.837
hsa00230	Purine metabolism	CANT1	0.3877488	0.793
hsa00230	Purine metabolism	ADK	0.3918236	0.747
hsa00230	Purine metabolism	GUCY1A3	0.3976856	1.138
hsa00230	Purine metabolism	PRPS2	0.398695	0.864
hsa00230	Purine metabolism	AK1	0.3993443	0.889
hsa00230	Purine metabolism	PDE4A	0.4023704	0.826
hsa00230	Purine metabolism	POLE4	0.4081397	1.129
hsa00230	Purine metabolism	GUCY1B3	0.4090784	0.888
hsa00230	Purine metabolism	ENTPD5	0.4149608	1.252
hsa00230	Purine metabolism	POLR2J	0.425363	1.215
hsa00230	Purine metabolism	NME4	0.4369378	1.149
hsa00230	Purine metabolism	PPAT	0.437772	0.887
hsa00230	Purine metabolism	PDE1B	0.4435902	1.231
hsa00230	Purine metabolism	POLR3A	0.4458063	1.14
hsa00230	Purine metabolism	POLA2	0.4670081	0.863
hsa00230	Purine metabolism	ENTPD4	0.4715541	0.773
hsa00230	Purine metabolism	ADCY5	0.4745317	0.779
hsa00230	Purine metabolism	PKM2	0.4841533	1.103
hsa00230	Purine metabolism	PAICS	0.5006626	0.9
hsa00230	Purine metabolism	PKLR	0.5022971	0.815
hsa00230	Purine metabolism	ADCY2	0.509483	0.914
hsa00230	Purine metabolism	NT5M	0.5105817	0.901
hsa00230	Purine metabolism	ADA	0.5200557	1.108
hsa00230	Purine metabolism	ADSL	0.5346962	1.083
hsa00230	Purine metabolism	PRUNE	0.5360676	1.156
hsa00230	Purine metabolism	POLR3G	0.5379475	0.878
hsa00230	Purine metabolism	ENPP1	0.5410232	0.881
hsa00230	Purine metabolism	XDH	0.5419351	1.097
hsa00230	Purine metabolism	GUCY1A2	0.5430814	0.9
hsa00230	Purine metabolism	NME6	0.5607956	1.089
hsa00230	Purine metabolism	PDE5A	0.569848	1.19
hsa00230	Purine metabolism	POLR2A	0.5773164	1.071
hsa00230	Purine metabolism	POLR2G	0.5774612	1.116
hsa00230	Purine metabolism	PDE8B	0.5900728	1.114
hsa00230	Purine metabolism	ADSS	0.5927606	1.089
hsa00230	Purine metabolism	NUDT2	0.5994991	0.926
hsa00230	Purine metabolism	POLE3	0.6145217	1.086
hsa00230	Purine metabolism	ADCY9	0.6209862	0.828
hsa00230	Purine metabolism	PDE3A	0.625919	1.098
hsa00230	Purine metabolism	NUDT9	0.6318049	1.099
hsa00230	Purine metabolism	POLE2	0.6448411	0.931
hsa00230	Purine metabolism	ADCY7	0.680949	0.914
hsa00230	Purine metabolism	POLR2F	0.6813326	1.061
hsa00230	Purine metabolism	PNPT1	0.68678	1.065
hsa00230	Purine metabolism	NT5C3	0.6871378	1.055
hsa00230	Purine metabolism	ATIC	0.6943577	1.082
hsa00230	Purine metabolism	POLR3GL	0.6981431	0.921
hsa00230	Purine metabolism	AMPD2	0.7014707	0.927
hsa00230	Purine metabolism	AMPD1	0.7267464	0.924
hsa00230	Purine metabolism	IMPDH2	0.7368292	0.952
hsa00230	Purine metabolism	POLD1	0.7395916	1.045
hsa00230	Purine metabolism	POLR2E	0.7559859	0.943
hsa00230	Purine metabolism	POLR1B	0.7592198	1.077
hsa00230	Purine metabolism	PDE7B	0.7696236	0.936
hsa00230	Purine metabolism	ENTPD2	0.7705994	0.939
hsa00230	Purine metabolism	POLR3C	0.7820401	1.052
hsa00230	Purine metabolism	PDE7A	0.7823976	0.909
hsa00230	Purine metabolism	ITPA	0.7865824	0.967
hsa00230	Purine metabolism	GUK1	0.8042245	0.95
hsa00230	Purine metabolism	GMPS	0.8056567	1.046
hsa00230	Purine metabolism	PDE6D	0.8058683	1.047
hsa00230	Purine metabolism	ENPP3	0.8140831	0.968
hsa00230	Purine metabolism	POLR1A	0.8271497	0.93
hsa00230	Purine metabolism	AK3L1	0.833515	0.979
hsa00230	Purine metabolism	PDE10A	0.834729	1.046
hsa00230	Purine metabolism	PDE4C	0.8410088	1.064
hsa00230	Purine metabolism	NT5E	0.8413225	0.982
hsa00230	Purine metabolism	NP	0.8418173	1.024
hsa00230	Purine metabolism	PRIM1	0.8532948	0.963
hsa00230	Purine metabolism	PDE1C	0.85781	1.026
hsa00230	Purine metabolism	POLR2B	0.8862178	0.967
hsa00230	Purine metabolism	NT5C2	0.8916784	1.023
hsa00230	Purine metabolism	POLR1D	0.8922381	1.027
hsa00230	Purine metabolism	GDA	0.9068257	1.016
hsa00230	Purine metabolism	POLD4	0.9113567	0.977
hsa00230	Purine metabolism	ALLC	0.9428442	1.016
hsa00230	Purine metabolism	GUCY2C	0.9553367	1.011
hsa00230	Purine metabolism	NPR1	0.9573467	1.006
hsa00230	Purine metabolism	PDE3B	0.9738432	0.993
hsa00230	Purine metabolism	POLR2H	0.9802098	0.996
hsa00230	Purine metabolism	POLE	0.9804391	0.993
hsa00230	Purine metabolism	AK5	0.9805257	0.995
hsa00230	Purine metabolism	PAPSS1	0.9927029	1.001
hsa00230	Purine metabolism	NME3	0.9997249	1
hsa00230	Purine metabolism	POLR3K	0.9998186	1
hsa01430	Cell Communication	KRT10	0.0008401	1.797
hsa01430	Cell Communication	KRT1	0.0012694	0.519
hsa01430	Cell Communication	KRT2	0.0042088	0.519
hsa01430	Cell Communication	LAMA1	0.0043785	1.283
hsa01430	Cell Communication	KRT18	0.0065492	0.669
hsa01430	Cell Communication	COL11A1	0.0084369	1.149
hsa01430	Cell Communication	KRT83	0.0084636	0.461
hsa01430	Cell Communication	GJB1	0.0118158	0.82
hsa01430	Cell Communication	KRT9	0.0170337	0.484
hsa01430	Cell Communication	COL1A2	0.019372	1.276
hsa01430	Cell Communication	ITGB4	0.0201899	0.788
hsa01430	Cell Communication	KRT84	0.0217568	0.567
hsa01430	Cell Communication	COL17A1	0.0242162	0.673
hsa01430	Cell Communication	COMP	0.0296374	1.171
hsa01430	Cell Communication	GJA1	0.029665	1.219
hsa01430	Cell Communication	KRT17	0.0356357	0.683
hsa01430	Cell Communication	TNN	0.0390002	0.569
hsa01430	Cell Communication	TNR	0.0477317	0.684
hsa01430	Cell Communication	KRT33B	0.048258	0.626
hsa01430	Cell Communication	KRT14	0.0498962	0.682
hsa01430	Cell Communication	KRT15	0.0532188	0.656
hsa01430	Cell Communication	COL5A2	0.0591438	1.134
hsa01430	Cell Communication	GJA3	0.0640231	0.695
hsa01430	Cell Communication	LAMC3	0.0657592	0.632
hsa01430	Cell Communication	COL3A1	0.0706365	1.218
hsa01430	Cell Communication	TNC	0.0764647	0.869
hsa01430	Cell Communication	THBS1	0.0765237	1.255
hsa01430	Cell Communication	LAMB1	0.0777781	1.212
hsa01430	Cell Communication	INA	0.0853494	1.22
hsa01430	Cell Communication	GJB2	0.0854409	1.117
hsa01430	Cell Communication	KRT3	0.0983812	0.65
hsa01430	Cell Communication	VIM	0.1055857	1.28
hsa01430	Cell Communication	DSC2	0.1064379	1.183
hsa01430	Cell Communication	KRT71	0.1116767	0.794
hsa01430	Cell Communication	GJB5	0.1183611	0.827
hsa01430	Cell Communication	COL4A4	0.1186836	0.809
hsa01430	Cell Communication	KRT12	0.1395588	0.787
hsa01430	Cell Communication	LAMA2	0.1557876	1.159
hsa01430	Cell Communication	KRT77	0.1611295	0.781
hsa01430	Cell Communication	LAMA4	0.1796635	1.223
hsa01430	Cell Communication	COL2A1	0.1820778	0.763
hsa01430	Cell Communication	KRT13	0.1857786	0.767
hsa01430	Cell Communication	LMNB1	0.1995886	1.261
hsa01430	Cell Communication	LAMB3	0.2435126	0.889
hsa01430	Cell Communication	COL4A6	0.2527473	1.445
hsa01430	Cell Communication	NES	0.2638685	0.794
hsa01430	Cell Communication	GJA8	0.2660296	1.169
hsa01430	Cell Communication	LAMC1	0.2703526	1.13
hsa01430	Cell Communication	COL1A1	0.2718745	1.1
hsa01430	Cell Communication	KRT4	0.2728322	0.78
hsa01430	Cell Communication	FN1	0.2815089	1.094
hsa01430	Cell Communication	SPP1	0.2847134	1.098
hsa01430	Cell Communication	LAMA3	0.2862365	0.75
hsa01430	Cell Communication	KRT86	0.3035409	0.817
hsa01430	Cell Communication	KRT85	0.3184271	0.774
hsa01430	Cell Communication	DSG1	0.3247066	0.771
hsa01430	Cell Communication	DSG2	0.3267389	1.143
hsa01430	Cell Communication	DSG3	0.3295704	0.787
hsa01430	Cell Communication	KRT82	0.3467373	0.845
hsa01430	Cell Communication	CHAD	0.3548128	1.202
hsa01430	Cell Communication	PRPH	0.3599805	1.238
hsa01430	Cell Communication	VWF	0.3835383	1.245
hsa01430	Cell Communication	KRT7	0.4166004	0.919
hsa01430	Cell Communication	KRT32	0.4255161	0.846
hsa01430	Cell Communication	LAMC2	0.4272352	0.919
hsa01430	Cell Communication	GJE1	0.4320312	1.146
hsa01430	Cell Communication	GJB4	0.437718	0.82
hsa01430	Cell Communication	GJB3	0.4524522	0.869
hsa01430	Cell Communication	COL5A1	0.4568821	1.061
hsa01430	Cell Communication	VTN	0.4599813	1.126
hsa01430	Cell Communication	LMNA	0.4669154	0.89
hsa01430	Cell Communication	DES	0.5051108	0.879
hsa01430	Cell Communication	GJC1	0.5186598	0.784
hsa01430	Cell Communication	KRT19	0.529103	0.873
hsa01430	Cell Communication	KRT35	0.5355727	0.815
hsa01430	Cell Communication	KRT16	0.5420795	0.914
hsa01430	Cell Communication	LAMB2	0.5610486	1.185
hsa01430	Cell Communication	THBS4	0.5704755	1.039
hsa01430	Cell Communication	COL5A3	0.5897827	0.925
hsa01430	Cell Communication	KRT6A	0.6172292	0.954
hsa01430	Cell Communication	LAMB4	0.6377959	0.904
hsa01430	Cell Communication	KRT81	0.6548099	1.055
hsa01430	Cell Communication	LMNB2	0.6570673	0.923
hsa01430	Cell Communication	KRT31	0.6570882	1.097
hsa01430	Cell Communication	DSC1	0.6575329	1.119
hsa01430	Cell Communication	COL6A1	0.664127	1.063
hsa01430	Cell Communication	LAMA5	0.7040528	0.944
hsa01430	Cell Communication	KRT34	0.7181836	1.068
hsa01430	Cell Communication	DSG4	0.7343145	1.06
hsa01430	Cell Communication	IBSP	0.7393251	1.102
hsa01430	Cell Communication	RELN	0.7433528	0.934
hsa01430	Cell Communication	COL6A2	0.7582054	0.954
hsa01430	Cell Communication	GJB6	0.7766424	1.039
hsa01430	Cell Communication	THBS3	0.7895964	0.923
hsa01430	Cell Communication	GJA5	0.8428488	0.962
hsa01430	Cell Communication	COL6A3	0.8636542	1.039
hsa01430	Cell Communication	ACTB	0.8820674	1.07
hsa01430	Cell Communication	GJA7	0.8926045	1.03
hsa01430	Cell Communication	COL4A2	0.9550761	0.995
hsa01430	Cell Communication	GJA12	0.9613515	1.012
hsa01430	Cell Communication	COL4A1	0.963275	0.996
hsa01430	Cell Communication	ITGA6	0.9712541	0.991
hsa01430	Cell Communication	KRT33A	0.9989834	1
hsa01430	Cell Communication	GJA10	0.9996983	1
hsa04010	MAPK signaling pathway	CACNA1B	0.0000602	0.318
hsa04010	MAPK signaling pathway	CACNG6	0.0004889	0.402
hsa04010	MAPK signaling pathway	CACNG5	0.0014058	0.431
hsa04010	MAPK signaling pathway	DUSP16	0.0026759	0.467
hsa04010	MAPK signaling pathway	RAC2	0.0032095	0.64
hsa04010	MAPK signaling pathway	MAP3K7	0.0039233	1.507
hsa04010	MAPK signaling pathway	RAC1	0.0056371	1.879
hsa04010	MAPK signaling pathway	FGFR3	0.0057813	0.431
hsa04010	MAPK signaling pathway	DUSP5	0.0071283	0.499
hsa04010	MAPK signaling pathway	MAP3K7IP1	0.0071514	0.516
hsa04010	MAPK signaling pathway	EGF	0.0076686	0.607
hsa04010	MAPK signaling pathway	MAP4K4	0.0092339	1.654
hsa04010	MAPK signaling pathway	MAP3K13	0.0093273	0.438
hsa04010	MAPK signaling pathway	RASGRF1	0.0099268	0.638
hsa04010	MAPK signaling pathway	NLK	0.0112221	0.57
hsa04010	MAPK signaling pathway	MAPK13	0.0113298	0.613
hsa04010	MAPK signaling pathway	CACNA1C	0.0137484	0.32
hsa04010	MAPK signaling pathway	STMN1	0.013997	1.538
hsa04010	MAPK signaling pathway	RASGRP1	0.0140878	0.695
hsa04010	MAPK signaling pathway	MAPK10	0.0195041	0.641
hsa04010	MAPK signaling pathway	MRAS	0.0200077	0.605
hsa04010	MAPK signaling pathway	ATF2	0.0234988	1.459
hsa04010	MAPK signaling pathway	FGF21	0.0258882	0.647
hsa04010	MAPK signaling pathway	IKBKE	0.0262969	0.565
hsa04010	MAPK signaling pathway	FGF1	0.0265506	1.394
hsa04010	MAPK signaling pathway	FGFR1	0.0273119	1.366
hsa04010	MAPK signaling pathway	GNA12	0.0283683	1.401
hsa04010	MAPK signaling pathway	RRAS2	0.0290342	1.248
hsa04010	MAPK signaling pathway	DDIT3	0.0312717	1.286
hsa04010	MAPK signaling pathway	MKNK2	0.0341678	0.619
hsa04010	MAPK signaling pathway	CASP6	0.0345928	1.4
hsa04010	MAPK signaling pathway	FGF20	0.0372067	0.745
hsa04010	MAPK signaling pathway	PPP3CC	0.0386457	0.551
hsa04010	MAPK signaling pathway	RASA2	0.0400124	1.342
hsa04010	MAPK signaling pathway	CACNA2D1	0.0402946	0.623
hsa04010	MAPK signaling pathway	TGFB2	0.0463852	1.318
hsa04010	MAPK signaling pathway	CACNA1S	0.0483226	0.625
hsa04010	MAPK signaling pathway	DUSP4	0.0511134	0.751
hsa04010	MAPK signaling pathway	FGF13	0.0528225	0.582
hsa04010	MAPK signaling pathway	PRKACB	0.0559549	0.649
hsa04010	MAPK signaling pathway	HRAS	0.0580522	1.443
hsa04010	MAPK signaling pathway	NTRK1	0.0587647	0.662
hsa04010	MAPK signaling pathway	MAPK8	0.059392	1.327
hsa04010	MAPK signaling pathway	CACNB1	0.0614198	0.757
hsa04010	MAPK signaling pathway	MAPK8IP3	0.0648191	0.596
hsa04010	MAPK signaling pathway	RPS6KA1	0.0649474	0.687
hsa04010	MAPK signaling pathway	KRAS	0.0713768	1.402
hsa04010	MAPK signaling pathway	JUND	0.0777117	1.31
hsa04010	MAPK signaling pathway	FGF19	0.0778302	0.78
hsa04010	MAPK signaling pathway	NF1	0.0819569	0.743
hsa04010	MAPK signaling pathway	MAP2K5	0.0913163	0.636
hsa04010	MAPK signaling pathway	RASA1	0.095634	1.284
hsa04010	MAPK signaling pathway	MAP4K3	0.0975602	1.311
hsa04010	MAPK signaling pathway	PDGFRA	0.0980182	1.162
hsa04010	MAPK signaling pathway	MOS	0.0998467	1.212
hsa04010	MAPK signaling pathway	FGF18	0.1045337	1.187
hsa04010	MAPK signaling pathway	MYC	0.1091658	0.859
hsa04010	MAPK signaling pathway	TGFB1	0.1118066	0.772
hsa04010	MAPK signaling pathway	MINK1	0.1120639	0.584
hsa04010	MAPK signaling pathway	TGFBR2	0.1127613	0.604
hsa04010	MAPK signaling pathway	FGF7	0.1155744	0.562
hsa04010	MAPK signaling pathway	PRKACA	0.1184354	0.8
hsa04010	MAPK signaling pathway	TGFB3	0.1219262	1.297
hsa04010	MAPK signaling pathway	PDGFB	0.1280621	0.711
hsa04010	MAPK signaling pathway	PTPN7	0.1285541	0.65
hsa04010	MAPK signaling pathway	RASGRP2	0.1325207	0.84
hsa04010	MAPK signaling pathway	NFKB1	0.1345849	0.563
hsa04010	MAPK signaling pathway	MAP3K2	0.1436017	1.289
hsa04010	MAPK signaling pathway	IKBKB	0.1454419	0.754
hsa04010	MAPK signaling pathway	RPS6KA4	0.146373	0.686
hsa04010	MAPK signaling pathway	FAS	0.14745	0.712
hsa04010	MAPK signaling pathway	CACNA2D2	0.1490877	1.181
hsa04010	MAPK signaling pathway	MAPK7	0.1498622	0.742
hsa04010	MAPK signaling pathway	FGFR2	0.1517296	1.18
hsa04010	MAPK signaling pathway	ACVR1B	0.1518292	1.325
hsa04010	MAPK signaling pathway	PPP3R1	0.1556647	1.28
hsa04010	MAPK signaling pathway	EVI1	0.1576823	1.251
hsa04010	MAPK signaling pathway	MAP3K5	0.1614586	0.826
hsa04010	MAPK signaling pathway	MAPKAPK3	0.1656006	0.741
hsa04010	MAPK signaling pathway	NTF5	0.1671952	0.741
hsa04010	MAPK signaling pathway	MAP3K12	0.1730693	0.748
hsa04010	MAPK signaling pathway	GADD45A	0.1737701	0.846
hsa04010	MAPK signaling pathway	PLA2G2E	0.1770879	0.746
hsa04010	MAPK signaling pathway	CACNG7	0.1783048	0.774
hsa04010	MAPK signaling pathway	CDC42	0.1805217	1.493
hsa04010	MAPK signaling pathway	CRK	0.184572	0.7
hsa04010	MAPK signaling pathway	DUSP10	0.1941935	0.801
hsa04010	MAPK signaling pathway	DUSP14	0.1948547	1.265
hsa04010	MAPK signaling pathway	MAP3K8	0.1961429	0.871
hsa04010	MAPK signaling pathway	MAP2K6	0.1963366	1.397
hsa04010	MAPK signaling pathway	PRKCA	0.1964316	0.779
hsa04010	MAPK signaling pathway	MAP3K10	0.1971189	0.876
hsa04010	MAPK signaling pathway	MAPK8IP1	0.2022239	0.747
hsa04010	MAPK signaling pathway	FGF22	0.2117491	0.817
hsa04010	MAPK signaling pathway	PRKCG	0.2121237	0.689
hsa04010	MAPK signaling pathway	TRAF6	0.2206983	1.459
hsa04010	MAPK signaling pathway	HSPB2	0.2207046	1.187
hsa04010	MAPK signaling pathway	PLA2G5	0.221068	1.497
hsa04010	MAPK signaling pathway	FLNC	0.2334153	1.255
hsa04010	MAPK signaling pathway	TP53	0.2348326	0.841
hsa04010	MAPK signaling pathway	MAP2K2	0.2388039	0.813
hsa04010	MAPK signaling pathway	PTPN5	0.2392193	0.697
hsa04010	MAPK signaling pathway	TAOK2	0.247805	0.737
hsa04010	MAPK signaling pathway	MAX	0.2623883	0.683
hsa04010	MAPK signaling pathway	FOS	0.2625189	0.925
