Up in Het	Gene Name	Gene Symbol	p53mA	p53mB	p53hetA	p53hetB	Mean Diff
1416228_at	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	Pin1	7.32	7.28	8.77	7.99	-1.08
1416249_at	cDNA sequence BC004012	BC004012	5.45	4.49	6.42	6.19	-1.33
1416290_a_at	proteasome (prosome, macropain) 26S subunit, ATPase, 4	Psmc4	8.24	7.70	9.11	9.76	-1.47
1416291_at	proteasome (prosome, macropain) 26S subunit, ATPase, 4	Psmc4	8.39	8.13	8.99	9.64	-1.06
1416292_at	NA	NA	7.42	7.04	8.42	8.45	-1.21
1416309_at	nucleolar and spindle associated protein 1	Nusap1	4.24	4.31	5.22	6.05	-1.36
1416318_at	serine (or cysteine) proteinase inhibitor, clade B, member 1a	Serpinb1a	5.89	5.70	7.30	8.27	-2.00
1416343_a_at	lysosomal membrane glycoprotein 2	Lamp2	5.72	6.20	8.15	8.04	-2.13
1416358_at	RIKEN cDNA 0610009O03 gene	0610009O03Rik	7.17	6.62	8.14	8.30	-1.33
1416430_at	catalase	Cat	4.04	3.96	5.42	6.25	-1.83
1416461_at	GPI-anchored membrane protein 1	Gpiap1	9.79	9.72	10.51	11.01	-1.00
1416465_a_at	vesicle-associated membrane protein, associated protein A	Vapa	11.38	11.76	12.66	12.58	-1.05
1416506_at	proteasome (prosome, macropain) subunit, alpha type 6	Psma6	9.94	9.88	10.80	11.10	-1.04
1416512_at	nucleotide binding protein 2	Nubp2	8.35	8.35	9.37	9.43	-1.05
1416514_a_at	fascin homolog 1, actin bundling protein (Strongylocentrotus) purpuratus)	Fscn1	9.01	9.75	10.99	10.57	-1.40
1416563_at	cytidine 5-triphosphate synthase	Ctps	9.39	9.35	10.18	11.11	-1.28
1416605_at	nucleolar protein family A, member 2	Nola2	8.49	8.42	9.35	10.06	-1.25
1416606_s_at	nucleolar protein family A, member 2	Nola2	10.23	10.12	11.21	11.88	-1.36
1416629_at	solute carrier family 1 (neutral amino acid transporter), member 5	Slc1a5	7.44	6.44	8.29	8.49	-1.45
1416634_at	RIKEN cDNA 5730536A07 gene	5730536A07Rik	7.19	6.87	8.20	8.84	-1.49
1416705_at	RIKEN cDNA C430010P07 gene	C430010P07Rik	7.15	6.99	8.35	8.76	-1.49
1416875_at	parvin, gamma	Parvg	5.13	4.36	6.33	6.39	-1.62
1416911_a_at	RIKEN cDNA 6330407G11 gene	6330407G11Rik	10.42	11.17	12.12	12.31	-1.42
1416946_a_at	acetyl-Coenzyme A acyltransferase 1	Acaa1	3.60	3.32	4.85	5.13	-1.53
1417064_at	jagunal homolog 1 (Drosophila)	Jagn1	6.76	6.65	7.95	7.57	-1.06
1417070_at	cytochrome P450, family 4, subfamily v, polypeptide 3	Cyp4v3	4.62	4.94	5.89	6.04	-1.19
1417081_a_at	synaptogyrin 2	Syngr2	9.90	9.76	11.19	11.24	-1.38
1417146_at	RIKEN cDNA 2410018C20 gene	2410018C20Rik	7.04	6.69	8.02	7.86	-1.07
1417179_at	tetraspanin 5	Tspan5	5.93	5.90	7.03	7.78	-1.49
1417189_at	proteasome (prosome, macropain) 28 subunit, beta	Psme2	7.62	7.64	8.75	8.93	-1.21
1417222_a_at	RIKEN cDNA 2310075C12 gene	2310075C12Rik	9.25	8.99	10.98	11.23	-1.98
1417296_at	activating transcription factor 1	Atf1	9.53	9.53	10.29	11.05	-1.14
1417308_at	pyruvate kinase, muscle	Pkm2	9.74	9.51	10.82	10.44	-1.01
1417340_at	thioredoxin-like 2	Txnl2	7.44	7.27	8.85	9.51	-1.82
1417354_at	RIKEN cDNA 1810057E01 gene	1810057E01Rik	8.24	8.37	9.43	9.65	-1.24
1417382_at	ectonucleoside triphosphate diphosphohydrolase 5	Entpd5	6.98	6.64	8.00	8.41	-1.39
1417724_at	THO complex 4	Thoc4	6.28	6.63	7.40	8.14	-1.32
1417770_s_at	proteasome (prosome, macropain) 26S subunit, ATPase, 6	Psmc6	7.34	6.82	8.34	8.70	-1.43
1417786_a_at	regulator of G-protein signaling 19	Rgs19	8.63	8.15	9.71	9.72	-1.33
1417815_a_at	NA	NA	12.41	12.50	13.83	13.48	-1.20
1417821_at	DNA segment, Chr 17, human D6S56E 5	D17H6S56E-5	6.24	5.83	7.31	7.22	-1.23
1417854_at	mitogen activated protein kinase kinase 5	Map2k5	7.79	7.54	8.69	9.07	-1.22
1417900_a_at	very low density lipoprotein receptor	Vldlr	7.42	6.53	9.24	9.73	-2.51
1417976_at	adenosine deaminase	Ada	6.27	5.75	7.13	7.29	-1.20
1418022_at	NMDA receptor-regulated gene 1	Narg1	6.57	6.64	8.03	8.29	-1.55
1418070_at	chromodomain protein, Y chromosome-like	Cdyl	3.97	3.61	4.62	5.12	-1.08
1418099_at	tumor necrosis factor receptor superfamily, member 1b	Tnfrsf1b	7.35	7.65	8.52	8.72	-1.12
1418261_at	spleen tyrosine kinase	Syk	5.94	4.69	7.96	7.27	-2.30
1418262_at	spleen tyrosine kinase	Syk	6.09	5.76	7.40	6.75	-1.15
1418345_at	tumor necrosis factor (ligand) superfamily, member 13	Tnfsf13	5.35	5.45	6.31	6.93	-1.22
1418365_at	cathepsin H	Ctsh	9.63	9.38	10.58	10.63	-1.10
1418462_at	exosome component 9	Exosc9	5.44	5.48	8.07	8.91	-3.03
1418577_at	tripartite motif protein 8	Trim8	6.79	6.73	8.40	8.79	-1.83
1418616_at	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)	Mafk	6.75	7.16	8.33	8.54	-1.48
1418629_a_at	NA	NA	10.42	10.61	11.45	11.63	-1.03
1418643_at	tetraspanin 13	Tspan13	10.95	10.95	12.44	12.92	-1.73
1418698_a_at	ferrochelatase	Fech	5.93	6.70	7.47	8.40	-1.62
1418896_a_at	ribophorin II	Rpn2	7.87	8.37	9.01	9.38	-1.08
1418967_a_at	Suppression of tumorigenicity 7	St7	7.33	7.43	8.83	8.33	-1.20
1419087_s_at	splicing factor 3a, subunit 1	Sf3a1	5.09	5.53	6.33	6.56	-1.13
1419101_at	transcriptional regulator, SIN3A (yeast)	Sin3a	4.58	4.35	6.39	6.37	-1.92
1419120_at	lymphoblastomic leukemia	Lyl1	6.76	6.59	8.41	7.78	-1.42
1419209_at	chemokine (C-X-C motif) ligand 1	Cxcl1	4.86	5.27	6.63	6.09	-1.30
1419386_at	lymphocyte antigen 64	Ly64	7.65	7.00	9.20	9.65	-2.10
1419401_at	ankyrin repeat and SOCS box-containing protein 13	Asb13	6.99	6.87	8.50	7.96	-1.30
1419452_at	ubiquitin carboxyl-terminal esterase L5	Uchl5	8.95	9.08	9.82	10.44	-1.11
1419548_at	karyopherin (importin) alpha 1	Kpna1	5.16	5.38	6.37	6.79	-1.31
1419595_a_at	gamma-glutamyl hydrolase	Ggh	7.59	8.17	8.82	8.96	-1.01
1419810_x_at	Rho GTPase activating protein 9	Arhgap9	7.76	7.14	9.27	8.62	-1.50
1419911_at	coronin, actin binding protein 1C	Coro1c	4.20	4.17	5.04	6.09	-1.38
1419975_at	sterol carrier protein 2, liver	Scp2	4.17	5.50	6.60	7.49	-2.21
1420132_s_at	pituitary tumor-transforming 1 interacting protein	Pttg1ip	5.97	6.22	6.96	7.81	-1.29
1420159_at	NA	NA	3.37	3.13	4.75	5.13	-1.69
1420175_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	Tax1bp1	5.33	6.08	7.21	8.40	-2.09
1420515_a_at	peptidoglycan recognition protein 2	Pglyrp2	7.72	7.72	9.13	8.58	-1.14
1420634_a_at	MAD homolog 2 (Drosophila)	Smad2	7.10	7.80	8.50	8.60	-1.10
1420647_a_at	keratin complex 2, basic, gene 8	Krt2-8	2.45	2.79	4.26	3.63	-1.32
1420772_a_at	TSC22 domain family 3	Tsc22d3	4.36	4.71	5.55	5.68	-1.08
1420809_a_at	RIKEN cDNA 1500003O03 gene	1500003O03Rik	11.14	11.35	12.25	12.30	-1.03
1420821_at	sphingosine-1-phosphate phosphatase 1	Sgpp1	5.01	4.69	5.85	6.76	-1.46
1420828_s_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	Ywhaq	8.62	9.11	10.56	10.65	-1.74
1420834_at	vesicle-associated membrane protein 2	Vamp2	7.29	7.26	9.02	8.24	-1.35
1420897_at	synaptosomal-associated protein 23	Snap23	7.58	8.39	9.38	9.82	-1.62
1421098_at	expressed sequence AI586015	AI586015	6.03	5.14	7.55	7.60	-1.99
1421217_a_at	lectin, galactose binding, soluble 9	Lgals9	5.68	5.69	7.50	7.27	-1.70
1421654_a_at	lamin A	Lmna	5.60	5.12	6.80	6.46	-1.28
1421811_at	thrombospondin 1	Thbs1	7.76	6.91	9.76	9.45	-2.27
1421830_at	NA	NA	5.55	5.20	6.68	6.63	-1.28
1421853_at	presenilin 1	Psen1	9.32	9.33	10.32	10.71	-1.19
1421854_at	fibrinogen-like protein 2	Fgl2	4.18	4.26	5.13	5.57	-1.13
1421872_at	RAB24, member RAS oncogene family	Rab24	8.35	8.53	9.66	9.80	-1.29
1422103_a_at	signal transducer and activator of transcription 5B	Stat5b	7.38	6.70	8.57	8.83	-1.65
1422414_a_at	calmodulin 2	Calm2	9.10	9.13	9.81	10.50	-1.04
1422439_a_at	cyclin-dependent kinase 4	Cdk4	9.25	9.18	10.16	10.60	-1.16
1422477_at	Cdk5 and Abl enzyme substrate 1	Cables1	7.69	7.28	8.71	9.11	-1.43
1422615_at	mitogen-activated protein kinase kinase kinase kinase 4	Map4k4	6.24	5.79	7.77	7.65	-1.70
1422692_at	RNA polymerase II transcriptional coactivator	Rpo2tc1	4.05	2.97	5.26	6.66	-2.45
1422732_at	polymerase (DNA-directed), delta interacting protein 2	Poldip2	7.90	7.24	9.08	8.48	-1.21
1422932_a_at	vav 1 oncogene	Vav1	6.69	7.23	8.45	8.03	-1.28
1423039_a_at	basic leucine zipper and W2 domains 1	Bzw1	7.00	7.02	8.08	8.46	-1.26
1423052_at	ADP-ribosylation factor 4	Arf4	9.62	10.02	11.27	11.52	-1.57
1423086_at	Niemann Pick type C1	Npc1	7.17	6.51	8.03	7.92	-1.14
1423142_a_at	GTP binding protein 4	Gtpbp4	8.12	9.14	10.49	11.39	-2.31
1423299_at	thioredoxin-like 1	Txnl1	9.16	9.33	10.46	10.23	-1.10
1423313_at	phosphodiesterase 7A	Pde7a	4.04	4.57	5.23	5.78	-1.20
1423389_at	MAD homolog 7 (Drosophila)	Smad7	8.61	8.94	9.88	9.88	-1.10
1423615_at	zinc finger protein 364	Zfp364	7.69	7.78	8.51	9.06	-1.05
1423656_x_at	RIKEN cDNA 1500010J02 gene	1500010J02Rik	5.18	5.33	7.36	6.61	-1.73
1423747_a_at	pyruvate dehydrogenase kinase, isoenzyme 1	Pdk1	9.39	9.92	11.04	10.97	-1.35
1423789_at	cDNA sequence BC005624	BC005624	6.03	6.26	7.25	7.34	-1.14
1423819_s_at	ADP-ribosylation factor-like 6 interacting protein 1	Arl6ip1	8.45	9.22	9.97	10.17	-1.23
1423821_at	RIKEN cDNA 8430437G11 gene	8430437G11Rik	5.43	4.92	6.39	6.34	-1.19
1423839_a_at	basic transcription factor 3	Btf3	10.44	10.69	11.96	12.23	-1.53
1423862_at	pleckstrin homology domain containing, family F (with FYVE domain) member 2	Plekhf2	4.73	5.01	5.99	7.19	-1.72
1423916_s_at	myeloid leukemia factor 2	Mlf2	2.50	3.99	6.34	5.58	-2.71
1423972_at	electron transferring flavoprotein, alpha polypeptide	Etfa	8.10	8.44	9.09	9.49	-1.02
1424025_at	cDNA sequence BC013529	BC013529	7.30	7.86	8.67	9.01	-1.26
1424047_at	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	Dera	4.77	4.88	6.22	6.55	-1.56
1424051_at	procollagen, type IV, alpha 2	Col4a2	5.02	4.66	5.91	6.50	-1.37
1424065_at	ER degradation enhancer, mannosidase alpha-like 1	Edem1	6.39	5.71	7.10	7.68	-1.34
1424145_at	proline-rich polypeptide 3	Prr3	4.71	4.59	5.79	6.26	-1.38
1424202_at	SEH1-like (S. cerevisiae	Seh1l	6.76	6.74	7.65	8.02	-1.09
1424216_a_at	poly (A) polymerase alpha	Papola	7.64	6.85	8.59	8.95	-1.53
1424249_a_at	Rho GTPase activating protein 9	Arhgap9	6.04	5.57	6.92	6.81	-1.07
1424345_s_at	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)	Ube2m	5.70	5.64	8.64	8.76	-3.03
1424356_a_at	meteorin, glial cell differentiation regulator-like	Metrnl	5.62	6.33	7.36	8.02	-1.72
1424358_at	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	Ube2e2	7.01	7.63	8.23	8.42	-1.01
1424370_s_at	proteasome (prosome, macropain) inhibitor subunit 1	Psmf1	6.13	6.41	7.51	7.17	-1.08
1424395_at	asparaginase like 1	Asrgl1	6.44	6.63	7.68	8.23	-1.42
1424410_at	tetratricopeptide repeat domain 8	Ttc8	3.90	4.33	5.68	5.27	-1.35
1424420_at	cell cycle progression 1	Ccpg1	7.82	7.80	9.09	8.86	-1.17
1424425_a_at	methylthioadenosine phosphorylase	Mtap	9.23	8.52	9.94	10.50	-1.35
1424426_at	methylthioadenosine phosphorylase	Mtap	7.02	6.49	8.34	9.57	-2.20
1424443_at	transmembrane 6 superfamily member 1	Tm6sf1	6.11	4.98	7.58	6.95	-1.72
1424495_a_at	chemokine-like factor	Cklf	6.75	6.54	7.65	7.64	-1.00
1424560_at	proline-serine-threonine phosphatase-interacting protein 1	Pstpip1	6.67	6.66	8.05	7.71	-1.22
1424573_at	transmembrane emp24 protein transport domain containing 5	Tmed5	10.10	10.07	11.68	11.96	-1.74
1424591_at	RIKEN cDNA 5830433M19 gene	5830433M19Rik	6.45	6.95	8.00	7.62	-1.11
1424620_at	DNA segment, Chr 13, Wayne State University 177, expressed	D13Wsu177e	5.92	5.63	7.45	8.14	-2.02
1424677_at	cytochrome P450, family 2, subfamily j, polypeptide 9	Cyp2j9	5.07	4.78	6.21	5.70	-1.03
1424720_at	mannoside acetylglucosaminyltransferase 4, isoenzyme B	Mgat4b	6.07	6.00	7.53	6.89	-1.17
1424732_s_at	RIKEN cDNA 3110005G23 gene	3110005G23Rik	3.44	3.54	4.59	4.47	-1.04
1424733_at	purinergic receptor P2Y, G-protein coupled, 14	P2ry14	6.33	4.98	7.38	8.24	-2.16
1424743_at	RIKEN cDNA 2610003J06 gene	2610003J06Rik	6.60	6.31	7.26	7.77	-1.07
1424748_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11	Galnt11	6.91	6.98	8.21	8.17	-1.25
1424783_a_at	UDP glycosyltransferase 1 family, polypeptide A6	Ugt1a6	5.38	5.07	7.91	7.23	-2.34
1424820_a_at	Nedd4 family interacting protein 1	Ndfip1	10.09	10.11	10.87	11.56	-1.11
1424821_at	Nedd4 family interacting protein 1	Ndfip1	11.13	11.24	12.19	12.47	-1.15
1424824_at	RIKEN cDNA 9630044O09 gene	9630044O09Rik	7.06	6.73	8.71	9.12	-2.02
1424991_s_at	thymidylate synthase	Tyms	5.73	4.42	6.99	7.99	-2.42
1425019_at	UBX domain containing 4	Ubxd4	7.67	7.84	10.07	9.57	-2.06
1425030_at	zinc finger protein 622	Zfp622	6.51	6.47	7.69	7.80	-1.25
1425481_at	CCR4-NOT transcription complex, subunit 6-like	Cnot6l	7.26	7.26	8.24	8.76	-1.24
1425498_at	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	Prpf4b	8.58	8.33	9.39	9.99	-1.23
1425529_s_at	DNA segment, Chr 19, Wayne State University 162, expressed	D19Wsu162e	8.59	8.50	9.91	9.75	-1.28
1425537_at	protein phosphatase 1A, magnesium dependent, alpha isoform	Ppm1a	9.11	8.61	9.79	10.00	-1.03
1425665_a_at	RIKEN cDNA 1700047I17 gene	1700047I17Rik	9.63	9.63	10.52	10.89	-1.07
1425699_a_at	abhydrolase domain containing 14A	Abhd14a	6.00	5.77	6.63	7.51	-1.18
1426247_at	FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)	Farp1	7.01	7.04	8.25	8.17	-1.19
1426260_a_at	UDP glycosyltransferase 1 family, polypeptide A6	Ugt1a6	6.73	6.38	8.39	8.10	-1.69
1426343_at	RIKEN cDNA 1300006C19 gene	1300006C19Rik	6.77	7.13	7.73	8.20	-1.01
1426349_s_at	thymopoietin	Tmpo	7.74	7.52	8.62	8.67	-1.01
1426392_a_at	ARP3 actin-related protein 3 homolog (yeast)	Actr3	10.74	10.70	11.82	11.79	-1.08
1426411_a_at	spermatid perinuclear RNA binding protein	Strbp	3.37	4.01	4.98	4.49	-1.05
1426439_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Ddx3y	10.78	10.56	11.68	12.13	-1.24
1426454_at	Rho, GDP dissociation inhibitor (GDI) beta	Arhgdib	7.46	7.88	8.98	9.17	-1.41
1426611_at	proteasome (prosome, macropain) 26S subunit, ATPase 2	Psmc2	10.06	9.90	10.66	11.37	-1.03
1426643_at	elongation protein 3 homolog (S. cerevisiae)	Elp3	7.23	7.72	8.95	9.28	-1.64
1426646_at	RIKEN cDNA 9130011J15 gene	9130011J15Rik	5.95	6.93	8.50	8.07	-1.85
1426654_at	zinc finger, C3HC type 1	Zc3hc1	6.65	7.01	7.87	7.83	-1.02
1426657_s_at	3-phosphoglycerate dehydrogenase	Phgdh	7.61	7.20	9.04	9.34	-1.79
1426658_x_at	3-phosphoglycerate dehydrogenase	Phgdh	7.62	7.59	8.87	8.90	-1.28
1426680_at	selenoprotein N, 1	Sepn1	6.85	7.00	8.48	7.95	-1.29
1426681_at	zinc finger CCCH type domain containing 5	Zc3hdc5	3.85	4.34	5.14	5.68	-1.32
1426708_at	anthrax toxin receptor 2	Antxr2	6.81	6.28	8.66	8.69	-2.13
1426709_a_at	ubiquitin specific protease 33	Usp33	8.38	7.90	9.56	10.01	-1.64
1426734_at	cDNA sequence BC022623	BC022623	6.96	7.58	8.69	8.82	-1.49
1426774_at	zinc finger CCCH type domain containing 1	Zc3hdc1	7.39	7.77	8.81	9.06	-1.35
1426939_at	RIKEN cDNA 2310007F12 gene	2310007F12Rik	7.29	7.42	8.18	8.65	-1.06
1426972_at	SEC24 related gene family, member D (S. cerevisiae)	Sec24d	3.24	3.50	4.38	4.57	-1.11
1426998_at	testis expressed gene 27	Tex27	6.29	6.20	7.29	7.23	-1.01
1427049_s_at	smoothened homolog (Drosophila)	Smo	7.34	7.10	8.24	8.71	-1.25
1427075_s_at	RIKEN cDNA 5330414D10 gene	5330414D10Rik	9.73	9.72	10.78	11.08	-1.21
1427094_at	polymerase (DNA directed), epsilon 2 (p59 subunit)	Pole2	5.16	4.19	5.89	6.33	-1.43
1427129_a_at	heterogeneous nuclear ribonucleoprotein R	Hnrpr	10.95	11.29	12.18	12.74	-1.34
1427151_at	RIKEN cDNA 4732486I23 gene	4732486I23Rik	8.34	7.98	9.44	9.40	-1.26
1427188_at	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)	Arih1	6.92	7.16	8.07	8.76	-1.38
1427274_at	RIKEN cDNA D130054N24 gene	D130054N24Rik	3.97	4.02	5.00	5.22	-1.12
1427515_at	RIKEN cDNA A530088I07 gene	A530088I07Rik	5.05	5.14	6.11	6.42	-1.17
1427773_a_at	Rab acceptor 1 (prenylated)	Rabac1	6.57	7.29	8.83	8.60	-1.78
1427969_s_at	zinc finger protein 654	Zfp654	6.19	6.29	7.44	7.13	-1.04
1428145_at	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	Acaa2	6.75	6.28	8.05	7.48	-1.25
1428224_at	heterogeneous nuclear ribonucleoprotein D-like	Hnrpdl	5.97	7.20	8.30	9.26	-2.19
1428575_at	FCH domain only 1	Fcho1	5.69	5.57	7.25	6.97	-1.48
1429710_at	phosphoserine/threonine/tyrosine interaction protein	Styx	7.99	7.98	9.01	9.69	-1.36
1429776_a_at	DnaJ (Hsp40) homolog, subfamily B, member 6	Dnajb6	4.79	4.50	5.78	5.52	-1.00
1429839_a_at	YY1 associated factor 2	Yaf2	10.60	10.58	11.88	11.44	-1.07
1431900_a_at	forkhead box A3	Foxa3	5.59	5.51	7.59	6.93	-1.71
1431939_a_at	myc induced nuclear antigen	Mina	6.48	5.85	7.18	7.92	-1.39
1432052_at	exosome component 1	Exosc1	3.08	2.94	4.10	5.12	-1.60
1432176_a_at	endoglin	Eng	6.95	6.63	8.55	7.89	-1.43
1433512_at	Friend leukemia integration 1	Fli1	6.26	6.05	7.36	7.91	-1.48
1433534_a_at	chaperonin subunit 2 (beta)	Cct2	11.71	11.65	13.15	13.32	-1.55
1433604_x_at	aldolase 1, A isoform	Aldoa	10.47	10.60	11.76	11.71	-1.20
1433804_at	Janus kinase 1	Jak1	3.57	4.54	5.43	5.30	-1.31
1433903_at	mirror-image polydactyly gene 1 homolog (human)	Mipol1	6.89	7.27	8.37	9.46	-1.84
1433916_at	vesicle-associated membrane protein 3	Vamp3	9.40	9.65	11.31	11.82	-2.04
1434108_at	F-box protein 11	Fbxo11	8.56	8.32	9.41	9.50	-1.02
1434540_a_at	clathrin, light polypeptide (Lca)	Clta	8.47	8.41	9.85	9.82	-1.40
1434554_at	tripartite motif protein 37	Trim37	4.47	4.36	5.27	5.98	-1.21
1434589_x_at	surfeit gene 4	Surf4	7.30	7.58	9.36	8.72	-1.60
1434624_x_at	ribosomal protein S9	Rps9	8.46	11.00	14.03	13.49	-4.03
1434883_at	Metadherin	Mtdh	6.41	6.57	8.22	8.06	-1.65
1434940_x_at	regulator of G-protein signaling 19	Rgs19	9.85	9.32	10.99	10.71	-1.27
1434958_at	NA	NA	7.55	7.13	8.14	8.62	-1.05
1434987_at	aldehyde dehydrogenase 2, mitochondrial	Aldh2	2.37	3.50	5.89	5.25	-2.63
1434988_x_at	aldehyde dehydrogenase 2, mitochondrial	Aldh2	3.95	4.36	6.73	6.59	-2.51
1435015_at	RIKEN cDNA 2210018M03 gene	2210018M03Rik	4.47	4.45	6.70	5.85	-1.81
1435235_at	thioredoxin-like 1	Txnl1	6.95	7.06	7.76	8.64	-1.19
1435335_a_at	NA	MGC79224	7.49	7.47	8.48	8.72	-1.12
1435702_s_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	Ywhae	8.90	9.62	10.67	10.94	-1.54
1435884_at	intersectin 1 (SH3 domain protein 1A)	Itsn1	8.67	8.17	9.77	10.08	-1.51
1435896_at	sideroflexin 2	Sfxn2	5.94	5.64	7.45	6.99	-1.43
1436298_x_at	Rho GTPase activating protein 12	Arhgap12	11.39	11.23	13.10	13.59	-2.03
1436750_a_at	3-oxoacid CoA transferase 1	Oxct1	9.11	8.59	10.49	10.14	-1.47
1436762_x_at	elongation protein 3 homolog (S. cerevisiae)	Elp3	6.85	6.89	8.75	8.49	-1.75
1436797_a_at	surfeit gene 4	Surf4	6.28	5.64	7.12	7.52	-1.36
1436846_x_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	Ywhaq	10.75	10.84	11.80	11.94	-1.07
1436851_at	protein kinase N1	Pkn1	7.11	6.45	8.09	7.62	-1.07
1436915_x_at	lysosomal-associated protein transmembrane 4B	Laptm4b	9.54	9.77	10.87	11.67	-1.62
1436981_a_at	NA	NA	7.44	7.73	9.83	9.34	-2.00
1437074_at	sorting nexin 5	Snx5	7.81	8.32	8.90	9.41	-1.09
1437099_x_at	heterogeneous nuclear ribonucleoprotein F	Hnrpf	11.60	12.28	13.08	12.87	-1.04
1437163_x_at	general transcription factor II H, polypeptide 4	Gtf2h4	6.53	5.85	7.42	7.77	-1.41
1437262_x_at	breast carcinoma amplified sequence 2	Bcas2	4.80	4.88	6.29	6.30	-1.46
1437279_x_at	syndecan 1	Sdc1	4.28	3.77	5.74	6.03	-1.86
1437313_x_at	high mobility group box 2	Hmgb2	8.32	8.48	9.68	9.64	-1.26
1437334_x_at	poly(A)-specific ribonuclease (deadenylation nuclease)	Parn	6.37	6.82	7.72	8.24	-1.39
1437378_x_at	scavenger receptor class B, member 1	Scarb1	6.04	4.77	7.66	7.49	-2.17
1437389_x_at	KH domain containing, RNA binding, signal transduction associated 1	Khdrbs1	9.33	9.65	10.52	11.15	-1.34
1437489_x_at	succinate dehydrogenase complex, subunit D, integral membrane protein	Sdhd	5.49	6.04	7.16	6.53	-1.08
1437526_x_at	heterogeneous nuclear ribonucleoprotein R	Hnrpr	10.69	10.38	11.81	12.02	-1.38
1437585_x_at	zinc finger protein 161	Zfp161	7.75	7.19	8.30	8.92	-1.14
1437621_x_at	3-phosphoglycerate dehydrogenase	Phgdh	10.32	9.57	11.24	10.88	-1.11
1437767_s_at	retinoblastoma-like 2	Rbl2	5.43	5.54	6.28	7.26	-1.28
1437850_a_at	cellular nucleic acid binding protein 1	Cnbp1	12.08	12.29	13.43	13.64	-1.35
1437859_x_at	eukaryotic translation initiation factor 5A	Eif5a	9.82	9.87	11.21	11.31	-1.42
1438092_x_at	NA	NA	12.18	12.21	13.39	13.15	-1.07
1438171_x_at	RIKEN cDNA 0610012D09 gene	0610012D09Rik	9.79	10.01	11.00	11.46	-1.33
1438398_at	RNA-binding region (RNP1, RRM) containing 2	Rnpc2	11.13	11.81	12.38	12.59	-1.02
1438504_x_at	NA	NA	4.22	4.75	5.82	5.23	-1.04
1438506_s_at	trans-prenyltransferase	Tprt	8.25	8.37	9.32	9.30	-1.00
1438511_a_at	RIKEN cDNA 1190002H23 gene	1190002H23Rik	10.44	10.92	12.20	11.48	-1.16
1438659_x_at	coiled-coil-helix-coiled-coil-helix domain containing 6	Chchd6	7.21	7.29	8.61	8.57	-1.34
