Symbol	Description
MGC14376	hypothetical protein mgc14376
MGLL	monoglyceride lipase
MITF	microphthalmia-associated transcription factor
MLX	max-like protein x
MMRN2	multimerin 2
MOCS1	molybdenum cofactor synthesis 1
MOSC1	moco sulphurase c-terminal domain containing 1
MT1E	metallothionein 1e (functional)
MT1F	metallothionein 1f (functional)
MT1G	metallothionein 1g
MT1X	metallothionein 1x
MT2A	metallothionein 2a
MTA2	metastasis associated 1 family, member 2
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
MYL9	myosin, light polypeptide 9, regulatory
MYO1C	myosin ic
MYOC	myocilin, trabecular meshwork inducible glucocorticoid response
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in b-cells inhibitor, alpha
NIPSNAP3B	nipsnap homolog 3b (c. elegans)
NMT2	n-myristoyltransferase 2
NNMT	nicotinamide n-methyltransferase
NP	nucleoside phosphorylase
NP	ortholog of mouse neuropoietin (pseudogene in humans)
NPY1R	neuropeptide y receptor y1
NPY5R	neuropeptide y receptor y5
NQO1	nad(p)h dehydrogenase, quinone 1
NR4A1	nuclear receptor subfamily 4, group a, member 1
NR4A3	nuclear receptor subfamily 4, group a, member 3
OSBPL1A	oxysterol-binding protein-related protein 1
PALM2	a kinase (prka) anchor protein 2
PARVA	parvin, alpha
PCBP1	poly(rc) binding protein 1
PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)
PCYOX1	prenylcysteine oxidase 1
PDE2A	phosphodiesterase 2a, cgmp-stimulated
PDE8B	phosphodiesterase 8b
PDXK	pyridoxal (pyridoxine, vitamin b6) kinase
PDZD2	pdz domain containing 2
PER1	period homolog 1 (drosophila)
PEX5	peroxisomal biogenesis factor 5
PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
PGA3	pepsinogen 3, group i (pepsinogen a)
PHLDA3	pleckstrin homology-like domain, family a, member 3
PIGP	phosphatidylinositol glycan, class p
PISD	phosphatidylserine decarboxylase
PLEKHC1	pleckstrin homology domain containing, family c (with ferm domain) member 1
PNPLA2	patatin-like phospholipase domain containing 2
POLR2L	polymerase (rna) ii (dna directed) polypeptide l, 7.6kda
PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15a
PPP2R5A	protein phosphatase 2, regulatory subunit b (b56), alpha isoform
PQLC1	pq loop repeat containing 1
PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)
PTENP1	phosphatase and tensin homolog (mutated in multiple advanced cancers 1), pseudogene 1
PTRF	polymerase i and transcript release factor
QDPR	quinoid dihydropteridine reductase
RAI2	retinoic acid induced 2
RASIP1	ras interacting protein 1
RBPMS	rna binding protein with multiple splicing
RGC32	response gene to complement 32
RHOB	ras homolog gene family, member b
RHOQ	ras homolog gene family, member q
RNF10	ring finger protein 10
RNF130	ring finger protein 130
RRAS	related ras viral (r-ras) oncogene homolog
RTN4	reticulon 4
S100A1	s100 calcium binding protein a1
S100A12	s100 calcium binding protein a12 (calgranulin c)
S100A8	s100 calcium binding protein a8 (calgranulin a)
S100A9	s100 calcium binding protein a9 (calgranulin b)
S100B	s100 calcium binding protein, beta (neural)
SAA2	serum amyloid a2
SELE	selectin e (endothelial adhesion molecule 1)
SELP	selectin p (granule membrane protein 140kda, antigen cd62)
SERINC1	serine incorporator 1
SKIP	sphk1 (sphingosine kinase type 1) interacting protein
SKIP	skeletal muscle and kidney enriched inositol phosphatase
SLC16A7	solute carrier family 16 (monocarboxylic acid transporters), member 7
SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system xag), member 1
SLC27A2	fatty-acid-coenzyme a ligase, very long-chain 1
SLC29A1	solute carrier family 29 (nucleoside transporters), member 1
SLC31A2	solute carrier family 31 (copper transporters), member 2
SLCO4A1	solute carrier organic anion transporter family, member 4a1
SNCG	synuclein, gamma (breast cancer-specific protein 1)
SNF1LK2	snf1-like kinase 2
SNN	stannin
SOCS2	suppressor of cytokine signaling 2
SORBS1	sorbin and sh3 domain containing 1
SOX17	sry (sex determining region y)-box 17
SPR	sepiapterin reductase (7,8-dihydrobiopterin:nadp+ oxidoreductase)
SPTBN1	spectrin, beta, non-erythrocytic 1
SQRDL	sulfide quinone reductase-like (yeast)
STAT5B	signal transducer and activator of transcription 5b
STEAP4	steap family member 4
STS	steroid sulfatase (microsomal), arylsulfatase c, isozyme s
STX11	syntaxin 11
SUCLG1	succinate-coa ligase, gdp-forming, alpha subunit
SWAP70	swap-70 protein
TACC1	transforming, acidic coiled-coil containing protein 1
TAGLN	transgelin
TALDO1	transaldolase 1
TANK	traf family member-associated nfkb activator
TEGT	testis enhanced gene transcript (bax inhibitor 1)
TENC1	tensin like c1 domain containing phosphatase (tensin 2)
TESK1	testis-specific kinase 1
TIMP3	timp metallopeptidase inhibitor 3 (sorsby fundus dystrophy, pseudoinflammatory)
TJP2	tight junction protein 2 (zona occludens 2)
TK2	thymidine kinase 2, mitochondrial
TKT	transketolase (wernicke-korsakoff syndrome)
TLOC1	translocation protein 1
TMBIM1	transmembrane bax inhibitor motif containing 1
TMEM111	transmembrane protein 111
TMEM22	transmembrane protein 22
TNIP1	tnfaip3 interacting protein 1
TNS1	tensin 1
TRIB1	tribbles homolog 1 (drosophila)
TSPAN7	tetraspanin 7
TUBB6	tubulin, beta 6
TXNIP	thioredoxin interacting protein
UGP2	udp-glucose pyrophosphorylase 2
UNC84B	unc-84 homolog b (c. elegans)
UVRAG	uv radiation resistance associated gene
VEGFB	vascular endothelial growth factor b
VTI1B	vesicle transport through interaction with t-snares homolog 1b (yeast)
VWF	von willebrand factor
WISP2	wnt1 inducible signaling pathway protein 2
ZBTB16	zinc finger and btb domain containing 16
ZDHHC3	zinc finger, dhhc-type containing 3
ZFP36	zinc finger protein 36, c3h type, homolog (mouse)
ZNF394	zinc finger protein 394
