ProbeID (Affymetrix)	Fold Change(CLDN1 transfectants/Mock)	Gene Symbol	Common Name	Description	Location	Function	Genbank	UniGene	RefSeq	Pathways	GO biological process	GO molecular function	GO cellular component	Map_
209774_x_at	0.0707	CXCL2	GRO2; GROb; MIP2; MIP2A; SCYB2; MGSA-b; MIP-2a; CINC-2a; MGSA beta	chemokine (C-X-C motif) ligand 2	Extracellular Space	cytokine	M57731	Hs.75765	NM_002089	KEGG pathway: Cytokine-cytokine receptor interaction 04060	GO:7186(G-protein coupled receptor protein signaling pathway); GO:6935(chemotaxis); GO:6954(inflammatory response); GO:7600(sensory perception)	GO:8009(chemokine activity)	GO:5615(extracellular space); GO:5625(soluble fraction)	4q21
223631_s_at	0.072	C19ORF33	IMUP; H2RSP; IMUP-1; IMUP-2; MGC39135; MGC75180	chromosome 19 open reading frame 33	Nucleus	other	AF213678	Hs.348553	NM_033520		GO:4(biological process unknown)	GO:5554(molecular function unknown)	GO:5634(nucleus)	19q13.2
210118_s_at	0.0752	IL1A	IL1; IL-1A; IL1F1; IL1-ALPHA	interleukin 1, alpha	Extracellular Space	cytokine	M15329	Hs.1722	NM_000575	KEGG pathway: Apoptosis 04210; KEGG pathway: Cytokine-cytokine receptor interaction 04060; KEGG pathway: Hematopoietic cell lineage 04640; KEGG pathway: MAPK signaling pathway 04010; KEGG pathway: Type I diabetes mellitus 04940	GO:6916(anti-apoptosis); GO:6915(apoptosis); GO:8283(cell proliferation); GO:7267(cell-cell signaling); GO:6935(chemotaxis); GO:1660(fever); GO:8285(negative regulation of cell proliferation); GO:74(regulation of progression through cell cycle)	GO:5149(interleukin-1 receptor binding); GO:4871(signal transducer activity)	GO:5737(cytoplasm); GO:5615(extracellular space)	2q14
209373_at	0.0766	MALL	BENE; MGC4419	mal, T-cell differentiation protein-like	Plasma Membrane	other	BC003179	Hs.185055	NM_005434		GO:42632(cholesterol homeostasis)	GO:5515(protein binding)	GO:139(Golgi membrane); GO:30136(clathrin-coated vesicle); GO:16023(cytoplasmic membrane-bound vesicle); GO:16021(integral to membrane); GO:45121(lipid raft)	2q13
207351_s_at	0.082	SH2D2A	TSAd; F2771	SH2 domain protein 2A	Cytoplasm	other	NM_003975	Hs.103527	NM_003975		GO:1525(angiogenesis); GO:30154(cell differentiation); GO:7242(intracellular signaling cascade)	GO:5070(SH3/SH2 adaptor activity); GO:5515(protein binding)	GO:5737(cytoplasm); GO:5625(soluble fraction)	1q21
213524_s_at	0.0828	G0S2		G0/G1switch 2	Unknown	other	NM_015714	Hs.432132	NM_015714	Circadian_Exercise ; GenMAPP	GO:74(regulation of progression through cell cycle)	GO:5554(molecular function unknown)	GO:8372(cellular component unknown)	1q32.2-q41
205081_at	0.084	CRIP1	CRHP; CRIP; CRP1	cysteine-rich protein 1 (intestinal)	Cytoplasm	other	NM_001311	Hs.70327	NM_001311		GO:19735(antimicrobial humoral response (sensu Vertebrata)); GO:8283(cell proliferation)	GO:46872(metal ion binding); GO:8270(zinc ion binding)	GO:5737(cytoplasm)	14q32.33
209409_at	0.085	GRB10	RSS; IRBP; MEG1; GRB-IR; KIAA0207	growth factor receptor-bound protein 10	Cytoplasm	other	D86962	Hs.164060	NM_001001549		GO:7267(cell-cell signaling); GO:8286(insulin receptor signaling pathway); GO:7242(intracellular signaling cascade)	GO:5070(SH3/SH2 adaptor activity); GO:5515(protein binding)	GO:5737(cytoplasm); GO:5886(plasma membrane)	7p12-p11.2
208891_at	0.0855	DUSP6	MKP3; PYST1	dual specificity phosphatase 6	Cytoplasm	phosphatase	BC003143	Hs.298654	NM_001946	KEGG pathway: MAPK signaling pathway 04010	GO:188(inactivation of MAPK activity); GO:6470(protein amino acid dephosphorylation); GO:74(regulation of progression through cell cycle)	GO:17017(MAP kinase phosphatase activity); GO:16787(hydrolase activity); GO:4722(protein serine/threonine phosphatase activity); GO:4725(protein tyrosine phosphatase activity)	GO:5737(cytoplasm); GO:5625(soluble fraction)	12q22-q23
214719_at	0.0931	SLC46A3	LOC283537	Hypothetical protein LOC283537	Extracellular Space	other	AK026720	Hs.117167	NM_181785					13q12.3
203234_at	0.0943	UPP1	UP; UPP; UPASE; UDRPASE	uridine phosphorylase 1	Cytoplasm	enzyme	NM_003364	Hs.488240	NM_003364	KEGG pathway: Pyrimidine metabolism 00240; Reactome Event:Nucleotide metabolism 15869	GO:9116(nucleoside metabolism); GO:9166(nucleotide catabolism)	GO:16757(transferase activity, transferring glycosyl groups); GO:4850(uridine phosphorylase activity)	GO:5737(cytoplasm)	7p12.3
228570_at	0.0959	BTBD11	BTBD11	BTB (POZ) domain containing 11	Nucleus	transcription regulator	BF510581	Hs.271272	NM_001017523 ; NM_001018072 ; NM_152322					12q23.3
226490_at	0.0974	NHSL1	NHSL1	NHS-like 1	Unknown	other	AA503387	Hs.486596	XM_496826					6q23.3
217995_at	0.0974	SQRDL (includes EG:58472)	CGI-44	sulfide quinone reductase-like (yeast)	Cytoplasm	enzyme	NM_021199	Hs.511251	NM_021199			GO:16491(oxidoreductase activity)	GO:5739(mitochondrion)	15q15
204236_at	0.101	FLI1	EWSR2; SIC-1	Friend leukemia virus integration 1	Nucleus	transcription regulator	NM_002017	Hs.504281	NM_002017		GO:7599(hemostasis); GO:9887(organ morphogenesis); GO:6355(regulation of transcription, DNA-dependent); GO:6350(transcription)	GO:3700(transcription factor activity)	GO:5634(nucleus)	11q24.1-q24.3
224724_at	0.102	SULF2	HSULF-2; KIAA1247; MGC126411; DKFZp313E091; RP5-1049G16.1	sulfatase 2	Extracellular Space	enzyme	AL133001	Hs.162016	NM_018837		GO:6520(amino acid metabolism); GO:30201(heparan sulfate proteoglycan metabolism); GO:8152(metabolism)	GO:4065(arylsulfatase activity); GO:16831(carboxy-lyase activity); GO:16787(hydrolase activity); GO:8484(sulfuric ester hydrolase activity)	GO:5795(Golgi stack); GO:9986(cell surface); GO:5783(endoplasmic reticulum); GO:5615(extracellular space)	20q12-q13.2
209789_at	0.108	CORO2B	CORO2B	Coronin, actin binding protein, 2B	Unknown	other	BF939649	Hs.24907	NM_006091					15q23
204470_at	0.108	CXCL1	GRO1; GROa; MGSA; NAP-3; SCYB1; MGSA-a; MGSA alpha	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	Extracellular Space	cytokine	NM_001511	Hs.789	NM_001511	KEGG pathway: Cytokine-cytokine receptor interaction 04060	GO:7186(G-protein coupled receptor protein signaling pathway); GO:30036(actin cytoskeleton organization and biogenesis); GO:8283(cell proliferation); GO:6935(chemotaxis); GO:6954(inflammatory response); GO:7242(intracellular signaling cascade); GO:8285(negative regulation of cell proliferation); GO:7399(nervous system development)	GO:8009(chemokine activity); GO:8047(enzyme activator activity); GO:8083(growth factor activity)	GO:5615(extracellular space)	4q21
224940_s_at	0.115	PAPPA		601823976F1 NIH_MGC_79 Homo sapiens cDNA clone IMAGE:4043586 5, mRNA sequence.	Extracellular Space	peptidase	BF107618	Hs.494928	NM_002581					9q33.2
210999_s_at	0.119	GRB10	RSS; IRBP; MEG1; GRB-IR; KIAA0207	growth factor receptor-bound protein 10	Cytoplasm	other	U66065	Hs.164060	NM_001001549		GO:7267(cell-cell signaling); GO:8286(insulin receptor signaling pathway); GO:7242(intracellular signaling cascade)	GO:5070(SH3/SH2 adaptor activity); GO:5515(protein binding)	GO:5737(cytoplasm); GO:5886(plasma membrane)	7p12-p11.2
203417_at	0.119	MFAP2	MAGP; MAGP1	microfibrillar-associated protein 2	Extracellular Space	other	NM_017459	Hs.389137	NM_002403			GO:5201(extracellular matrix structural constituent)	GO:5578(extracellular matrix (sensu Metazoa)); GO:1527(microfibril)	1p36.1-p35
227812_at	0.119	TNFRSF19	TNFRSF19	Tumor necrosis factor receptor superfamily, member 19	Plasma Membrane	transmembrane receptor	BF432648	Hs.149168	NM_018647 ; NM_148957					13q12.11-q12.3
206460_at	0.121	AJAP1 (includes EG:55966)	MOT8; SHREW1; SHREW-1; RP3-426F10.1	adherens junction associated protein 1	Plasma Membrane	other	NM_018836	Hs.25924	NM_018836					1p36.32
222877_at	0.122	NRP2		CDNA: FLJ21027 fis, clone CAE07110	Plasma Membrane	kinase	AK024680	Hs.575038	NM_003872 ; NM_018534 ; NM_201264 ; NM_201266 ; NM_201267 ; NM_201279					2q33.3
220585_at	0.127	HKDC1	FLJ22761; FLJ37767; MGC125688	hexokinase domain containing 1	Unknown	kinase	NM_025130	Hs.522988	NM_025130		GO:6096(glycolysis)	GO:5524(ATP binding); GO:4396(hexokinase activity); GO:16301(kinase activity); GO:16740(transferase activity)		10q22.1
212942_s_at	0.128	KIAA1199	TMEM2L; IR2155535	KIAA1199	Unknown	other	AB033025	Hs.459088	NM_018689		GO:7605(sensory perception of sound)			15q24
206859_s_at	0.129	PAEP	GD; GdA; GdF; GdS; PEP; PAEG; PP14	progestagen-associated endometrial protein (placental protein 14, pregnancy-associated endometrial alpha-2-globulin, alpha uterine protein)	Extracellular Space	other	NM_002571	Hs.532325	NM_001018049		GO:7275(development); GO:6810(transport)	GO:5488(binding); GO:5215(transporter activity)		9q34
201581_at	0.129	TXNDC13		Thioredoxin domain containing 13	Cytoplasm	enzyme	BF572868	Hs.169358	NM_021156					20p12
202729_s_at	0.131	LTBP1	LTBP1	latent transforming growth factor beta binding protein 1	Extracellular Space	other	NM_000627	Hs.49787	NM_000627	TGF_Beta_Signaling_Pathway ; GenMAPP	GO:4(biological process unknown)	GO:5509(calcium ion binding); GO:19838(growth factor binding); GO:5024(transforming growth factor beta receptor activity)	GO:5578(extracellular matrix (sensu Metazoa))	2p22-p21
204627_s_at	0.133	ITGB3	CD61; GP3A; GPIIIa	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	Plasma Membrane	transmembrane receptor	M35999	Hs.218040	NM_000212	KEGG pathway: ECM-receptor interaction 04512; KEGG pathway: Focal adhesion 04510; KEGG pathway: Hematopoietic cell lineage 04640; KEGG pathway: Regulation of actin cytoskeleton 04810; Reactome Event:Hemostasis 109582	GO:7596(blood coagulation); GO:7155(cell adhesion); GO:7160(cell-matrix adhesion); GO:7275(development); GO:7229(integrin-mediated signaling pathway)	GO:42802(protein self binding); GO:4872(receptor activity)	GO:8305(integrin complex)	17q21.32
206922_at	0.133	VCY	BPY1; VCY1; VCY1A; MGC119817	variable charge, Y-linked	Unknown	other	NM_004679	Hs.567386	NM_004679
204475_at	0.134	MMP1	CLG; CLGN	matrix metallopeptidase 1 (interstitial collagenase)	Extracellular Space	peptidase	NM_002421	Hs.83169	NM_002421	Matrix_Metalloproteinases ; GenMAPP	GO:30574(collagen catabolism); GO:270(peptidoglycan metabolism); GO:6508(proteolysis)	GO:5509(calcium ion binding); GO:4232(interstitial collagenase activity); GO:8270(zinc ion binding)	GO:5578(extracellular matrix (sensu Metazoa)); GO:5615(extracellular space)	11q22.3
203037_s_at	0.136	MTSS1	MIM; MIMA; MIMB; KIAA0429	metastasis suppressor 1	Cytoplasm	other	NM_014751	Hs.336994	NM_014751		GO:30036(actin cytoskeleton organization and biogenesis); GO:7155(cell adhesion); GO:7049(cell cycle); GO:6928(cell motility); GO:30035(microspike biogenesis); GO:7517(muscle development); GO:45786(negative regulation of progression through cell cycle); GO:7399(nervous system development); GO:7169(transmembrane receptor protein tyrosine kinase signaling pathway)	GO:3785(actin monomer binding); GO:5102(receptor binding)	GO:15629(actin cytoskeleton); GO:5737(cytoplasm); GO:30139(endocytic vesicle); GO:1726(ruffle)	8p22
203650_at	0.137	PROCR	CCCA; EPCR; CCD41; MGC23024; bA42O4.2	protein C receptor, endothelial (EPCR)	Plasma Membrane	other	NM_006404	Hs.82353	NM_006404		GO:7596(blood coagulation); GO:6954(inflammatory response)	GO:4872(receptor activity)	GO:5887(integral to plasma membrane)	20q11.2
1552721_a_at	0.138	FGF1	AFGF; ECGF; FGFA; ECGFA; ECGFB; HBGF1; GLIO703; ECGF-beta; FGF-alpha	fibroblast growth factor 1 (acidic)	Extracellular Space	growth factor	NM_033136	Hs.483635	NM_000800	KEGG pathway: MAPK signaling pathway 04010; KEGG pathway: Regulation of actin cytoskeleton 04810	GO:1525(angiogenesis); GO:30154(cell differentiation); GO:8283(cell proliferation); GO:7267(cell-cell signaling); GO:9653(morphogenesis); GO:74(regulation of progression through cell cycle); GO:7165(signal transduction)	GO:8083(growth factor activity); GO:8201(heparin binding); GO:5515(protein binding)	GO:5615(extracellular space)	5q31
203665_at	0.138	HMOX1	HO-1; bK286B10	heme oxygenase (decycling) 1	Cytoplasm	enzyme	NM_002133	Hs.517581	NM_002133	KEGG pathway: Porphyrin and chlorophyll metabolism 00860	GO:6788(heme oxidation); GO:43123(positive regulation of I-kappaB kinase/NF-kappaB cascade)	GO:4392(heme oxygenase (decyclizing) activity); GO:5506(iron ion binding); GO:46872(metal ion binding); GO:16491(oxidoreductase activity); GO:4871(signal transducer activity)	GO:5783(endoplasmic reticulum); GO:5624(membrane fraction); GO:5792(microsome)	22q12
224942_at	0.139	PAPPA	PAPPA	Pregnancy-associated plasma protein A, pappalysin 1	Extracellular Space	peptidase	BG434272	Hs.494928	NM_002581					9q33.2
229432_at	0.14	NAGS	NAGS	N-acetylglutamate synthase	Cytoplasm	enzyme	AV696264	Hs.8876	NM_153006	Urea cycle and metabolism of amino groups ; KEGG				17q21.31
219118_at	0.142	FKBP11	FKBP19; MGC54182	FK506 binding protein 11, 19 kDa	Cytoplasm	enzyme	NM_016594	Hs.438695	NM_016594		GO:6457(protein folding)	GO:16853(isomerase activity); GO:3755(peptidyl-prolyl cis-trans isomerase activity)		12q13.12
1552487_a_at	0.143	BNC1	BNC; BSN1; HsT19447	basonuclin 1	Nucleus	transcription regulator	NM_001717	Hs.459153	NM_001717		GO:8544(epidermis development); GO:8284(positive regulation of cell proliferation); GO:6355(regulation of transcription, DNA-dependent); GO:6350(transcription)	GO:46872(metal ion binding); GO:3700(transcription factor activity); GO:8270(zinc ion binding)	GO:5634(nucleus)	15q25.2
233555_s_at	0.143	SULF2		sulfatase 2	Extracellular Space	enzyme	AL034418	Hs.162016	NM_018837 ; NM_198596					20q12-q13.2
224838_at	0.144	FOXP1	QRF1; 12CC4; hFKH1B; HSPC215; FLJ23741; MGC12942; MGC88572; MGC99551	forkhead box P1	Nucleus	transcription regulator	AK026898	Hs.431498	NM_001012505		GO:6355(regulation of transcription, DNA-dependent); GO:6350(transcription)	GO:46872(metal ion binding); GO:3676(nucleic acid binding); GO:3700(transcription factor activity); GO:8270(zinc ion binding)	GO:5634(nucleus)	3p14.1
208893_s_at	0.156	DUSP6	MKP3; PYST1	dual specificity phosphatase 6	Cytoplasm	phosphatase	BC005047	Hs.298654	NM_001946	KEGG pathway: MAPK signaling pathway 04010	GO:188(inactivation of MAPK activity); GO:6470(protein amino acid dephosphorylation); GO:74(regulation of progression through cell cycle)	GO:17017(MAP kinase phosphatase activity); GO:16787(hydrolase activity); GO:4722(protein serine/threonine phosphatase activity); GO:4725(protein tyrosine phosphatase activity)	GO:5737(cytoplasm); GO:5625(soluble fraction)	12q22-q23
226844_at	0.159	MOBKL2B		Transcribed locus	Unknown	other	AI375115	Hs.573014	NM_024761					9p21.2
205117_at	0.164	FGF1	AFGF; ECGF; FGFA; ECGFA; ECGFB; HBGF1; GLIO703; ECGF-beta; FGF-alpha	fibroblast growth factor 1 (acidic)	Extracellular Space	growth factor	X59065	Hs.483635	NM_000800	KEGG pathway: MAPK signaling pathway 04010; KEGG pathway: Regulation of actin cytoskeleton 04810	GO:1525(angiogenesis); GO:30154(cell differentiation); GO:8283(cell proliferation); GO:7267(cell-cell signaling); GO:9653(morphogenesis); GO:74(regulation of progression through cell cycle); GO:7165(signal transduction)	GO:8083(growth factor activity); GO:8201(heparin binding); GO:5515(protein binding)	GO:5615(extracellular space)	5q31
225566_at	0.165	NRP2	NRP2	Neuropilin 2	Plasma Membrane	kinase	AI819729	Hs.471200	NM_003872 ; NM_018534 ; NM_201264 ; NM_201266 ; NM_201267 ; NM_201279					2q33.3
229568_at	0.168	MOBKL2B	MOB3B; FLJ13204; FLJ23916; MGC32960	MOB1, Mps One Binder kinase activator-like 2B (yeast)	Unknown	other	AI692878	Hs.369022	NM_024761			GO:46872(metal ion binding); GO:8270(zinc ion binding)		9p21.2
215790_at	0.174	AJAP1 (includes EG:55966)	SHREW1	Adherens junction associated protein 1	Plasma Membrane	other	AA835004	Hs.25924	NM_018836					1p36.32
225955_at	0.174	METRNL	UBC	Ubiquitin C	Unknown	other	BG231494	Hs.378821	NM_001004431					12q24.3
202986_at	0.176	ARNT2	KIAA0307	aryl-hydrocarbon receptor nuclear translocator 2	Nucleus	transcription regulator	NM_014862	Hs.459070	NM_014862		GO:7417(central nervous system development); GO:1701(embryonic development (sensu Mammalia)); GO:42055(neuron lineage restriction); GO:45941(positive regulation of transcription); GO:6355(regulation of transcription, DNA-dependent); GO:1666(response to hypoxia); GO:9636(response to toxin); GO:9410(response to xenobiotic stimulus); GO:7165(signal transduction)	GO:17162(aryl hydrocarbon receptor binding); GO:5061(aryl hydrocarbon receptor nuclear translocator activity); GO:46982(protein heterodimerization activity); GO:4871(signal transducer activity); GO:3700(transcription factor activity)	GO:5634(nucleus)	15q24
207850_at	0.177	CXCL3	GRO3; GROg; MIP2B; SCYB3; MIP-2b; CINC-2b; MGSA gamma	chemokine (C-X-C motif) ligand 3	Extracellular Space	cytokine	NM_002090	Hs.89690	NM_002090	KEGG pathway: Cytokine-cytokine receptor interaction 04060	GO:7186(G-protein coupled receptor protein signaling pathway); GO:6935(chemotaxis); GO:6954(inflammatory response); GO:7600(sensory perception)	GO:8009(chemokine activity)	GO:5615(extracellular space)	4q21
202628_s_at	0.177	SERPINE1	PAI; PAI1; PAI-1; PLANH1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	Extracellular Space	other	NM_000602	Hs.414795	NM_000602	KEGG pathway: Complement and coagulation cascades 04610; Reactome Event:Hemostasis 109582	GO:7596(blood coagulation)	GO:8243(plasminogen activator activity); GO:4867(serine-type endopeptidase inhibitor activity)	GO:5615(extracellular space)	7q21.3-q22
218854_at	0.183	DSE	SART2	squamous cell carcinoma antigen recognized by T cells 2	Cytoplasm	other	NM_013352	Hs.486292	NM_013352					6q22
229225_at	0.183	NRP2	NRP2	Neuropilin 2	Plasma Membrane	kinase	N90777	Hs.471200	NM_003872 ; NM_018534 ; NM_201264 ; NM_201266 ; NM_201267 ; NM_201279					2q33.3
219117_s_at	0.184	FKBP11	FKBP19; MGC54182	FK506 binding protein 11, 19 kDa	Cytoplasm	enzyme	NM_016594	Hs.438695	NM_016594		GO:6457(protein folding)	GO:16853(isomerase activity); GO:3755(peptidyl-prolyl cis-trans isomerase activity)		12q13.12
238692_at	0.185	BTBD11	BTBD11	BTB (POZ) domain containing 11	Nucleus	transcription regulator	AL040935	Hs.271272	NM_001017523 ; NM_001018072 ; NM_152322					12q23.3
224837_at	0.189	FOXP1	FOXP1	Forkhead box P1	Nucleus	transcription regulator	AW080845	Hs.431498	NM_001012505 ; NM_032682					3p14.1
226415_at	0.189	KIAA1576	KIAA1576	KIAA1576 protein	Unknown	enzyme	AA156723	Hs.461405	NM_020927					16q23.1
202728_s_at	0.19	LTBP1	LTBP1	Latent transforming growth factor beta binding protein 1	Extracellular Space	other	AI986120	Hs.49787	NM_000627 ; NM_206943	TGF_Beta_Signaling_Pathway ; GenMAPP				2p22-p21
223484_at	0.192	C15ORF48	NMES1; FOAP-11; FLJ22645; MGC32925	chromosome 15 open reading frame 48	Nucleus	other	AF228422	Hs.112242	NM_032413				GO:5634(nucleus)	15q21.1
202627_s_at	0.194	SERPINE1	SERPINE1	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	Extracellular Space	other	AL574210	Hs.414795	NM_000602	TGF_Beta_Signaling_Pathway ; GenMAPP ; Blood_Clotting_Cascade ; GenMAPP				7q21.3-q22
227697_at	0.198	SOCS3	SOCS3	Suppressor of cytokine signaling 3	Cytoplasm	other	AI244908	Hs.527973	NM_003955					17q25.3
215789_s_at	0.199	AJAP1 (includes EG:55966)	SHREW1	Adherens junction associated protein 1	Plasma Membrane	other	AA835004	Hs.25924	NM_018836					1p36.32
202499_s_at	0.201	SLC2A3	GLUT3	solute carrier family 2 (facilitated glucose transporter), member 3	Plasma Membrane	transporter	NM_006931	Hs.419240	NM_006931	Reactome Event:Metabolism of sugars 71387	GO:5975(carbohydrate metabolism); GO:8643(carbohydrate transport); GO:15758(glucose transport)	GO:5355(glucose transporter activity); GO:5351(sugar porter activity); GO:5215(transporter activity)	GO:16021(integral to membrane); GO:16020(membrane); GO:5624(membrane fraction)	12p13.3
209652_s_at	0.202	PGF	PLGF; PlGF-2	placental growth factor, vascular endothelial growth factor-related protein	Extracellular Space	growth factor	BC001422	Hs.252820	NM_002632	KEGG pathway: Focal adhesion 04510	GO:1525(angiogenesis); GO:30154(cell differentiation); GO:8283(cell proliferation); GO:7267(cell-cell signaling); GO:8284(positive regulation of cell proliferation); GO:74(regulation of progression through cell cycle); GO:7165(signal transduction)	GO:8083(growth factor activity); GO:8201(heparin binding)	GO:16020(membrane)	14q24-q31
244350_at	0.202			Transcribed locus			N33403	Hs.563331						5
223218_s_at	0.206	NFKBIZ	IKBZ; INAP; MAIL; FLJ34463	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	Nucleus	transcription regulator	AB037925	Hs.319171	NM_001005474					3p12-q12
228082_at	0.207	ASAM	ASAM	Adipocyte-specific adhesion molecule	Plasma Membrane	other	BF056275	Hs.504187	NM_024769					11q24.1
230720_at	0.21	RNF182	MGC33993	Ring finger protein 182	Unknown	other	AI884906	Hs.111164	NM_152737					6p23
203504_s_at	0.211	ABCA1	TGD; ABC1; CERP; ABC-1; HDLDT1	ATP-binding cassette, sub-family A (ABC1), member 1	Plasma Membrane	transporter	NM_005502	Hs.429294	NM_005502	KEGG pathway: ABC transporters - General 02010	GO:8203(cholesterol metabolism); GO:6629(lipid metabolism); GO:8202(steroid metabolism); GO:6810(transport)	GO:5524(ATP binding); GO:16887(ATPase activity); GO:8509(anion transporter activity); GO:166(nucleotide binding); GO:15248(sterol transporter activity)	GO:5887(integral to plasma membrane); GO:5624(membrane fraction)	9q31.1
225612_s_at	0.211	B3GNT5	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	Unknown	enzyme	BE672260	Hs.208267	NM_032047					3q28
1552580_at	0.211	FLJ25801	FLJ25801	hypothetical protein FLJ25801	Unknown	other	NM_173553	Hs.276429	NM_173553					4q35.2
219557_s_at	0.212	NRIP3	C11orf14; NY-SAR-105	nuclear receptor interacting protein 3	Unknown	other	NM_020645	Hs.523467	NM_020645					11p15.3
206508_at	0.213	CD70	CD70; CD27L; CD27LG	tumor necrosis factor (ligand) superfamily, member 7	Extracellular Space	cytokine	NM_001252	Hs.501497	NM_001252	KEGG pathway: Cytokine-cytokine receptor interaction 04060	GO:6915(apoptosis); GO:8283(cell proliferation); GO:7267(cell-cell signaling); GO:6955(immune response); GO:7165(signal transduction)	GO:5164(tumor necrosis factor receptor binding)	GO:5615(extracellular space); GO:5887(integral to plasma membrane); GO:16020(membrane)	19p13
231807_at	0.215	KIAA1217	MGC31990; DKFZP761L0424; RP11-324E23.1	KIAA1217	Cytoplasm	other	AL157473	Hs.445885	NM_019590					10p12.31
218796_at	0.219	C20ORF42	URP1; KIND1; DTGCU2; FLJ20116	chromosome 20 open reading frame 42	Plasma Membrane	other	NM_017671	Hs.472054	NM_017671			GO:5488(binding)	GO:5856(cytoskeleton)	20p12.3
238794_at	0.221	C10ORF78		yv99a09.r1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:250840 5 similar to contains Alu repetitive element;, mRNA sequence.	Unknown	other	N23586	Hs.93667	NM_001002759 ; NM_145247					10q25.1
208038_at	0.221	IL1RL2	IL1RRP2; IL1R-rp2	interleukin 1 receptor-like 2	Plasma Membrane	transmembrane receptor	NM_003854	Hs.469520	NM_003854		GO:6968(cellular defense response); GO:7165(signal transduction)	GO:4909(interleukin-1, Type I, activating receptor activity); GO:4888(transmembrane receptor activity)	GO:5887(integral to plasma membrane); GO:16020(membrane)	2q12
221805_at	0.222	NEFL	NEFL	Neurofilament, light polypeptide 68kDa	Cytoplasm	other	AL537457	Hs.521461	NM_006158					8p21
