Unigenecluster(build168)	Description	T-test1	5%perm2	GeneSymbol	ExemplarAccession
Hs.75216	protein tyrosine phosphatase, receptor type, F	4.57	4.8	PTPRF	AW170332
Hs.408136	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	4.49	4.59	-	AW979008
Hs.15670	Homo sapiens transcribed sequences	4.42	4.5	-	AI002106
Hs.387443	Homo sapiens MSTP131 (MST131) mRNA, complete cds	4.37	4.4	-	AW954938
Hs.102336	Rho GTPase activating protein 8	4.22	4.32	ARHGAP8	-
Hs.196914	minor histocompatibility antigen HA-1	4.2	4.26	HA-1	AW505086
Hs.133352	KIAA1111 protein	4.16	4.24	KIAA1111	AW249934
Hs.134093	splicing factor, arginine/serine-rich 14	4.14	4.19	SFRS14	AW085131
Hs.396393	ubiquitin-conjugating enzyme E2S	4.11	4.1	UBE2S	BE270447
Hs.301685	plexin D1	4.1	4.07	PLXND1	AB014520
Hs.27769	chromosome 14 open reading frame 69	4.04	4.02	C14orf69	AA610175
Hs.170915	hypothetical protein FLJ10948	4.01	4	FLJ10948	AK001810
Hs.143601	paired immunoglobin-like type 2 receptor beta	4.01	3.98	PILRB	AV647015
Hs.279766	kinesin family member 4A	3.98	3.96	KIF4A	AA307703
Hs.117864	Homo sapiens transcribed sequences	3.97	3.91	-	AA677934
Hs.26023	KIAA1041 protein	3.95	3.88	KIAA1041	AA228357
Hs.404525	ubiquitin fusion degradation 1-like	3.94	3.86	UFD1L	AI435128
Hs.284232	KIAA0720 protein	3.93	3.81	KIAA0720	AB018263
Hs.407912	collagen, type IV, alpha 2	3.93	3.79	COL4A2	BE501689
Hs.95231	formin homology 2 domain containing 1	3.9	3.77	FHOD1	NM_013241
Hs.112160	DNA helicase homolog PIF1	3.88	3.75	PIF1	AF108138
Hs.132977	DKFZp564J157 protein	3.87	3.74	DKFZP564J157	AA789133
Hs.491214	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	3.84	3.7	-	AI904891
Hs.380008	hypothetical protein MGC40042	3.82	3.68	MGC40042	AI627565
Hs.439505	DAZ associated protein 1	3.8	3.66	DAZAP1	AW663317
Hs.267749	unc-93 homolog A (C. elegans)	3.8	3.65	UNC93A	W92071
Hs.380810	Homo sapiens mRNA; cDNA DKFZp686G12112 (from clone DKFZp686G12112)	3.79	3.64	-	H38914
Hs.165725	CCR4-NOT transcription complex, subunit 2	3.75	3.6	CNOT2	AW973426
Hs.91521	hypothetical protein DKFZP761M1511	3.74	3.59	DKFZP761M1511	AW248434
Hs.8375	TNF receptor-associated factor 4	3.74	3.58	TRAF4	AI751601
Hs.378766	hypothetical protein FLJ11323	3.73	3.55	FLJ11323	AK002185
Hs.12420	PHD protein Jade-1	3.73	3.55	JADE1	AA954566
Hs.444400	Homo sapiens cDNA FLJ42310 fis, clone TRACH2007733	3.72	3.53	-	R44007
Hs.155106	receptor (calcitonin) activity modifying protein 2	3.71	3.51	RAMP2	NM_005854
Hs.274363	neuroglobin	3.71	3.49	NGB	R36571
Hs.211046	hypothetical protein LOC126248	3.67	3.48	LOC126248
Hs.345588	hypothetical protein MGC45871	3.67	3.45	MGC45871	AW076098
Hs.380851	Homo sapiens, Similar to RIKEN cDNA 2610524G09 gene, clone IMAGE:4149891, mRNA	3.66	3.45	-	BE382685
Hs.117558	Homo sapiens transcribed sequences	3.65	3.43	-	AA379306
Hs.95424	mitogen-activated protein kinase kinase kinase kinase 1	3.64	3.43	MAP4K1	-
Hs.103267	RAB3A interacting protein (rabin3)	3.64	3.42	RAB3IP	AW247012
Hs.18457	hypothetical protein FLJ20315	3.64	3.42	FLJ20315	AK000322
Hs.405819	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	3.63	3.41	-	BE079602
Hs.128392	activated p21cdc42Hs kinase	3.62	3.4	ACK1	NM_005781
Hs.55044	DKFZP586H2123 protein	3.6	3.39	DKFZP586H2123	AL050214
Hs.182099	Homo sapiens transcribed sequences	3.6	3.37	-	AI248322
Hs.131905	cation channel, sperm associated 2	3.6	3.36	CATSPER2	AW971983
Hs.372463	microtubule-actin crosslinking factor 1	3.59	3.35	MACF1	AB029290
Hs.433701	ribosomal protein L37a (RPL37A)	3.58	3.34	RPL37A	X90725
-	RC2-ST0158-091099-011-d05 ST0158 Homo sapiens cDNA, MRNA sequence	3.57	3.33	-	AW811633
Hs.106124	full length insert cDNA clone YA77F06	3.56	3.32	-	R26240
Hs.345588	hypothetical protein MGC45871	3.55	3.32	MGC45871	AA306090
Hs.195614	splicing factor 3b, subunit 3, 130kDa	3.54	3.31	SF3B3	BE260120
Hs.398102	Homo sapiens mRNA; cDNA DKFZp686L05235 (from clone DKFZp686L05235)	3.53	3.31	-	AW236939
Hs.511915	enolase 2, (gamma, neuronal)	3.52	3.3	ENO2	NM_001975
Hs.136574	arachidonate 12-lipoxygenase, 12R type	3.52	3.29	ALOX12B	-
Hs.104520	cDNA FLJ13694 fis, clone PLACE2000115	3.52	3.29	-	AI807519
Hs.136295	CHMP1.5 protein	3.52	3.28		AV647184
Hs.278839	chromosome 20 open reading frame 77	3.51	3.26	C20orf77	W74157
Hs.240013	catechol-O-methyltransferase	3.49	3.26	COMT	AA447648
Hs.46366	ciliary neurotrophic factor	3.48	3.25	CNTF	AL040328
Hs.76415	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	3.48	3.25	ITIH4	-
Hs.101474	microtubule associated testis specific serine/threonine protein kinase	3.47	3.23	MAST205	AB018350
Hs.153752	cell division cycle 25B	3.46	3.22	CDC25B	S78187
Hs.60659	similar to Rho GTPase activating protein 12	3.46	3.21	LOC201176	AA015912
Hs.129037	Homo sapiens transcribed sequences	3.46	3.2	-	AI126162
Hs.444994	Homo sapiens transcribed sequences	3.45	3.19	-	AW973078
Hs.366546	mitogen-activated protein kinase kinase 2	3.45	3.19	MAP2K2	BE302900
Hs.72222	fer-1-like 4 (C. elegans)	3.45	3.18	FER1L4	AI219207
Hs.445264	hypothetical protein BC004507	3.43	3.17	-	AL137404
-		3.42	3.16	-	-
Hs.110457	Wolf-Hirschhorn syndrome candidate 1	3.4	3.15	WHSC1	AJ007042
Hs.6451	PRO0659 protein	3.39	3.14	PRO0659	AW875398
Hs.74369	integrin, alpha 7	3.38	3.14	ITGA7	NM_002206
Hs.23823	hairy/enhancer-of-split related with YRPW motif-like	3.37	3.13	HEYL	R27319
Hs.273397	ubiquitin specific protease 52	3.35	3.12	USP52	AA248060
Hs.431099	membrane-associated protein 17	3.34	3.11	MAP17	NM_005764
Hs.512094	MAP kinase-interacting serine/threonine kinase 2	3.34	3.1	MKNK2	-
Hs.278027	LIM domain kinase 2	3.33	3.1	LIMK2	-
Hs.132545	Homo sapiens transcribed sequences	3.32	3.09	-	AI261960
Hs.86859	growth factor receptor-bound protein 7	3.3	3.09	GRB7	BE247550
-	-	3.3	3.08	-	-
Hs.66219	hypothetical protein FLJ31528	3.29	3.08	FLJ31528	AW502869
Hs.154525	KIAA1076 protein	3.28	3.07	KIAA1076	AB028999
Hs.123253	likely ortholog of mouse Shc SH2-domain binding protein 1	3.28	3.07	SHCBP1	AW402593
Hs.82906	CDC20 cell division cycle 20 homolog (S. cerevisiae)	3.28	3.06	CDC20	BE250127
Hs.195471	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	3.27	3.05	PFKFB3	U15177
Hs.55044	DKFZP586H2123 protein	3.27	3.04	DKFZP586H2123	AL047332
Hs.445932	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]	3.27	3.03	-	AW977370
Hs.54941	phosphorylase kinase, alpha 2 (liver)	3.27	3.03	PHKA2	D38616
Hs.270920	death associated protein 3	3.26	3.03	DAP3	AI433694
Hs.8121	Notch homolog 2 (Drosophila)	3.25	3.02	NOTCH2	-
Hs.302034	phospholipase A2, group IIF	3.23	3.02	PLA2G2F	-
-		3.23	3.01	-	-
Hs.438720	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	3.22	3.01	MCM7	AW410976
Hs.32148	selenoprotein S	3.22	3	SELS	AA356389
Hs.127327	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_056472.1 (H.sapiens) ATP-binding cassette, sub-family A (ABC1), member 12; DKFZP434G232 protein; ATP-binding cassette transporter family A member 12 [Homo sapiens]	3.21	2.98	-	AI798039
Hs.444840	chromosome 7 open reading frame 24	3.2	2.97	C7orf24	AA378776
