Gene	Kurtosis	Clusters	pval
KIAA0251	-0.09	2	0.3604
RNASE1	-0.08	2	0.0683
GMNN	-0.08	1	NA
KLF2	-0.08	1	NA
PDE6B	-0.08	2	0.1692
SLC25A15	-0.08	2	0.7522
IRX4	-0.08	2	0.2412
STXBP3	-0.08	2	0.4544
H3F3A	-0.08	1	NA
CGI-143	-0.07	2	0.6671
RPL26L1	-0.07	2	0.0948
E2F1	-0.07	2	0.0002
COG2	-0.07	1	NA
TRADD	-0.07	2	0.289
SREBF1	-0.07	2	0.6123
TBC1D13	-0.06	1	NA
CXCL14	-0.06	2	0.0188
HMGCL	-0.06	2	0.4447
UBE2C	-0.06	2	0
REC14	-0.06	2	0.6676
HMGN1	-0.06	2	0.0115
FLNA	-0.06	1	NA
NME7	-0.06	2	0.8046
QARS	-0.06	1	NA
LGALS1	-0.06	2	0.6265
ANXA3	-0.06	1	NA
ABCC5	-0.05	2	0.1257
HLA-DQB1	-0.05	1	NA
GLTSCR2	-0.05	1	NA
RBM3	-0.05	2	0.7252
CKLFSF6	-0.05	2	0.9191
SDCBP	-0.04	1	NA
RBM5	-0.04	1	NA
ITM2B	-0.04	2	0.7548
ZHX3	-0.04	2	0.7165
OVOL1	-0.04	2	1
FLJ11273	-0.04	2	0.1411
GOT2	-0.03	2	0.7429
CKS1B	-0.03	2	0.0013
CNN3	-0.03	2	0.0216
STK39	-0.03	1	NA
PC4	-0.03	2	0.7696
PKMYT1	-0.03	1	NA
ZNF407	-0.03	2	0.2742
ELOVL5	-0.03	2	0.0176
CYP2J2	-0.03	2	0.9061
DDX46	-0.03	2	0.1752
LRP2	-0.03	1	NA
CGI-119	-0.03	2	0.2819
PYCARD	-0.02	2	0.1066
BIN3	-0.02	2	1
CAP350	-0.02	2	0.6245
PP	-0.02	1	NA
VWF	-0.02	2	0.282
HSPB1	-0.02	1	NA
ECHS1	-0.02	1	NA
ATIC	-0.02	1	NA
TAGLN	-0.01	2	0.1422
CTSZ	-0.01	1	NA
ATP5O	-0.01	1	NA
JAG1	-0.01	2	0.845
RPL4	-0.01	1	NA
LTBP1	-0.01	1	NA
SMARCC2	0	1	NA
GALNT3	0	2	0.4153
LIN7A	0	2	0.2819
MAD2L1	0	2	0
LAPTM4B	0	2	0.0001
