Probe ID	Mean fold change	Gene Description
207818_s_at	4.4	synonym: 5-HT7; isoform a is encoded by transcript variant a; serotonin 5-HT-7 receptor; go_component: integral to plasma membrane [goid 0005887] [evidence TAS] [pmid 8226867]; go_function: melanocortin receptor activity [goid 0004977] [evidence IEA]; go_function: serotonin receptor activity [goid 0004993] [evidence TAS] [pmid 8226867]; go_function: rhodopsin-like receptor activity [goid 0001584] [evidence IEA]; go_process: circulation [goid 0008015] [evidence TAS] [pmid 8226867]; go_process: circadian rhythm [goid 0007623] [evidence TAS] [pmid 8398139]; go_process: synaptic transmission [goid 0007268] [evidence TAS] [pmid 8226867]; go_process: G-protein signaling, coupled to cyclic nucleotide second messenger [goid 0007187] [evidence TAS] [pmid 8226867]; Homo sapiens 5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled) (HTR7), transcript variant a, mRNA.
203973_s_at	4.3	synonyms: CELF, CRP3, C/EBP-delta, NF-IL6-beta; go_component: nucleus [goid 0005634] [evidence IEA]; go_function: DNA binding [goid 0003677] [evidence IEA]; go_process: transcription from Pol II promoter [goid 0006366] [evidence TAS] [pmid 8314590]; go_process: regulation of transcription, DNA-dependent [goid 0006355] [evidence IEA]; Homo sapiens CCAAT/enhancer binding protein (C/EBP), delta (CEBPD), mRNA.
211776_s_at	4.3	synonyms: KIAA0987, DAL-1, 4.1B, DAL1; Homo sapiens erythrocyte membrane protein band 4.1-like 3, mRNA (cDNA clone MGC:13087 IMAGE:3936453), complete cds.; Erythrocyte membrane protein band 4.1-like 3
39402_at	4.1	Human interleukin 1-beta (IL1B) mRNA, complete cds.; Interleukin 1, beta
201360_at	4.0	synonym: AD8; cystatin 3; gamma-trace; post-gamma-globulin; neuroendocrine basic polypeptide; Homo sapiens cystatin C (amyloid angiopathy and cerebral hemorrhage) (CST3), mRNA.; Cystatin C (amyloid angiopathy and cerebral hemorrhage)
209465_x_at	3.9	AL565812 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF008YL14 3-PRIME, mRNA sequence.; Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
208587_s_at	3.5	synonyms: OR1E4, OR1E7, OST529, OR17-93, OR17-135; olfactory receptor, family 1, subfamily E, member 4; olfactory receptor, family 1, subfamily E, member 7; go_component: integral to plasma membrane [goid 0005887] [evidence TAS] [pmid 8004088]; go_function: receptor activity [goid 0004872] [evidence TAS] [pmid 8004088]; go_function: olfactory receptor activity [goid 0004984] [evidence IEA]; go_process: perception of smell [goid 0007608] [evidence IEA]; go_process: signal transduction [goid 0007165] [evidence TAS] [pmid 8004088]; go_process: G-protein coupled receptor protein signaling pathway [goid 0007186] [evidence IEA]; Homo sapiens olfactory receptor, family 1, subfamily E, member 2 (OR1E2), mRNA.; Olfactory receptor, family 1, subfamily E, member 2
215751_at	3.4	Homo sapiens cDNA FLJ11514 fis, clone HEMBA1002229.; Chromosome 13 open reading frame 10
201215_at	3.3	synonym: T-PLASTIN; T isoform; go_component: actin cytoskeleton [goid 0015629] [evidence NR]; go_function: actin binding [goid 0003779] [evidence NR]; go_function: calcium ion binding [goid 0005509] [evidence IEA]; Homo sapiens plastin 3 (T isoform) (PLS3), mRNA.; Plastin 3 (T isoform)
220001_at	3.3	synonyms: PAD, PDI4, PDI5, PADI5; protein-arginine deiminase; peptidyl arginine deiminase, type V; go_function: hydrolase activity [goid 0016787] [evidence IEA]; go_function: calcium ion binding [goid 0005509] [evidence IEA]; go_function: protein-arginine deiminase activity [goid 0004668] [evidence TAS] [pmid 10488123]; go_process: protein modification [goid 0006464] [evidence TAS] [pmid 10488123]; Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA.; Peptidyl arginine deiminase, type IV
221225_at	3.3	go_function: ATP binding [goid 0005524] [evidence IEA]; go_function: uridine kinase activity [goid 0004849] [evidence IEA]; Homo sapiens hypothetical protein FLJ22955 (FLJ22955), mRNA.; Hypothetical protein FLJ22955
210799_at	3.2	Homo sapiens serotonin 1D receptor (5-HT1D~) mRNA, complete cds.; 5-hydroxytryptamine (serotonin) receptor 1B
205319_at	3.2	go_component: plasma membrane [goid 0005886] [evidence TAS] [pmid 9465086]; Homo sapiens prostate stem cell antigen (PSCA), mRNA.; Prostate stem cell antigen
205639_at	3.2	go_component: integral to membrane [goid 0016021] [evidence IEA]; go_function: hydrolase activity [goid 0016787] [evidence IEA]; go_function: acyloxyacyl hydrolase activity [goid 0050528] [evidence IEA]; go_function: lipoprotein lipase activity [goid 0004465] [evidence TAS] [pmid 1883828]; go_process: lipid metabolism [goid 0006629] [evidence TAS] [pmid 1883828]; go_process: inflammatory response [goid 0006954] [evidence TAS] [pmid 1883828]; Homo sapiens acyloxyacyl hydrolase (neutrophil) (AOAH), mRNA.; Acyloxyacyl hydrolase (neutrophil)
206271_at	3.0	go_component: integral to plasma membrane [goid 0005887] [evidence TAS] [pmid 9435236]; go_function: double-stranded RNA binding [goid 0003725] [evidence NAS] [pmid 12054664]; go_function: transmembrane receptor activity [goid 0004888] [evidence NAS] [pmid 12054664]; go_process: immune response [goid 0006955] [evidence IEA]; go_process: inflammatory response [goid 0006954] [evidence IEA]; go_process: detection of virus [goid 0009597] [evidence NAS] [pmid 12054664]; go_process: signal transduction [goid 0007165] [evidence TAS] [pmid 9435236]; go_process: signal transduction [goid 0007165] [evidence TAS] [pmid 10426995]; go_process: hyperosmotic response [goid 0006972] [evidence NAS] [pmid 12054664]; go_process: defense response to bacteria [goid 0042742] [evidence TAS] [pmid 10426995]; go_process: activation of NF-kappaB-inducing kinase [goid 0007250] [evidence NAS] [pmid 12054664]; go_process: negative regulation of osteoclast differentiation [goid 0045671] [evidence NAS] [pmid 12133979]; go_process: positive regulation of interferon-beta biosynthesis [goid 0045359] [evidence IMP] [pmid 12054664]; Homo sapiens toll-like receptor 3 (TLR3), mRNA.; Toll-like receptor 3
213469_at	2.9	AV705244 ADB Homo sapiens cDNA clone ADBAHF09 5, mRNA sequence.; GPI deacylase
220002_at	2.8	Hypothetical protein FLJ10157
204971_at	2.8	synonyms: STF1, STFA; cystatin AS; stefin A; go_component: intracellular [goid 0005622] [evidence IEA]; go_function: cysteine protease inhibitor activity [goid 0004869] [evidence NR]; Homo sapiens cystatin A (stefin A) (CSTA), mRNA.; Cystatin A (stefin A)
214256_at	2.7	Homo sapiens mRNA for KIAA0566 protein, partial cds.; ATPase, Class V, type 10A
211687_x_at	2.7	Homo sapiens killer cell immunoglobulin-like receptor 3DL1 (KIR3DL1) mRNA, KIR3DL100701 allele, complete cds.; Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1
208046_at	2.6	synonyms: H4/a, H4FA; go_component: nucleus [goid 0005634] [evidence IEA]; go_component: nucleosome [goid 0000786] [evidence TAS] [pmid 3035717]; go_function: DNA binding [goid 0003677] [evidence TAS] [pmid 3035717]; go_process: DNA packaging [goid 0006323] [evidence NAS]; go_process: nucleosome assembly [goid 0006334] [evidence IEA]; go_process: chromosome organization and biogenesis (sensu Eukarya) [goid 0007001] [evidence IEA]; Homo sapiens histone 1, H4a (HIST1H4A), mRNA.; Histone 1, H4a
217535_at	2.3	AV720514 GLC Homo sapiens cDNA clone GLCGSB09 5, mRNA sequence.; Transcribed locus
203488_at	2.2	synonyms: LEC2, CIRL1, FLJ11939, KIAA0821; lectomedin-2; go_component: integral to membrane [goid 0016021] [evidence IEA]; go_function: sugar binding [goid 0005529] [evidence IEA]; go_function: latrotoxin receptor activity [goid 0016524] [evidence IEA]; go_function: G-protein coupled receptor activity [goid 0004930] [evidence IEA]; go_process: neuropeptide signaling pathway [goid 0007218] [evidence IEA]; Homo sapiens latrophilin 1 (LPHN1), mRNA.; Latrophilin 1
207872_s_at	2.1	synonyms: LIR6, CD85I, LIR-6; leukocyte immunoglobulin-like receptor 6; go_component: integral to membrane [goid 0016021] [evidence IEA]; go_function: antigen binding [goid 0003823] [evidence TAS] [pmid 9548455]; go_function: transmembrane receptor activity [goid 0004888] [evidence TAS] [pmid 9548455]; go_process: immune response [goid 0006955] [evidence IEA]; go_process: cell surface receptor linked signal transduction [goid 0007166] [evidence TAS] [pmid 9548455]; Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1 (LILRA1), mRNA.; Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
205694_at	2.0	synonyms: TRP, CAS2, CATB, GP75, TYRP, b-PROTEIN; go_component: integral to membrane [goid 0016021] [evidence NR]; go_function: monooxygenase activity [goid 0004497] [evidence IEA]; go_process: metabolism [goid 0008152] [evidence IEA]; go_process: melanin biosynthesis from tyrosine [goid 0006583] [evidence IEA]; Homo sapiens tyrosinase-related protein 1 (TYRP1), mRNA.; Tyrosinase-related protein 1
