PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
204980_at	CLOCK	regulation of transcription from RNA polymerase II promoter /// signal transduction /// circadian rhythm /// photoperiodism /// transcription /// regulation of transcription, DNA-dependent /// signal transduction /// regulation of transcription /// rhythm
220625_s_at	ELF5	transcription /// regulation of transcription, DNA-dependent
212375_at	EP400	chromatin modification /// regulation of transcription
203064_s_at	FOXK2	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription from RNA polymerase II promoter /// potassium ion transport
208057_s_at	GLI2	transcription /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter /// signal transduction /// organ morphogenesis /// proteolysis /// homoiothermy /// response to freezing
206846_s_at	HDAC6	transcription /// regulation of transcription, DNA-dependent /// cell cycle /// development /// chromatin modification /// histone deacetylation
206745_at	HOXC11	regulation of transcription, DNA-dependent /// development /// endoderm development /// transcription /// regulation of transcription
31861_at	IGHMBP2	DNA replication /// DNA repair /// DNA recombination /// transcription /// regulation of transcription, DNA-dependent
36004_at	IKBKG	transcription /// regulation of transcription, DNA-dependent /// induction of apoptosis /// immune response /// I-kappaB kinase/NF-kappaB cascade
216986_s_at	IRF4	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent /// T cell activation /// T cell activation /// positive regulation of interleukin-10 biosynthesis /// positive regulation of interleukin-10 biosyn
213837_at	L3MBTL	regulation of transcription, DNA-dependent /// chromatin modification /// transcription /// regulation of transcription
218850_s_at	LIMD1	regulation of transcription, DNA-dependent /// signal transduction /// development
202485_s_at	MBD2	transcription /// regulation of transcription, DNA-dependent /// negative regulation of transcription
41160_at	MBD3	transcription /// regulation of transcription, DNA-dependent
203920_at	NR1H3	transcription /// regulation of transcription, DNA-dependent
210391_at	NR6A1	transcription /// regulation of transcription, DNA-dependent /// spermatogenesis /// cell proliferation
203782_s_at	POLRMT	DNA replication, synthesis of RNA primer /// transcription
204558_at	RAD54L	DNA repair /// DNA recombination /// meiosis /// DNA repair /// response to DNA damage stimulus
40359_at	RASSF7	regulation of transcription, DNA-dependent /// signal transduction
204178_s_at	RBM14	DNA replication /// DNA repair /// DNA recombination /// transcription /// regulation of transcription, DNA-dependent /// response to hormone stimulus /// histone deacetylation /// estrogen receptor signaling pathway /// glucocorticoid receptor signaling
209497_s_at	RBM4B	nuclear mRNA splicing, via spliceosome /// mRNA processing
202964_s_at	RFX5	transcription /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter
213386_at	RNF20	regulation of transcription, DNA-dependent /// ubiquitin cycle /// signal transduction /// chromatin modification
210098_s_at	SF3A2	nuclear mRNA 3-splice site recognition /// nuclear mRNA splicing, via spliceosome /// RNA splicing
39705_at	SIN3B	transcription /// regulation of transcription, DNA-dependent
49327_at	SIRT3	chromatin silencing /// regulation of transcription, DNA-dependent /// protein amino acid ADP-ribosylation
201320_at	SMARCC2	chromatin assembly or disassembly /// chromatin remodeling /// regulation of transcription from RNA polymerase II promoter /// negative regulation of transcription, DNA-dependent /// positive regulation of transcription, DNA-dependent /// regulation of tr
203183_s_at	SMARCD1	chromatin remodeling /// regulation of transcription from RNA polymerase II promoter /// chromatin modification
38766_at	SRCAP	regulation of transcription from RNA polymerase II promoter
222053_at	TAF6L	chromatin remodeling /// transcription /// transcription initiation /// regulation of transcription from RNA polymerase II promoter /// regulation of transcription factor activity /// regulation of transcription, DNA-dependent
215511_at	TCF20	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent
204281_at	TEAD4	skeletal development /// transcription /// regulation of transcription, DNA-dependent /// regulation of transcription from RNA polymerase II promoter /// muscle development
219735_s_at	TFCP2L1	transcription /// regulation of transcription from RNA polymerase II promoter /// steroid biosynthesis /// pregnancy /// regulation of transcription, DNA-dependent
203046_s_at	TIMELESS	morphogenesis of an epithelium /// transcription /// regulation of transcription, DNA-dependent /// development /// circadian rhythm /// negative regulation of transcription /// rhythmic process
209778_at	TRIP11	transcription from RNA polymerase II promoter
219779_at	ZFHX4	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription
47571_at	ZNF236	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent
213625_at	ZNF307	transcription /// regulation of transcription, DNA-dependent
216692_at	ZNF337	transcription /// regulation of transcription, DNA-dependent
58367_s_at	ZNF419A	transcription /// regulation of transcription, DNA-dependent
220748_s_at	ZNF580	transcription /// regulation of transcription, DNA-dependent
214813_at	ZNF75	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent
213386_at	RNF20	regulation of transcription, DNA-dependent /// ubiquitin cycle /// signal transduction /// chromatin modification
