Probe Set	Gene	NPMc+	P-value	RT-qPCR	RefSeq	Description
202728_s_at	LTBP1	I	0.0055		NM_000627	latent transforming growth factor beta binding protein 1
205601_s_at	HOXB5	I	0.0056	yes	NM_002147	homeo box B5
218280_x_at	HIST2H2AA	I	0.0058		NM_003516	histone 2, H2aa
204044_at	QPRT	I	0.0062		NM_014298	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase
219412_at	RAB38	I	0.0064	yes	NM_022337	RAB38, member RAS oncogene family
207895_at	NAALADL1	I	0.0064		NM_005468	N-acetylated alpha-linked acidic dipeptidase-like 1
220140_s_at	SNX11	I	0.0064		NM_152244	sorting nexin 11
214457_at	HOXA2	I	0.0067		NM_006735	homeo box A2
218711_s_at	SDPR	I	0.0072		NM_004657	serum deprivation response (phosphatidylserine binding protein)
201431_s_at	DPYSL3	I	0.0093		NM_001387	dihydropyrimidinase-like 3
215623_x_at	SMC4L1	I	0.0094		NM_005496	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)
213532_at	LOC285148	I	0.0094		NM_003183	hypothetical protein LOC285148
213844_at	HOXA5	I	0.0095	yes	NM_019102	homeo box A5
205263_at	BCL10	I	0.0100		NM_003921	B-cell CLL/lymphoma 10
204702_s_at	NFE2L3	I	0.0100		NM_004289	nuclear factor (erythroid-derived 2)-like 3
205746_s_at	ADAM17	I	0.0106		NM_021832	a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)
203935_at	ACVR1	I	0.0108		NM_001105	activin A receptor, type I
211423_s_at	SC5DL	I	0.0116		NM_006918	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like
214651_s_at	HOXA9	I	0.0120	yes	NM_152739	homeo box A9
210397_at	DEFB1	I	0.0120		NM_005218	defensin, beta 1
205780_at	BIK	I	0.0120		NM_001197	BCL2-interacting killer (apoptosis-inducing)
220298_s_at	SPATA6	I	0.0120		NM_019073	spermatogenesis associated 6
214639_s_at	HOXA1	I	0.0122	yes	NM_153620	homeo box A1
205453_at	HOXB2	I	0.0122	yes	NM_002145	homeo box B2
209905_at	HOXA9	I	0.0127	yes	NM_152739	homeo box A9
209710_at	GATA2	I	0.0135		NM_032638	GATA binding protein 2
215118_s_at	MGC27165	I	0.0139			hypothetical protein MGC27165
204751_x_at	DSC2	I	0.0139		NM_004949	desmocollin 2
203460_s_at	PSEN1	I	0.0140		NM_007319	presenilin 1 (Alzheimer disease 3)
218552_at	FLJ10948	I	0.0148		NM_018281	hypothetical protein FLJ10948
203955_at	KIAA0649	I	0.0150		NM_014811	KIAA0649
219527_at	FLJ20605	I	0.0152		NM_017898	hypothetical protein FLJ20605
213624_at	SMPDL3A	I	0.0157		NM_006714	sphingomyelin phosphodiesterase, acid-like 3A
209702_at	FTO	I	0.0160			fatso
208414_s_at	HOXB3	I	0.0162		NM_002146	homeo box B3
209099_x_at	JAG1	I	0.0174	yes	NM_000214	jagged 1 (Alagille syndrome)
218829_s_at		I	0.0174			
216973_s_at	HOXB7	I	0.0174		NM_004502	homeo box B7
214290_s_at	HIST2H2AA	I	0.0174		NM_003516	histone 2, H2aa
202271_at	KIAA0483	I	0.0174		NM_015176	KIAA0483 protein
209410_s_at	GRB10	I	0.0174		NM_005311	growth factor receptor-bound protein 10
210239_at	IRX5	I	0.0174		NM_005853	iroquois homeobox protein 5
219062_s_at	ZCCHC2	I	0.0184		NM_017742	zinc finger, CCHC domain containing 2
210327_s_at	AGXT	I	0.0206		NM_000030	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
212089_at	LMNA	I	0.0218		NM_170708	lamin A/C
211732_x_at	HNMT	I	0.0226		NM_006895	histamine N-methyltransferase
204082_at	PBX3	I	0.0231	yes	NM_006195	pre-B-cell leukemia transcription factor 3
203305_at	F13A1	I	0.0231		NM_000129	coagulation factor XIII, A1 polypeptide
217730_at	PP1201	I	0.0231		NM_022152	PP1201 protein
209706_at	NKX3-1	I	0.0235		NM_006167	NK3 transcription factor related, locus 1 (Drosophila)
203411_s_at	LMNA	I	0.0235		NM_170708	lamin A/C
208527_x_at		I	0.0235		NM_003523	histone 1, H2be
204112_s_at	HNMT	I	0.0235		NM_006895	histamine N-methyltransferase
208791_at	CLU	I	0.0235		NM_203339	clusterin 
201389_at	ITGA5	I	0.0235		NM_002205	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
213150_at	HOXA10	I	0.0237	yes	NM_018951	homeo box A10
212439_at	GMPPB	I	0.0237		NM_021971	GDP-mannose pyrophosphorylase B
205190_at	PLS1	I	0.0239		NM_002670	plastin 1 (I isoform)
208767_s_at	LAPTM4B	I	0.0243		NM_018407	lysosomal associated protein transmembrane 4 beta
201828_x_at	CXX1	I	0.0243		NM_003928	CAAX box 1
219330_at		I	0.0243		NM_024062	hypothetical protein MGC5338
206067_s_at	WT1	I	0.0243		NM_024426	Wilms tumor 1
201206_s_at	RRBP1	I	0.0251		NM_004587	ribosome binding protein 1 homolog 180kDa (dog)
213800_at	HF1	I	0.0263		NM_000186	H factor 1 (complement)
206710_s_at	EPB41L3	I	0.0265		NM_012307	erythrocyte membrane protein band 4.1-like 3
202708_s_at	HIST2H2BE	I	0.0275		NM_003528	histone 2, H2be
219511_s_at	SNCAIP	I	0.0275		NM_005460	synuclein, alpha interacting protein (synphilin)
212086_x_at	LMNA	I	0.0279		NM_170708	lamin A/C
213147_at	HOXA10	I	0.0291	yes	NM_018951	homeo box A10
216262_s_at	TGIF2	I	0.0292			Disks large-associated protein 4 (DAP-4) 
214455_at	HIST1H2BC	I	0.0293		NM_003526	histone 1, H2bc
217948_at	DKFZP564B147	I	0.0296		NM_015582	DKFZP564B147 protein
205229_s_at	COCH	I	0.0306		NM_004086	coagulation factor C homolog, cochlin (Limulus polyphemus)
216268_s_at	JAG1	I	0.0324	yes	NM_000214	jagged 1 (Alagille syndrome)
204779_s_at	HOXB7	I	0.0327		NM_004502	homeo box B7
206157_at	PTX3	I	0.0330		NM_002852	pentaxin-related gene, rapidly induced by IL-1 beta
204030_s_at	SCHIP1	I	0.0331		NM_014575	schwannomin interacting protein 1
215883_at	CTNNA1	I	0.0331	yes	NM_001903	catenin (cadherin-associated protein), alpha 1, 102kDa
219602_s_at	FLJ23403	I	0.0340		NM_022068	hypothetical protein FLJ23403
214033_at	ABCC6	I	0.0340		NM_001171	ATP-binding cassette, sub-family C (CFTR/MRP), member 6
213198_at	ACVR1B	I	0.0345		NM_020328	activin A receptor, type IB
217849_s_at	CDC42BPB	I	0.0348		NM_006035	CDC42 binding protein kinase beta (DMPK-like)
202252_at	RAB13	I	0.0348		NM_002870	RAB13, member RAS oncogene family
213823_at	HOXA11	I	0.0350		NM_005523	homeo box A11
204496_at	STRN3	I	0.0350		NM_014574	striatin, calmodulin binding protein 3
208792_s_at	CLU	I	0.0354		NM_203339	clusterin 
208862_s_at	CTNND1	I	0.0356		NM_001331	catenin (cadherin-associated protein), delta 1
39248_at	AQP3	I	0.0359		NM_004925	aquaporin 3
218971_s_at	HSPC049	I	0.0359		NM_014149	HSPC049 protein
38149_at	KIAA0053	I	0.0359		NM_014882	KIAA0053 gene product
218404_at	SNX10	I	0.0370		NM_013322	sorting nexin 10
201427_s_at	SEPP1	I	0.0375		NM_005410	selenoprotein P, plasma, 1
201744_s_at	LUM	I	0.0375		NM_002345	lumican
202893_at	UNC13B	I	0.0378		NM_006377	unc-13 homolog B (C. elegans)
213278_at	MTMR9	I	0.0379		NM_015458	myotubularin related protein 9
221754_s_at	CORO1B	I	0.0383		NM_020441	coronin, actin binding protein, 1B
221750_at		I	0.0383		NM_002130	MRNA; cDNA DKFZp564P142 (from clone DKFZp564P142)
208029_s_at	LAPTM4B	I	0.0391		NM_018407	lysosomal associated protein transmembrane 4 beta
202554_s_at	GSTM3	I	0.0392		NM_000849	glutathione S-transferase M3 (brain)
206134_at	ADAMDEC1	I	0.0392		NM_014479	ADAM-like, decysin 1
221060_s_at	TLR4	I	0.0392		NM_138554	toll-like receptor 4
207949_s_at	ICA1	I	0.0392		NM_022308	islet cell autoantigen 1, 69kDa
209146_at	SC4MOL	I	0.0392		NM_006745	sterol-C4-methyl oxidase-like
214020_x_at	ITGB5	I	0.0393		NM_002213	integrin, beta 5
41329_at	PACE-1	I	0.0394		NM_181093	ezrin-binding partner PACE-1
201089_at	ATP6V1B2	I	0.0394		NM_001693	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 2
208579_x_at	H2BFS	I	0.0396		NM_017445	H2B histone family, member S
219304_s_at	PDGFD	I	0.0401		NM_033135	platelet derived growth factor D
212500_at	C10orf22	I	0.0411		NM_032804	chromosome 10 open reading frame 22
203706_s_at	FZD7	I	0.0412		NM_003507	frizzled homolog 7 (Drosophila)
202718_at	IGFBP2	I	0.0415		NM_000597	insulin-like growth factor binding protein 2, 36kDa
216264_s_at	LAMB2	I	0.0417		NM_002292	laminin, beta 2 (laminin S)
209135_at	ASPH	I	0.0420		NM_032468	aspartate beta-hydroxylase
212606_at	WDFY3	I	0.0420		NM_178585	WD repeat and FYVE domain containing 3
212685_s_at	TBL2	I	0.0420		NM_032988	transducin (beta)-like 2
220748_s_at	ZNF580	I	0.0423		NM_016202	zinc finger protein 580
220798_x_at	FLJ11535	I	0.0424		NM_024888	hypothetical protein FLJ11535
203846_at	TRIM32	I	0.0427		NM_012210	tripartite motif-containing 32
209098_s_at	JAG1	I	0.0434	yes	NM_000214	jagged 1 (Alagille syndrome)
216417_x_at	HOXB9	I	0.0466	yes		Homeobox protein Hox-B9 (Hox-2E) (Hox-2.5) (Fragment).
219344_at	SLC29A3	I	0.0466		NM_018344	solute carrier family 29 (nucleoside transporters), member 3
201681_s_at	DLG5	I	0.0466		NM_004747	discs, large homolog 5 (Drosophila)
218562_s_at	FLJ10747	I	0.0470		NM_018202	hypothetical protein FLJ10747
207111_at	EMR1	I	0.0471		NM_001974	egf-like module containing, mucin-like, hormone receptor-like 1
221959_at	MGC39325	I	0.0471		NM_147189	hypothetical protein MGC39325
212322_at	SGPL1	I	0.0477		NM_003901	sphingosine-1-phosphate lyase 1
210999_s_at	GRB10	I	0.0484		NM_005311	growth factor receptor-bound protein 10
207339_s_at	LTB	I	0.0485		NM_009588	lymphotoxin beta (TNF superfamily, member 3)
212803_at	STAT6	I	0.0485		NM_003153	signal transducer and activator of transcription 6, interleukin-4 induced
218909_at	RPS6KC1	I	0.0494		NM_012424	ribosomal protein S6 kinase, 52kDa, polypeptide 1
  						
						
