Probe set	Gene Name	Gene symbol	Fold change rC2/rC1	p value
211762_s_at	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2	4.2	9.50E-05
202095_s_at	baculoviral IAP repeat-containing 5 (survivin)	BIRC5	4.2	4.55E-05
210559_s_at	cell division cycle 2, G1 to S and G2 to M	CDC2	4.1	0.0001112
206102_at	DNA replication complex GINS protein PSF1	PSF1	4.1	0.0001206
208808_s_at	high-mobility group box 2	HMGB2	4.1	0.000616
204641_at	NIMA (never in mitosis gene a)-related kinase 2	NEK2	4.1	5.01E-05
203213_at	Cell division cycle 2, G1 to S and G2 to M	CDC2	4.1	7.17E-05
211470_s_at	sulfotransferase family, cytosolic, 1C, member 1	SULT1C1	4.1	6.22E-05
221586_s_at	E2F transcription factor 5, p130-binding	E2F5	3.9	4.00E-07
202779_s_at	ubiquitin-conjugating enzyme E2S	UBE2S	3.8	1.68E-05
203362_s_at	MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	3.8	3.74E-05
204170_s_at	CDC28 protein kinase regulatory subunit 2	CKS2	3.7	0.0001602
210677_at	sterol O-acyltransferase 2	SOAT2	3.7	0.0001146
203755_at	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B	3.7	4.97E-05
217294_s_at	enolase 1, (alpha)	ENO1	3.7	6.84E-05
206857_s_at	FK506 binding protein 1B, 12.6 kDa	FKBP1B	3.7	0.0009862
201088_at	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2	3.6	0.0006219
214382_at	unc-93 homolog A (C. elegans)	UNC93A	3.6	0.0005662
222036_s_at	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	3.5	3.35E-05
222037_at	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	3.5	1.10E-06
202954_at	ubiquitin-conjugating enzyme E2C	UBE2C	3.5	3.78E-05
205343_at	sulfotransferase family, cytosolic, 1C, member 1	SULT1C1	3.4	7.20E-06
213562_s_at	squalene epoxidase	SQLE	3.4	0.000461
209642_at	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	3.4	2.00E-07
208691_at	transferrin receptor (p90, CD71) /// transferrin receptor (p90, CD71)	TFRC	3.4	0.0005755
215294_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA1	3.4	9.11E-05
218585_s_at	denticleless homolog (Drosophila)	DTL	3.4	0.000438
218662_s_at	chromosome condensation protein G	HCAP-G	3.4	3.78E-05
202075_s_at	phospholipid transfer protein	PLTP	3.4	0.0005415
207165_at	hyaluronan-mediated motility receptor (RHAMM)	HMMR	3.3	1.25E-05
212966_at	hypermethylated in cancer 2	HIC2	3.3	3.90E-06
218039_at	nucleolar and spindle associated protein 1	NUSAP1	3.3	0.0005337
218663_at	chromosome condensation protein G	HCAP-G	3.3	8.40E-06
205865_at	AT rich interactive domain 3A (BRIGHT- like)	ARID3A	3.3	7.28E-05
221974_at	Small nuclear ribonucleoprotein polypeptide N	SNRPN	3.3	5.00E-06
209464_at	aurora kinase B	AURKB	3.2	7.10E-05
213226_at	Cyclin A2	CCNA2	3.2	0.00032
203418_at	cyclin A2	CCNA2	3.2	4.25E-05
202705_at	cyclin B2	CCNB2	3.2	0.0005426
212964_at	hypermethylated in cancer 2	HIC2	3.2	3.36E-05
207332_s_at	transferrin receptor (p90, CD71)	TFRC	3.2	0.0005444
208694_at	protein kinase, DNA-activated, catalytic polypeptide	PRKDC	3.1	6.19E-05
204822_at	TTK protein kinase	TTK	3.1	2.60E-06
218726_at	hypothetical protein DKFZp762E1312	DKFZp762E1312	3.1	7.60E-06
200750_s_at	RAN, member RAS oncogene family	RAN	3.1	1.56E-05
212563_at	block of proliferation 1	BOP1	3.1	2.30E-06
218355_at	kinesin family member 4A	KIF4A	3.1	1.93E-05
213793_s_at	homer homolog 1 (Drosophila)	HOMER1	3.1	0.0007764
201930_at	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	MCM6	3.1	0.0001154
210543_s_at	protein kinase, DNA-activated, catalytic polypeptide	PRKDC	3.1	1.86E-05
200658_s_at	prohibitin	PHB	3.0	5.30E-06
218096_at	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	AGPAT5	3.0	5.19E-05
212977_at	chemokine orphan receptor 1	CMKOR1	2.9	0.000159
204092_s_at	serine/threonine kinase 6	STK6	2.9	0.0004099
208677_s_at	basigin (OK blood group)	BSG	2.9	2.42E-05
200875_s_at	nucleolar protein 5A (56kDa with KKE/D repeat)	NOL5A	2.9	7.00E-06
214347_s_at	dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC	2.9	0.0002897
212022_s_at	antigen identified by monoclonal antibody Ki-67	MKI67	2.8	0.0001066
211953_s_at	RAN binding protein 5	RANBP5	2.8	0.0001003
212021_s_at	antigen identified by monoclonal antibody Ki-67	MKI67	2.8	1.26E-05
209421_at	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	MSH2	2.8	3.20E-06
205401_at	alkylglycerone phosphate synthase	AGPS	2.8	0.0001791
205167_s_at	cell division cycle 25C	CDC25C	2.8	1.40E-06
204962_s_at	centromere protein A, 17kDa	CENPA	2.8	1.50E-06
202200_s_at	SFRS protein kinase 1	SRPK1	2.8	1.75E-05
219306_at	kinesin family member 15	KIF15	2.8	1.90E-05
218561_s_at	chromosome 6 open reading frame 149	C6orf149	2.7	9.40E-06
208758_at	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC	2.7	4.39E-05
213447_at	imprinted in Prader-Willi syndrome	IPW	2.7	1.90E-06
218073_s_at	transmembrane protein 48	TMEM48	2.7	2.30E-06
202107_s_at	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	MCM2	2.7	0.0001368
218829_s_at	chromodomain helicase DNA binding protein 7	CHD7	2.6	7.40E-06
219293_s_at	GTP-binding protein PTD004	PTD004	2.6	2.36E-05
201231_s_at	enolase 1, (alpha)	ENO1	2.6	6.97E-05
201327_s_at	chaperonin containing TCP1, subunit 6A (zeta 1)	CCT6A	2.6	3.50E-06
221580_s_at	hypothetical protein MGC5306	MGC5306	2.6	0.0001121
204244_s_at	activator of S phase kinase	ASK	2.6	2.68E-05
201946_s_at	chaperonin containing TCP1, subunit 2 (beta)	CCT2	2.6	0.0004895
200903_s_at	S-adenosylhomocysteine hydrolase	AHCY	2.6	0.0001052
211450_s_at	mutS homolog 6 (E. coli)	MSH6	2.6	0.0002316
201892_s_at	IMP (inosine monophosphate) dehydrogenase 2	IMPDH2	2.6	3.70E-06
209709_s_at	hyaluronan-mediated motility receptor (RHAMM)	HMMR	2.6	7.31E-05
214845_s_at	calumenin	CALU	2.6	0.0004047
203874_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	SMARCA1	2.6	0.0006022
211954_s_at	RAN binding protein 5	RANBP5	2.6	5.62E-05
202690_s_at	small nuclear ribonucleoprotein D1 polypeptide 16kDa	SNRPD1	2.6	0.0002768
204444_at	kinesin family member 11	KIF11	2.6	2.17E-05
209757_s_at	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	MYCN	2.5	0.000243
202240_at	polo-like kinase 1 (Drosophila)	PLK1	2.5	7.90E-06
201478_s_at	dyskeratosis congenita 1, dyskerin	DKC1	2.5	1.68E-05
208931_s_at	interleukin enhancer binding factor 3, 90kDa	ILF3	2.5	1.39E-05
201664_at	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	SMC4L1	2.5	1.83E-05
212141_at	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	2.5	1.20E-05
201774_s_at	chromosome condensation-related SMC-associated protein 1	CNAP1	2.5	4.40E-06
218984_at	hypothetical protein FLJ20485	FLJ20485	2.5	3.18E-05
200806_s_at	heat shock 60kDa protein 1 (chaperonin)	HSPD1	2.5	5.82E-05
201714_at	tubulin, gamma 1	TUBG1	2.5	5.18E-05
204521_at	protein predicted by clone 23733	HSU79274	2.5	0.000755
204240_s_at	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	SMC2L1	2.5	2.89E-05
209408_at	kinesin family member 2C	KIF2C	2.5	0.0003566
210983_s_at	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	2.5	4.30E-06
203867_s_at	notchless homolog 1 (Drosophila)	NLE1	2.5	2.00E-07
206771_at	uroplakin 3A	UPK3A	2.5	0.0005725
206074_s_at	high mobility group AT-hook 1	HMGA1	2.5	0.0001016
212018_s_at	ribosomal L1 domain containing 1	RSL1D1	2.4	5.83E-05
217809_at	basic leucine zipper and W2 domains 2	BZW2	2.4	5.40E-06
200749_at	RAN, member RAS oncogene family /// similar to Ras-related nuclear protein	RAN /// LOC391717	2.4	0.0003056
201662_s_at	acyl-CoA synthetase long-chain family member 3	ACSL3	2.4	0.0001449
204162_at	kinetochore associated 2	KNTC2	2.4	2.20E-06
218027_at	mitochondrial ribosomal protein L15	MRPL15	2.4	2.71E-05
214214_s_at	complement component 1, q subcomponent binding protein	C1QBP	2.4	0.0005758
205763_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	DDX18	2.4	3.63E-05
211955_at	RAN binding protein 5	RANBP5	2.4	2.93E-05
217791_s_at	aldehyde dehydrogenase 18 family, member A1	ALDH18A1	2.4	4.06E-05
201624_at	aspartyl-tRNA synthetase	DARS	2.4	0.0003227
205226_at	platelet-derived growth factor receptor-like	PDGFRL	2.4	0.0007199
210337_s_at	ATP citrate lyase	ACLY	2.4	0.0002079
213129_s_at	glycine cleavage system protein H (aminomethyl carrier)	GCSH	2.4	0.000467
204146_at	RAD51 associated protein 1	RAD51AP1	2.4	0.0001512
201663_s_at	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	SMC4L1	2.4	2.50E-06
218816_at	leucine rich repeat containing 1	LRRC1	2.4	4.79E-05
200638_s_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	2.4	0.0003907
206574_s_at	protein tyrosine phosphatase type IVA, member 3	PTP4A3	2.4	0.0006259
201111_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	2.4	0.000139
202558_s_at	stress 70 protein chaperone, microsome-associated, 60kDa	STCH	2.4	0.0003142
213170_at	glutathione peroxidase 7	GPX7	2.4	0.0008449
222039_at	hypothetical protein LOC146909	LOC146909	2.3	0.0001518
204023_at	replication factor C (activator 1) 4, 37kDa	RFC4	2.3	0.0003448
201479_at	dyskeratosis congenita 1, dyskerin	DKC1	2.3	3.20E-06
200922_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	KDELR1	2.3	0.0004133
214359_s_at	heat shock 90kDa protein 1, beta	HSPCB	2.3	1.68E-05
214949_at			2.3	0.0002191
200705_s_at	eukaryotic translation elongation factor 1 beta 2	EEF1B2	2.3	3.25E-05
218536_at	MRS2-like, magnesium homeostasis factor (S. cerevisiae)	MRS2L	2.3	0.0008211
221685_s_at	hypothetical protein FLJ20364	FLJ20364	2.3	5.70E-06
201577_at	non-metastatic cells 1, protein (NM23A) expressed in	NME1	2.3	0.0002222
213302_at	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	PFAS	2.3	0.0001895
219787_s_at	epithelial cell transforming sequence 2 oncogene	ECT2	2.3	1.57E-05
203432_at	thymopoietin	TMPO	2.3	7.09E-05
201629_s_at	acid phosphatase 1, soluble	ACP1	2.3	0.0002712
204173_at	myosin light chain 1 slow a	MLC1SA	2.3	0.0007312
203145_at	sperm associated antigen 5	SPAG5	2.3	0.0003542
219192_at	ubiquitin associated protein 2	UBAP2	2.3	0.0003535
216305_s_at	chromosome 2 open reading frame 3	C2orf3	2.3	0.000374
201128_s_at	ATP citrate lyase	ACLY	2.3	0.0006958
221923_s_at	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	NPM1	2.3	0.000297
208910_s_at	complement component 1, q subcomponent binding protein	C1QBP	2.3	5.30E-05
203968_s_at	CDC6 cell division cycle 6 homolog (S. cerevisiae)	CDC6	2.3	0.0001079
208794_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	2.3	0.0002091
201476_s_at	ribonucleotide reductase M1 polypeptide	RRM1	2.3	0.0002811
202990_at	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	PYGL	2.3	0.000269
219978_s_at	nucleolar and spindle associated protein 1	NUSAP1	2.3	0.0002363
213599_at	Opa interacting protein 5	OIP5	2.2	0.0005046
218092_s_at	HIV-1 Rev binding protein	HRB	2.2	0.000173
218875_s_at	F-box protein 5	FBXO5	2.2	1.45E-05
221782_at	DnaJ (Hsp40) homolog, subfamily C, member 10	DNAJC10	2.2	0.0004776
218512_at	WD repeat domain 12	WDR12	2.2	2.16E-05
210097_s_at	nucleolar protein 7, 27kDa	NOL7	2.2	8.72E-05
201635_s_at	fragile X mental retardation, autosomal homolog 1	FXR1	2.2	0.0005961
217755_at	hematological and neurological expressed 1	HN1	2.2	0.0008529
36545_s_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	2.2	2.98E-05
220865_s_at	trans-prenyltransferase	TPRT	2.2	8.51E-05
200036_s_at	ribosomal protein L10a /// ribosomal protein L10a	RPL10A	2.2	7.00E-07
212250_at	metadherin	MTDH	2.2	0.0006473
204744_s_at	isoleucine-tRNA synthetase	IARS	2.2	0.0002252
201161_s_at	cold shock domain protein A	CSDA	2.2	0.0005145
206364_at	kinesin family member 14	KIF14	2.2	1.50E-06
209471_s_at	farnesyltransferase, CAAX box, alpha	FNTA	2.2	0.0007084
204905_s_at	eukaryotic translation elongation factor 1 epsilon 1	EEF1E1	2.2	0.000343
211501_s_at	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	EIF3S9	2.2	2.30E-06
201797_s_at	valyl-tRNA synthetase	VARS	2.2	0.0001033
219555_s_at	uncharacterized bone marrow protein BM039	BM039	2.2	9.93E-05
201923_at	peroxiredoxin 4	PRDX4	2.2	0.0001441
201075_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	SMARCC1	2.2	8.78E-05
219249_s_at	FK506 binding protein 10, 65 kDa	FKBP10	2.2	6.39E-05
209434_s_at	phosphoribosyl pyrophosphate amidotransferase	PPAT	2.2	6.78E-05
201623_s_at	aspartyl-tRNA synthetase	DARS	2.2	0.0002634
218343_s_at	general transcription factor IIIC, polypeptide 3, 102kDa	GTF3C3	2.2	8.35E-05
201268_at	non-metastatic cells 2, protein (NM23B) expressed in	NME2	2.2	3.53E-05
201196_s_at	adenosylmethionine decarboxylase 1	AMD1	2.2	0.0007014
212168_at	RNA binding motif protein 12	RBM12	2.2	4.27E-05
33132_at	cleavage and polyadenylation specific factor 1, 160kDa	CPSF1	2.2	2.00E-07
201477_s_at	ribonucleotide reductase M1 polypeptide	RRM1	2.2	0.0007051
220147_s_at	family with sequence similarity 60, member A	FAM60A	2.2	0.0002422
206499_s_at	regulator of chromosome condensation 1	RCC1	2.2	0.0007157
200712_s_at	microtubule-associated protein, RP/EB family, member 1	MAPRE1	2.2	0.0009529
213617_s_at	chromosome 18 open reading frame 10	C18orf10	2.2	0.0001004
201138_s_at	Sjogren syndrome antigen B (autoantigen La)	SSB	2.1	0.0006088
205194_at	phosphoserine phosphatase	PSPH	2.1	0.0003516
202469_s_at	cleavage and polyadenylation specific factor 6, 68kDa	CPSF6	2.1	0.0003564
212020_s_at	antigen identified by monoclonal antibody Ki-67	MKI67	2.1	0.00051
203023_at	hypothetical protein HSPC111	HSPC111	2.1	5.07E-05
212247_at	nucleoporin 205kDa	NUP205	2.1	6.36E-05
211623_s_at	fibrillarin /// fibrillarin	FBL	2.1	1.65E-05
209832_s_at	DNA replication factor	CDT1	2.1	1.29E-05
214042_s_at	ribosomal protein L22	RPL22	2.1	0.0002666
201833_at	histone deacetylase 2	HDAC2	2.1	4.08E-05
202144_s_at	adenylosuccinate lyase	ADSL	2.1	6.60E-05
211971_s_at	leucine-rich PPR-motif containing	LRPPRC	2.1	5.31E-05
203664_s_at	polymerase (RNA) II (DNA directed) polypeptide D	POLR2D	2.1	0.000121
204078_at	synaptonemal complex protein SC65	SC65	2.1	2.19E-05
201064_s_at	poly(A) binding protein, cytoplasmic 4 (inducible form)	PABPC4	2.1	0.0005422
209433_s_at	phosphoribosyl pyrophosphate amidotransferase	PPAT	2.1	0.0004143
204033_at	thyroid hormone receptor interactor 13	TRIP13	2.1	0.0003713
201112_s_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	2.1	0.000185
203358_s_at	enhancer of zeste homolog 2 (Drosophila)	EZH2	2.1	0.0001668
205895_s_at	nucleolar and coiled-body phosphoprotein 1	NOLC1	2.1	4.63E-05
202179_at	bleomycin hydrolase	BLMH	2.1	1.52E-05
201433_s_at	phosphatidylserine synthase 1	PTDSS1	2.1	0.0001638
203582_s_at	RAB4A, member RAS oncogene family	RAB4A	2.1	0.0006817
201555_at	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	MCM3	2.1	0.0002619
222071_s_at	solute carrier organic anion transporter family, member 4C1	SLCO4C1	2.1	0.0003713
201947_s_at	chaperonin containing TCP1, subunit 2 (beta)	CCT2	2.1	0.0001259
213720_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	2.1	4.43E-05
218594_at	HEAT repeat containing 1	HEATR1	2.1	0.0007825
212282_at	hypothetical protein MAC30	MAC30	2.1	0.0001336
212281_s_at	hypothetical protein MAC30	MAC30	2.1	0.0002144
211951_at	nucleolar and coiled-body phosphoprotein 1	NOLC1	2.1	4.48E-05
215716_s_at	ATPase, Ca++ transporting, plasma membrane 1	ATP2B1	2.1	3.65E-05
217805_at	interleukin enhancer binding factor 3, 90kDa	ILF3	2.1	3.70E-06
200956_s_at	structure specific recognition protein 1	SSRP1	2.1	1.60E-05
214097_at	ribosomal protein S21	RPS21	2.1	2.68E-05
202737_s_at	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM4	2.1	0.0004699
211615_s_at	leucine-rich PPR-motif containing /// leucine-rich PPR-motif containing	LRPPRC	2.1	9.90E-05
213088_s_at	DnaJ (Hsp40) homolog, subfamily C, member 9	DNAJC9	2.1	0.0002019
202396_at	transcription elongation regulator 1	TCERG1	2.1	4.71E-05
218238_at	GTP binding protein 4	GTPBP4	2.1	1.40E-05
201197_at	adenosylmethionine decarboxylase 1	AMD1	2.1	0.0009941
200662_s_at	translocase of outer mitochondrial membrane 20 homolog (yeast)	TOMM20	2.1	0.0006761
218695_at	exosome component 4	EXOSC4	2.1	0.0002856
202754_at	R3H domain containing 1	R3HDM1	2.1	0.0002584
212871_at	mitogen-activated protein kinase-activated protein kinase 5	MAPKAPK5	2.1	0.0003319
202736_s_at	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM4	2.0	6.84E-05
218715_at	chromosome 17 open reading frame 40	C17orf40	2.0	1.13E-05
213427_at	ribonuclease P 40kDa subunit	RPP40	2.0	0.0001832
217850_at	guanine nucleotide binding protein-like 3 (nucleolar)	GNL3	2.0	5.17E-05
208803_s_at	signal recognition particle 72kDa	SRP72	2.0	5.35E-05
201639_s_at	cleavage and polyadenylation specific factor 1, 160kDa	CPSF1	2.0	5.00E-06
203022_at	ribonuclease H2, large subunit	RNASEH2A	2.0	1.49E-05
217879_at	cell division cycle 27	CDC27	2.0	0.0003415
206445_s_at	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	HRMT1L2	2.0	0.0001396
208459_s_at	exportin 7	XPO7	2.0	0.0005769
200910_at	chaperonin containing TCP1, subunit 3 (gamma)	CCT3	2.0	0.000408
209180_at	Rab geranylgeranyltransferase, beta subunit	RABGGTB	2.0	0.0002881
221521_s_at	DNA replication complex GINS protein PSF2	Pfs2	2.0	0.0003858
217871_s_at	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	MIF	2.0	0.0002277
208771_s_at	leukotriene A4 hydrolase	LTA4H	2.0	0.000191
200610_s_at	nucleolin	NCL	2.0	1.30E-06
218187_s_at	chromosome 8 open reading frame 33	C8orf33	2.0	0.0007978
203270_at	deoxythymidylate kinase (thymidylate kinase)	DTYMK	2.0	8.15E-05
218305_at	importin 4	IPO4	2.0	2.00E-07
206316_s_at	kinetochore associated 1	KNTC1	2.0	0.0002703
209172_s_at	centromere protein F, 350/400ka (mitosin) /// centromere protein F, 350/400ka (mitosin)	CENPF	2.0	0.0001548
218351_at	COMM domain containing 8	COMMD8	2.0	0.0008899
213677_s_at	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	PMS1	2.0	5.81E-05
214908_s_at	transformation/transcription domain-associated protein	TRRAP	2.0	0.0004622
203721_s_at	WD repeat domain 50	WDR50	2.0	0.0002928
220651_s_at	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	MCM10	2.0	3.75E-05
211783_s_at	metastasis associated 1 /// metastasis associated 1	MTA1	2.0	0.000336
201697_s_at	DNA (cytosine-5-)-methyltransferase 1	DNMT1	2.0	0.0007085
208726_s_at	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	EIF2S2	2.0	0.0003091
202246_s_at	cyclin-dependent kinase 4	CDK4	2.0	9.98E-05
202233_s_at	ubiquinol-cytochrome c reductase hinge protein	UQCRH	2.0	0.0007402
209449_at	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM2	2.0	0.0002648
211952_at	RAN binding protein 5	RANBP5	2.0	6.47E-05
210766_s_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	2.0	3.51E-05
200052_s_at	interleukin enhancer binding factor 2, 45kDa /// interleukin enhancer binding factor 2, 45kDa	ILF2	2.0	8.29E-05
200726_at	protein phosphatase 1, catalytic subunit, gamma isoform	PPP1CC	2.0	0.0001166
219161_s_at	chemokine-like factor	CKLF	2.0	0.0005705
215714_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	2.0	7.57E-05
212544_at	zinc finger, HIT type 3	ZNHIT3	2.0	0.0006866
213007_at	hypothetical protein FLJ10719	FLJ10719	2.0	0.0001757
219060_at	chromosome 8 open reading frame 32	C8orf32	2.0	0.000669
218503_at	KIAA1797	KIAA1797	2.0	5.19E-05
203285_s_at	heparan sulfate 2-O-sulfotransferase 1	HS2ST1	2.0	0.0005257
201592_at	eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa	EIF3S3	2.0	1.20E-06
211519_s_at	kinesin family member 2C	KIF2C	2.0	7.41E-05
201637_s_at	fragile X mental retardation, autosomal homolog 1	FXR1	2.0	1.48E-05
200640_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	2.0	0.000583
202483_s_at	RAN binding protein 1	RANBP1	2.0	5.90E-06
200074_s_at	ribosomal protein L14 /// ribosomal protein L14-like	RPL14 /// RPL14L	2.0	1.91E-05
212442_s_at	LAG1 longevity assurance homolog 6 (S. cerevisiae)	LASS6	2.0	0.0008815
213571_s_at	eukaryotic translation initiation factor 4E member 2	EIF4E2	2.0	0.0003329
219762_s_at	ribosomal protein L36	RPL36	2.0	6.98E-05
219004_s_at	chromosome 21 open reading frame 45	C21orf45	2.0	0.0002925
200755_s_at	calumenin	CALU	2.0	8.65E-05
212930_at	ATPase, Ca++ transporting, plasma membrane 1	ATP2B1	2.0	0.0008724
211787_s_at	eukaryotic translation initiation factor 4A, isoform 1 /// eukaryotic translation initiation factor 4A, isoform 1	EIF4A1	2.0	0.0004144
213175_s_at	small nuclear ribonucleoprotein polypeptides B and B1	SNRPB	2.0	9.67E-05
212058_at	U2-associated SR140 protein	SR140	2.0	0.0004105
201586_s_at	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	SFPQ	1.9	3.28E-05
200023_s_at	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	EIF3S5	1.9	0.0002588
200936_at	ribosomal protein L8	RPL8	1.9	7.00E-06
204695_at	cell division cycle 25A	CDC25A	1.9	0.00025
217786_at	SKB1 homolog (S. pombe)	SKB1	1.9	6.20E-06
200751_s_at	heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	1.9	0.0001629
203856_at	vaccinia related kinase 1	VRK1	1.9	0.0008872
201139_s_at	Sjogren syndrome antigen B (autoantigen La)	SSB	1.9	5.65E-05
203359_s_at	c-myc binding protein	MYCBP	1.9	6.42E-05
215947_s_at	hypothetical protein FLJ14668	FLJ14668	1.9	0.000327
200877_at	chaperonin containing TCP1, subunit 4 (delta)	CCT4	1.9	0.0005244
218156_s_at	hypothetical protein FLJ10534	FLJ10534	1.9	0.000318
221514_at	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	UTP14A	1.9	0.0003614
213616_at	Chromosome 18 open reading frame 10	C18orf10	1.9	0.0003485
205393_s_at	CHK1 checkpoint homolog (S. pombe)	CHEK1	1.9	0.0002745
200812_at	chaperonin containing TCP1, subunit 7 (eta)	CCT7	1.9	0.0004765
