SYMBOL	DESCRIPTION	LOCUS	AFFYMETRIX ID	ANNOTATION	FOLD CHANGE	R -	S -	Expression
ITGB2	integrin, ?2/CD18/mac-1 ? subunit	21q22.3	M15395_at	ADHESION/EXTRACELLULAR MATRIX	0.04	50	1137.7	Underexpressed in KCL22-r
PLOD	procollagen-lysine, 2-oxoglutarate	1p36.3-p36.2	L06419_at	COLLAGEN CROSS-LINKING	0.08	142.5	1830.4	Underexpressed in KCL22-r
AP2M1	5-dioxygenase adaptor-related protein	3q28	D63475_at	VESICLE FUNCTION	0.1	270	2735.9	Underexpressed in KCL22-r
BTF	complex 2, mu 1 subunit bcl-2-associated transcription factor	6q22-q23	D79986_at	TRANSCRIPTIONAL REGULATION	0.11	184.7	1722.8	Underexpressed in KCL22-r
GAL	galanin	11q13.3-	M77140_at	UNKNOWN	0.12	222.5	1917	Underexpressed in KCL22-r
GYS1	glycogen synthase 1 (muscle)	q13.5 19q13.3	J04501_at	METABOLISM	0.14	384.9	2833.4	Underexpressed in KCL22-r
NAZC	azurocidin	19p13.3	M96326_rna1_at	PROTEASE	0.16	198.9	1269.7	Underexpressed in KCL22-r
KIAA0098	D43950 KIAA0098 gene partial cds	5p	D43950_at	UNKNOWN	0.18	480.1	2599.5	Underexpressed in KCL22-r
CCNI	cyclin I	4q13.3	D50310_at	CELL CYCLE	0.23	969.5	4132.1	Underexpressed in KCL22-r
ESD	esterase D	13q14.11	D28416_at	METABOLISM	0.25	683.7	2723.7	Underexpressed in KCL22-r
RPS20	Ribosomal Protein S20	5q13-q23	HG1800-HT1823 _at	TRANSLATION	0.29	4105.7	14132.4	Underexpressed in KCL22-r
TRD	T-cell receptor ?locus	14q11.2	M21624_at	SIGNAL TRANSDUCTION	0.3	419.8	1420	Underexpressed in KCL22-r
BMI1	B lymphoma Mo-MLV insertion region	10p13	L13689_at	TRANSCRIPTIONAL REGULATION	0.3	983.8	3316.3	Underexpressed in KCL22-r
SLC2A5	solute carrier family 2 member 5	1p36.2	M55531_at	SOLUTE CARRIER	0.3	386.7	1301.8	Underexpressed in KCL22-r
PSMB7	proteasome (prosome, macropain) subunit, ?type, 7	9q34.11-q34.12	D38048_at	PROTEASE	0.31	629.8	2001.6	Underexpressed in KCL22-r
SRp20	pre-mRNA splicing factor SRp20		D28423_at	TRANSCRIPT SPLICING	0.32	1155.3	3635.9	Underexpressed in KCL22-r
GS3955	GS3955 protein	2p25.1	D87119_at	UNKNOWN	0.33	615.5	1865.5	Underexpressed in KCL22-r
