ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
229422_at	NRD1	Nardilysin (N-arginine dibasic convertase)	4898	0.902024
244677_at	PER1	Period homolog 1 (Drosophila)	5187	0.744275
226094_at	PIK3C2A	Phosphoinositide-3-kinase, class 2, alpha polypeptide	5286	0.69776
207002_s_at	PLAGL1	Data not found	5325	0.743025
209318_x_at	PLAGL1	Data not found	5325	0.664357
219024_at	PLEKHA1	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	59338	0.71952
210355_at	PTHLH	Parathyroid hormone-like hormone	5744	0.563975
212263_at	QKI	Quaking homolog, KH domain RNA binding (mouse)	9444	0.817475
235209_at	RPESP	Data not found	157869	1.596884
212044_s_at	RPL27A	Data not found	6157	1.715797
213350_at	RPS11	Ribosomal protein S11	6205	3.041742
202648_at	RPS19	Ribosomal protein S19	6223	2.395573
224250_s_at	SBP2	SECIS binding protein 2	79048	0.791377
222747_s_at	SCML1	Sex comb on midleg-like 1 (Drosophila)	6322	0.778998
1569594_a_at	SDCCAG1	Serologically defined colon cancer antigen 1	9147	0.866476
244287_at	SFRS12	Splicing factor, arginine/serine-rich 12	140890	0.86284
213850_s_at	SFRS2IP	Splicing factor, arginine/serine-rich 2, interacting protein	9169	0.827593
206108_s_at	SFRS6	Splicing factor, arginine/serine-rich 6	6431	0.557266
210057_at	SMG1	PI-3-kinase-related kinase SMG-1	23049	0.696075
203509_at	SORL1	Data not found	6653	0.825686
212560_at	SORL1	Data not found	6653	0.63674
222122_s_at	THOC2	THO complex 2	57187	0.859997
212994_at	THOC2	THO complex 2	57187	0.754915
202643_s_at	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	7128	0.590056
208901_s_at	TOP1	Data not found	7150	0.806438
208900_s_at	TOP1	Data not found	7150	0.858903
203147_s_at	TRIM14	Tripartite motif-containing 14	9830	1.044524
214814_at	YT521	Splicing factor YT521-B	91746	0.603679
222227_at	ZNF236	Zinc finger protein 236	7776	0.159227
1555673_at		Data not found		2.663031
241617_x_at		Data not found		1.688048
241464_s_at		Data not found		0.768515
217277_at		Data not found		2.419385
228315_at		Data not found		0.799047
233204_at		Data not found		0.688068
244075_at		Data not found		0.706139
201865_x_at		Data not found		0.859303
229958_at		Data not found	286088	0.710018
1557081_at		Data not found		0.595519
1560318_at		Data not found		0.550485
228180_at		Data not found		0.767066
1568408_x_at		Data not found		0.627317
1562416_at		Data not found		0.729897
232231_at		Data not found		1.362535
213637_at		Data not found		0.789951
