ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
215800_at	DUOX1	Dual oxidase 1	53905	0.862763
204794_at	DUSP2	Dual specificity phosphatase 2	1844	6.981979
226440_at	DUSP22	Dual specificity phosphatase 22	56940	0.733964
201325_s_at	EMP1	Epithelial membrane protein 1	2012	0.607025
91826_at	EPS8L1	EPS8-like 1	54869	0.720914
218779_x_at	EPS8L1	EPS8-like 1	54869	0.734326
226213_at	ERBB3	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	2065	0.681508
228131_at	ERCC1	Excision repair cross-complementing rodent repair deficiency, complementation group 1	2067	0.744781
202159_at	FARSL	Phenylalanine-tRNA synthetase-like, alpha subunit	2193	1.544652
226799_at	FGD6	FYVE, RhoGEF and PH domain containing 6	55785	0.557309
227271_at	FGF11	Fibroblast growth factor 11	2256	0.900069
226698_at	FLJ00007	FCH and double SH3 domains 1	89848	0.836111
218920_at	FLJ10404	Hypothetical protein FLJ10404	54540	0.789842
221712_s_at	FLJ10439	Hypothetical protein FLJ10439	54663	1.502938
203867_s_at	FLJ10458	Notchless gene homolog (Drosophila)	54475	1.780789
220353_at	FLJ10661	Data not found	55199	1.23397
221536_s_at	FLJ11301	Hypothetical protein FLJ11301	55341	1.418167
223200_s_at	FLJ11301	Hypothetical protein FLJ11301	55341	1.604417
219987_at	FLJ12684	Hypothetical protein FLJ12684	79584	2.111482
236635_at	FLJ14011	Zinc finger protein 667	63934	1.713995
210463_x_at	FLJ20244	Hypothetical protein FLJ20244	55621	2.187678
203701_s_at	FLJ20244	Hypothetical protein FLJ20244	55621	1.660667
203785_s_at	FLJ20399	Dihydrouridine synthase 2-like (SMM1, S. cerevisiae)	54920	2.545454
235026_at	FLJ32549	Hypothetical protein FLJ32549	144577	2.935904
236745_at	FLJ34512	Hypothetical protein FLJ34512	124093	2.171763
222333_at	FLJ36525	ALS2 C-terminal like	259173	0.718158
223035_s_at	FRSB	Phenylalanine-tRNA synthetase-like, beta subunit	10056	2.200725
225712_at	GEMIN5	Gem (nuclear organelle) associated protein 5	25929	2.746227
35436_at	GOLGA2	Golgi autoantigen, golgin subfamily a, 2	2801	0.691563
238689_at	GPR110	G protein-coupled receptor 110	266977	0.508153
205014_at	HBP17	Fibroblast growth factor binding protein 1	9982	0.667252
222305_at	HK2	Hexokinase 2	3099	2.021735
209971_x_at	HRI	Eukaryotic translation initiation factor 2-alpha kinase 1	27102	1.597855
1552334_at	HRIHFB2122	Tara-like protein	11078	0.593035
1552767_a_at	HS6ST2	Heparan sulfate 6-O-sulfotransferase 2	90161	2.182117
200800_s_at	HSPA1A	Heat shock 70kDa protein 1A	3303	3.145249
213418_at	HSPA6	Heat shock 70kDa protein 6 (HSP70B)	3310	12.03537
214011_s_at	HSPC111	Hypothetical protein HSPC111	51491	1.569332
200807_s_at	HSPD1	Heat shock 60kDa protein 1 (chaperonin)	3329	1.59802
212411_at	IMP4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	92856	1.412896
218305_at	IPO4	Importin 4	79711	1.646651
203882_at	ISGF3G	Interferon-stimulated transcription factor 3, gamma 48kDa	10379	0.674311
202138_x_at	JTV1	JTV1 gene	7965	1.559062
212510_at	KIAA0089	Glycerol-3-phosphate dehydrogenase 1-like	23171	2.065134
1552257_a_at	KIAA0153	KIAA0153 protein	23170	1.374965
212357_at	KIAA0280	KIAA0280 protein	23201	0.714966
212356_at	KIAA0323	KIAA0323	23351	0.796052
212355_at	KIAA0323	KIAA0323	23351	0.784514
36865_at	KIAA0759	KIAA0759	23357	1.446034
227920_at	KIAA1553	KIAA1553	57673	1.342779
225929_s_at	KIAA1554	Chromosome 17 open reading frame 27	57674	0.759584
221843_s_at	KIAA1609	KIAA1609 protein	57707	0.74631
207517_at	LAMC2	Laminin, gamma 2	3918	0.618556
225874_at	LOC124402	LOC124402	124402	1.535523
227285_at	LOC148523	Chromosome 1 open reading frame 51	148523	1.518849
227037_at	LOC201164	Similar to CG12314 gene product	201164	2.115569
227485_at	LOC203522	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	203522	0.723164
218096_at	LPAAT-e	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	55326	2.238675
204682_at	LTBP2	Latent transforming growth factor beta binding protein 2	4053	0.75924
212281_s_at	MAC30	Hypothetical protein MAC30	27346	2.73674
212282_at	MAC30	Hypothetical protein MAC30	27346	2.240429
212279_at	MAC30	Hypothetical protein MAC30	27346	2.084171
219278_at	MAP3K6	Mitogen-activated protein kinase kinase kinase 6	9064	0.570268
230110_at	MCOLN2	Mucolipin 2	255231	1.384799
226211_at	MEG3	maternally expressed 3	55384	0.645289
226210_s_at	MEG3	maternally expressed 3	55384	0.567985
204027_s_at	METTL1	Methyltransferase like 1	4234	1.845297
232077_s_at	MGC10500	Yippee-like 3 (Drosophila)	83719	0.380609
224468_s_at	MGC13170	Multidrug resistance-related protein	84798	2.022232
224500_s_at	MGC13272	MON1 homolog A (yeast)	84315	1.64247
1553715_s_at	MGC15416	Hypothetical protein MGC15416	84331	1.575785
227103_s_at	MGC2408	Data not found	84291	2.370982
221637_s_at	MGC2477	Hypothetical protein MGC2477	79081	1.49234
203119_at	MGC2574	Hypothetical protein MGC2574	79080	1.660017
204699_s_at	MGC29875	Hypothetical protein MGC29875	27042	1.519204
218953_s_at	MGC3265	Hypothetical protein MGC3265	78991	1.462203
211986_at	MGC5395	AHNAK nucleoprotein (desmoyokin)	79026	0.641097
203150_at	RAB9P40	Rab9 effector p40	10244	1.309878
203108_at	RAI3	G protein-coupled receptor, family C, group 5, member A	9052	0.356208
212444_at	RAI3	G protein-coupled receptor, family C, group 5, member A	9052	0.391484
222666_s_at	RCL1	RNA terminal phosphate cyclase-like 1	10171	1.889821
218686_s_at	RHBDF1	Rhomboid family 1 (Drosophila)	64285	0.74774
213427_at	RNASEP1	Ribonuclease P 40kDa subunit	10799	2.03728
224610_at	RNU22	RNA, U22 small nucleolar	9304	1.604864
204133_at	RNU3IP2	RNA, U3 small nucleolar interacting protein 2	9136	2.903619
218481_at	RRP46	Exosome component 5	56915	2.045718
210365_at	RUNX1	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	861	0.556076
230333_at	SAT	Spermidine/spermine N1-acetyltransferase	6303	0.530834
221514_at	SDCCAG16	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	10813	2.201077
221513_s_at	SDCCAG16	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	10813	1.488051
212268_at	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	1992	0.474371
225143_at	SFXN4	Sideroflexin 4	119559	1.591102
229236_s_at	SFXN4	Sideroflexin 4	119559	1.44758
219874_at	SLC12A8	Solute carrier family 12 (potassium/chloride transporters), member 8	84561	1.922082
211576_s_at	SLC19A1	Solute carrier family 19 (folate transporter), member 1	6573	2.033314
209776_s_at	SLC19A1	Solute carrier family 19 (folate transporter), member 1	6573	3.119031
204717_s_at	SLC29A2	Solute carrier family 29 (nucleoside transporters), member 2	3177	1.615128
202219_at	SLC6A8	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8	6535	2.408559
232481_s_at	SLITRK6	SLIT and NTRK-like family, member 6	84189	0.626374
207390_s_at	SMTN	Smoothelin	6525	0.642286
209427_at	SMTN	Smoothelin	6525	0.579026
212666_at	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	57154	0.602752
201563_at	SORD	Sorbitol dehydrogenase	6652	1.952317
203509_at	SORL1	Data not found	6653	0.683122
215235_at	SPTAN1	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	6709	0.695276
208611_s_at	SPTAN1	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	6709	0.692318
229952_at	SPTB	Spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)	6710	0.518651
201516_at	SRM	Spermidine synthase	6723	1.939668
51192_at	SSH-3	Slingshot homolog 3 (Drosophila)	54961	0.785235
222557_at	STMN3	Stathmin-like 3	50861	0.72347
226923_at	STXBP1L1	Sec1 family domain containing 2	152579	1.72478
212894_at	SUPV3L1	Suppressor of var1, 3-like 1 (S. cerevisiae)	6832	1.396869
235020_at	TAF4B	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	6875	2.075086
202384_s_at	TCOF1	Treacher Collins-Franceschetti syndrome 1	6949	1.47214
219131_at	TERE1	Transitional epithelia response protein	29914	2.588809
218605_at	TFB2M	Transcription factor B2, mitochondrial	64216	1.867294
206008_at	TGM1	Transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)	7051	0.47836
223776_x_at	TINF2	TERF1 (TRF1)-interacting nuclear factor 2	26277	0.817845
202510_s_at	TNFAIP2	Tumor necrosis factor, alpha-induced protein 2	7127	0.579319
209118_s_at	TUBA3	Tubulin, alpha 3	7846	0.499012
213326_at	VAMP1	Vesicle-associated membrane protein 1 (synaptobrevin 1)	6843	0.602631
1569003_at	VMP1	Transmembrane protein 49	81671	0.641085
224917_at	VMP1	Transmembrane protein 49	81671	0.467424
218512_at	WDR12	WD repeat domain 12	55759	1.720133
226938_at	WDR21	WD repeat domain 21A	26094	1.747544
201294_s_at	WSB1	WD repeat and SOCS box-containing 1	26118	0.602392
223055_s_at	XPO5	Exportin 5	57510	1.5096
219836_at	ZBED2	Zinc finger, BED domain containing 2	79413	0.492627
222227_at	ZNF236	Zinc finger protein 236	7776	0.004387
117_at		Data not found		4.015483
244623_at		Data not found		2.494918
229715_at		Data not found		2.322996
65585_at		Data not found		2.034244
1562904_s_at		Similar to hypothetical protein SB153 isoform 1	286042	2.223253
212563_at		Data not found		1.657563
234049_at		Similar to hypothetical protein SB153 isoform 1	286042	4.38431
216212_s_at		Data not found		6.104125
211725_s_at		Data not found		1.542879
1556111_s_at		Data not found		1.777649
224603_at		Data not found		1.467604
1568597_at		Data not found		1.408677
235474_at		Data not found		1.546378
225933_at		Data not found	339230	1.319508
241687_at		Data not found		1.648887
202632_at		Data not found		1.194814
235501_at		Data not found		0.885996
65521_at		Data not found		0.778847
233493_at		Data not found	377582	0.716953
179_at		Data not found		0.788439
201278_at		Data not found		0.788064
1555673_at		Data not found		0.619928
201042_at		Data not found		0.561969
237591_at		Data not found		0.605939
1562416_at		Data not found		0.700244
238967_at		Data not found		0.575234
229004_at		Data not found		0.558362
216971_s_at		Data not found		0.546855
242509_at		Data not found		0.533396
1569150_x_at		Data not found		0.534085
215071_s_at		Data not found		0.434255
1568408_x_at		Data not found		0.601921
