Clone ID	GenBank	UniGene	Symbol	Name	Entrez	Log Fold Change	q-value
118429	AI821407	Hs.153026	SWAP70	SWAP-70 protein	23075	-0.71187505	0.5558353
297883	AI822092	Hs.49582	PPP1R12A	Protein phosphatase 1, regulatory (inhibitor) subunit 12A	4659	-0.039438555	0.6267507
1555604	AA975065	Hs.463642	RPS6KB1	Ribosomal protein S6 kinase, 70kDa, polypeptide 1	6198	-0.22970237	0.5558353
1203720	AA640486	Hs.131489	PARD3	Par-3 partitioning defective 3 homolog (C. elegans)	56288	-0.23357144	0.5558353
416320	W85846	Hs.478673	IL1RAP	Interleukin 1 receptor accessory protein	3556	0.36020835	0.5558353
768370	AA495790	Hs.502876	RHOB	Ras homolog gene family, member B	388	0.09547619	0.5919386
310894	W19329	Hs.102336	ARHGAP8	Rho GTPase activating protein 8	23779	0.35925002	0.5558353
814266	AA458993	Hs.496255	PRKCZ	Protein kinase C, zeta	5590	-0.390666676	0.5558353
213660	H72119	Hs.292356	CYBB	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)	1536	0.28361403	0.5558353
681917	AA256132	Hs.478673	IL1RAP	Interleukin 1 receptor accessory protein	3556	0.33824407	0.5558353
359722	AA010753	Hs.525389	RHOJ	Ras homolog gene family, member J	57381	-0.089047611	0.5919386
1575311	AA971042	Hs.521912	RHPN1	Rhophilin, Rho GTPase binding protein 1	114822	-0.46851187	0.5558353
127686	R09492	Hs.529451	DIAPH1	Diaphanous homolog 1 (Drosophila)	1729	0.192807	0.5919386
236338	H61357	Hs.408312	TP53	Tumor protein p53 (Li-Fraumeni syndrome)	7157	-0.134732115	0.5919386
365147	AA025141	Hs.446352	ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	2064	0.09687506	0.5919386
429235	AA007305	Hs.445030	RHOBTB3	Rho-related BTB domain containing 3	22836	-0.028035716	0.6065224
51798	H23523	Hs.390616	PAK3	P21 (CDKN1A)-activated kinase 3	5063	0.48562493	0.5558353
506664	AA708905	Hs.469244	WASF2	WAS protein family, member 2	10163	0.07538686	0.5919386
811101	AA485676	Hs.301804	SH3RF1	SH3 domain containing ring finger 1	57630	-0.372666665	0.5558353
395778	AA757532	Hs.430551	IQGAP1	IQ motif containing GTPase activating protein 1	8826	0.263846126	0.5558353
683059	AA213816	Hs.369574	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	10602	-0.28535716	0.5558353
1469332	AA866137	Hs.401013	IRF4	Interferon regulatory factor 4	3662	-0.173571433	0.5919386
450398	AA682861	Hs.391828	PARD6B	Par-6 partitioning defective 6 homolog beta (C. elegans)	84612	0.090285696	0.5919386
859648	AA666416	Hs.508738	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	8874	-0.80544642	0.5558353
148740	H12769	Hs.130031	TRIO	Triple functional domain (PTPRF interacting)	7204	-0.09491075	0.5919386
448701	AA777835	Hs.24598	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365	0.27766667	0.559563
1470551	AA864536	Hs.508461		Transcribed locus, strongly similar to XP_526921.1 PREDICTED: mitogen-activated protein kinase kinase kinase 1 [Pan troglodytes]		0.144076899	0.5919386
1055769	AA628243	Hs.462341	M-RIP	Myosin phosphatase-Rho interacting protein	23164	-0.267797605	0.5558353
146357	R79247	Hs.462341	M-RIP	Myosin phosphatase-Rho interacting protein	23164	0.158249997	0.5919386
297940	N70078	Hs.314413	DOCK9	Dedicator of cytokinesis 9	23348	-0.31771427	0.5558353
266300	N26724	Hs.130031	TRIO	Triple functional domain (PTPRF interacting)	7204	0.071125012	0.5919386
1467999	AA883900	Hs.516808	PDE6D	Phosphodiesterase 6D, cGMP-specific, rod, delta	5147	-0.163067233	0.5919386
384872	AA708826	Hs.444356	GRB2	Growth factor receptor-bound protein 2	2885	-0.221874996	0.5558353
377270	AA055411	Hs.502876	RHOB	Ras homolog gene family, member B	388	-0.02845237	0.6267507
2028912	AI261600	Hs.143728	WASL	Wiskott-Aldrich syndrome-like	8976	0.116571396	0.5919386
2010684	AI360840	Hs.153026	SWAP70	SWAP-70 protein	23075	-0.375446416	0.5558353
1572582	AA969460	Hs.474781	NCF4	Neutrophil cytosolic factor 4, 40kDa	4689	0.097678577	0.5919386
144751	R76248	Hs.306307	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	6093	-0.05395837	0.5919386
1569167	AA973509	Hs.128316	BAIAP2	BAI1-associated protein 2	10458	0.36151788	0.5558353
754149	AA478633	Hs.430551	IQGAP1	IQ motif containing GTPase activating protein 1	8826	-0.343	0.5558353
685633	AA255881	Hs.546316	PIP5K1A	Phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	8394	-0.2411905	0.5558353
1563187	AA917807	Hs.143728	WASL	Wiskott-Aldrich syndrome-like	8976	0.054857136	0.5919386
1860578	AI199580	Hs.143728	WASL	Wiskott-Aldrich syndrome-like	8976	0.190505953	0.5919386
143426	R74467	Hs.502876	RHOB	Ras homolog gene family, member B	388	0.06672618	0.5919386
506165	AA708976	Hs.369574	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	10602	-0.16505951	0.5919386
684338	AA236170	Hs.531704	PRKCA	Protein kinase C, alpha	5578	0.14181553	0.5919386
112636	T85756	Hs.478673	IL1RAP	Interleukin 1 receptor accessory protein	3556	0.540625064	0.5558353
2107602	AI380629	Hs.195659	SRC	V-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	6714	0.083660746	0.5919386
1690972	AI091842	Hs.143728	WASL	Wiskott-Aldrich syndrome-like	8976	0.25696582	0.5756696
1693642	AI123159	Hs.131489	PARD3	Par-3 partitioning defective 3 homolog (C. elegans)	56288	-0.292125008	0.5558353
2516114	AW025732	Hs.518604	NCF2	Neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	4688	1.10497031	0.4359238
2478677	AW003835	Hs.517228	TIAM1	T-cell lymphoma invasion and metastasis 1	7074	0.40157138	0.5558353
2324922	AI677766	Hs.495731	BMX	BMX non-receptor tyrosine kinase	660	0.216578926	0.5919386
277305	N41062	Hs.502876	RHOB	Ras homolog gene family, member B	388	-0.04883928	0.5919386
1160732	AA877840	Hs.462525	NOS2A	Nitric oxide synthase 2A (inducible, hepatocytes)	4843	-0.41563911	0.5558353
953521	AA528312	Hs.170422	MCF2L	MCF.2 cell line derived transforming sequence-like	23263	-0.01267855	0.6279924
2030843	AI373071	Hs.436288	GLI1	Glioma-associated oncogene homolog 1 (zinc finger protein)	2735	0.000874989	0.6486909
