HG U133A probe set	Gene Symbol	MLL rearranged	non-MLL rearranged	Fold change	t statistic	P	q
218262_at	FLJ22318	457.5	234.1	2.0	5.5	0.0000	0.0014
218856_at	TNFRSF21	90.5	503.4	-5.6	-5.9	0.0000	0.0014
213737_x_at	DKFZp434P162	12436.7	6926.8	1.8	5.5	0.0000	0.0014
216503_s_at	MLLT10	342.3	180.2	1.9	5.4	0.0000	0.0014
206847_s_at	HOXA7	309.9	97.6	3.2	5.9	0.0000	0.0014
209976_s_at	CYP2E1	10.3	56.4	-5.5	-4.9	0.0000	0.0015
219594_at	NINJ2	627.2	433.2	1.4	4.9	0.0000	0.0017
201859_at	PRG1	14720.6	9178.0	1.6	5.3	0.0000	0.0017
202449_s_at	RXRA	989.3	485.7	2.0	5.6	0.0000	0.0017
213908_at	LOC339005	602.3	152.1	4.0	5.7	0.0000	0.0017
218774_at	DCPS	787.8	450.1	1.8	5.4	0.0000	0.0018
212076_at	MLL	467.0	727.5	-1.6	-5.7	0.0000	0.0019
336_at	TBXA2R	329.8	649.9	-2.0	-5.5	0.0000	0.0019
210365_at	RUNX1	277.1	605.2	-2.2	-5.3	0.0000	0.0019
216667_at	RNASE2	1449.5	931.4	1.6	4.9	0.0000	0.0019
221666_s_at	PYCARD	3383.1	2035.1	1.7	5.2	0.0000	0.0019
210184_at	ITGAX	891.2	302.3	2.9	5.5	0.0000	0.0019
201858_s_at	PRG1	33941.6	14886.9	2.3	5.5	0.0000	0.0020
213603_s_at	RAC2	13890.6	10803.9	1.3	5.0	0.0000	0.0020
217930_s_at	TOLLIP	414.0	307.3	1.3	4.7	0.0000	0.0020
201551_s_at	LAMP1	1110.2	770.0	1.4	5.2	0.0000	0.0025
211521_s_at	PSCD4	645.4	389.1	1.7	5.3	0.0000	0.0025
219789_at	NPR3	158.2	475.5	-3.0	-5.8	0.0000	0.0025
205945_at	IL6R	1219.9	584.4	2.1	5.2	0.0000	0.0025
206341_at	IL2RA	18.5	90.9	-4.9	-4.9	0.0000	0.0026
207719_x_at	KAB	781.8	1206.8	-1.5	-5.5	0.0000	0.0026
211341_at	POU4F1	19.5	1418.3	-72.9	-4.7	0.0000	0.0026
213119_at	SLC36A1	569.3	361.6	1.6	4.8	0.0000	0.0027
208309_s_at	MALT1	329.6	200.2	1.6	4.8	0.0000	0.0027
220416_at	ATP8B4	2260.4	1608.8	1.4	4.7	0.0000	0.0028
212174_at	AK2	4959.4	2392.1	2.1	5.8	0.0000	0.0029
209395_at	CHI3L1	15.5	123.8	-8.0	-4.6	0.0000	0.0029
205016_at	TGFA	268.5	188.2	1.4	4.7	0.0000	0.0030
201281_at	ADRM1	1272.7	2090.1	-1.6	-4.8	0.0000	0.0030
216831_s_at	CBFA2T1	6.6	83.2	-12.7	-4.5	0.0000	0.0031
205707_at	IL17R	2762.4	1639.1	1.7	4.9	0.0000	0.0031
221687_s_at	C9orf28	321.0	170.7	1.9	5.0	0.0000	0.0032
203833_s_at	TGOLN2	743.0	561.0	1.3	5.0	0.0000	0.0032
204039_at	CEBPA	3935.6	2790.3	1.4	4.6	0.0000	0.0032
211582_x_at	LST1	3209.6	1996.7	1.6	4.6	0.0000	0.0032
200727_s_at	ACTR2	3034.3	1609.3	1.9	5.3	0.0000	0.0033
49306_at	RASSF4	305.1	171.9	1.8	4.8	0.0000	0.0033
217024_x_at	---	445.5	273.7	1.6	4.9	0.0000	0.0033
218409_s_at	DNAJC1	1217.6	596.6	2.0	5.5	0.0000	0.0033
221972_s_at	Cab45	709.7	515.3	1.4	4.8	0.0000	0.0033
209993_at	ABCB1	82.3	230.6	-2.8	-5.3	0.0000	0.0034
212895_s_at	ABR	1393.5	889.4	1.6	4.9	0.0000	0.0034
213746_s_at	FLNA	2498.7	1386.9	1.8	5.2	0.0000	0.0034
214363_s_at	MATR3	5439.1	6766.2	-1.2	-4.9	0.0000	0.0034
218983_at	C1RL	379.7	251.8	1.5	4.6	0.0000	0.0035
202862_at	FAH	408.3	750.6	-1.8	-5.2	0.0000	0.0035
204971_at	CSTA	6456.8	3419.7	1.9	4.8	0.0000	0.0035
218176_at	MAGEF1	670.3	301.6	2.2	5.5	0.0000	0.0035
214394_x_at	---	5303.9	7526.9	-1.4	-5.2	0.0000	0.0036
212355_at	KIAA0323	892.2	731.4	1.2	4.7	0.0000	0.0036
203741_s_at	ADCY7	839.4	450.4	1.9	4.9	0.0000	0.0036
205996_s_at	AK2	2754.1	1391.3	2.0	5.6	0.0000	0.0036
218942_at	PIP5K2C	377.6	233.6	1.6	4.7	0.0000	0.0037
201700_at	CCND3	4704.6	2859.4	1.6	5.1	0.0000	0.0037
216388_s_at	LTB4R	624.4	355.8	1.8	5.0	0.0000	0.0037
208769_at	EIF4EBP2	299.5	173.7	1.7	4.8	0.0000	0.0038
205582_s_at	GGTLA1	27.0	100.2	-3.7	-4.5	0.0000	0.0038
207023_x_at	KRT10	1145.9	790.2	1.5	4.8	0.0000	0.0038
209288_s_at	CDC42EP3	1209.5	493.3	2.5	5.1	0.0000	0.0038
211137_s_at	ATP2C1	179.8	335.2	-1.9	-5.2	0.0000	0.0039
215633_x_at	LST1	3074.5	1825.6	1.7	4.6	0.0000	0.0039
219491_at	LRFN4	233.0	165.5	1.4	4.5	0.0000	0.0040
212855_at	KIAA0276	65.6	152.7	-2.3	-5.3	0.0000	0.0040
215727_x_at	---	146.3	109.2	1.3	4.5	0.0000	0.0040
221235_s_at	---	597.4	1101.4	-1.8	-5.4	0.0000	0.0042
205472_s_at	DACH1	409.8	43.8	9.4	5.7	0.0000	0.0042
209830_s_at	SLC9A3R2	8.1	31.0	-3.8	-4.8	0.0000	0.0042
213915_at	NKG7	2879.9	1068.7	2.7	5.3	0.0000	0.0042
218257_s_at	UGCGL1	396.7	285.0	1.4	4.6	0.0000	0.0042
201048_x_at	RAB6A	206.9	157.8	1.3	4.4	0.0000	0.0042
215666_at	HLA-DRB4	6.5	53.0	-8.1	-4.6	0.0000	0.0043
201191_at	PITPNA	394.6	243.9	1.6	4.6	0.0000	0.0043
207419_s_at	RAC2	3041.9	2099.1	1.4	4.6	0.0000	0.0043
201162_at	IGFBP7	5337.8	3050.6	1.7	4.9	0.0000	0.0043
201497_x_at	MYH11	39.6	185.5	-4.7	-4.5	0.0000	0.0043
206111_at	RNASE2	14315.3	6063.3	2.4	4.9	0.0000	0.0043
206851_at	RNASE3	6868.8	1742.0	3.9	5.3	0.0000	0.0043
216941_s_at	TAF1B	239.0	160.1	1.5	4.6	0.0000	0.0043
206441_s_at	COMMD4	598.2	419.9	1.4	4.5	0.0000	0.0043
205875_s_at	TREX1	547.6	381.2	1.4	4.5	0.0000	0.0044
211284_s_at	GRN	4162.2	2052.3	2.0	4.9	0.0000	0.0044
37005_at	NBL1	431.0	716.4	-1.7	-4.7	0.0000	0.0045
216901_s_at	ZNFN1A1	231.8	139.2	1.7	4.6	0.0000	0.0045
219054_at	FLJ14054	432.3	2125.7	-4.9	-5.3	0.0000	0.0045
221923_s_at	NPM1	1919.9	2986.7	-1.6	-5.3	0.0000	0.0045
218295_s_at	NUP50	499.5	366.4	1.4	4.5	0.0000	0.0045
204719_at	ABCA8	59.2	47.1	1.3	4.4	0.0000	0.0047
214866_at	PLAUR	359.2	274.1	1.3	4.5	0.0000	0.0047
208073_x_at	TTC3	2431.0	4313.6	-1.8	-5.3	0.0000	0.0049
200656_s_at	P4HB	4138.8	2723.3	1.5	4.8	0.0001	0.0050
210548_at	CCL23	586.2	159.4	3.7	5.1	0.0001	0.0052
215952_s_at	OAZ1	10300.6	7266.0	1.4	5.0	0.0001	0.0052
217691_x_at	SLC16A3	728.5	495.9	1.5	4.6	0.0001	0.0052
204082_at	PBX3	2663.6	943.4	2.8	5.1	0.0001	0.0052
201564_s_at	FSCN1	102.5	480.4	-4.7	-5.4	0.0001	0.0052
210128_s_at	LTB4R	331.3	230.1	1.4	4.4	0.0001	0.0052
215564_at	---	7.6	28.3	-3.7	-4.6	0.0001	0.0052
214147_at	FLJ46354	67.2	154.9	-2.3	-4.5	0.0001	0.0052
215075_s_at	GRB2	1015.5	726.1	1.4	4.5	0.0001	0.0055
215942_s_at	GTSE1	208.9	136.8	1.5	4.4	0.0001	0.0055
219183_s_at	PSCD4	1563.1	876.8	1.8	4.8	0.0001	0.0055
205449_at	SHD1	406.3	281.6	1.4	4.3	0.0001	0.0055
206278_at	PTAFR	411.0	157.8	2.6	4.8	0.0001	0.0058
58780_s_at	FLJ10357	745.5	409.2	1.8	4.7	0.0001	0.0058
201721_s_at	LAPTM5	19796.0	15205.0	1.3	4.4	0.0001	0.0059
219233_s_at	GSDML	69.1	247.6	-3.6	-5.1	0.0001	0.0059
201307_at	11-Sep	815.5	1630.7	-2.0	-4.9	0.0001	0.0060
207550_at	MPL	71.5	498.9	-7.0	-5.0	0.0001	0.0062
200760_s_at	ARL6IP5	3185.2	2418.6	1.3	4.6	0.0001	0.0063
201079_at	SYNGR2	1809.6	1367.0	1.3	4.7	0.0001	0.0064
214574_x_at	LST1	3940.2	2556.8	1.5	4.3	0.0001	0.0064
200923_at	LGALS3BP	409.7	1423.4	-3.5	-4.8	0.0001	0.0065
212782_x_at	POLR2J	2482.9	2048.2	1.2	4.2	0.0001	0.0065
200900_s_at	M6PR	1537.6	1151.0	1.3	4.3	0.0001	0.0065
203010_at	STAT5A	859.9	1279.7	-1.5	-5.1	0.0001	0.0065
202856_s_at	SLC16A3	386.6	232.5	1.7	4.5	0.0001	0.0065
205418_at	FES	1563.5	902.7	1.7	4.6	0.0001	0.0065
212190_at	SERPINE2	242.6	518.8	-2.1	-4.3	0.0001	0.0065
218976_at	DNAJC12	73.4	324.7	-4.4	-4.7	0.0001	0.0065
220795_s_at	KIAA1446	237.0	167.5	1.4	4.4	0.0001	0.0065
201906_s_at	CTDSPL	73.0	331.1	-4.5	-5.2	0.0001	0.0065
201944_at	HEXB	3123.3	1635.1	1.9	5.0	0.0001	0.0065
207075_at	CIAS1	617.8	398.8	1.5	4.4	0.0001	0.0065
218550_s_at	LRRC20	212.7	162.2	1.3	4.2	0.0001	0.0066
209448_at	HTATIP2	500.2	293.0	1.7	4.5	0.0001	0.0067
218217_at	SCPEP1	3215.0	1073.8	3.0	5.0	0.0001	0.0067
221807_s_at	PP2447	428.7	228.2	1.9	4.5	0.0001	0.0067
221832_s_at	LUZP1	396.2	587.5	-1.5	-4.3	0.0001	0.0067
215164_at	---	103.8	64.5	1.6	4.4	0.0001	0.0068
205099_s_at	CCR1	604.0	251.8	2.4	4.6	0.0001	0.0069
212750_at	PPP1R16B	44.2	136.1	-3.1	-4.7	0.0001	0.0069
211688_x_at	KIR3DL2	21.4	40.6	-1.9	-4.3	0.0001	0.0070
214511_x_at	LOC440607 /// FCGR1A	2547.0	953.1	2.7	4.9	0.0001	0.0070
218633_x_at	FLJ11342	977.2	1399.5	-1.4	-4.9	0.0001	0.0070
203914_x_at	HPGD	119.2	493.2	-4.1	-4.6	0.0001	0.0070
219837_s_at	C17	191.0	1054.0	-5.5	-5.0	0.0001	0.0070
220326_s_at	FLJ10357	934.1	569.0	1.6	4.5	0.0001	0.0070
218109_s_at	FLJ14153	6148.9	4181.1	1.5	4.8	0.0001	0.0071
220560_at	C11orf21	2010.1	1277.3	1.6	4.4	0.0001	0.0072
214752_x_at	FLNA	3101.4	1948.9	1.6	4.7	0.0001	0.0073
203379_at	RPS6KA1	1461.3	1094.8	1.3	4.3	0.0001	0.0073
203567_s_at	TRIM38	1236.2	902.6	1.4	4.4	0.0001	0.0074
205317_s_at	SLC15A2	430.4	348.7	1.2	4.3	0.0001	0.0075
207782_s_at	PSEN1	1018.6	784.6	1.3	4.2	0.0001	0.0075
217897_at	FXYD6	386.9	265.7	1.5	4.3	0.0001	0.0075
209994_s_at	ABCB1 /// ABCB4	18.0	96.9	-5.4	-4.3	0.0001	0.0076
208947_s_at	RENT1	250.6	175.1	1.4	4.3	0.0001	0.0077
209575_at	IL10RB	1113.5	695.8	1.6	4.8	0.0001	0.0077
201905_s_at	CTDSPL	19.5	76.2	-3.9	-4.4	0.0001	0.0077
200602_at	APP	40.6	316.6	-7.8	-4.7	0.0001	0.0078
204981_at	SLC22A18	545.7	348.7	1.6	4.3	0.0001	0.0079
206855_s_at	HYAL2	384.9	532.8	-1.4	-4.3	0.0001	0.0081
201648_at	JAK1	1807.3	2395.1	-1.3	-4.3	0.0001	0.0084
204164_at	SIPA1	834.4	661.3	1.3	4.1	0.0001	0.0084
205965_at	BATF	812.4	618.5	1.3	4.2	0.0001	0.0085
206758_at	EDN2	22.7	49.5	-2.2	-4.3	0.0001	0.0085
213370_s_at	SFMBT1	318.3	254.7	1.2	4.2	0.0001	0.0085
217118_s_at	C22orf9	3132.8	1876.3	1.7	4.7	0.0001	0.0085
217223_s_at	BCR	360.8	650.6	-1.8	-4.6	0.0001	0.0085
220856_x_at	---	2871.5	2305.0	1.2	4.5	0.0001	0.0085
202747_s_at	ITM2A	598.9	2971.4	-5.0	-5.0	0.0001	0.0086
212200_at	KIAA0692	302.4	469.3	-1.6	-4.4	0.0001	0.0086
209876_at	GIT2	446.1	288.9	1.5	4.3	0.0001	0.0089
204895_x_at	MUC4	26.6	65.1	-2.4	-4.4	0.0001	0.0090
210220_at	FZD2	343.8	273.1	1.3	4.1	0.0001	0.0090
212186_at	ACACA	142.5	378.2	-2.7	-4.5	0.0001	0.0090
218908_at	ASPSCR1	488.2	346.5	1.4	4.2	0.0001	0.0090
211102_s_at	LILRA2	809.5	419.0	1.9	4.3	0.0001	0.0091
203701_s_at	FLJ20244	679.4	942.5	-1.4	-4.6	0.0001	0.0091
204468_s_at	TIE	47.4	239.4	-5.0	-4.6	0.0001	0.0092
200077_s_at	OAZ1	16825.5	13104.1	1.3	4.7	0.0001	0.0092
200678_x_at	GRN	8113.1	4588.5	1.8	4.4	0.0001	0.0092
203478_at	NDUFC1	2186.9	1582.1	1.4	4.2	0.0001	0.0092
210859_x_at	CLN3	1005.6	779.1	1.3	4.2	0.0001	0.0092
206118_at	STAT4	244.4	406.0	-1.7	-4.5	0.0001	0.0092
56197_at	PLSCR3	1737.0	2360.6	-1.4	-4.7	0.0001	0.0094
205471_s_at	DACH1	1259.1	210.5	6.0	4.8	0.0001	0.0094
202897_at	PTPNS1	1615.4	866.5	1.9	4.6	0.0001	0.0094
201227_s_at	NDUFB8	2162.1	1784.0	1.2	4.3	0.0002	0.0098
202370_s_at	CBFB	3299.9	2648.2	1.2	4.1	0.0002	0.0098
209663_s_at	ITGA7	328.4	65.6	5.0	4.9	0.0002	0.0098
209499_x_at	TNFSF13 /// TNFSF12-TNFSF13	1672.5	1270.4	1.3	4.1	0.0002	0.0098
218487_at	ALAD	462.6	349.1	1.3	4.1	0.0002	0.0099
221042_s_at	CLMN	36.3	118.3	-3.3	-4.6	0.0002	0.0099
217869_at	HSD17B12	1287.0	1909.4	-1.5	-4.7	0.0002	0.0099
218501_at	ARHGEF3	918.2	564.7	1.6	4.6	0.0002	0.0099
219745_at	C10orf77	314.7	226.2	1.4	4.2	0.0002	0.0099
218620_s_at	HEMK1	91.0	228.2	-2.5	-4.6	0.0002	0.0102
209035_at	MDK	54.8	261.5	-4.8	-4.3	0.0002	0.0103
201601_x_at	IFITM1	840.7	1854.3	-2.2	-4.5	0.0002	0.0104
203111_s_at	PTK2B	633.2	448.1	1.4	4.1	0.0002	0.0104
204168_at	MGST2	1702.6	1229.3	1.4	4.2	0.0002	0.0104
206471_s_at	PLXNC1	329.2	199.0	1.7	4.4	0.0002	0.0104
211922_s_at	CAT	5965.3	4342.4	1.4	4.2	0.0002	0.0104
222217_s_at	SLC27A3	1333.6	762.8	1.7	4.5	0.0002	0.0104
202501_at	MAPRE2	1033.8	1468.8	-1.4	-4.5	0.0002	0.0105
208031_s_at	RFX2	158.5	94.7	1.7	4.3	0.0002	0.0105
203162_s_at	KATNB1	717.5	1068.9	-1.5	-4.5	0.0002	0.0105
213844_at	HOXA5	2681.3	560.9	4.8	4.8	0.0002	0.0106
214181_x_at	LST1	3098.1	2061.4	1.5	4.0	0.0002	0.0107
200859_x_at	FLNA	5125.0	2989.6	1.7	4.5	0.0002	0.0110
219686_at	STK32B	64.9	307.7	-4.7	-4.5	0.0002	0.0111
213566_at	RNASE6	2526.3	1241.0	2.0	4.2	0.0002	0.0111
204391_x_at	TIF1	637.5	988.4	-1.6	-4.4	0.0002	0.0112
213258_at	TFPI	101.0	405.9	-4.0	-4.7	0.0002	0.0112
209583_s_at	CD200	203.3	762.9	-3.8	-4.8	0.0002	0.0113
210145_at	PLA2G4A	298.1	178.7	1.7	4.1	0.0002	0.0113
212098_at	LOC151162	711.1	1006.1	-1.4	-4.4	0.0002	0.0116
202594_at	LEPROTL1	1028.3	1343.0	-1.3	-4.1	0.0002	0.0117
202746_at	ITM2A	608.6	3052.9	-5.0	-4.8	0.0002	0.0117
202896_s_at	PTPNS1	1033.2	678.8	1.5	4.3	0.0002	0.0117
206289_at	HOXA4	424.0	170.7	2.5	4.5	0.0002	0.0117
215273_s_at	TADA3L	982.1	601.2	1.6	4.2	0.0002	0.0117
214390_s_at	BCAT1	62.3	201.6	-3.2	-4.4	0.0002	0.0117
212003_at	DKFZp566C0424	433.5	302.3	1.4	4.0	0.0002	0.0118
219407_s_at	LAMC3	28.0	91.3	-3.3	-4.5	0.0002	0.0119
218825_at	EGFL7	261.7	1020.6	-3.9	-4.7	0.0002	0.0121
204276_at	TK2	302.0	191.8	1.6	4.2	0.0002	0.0121
220059_at	BRDG1	149.5	514.7	-3.4	-4.7	0.0002	0.0121
221139_s_at	CSAD	148.3	223.7	-1.5	-4.3	0.0002	0.0121
216041_x_at	GRN	7221.1	3970.6	1.8	4.4	0.0002	0.0121
212519_at	UBE2E1	2979.0	4471.1	-1.5	-4.4	0.0002	0.0122
204277_s_at	TK2	163.3	79.8	2.0	4.4	0.0002	0.0123
206187_at	PTGIR	134.2	442.2	-3.3	-4.4	0.0002	0.0123
212873_at	HA-1	2776.5	2048.3	1.4	4.2	0.0002	0.0123
214550_s_at	TNPO3	450.9	344.0	1.3	3.9	0.0002	0.0123
202087_s_at	CTSL	522.8	220.2	2.4	4.5	0.0002	0.0123
213539_at	CD3D	387.1	1431.1	-3.7	-4.3	0.0002	0.0123
204120_s_at	ADK	89.4	147.3	-1.6	-4.1	0.0002	0.0124
203809_s_at	AKT2	128.7	105.0	1.2	3.9	0.0002	0.0124
210629_x_at	LST1	2650.2	1737.6	1.5	4.0	0.0002	0.0125
202803_s_at	ITGB2	10386.3	5954.0	1.7	4.2	0.0002	0.0126
203490_at	ELF4	590.4	432.3	1.4	3.9	0.0002	0.0126
206284_x_at	CLTB	998.9	762.9	1.3	4.1	0.0002	0.0126
209651_at	TGFB1I1	115.7	236.6	-2.0	-4.0	0.0002	0.0126
218966_at	MYO5C	508.2	1027.0	-2.0	-4.6	0.0002	0.0126
202996_at	POLD4	614.9	440.9	1.4	4.0	0.0002	0.0127
212311_at	KIAA0746	910.1	607.1	1.5	4.2	0.0002	0.0127
41037_at	TEAD4	27.9	75.0	-2.7	-4.4	0.0003	0.0128
211672_s_at	ARPC4	1334.3	1002.3	1.3	3.9	0.0003	0.0128
206850_at	RRP22	125.2	269.6	-2.2	-4.3	0.0003	0.0128
213127_s_at	MED8	431.5	361.3	1.2	3.8	0.0003	0.0129
91703_at	EHBP1L1	790.9	549.2	1.4	4.0	0.0003	0.0130
210463_x_at	FLJ20244	559.7	827.7	-1.5	-4.4	0.0003	0.0130
220035_at	NUP210	923.3	673.4	1.4	4.0	0.0003	0.0130
200728_at	ACTR2	7256.8	4979.6	1.5	4.4	0.0003	0.0130
205597_at	C6orf29	118.7	99.9	1.2	3.9	0.0003	0.0130
207008_at	IL8RB	159.1	72.9	2.2	4.3	0.0003	0.0130
213241_at	PLXNC1	1243.0	662.9	1.9	4.3	0.0003	0.0130
205944_s_at	CLTCL1	587.1	303.0	1.9	4.3	0.0003	0.0132
217759_at	TRIM44	1573.3	1216.2	1.3	4.3	0.0003	0.0132
203676_at	GNS	699.3	446.9	1.6	4.1	0.0003	0.0132
204399_s_at	EML2	147.9	91.2	1.6	4.1	0.0003	0.0132
205090_s_at	NAGPA	740.8	527.3	1.4	4.3	0.0003	0.0132
218001_at	MRPS2	402.8	545.1	-1.4	-4.3	0.0003	0.0133
210314_x_at	TNFSF13 /// TNFSF12-TNFSF13	2437.7	1803.8	1.4	3.9	0.0003	0.0133
214022_s_at	IFITM1	1191.5	2778.7	-2.3	-4.4	0.0003	0.0134
219900_s_at	FLJ20626	151.8	95.8	1.6	4.2	0.0003	0.0136
212657_s_at	IL1RN	617.1	328.3	1.9	4.2	0.0003	0.0136
205640_at	ALDH3B1	934.6	555.1	1.7	4.1	0.0003	0.0137
207430_s_at	MSMB	7.5	27.9	-3.7	-4.2	0.0003	0.0137
201163_s_at	IGFBP7	2900.0	1794.8	1.6	4.3	0.0003	0.0137
206170_at	ADRB2	965.9	678.2	1.4	4.1	0.0003	0.0137
219380_x_at	POLH	77.4	47.2	1.6	3.9	0.0003	0.0137
220023_at	APOB48R	796.4	429.6	1.9	4.3	0.0003	0.0137
212894_at	SUPV3L1	477.1	652.8	-1.4	-4.0	0.0003	0.0139
218798_at	FLJ12949	368.4	275.1	1.3	4.0	0.0003	0.0139
38290_at	RGS14	425.4	320.1	1.3	3.9	0.0003	0.0140
214453_s_at	IFI44	278.2	688.5	-2.5	-4.4	0.0003	0.0140
203185_at	RASSF2	2855.1	1801.3	1.6	4.2	0.0003	0.0140
207721_x_at	HINT1	7105.9	11374.9	-1.6	-4.5	0.0003	0.0140
221401_at	CACNG5	32.2	77.6	-2.4	-4.0	0.0003	0.0140
202242_at	TM4SF2	135.0	487.8	-3.6	-4.3	0.0003	0.0141
204238_s_at	C6orf108	272.7	201.4	1.4	3.9	0.0003	0.0141
214894_x_at	MACF1	1593.6	2276.1	-1.4	-4.4	0.0003	0.0141
221847_at	---	695.8	542.4	1.3	4.1	0.0003	0.0141
203460_s_at	PSEN1	1024.4	775.8	1.3	4.2	0.0003	0.0141
210549_s_at	CCL23	810.9	120.1	6.8	4.5	0.0003	0.0141
202811_at	STAMBP	758.4	678.7	1.1	3.9	0.0003	0.0141
219577_s_at	ABCA7	664.6	419.1	1.6	4.4	0.0003	0.0142
202257_s_at	CD2BP2	498.7	362.2	1.4	4.0	0.0003	0.0142
203271_s_at	UNC119	283.9	92.2	3.1	4.6	0.0003	0.0142
212539_at	CHD1L	1930.4	2651.3	-1.4	-4.5	0.0003	0.0142
201003_x_at	---	2278.1	1496.2	1.5	4.1	0.0003	0.0145
211549_s_at	HPGD	26.6	137.5	-5.2	-4.1	0.0003	0.0148
210528_at	MR1	106.8	85.5	1.2	3.8	0.0003	0.0151
218899_s_at	BAALC	214.9	759.4	-3.5	-4.3	0.0003	0.0151
219690_at	FLJ22573	930.5	589.5	1.6	4.3	0.0003	0.0151
