Probe Set	Unigene acc. No.	Gene symbol	Gene	Fold Change	log2 Fold Change	std	p_value	lower cl	upper cl	Detection call
93500_at	Mm.19143	Alas1	aminolevulinic acid synthase 1	2.62	1.39	0.13	0	1.02	1.76	PPP PPP
96057_at	Mm.2621	Aldh2	aldehyde dehydrogenase 2, mitochondrial	-1.63	-0.7	0.08	0	-0.92	-0.48	PPP PPP
96058_s_at	Mm.2621	Aldh2	aldehyde dehydrogenase 2, mitochondrial	-1.85	-0.89	0.09	0	-1.14	-0.64	PPP PPP
97449_at	Mm.30250	Aldh7a1	aldehyde dehydrogenase family 7, member A1	1.83	0.87	0.08	0	0.64	1.1	PPP PPP
97450_s_at	Mm.30250	Aldh7a1	aldehyde dehydrogenase family 7, member A1	1.97	0.98	0.05	0	0.83	1.12	PPP PPP
99993_at	Mm.4487	Anpep	alanyl (membrane) aminopeptidase	-2.54	-1.34	0.12	0	-1.67	-1.01	PPP PPP
100569_at	Mm.584	Anxa2	annexin A2	-1.47	-0.55	0.04	0	-0.66	-0.45	PPP PPP
93083_at	Mm.1620	Anxa5	annexin A5	-1.83	-0.87	0.05	0	-1.01	-0.74	PPP PPP
95704_at	Mm.29699	Ap1b1	adaptor protein complex AP-1, beta 1 subunit	1.56	0.64	0.06	0	0.46	0.81	PPP PPP
93362_at	Mm.18946	Ap2m1	adaptor protein complex AP-2, mu1	1.39	0.48	0.07	0	0.29	0.67	PPP PPP
103298_at	Mm.2104	Apeg1	aortic preferentially expressed gene 1	1.68	0.75	0.16	0.01	0.31	1.19	PPP PPP
93063_at	Mm.131766	App	amyloid beta (A4) precursor protein	-2.84	-1.51	0.14	0	-1.89	-1.12	PPP PPP
160082_s_at	Mm.1486	Arf4	ADP-ribosylation factor 4	-1.57	-0.65	0.09	0	-0.91	-0.4	PPP PPP
101112_g_at	Mm.757	Arha	ras homolog gene family, member A	-1.66	-0.73	0.09	0	-0.98	-0.48	PPP PPP
101113_at	Mm.757	Arha	ras homolog gene family, member A	-1.78	-0.83	0.09	0	-1.07	-0.59	PPP PPP
96056_at	Mm.262	Arhc	ras homolog gene family, member C	-1.9	-0.92	0.11	0	-1.23	-0.62	PPP PPP
96360_at	Mm.30016	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha	-1.57	-0.65	0.07	0	-0.85	-0.45	PPP PPP
98001_at	Mm.3181	Arhgef1	Rho guanine nucleotide exchange factor (GEF) 1	-1.69	-0.75	0.14	0.01	-1.14	-0.37	PPP PPP
98434_at	Mm.3439	Arhgef7	Rho guanine nucleotide exchange factor (GEF7)	1.65	0.73	0.07	0	0.52	0.93	PPP PPP
100599_at	Mm.641	Atf4	activating transcription factor 4	-1.7	-0.76	0.1	0	-1.06	-0.47	PPP PPP
93797_g_at	Mm.205791	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	-1.7	-0.76	0.12	0	-1.09	-0.44	PPP PPP
93798_at	Mm.205791	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	-1.7	-0.77	0.06	0	-0.94	-0.59	PPP PPP
103935_at	Mm.6306	Atp2a3	ATPase, Ca++ transporting, ubiquitous	-2.33	-1.22	0.18	0	-1.71	-0.73	PPP PPP
93404_g_at	Mm.6306	Atp2a3	ATPase, Ca++ transporting, ubiquitous	-1.46	-0.54	0.1	0.01	-0.81	-0.27	PPP PPP
100753_at	Mm.4069	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1	1.42	0.51	0.08	0	0.29	0.72	PPP PPP
93014_at	Mm.14663	Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	1.5	0.59	0.05	0	0.46	0.71	PPP PPP
103275_at	Mm.20869	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	1.91	0.94	0.19	0.01	0.4	1.48	PPP PPP
94301_at	Mm.22602	Atp6v0e	ATPase, H+ transporting, V0 subunit	-1.44	-0.52	0.05	0	-0.65	-0.39	PPP PPP
92598_at	Mm.10727	Atp6v1b2	ATPase, H+ transporting, V1 subunit B, isoform 2	1.64	0.71	0.11	0	0.4	1.02	PPP PPP
96610_at	Mm.27082	Atp6v1h	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	1.55	0.64	0.06	0	0.46	0.81	PPP PPP
93984_at	Mm.2171	Atpi	ATPase inhibitor	2.44	1.29	0.07	0	1.09	1.48	PPP PPP
103366_at	Mm.227198	AU043488	expressed sequence AU043488	-1.4	-0.49	0.08	0	-0.7	-0.27	PPP PPP
104066_at	Mm.21597	AW548124	expressed sequence AW548124	2.07	1.05	0.14	0	0.67	1.43	PPP PPP
104128_at	Mm.22040	AW556797	expressed sequence AW556797	-1.4	-0.49	0.06	0	-0.65	-0.32	PPP PPP
96340_at	Mm.29987	B230114J08Rik	RIKEN cDNA B230114J08 gene	-1.58	-0.66	0.1	0	-0.94	-0.37	PPP PPP
160137_at	Mm.21503	B3gnt1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	1.49	0.58	0.1	0	0.31	0.84	PPP PPP
95673_s_at	Mm.29586	Basp1	brain abundant, membrane attached signal protein 1	-1.71	-0.77	0.15	0.01	-1.2	-0.35	PPP PPP
100949_at	Mm.6419	BC004044	cDNA sequence BC004044	1.55	0.63	0.11	0.01	0.32	0.95	PPP PPP
94423_at	Mm.26282	BC004728	cDNA sequence BC004728	1.4	0.48	0.07	0	0.29	0.68	PPP PPP
160976_at	Mm.195916	BC012974	hypothetical gene supported by BC012974	-1.72	-0.79	0.12	0	-1.12	-0.45	PPP PPP
97737_f_at	Mm.3957	BC034204	cDNA sequence BC034204	-1.45	-0.54	0.09	0	-0.78	-0.29	PPP PPP
160876_at	Mm.4236	Bcap29	B-cell receptor-associated protein 29	2.33	1.22	0.1	0	0.94	1.51	PPA PPA
93252_at	Mm.17	Bcap31	B-cell receptor-associated protein 31	1.47	0.56	0.05	0	0.41	0.7	PPP PPP
100988_at	Mm.141083	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	-1.53	-0.62	0.09	0	-0.86	-0.37	PPP PPP
103015_at	Mm.230010	Bcl6	B-cell leukemia/lymphoma 6	-1.69	-0.76	0.11	0	-1.07	-0.45	PPP PPP
100771_at	Mm.9749	Blnk	B-cell linker	-2.12	-1.08	0.12	0	-1.42	-0.75	PPP PPP
98920_g_at	Mm.28626	Blp1-pending	BBP-like protein 1	1.61	0.68	0.08	0	0.46	0.9	PPP PPP
93454_at	Mm.681	C1qr1	complement component 1, q subcomponent, receptor 1	-2.93	-1.55	0.22	0	-2.16	-0.95	PPP PPP
103695_f_at	Mm.157101	C330007P06Rik	RIKEN cDNA C330007P06 gene	2.2	1.14	0.13	0	0.77	1.5	PPP PPP
104651_at	Mm.3154	C330035N22Rik	RIKEN cDNA C330035N22 gene	1.74	0.8	0.09	0	0.56	1.05	PPA PPA
94689_at	Mm.153895	C79248	expressed sequence C79248	1.91	0.94	0.17	0.01	0.47	1.4	PPA PPA
96522_at	Mm.34246	Calm1	calmodulin 1	-1.74	-0.8	0.08	0	-1.02	-0.57	PPP PPP
160106_at	Mm.18626	Capg	capping protein (actin filament), gelsolin-like	-1.65	-0.72	0.05	0	-0.87	-0.57	PPP PPP
100932_at	Mm.6221	Capn1	calpain 1	-1.4	-0.48	0.05	0	-0.61	-0.36	PPP PPP
100610_at	Mm.6534	Capns1	calpain, small subunit 1	-1.61	-0.69	0.07	0	-0.88	-0.5	PPP PPP
160965_at	Mm.23934	Capri-pending	Ca2+promoted Ras inactivator	-1.76	-0.81	0.12	0	-1.13	-0.49	PPP PPP
95142_s_at	Mm.2945	Capzb	capping protein (actin filament) muscle Z-line, beta	-1.8	-0.85	0.09	0	-1.1	-0.6	PPP PPP
99049_at	Mm.3921	Casp2	caspase 2	-1.59	-0.67	0.1	0	-0.94	-0.4	PPP PPP
102736_at	Mm.145	Ccl2	chemokine (C-C motif) ligand 2	8.52	3.09	0.11	0	2.79	3.39	PPP PPP
102424_at	Mm.1282	Ccl3	chemokine (C-C motif) ligand 3	9.54	3.25	0.17	0	2.78	3.72	PPP PPP
94146_at	Mm.1255	Ccl4	chemokine (C-C motif) ligand 4	3.76	1.91	0.17	0	1.45	2.37	PPP PPP
92459_at	Mm.42029	Ccl8	chemokine (C-C motif) ligand 8	2.09	1.06	0.27	0.02	0.31	1.81	PPP PPP
94231_at	Mm.22288	Ccnd1	cyclin D1	1.5	0.58	0.09	0	0.33	0.84	PPP PPP
94232_at	Mm.22288	Ccnd1	cyclin D1	3.39	1.76	0.11	0	1.46	2.07	PPA PPA
93617_at	Mm.7336	Ccrl2	chemokine (C-C motif) receptor-like 2	-1.94	-0.96	0.11	0	-1.27	-0.64	PPP PPP
98153_at	Mm.256034	Cct3	chaperonin subunit 3 (gamma)	1.65	0.72	0.11	0	0.42	1.02	PPP PPP
97312_at	Mm.28083	Cd164	CD164 antigen	2.03	1.02	0.14	0	0.64	1.41	PPP PPP
102237_at	Mm.255003	Cd28	CD28 antigen	2.17	1.11	0.11	0	0.8	1.43	PPA PPA
98980_at	Mm.3689	Cd37	CD37 antigen	-1.95	-0.96	0.1	0	-1.24	-0.69	PPP PPP
103089_at	Mm.1738	Cd48	CD48 antigen	-6.94	-2.8	0.17	0	-3.28	-2.31	PAP PAP
93445_at	Mm.6676	Cd5l	CD5 antigen-like	-8.59	-3.1	0.27	0	-3.84	-2.36	PPP PPP
103016_s_at	Mm.15819	Cd68	CD68 antigen	-2.17	-1.12	0.11	0	-1.43	-0.81	PPP PPP
102778_at	Mm.1355	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	-2.12	-1.09	0.24	0.01	-1.76	-0.41	PPP PPP
101495_at	Mm.806	Cd81	CD 81 antigen	1.88	0.91	0.17	0.01	0.45	1.37	PPP PPP
97832_at	Mm.182255	Cd97	CD97 antigen	-3.17	-1.66	0.15	0	-2.09	-1.24	PPP PPP
100128_at	Mm.4761	Cdc2a	cell division cycle 2 homolog A (S. pombe)	1.8	0.85	0.11	0	0.55	1.14	PPP PPP
94048_at	Mm.21981	Cdc34	cell division cycle 34 homolog (S. cerevisiae)	2.06	1.04	0.07	0	0.84	1.24	PPP PPP
94036_at	Mm.21921	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4	-2.03	-1.02	0.1	0	-1.29	-0.75	PPP PPP
94881_at	Mm.34446	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	2.05	1.04	0.22	0.01	0.43	1.64	PPP PPP
98067_at	Mm.34446	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	2.44	1.29	0.18	0	0.78	1.8	PPP PPP
102804_at	Mm.14114	Ceacam1	CEA-related cell adhesion molecule 1	-2.05	-1.03	0.09	0	-1.27	-0.8	PPP PPP
101908_s_at	Mm.155711	Ceacam2	CEA-related cell adhesion molecule 2	-3.05	-1.61	0.16	0	-2.06	-1.16	PPP PPP
98447_at	Mm.34537	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	-3.01	-1.59	0.12	0	-1.91	-1.26	PPP PPP
99486_at	Mm.41454	Cenpb	centromere autoantigen B	-1.46	-0.54	0.09	0	-0.8	-0.29	PPP PPP
92788_f_at	Mm.12481	Cetn3	centrin 3	1.51	0.59	0.09	0	0.35	0.83	PPP PPP
99119_at	Mm.4024	Cfl1	cofilin 1, non-muscle	-1.8	-0.85	0.08	0	-1.07	-0.62	PPP PPP
100126_at	Mm.23095	Chrac1	chromatin accessibility complex 1	-1.37	-0.46	0.06	0	-0.63	-0.28	PPP PPP
100022_at	Mm.4592	Cish	cytokine inducible SH2-containing protein	1.8	0.85	0.16	0.01	0.4	1.3	PPP PPP
101973_at	Mm.9524	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	2.06	1.04	0.2	0.01	0.47	1.61	PPP PPP
93126_at	Mm.16831	Ckb	creatine kinase, brain	1.81	0.86	0.11	0	0.55	1.17	PPP PPP
95150_at	Mm.29475	Ckip1-pending	CK2 interacting protein 1	-1.42	-0.51	0.07	0	-0.69	-0.33	PPP PPP
98492_at	Mm.35600	Cklfsf7	chemokine-like factor super family 7	-1.48	-0.56	0.11	0.01	-0.86	-0.27	PPP PPP
102786_at	Mm.28842	Clcn3	chloride channel 3	1.58	0.66	0.08	0	0.44	0.88	PPA PPA
95951_at	Mm.24920	Clecsf8	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 8	2.07	1.05	0.18	0	0.53	1.56	PPP PPP
100579_s_at	Mm.198817	Clta	clathrin, light polypeptide (Lca)	2.81	1.49	0.16	0	1.04	1.94	PPP PPP
160252_at	Mm.200876	Cltc	clathrin, heavy polypeptide (Hc)	1.9	0.92	0.14	0	0.52	1.32	PPP PPP
94004_at	Mm.21776	Cnn2	calponin 2	-3.82	-1.93	0.13	0	-2.3	-1.57	PPP PPP
101882_s_at	Mm.4352	Col18a1	procollagen, type XVIII, alpha 1	1.51	0.59	0.11	0.01	0.29	0.89	PPP PPP
99638_at	Mm.4352	Col18a1	procollagen, type XVIII, alpha 1	1.54	0.62	0.08	0	0.39	0.85	PPP PPP
96307_s_at	Mm.190641	Col25a1	collagen, type XXV, alpha 1	1.47	0.55	0.09	0	0.29	0.82	PPP PPP
96648_at	Mm.27317	Coro1a	coronin, actin binding protein 1A	-1.95	-0.97	0.07	0	-1.15	-0.78	PPP PPP
98107_at	Mm.200372	Coro1c	coronin, actin binding protein 1C	-1.57	-0.65	0.05	0	-0.79	-0.51	PPP PPP
102124_f_at	Mm.2136	Cox4a	cytochrome c oxidase, subunit IVa	1.4	0.49	0.08	0	0.27	0.7	PPP PPP
100550_f_at	Mm.548	Cox6c	cytochrome c oxidase, subunit VIc	1.47	0.56	0.09	0	0.31	0.81	PPP PPP
93820_at	Mm.2151	Cox7a2	cytochrome c oxidase, subunit VIIa 2	1.5	0.59	0.07	0	0.4	0.78	PPP PPP
101580_at	Mm.197728	Cox7b	cytochrome c oxidase subunit VIIb	2.08	1.06	0.08	0	0.83	1.28	PPP PPP
99660_f_at	Mm.43786	Cox7c	cytochrome c oxidase, subunit VIIc	1.57	0.65	0.08	0	0.42	0.88	PPP PPP
99661_r_at	Mm.43786	Cox7c	cytochrome c oxidase, subunit VIIc	1.51	0.59	0.06	0	0.42	0.76	PPP PPP
93320_at	Mm.18522	Cpt1a	carnitine palmitoyltransferase 1, liver	-2.56	-1.35	0.12	0	-1.69	-1.02	PPP PPP
160502_at	Mm.459	Creg	cellular repressor of E1A-stimulated genes	1.71	0.77	0.09	0	0.52	1.03	PPP PPP
94061_at	Mm.22049	Crip1	cysteine-rich protein 1 (intestinal)	-5.37	-2.42	0.16	0	-2.86	-1.99	PPP PPP
101879_s_at	Mm.88295	Crry	complement receptor related protein	-1.45	-0.54	0.1	0.01	-0.81	-0.27	PPP PPP
103817_at	Mm.20904	Crtap	cartilage associated protein	1.58	0.66	0.14	0.01	0.28	1.03	PPP PPP
101450_at	Mm.795	Csf1	colony stimulating factor 1 (macrophage)	3.49	1.8	0.16	0	1.35	2.26	PPP PPP
99330_at	Mm.255931	Csf2ra	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	-2.61	-1.38	0.06	0	-1.56	-1.21	PPP PPP
93198_at	Mm.56915	Csf3r	colony stimulating factor 3 receptor (granulocyte)	-1.84	-0.88	0.1	0	-1.16	-0.6	PPP PPP
101845_s_at	Mm.248553	Csprs	component of Sp100-rs	-3.1	-1.63	0.14	0	-2.01	-1.26	PPA PPA
100581_at	Mm.6095	Cstb	cystatin B	-1.49	-0.58	0.1	0	-0.86	-0.29	PPP PPP
101081_at	Mm.7286	Ctbp1	C-terminal binding protein 1	-1.48	-0.57	0.07	0	-0.76	-0.38	PPP PPP
94834_at	Mm.2277	Ctsh	cathepsin H	-5.2	-2.38	0.15	0	-2.79	-1.97	PPP PPP
160406_at	Mm.272085	Ctsk	cathepsin K	-2.32	-1.21	0.21	0	-1.81	-0.62	PPP PPP
94054_at	Mm.205601	Cttn	cortactin	1.84	0.88	0.11	0	0.59	1.17	PPP PPP
96232_at	Mm.196586	Cul2	cullin 2	1.43	0.51	0.06	0	0.34	0.69	PPP PPP
103922_f_at	Mm.148348	Cyb5r1-pending	cytochrome b5 reductase 1 (B5R.1)	-1.43	-0.52	0.09	0	-0.76	-0.28	PPP PPP
100300_at	Mm.200362	Cybb	cytochrome b-245, beta polypeptide	-2.59	-1.37	0.16	0	-1.82	-0.93	PPP PPP
98910_at	Mm.258466	D030012E24Rik	RIKEN cDNA D030012E24 gene	-1.39	-0.48	0.06	0	-0.65	-0.3	PPP PPP
96526_at	Mm.168541	D030029J20Rik	RIKEN cDNA D030029J20 gene	2.2	1.14	0.15	0	0.72	1.56	PPA PPA
100743_at	Mm.258973	D030070L09Rik	RIKEN cDNA D030070L09 gene	-1.64	-0.71	0.1	0	-0.98	-0.45	PPP PPP
94526_at	Mm.254114	D10Ertd214e	DNA segment, Chr 10, ERATO Doi 214, expressed	1.89	0.92	0.16	0	0.48	1.36	PPP PPP
95161_at	Mm.29490	D10Ertd73e	DNA segment, Chr 10, ERATO Doi 73, expressed	-1.42	-0.5	0.08	0	-0.73	-0.27	PPP PPP
160455_s_at	Mm.38994	D10Ertd749e	DNA segment, Chr 10, ERATO Doi 749, expressed	1.5	0.58	0.08	0	0.37	0.8	PPP PPP
99087_at	Mm.38994	D10Ertd749e	DNA segment, Chr 10, ERATO Doi 749, expressed	1.52	0.6	0.07	0	0.42	0.78	PPP PPP
160395_at	Mm.30177	D11Ertd603e	DNA segment, Chr 11, ERATO Doi 603, expressed	1.92	0.94	0.21	0.01	0.37	1.51	PPA PPA
97241_at	Mm.27839	D19Ertd721e	DNA segment, Chr 19, ERATO Doi 721, expressed	1.77	0.83	0.09	0	0.58	1.07	PPP PPP
104633_at	Mm.34248	Dab2	disabled homolog 2 (Drosophila)	4.01	2	0.16	0	1.55	2.46	PPA PPA
98044_at	Mm.34248	Dab2	disabled homolog 2 (Drosophila)	2.41	1.27	0.12	0	0.93	1.61	PPP PPP
98045_s_at	Mm.34248	Dab2	disabled homolog 2 (Drosophila)	3.53	1.82	0.14	0	1.42	2.22	PPP PPP
93842_at	Mm.222867	Dap	death-associated protein	-1.45	-0.53	0.09	0	-0.77	-0.29	PPP PPP
94454_at	Mm.28797	Dazap2	DAZ associated protein 2	-1.61	-0.69	0.14	0.01	-1.08	-0.29	PPP PPP
98071_f_at	Mm.3446	Dck	deoxycytidine kinase	-1.74	-0.8	0.1	0	-1.09	-0.51	PPP PPP
92887_at	Mm.1457	Ddah2	dimethylarginine dimethylaminohydrolase 2	1.56	0.64	0.08	0	0.41	0.86	PPP PPP
101179_at	Mm.267061	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	2.73	1.45	0.26	0.01	0.73	2.18	PPP PPP
104681_at	Mm.3282	Diap1	diaphanous homolog 1 (Drosophila)	-1.51	-0.6	0.11	0.01	-0.89	-0.3	PPP PPP
99949_at	Mm.275376	Doc2a	double C2, alpha	-1.46	-0.54	0.07	0	-0.74	-0.35	PPP PPP
92730_at	Mm.4661	Dtr	diphtheria toxin receptor	1.61	0.68	0.11	0	0.38	0.99	PPP PPP
93285_at	Mm.1791	Dusp6	dual specificity phosphatase 6	4.12	2.04	0.17	0	1.58	2.5	PPA PPA
93627_at	Mm.275894	E430019N21Rik	RIKEN cDNA E430019N21 gene	1.87	0.91	0.12	0	0.58	1.23	PPP PPP
93608_at	Mm.7254	Ebi3	Epstein-Barr virus induced gene 3	1.62	0.69	0.12	0	0.36	1.03	PPP PPP
98525_f_at	Mm.35829	edr	erythroid differentiation regulator	3.25	1.7	0.2	0	1.15	2.25	PPP PPP
93783_at	Mm.2131	Ela1	elastase 1, pancreatic	1.51	0.59	0.07	0	0.39	0.8	PPP PPP
93496_at	Mm.19130	Elovl5	ELOVL family member 5, elongation of long chain fatty acids (yeast)	-1.55	-0.63	0.1	0	-0.9	-0.35	PPP PPP
93593_f_at	Mm.20829	Emp3	epithelial membrane protein 3	-1.86	-0.89	0.06	0	-1.07	-0.71	PPP PPP
100134_at	Mm.225297	Eng	endoglin	-1.73	-0.79	0.06	0	-0.95	-0.64	PPP PPP
100051_at	Mm.4441	NA	erythrocyte protein band 7.2	-1.62	-0.7	0.06	0	-0.88	-0.52	PPP PPP
98446_s_at	Mm.34533	Ephb4	Eph receptor B4	1.52	0.61	0.05	0	0.45	0.76	PPP PPP
103977_at	Mm.2578	F10	coagulation factor X	-9.07	-3.18	0.24	0	-3.85	-2.52	APP APP
161458_at	Mm.4827	F7	coagulation factor VII	-1.63	-0.7	0.09	0	-0.94	-0.46	PPP PPP
160544_at	Mm.741	Fabp5	fatty acid binding protein 5, epidermal	2.5	1.32	0.09	0	1.08	1.57	PPP PPP
101793_at	Mm.150	Fcgr1	Fc receptor, IgG, high affinity I	2.1	1.07	0.24	0.01	0.41	1.74	PPP PPP
102879_s_at	Mm.150	Fcgr1	Fc receptor, IgG, high affinity I	1.9	0.92	0.16	0	0.49	1.36	PPP PPP
102337_s_at	Mm.10809	Fcgr2b	Fc receptor, IgG, low affinity IIb	4.41	2.14	0.28	0	1.36	2.92	PPP PPP
102065_at	Mm.10510	Fcna	ficolin A	-2.32	-1.22	0.11	0	-1.52	-0.92	PPP PPP
99098_at	Mm.39472	Fdps	farnesyl diphosphate synthetase	2.11	1.07	0.18	0	0.58	1.57	PPP PPP
97509_f_at	Mm.254496	Fgfr1	fibroblast growth factor receptor 1	-2.86	-1.52	0.14	0	-1.91	-1.13	PPP PPP
160253_at	Mm.141021	Fgls-pending	fragilis	-5.91	-2.56	0.18	0	-3.07	-2.05	PPP PPP
94697_at	Mm.1338	Fgr	Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog	-2.52	-1.33	0.08	0	-1.56	-1.1	PPP PPP
99148_at	Mm.41502	Fh1	fumarate hydratase 1	1.52	0.6	0.08	0	0.38	0.81	PPP PPP
97964_at	Mm.30729	Fkbp11	FK506 binding protein 11	1.66	0.73	0.15	0.01	0.32	1.14	PPP PPP
95637_at	Mm.28095	Flnb	filamin, beta	-3.87	-1.95	0.17	0	-2.41	-1.49	PPP PPP
96183_at	Mm.212914	Foxp1	forkhead box P1	-1.56	-0.65	0.09	0	-0.91	-0.38	PPP PPP
94794_at	Mm.1776	Fth	ferritin heavy chain	1.53	0.61	0.05	0	0.46	0.76	PPP PPP
103394_at	Mm.1870	Fxyd5	FXYD domain-containing ion transport regulator 5	-2.37	-1.24	0.13	0	-1.59	-0.89	PPP PPP
160516_at	Mm.4793	Gaa	glucosidase, alpha, acid	-1.47	-0.55	0.06	0	-0.73	-0.38	PPP PPP
102292_at	Mm.1236	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	2.59	1.37	0.12	0	1.05	1.7	PPP PPP
102779_at	Mm.1360	Gadd45b	growth arrest and DNA-damage-inducible 45 beta	-1.79	-0.84	0.15	0.01	-1.26	-0.42	PPP PPP
99067_at	Mm.3982	Gas6	growth arrest specific 6	5.5	2.46	0.17	0	1.98	2.94	PPP PPP
160335_at	Mm.29340	Gclm	glutamate-cysteine ligase , modifier subunit	2.75	1.46	0.22	0	0.86	2.06	PPP PPP
92476_at	Mm.4213	Gdf3	growth differentiation factor 3	-2.55	-1.35	0.14	0	-1.74	-0.96	PPP PPP
102993_at	Mm.1548	Ggta1	glycoprotein galactosyltransferase alpha 1, 3	2.66	1.41	0.11	0	1.09	1.73	PPP PPP
103647_at	Mm.255070	Glb1	galactosidase, beta 1	1.54	0.63	0.08	0	0.41	0.84	PPP PPP
161754_f_at	Mm.255070	Glb1	galactosidase, beta 1	1.62	0.69	0.13	0.01	0.33	1.06	PPP PPP
104276_at	Mm.22213	Glipr2	GLI pathogenesis-related 2	-1.47	-0.56	0.08	0	-0.78	-0.34	PPP PPP
95722_at	Mm.25844	Glrx1	glutaredoxin 1 (thioltransferase)	1.54	0.62	0.1	0	0.36	0.89	PPP PPP
104524_at	Mm.275766	Gltp-pending	glycolipid transfer protein	-1.57	-0.65	0.07	0	-0.85	-0.45	PPP PPP
92586_at	Mm.10600	Glud	glutamate dehydrogenase	-1.79	-0.84	0.1	0	-1.11	-0.58	PPP PPP
96911_at	Mm.30141	Gnb2	guanine nucleotide binding protein, beta 2	-1.33	-0.41	0.05	0	-0.54	-0.28	PPP PPP
160893_at	Mm.46299	Gngt2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	-1.59	-0.67	0.13	0.01	-1.03	-0.31	PPP PPP
100573_f_at	Mm.589	Gpi1	glucose phosphate isomerase 1	2.11	1.08	0.25	0.01	0.38	1.78	PPP PPP
102040_at	Mm.10193	Gprk6	G protein-coupled receptor kinase 6	-1.81	-0.86	0.16	0.01	-1.29	-0.42	PPP PPP
93764_at	Mm.21162	Grim19-pending	genes associated with retinoid-IFN-induced mortality 19	1.6	0.68	0.09	0	0.42	0.93	PPP PPP
93066_at	Mm.1568	Grn	granulin	-1.62	-0.7	0.08	0	-0.93	-0.47	PPP PPP
93750_at	Mm.21109	Gsn	gelsolin	1.74	0.8	0.1	0	0.51	1.09	PPP PPP
103038_at	Mm.16224	Guca1a	guanylate cyclase activator 1a (retina)	-1.63	-0.7	0.1	0	-0.98	-0.43	PPP PPP
92866_at	Mm.175310	H2-Aa	histocompatibility 2, class II antigen A, alpha	-6.31	-2.66	0.22	0	-3.26	-2.06	PPP PPP
