Order	F	ProbeS et	Contrast	P value	Bootstrap	Gene	Chromosome	Description
31	27.28	39040_at	1792.76	0.126	278.3	UBE2J1	6q16.1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)
32	26.98	37047_at	852.06	0.196	350.5	NPC1	18q11-q12	Niemann-Pick disease, type C1
33	26.84	32916_at	2837.94	0.083	228.4	PTPRE	10q26	protein tyrosine phosphatase, receptor type, E
34	26.55	41133_at	-1620.16	0.063	186.4	G3BP	5q33.1	Ras-GTPase-activating protein SH3-domain-binding protein
35	26.5	37656_at	-1707.55	0.047	136.2	SCAP	3p21.31	SREBP CLEAVAGE-ACTIVATING PROTEIN
36	26.43	37442_at	1785.21	0.077	215.3	DKFZp58 6I1420	7p15.1	hypothetical protein DKFZp586I1420
37	26.4	37246_at	-1130.56	0.069	169.6	24432	16q22.1	hypothetical protein 24432
38	25.65	1877_g_ at	1368.54	0.08	260.4			---
39	25.63	35303_at	1820.59	0.121	309.6	INSIG1	7q36	insulin induced gene 1
40	25.6	36076_g _at	-863.56	0.053	196.6	RABL4	22q13.1	RAB, member of RAS oncogene family-like 4
41	25.41	34404_at	-791.35	0.055	230	COPS7A	12p13.31	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)
42	25.3	36652_at	-1755.74	0.074	254.8	UROS	10q25.2-q26.3	uroporphyrinogen III synthase (congenital erythropoietic porphyria)
43	25.18	32198_at	-1163.48	0.08	230.5	FLJ20452	15q23	hypothetical protein FLJ20452
44	25.17	35840_at	-1136.62	0.056	186.3	DKFZP5 66H073	17p13.3	DKFZP566H073 protein
45	25.01	35659_at	2110.75	0.08	313	IL10RA	11q23	interleukin 10 receptor, alpha
46	24.93	36128_at	1594.78	0.148	291.1	TMP21	14q24.3	transmembrane trafficking protein
47	24.73	38944_at	2333.1	0.119	258.9	MADH3	15q21-q22	MAD, mothers against decapentaplegic homolog 3 (Drosophila)
48	24.56	37950_at	-585.39	0.089	262.4	PREP	6q22	prolyl endopeptidase
49	24.32	32745_at	-1048.35	0.078	243.9	MRPL40	22q11.21	mitochondrial ribosomal protein L40
50	24.28	39004_at	-1056.69	0.08	251	MRPS11	15q25	mitochondrial ribosomal protein S11
