Probe set	Gene Name	Gene symbol	Fold change  HB/NL	p value
203304_at	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	BAMBI	3	0.0007258
201417_at	SRY (sex determining region Y)-box 4	SOX4	3	0.0003117
203878_s_at	matrix metallopeptidase 11 (stromelysin 3)	MMP11	3	3.12E-05
213241_at	plexin C1	PLXNC1	3	1.34E-05
221750_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	HMGCS1	3	6.42E-05
202813_at	TAR (HIV) RNA binding protein 1	TARBP1	3	1.80E-06
200907_s_at	palladin	KIAA0992	2.9	2.12E-05
200771_at	laminin, gamma 1 (formerly LAMB2)	LAMC1	2.9	0.0002098
201275_at	farnesyl diphosphate synthase	FDPS	2.9	0.0002364
218622_at	nucleoporin 37kDa	NUP37	2.9	5.17E-05
215001_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	2.9	9.41E-05
201951_at	activated leukocyte cell adhesion molecule	ALCAM	2.9	3.75E-05
40093_at	Lutheran blood group (Auberger b antigen included)	LU	2.8	4.78E-05
202551_s_at	cysteine rich transmembrane BMP regulator 1 (chordin-like)	CRIM1	2.8	0.0004136
201956_s_at	glyceronephosphate O-acyltransferase	GNPAT	2.8	1.00E-07
201681_s_at	discs, large homolog 5 (Drosophila)	DLG5	2.8	0.0002423
219602_s_at	family with sequence similarity 38, member B	FAM38B	2.8	8.00E-07
205923_at	reelin	RELN	2.7	0.0006115
205862_at	GREB1 protein	GREB1	2.7	0.0001609
203482_at	chromosome 10 open reading frame 6	C10orf6	2.7	2.40E-06
201943_s_at	carboxypeptidase D	CPD	2.7	9.02E-05
202326_at	euchromatic histone-lysine N-methyltransferase 2	EHMT2	2.7	2.80E-06
219675_s_at	UDP-glucuronate decarboxylase 1	UXS1	2.7	2.00E-07
205055_at	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	ITGAE	2.7	0.0001218
202561_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	TNKS	2.7	3.30E-06
209014_at	melanoma antigen family D, 1	MAGED1	2.7	3.00E-07
205880_at	protein kinase D1	PRKD1	2.7	0.0004545
218816_at	leucine rich repeat containing 1	LRRC1	2.7	5.28E-05
201841_s_at	heat shock 27kDa protein 1	HSPB1	2.7	< 1e-07
209154_at	Tax1 (HTLV1) binding protein 3	TAX1BP3	2.7	2.05E-05
212675_s_at	KIAA0582	KIAA0582	2.6	3.40E-06
212554_at	CAP, adenylate cyclase-associated protein, 2 (yeast)	CAP2	2.6	0.000532
200052_s_at	interleukin enhancer binding factor 2, 45kDa	ILF2	2.6	7.30E-06
219221_at	zinc finger and BTB domain containing 38	ZBTB38	2.6	0.0003133
205380_at	PDZ domain containing 1	PDZK1	2.6	0.0008553
218257_s_at	UDP-glucose ceramide glucosyltransferase-like 1	UGCGL1	2.6	0.0003315
207513_s_at	zinc finger protein 189	ZNF189	2.6	< 1e-07
212218_s_at	fatty acid synthase	FASN	2.6	0.0003606
214949_at			2.6	0.000163
202365_at	hypothetical protein MGC5139	MGC5139	2.5	8.00E-07
212765_at	calmodulin regulated spectrin-associated protein1-like 1	CAMSAP1L1	2.5	2.95E-05
205463_s_at	platelet-derived growth factor alpha polypeptide	PDGFA	2.5	7.19E-05
215017_s_at	formin binding protein 1-like	FNBP1L	2.5	8.71E-05
201578_at	podocalyxin-like	PODXL	2.5	4.76E-05
201919_at	Solute carrier family 25, member 36	FLJ10618	2.5	0.0001795
212186_at	acetyl-Coenzyme A carboxylase alpha	ACACA	2.5	2.19E-05
201952_at	activated leukocyte cell adhesion molecule	ALCAM	2.5	7.86E-05
201075_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	SMARCC1	2.5	6.47E-05
221824_s_at	membrane-associated ring finger (C3HC4) 8		2.5	3.14E-05
201941_at	carboxypeptidase D	CPD	2.5	1.53E-05
200911_s_at	transforming, acidic coiled-coil containing protein 1	TACC1	2.5	4.03E-05
210976_s_at	phosphofructokinase, muscle	PFKM	2.5	0.0001632
201892_s_at	IMP (inosine monophosphate) dehydrogenase 2	IMPDH2	2.5	0.0003108
212677_s_at	KIAA0582	KIAA0582	2.4	9.00E-07
218594_at	HEAT repeat containing 1	HEATR1	2.4	0.0001217
208999_at	septin 8		2.4	6.00E-07
209194_at	centrin, EF-hand protein, 2	CETN2	2.4	5.90E-06
221830_at	RAP2A, member of RAS oncogene family	RAP2A	2.4	3.90E-06
209043_at	3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	2.4	0.0002912
219616_at	FLJ21963 protein	FLJ21963	2.4	0.0003012
202892_at	CDC23 (cell division cycle 23, yeast, homolog)	CDC23	2.4	4.85E-05
218350_s_at	geminin, DNA replication inhibitor	GMNN	2.4	0.0006753
209647_s_at	suppressor of cytokine signaling 5	SOCS5	2.4	2.90E-06
219127_at	hypothetical protein MGC11242	MGC11242	2.4	0.0007918
218909_at	ribosomal protein S6 kinase, 52kDa, polypeptide 1	RPS6KC1	2.4	1.36E-05
202762_at	Rho-associated, coiled-coil containing protein kinase 2	ROCK2	2.4	1.80E-06
205020_s_at	ADP-ribosylation factor-like 4	ARL4	2.4	0.000771
213839_at	KIAA0500 protein	KIAA0500	2.4	0.0009794
220755_s_at	chromosome 6 open reading frame 48	C6orf48	2.4	8.90E-06
213022_s_at	utrophin (homologous to dystrophin)	UTRN	2.4	0.0003244
203825_at	bromodomain containing 3	BRD3	2.3	< 1e-07
218627_at	hypothetical protein FLJ11259	FLJ11259	2.3	0.0006898
212921_at	SET and MYND domain containing 2	SMYD2	2.3	0.0008209
213581_at	programmed cell death 2	PDCD2	2.3	0.0004823
212846_at	KIAA0179	KIAA0179	2.3	2.40E-05
213023_at	utrophin (homologous to dystrophin)	UTRN	2.3	0.0002107
202047_s_at	chromobox homolog 6	CBX6	2.3	0.0008788
219137_s_at	chromosome 2 open reading frame 33	C2orf33	2.3	2.00E-06
213720_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	2.3	3.04E-05
200882_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	PSMD4	2.3	7.70E-06
208660_at	citrate synthase	CS	2.3	3.70E-06
200999_s_at	cytoskeleton-associated protein 4	CKAP4	2.3	0.0007782
202754_at	R3H domain containing 1	R3HDM1	2.3	0.000272
219192_at	ubiquitin associated protein 2	UBAP2	2.3	0.000453
213864_s_at	nucleosome assembly protein 1-like 1	NAP1L1	2.3	0.000469
219436_s_at	endomucin	EMCN	2.3	0.0004641
204215_at	chromosome 7 open reading frame 23	C7orf23	2.3	0.000834
218019_s_at	pyridoxal (pyridoxine, vitamin B6) kinase	PDXK	2.3	0.000533
208939_at	selenophosphate synthetase 1	SEPHS1	2.3	1.40E-06
200662_s_at	translocase of outer mitochondrial membrane 20 homolog (yeast)	TOMM20	2.3	0.0002033
202314_at	cytochrome P450, family 51, subfamily A, polypeptide 1	CYP51A1	2.3	0.0004375
200910_at	chaperonin containing TCP1, subunit 3 (gamma)	CCT3	2.3	0.0003065
218459_at	torsin family 3, member A	TOR3A	2.3	0.0001475
200884_at	creatine kinase, brain	CKB	2.2	0.0003167
208783_s_at	membrane cofactor protein (CD46)	MCP	2.2	1.03E-05
206272_at	S-phase response (cyclin-related)	SPHAR	2.2	1.83E-05
204528_s_at	nucleosome assembly protein 1-like 1	NAP1L1	2.2	0.0001328
208843_s_at	golgi reassembly stacking protein 2, 55kDa	GORASP2	2.2	2.20E-06
220202_s_at	membrane associated DNA binding protein	MNAB	2.2	2.38E-05
202184_s_at	nucleoporin 133kDa	NUP133	2.2	1.18E-05
213093_at	protein kinase C, alpha	PRKCA	2.2	5.25E-05
202967_at	glutathione S-transferase A4	GSTA4	2.2	0.0008344
218526_s_at	RAN guanine nucleotide release factor	RANGNRF	2.2	2.63E-05
201518_at	chromobox homolog 1 (HP1 beta homolog )	CBX1	2.2	7.17E-05
202166_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 2	PPP1R2	2.2	0.0004517
203298_s_at	Jumonji, AT rich interactive domain 2	JARID2	2.2	0.0001689
212956_at	KIAA0882 protein	KIAA0882	2.2	0.0003304
212547_at	FLJ35348 /// Bromodomain containing 3	FLJ35348 /// BRD3	2.2	2.00E-07
201918_at	Solute carrier family 25, member 36	FLJ10618	2.2	0.0007167
201940_at	carboxypeptidase D	CPD	2.2	0.0002806
209586_s_at	prune homolog (Drosophila)	PRUNE	2.2	2.55E-05
201378_s_at	ubiquitin associated protein 2-like	UBAP2L	2.2	5.10E-06
218258_at	polymerase (RNA) I polypeptide D, 16kDa	POLR1D	2.2	4.38E-05
201529_s_at	replication protein A1, 70kDa	RPA1	2.2	4.80E-06
208753_s_at	nucleosome assembly protein 1-like 1	NAP1L1	2.2	0.0005748
203429_s_at	chromosome 1 open reading frame 9	C1orf9	2.2	0.0004044
201528_at	replication protein A1, 70kDa	RPA1	2.2	2.30E-06
200998_s_at	cytoskeleton-associated protein 4	CKAP4	2.2	0.0002945
200726_at	protein phosphatase 1, catalytic subunit, gamma isoform	PPP1CC	2.2	7.57E-05
200617_at	KIAA0152	KIAA0152	2.2	6.10E-06
201448_at	TIA1 cytotoxic granule-associated RNA binding protein	TIA1	2.2	0.0002577
201074_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	SMARCC1	2.2	1.18E-05
212776_s_at	obscurin-like 1	OBSL1	2.2	0.0003012
212928_at	TSPY-like 4	TSPYL4	2.2	0.000323
208659_at	chloride intracellular channel 1	CLIC1	2.2	7.50E-06
209585_s_at	multiple inositol polyphosphate histidine phosphatase, 1	MINPP1	2.2	9.30E-06
217188_s_at	chromosome 14 open reading frame 1	C14orf1	2.2	0.0002503
205449_at	SAC3 domain containing 1	SAC3D1	2.2	9.85E-05
201515_s_at	translin	TSN	2.1	0.0001187
210460_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	PSMD4	2.1	4.20E-06
209268_at	vacuolar protein sorting 45A (yeast)	VPS45A	2.1	1.02E-05
213186_at	zinc finger DAZ interacting protein 3	DZIP3	2.1	0.0001881
216199_s_at	mitogen-activated protein kinase kinase kinase 4	MAP3K4	2.1	4.00E-07
201636_at	fragile X mental retardation, autosomal homolog 1	FXR1	2.1	< 1e-07
201874_at	myelin protein zero-like 1	MPZL1	2.1	1.90E-05
203714_s_at	tubulin-specific chaperone e	TBCE	2.1	0.0001418
202908_at	Wolfram syndrome 1 (wolframin)	WFS1	2.1	7.40E-06
206571_s_at	mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	2.1	0.0001078
207812_s_at	golgi reassembly stacking protein 2, 55kDa	GORASP2	2.1	3.23E-05
218184_at	tubby like protein 4	TULP4	2.1	1.40E-06
211202_s_at	Jumonji, AT rich interactive domain 1B (RBP2-like)	JARID1B	2.1	8.40E-06
220305_at	hypothetical protein MGC3260	MGC3260	2.1	0.0001995
202562_s_at	chromosome 14 open reading frame 1	C14orf1	2.1	1.54E-05
209787_s_at	high mobility group nucleosomal binding domain 4	HMGN4	2.1	0.0005493
212345_s_at	cAMP responsive element binding protein 3-like 2	CREB3L2	2.1	4.44E-05
201377_at	ubiquitin associated protein 2-like	UBAP2L	2.1	1.74E-05
207700_s_at	nuclear receptor coactivator 3	NCOA3	2.1	7.20E-06
221522_at	ankyrin repeat domain 27 (VPS9 domain)	ANKRD27	2.1	2.50E-05
208682_s_at	melanoma antigen family D, 2	MAGED2	2.1	9.70E-06
212591_at	RNA binding motif protein 34	RBM34	2.1	0.0001857
205807_s_at	tuftelin 1	TUFT1	2.1	0.0004759
212690_at	DDHD domain containing 2	DDHD2	2.1	0.0009082
214948_s_at	TATA element modulatory factor 1	TMF1	2.1	7.67E-05
205425_at	huntingtin interacting protein 1	HIP1	2.1	0.0008495
219485_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	PSMD10	2.1	1.00E-07
212605_s_at	Nudix (nucleoside diphosphate linked moiety X)-type motif 3	NUDT3	2.1	0.0009203
212474_at	KIAA0241 protein	KIAA0241	2	1.12E-05
202165_at	protein phosphatase 1, regulatory (inhibitor) subunit 2	PPP1R2	2	0.0003061
205097_at	solute carrier family 26 (sulfate transporter), member 2	SLC26A2	2	0.0007844
202246_s_at	cyclin-dependent kinase 4	CDK4	2	0.0002884
202220_at	KIAA0907	KIAA0907	2	1.66E-05
211340_s_at	melanoma cell adhesion molecule	MCAM	2	5.00E-06
210878_s_at	jumonji domain containing 1B	JMJD1B	2	9.00E-07
201247_at	sterol regulatory element binding transcription factor 2	SREBF2	2	8.00E-07
218168_s_at	chaperone, ABC1 activity of bc1 complex like (S. pombe)	CABC1	2	0.0003474
211538_s_at	heat shock 70kDa protein 2	HSPA2	2	0.0006682
212168_at	RNA binding motif protein 12	RBM12	2	0.0003823
213002_at	Myristoylated alanine-rich protein kinase C substrate	MARCKS	2	0.0001229
218641_at	hypothetical protein MGC3032	MGC3032	2	0.0003198
218528_s_at	ring finger protein 38	RNF38	2	< 1e-07
212126_at	Chromobox homolog 5 (HP1 alpha homolog, Drosophila)	CBX5	2	4.34E-05
215464_s_at	Tax1 (human T-cell leukemia virus type I) binding protein 3	TAX1BP3	2	0.0001437
213677_s_at	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	PMS1	2	0.0002561
201746_at	tumor protein p53 (Li-Fraumeni syndrome)	TP53	2	0.0008311
218344_s_at	REST corepressor 3	RCOR3	2	0.0003231
209279_s_at	NAD(P) dependent steroid dehydrogenase-like	NSDHL	2	0.00027
201504_s_at	translin	TSN	2	0.0009481
200778_s_at	septin 2	2-Sep	2	0.0008548
221509_at	density-regulated protein	DENR	2	0.0003144
218595_s_at	HEAT repeat containing 1	HEATR1	2	0.0005088
212919_at	DCP2 decapping enzyme homolog (S. cerevisiae)	DCP2	2	3.30E-06
200064_at	heat shock 90kDa protein 1, beta /// heat shock 90kDa protein 1, beta	HSPCB	2	7.54E-05
210869_s_at	melanoma cell adhesion molecule	MCAM	2	2.30E-05
212145_at	mitochondrial ribosomal protein S27	MRPS27	2	2.61E-05
201555_at	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	MCM3	2	0.0007561
221825_at	angel homolog 2 (Drosophila)	ANGEL2	2	3.98E-05
213168_at	Sp3 transcription factor	SP3	2	2.60E-06
201833_at	histone deacetylase 2	HDAC2	2	0.0006019
206264_at	glycosylphosphatidylinositol specific phospholipase D1	GPLD1	0.5	0.0009484
207735_at	ring finger protein 125	RNF125	0.5	0.0005376
204824_at	endonuclease G	ENDOG	0.5	6.50E-05
201995_at	exostoses (multiple) 1	EXT1	0.5	0.0003944
213820_s_at	START domain containing 5	STARD5	0.5	1.50E-06
204119_s_at	adenosine kinase	ADK	0.5	0.0001199
200797_s_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	0.5	0.0009516
205012_s_at	hydroxyacylglutathione hydrolase	HAGH	0.5	3.98E-05
202724_s_at	forkhead box O1A (rhabdomyosarcoma)	FOXO1A	0.5	3.90E-06
202366_at	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	ACADS	0.5	0.000191
202723_s_at	forkhead box O1A (rhabdomyosarcoma)	FOXO1A	0.5	0.0004938
220070_at	hypothetical protein FLJ13798	FLJ13798	0.5	0.0001199
204231_s_at	fatty acid amide hydrolase	FAAH	0.5	2.10E-06
214308_s_at	homogentisate 1,2-dioxygenase	HGD	0.5	0.0008804
212400_at	chromosome 9 open reading frame 132	C9orf132	0.5	1.94E-05
212736_at	chromosome 16 open reading frame 45	C16orf45	0.5	0.0005047
203837_at	mitogen-activated protein kinase kinase kinase 5	MAP3K5	0.5	0.00065
219313_at	hypothetical protein DKFZp434C0328	DKFZp434C0328	0.5	0.0001908
209760_at	KIAA0922 protein	KIAA0922	0.5	5.26E-05
205790_at	src family associated phosphoprotein 1	SCAP1	0.5	0.0001992
222121_at	Src homology 3 domain-containing guanine nucleotide exchange factor	SGEF	0.5	< 1e-07
218983_at	complement component 1, r subcomponent-like	C1RL	0.5	0.0004942
201339_s_at	sterol carrier protein 2	SCP2	0.5	0.0004747
205221_at	homogentisate 1,2-dioxygenase (homogentisate oxidase)	HGD	0.5	0.0009788
202502_at	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	ACADM	0.5	0.0003595
202675_at	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	SDHB	0.5	0.0005028
204263_s_at	carnitine palmitoyltransferase II	CPT2	0.5	0.0001446
221928_at	acetyl-Coenzyme A carboxylase beta	ACACB	0.5	8.00E-07
208158_s_at	oxysterol binding protein-like 1A	OSBPL1A	0.5	5.10E-06
214203_s_at	proline dehydrogenase (oxidase) 1	PRODH	0.5	6.14E-05
205192_at	mitogen-activated protein kinase kinase kinase 14	MAP3K14	0.5	1.96E-05
203814_s_at	NAD(P)H dehydrogenase, quinone 2	NQO2	0.5	0.0006781
215783_s_at	alkaline phosphatase, liver/bone/kidney	ALPL	0.5	9.10E-06
205073_at	cytochrome P450, family 2, subfamily J, polypeptide 2	CYP2J2	0.5	0.0008901
206756_at	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	CHST7	0.5	1.00E-07
218804_at	transmembrane protein 16A	TMEM16A	0.5	0.000118
204150_at	stabilin 1	STAB1	0.5	0.0006625
203058_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	0.5	0.0004706
214056_at	Myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	0.5	0.0007941
213375_s_at	hypothetical gene CG018	CG018	0.5	0.000179
214307_at	homogentisate 1,2-dioxygenase (homogentisate oxidase)	HGD	0.5	0.0004117
215498_s_at	mitogen-activated protein kinase kinase 3 /// mitogen-activated protein kinase kinase 3	MAP2K3	0.5	1.17E-05
217741_s_at	zinc finger, A20 domain containing 2	ZA20D2	0.4	4.40E-06
214829_at	aminoadipate-semialdehyde synthase	AASS	0.4	2.30E-06
207537_at	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	PFKFB1	0.4	2.72E-05
210473_s_at	G protein-coupled receptor 125	GPR125	0.4	6.60E-06
217289_s_at	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	SLC37A4	0.4	0.0005485
208369_s_at	glutaryl-Coenzyme A dehydrogenase	GCDH	0.4	1.20E-05
206344_at	paraoxonase 1	PON1	0.4	0.000339
205439_at	glutathione S-transferase theta 2	GSTT2	0.4	3.74E-05
206237_s_at	neuregulin 1	NRG1	0.4	< 1e-07
207630_s_at	cAMP responsive element modulator	CREM	0.4	1.69E-05
205566_at	abhydrolase domain containing 2	ABHD2	0.4	8.70E-06
218504_at	fumarylacetoacetate hydrolase domain containing 2A	FAHD2A	0.4	5.00E-06
214835_s_at	succinate-CoA ligase, GDP-forming, beta subunit	SUCLG2	0.4	2.06E-05
39249_at	aquaporin 3	AQP3	0.4	6.70E-06
210862_s_at	sarcosine dehydrogenase	SARDH	0.4	5.69E-05
202459_s_at	lipin 2	LPIN2	0.4	0.0003684
218024_at	brain protein 44-like	BRP44L	0.4	0.0005571
202960_s_at	methylmalonyl Coenzyme A mutase	MUT	0.4	0.0002044
208241_at	neuregulin 1	NRG1	0.4	4.00E-07
205911_at	parathyroid hormone receptor 1	PTHR1	0.4	2.08E-05
206265_s_at	glycosylphosphatidylinositol specific phospholipase D1	GPLD1	0.4	5.00E-07
202460_s_at	lipin 2	LPIN2	0.4	1.02E-05
205730_s_at	actin binding LIM protein family, member 3	ABLIM3	0.4	0.0001922
203500_at	glutaryl-Coenzyme A dehydrogenase	GCDH	0.4	3.00E-07
219059_s_at	extracellular link domain containing 1	XLKD1	0.4	6.69E-05
203233_at	interleukin 4 receptor	IL4R	0.4	7.28E-05
211549_s_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	0.4	4.00E-07
209460_at	4-aminobutyrate aminotransferase	ABAT	0.4	0.0003013
209581_at	HRAS-like suppressor 3	HRASLS3	0.4	3.32E-05
209514_s_at	RAB27A, member RAS oncogene family	RAB27A	0.4	1.20E-06
206007_at	proteoglycan 4	PRG4	0.4	2.00E-06
214279_s_at	NDRG family member 2	NDRG2	0.4	0.0009813
214274_s_at	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	ACAA1	0.4	0.0002325
217647_at	CDNA FLJ40920 fis, clone UTERU2005905		0.4	0.0001348
218935_at	EH-domain containing 3	EHD3	0.4	0.000197
205613_at	synaptotagmin XVII	SYT17	0.4	2.00E-07
212923_s_at	chromosome 6 open reading frame 145	C6orf145	0.4	4.79E-05
204787_at	V-set and immunoglobulin domain containing 4	VSIG4	0.4	0.0003428
204264_at	carnitine palmitoyltransferase II	CPT2	0.4	6.60E-06
213684_s_at	PDZ and LIM domain 5	PDLIM5	0.4	8.39E-05
209967_s_at	cAMP responsive element modulator	CREM	0.4	3.43E-05
207202_s_at	nuclear receptor subfamily 1, group I, member 2	NR1I2	0.4	0.000402
201920_at	solute carrier family 20 (phosphate transporter), member 1	SLC20A1	0.4	2.31E-05
211577_s_at	insulin-like growth factor 1 (somatomedin C)	IGF1	0.4	4.31E-05
213832_at	Clone 24405 mRNA sequence		0.4	0.0006918
32837_at	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	AGPAT2	0.4	8.00E-06
203509_at	sortilin-related receptor, L(DLR class) A repeats-containing	SORL1	0.4	0.0004651
213279_at	dehydrogenase/reductase (SDR family) member 1	DHRS1	0.4	7.70E-06
221188_s_at	cell death-inducing DFFA-like effector b	CIDEB	0.4	0.0004532
220794_at	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)	GREM2	0.4	< 1e-07
202929_s_at	D-dopachrome tautomerase	DDT	0.4	1.80E-06
205042_at	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE	0.4	1.30E-06
202784_s_at	nicotinamide nucleotide transhydrogenase	NNT	0.4	7.03E-05
203566_s_at	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase	AGL	0.4	5.03E-05
218544_s_at	RNA terminal phosphate cyclase-like 1	RCL1	0.4	9.42E-05
221833_at	Seven in absentia homolog 1 (Drosophila)	SIAH1	0.4	0.0001392
202959_at	methylmalonyl Coenzyme A mutase	MUT	0.4	0.0002011
206380_s_at	properdin P factor, complement	PFC	0.4	1.30E-06
