GO id	GO term	Array count	List count	p-value	Gene symbol	Use
6996	organelle organization and biogenesis	831	89	5.02E-13	CHAF1A;SMC4;HUWE1;KIF20A;NDC80;PRMT5;EMG1;NOL5A;CENPA;SMC2;SC65;SPAG5;CENPF;RUVBL2;KIF2C;UBE2C;SEC23IP;SUPT16H;CKS2;MYL6B;LOC146909;DKC1;FBL;EZH2;MAPRE1;PDCD11;AOF2;RRS1;EXOSC2;KIF4A;TIMM9;AATF;HDAC2;HMGB2;HMGA1;KIF11;KPNA2;KRT19;MCM2;MRE11A;MSH2;NHP2L1;NPM1;UTP18;MRTO4;NUSAP1;GTSE1;ATP6V1H;PHB;EXOSC4;DDX56;NCAPG2;CHD7;NOLA2;KIAA1212;TMEM48;UTP6;KIF15;ACTR3B;RAN;RANBP1;RFC1;RPS3;NCAPG;SMARCA1;SMARCB1;SMARCC1;BRCA2;AURKA;SUPT4H1;BUB1B;TOP2A;TTK;TUBG1;WHSC1;HMGA2;KIF18A;TRRAP;RUVBL1;PRC1;NOLC1;IMP4;KIF23;EIF4A3;DLG7;CKAP5;NCAPD2;KIF14;DOPEY2	In biological process
16043	cellular component organization and biogenesis	1922	158	1.79E-12	CHAF1A;SMC4;HUWE1;KIF20A;DDX39;SF3A1;NDC80;PRMT5;EMG1;COG5;VTI1B;MYBBP1A;IPO7;NOL5A;ARFGEF1;CENPA;SMC2;SC65;SPAG5;CENPF;SEPT9;RUVBL2;TXNL4A;KDELR1;TOMM34;KIF2C;UBE2C;SEC23IP;SUPT16H;CKS2;MYL6B;CSE1L;LOC146909;DARS;AP2B1;DDX1;DKC1;EIF4B;ENO1;EPRS;FBL;EZH2;FANCA;NCBP2;MAPRE1;PDCD11;ASCC3L1;AOF2;XPO7;NUP205;MDN1;RRS1;NUP210;EXOSC2;SF3B3;SEC61G;KIF4A;PRPF6;TIMM9;AATF;TMEM97;BZW2;GTF2F1;HDAC2;HMGB2;HMGA1;HRB;BIRC5;HSPD1;EIF3S6;KIF11;KPNA2;RANBP5;KRT19;MAZ;MCM2;MNAT1;MRE11A;MSH2;NHP2L1;NPM1;OXA1L;UTP18;MRTO4;CKLF;NUSAP1;GTSE1;ATP6V1H;ERGIC3;PHB;ATP6AP1;EXOSC4;DDX56;NCAPG2;CHD7;NOLA2;KIAA1212;TMEM48;UTP6;KIF15;ACTR3B;PTPRA;RAN;RANBP1;RFC1;RPL11;RPS3;NCAPG;SFRS1;SMARCA1;SMARCB1;SMARCC1;SNRPD1;SSR3;BRCA2;AURKA;SUPT4H1;TAF9;TAF12;BUB1B;TFRC;TOP2A;TTK;TUBG1;WHSC1;IPO4;HMGA2;KIF18A;CANX;TRRAP;SUPT3H;DGKD;RUVBL1;EIF3S9;EIF3S5;EIF3S3;SFRS9;EIF2B4;EIF2S2;AP1G2;PRC1;NOLC1;IMP4;RPL23;EIF4E2;KIF23;PDIA4;EIF5B;NUP93;CEP57;KNTC1;EIF4A3;DLG7;CKAP5;TOMM20;NCAPD2;KIF14;DOPEY2	In biological process
75	cell cycle checkpoint	47	18	2.00E-12	CENPF;CHEK1;CHEK2;BIRC5;MAD2L1;MSH2;GTSE1;BRCA2;BUB1;BUB1B;TTK;CDT1;MAD1L1;APPBP1;CCNA2;BUB3;KNTC1;CDC6	In biological process
42254	ribosome biogenesis and assembly	57	19	8.67E-12	EMG1;NOL5A;DKC1;FBL;PDCD11;RRS1;EXOSC2;AATF;NHP2L1;NPM1;UTP18;MRTO4;EXOSC4;DDX56;NOLA2;UTP6;NOLC1;IMP4;EIF4A3	In biological process
6974	response to DNA damage stimulus	241	37	3.59E-10	CHAF1A;RAD51AP1;RUVBL2;CHEK1;SUPT16H;CHEK2;PNKP;PARP1;FANCA;XRCC6;MSH6;HMGB2;APEX1;LIG1;LIG3;MNAT1;MRE11A;MSH2;NONO;GTSE1;DTL;PMS1;POLD1;TDP1;PRKDC;BCCIP;RFC4;SFPQ;MMS19L;SSRP1;BRCA2;TOP2A;XRCC5;APPBP1;CCNA2;EEF1E1;RBX1	In biological process
16070	RNA metabolic process	1903	148	7.38E-10	CHAF1A;PQBP1;TRIM28;DDX39;HNRPR;POP7;SF3A1;WARS2;PRMT5;EMG1;MYBBP1A;NOL5A;RNASEH2A;RPP40;RUVBL2;TXNL4A;TCERG1;COPS5;CPSF6;SUPT16H;PHB2;PARP1;AARS;DARS;DDX1;DCP2;DKC1;DNMT1;ARID3A;E2F5;ENO1;EPRS;NR2F6;FBL;EZH2;FARSA;HNRPA3;NCBP2;PDCD11;ASCC3L1;AOF2;HIC2;SR140;EXOSC2;SF3B3;PRPF6;LASS6;XRCC6;LSM4;SERBP1;MYCBP;NUFIP1;GTF2F1;GTF3C2;CPSF1;HDAC2;HMGB2;HMGB3;HMGA1;HNRPC;APEX1;HSF1;IARS;ILF2;ILF3;KARS;MAZ;MCM2;MCM3;MCM4;MCM6;MCM7;MNAT1;MYCN;NHP2L1;NME1;NONO;YBX1;UTP18;DDX41;ESF1;PMS1;POLR2D;EXOSC4;PUS7;DDX56;THG1L;CHD7;NOLA2;YEATS2;UTP6;CNOT6;LSM2;QARS;RAN;RBM4;RFC1;RPS3;SFPQ;MMS19L;SFRS1;SFRS2;CREB3L2;SMARCA1;SMARCA4;SMARCB1;SMARCC1;POLR3D;SNRPB;SNRPD1;SRPK1;SSB;SSRP1;SUPT4H1;TAF9;TAF12;TCEA1;C2orf3;VARS;WHSC1;ZNF207;RDBP;SAP130;ZNF696;PUS1;AARSD1;HMGA2;TRRAP;SUPT3H;CSDA;RUVBL1;RFXANK;SFRS9;PABPC4;TIMELESS;CCNE1;MTA1;NOLC1;IMP4;TRIP13;ZNHIT3;GTF3C3;CIAO1;POLR1C;TGS1;KNTC1;EIF4A3;RB1CC1	In biological process
226	microtubule cytoskeleton organization and biogenesis	58	17	1.07E-09	NDC80;SPAG5;KIF2C;UBE2C;CKS2;MAPRE1;KIF11;NUSAP1;RAN;RANBP1;AURKA;BUB1B;TTK;TUBG1;PRC1;KIF23;CKAP5	In biological process
9058	biosynthetic process	981	89	3.52E-09	WARS2;COPS5;MAN1B1;ADSL;AARS;DARS;DDC;DDOST;DDX1;EEF1D;EIF4A1;EIF4B;EPRS;FARSA;FNTA;PDSS1;LASS6;RSL1D1;GART;AMD1;AATF;BZW2;MRPS18B;MRPL15;HSP90AB1;IARS;IMPDH2;EIF3S6;KARS;LTA4H;MIF;MSH2;ACLY;ATIC;RPL10A;NME1;ODC1;MRPS7;EIF3S6IP;ATP6V1H;DPH5;MRPS33;ATP5G2;PFAS;ATP6AP1;PPAT;AGPAT5;UGCGL2;PSPH;ALDH18A1;ENOPH1;QARS;RPL4;RPL5;RPL8;RPL11;RPL15;RPL18;RPL22;RPL24;RPL28;RPL37A;MRPL12;RPN2;RPS3;RPS6;RPS8;RPS9;RPS16;RPS21;SQLE;TPI1;VARS;CAD;AARSD1;AGPS;EIF3S9;EIF3S5;EIF3S3;PABPC4;EIF2B4;EIF2S2;RPL23;EIF4E2;SPTLC2;EEF1E1;EIF5B;PTDSS1;NUP153	In biological process
7093	mitotic cell cycle checkpoint	24	11	4.33E-09	CENPF;MAD2L1;GTSE1;BRCA2;BUB1;BUB1B;TTK;MAD1L1;CCNA2;BUB3;KNTC1	In biological process
6281	DNA repair	196	31	4.76E-09	CHAF1A;RAD51AP1;RUVBL2;CHEK1;SUPT16H;PNKP;PARP1;FANCA;XRCC6;MSH6;HMGB2;APEX1;LIG1;LIG3;MNAT1;MRE11A;MSH2;NONO;PMS1;POLD1;TDP1;PRKDC;BCCIP;RFC4;SFPQ;MMS19L;SSRP1;BRCA2;TOP2A;XRCC5;RBX1	In biological process
7017	microtubule-based process	134	25	4.88E-09	KIF20A;NDC80;SPAG5;KIF2C;UBE2C;CKS2;LOC146909;MAPRE1;KIF4A;KIF11;KPNA2;NUSAP1;GTSE1;KIF15;RAN;RANBP1;AURKA;BUB1B;TTK;TUBG1;KIF18A;PRC1;KIF23;CKAP5;KIF14	In biological process
51329	interphase of mitotic cell cycle	69	17	1.96E-08	CDK4;CDKN3;CENPF;DBF4;CHEK1;BIRC5;KPNA2;GTSE1;POLD1;SKP2;BRCA2;CDT1;CCNB1;CCNE1;CDC2;CDC6;CDC25C	In biological process
51276	chromosome organization and biogenesis	314	39	5.49E-08	CHAF1A;SMC4;HUWE1;NDC80;PRMT5;CENPA;SMC2;SC65;CENPF;RUVBL2;SUPT16H;DKC1;EZH2;AOF2;HDAC2;HMGB2;HMGA1;MCM2;MRE11A;MSH2;NUSAP1;PHB;NCAPG2;CHD7;RFC1;RPS3;NCAPG;SMARCA1;SMARCB1;SMARCC1;BRCA2;SUPT4H1;TOP2A;WHSC1;HMGA2;TRRAP;RUVBL1;DLG7;NCAPD2	In biological process
6364	rRNA processing	50	14	6.12E-08	EMG1;NOL5A;DKC1;FBL;PDCD11;EXOSC2;UTP18;EXOSC4;DDX56;NOLA2;UTP6;NOLC1;IMP4;EIF4A3	In biological process
6261	DNA-dependent DNA replication	79	17	1.67E-07	PNKP;MSH6;HMGB2;HMGA1;MCM2;MCM3;MCM4;MCM6;MCM7;MSH2;ORC4L;PMS1;KIAA1212;RFC1;RFC4;CDT1;CDC6	In biological process
8380	RNA splicing	174	26	2.68E-07	DDX39;HNRPR;SF3A1;TXNL4A;DDX1;HNRPA3;NCBP2;ASCC3L1;SF3B3;PRPF6;LSM4;HNRPC;NHP2L1;NONO;YBX1;DDX41;LSM2;RBM4;SFPQ;SFRS1;SFRS2;SNRPB;SNRPD1;SRPK1;SFRS9;EIF4A3	In biological process
16071	mRNA metabolic process	236	30	1.18E-06	DDX39;HNRPR;SF3A1;TXNL4A;CPSF6;DDX1;DCP2;HNRPA3;ASCC3L1;SF3B3;PRPF6;LSM4;SERBP1;CPSF1;HNRPC;NHP2L1;NONO;YBX1;DDX41;LSM2;RBM4;SFPQ;SFRS1;SFRS2;SNRPB;SNRPD1;SRPK1;SSB;SFRS9;EIF4A3	In biological process
6457	protein folding	178	25	1.48E-06	CHAF1A;PDIA6;TRAP1;NPM3;CCT7;CCT4;CCT2;RUVBL2;TOMM34;FKBP1B;CCT5;MDN1;DNAJC9;TIMM9;HSP90AB1;HSPD1;DNAJC4;P4HB;DNAJC10;FKBP10;ST13;CCT3;DNAJC7;CANX;CCT6A	In biological process
31577	spindle checkpoint	6	5	1.50E-06	CENPF;BIRC5;BUB1;TTK;BUB3	In biological process
6310	DNA recombination	82	16	1.56E-06	RAD51AP1;RUVBL2;CHEK1;XRCC6;MSH6;KPNA2;LIG1;LIG3;MRE11A;MSH2;NONO;PRKDC;SFPQ;BRCA2;XRCC5;RUVBL1	In biological process
7059	chromosome segregation	50	12	3.28E-06	SMC4;NDC80;SMC2;CENPF;NUSAP1;NCAPG2;NCAPG;SRPK1;TOP2A;RIOK3;DLG7;NCAPD2	In biological process
6418	tRNA aminoacylation for protein translation	39	10	1.15E-05	WARS2;AARS;DARS;EPRS;FARSA;IARS;KARS;QARS;VARS;AARSD1	In biological process
30261	chromosome condensation	18	7	1.19E-05	SMC4;SMC2;NUSAP1;NCAPG2;NCAPG;TOP2A;NCAPD2	In biological process
51649	establishment of cellular localization	613	54	1.29E-05	KIF20A;DDX39;COG5;VTI1B;MYBBP1A;IPO7;ARFGEF1;CENPF;KDELR1;TOMM34;KIF2C;SEC23IP;MYL6B;CSE1L;LOC146909;AP2B1;NCBP2;XPO7;NUP205;NUP210;SEC61G;KIF4A;TIMM9;HRB;BIRC5;HSPD1;KIF11;KPNA2;RANBP5;NPM1;CKLF;NUSAP1;ERGIC3;ATP6AP1;TMEM48;KIF15;PTPRA;RAN;RANBP1;RPL11;SSR3;IPO4;KIF18A;CANX;AP1G2;RPL23;KIF23;PDIA4;NUP93;CEP57;DLG7;TOMM20;KIF14;DOPEY2	In biological process
398	nuclear mRNA splicing, via spliceosome	58	12	1.69E-05	DDX39;SF3A1;TXNL4A;DDX1;ASCC3L1;PRPF6;HNRPC;LSM2;SFRS1;SNRPB;SNRPD1;SFRS9	In biological process
375	RNA splicing, via transesterification reactions	58	12	1.69E-05	DDX39;SF3A1;TXNL4A;DDX1;ASCC3L1;PRPF6;HNRPC;LSM2;SFRS1;SNRPB;SNRPD1;SFRS9	In biological process
6270	DNA replication initiation	26	8	2.05E-05	MCM2;MCM3;MCM4;MCM6;MCM7;ORC4L;CDT1;CDC6	In biological process
70	mitotic sister chromatid segregation	26	8	2.05E-05	SMC4;NDC80;SMC2;NUSAP1;NCAPG2;NCAPG;DLG7;NCAPD2	In biological process
6413	translational initiation	50	11	2.05E-05	DDX1;EIF4B;BZW2;EIF3S6;EIF3S9;EIF3S5;EIF3S3;EIF2B4;EIF2S2;EIF4E2;EIF5B	In biological process
7076	mitotic chromosome condensation	14	6	2.68E-05	SMC4;SMC2;NUSAP1;NCAPG2;NCAPG;NCAPD2	In biological process
6268	DNA unwinding during replication	9	5	2.78E-05	HMGB2;HMGA1;MCM2;MCM4;MCM6	In biological process
819	sister chromatid segregation	27	8	2.79E-05	SMC4;NDC80;SMC2;NUSAP1;NCAPG2;NCAPG;DLG7;NCAPD2	In biological process
245	spliceosome assembly	27	8	2.79E-05	SF3A1;TXNL4A;DDX1;ASCC3L1;PRPF6;SFRS1;SNRPD1;SFRS9	In biological process
46907	intracellular transport	510	46	3.22E-05	KIF20A;DDX39;COG5;VTI1B;MYBBP1A;IPO7;KDELR1;TOMM34;KIF2C;SEC23IP;MYL6B;CSE1L;LOC146909;AP2B1;NCBP2;XPO7;NUP205;NUP210;SEC61G;KIF4A;TIMM9;HRB;HSPD1;KIF11;KPNA2;RANBP5;NPM1;ERGIC3;ATP6AP1;TMEM48;KIF15;PTPRA;RAN;RANBP1;RPL11;SSR3;IPO4;KIF18A;AP1G2;RPL23;KIF23;NUP93;CEP57;TOMM20;KIF14;DOPEY2	In biological process
59	protein import into nucleus, docking	15	6	4.28E-05	IPO7;CSE1L;XPO7;NUP205;RANBP5;IPO4	In biological process
7052	mitotic spindle organization and biogenesis	10	5	5.34E-05	KIF11;RAN;TTK;PRC1;KIF23	In biological process
6163	purine nucleotide metabolic process	75	13	5.52E-05	ADSL;GART;IMPDH2;MSH2;ACLY;ATIC;NME1;ATP6V1H;ATP5G2;PFAS;ATP6AP1;PPAT;NUP153	In biological process
79	regulation of cyclin-dependent protein kinase activity	38	9	6.28E-05	CDKN3;CHEK1;CKS2;MNAT1;BCCIP;CCNA2;CDC6;CDC25A;CDC25C	In biological process
6605	protein targeting	172	21	8.48E-05	IPO7;TOMM34;CSE1L;XPO7;NUP205;NUP210;SEC61G;TIMM9;HSPD1;KPNA2;RANBP5;ATP6AP1;TMEM48;RAN;RPL11;SSR3;IPO4;RPL23;NUP93;CEP57;TOMM20	In biological process
6913	nucleocytoplasmic transport	112	16	9.22E-05	DDX39;MYBBP1A;IPO7;CSE1L;NCBP2;XPO7;NUP205;HRB;KPNA2;RANBP5;NPM1;ATP6AP1;RAN;IPO4;RPL23;CEP57	In biological process
6164	purine nucleotide biosynthetic process	70	12	0.000118	ADSL;GART;IMPDH2;MSH2;ATIC;NME1;ATP6V1H;ATP5G2;PFAS;ATP6AP1;PPAT;NUP153	In biological process
50658	RNA transport	45	9	0.000252	HUWE1;DDX39;NCBP2;NUP210;HRB;TMEM48;RAN;NUP93;CKAP5	In biological process
42770	DNA damage response, signal transduction	36	8	0.000259	CHEK1;CHEK2;MSH6;MSH2;GTSE1;APPBP1;CCNA2;EEF1E1	In biological process
77	DNA damage checkpoint	20	6	0.000270	CHEK1;CHEK2;MSH2;GTSE1;APPBP1;CCNA2	In biological process
6886	intracellular protein transport	294	28	0.000479	VTI1B;IPO7;KDELR1;TOMM34;SEC23IP;CSE1L;AP2B1;XPO7;NUP205;NUP210;SEC61G;TIMM9;HSPD1;KPNA2;RANBP5;NPM1;ATP6AP1;TMEM48;PTPRA;RAN;RPL11;SSR3;IPO4;AP1G2;RPL23;NUP93;CEP57;TOMM20	In biological process
6446	regulation of translational initiation	33	7	0.000848	DDX1;EIF4B;BZW2;EIF3S6;EIF3S5;EIF3S3;EIF5B	In biological process
3723	RNA binding	507	86	2.15E-25	LRPPRC;RBM12;HNRPR;SF3A1;EMG1;NOL5A;RNASEH2A;RAD51AP1;TXNL4A;CPSF6;DDX42;AARS;DDX1;DDX10;DCP2;DKC1;EIF4A1;EIF4B;FBL;HNRPA3;NCBP2;PDCD11;SR140;EXOSC2;SF3B3;PRPF6;LSM4;SERBP1;DAZAP1;NUFIP1;PDCD4;CPSF1;HDLBP;HNRPC;HRB;ILF2;ILF3;KARS;MAZ;NCL;NHP2L1;NONO;NPM1;YBX1;MRPS7;UTP18;NIP7;DDX41;EXOSC4;DDX56;NOLA2;PNO1;CNOT6;LSM2;RBM4;RPL4;RPL5;RPL8;RPL11;RPL15;RPL18;RPL22;RPL24;RPL28;MRPL12;RPS3;RPS6;RPS8;RPS9;RPS21;SFPQ;SFRS1;SFRS2;SNRPB;SNRPD1;SSB;RDBP;FXR1;EIF3S9;SFRS9;PABPC4;DDX18;EIF2S2;CPNE1;EIF4E2;EIF4A3	In molecular function
5524	ATP binding	1046	113	9.49E-17	SMC4;ABCF2;KIF20A;TRAP1;CDK4;DDX39;WARS2;STK25;CCT7;CCT4;CCT2;SMC2;RUVBL2;KIF2C;CHEK1;CHEK2;PNKP;DDX42;CSNK2A1;LOC146909;AARS;DARS;DDX1;DDX10;DGUOK;EIF4A1;EPRS;FARSA;CCT5;TPX2;ASCC3L1;MDN1;KIF4A;GART;GRK6;MSH6;GTF2F1;HSP90AB1;HSPD1;IARS;ILF2;KARS;KIF11;AK3L2;LIG1;LIG3;MCM2;MCM3;MCM4;MCM6;MCM7;MKI67;MSH2;ACLY;NEK2;NME1;ATP2B1;ORC4L;DDX41;ATP6V1H;PFAS;PLK1;ATP6AP1;PMS1;DDX56;NAT10;CHD7;DDX27;PBK;PRKDC;LANCL2;PEO1;KIF15;ACTR3B;PTK2;QARS;RFC1;RFC2;RFC4;RRM1;SMARCA1;SMARCA4;SRPK1;STCH;AURKA;TAF9;BUB1;BUB1B;TOP2A;CCT3;TTK;VARS;VRK1;XRCC5;CAD;FASTKD1;AARSD1;KIF18A;MAPKAPK5;RUVBL1;RIOK3;DDX18;CCT6A;AURKB;NOLC1;TBRG4;TRIP13;KIF23;EIF4A3;CDC2;CDC6;KIF14;NUP153	In molecular function
3735	structural constituent of ribosome	119	24	1.95E-09	RSL1D1;MRPS18B;MRPL15;RPL10A;MRPS7;MRPS33;RPL4;RPL5;RPL8;RPL11;RPL15;RPL18;RPL22;RPL24;RPL28;RPL37A;MRPL12;RPS3;RPS6;RPS8;RPS9;RPS16;RPS21;RPL23	In molecular function
4386	helicase activity	115	21	1.22E-07	DDX39;RUVBL2;DDX42;DDX1;DDX10;EIF4A1;ASCC3L1;XRCC6;MCM4;MCM6;DDX41;DDX56;CHD7;DDX27;PEO1;SMARCA1;SMARCA4;XRCC5;RUVBL1;DDX18;EIF4A3	In molecular function
51082	unfolded protein binding	91	18	2.80E-07	CHAF1A;TRAP1;CCT7;CCT4;CCT2;RUVBL2;CCT5;MDN1;HTRA2;HSP90AB1;HSPD1;DNAJC4;NPM1;DNAJC10;CCT3;CANX;CCT6A;TOMM20	In molecular function
8135	translation factor activity, nucleic acid binding	77	16	6.38E-07	GCN1L1;COPS5;EEF1D;EIF4A1;EIF4B;BZW2;EIF3S6;EIF3S6IP;TCEA1;EIF3S9;EIF3S5;EIF3S3;EIF2B4;EIF2S2;EIF4E2;EIF5B	In molecular function
