Rank	E/N	Unigene	Accession	Description	References	Functions
73	39.4	Hs.624	M28130	Interleukin 8 (IL8)	-5	Growth and stress response
52	12.7		X04500	Prointerleukin 1 beta	(2); (5)	Growth and stress response
54	8.4	Hs.126256	M15330	Interleukin 1-beta (IL1B)	-2	Growth and stress response
39	5.6	Hs.93913	X04430	Interferon-beta-2 (IL6)		Growth and stress response
65	11.3	Hs.789	X54489	Melanoma growth stimulatory activity (MGSA)	(1); (2); (5)	Growth and stress response
25	5.2	Hs.211600	M59465	Tumour necrosis factor alpha-inducible protein A20	-2	Growth and stress response
63	6	Hs.265827	U22970	Interferon-inducible peptide (6–16)	(3); (5)	Growth and stress response
21	6.2	Hs.136348	D13666	Osteoblast specific factor 2 (OSF-2)	(1); (5)	Other
30	5	Hs.90572	U33635	Colon carcinoma kinase-4 (CCK4)	-5	Other
31	6.5	Hs.418	U09278	Fibroblast activation protein (FAP)	-5	Other
33	6.7	Hs.135150	AF030428	Lung type-I cell membrane-associated protein (T1A-2)		Other
51	5.8	Hs.125359	AA704137	Clone ¼ IMAGE-1119984 (similar to THY1)		Other
59	6.5	Hs.7594	M20681	Glucose transporter-like protein-III (GLUT3)		Other
74	10.2	Hs.72879	M77481	MAGE-1 antigen		Other
75	10.8	Hs.36978	U03735	MAGE-3 antigen		Other
58	5.1	Hs.183648	U22815	LAR-interacting protein 1a gene (PPFIA1)		Other
53	7.4	Hs.73817	D90144	LD78 alpha precursor (CCL3)		Other
24	5.5	Hs.118893	D86983	KIAA0230 (peroxidasin)	-1	Other
29	5.7	Hs.373503	M27826	Endogenous retroviral protease	-2	Other
34	5	Hs.91747	AL096719	cDNA DKFZp566N043 (profilin)		Other
71	10.3	Hs.75212	X16277	Ornithine decarboxylase ODC		Other
60	9.9	Hs.79389	D83018	nel-related protein 2		Other
72	5.2	Hs.226307	AL022318	Phorbolin 3		Other
76	8.6	Hs.80962	U91618	Proneurotensin/proneuromedin N		Other
44	7.3	Hs.101850	M11433	Cellular retinol-binding protein	-5	Other
50	11.4	Hs.373503	AA151971	Clone ¼ IMAGE-588365 (similar to S100P)		Other
55	8.9	Hs.8786	AB014679	N-acetylglucosamine-6-O-sulphotransferase (GlcNAc6ST)		Other
56	6.5	Hs.118633	AJ225089	2–5 oligoadenylate synthetase 59 kDa isoform		Other
69	9.6	Hs.105924	AF071216	Beta defensin 2 (HBD2)		Other
67	18	Hs.76118	X04741	Protein gene product (PGP) 9.5	-2	Other
43	6	Hs.288467	AA418080	Clone ¼ IMAGE-767773		Other
68	7.2	Hs.95910	M69199	G0S2 protein	-2	Other
48	7.4	Hs.92374	U61836	Putative cyclin G1 interacting protein (C20orf16)		Other
