Probeset	Ratio	GenBank	Gene	Localization		Description	Expression
237384_x_at	3.1	R22891	---	---		Homo sapiens; Similar to granule cell antiserum positive 8; clone IMAGE:5262496; mRNA	Overexpressed
229759_s_at	3.1	AA988323	VEPH1	3q24-q25		Ventricular zone expressed PH domain homolog 1 (zebrafish)	Overexpressed
205501_at	3.5	AI143879	---	---		CDNA FLJ25677 fis; clone TST04054	Overexpressed
230869_at	3.8	H09780	---	---		---	Overexpressed
223484_at	4.8	AF228422	NMES1	15q21.1		normal mucosa of esophagus specific 1	Overexpressed
1562389_at	6.2	BC040219	---	---		Transcribed locus; weakly similar to XP_375099.1 hypothetical protein LOC283585 [Homo sapiens]	Overexpressed
209541_at	0.16	AI972496	IGF1	12q22-q23	1	insulin-like growth factor 1 (somatomedin C)	Underexpressed
213791_at	0.16	NM_006211	PENK	8q23-q24	1	proenkephalin	Underexpressed
232544_at	0.18	AU144916	IGFBP7	4q12	1	Insulin-like growth factor binding protein 7	Underexpressed
203434_s_at	0.22	AI433463	MME	3q25.1-q25.2	1	membrane metallo-endopeptidase (neutral endopeptidase; enkephalinase; CALLA; CD10)	Underexpressed
227812_at	0.26	BF432648	TNFRSF19	13q12.11-q12.3	1	tumor necrosis factor receptor superfamily; member 19	Underexpressed
219790_s_at	0.29	NM_000908	NPR3	5p14-p13	1	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	Underexpressed
203666_at	0.29	NM_000609	CXCL12	10q11.1	1	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Underexpressed
236561_at	0.32	AV700621	TGFBR1	9q33-q34	1	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	Underexpressed
206796_at	0.32	NM_003882	WISP1	8q24.1-q24.3	1	WNT1 inducible signaling pathway protein 1	Underexpressed
227192_at	0.34	BF060707	PRRT2	16p11.2	1	proline-rich transmembrane protein 2	Underexpressed
221019_s_at	0.37	NM_030781	COLEC12	18pter-p11.3	1	collectin sub-family member 12	Underexpressed
221933_at	0.4	AI338338	NLGN4X	Xp22.32-p22.31	1	neuroligin 4; X-linked	Underexpressed
204457_s_at	0.42	NM_002048	GAS1	9q21.3-q22	1	growth arrest-specific 1	Underexpressed
226908_at	0.45	AI627704	LRIG3	12q14.1	1	leucine-rich repeats and immunoglobulin-like domains 3	Underexpressed
204038_s_at	0.5	NM_001401	EDG2	9q31.3	1	endothelial differentiation; lysophosphatidic acid G-protein-coupled receptor; 2	Underexpressed
204451_at	0.5	NM_003505	FZD1	7q21	1	frizzled homolog 1 (Drosophila)	Underexpressed
231875_at	0.32	AF155117	KIF21A	12q12	2	kinesin family member 21A	Underexpressed
214433_s_at	0.43	NM_003944	SELENBP1	1q21-q22	2	selenium binding protein 1	Underexpressed
210926_at	0.45	AY014272	FKSG30	2q21.1	2	Actin-like protein	Underexpressed
208622_s_at	0.48	AA670344	VIL2	6q25.2-q26	2	villin 2 (ezrin)	Underexpressed
203126_at	0.13	NM_014214	IMPA2	18p11.2	3	inositol(myo)-1(or 4)-monophosphatase 2	Underexpressed
201721_s_at	0.29	NM_006762	LAPTM5	1p34	3	Lysosomal-associated multispanning membrane protein-5	Underexpressed
205934_at	0.37	NM_006226	PLCL1	2q33	3	phospholipase C-like 1	Underexpressed
227481_at	0.45	BG165333	CNKSR3	6q25.2	3	CNKSR family member 3,  membrane associated guanylate kinase interacting protein-like 1	Underexpressed
1564165_at	0.48	AK098276	PRKRIP1	7q22.1	3	PRKR interacting protein 1 (IL11 inducible)	Underexpressed
219572_at	0.48	NM_017954	CADPS2	7q31.32	3	Ca2+-dependent activator protein for secretion 2	Underexpressed
240027_at	0.42	BF062244	LIN7A	12q21	4	lin-7 homolog A (C. elegans)	Underexpressed
210115_at	0.43	L05096	RPL39L	3q27	4	ribosomal protein L39-like	Underexpressed
224753_at	0.4	BE614410	CDCA5	11q12.1	5	cell division cycle associated 5	Underexpressed
231769_at	0.48	AF129536	FBXO6	1p36.23-p36.11	5	F-box protein 6	Underexpressed
233088_at	0.26	AK025384	XYLT1	16p12	6	Hypothetical protein LOC283824	Underexpressed
203771_s_at	0.26	AA740186	BLVRA	7p14-cen	6	biliverdin reductase A	Underexpressed
243417_at	0.28	AA704162	ZADH2	18q22.3	6	Zinc binding alcohol dehydrogenase, domain containing 2	Underexpressed
206932_at	0.29	NM_003956	CH25H	10q23	6	cholesterol 25-hydroxylase	Underexpressed
219140_s_at	0.29	NM_006744	RBP4	10q23-q24	6	retinol binding protein 4; plasma	Underexpressed
202800_at	0.3	NM_004172	SLC1A3	5p13	6	solute carrier family 1 (glial high affinity glutamate transporter); member 3	Underexpressed
1564807_at	0.33	BC020888	MPPED1	22q13.31	6	Metallophosphoesterase domain containing 1	Underexpressed
235476_at	0.34	AW182459	TRIM59	3q25.33	6	tripartite motif-containing 59	Underexpressed
227361_at	0.37	AA780067	HS3ST3B1	17p12-p11.2	6	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	Underexpressed
228885_at	0.4	AI862120	MAMDC2	9q21.11	6	MAM domain containing 2	Underexpressed
201627_s_at	0.43	NM_005542	INSIG1	7q36	6	insulin induced gene 1	Underexpressed
215695_s_at	0.43	U94357	GYG2	Xp22.3	6	glycogenin 2	Underexpressed
233555_s_at	0.45	AL034418	SULF2	20q12-q13.2	6	sulfatase 2	Underexpressed
208951_at	0.48	BC002515	ALDH7A1	5q31	6	Aldehyde dehydrogenase 7 family; member A1	Underexpressed
206201_s_at	0.14	NM_005924	MEOX2	7p22.1-p21.3	8	mesenchyme homeo box 2 (growth arrest-specific homeo box)	Underexpressed
209692_at	0.31	U71207	EYA2	20q13.1	8	eyes absent homolog 2 (Drosophila)	Underexpressed
205345_at	0.32	NM_000465	BARD1	2q34-q35	8	BRCA1 associated RING domain 1	Underexpressed
209189_at	0.33	BC004490	FOS	14q24.3	8	v-fos FBJ murine osteosarcoma viral oncogene homolog	Underexpressed
209348_s_at	0.34	AF055376	MAF	16q22-q23	8	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	Underexpressed
214651_s_at	0.34	U41813	HOXA9	7p15-p14	8	homeo box A9	Underexpressed
211080_s_at	0.36	Z25425	NEK2	1q32.2-q41	8	NIMA (never in mitosis gene a)-related kinase 2	Underexpressed
201368_at	0.43	U07802	ZFP36L2	2p22.3-p21	8	zinc finger protein 36; C3H type-like 2	Underexpressed
213147_at	0.43	AI375919	HOXA10	7p15-p14	8	homeo box A10	Underexpressed
226388_at	0.45	AI675780	TCEA3	1p36.12	8	transcription elongation factor A (SII); 3	Underexpressed
213006_at	0.5	AV655640	CEBPD	8p11.2-p11.1	8	CCAAT/enhancer binding protein (C/EBP); delta	Underexpressed
37892_at	0.1	J04177	COL11A1	1p21	9	collagen; type XI; alpha 1	Underexpressed
202994_s_at	0.21	Z95331	FBLN1	22q13.31	9	fibulin 1	Underexpressed
217161_x_at	0.25	X17406	AGC1	15q26.1	9	aggrecan 1 (chondroitin sulfate proteoglycan 1; large aggregating proteoglycan; antigen identified by monoclonal antibody A0122)	Underexpressed
216840_s_at	0.3	AK026829	LAMA2	6q22-q23	9	Laminine 2	Underexpressed
218162_at	0.4	NM_020190	OLFML3	1p13.2	9	olfactomedin-like 3	Underexpressed
227300_at	0.16	AL521682	LOC338773	12q23.3		hypothetical protein LOC338773	Underexpressed
227929_at	0.27	AU151342	---	---		Homo sapiens; clone IMAGE:5277945; mRNA	Underexpressed
1560851_at	0.33	BC017939	C10orf136	10q11.21		Homo sapiens; clone IMAGE:4275711; mRNA; partial cds	Underexpressed
233105_at	0.33	AK026280	---	---		Transcribed locus; weakly similar to XP_375099.1 hypothetical protein LOC283585 [Homo sapiens]	Underexpressed
240460_at	0.34	AI190616	---	---		---	Underexpressed
229518_at	0.37	AA531023	FAM46B	1p36.11		family with sequence similarity 46; member B	Underexpressed
219054_at	0.43	NM_024563	FLJ14054	5p13.3		hypothetical protein FLJ14054	Underexpressed
227478_at	0.45	BF739885	LOC284262	18q21.1		hypothetical protein LOC284262	Underexpressed
221057_at	0.5	NM_022354	SPATA1	1p22.3		spermatogenesis associated 1	Underexpressed
