ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
201189_s_at	ITPR3	Inositol 1,4,5-triphosphate receptor, type 3	3710	2.446638
201473_at	JUNB	Jun B proto-oncogene	3726	4.831434
204678_s_at	KCNK1	Potassium channel, subfamily K, member 1	3775	7.025253
204679_at	KCNK1	Potassium channel, subfamily K, member 1	3775	4.885009
204401_at	KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	3783	2.811288
204882_at	KIAA0053	Rho GTPase activating protein 25	9938	6.721998
38149_at	KIAA0053	Rho GTPase activating protein 25	9938	3.278028
225611_at	KIAA0303	Microtubule associated serine/threonine kinase family member 4	23227	3.00211
41386_i_at	KIAA0346	Jumonji domain containing 3	23135	4.707615
212943_at	KIAA0528	KIAA0528 gene product	9847	0.325316
226808_at	KIAA0543	KIAA0543 protein	23145	0.380111
213358_at	KIAA0802	Data not found	23255	0.318067
229817_at	KIAA1281	Zinc finger protein 608	57507	0.37455
221778_at	KIAA1718	KIAA1718 protein	80853	2.566194
225582_at	KIAA1754	KIAA1754	85450	3.349724
209212_s_at	KLF5	Kruppel-like factor 5 (intestinal)	688	3.33129
212408_at	LAP1B	Lamina-associated polypeptide 1B	26092	4.496038
202067_s_at	LDLR	Low density lipoprotein receptor (familial hypercholesterolemia)	3949	7.680009
217173_s_at	LDLR	Low density lipoprotein receptor (familial hypercholesterolemia)	3949	7.719138
202068_s_at	LDLR	Low density lipoprotein receptor (familial hypercholesterolemia)	3949	5.693366
210732_s_at	LGALS8	Lectin, galactoside-binding, soluble, 8 (galectin 8)	3964	0.48203
212658_at	LHFPL2	Lipoma HMGIC fusion partner-like 2	10184	1.683908
205266_at	LIF	Data not found	3976	5.179725
1558846_at	LOC119548	Pancreatic lipase-related protein 3	119548	2.87385
230323_s_at	LOC120224	Transmembrane protein 45B	120224	4.649635
226726_at	LOC129642	O-acyltransferase (membrane bound) domain containing 2	129642	3.512111
238058_at	LOC150381	Data not found	150381	0.366826
228046_at	LOC152485	Hypothetical protein LOC152485	152485	0.33288
232158_x_at	LOC152519	Hypothetical protein LOC152519	152519	6.375145
229125_at	LOC163782	Hypothetical protein LOC163782	163782	0.274419
220317_at	LRAT	Lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	9227	3.97767
208433_s_at	LRP8	Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	7804	1.792539
202626_s_at	LYN	V-yes-1 Yamaguchi sarcoma viral related oncogene homolog	4067	0.345506
228846_at	MAD	MAX dimerization protein 1	4084	4.932349
226275_at	MAD	MAX dimerization protein 1	4084	3.633048
223217_s_at	MAIL	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	64332	2.82099
208786_s_at	MAP1LC3B	Microtubule-associated protein 1 light chain 3 beta	81631	3.520961
232138_at	MBNL2	Muscleblind-like 2 (Drosophila)	10150	0.205083
200797_s_at	MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)	4170	3.251088
235374_at	MDH1	Malate dehydrogenase 1, NAD (soluble)	4190	0.483248
235077_at	MEG3	maternally expressed 3	55384	10.53187
203417_at	MFAP2	Microfibrillar-associated protein 2	4237	3.966412
224480_s_at	MGC11324	Hypothetical protein MGC11324	84803	2.993218
215239_x_at	MGC12518	Data not found	90816	0.568582
238741_at	MGC14128	Hypothetical protein MGC14128	84985	6.347698
229518_at	MGC16491	Family with sequence similarity 46, member B	115572	0.192134
220949_s_at	MGC5242	Hypothetical protein MGC5242	78996	0.492849
203636_at	MID1	Midline 1 (Opitz/BBB syndrome)	4281	0.449117
1557158_s_at	MLL3	Data not found	58508	0.420551
217279_x_at	MMP14	Matrix metalloproteinase 14 (membrane-inserted)	4323	6.491883
202828_s_at	MMP14	Matrix metalloproteinase 14 (membrane-inserted)	4323	8.973361
160020_at	MMP14	Matrix metalloproteinase 14 (membrane-inserted)	4323	7.364434
1553293_at	MRGX3	G protein-coupled receptor MRGX3	117195	2.495959
228527_s_at	MSCP	Mitochondrial solute carrier protein	51312	10.11739
212096_s_at	MTSG1	Mitochondrial tumor suppressor 1	57509	0.331331
209124_at	MYD88	Myeloid differentiation primary response gene (88)	4615	2.639961
204823_at	NAV3	Neuron navigator 3	89795	21.14425
200632_s_at	NDRG1	N-myc downstream regulated gene 1	10397	4.209548
211467_s_at	NFIB	Nuclear factor I/B	4781	0.330609
205895_s_at	NOLC1	Nucleolar and coiled-body phosphoprotein 1	9221	1.694188
1553995_a_at	NT5E	5-nucleotidase, ecto (CD73)	4907	4.854478
203939_at	NT5E	5-nucleotidase, ecto (CD73)	4907	5.392405
206376_at	NTT73	Solute carrier family 6, member 15	55117	2.763422
200790_at	ODC1	Ornithine decarboxylase 1	4953	12.55053
202696_at	OSR1	Oxidative-stress responsive 1	9943	3.633391
218736_s_at	PALMD	Palmdelphin	54873	0.313915
1555167_s_at	PBEF	Pre-B-cell colony enhancing factor 1	10135	2.988472
227458_at	PDCD1LG1	CD274 antigen	29126	6.069811
223834_at	PDCD1LG1	CD274 antigen	29126	3.564042
217997_at	PHLDA1	Pleckstrin homology-like domain, family A, member 1	22822	3.373669
218000_s_at	PHLDA1	Pleckstrin homology-like domain, family A, member 1	22822	4.046168
217996_at	PHLDA1	Pleckstrin homology-like domain, family A, member 1	22822	3.055657
209803_s_at	PHLDA2	Pleckstrin homology-like domain, family A, member 2	7262	3.063477
203691_at	PI3	Protease inhibitor 3, skin-derived (SKALP)	5266	9.705381
217864_s_at	PIAS1	Protein inhibitor of activated STAT, 1	8554	0.412269
203879_at	PIK3CD	Data not found	5293	2.519976
209193_at	PIM1	Pim-1 oncogene	5292	4.134478
221577_x_at	PLAB	Growth differentiation factor 15	9518	3.792133
210845_s_at	PLAUR	Plasminogen activator, urokinase receptor	5329	9.364043
211924_s_at	PLAUR	Plasminogen activator, urokinase receptor	5329	11.93736
214866_at	PLAUR	Plasminogen activator, urokinase receptor	5329	2.798046
213030_s_at	PLXNA2	plexin A2	5362	2.867933
215667_x_at	PMS2L6	Data not found	5384	0.498938
209598_at	PNMA2	Paraneoplastic antigen MA2	10687	2.781405
214146_s_at	PPBP	Pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	5473	57.86712
201490_s_at	PPIF	Peptidylprolyl isomerase F (cyclophilin F)	10105	2.592979
201489_at	PPIF	Peptidylprolyl isomerase F (cyclophilin F)	10105	3.456173
202014_at	PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	23645	8.489226
37028_at	PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	23645	5.722384
215707_s_at	PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal fam 5621		3.007777
227510_x_at	PRO1073	Data not found	29005	7.314267
231735_s_at	PRO1073	Data not found	29005	0.296591
1554997_a_at	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	5743	25.94438
204748_at	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	5743	20.70477
211756_at	PTHLH	Parathyroid hormone-like hormone	5744	4.67036
210355_at	PTHLH	Parathyroid hormone-like hormone	5744	4.417365
1556773_at	PTHLH	Parathyroid hormone-like hormone	5744	3.302768
221840_at	PTPRE	Protein tyrosine phosphatase, receptor type, E	5791	3.760788
206157_at	PTX3	Pentraxin-related gene, rapidly induced by IL-1 beta	5806	8.987465
214443_at	PVR	Poliovirus receptor	5817	3.293733
225189_s_at	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	65059	3.987127
225188_at	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	65059	3.854975
1553722_s_at	RNF152	Ring finger protein 152	220441	0.146351
204133_at	RNU3IP2	RNA, U3 small nucleolar interacting protein 2	9136	2.676407
211181_x_at	RUNX1	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	861	0.145298
211182_x_at	RUNX1	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	861	0.112773
228923_at	S100A6	S100 calcium binding protein A6 (calcyclin)	6277	4.380415
230333_at	SAT	Spermidine/spermine N1-acetyltransferase	6303	4.648689
201286_at	SDC1	Syndecan 1	6382	8.691986
201287_s_at	SDC1	Syndecan 1	6382	5.065362
202071_at	SDC4	Syndecan 4 (amphiglycan, ryudocan)	6385	3.416054
234725_s_at	SEMA4B	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaph 10509		2.547556
46665_at	SEMA4C	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaph 54910		3.520427
219039_at	SEMA4C	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaph 54910		4.31566
212268_at	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	1992	6.140742
213572_s_at	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	1992	3.787748
228726_at	SERPINB1	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	1992	5.064818
204614_at	SERPINB2	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	5055	11.54172
209720_s_at	SERPINB3	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	6317	0.234535
204855_at	SERPINB5	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5	5268	2.86399
223196_s_at	SESN2	Sestrin 2	83667	1.796513
223195_s_at	SESN2	Sestrin 2	83667	3.046793
242899_at	SESN3	Sestrin 3	143686	0.162383
209260_at	SFN	Stratifin	2810	2.214162
203625_x_at	SKP2	S-phase kinase-associated protein 2 (p45)	6502	0.133798
202856_s_at	SLC16A3	Solute carrier family 16 (monocarboxylic acid transporters), member 3	9123	6.621497
201920_at	SLC20A1	Solute carrier family 20 (phosphate transporter), member 1	6574	6.173755
216236_s_at	SLC2A14	Data not found	144195	6.980694
202499_s_at	SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3	6515	8.708224
209453_at	SLC9A1	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitiv 6548		3.094392
209427_at	SMTN	Smoothelin	6525	3.668082
207390_s_at	SMTN	Smoothelin	6525	3.400402
230820_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	64750	3.044457
210001_s_at	SOCS1	Suppressor of cytokine signaling 1	8651	4.710571
221489_s_at	SPRY4	Sprouty homolog 4 (Drosophila)	81848	4.454092
1554671_a_at	SRRM2	Serine/arginine repetitive matrix 2	23524	0.188249
202440_s_at	ST5	Suppression of tumorigenicity 5	6764	0.545598
204729_s_at	STX1A	Syntaxin 1A (brain)	6804	3.665176
225544_at	TBX3	T-box 3 (ulnar mammary syndrome)	6926	4.325209
216035_x_at	TCF7L2	Data not found	6934	0.374792
209278_s_at	TFPI2	Tissue factor pathway inhibitor 2	7980	25.54704
205016_at	TGFA	Transforming growth factor, alpha	7039	5.680738
205015_s_at	TGFA	Transforming growth factor, alpha	7039	13.85388
220407_s_at	TGFB2	Transforming growth factor, beta 2	7042	0.19218
201447_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	7072	0.520888
201666_at	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	7076	5.201243
1552648_a_at	TNFRSF10A	Tumor necrosis factor receptor superfamily, member 10a	8797	5.040783
231775_at	TNFRSF10A	Tumor necrosis factor receptor superfamily, member 10a	8797	4.511135
210405_x_at	TNFRSF10B	Tumor necrosis factor receptor superfamily, member 10b	8795	3.579402
218368_s_at	TNFRSF12A	Tumor necrosis factor receptor superfamily, member 12A	51330	2.943121
234734_s_at	TNRC6	Trinucleotide repeat containing 6A	27327	0.692597
228834_at	TOB1	Transducer of ERBB2, 1	10140	2.351684
208901_s_at	TOP1	Data not found	7150	2.614982
238688_at	TPM1	Tropomyosin 1 (alpha)	7168	0.176624
213293_s_at	TRIM22	Tripartite motif-containing 22	10346	0.41757
215111_s_at	TSC22	TSC22 domain family, member 1	8848	2.441881
226120_at	TTC8	Tetratricopeptide repeat domain 8	123016	0.272492
212242_at	TUBA1	Data not found	7277	2.95915
209340_at	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	6675	3.486944
221291_at	ULBP2	UL16 binding protein 2	80328	2.07973
203234_at	UPP1	Uridine phosphorylase 1	7378	8.271802
226029_at	VANGL2	Vang-like 2 (van gogh, Drosophila)	57216	0.290003
212171_x_at	VEGF	Vascular endothelial growth factor	7422	5.262834
210513_s_at	VEGF	Vascular endothelial growth factor	7422	4.341983
211527_x_at	VEGF	Vascular endothelial growth factor	7422
210512_s_at	VEGF	Vascular endothelial growth factor	7422	3.478785
1553993_s_at	WDR5	WD repeat domain 5	11091	0.46692
219836_at	ZBED2	Zinc finger, BED domain containing 2		4.253546
201531_at	ZFP36	Zinc finger protein 36, C3H type, homolog (mouse)	7538	4.234125
206579_at	ZNF192	Zinc finger protein 192	7745	0.451024
234608_at		Data not found		11.68276
226863_at		Data not found		5.355373
228314_at		Data not found		3.886164
239331_at		Data not found		9.402247
242509_at		Data not found		3.707181
217608_at		Hypothetical LOC133993	133993	3.864333
244025_at		Data not found		5.719319
240991_at		Data not found		4.821946
226034_at		Data not found		4.578573
230711_at		Data not found		4.222497
227755_at		Data not found		3.664103
1566968_at		Data not found		19.57097
227288_at		Hypothetical LOC133993	133993	2.582904
208785_s_at		Data not found		3.293829
230973_at		Data not found	374961	3.413311
225950_at		Data not found		2.706131
225316_at		Data not found		4.164933
230778_at		Data not found		2.325024
211506_s_at		Data not found		2.563612
227057_at		Data not found	374805	18.11597
1558517_s_at		Data not found		3.807877
224606_at		Data not found		2.686731
201861_s_at		Data not found		2.584778
216483_s_at		Data not found		2.425223
211620_x_at		Data not found		0.224813
229949_at		Data not found		0.462974
1568513_x_at		Data not found		0.08123
215071_s_at		Data not found		0.280448
232947_at		Data not found		0.082819
230779_at		Data not found		0.193696
232478_at		Data not found		0.117057
241464_s_at		Data not found		0.300444
229872_s_at		Data not found		0.430563
243712_at		Data not found		0.278586
1570425_s_at		Data not found		0.228688
236656_s_at		Data not found		0.32802
240245_at		Data not found		0.189673
216867_s_at		Data not found	377602	0.117666
232034_at		Data not found		0.220813
229004_at		Data not found		0.188701
1559360_at		Data not found		0.209794
234951_s_at		Data not found		0.204193
227449_at		Data not found		0.149678
209908_s_at		Data not found	376709	0.116595
