GO id	GO term	Array count	List count	p-value	Gene symbol	Use
6412	translation	336	34	0.000558	PAIP1;IGF2BP2;LGTN;EIF4A2;EPRS;PUM2;HSPB1;EIF3S6;EIF3S6IP;NAG;QARS;RPL9;RPL15;RPL28;RPL32;RPL37;RPL39;RPL41;RPLP1;RPS3;RPS6;RPS11;RPS14;RPS18;RPS19;RPS23;RPS24;RPS27;MRPL9;TPR;DENR;EIF2B4;RPL23;PUM1	In biological process
6396	RNA processing	340	34	0.000689	HNRPR;SF3A1;ADAR;DDX17;CHERP;KHDRBS1;PAPOLA;RNPS1;EXOSC8;HNRPA3;RRP1B;PPWD1;TARDBP;RNASEN;HNRPC;HNRPK;NONO;POP5;PPP2R1A;PRPF40A;RC74;RBM4;DHX35;RPS14;SNRPB;SRPK2;TARBP1;SF3A2;RBM4B;KHSRP;RNMT;AQR;HNRPDL;ROD1	In biological process
6511	ubiquitin-dependent protein catabolic process	117	16	0.000763	USP22;DERL2;EDD1;ANAPC5;FBXL12;PSMB4;PSMC6;UBE2D2;UBE2G1;UBE2L3;VCP;BAP1;CDC23;USP14;USP34;USP3	In biological process
6397	mRNA processing	202	23	0.00089	HNRPR;SF3A1;ADAR;KHDRBS1;PAPOLA;RNPS1;HNRPA3;PPWD1;TARDBP;HNRPC;HNRPK;NONO;PRPF40A;RBM4;DHX35;SNRPB;SRPK2;SF3A2;RBM4B;KHSRP;RNMT;AQR;ROD1	In biological process
16491	oxidoreductase activity	555	74	2.16E-17	AASS;DHRS1;COX7B;CYB5A;CYP1A2;CYP2A6;CYP2A13;CYP2B6;CYP2B7P1;CYP2C19;CYP2C8;CYP2C18;CYP2D6;CYP2J2;CYP3A5;CYP11A1;CYP26A1;DAO;DBH;DECR1;DHODH;SARDH;ETFA;ETFDH;ALDH3B2;FDX1;KIAA0404;STAB1;HAAO;NNT;GCDH;GLRX;GPD1;GSTZ1;HSD17B10;HGD;HPGD;ACADL;ACADM;ACADS;IVD;GSTK1;ALDH6A1;LOC440792;ASPH;NQO2;NOS2A;HAO2;CYP39A1;C11orf24;GFOD1;EFCBP2;DHTKD1;STAB2;OGDHL;PRODH;CYP4F11;BCKDHA;BCKDHB;SCP2;SDHB;SDHD;SOD1;SRD5A1;SRD5A2;AKR1D1;TDO2;XDH;VKORC1;GFOD2;BBOX1;KMO;RDH16;HSD17B6	In molecular function
48037	cofactor binding	153	28	2.05E-10	SDS;CTH;ABAT;AGXT;ETFA;ALAS1;NNT;GCDH;GOT1;GPD1;HPGD;ACADL;ACADM;ACADS;IVD;ALDH6A1;NQO2;NOS2A;HAO2;DHTKD1;OGDHL;SHMT1;AGXT2L1;TAT;XDH;ACBD4;CBS;KYNU	In molecular function
4497	monooxygenase activity	77	18	6.56E-09	CYP1A2;CYP2A6;CYP2A13;CYP2B6;CYP2B7P1;CYP2C19;CYP2C8;CYP2C18;CYP2D6;CYP2J2;CYP3A5;CYP11A1;CYP26A1;DBH;NOS2A;CYP39A1;CYP4F11;KMO	In molecular function
16829	lyase activity	124	22	3.27E-08	SDS;CRYM;CTH;DDT;ENO3;ALDOB;HAL;HMGCL;LTC4S;ASL;ACO1;NTHL1;PCK1;PCK2;DERA;STAB2;PTS;BCKDHA;BCKDHB;TAT;CA2;CBS	In molecular function
20037	heme binding	87	18	5.06E-08	CYB5A;CYP1A2;CYP2A6;CYP2A13;CYP2B6;CYP2B7P1;CYP2C19;CYP2C8;CYP2C18;CYP2D6;CYP2J2;CYP3A5;CYP11A1;CYP26A1;NOS2A;CYP39A1;CYP4F11;SDHD	In molecular function
8236	serine-type peptidase activity	120	21	8.59E-08	ODZ1;MASP2;F2;F9;F11;HABP2;HGF;HGFAC;HP;POL3S;CFI;LPA;PCSK6;SERPINE1;C1RL;ST14;TMPRSS2;C1R;TPSAB1;LONP2;CG018	In molecular function
30170	pyridoxal phosphate binding	42	11	1.76E-06	SDS;CTH;ABAT;AGXT;ALAS1;GOT1;SHMT1;AGXT2L1;TAT;CBS;KYNU	In molecular function
19825	oxygen binding	29	9	3.32E-06	CYP1A2;CYP2A6;CYP2A13;CYP2C19;CYP2C18;CYP2D6;CYP3A5;CYP11A1;CYP26A1	In molecular function
50662	coenzyme binding	105	17	4.43E-06	ETFA;NNT;GCDH;GPD1;HPGD;ACADL;ACADM;ACADS;IVD;ALDH6A1;NQO2;NOS2A;HAO2;DHTKD1;OGDHL;XDH;ACBD4	In molecular function
19825	transmembrane receptor activity	706	56	2.71E-05	CLEC4M;XLKD1;LILRB5;ADMR;CHRNA4;CHRNE;ADORA1;CR1;ADRA1B;ADRA1A;GPR125;EPHA2;STAB1;FPRL1;IL17RA;GCGR;GFRA1;GHR;RCP9;CXCR3;GRIA3;GPR132;HPGD;HTR1B;CFI;IL1RAP;IL4R;IL13RA1;IL13RA2;IL15RA;INSRR;LEPR;LTK;NTRK1;CLEC1B;KLRF1;GPR88;AVPR1A;STAB2;GPRC5C;PTHR1;SIGIRR;BLR1;SORL1;TBXA2R;TFR2;TMPRSS2;TNFRSF1A;VIPR1;GPR157;MARCO;IL1RL2;ACVR1B;CD4;NCR2;GABBR2	In molecular function
50662	endopeptidase activity	281	29	2.95E-05	ODZ1;MASP2;ADAMTS13;ADAMTS7;CTSL1;F2;F9;F11;HABP2;HGF;HGFAC;HP;POL3S;CFI;LPA;PCSK6;SERPINE1;C1RL;ST14;TMPRSS2;C1R;TPSAB1;THSD4;USP9X;CAPN6;LONP2;CRADD;CG018;USP2	In molecular function
4896	hematopoietin/interferon-class (D200-domain) cytokine receptor activity	50	10	6.65E-05	IL17RA;GFRA1;GHR;IL1RAP;IL4R;IL13RA1;IL13RA2;IL15RA;LEPR;IL1RL2	In molecular function
9055	electron carrier activity	129	17	6.98E-05	CYP1A2;SARDH;ETFA;ETFDH;FDX1;HAAO;GLRX;ASPH;NQO2;NOS2A;SDHB;SDHD;SRD5A1;XDH;KMO;RDH16;HSD17B6	In molecular function
16769	transferase activity, transferring nitrogenous groups	27	7	0.000151	ABAT;AGXT;ALAS1;GOT1;AGXT2L1;TAT;KYNU	In molecular function
3995	acyl-CoA dehydrogenase activity	13	5	0.000177	GCDH;ACADL;ACADM;ACADS;IVD	In molecular function
16830	carbon-carbon lyase activity	29	7	0.000245	ALDOB;HMGCL;PCK1;PCK2;DERA;BCKDHA;BCKDHB	In molecular function
8483	transaminase activity	22	6	0.000335	ABAT;AGXT;GOT1;AGXT2L1;TAT;KYNU	In molecular function
