Gene symbol	Fold change	Gene title	Function
CKS1B	2.7	CDC28 protein kinase regulatory subunit 1B	Pre-replicative complex
MCM7	3	Minichromosome maintenance deficient 7	Pre-replicative complex
CDC45L	3.1	Cell division cycle 45	Pre-replicative complex
MCM4	3.7	Minichromosome maintenance deficient 4	Pre-replicative complex
MCM6	3.9	Minichromosome maintenance deficient 6	Pre-replicative complex
MCM5	4.1	Minichromosome maintenance deficient 5	Pre-replicative complex
MCM2	4.5	Minichromosome maintenance deficient 2	Pre-replicative complex
CDC7	4.6	Cell division cycle 7	Pre-replicative complex
MCM8	4.6	Minichromosome maintenance deficient 8	Pre-replicative complex
CDC6	5	Cell division cycle 6	Pre-replicative complex
CKS2	6.1	CDC28 protein kinase regulatory subunit 2	Pre-replicative complex
BCL2L11	2.2	BCL2-like 11 (apoptosis facilitator)	Apoptosis
CASP8AP2	2.2	CASP8 associated protein 2	Apoptosis
BCL2L10	4.5	BCL2-like 10 (apoptosis facilitator)	Apoptosis
A2M	22	Alpha-2-macroglobulin	Extracellular Proteases and Protease-Inhibitors
TMPRSS4	4.1	Transmembrane protease, serine 4	Extracellular Proteases and Protease-Inhibitors
ASAM	210	Adipocyte-specific adhesion molecule	Adhesion
SLIT2	24.1	Slit homolog 2	Adhesion
ITGA8	23.8	Integrin, alpha 8	Adhesion
FN1	23.7	Fibronectin 1	Adhesion
EPDR1	23.6	Ependymin related protein 1	Adhesion
PGM5	23.4	Phosphoglucomutase 5	Adhesion
SGCE	23.3	Sarcoglycan, epsilon	Adhesion
ITGA7	23.2	Integrin, alpha 7	Adhesion
DCHS1	23.1	Dachsous 1	Adhesion
TNS	23	Tensin	Adhesion
LAMB1	22.8	Laminin, beta 1	Adhesion
SSPN	22.7	Sarcospan	Adhesion
SCARB1	22.7	Scavenger receptor class B, member 1	Adhesion
DST	22.7	Dystonin	Adhesion
ITGA9	22.6	Integrin, alpha 9	Adhesion
CD34	22.5	CD34 antigen	Adhesion
PCDHGC3 /// PCDI	22.5	Protocadherin gamma subfamily C	Adhesion
COL6A2	22.5	Collagen, type VI, alpha 2	Adhesion
PARVA	22.5	Parvin, alpha	Adhesion
CAV1	22.5	Caveolin 1	Adhesion
DDR2	22.5	Discoidin domain receptor family, member 2	Adhesion
CAPN3	22.5	Calpain 3	Adhesion
FEZ1	22.1	Fasciculation and elongation protein zeta 1	Adhesion
CD99	22.1	CD99 antigen	Adhesion
GAS6	22.1	Growth arrest-specific 6	Adhesion
TROAP	2.1	Trophinin associated protein (tastin)	Adhesion
ITGB3BP	2.3	Integrin beta 3 binding protein	Adhesion
SSX2IP	3.3	Synovial sarcoma, X breakpoint 2 interacting protein	Adhesion
TIMP3	23.7	Tissue inhibitor of metalloproteinase 3	Angiogenesis
PTN	22.8	Pleiotrophin (heparin binding growth factor 8)	Angiogenesis
TIMP2	22.8	Tissue inhibitor of metalloproteinase 2	Angiogenesis
