Probe Set ID	Symbol	Description	Map	Fold Change	P
34815_at	TNRC12	trinucleotide repeat containing 12	12q24.33	1.36	5.04E-04
147_at	TSG101	tumor susceptibility gene 101	11p15	0.68	5.05E-04
31935_s_at	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (S. cerevisiae CHL1-like helicase)	12p11	1.2	5.11E-04
38777_at	ATP5G2	ATP synthase, H+ transporting, mitochondrial FO complex, subunic c (subunit 9), isoform	12	0.68	5.20E-04
36681_at	APOD	apolipoprotein D	3q26.2-qter	0.18	5.21E-04
33988_at	TEGT	testis enhanced gene transcript (BAX inhibitor 1)	12q12-q13	1.3	5.30E-04
34816_at	TNRC12	trinucleotide repeat containing 12	12q24.33	1.39	5.36E-04
33467_at	CMRF35	CMRF35 leukocyte immunoglobulin-like receptor	17	1.39	5.50E-04
40781_at	SDCCAG8	serologically defined colon cancer antigen 8	1q42.11	1.79	5.55E-04
37719_at	MLF2	myeloid leukemia factor 2	12p13	1.21	5.73E-04
34861_at	GOLGA3	golgi autoantigen, golgin subfamily a, 3	12	1.32	5.76E-04
35252_at	KIAA0528	KIAA0528 gene product	12p12	1.31	5.84E-04
39681_at	ZNF145	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)	11q23.1	2.09	5.94E-04
41646_at	JIK	STE20-like kinase	12q	1.47	6.28E-04
32529_at	CKAP4	cytoskeleton-associated protein 4	12	1.45	6.29E-04
1229_at	CRA	cisplatin resistance associated	1q12-q21	1.62	7.43E-04
40020_at	CELSER3	cadherin, EGF, LAG seven-pass G-type receptor 3, flamingo (Drosophila) homolog	3q24.1-p21.2	0.73	7.57E-04
38510_at				1.89	7.68E-04
41769_at	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	16p12.1	0.43	7.83E-04
35694_at	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	2q11.2-q12	1.43	8.26E-04
832_at	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (homologous to yeast UBC4/5)	5p14.2-q23.3	0.84	8.28E-04
38614_s_at	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-aceytlglucosamine:polypeptide-N-acetylglucosaminyl transferase)	Xq13	0.71	8.87E-04
38317_at	TCEAL1	transcription elongation factor A (SII)-like 1	Xq22.1	0.72	8.94E-04
35253_at	GAB2	GRB2-associated binding protein 2	11cen-11q12.1	0.62	8.99E-04
40634_at	NAP1L1	nucleosome assembly protein 1-like 1	12q15	1.28	9.23E-04
40038_at	ST7	suppression of tumorigenicity 7	7q31.1-q31.3	0.56	9.30E-04
34311_at	GLRX	glutaredoxin (thioltransferase)	5q14	1.77	9.98E-04
