Gene Name	Gene ID	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)	Gene
219863_at	NM_016323	-4.62	-291.57	63.05	0.49977	0.66	HERC5
218081_at	NM_017874	-4.58	-365.17	79.67	0.48866	0.66	C20orf27
209993_at	AF016535	-4.55	-156.6	34.39	0.29906	0.66	ABCB1
212570_at	AL573201	-4.52	-183.93	40.66	0.47634	0.66	KIAA0830
211810_s_at	D25284	-4.52	-376.88	83.43	0.34607	0.66	GALC
205673_s_at	NM_024087	-4.51	-112.01	24.82	0.42373	0.66	ASB9
203116_s_at	NM_000140	-4.49	-1821.59	405.94	0.3797	0.66	FECH
203115_at	AU152635	-4.47	-416.69	93.24	0.43167	0.66	FECH
211341_at	L20433	-4.46	-1184.22	265.5	0.02065	0.66	POU4F1
204916_at	NM_005855	-4.39	-555.74	126.71	0.20391	0.66	RAMP1
214255_at	AB011138	-4.38	-173.68	39.62	0.29743	0.66	ATP10A
206940_s_at	NM_006237	-4.36	-1000	229.16	0.07531	0.66	POU4F1
206698_at	NM_021083	-4.35	-1133.29	260.64	0.21277	0.66	XK
209582_s_at	H23979	-4.32	-251.84	58.24	0.27995	0.66	MOX2
204285_s_at	AI857639	-4.31	-2507.74	581.67	0.43849	0.66	PMAIP1
211792_s_at	U17074	-4.28	-201.6	47.11	0.43499	0.66	CDKN2C
215967_s_at	AL582804	-4.27	-77.19	18.08	0.29891	0.66	LY9
219884_at	NM_014368	-4.27	-191.35	44.82	0.25379	0.66	LHX6
205389_s_at	AI659683	-4.26	-281.11	65.92	0.34527	0.66	ANK1
213797_at	AI337069	-4.25	-136.6	32.15	0.48149	0.66	cig5
219837_s_at	NM_018659	-4.25	-2038.94	480.16	0.25327	0.66	C17
214022_s_at	AA749101	-4.22	-3383.85	801.24	0.32074	0.66	IFITM1
205632_s_at	NM_003558	-4.17	-397.23	95.15	0.44305	0.66	PIP5K1B
205929_at	NM_005814	-4.17	-363.68	87.26	0.26558	0.66	GPA33
217838_s_at	NM_016337	-4.14	-696.98	168.52	0.48002	0.66	EVL
202478_at	NM_021643	-4.13	-125.56	30.41	0.37871	0.66	TRIB2
209573_s_at	AI349506	-4.11	-99.76	24.27	0.38349	0.66	C18orf1
214208_at	BF448703	-4.09	-121.02	29.56	0.27077	0.66	FLJ33790
212671_s_at	BG397856	-4.09	-2309.16	564.64	0.22022	0.66	HLA-DQA1
206857_s_at	NM_004116	-4.06	-167.9	41.37	0.45372	0.66	FKBP1B
211821_x_at	U00178	-4.04	-1084.78	268.81	0.25353	0.66	GYPA
208033_s_at	NM_006885	-4.03	-65.64	16.3	0.37014	0.66	ATBF1
205376_at	NM_003866	-4.03	-134.59	33.43	0.31236	0.66	INPP4B
210997_at	M77227	-4.02	-206.18	51.28	0.18955	0.66	HGF
205330_at	NM_002430	-4.02	-366.44	91.17	0.24786	0.66	MN1
201601_x_at	NM_003641	-4.02	-2749.32	684.26	0.32638	0.66	IFITM1
210755_at	U46010	-4.01	-293.02	73.09	0.32118	0.66	HGF
204118_at	NM_001778	-4.01	-2799.2	698.27	0.39387	0.66	CD48
202219_at	NM_005629	-3.99	-534.06	133.86	0.2246	0.66	SLC6A8
215215_s_at	AC004381	-3.98	-633.59	159.31	0.34635	0.66	
202954_at	NM_007019	-3.96	-887.52	224.07	0.44979	0.66	UBE2C
219049_at	NM_018371	-3.95	-327.58	82.89	0.40713	0.66	ChGn
202240_at	NM_005030	-3.95	-208.23	52.7	0.46453	0.66	PLK1
202705_at	NM_004701	-3.94	-679.53	172.61	0.49102	1.21	CCNB2
203418_at	NM_001237	-3.93	-204.65	52.04	0.43774	1.21	CCNA2
210448_s_at	U49396	-3.93	-1091.17	277.84	0.36997	1.21	P2RX5
218858_at	NM_022783	-3.87	-807.99	208.83	0.44779	1.21	DEPDC6
218899_s_at	NM_024812	-3.85	-545.64	141.72	0.12762	1.21	BAALC
208107_s_at	NM_030941	-3.84	-562.27	146.59	0.40979	1.21	LOC81691
209679_s_at	BC003379	-3.83	-195.99	51.17	0.25729	1.21	LOC57228
222326_at	AW973834	-3.82	-144.91	37.92	0.33137	1.21	
203178_at	NM_001482	-3.8	-99.79	26.26	0.29734	1.57	GATM
203502_at	NM_001724	-3.79	-539.61	142.23	0.34788	1.57	BPGM
213096_at	T51252	-3.79	-703.43	185.76	0.31968	1.57	HUCEP11
211813_x_at	AF138303	-3.75	-163.71	43.62	0.41089	1.57	DCN
220059_at	NM_012108	-3.75	-326.53	87.13	0.44476	1.57	BRDG1
204918_s_at	NM_004529	-3.73	-57.07	15.31	0.4918	1.57	MLLT3
212573_at	AL573201	-3.72	-283.06	76.07	0.47642	1.57	KIAA0830
205814_at	NM_000840	-3.72	-41.89	11.26	0.397	1.57	GRM3
204467_s_at	NM_000345	-3.71	-746.57	200.97	0.29576	1.57	SNCA
221349_at	NM_007128	-3.66	-59.73	16.34	0.36231	1.57	VPREB1
205838_at	NM_002099	-3.65	-193.12	52.88	0.28576	1.57	GYPA
204466_s_at	BG260394	-3.65	-3130.96	857.65	0.33952	1.57	SNCA
214049_x_at	AI829961	-3.64	-1247.17	343.01	0.20401	1.57	CD7
202870_s_at	NM_001255	-3.63	-357.02	98.36	0.47879	1.57	CDC20
204116_at	NM_000206	-3.63	-2739.11	755.46	0.46995	1.57	IL2RG
206233_at	AF097159	-3.62	-104.04	28.71	0.45837	1.57	B4GALT6
207194_s_at	NM_001544	-3.62	-309.93	85.6	0.36981	1.57	ICAM4
213537_at	AI128225	-3.61	-1128.46	312.61	0.32808	1.57	HLA-DPA1
203088_at	NM_006329	-3.61	-74.57	20.66	0.29438	1.57	FBLN5
