Probeset   ID	Gene symbol	p-value	FC	GenBank  ID	Gene function	Chromosome  location	Expression in “high” ABL1 cases
38750_at	NOTCH3	0.0010	2.93	NM_000435	Regulation of transcription, DNA-dependent	19p13.2-p13.1	Low
34168_at	DNNT	0.0013	3.81	NM_001017520	DNA replication	10q23-q24	Low
40698_at	CLEC2B	0.0016	3.26	NM_005127	Sugar binding	12p13.12	Low
37027_at	AHNAK	0.0020	2.4	NM_001620	Signal transduction	11q12.2	Low
38968_at	SH3BP5	0.0022	2.21	NM_001018009	Signal transduction	3p24.3	Low
2049_s_at	JUNB	0.0026	2.41	NM_002229	Regulation of transcription, DNA-dependent	19p13.2	Low
37403_at	ANXA1	0.003	2.33	NM_000700	Cell motility	9q12-q21	Low
41356_at	BCL11A	0.004	3.1	NM_018014	Regulation of transcription, DNA-dependent	2p16.1	Low
37524_at	STK17B	0.0053	2.61	NM_004226	Protein amino acid phosphorylation	2q32.3	Low
35277_at	SPON1	0.01	2.9	NM_006108	Cell adhesion	11p15.2	Low
742_at	HABP2	0.012	2.22	NM_004132	Cell adhesion	10q25.3	Low
38894__g_at	NCF4	0.013	2.07	NM_000631	Intracellular signalling cascade	22q13.1	Low
36618_g_at	ID1	0.013	2.31	NM_002165	Regulation of transcription from RNA polymerase II promoter	20q11	Low
37018_at	HIST1H1C	0.016	2.24	NM_005319	Chromosome organization	6p21.3	Low
37544_at	NFIL3	0.02	2.01	NM_005384	Regulation of transcription, DNA-dependent	9q22	Low
40951_at	LOC348162	0.025	2.11	XM_496125	Kinase activity	16p11.2	Low
36617_at	ID1	0.028	3.87	NM_002165	Regulation of transcription from RNA polymerase II promoter	20q11	Low
182_at	ITPR3	0.04	3.55	NM_002224	Calcium ion transport	6p21	Low
