Name	Symbol	UG Cluster	Known/probable Function	Fold change
Homo sapiens cDNA: FLJ22006 fis, clone HEP06915		Hs.306821	unknown	0.5
Homo sapiens cDNA: FLJ23060 fis, clone LNG04601		Hs.306868	unknown	0.5
Homo sapiens mRNA full length insert cDNA clone 117929		Hs.447814	unknown	0.6
Homo sapiens mRNA; cDNA DKFZp547P042		Hs.232127	unknown	0.4
Homo sapiens mRNA; cDNA DKFZp566E0124		Hs.401218	unknown	0.6
Homo sapiens SNAI1P pseudogene			unknown	0.6
Homo sapiens, clone IMAGE:3931942, mRNA, partial cds			unknown	0.5
HSPC159 protein	HSPC159	Hs.372208	unknown	0.5
Human DNA sequence from clone 452M16			unknown	0.5
Human DNA sequence from clone RP3-468K3			unknown	0.6
hypothetical protein DKFZp434N1923	DKFZP434N1923	Hs.295866	unknown	0.6
hypothetical protein FLJ11637	FLJ11637	Hs.287433	unknown	0.7
hypothetical protein FLJ12949	FLJ12949	Hs.104938	unknown	0.6
hypothetical protein FLJ14871	FLJ14871	Hs.143046	unknown	0.6
hypothetical protein FLJ20360	FLJ20360	Hs.378826	unknown	0.6
Hypothetical protein FLJ20689	FLJ20689		unknown	0.5
hypothetical protein FLJ21802	FLJ21802	Hs.48938	unknown	0.5
hypothetical protein FLJ25006	FLJ25006	Hs.351173	unknown	0.5
hypothetical protein FLJ32731	FLJ32731	Hs.191320	unknown	0.7
hypothetical protein LOC115110	LOC115110	Hs.132272	unknown	0.6
Hypothetical protein MGC10764	MGC10764		unknown	0.5
KIAA1698 protein	KIAA1698	Hs.76847	unknown	0.6
kinesin family member 5C	KIF5C	Hs.6641	unknown	0.6
likely ortholog of mouse embryonic epithelial gene 1	EEG1	Hs.99962	unknown	0.6
mesenchymal stem cell protein DSC43	LOC51333	Hs.148584	unknown	0.4
neuroepithelial cell transforming gene 1	NET1	Hs.25155	unknown	0.6
opticin	OPTC	Hs.241413	unknown	0.6
pecanex homolog (Drosophila)	PCNX	Hs.55947	unknown	0.7
popeye domain containing 2	POPDC2	Hs.16297	unknown	0.4
postmeiotic segregation increased 2-like 5	PMS2L5	Hs.511044	unknown	0.6
protein predicted by clone 23733	HSU79274	Hs.150555	unknown	0.7
protein tyrosine phosphatase, non-receptor type 14	PTPN14	Hs.512667	unknown	0.5
PTK2B protein tyrosine kinase 2 beta	PTK2B	Hs.405474	unknown	0.4
sarcoma antigen NY-SAR-41	NY-SAR-41	Hs.436101	unknown	0.6
SET and MYND domain containing 3	SMYD3	Hs.8109	unknown	0.6
similar to Caenorhabditis elegans protein C42C1.9	KEO4	Hs.285818	unknown	0.4
similar to keratinocytes proline-rich protein		Hs.6580	unknown	0.6
similar to RIKEN cDNA 1200014N16 gene	MGC14289	Hs.512833	unknown	0.5
solute carrier family 38, member 2	SLC38A2	Hs.298275	unknown	0.4
splicing factor, arginine/serine-rich 1 (splicing factor 2)	SFRS1	Hs.68714	unknown	0.7
testis-specific transcript, Y-linked 6	TTTY6	Hs.125547	unknown	0.5
variable charge, Y-linked	VCY	Hs.170076	unknown	0.5
arsenate resistance protein ARS2	ARS2	Hs.111801	unknown	1.9
ataxin 2 related protein	A2LP	Hs.43509	unknown	1.7
hypothetical protein 628	LOC56270	Hs.201390	unknown	1.5
hypothetical protein FLJ10193	FLJ10193	Hs.235195	unknown	1.6
hypothetical protein FLJ32000	FLJ32000	Hs.367888	unknown	2.1
KIAA0323 protein	KIAA0323	Hs.7911	unknown	3.9
KIAA1193 protein	KIAA1193	Hs.101891	unknown	18.1
MARCKS-like protein	MLP	Hs.75061	unknown	1.5
phosphoglycerate mutase 1 (brain)	PGAM1	Hs.447492	unknown	1.8
pleckstrin homology domain containing, family C	PLEKHC1	Hs.270411	unknown	1.7
protein phosphatase 4 (formerly X), catalytic subunit	PPP4C	Hs.2903	unknown	1.5
ubiquinol-cytochrome c reductase complex (7.2 kD)	HSPC051	Hs.284292	unknown	1.7
