HG-U133A probe set	Gene Symbol	Gene	NPM1-mutated	NPM1-WT, MLL-WT	Fold change	t statistic	P	q
203517_at	MTX2	metaxin 2	642.0	482.0	1.3	5.4	<0.0001	0.0028
216417_x_at	HOXB9	homeo box B9	235.1	139.7	1.7	5.6	<0.0001	0.0028
201413_at	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	2070.0	1336.0	1.5	8.3	<0.0001	0.0029
212535_at	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	752.2	1229.4	-1.6	-6.4	<0.0001	0.0029
206853_s_at	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	642.9	537.5	1.2	4.9	<0.0001	0.0030
202067_s_at	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	18.3	105.5	-5.8	-5.9	<0.0001	0.0031
206441_s_at	COMMD4	COMM domain containing 4	638.5	419.9	1.5	5.5	<0.0001	0.0031
207324_s_at	DSC1	desmocollin 1	18.7	51.1	-2.7	-5.3	<0.0001	0.0037
206194_at	HOXC4	homeo box C4	199.5	307.2	-1.5	-5.8	<0.0001	0.0041
211606_at	---	---	153.6	90.1	1.7	6.0	<0.0001	0.0041
206138_s_at	PIK4CB	phosphatidylinositol 4-kinase, catalytic, beta polypeptide	1535.2	1292.3	1.2	5.2	<0.0001	0.0044
205753_at	CRP	C-reactive protein, pentraxin-related	129.2	64.8	2.0	6.5	<0.0001	0.0045
210540_s_at	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	151.9	102.1	1.5	5.3	<0.0001	0.0049
201113_at	TUFM	Tu translation elongation factor, mitochondrial	2409.3	3519.3	-1.5	-6.5	<0.0001	0.0051
211525_s_at	GP5	glycoprotein V (platelet)	95.2	46.3	2.1	6.4	<0.0001	0.0051
214656_x_at	MYO1C	myosin IC	614.4	488.8	1.3	4.8	<0.0001	0.0053
218589_at	P2RY5	purinergic receptor P2Y, G-protein coupled, 5	161.0	870.3	-5.4	-7.6	<0.0001	0.0062
218857_s_at	ASRGL1	asparaginase like 1	921.0	476.7	1.9	6.1	<0.0001	0.0066
208212_s_at	ALK	anaplastic lymphoma kinase (Ki-1)	162.6	118.2	1.4	4.9	<0.0001	0.0069
205298_s_at	BTN2A2	butyrophilin, subfamily 2, member A2	318.2	433.0	-1.4	-5.4	<0.0001	0.0077
218886_at	PAK1IP1	PAK1 interacting protein 1	286.9	153.0	1.9	6.4	<0.0001	0.0092
208308_s_at	GPI	glucose phosphate isomerase	2757.3	4809.4	-1.7	-6.4	<0.0001	0.0094
221354_s_at	GPR24	G protein-coupled receptor 24	234.2	137.8	1.7	5.6	<0.0001	0.0094
201663_s_at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3357.6	1359.0	2.5	9.3	<0.0001	0.0096
201481_s_at	PYGB	phosphorylase, glycogen; brain	48.5	85.1	-1.8	-5.3	<0.0001	0.0099
204943_at	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	254.2	194.8	1.3	4.7	<0.0001	0.0107
220665_at	LUZP4	leucine zipper protein 4	189.6	130.7	1.5	5.1	<0.0001	0.0114
202537_s_at	DKFZP564O123	DKFZP564O123 protein	442.5	300.0	1.5	5.2	<0.0001	0.0124
221606_s_at	NSBP1	nucleosomal binding protein 1	178.4	77.4	2.3	5.9	<0.0001	0.0132
218446_s_at	FAM18B	family with sequence similarity 18, member B	268.9	216.0	1.2	4.5	<0.0001	0.0134
204134_at	PDE2A	phosphodiesterase 2A, cGMP-stimulated	28.9	118.3	-4.1	-5.7	0.0001	0.0156
204215_at	C7orf23	chromosome 7 open reading frame 23	338.8	519.6	-1.5	-4.8	0.0001	0.0156
209375_at	XPC	xeroderma pigmentosum, complementation group C	1047.3	880.3	1.2	4.9	0.0001	0.0156
211585_at	NPAT	nuclear protein, ataxia-telangiectasia locus	158.1	87.5	1.8	5.5	0.0001	0.0158
204995_at	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	89.9	42.2	2.1	6.1	0.0001	0.0168
201451_x_at	RHEB	Ras homolog enriched in brain	79.6	27.9	2.9	7.1	0.0001	0.0172
209605_at	TST	thiosulfate sulfurtransferase (rhodanese)	798.9	464.2	1.7	5.5	0.0001	0.0172
201008_s_at	TXNIP	thioredoxin interacting protein	4341.3	3105.4	1.4	4.9	0.0001	0.0175
202824_s_at	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	933.6	1126.7	-1.2	-4.5	0.0001	0.0175
204082_at	PBX3	pre-B-cell leukemia transcription factor 3	2120.3	943.4	2.2	6.1	0.0001	0.0175
214394_x_at	---	---	5417.5	7526.9	-1.4	-5.6	0.0001	0.0175
211446_at	RGSL2	regulator of G-protein signalling like 2	204.3	121.7	1.7	5.6	0.0001	0.0176
211969_at	HSPCA	heat shock 90kDa protein 1, alpha	9303.0	6627.9	1.4	5.7	0.0001	0.0176
211326_x_at	HFE	hemochromatosis	280.4	201.4	1.4	4.7	0.0001	0.0188
216612_x_at	---	---	96.2	70.6	1.4	4.7	0.0001	0.0188
210184_at	ITGAX	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	495.7	302.3	1.6	5.1	0.0001	0.0190
212252_at	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	875.9	1159.7	-1.3	-5.0	0.0001	0.0190
208557_at	HOXA6	homeo box A6	627.6	192.7	3.3	7.1	0.0001	0.0192
210947_s_at	MSH3	mutS homolog 3 (E. coli)	334.2	256.5	1.3	5.2	0.0001	0.0192
203512_at	TRAPPC3	trafficking protein particle complex 3	607.0	515.9	1.2	4.5	0.0001	0.0192
209697_at	---	---	113.1	93.7	1.2	4.2	0.0001	0.0194
221473_x_at	TDE1	tumor differentially expressed 1	2042.5	1482.3	1.4	5.5	0.0001	0.0194
221685_s_at	FLJ20364	hypothetical protein FLJ20364	342.4	208.7	1.6	5.4	0.0001	0.0194
207209_at	CETN1	centrin, EF-hand protein, 1	323.7	216.1	1.5	5.0	0.0001	0.0200
210662_at	KYNU	kynureninase (L-kynurenine hydrolase)	32.7	23.1	1.4	4.7	0.0001	0.0200
217399_s_at	FOXO3A	forkhead box O3A	28.0	75.7	-2.7	-4.3	0.0001	0.0200
203017_s_at	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	378.9	200.1	1.9	5.7	0.0001	0.0220
208453_s_at	XPNPEP1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	782.1	984.6	-1.3	-4.9	0.0001	0.0220
211804_s_at	CDK2	cyclin-dependent kinase 2	375.4	311.3	1.2	4.2	0.0001	0.0220
216831_s_at	CBFA2T1	core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related	6.6	83.2	-12.7	-4.2	0.0001	0.0220
217307_at	---	---	236.1	154.9	1.5	5.0	0.0001	0.0220
200863_s_at	RAB11A	RAB11A, member RAS oncogene family	2081.0	2744.7	-1.3	-4.1	0.0001	0.0223
206847_s_at	HOXA7	homeo box A7	368.1	97.6	3.8	6.7	0.0001	0.0223
214494_s_at	SPG7	spastic paraplegia 7, paraplegin (pure and complicated autosomal recessive)	1274.2	1007.0	1.3	4.9	0.0001	0.0226
216969_s_at	KIF22	kinesin family member 22	274.8	204.6	1.3	4.7	0.0001	0.0234
210337_s_at	ACLY	ATP citrate lyase	712.9	1062.2	-1.5	-4.6	0.0001	0.0242
217846_at	QARS	glutaminyl-tRNA synthetase	4749.8	6284.4	-1.3	-6.1	0.0001	0.0242
206003_at	KIAA0635	KIAA0635	481.4	329.7	1.5	5.4	0.0001	0.0258
216492_at	---	---	224.2	181.6	1.2	4.2	0.0001	0.0268
220156_at	FLJ11767	hypothetical protein FLJ11767	42.9	105.8	-2.5	-4.3	0.0001	0.0270
34408_at	RTN2	reticulon 2	397.3	319.2	1.2	4.3	0.0001	0.0276
201621_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	23.7	191.4	-8.1	-6.1	0.0002	0.0281
218466_at	TBC1D17	TBC1 domain family, member 17	326.3	254.2	1.3	4.1	0.0002	0.0311
218916_at	FLJ23436	hypothetical protein FLJ23436	303.5	214.5	1.4	4.6	0.0002	0.0315
220841_s_at	AHI1	Abelson helper integration site	172.1	115.3	1.5	4.8	0.0002	0.0315
220694_at	---	---	206.9	165.7	1.2	4.1	0.0002	0.0322
220798_x_at	FLJ11535	hypothetical protein FLJ11535	366.8	190.5	1.9	5.1	0.0002	0.0322
201185_at	PRSS11	protease, serine, 11 (IGF binding)	341.2	278.1	1.2	4.2	0.0002	0.0328
204137_at	TM7SF1	transmembrane 7 superfamily member 1 (upregulated in kidney)	105.2	71.8	1.5	4.7	0.0002	0.0328
216308_x_at	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	971.3	1493.1	-1.5	-5.7	0.0002	0.0328
217127_at	CTH	cystathionase (cystathionine gamma-lyase)	113.6	79.6	1.4	4.4	0.0002	0.0334
204021_s_at	PURA	purine-rich element binding protein A	490.8	350.0	1.4	4.3	0.0002	0.0350
210213_s_at	ITGB4BP	integrin beta 4 binding protein	1492.6	1763.0	-1.2	-4.4	0.0002	0.0362
208345_s_at	POU3F1	POU domain, class 3, transcription factor 1	111.7	59.3	1.9	5.3	0.0002	0.0364
209451_at	TANK	TRAF family member-associated NFKB activator	457.6	269.7	1.7	5.9	0.0002	0.0364
203567_s_at	TRIM38	tripartite motif-containing 38	1315.4	902.6	1.5	5.1	0.0002	0.0367
221883_at	PKNOX1	PBX/knotted 1 homeobox 1	278.2	155.5	1.8	5.3	0.0002	0.0368
220529_at	FLJ11710	hypothetical protein FLJ11710	300.2	147.3	2.0	5.5	0.0002	0.0371
217167_x_at	GK	glycerol kinase	139.4	80.2	1.7	5.2	0.0002	0.0380
202346_at	HIP2	huntingtin interacting protein 2	530.7	398.9	1.3	4.7	0.0002	0.0384
211769_x_at	TDE1	tumor differentially expressed 1 /// tumor differentially expressed 1	2421.6	1948.7	1.2	4.7	0.0002	0.0384
208858_s_at	MBC2	likely ortholog of mouse membrane bound C2 domain containing protein	1087.2	1820.8	-1.7	-5.8	0.0002	0.0385
217975_at	WBP5	WW domain binding protein 5	609.6	249.4	2.4	5.4	0.0003	0.0386
205023_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	107.3	61.5	1.7	5.0	0.0003	0.0387
209543_s_at	CD34	CD34 antigen	369.4	2511.4	-6.8	-6.3	0.0003	0.0391
208091_s_at	DKFZP564K0822	hypothetical protein DKFZp564K0822 /// hypothetical protein DKFZp564K0822	957.8	712.1	1.3	4.3	0.0003	0.0392
210709_at	---	---	16.6	44.8	-2.7	-4.2	0.0003	0.0392
215605_at	NCOA2	Nuclear receptor coactivator 2	485.9	365.0	1.3	4.6	0.0003	0.0392
221631_at	CACNA1I	calcium channel, voltage-dependent, alpha 1I subunit	350.5	272.9	1.3	4.1	0.0003	0.0392
204285_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	474.5	1315.4	-2.8	-5.1	0.0003	0.0401
212512_s_at	CARM1	coactivator-associated arginine methyltransferase 1	289.6	413.8	-1.4	-4.3	0.0003	0.0401
204315_s_at	GTSE1	G-2 and S-phase expressed 1	272.0	164.2	1.7	4.7	0.0003	0.0404
209370_s_at	SH3BP2	SH3-domain binding protein 2	870.2	695.7	1.3	4.1	0.0003	0.0404
218404_at	SNX10	sorting nexin 10	601.1	369.0	1.6	4.6	0.0003	0.0404
219621_at	CLSPN	claspin homolog (Xenopus laevis)	172.9	91.5	1.9	5.2	0.0003	0.0407
212314_at	KIAA0746	KIAA0746 protein	920.5	638.4	1.4	4.6	0.0003	0.0417
215143_at	FLJ36166	Hypothetical protein FLJ36166	289.3	187.9	1.5	5.1	0.0003	0.0417
216529_at	---	---	97.0	60.8	1.6	4.8	0.0003	0.0417
202190_at	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	319.9	203.5	1.6	4.6	0.0003	0.0424
205600_x_at	HOXB5	homeo box B5	987.1	528.3	1.9	6.0	0.0003	0.0429
207830_s_at	PPP1R8	protein phosphatase 1, regulatory (inhibitor) subunit 8	1140.2	926.4	1.2	4.2	0.0003	0.0429
207910_at	SCGB1D1	secretoglobin, family 1D, member 1	103.4	83.0	1.2	4.0	0.0003	0.0429
211439_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	349.9	255.6	1.4	4.5	0.0003	0.0429
211570_s_at	RAPSN	receptor-associated protein of the synapse, 43kD	30.2	23.4	1.3	4.5	0.0003	0.0448
221347_at	CHRM5	cholinergic receptor, muscarinic 5	215.0	160.1	1.3	4.2	0.0003	0.0453
210867_at	CNOT4	CCR4-NOT transcription complex, subunit 4	114.5	89.0	1.3	4.1	0.0004	0.0454
208967_s_at	AK2	adenylate kinase 2	2167.7	1506.3	1.4	5.2	0.0004	0.0470
209457_at	DUSP5	dual specificity phosphatase 5	266.9	458.0	-1.7	-3.9	0.0004	0.0470
215570_s_at	LOC163131 /// LOC284323	hypothetical BC331191_1 /// hypothetical protein LOC284323	83.8	73.9	1.1	3.9	0.0004	0.0470
219254_at	FLJ22222	hypothetical protein FLJ22222	111.6	74.8	1.5	4.6	0.0004	0.0474
201228_s_at	ARIH2	ariadne homolog 2 (Drosophila)	315.6	240.3	1.3	4.6	0.0004	0.0488
204479_at	OSTF1	osteoclast stimulating factor 1	553.5	434.3	1.3	4.1	0.0004	0.0534
218084_x_at	FXYD5	FXYD domain containing ion transport regulator 5	5963.5	8692.3	-1.5	-5.2	0.0004	0.0534
203741_s_at	ADCY7	adenylate cyclase 7	651.8	450.4	1.4	4.3	0.0004	0.0539
201600_at	REA	repressor of estrogen receptor activity	6203.3	7904.0	-1.3	-5.3	0.0004	0.0543
201540_at	FHL1	four and a half LIM domains 1	371.3	1579.5	-4.3	-5.6	0.0005	0.0550
206310_at	SPINK2	serine protease inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	3574.2	2442.1	1.5	4.7	0.0005	0.0550
207023_x_at	KRT10	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)	1169.1	790.2	1.5	4.8	0.0005	0.0550
212062_at	ATP9A	ATPase, Class II, type 9A	13.6	108.1	-8.0	-4.0	0.0005	0.0552
213168_at	SP3	Sp3 transcription factor	1317.2	1125.4	1.2	3.9	0.0005	0.0552
218326_s_at	GPR48	G protein-coupled receptor 48	101.5	79.8	1.3	4.7	0.0005	0.0552
219195_at	PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	116.9	41.6	2.8	5.7	0.0005	0.0552
41577_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	27.2	85.3	-3.1	-3.8	0.0005	0.0553
37005_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	432.8	716.4	-1.7	-4.5	0.0005	0.0556
211659_at	GPR135	G protein-coupled receptor 135 /// G protein-coupled receptor 135	26.6	20.9	1.3	4.2	0.0005	0.0561
217361_at	---	---	33.6	67.4	-2.0	-4.2	0.0005	0.0587
210847_x_at	TNFRSF25	tumor necrosis factor receptor superfamily, member 25	28.2	97.6	-3.5	-4.4	0.0005	0.0600
220162_s_at	CARD9	caspase recruitment domain family, member 9	599.5	380.4	1.6	4.8	0.0005	0.0600
211217_s_at	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	51.6	131.0	-2.5	-4.1	0.0005	0.0608
214376_at	---	Clone 24626 mRNA sequence	149.4	116.1	1.3	4.0	0.0006	0.0618
219507_at	MGC12197	BM-011 protein	391.7	220.9	1.8	5.2	0.0006	0.0618
207050_at	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	186.8	94.4	2.0	5.3	0.0006	0.0642
219893_at	FLJ12800	hypothetical protein FLJ12800	322.1	226.0	1.4	4.4	0.0006	0.0642
221244_s_at	---	---	117.5	67.6	1.7	4.7	0.0006	0.0642
216198_at	---	---	106.9	61.4	1.7	4.7	0.0006	0.0642
215419_at	KIAA1086	KIAA1086	178.8	136.0	1.3	4.0	0.0006	0.0647
208963_x_at	FADS1	fatty acid desaturase 1	337.9	236.6	1.4	4.2	0.0006	0.0675
212530_at	NEK7	NIMA (never in mitosis gene a)-related kinase 7	1015.2	775.0	1.3	4.7	0.0006	0.0678
218477_at	TMEM14A	transmembrane protein 14A	624.4	373.4	1.7	4.5	0.0006	0.0678
203327_at	IDE	insulin-degrading enzyme	705.0	572.3	1.2	3.9	0.0006	0.0684
215801_at	---	Transcribed locus, moderately similar to XP_227155.2 similar to neurobeachin [Rattus norvegicus]	154.4	109.3	1.4	4.3	0.0007	0.0688
221164_x_at	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	491.1	364.3	1.3	4.6	0.0007	0.0688
213176_s_at	LTBP4	latent transforming growth factor beta binding protein 4	27.2	85.3	-3.1	-4.7	0.0007	0.0692
200005_at	EIF3S7	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa /// eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	4377.9	6343.4	-1.4	-5.3	0.0007	0.0694
202207_at	ARL7	ADP-ribosylation factor-like 7	269.1	526.2	-2.0	-4.5	0.0007	0.0694
208143_s_at	FAM12A	family with sequence similarity 12, member A	41.1	31.4	1.3	4.2	0.0007	0.0694
205977_s_at	EPHA1	EPH receptor A1	323.1	265.3	1.2	3.8	0.0007	0.0699
214400_at	INSL3	insulin-like 3 (Leydig cell)	24.2	67.7	-2.8	-4.8	0.0007	0.0708
206142_at	ZNF135	zinc finger protein 135 (clone pHZ-17)	9.6	37.8	-3.9	-4.3	0.0007	0.0709
206289_at	HOXA4	homeo box A4	381.5	170.7	2.2	5.1	0.0007	0.0709
207374_at	PLSCR2	phospholipid scramblase 2	126.6	86.9	1.5	4.2	0.0007	0.0709
220570_at	RETN	resistin	129.8	573.7	-4.4	-4.5	0.0007	0.0709
216216_at	SLIT3	slit homolog 3 (Drosophila)	102.2	66.9	1.5	4.4	0.0007	0.0710
220033_at	---	---	370.1	217.1	1.7	4.7	0.0007	0.0710
218230_at	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	358.4	262.9	1.4	4.0	0.0007	0.0713
212771_at	C10orf38	chromosome 10 open reading frame 38	272.4	622.5	-2.3	-3.7	0.0007	0.0718
215555_at	---	---	100.4	66.9	1.5	4.3	0.0007	0.0718
201395_at	RBM5	RNA binding motif protein 5	2252.6	2017.0	1.1	3.7	0.0008	0.0728
209653_at	KPNA4	karyopherin alpha 4 (importin alpha 3)	511.3	341.9	1.5	4.3	0.0008	0.0728
211426_x_at	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	1037.8	1339.3	-1.3	-4.3	0.0008	0.0728
212850_s_at	LRP4	low density lipoprotein receptor-related protein 4	42.6	140.7	-3.3	-5.1	0.0008	0.0728
213110_s_at	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	966.0	270.2	3.6	5.4	0.0008	0.0728
217865_at	RNF130	ring finger protein 130	2606.2	3647.0	-1.4	-4.8	0.0008	0.0728
208611_s_at	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	672.8	1094.8	-1.6	-4.7	0.0008	0.0736
203611_at	TERF2	telomeric repeat binding factor 2	982.9	1194.4	-1.2	-3.5	0.0008	0.0738
211689_s_at	TMPRSS2	transmembrane protease, serine 2 /// transmembrane protease, serine 2	10.0	20.2	-2.0	-4.1	0.0008	0.0738
217650_x_at	---	---	322.3	249.9	1.3	3.9	0.0008	0.0756
218223_s_at	CKIP-1	CK2 interacting protein 1; HQ0024c protein	424.4	994.4	-2.3	-4.8	0.0008	0.0771
218695_at	EXOSC4	exosome component 4	434.0	285.5	1.5	4.2	0.0008	0.0771
201009_s_at	TXNIP	thioredoxin interacting protein	7191.7	5393.7	1.3	4.3	0.0008	0.0772
201349_at	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	932.5	1572.7	-1.7	-5.0	0.0009	0.0774
206756_at	CHST7	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	22.6	61.1	-2.7	-4.0	0.0009	0.0774
212638_s_at	WWP1	WW domain containing E3 ubiquitin protein ligase 1	698.0	489.0	1.4	4.7	0.0009	0.0774
202297_s_at	RER1	RER1 homolog (S. cerevisiae)	861.8	681.9	1.3	4.4	0.0009	0.0786
202940_at	PRKWNK1	protein kinase, lysine deficient 1	388.6	281.6	1.4	4.4	0.0009	0.0786
205017_s_at	MBNL2	muscleblind-like 2 (Drosophila)	197.9	111.3	1.8	4.5	0.0009	0.0786
210211_s_at	HSPCA	heat shock 90kDa protein 1, alpha	8250.2	6665.9	1.2	4.4	0.0009	0.0786
214049_x_at	CD7	CD7 antigen (p41)	40.2	215.3	-5.4	-4.5	0.0009	0.0786
218557_at	NIT2	nitrilase family, member 2	965.6	1285.5	-1.3	-4.0	0.0009	0.0786
220608_s_at	FLJ20582	Hypothetical protein FLJ20582	233.7	155.3	1.5	4.7	0.0009	0.0786
222319_at	---	---	410.0	224.5	1.8	4.6	0.0009	0.0786
205558_at	TRAF6	TNF receptor-associated factor 6	349.7	246.6	1.4	4.2	0.0009	0.0787
208648_at	VCP	valosin-containing protein	943.8	739.0	1.3	4.7	0.0009	0.0788
213223_at	RPL28	ribosomal protein L28	644.1	928.1	-1.4	-4.6	0.0009	0.0788
214390_s_at	BCAT1	branched chain aminotransferase 1, cytosolic	46.2	201.6	-4.4	-4.6	0.0009	0.0788
219412_at	RAB38	RAB38, member RAS oncogene family	191.6	163.7	1.2	4.0	0.0009	0.0788
207734_at	LAX	hypothetical protein FLJ20340	236.8	476.2	-2.0	-5.5	0.0009	0.0788
208900_s_at	TOP1	topoisomerase (DNA) I	891.6	532.0	1.7	4.3	0.0009	0.0788
205669_at	NCAM2	neural cell adhesion molecule 2	122.7	97.7	1.3	3.8	0.0009	0.0790
202533_s_at	DHFR	dihydrofolate reductase	332.1	158.7	2.1	4.8	0.0010	0.0797
219105_x_at	ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)	623.5	503.6	1.2	4.2	0.0010	0.0804
208660_at	CS	citrate synthase	2562.5	3400.8	-1.3	-5.3	0.0010	0.0808
211189_x_at	---	---	580.5	476.3	1.2	3.9	0.0010	0.0809
201786_s_at	ADAR	adenosine deaminase, RNA-specific	3009.6	3592.8	-1.2	-4.6	0.0010	0.0811
207250_at	SIX6	sine oculis homeobox homolog 6 (Drosophila)	176.2	145.2	1.2	3.7	0.0010	0.0811
210126_at	PSG9	pregnancy specific beta-1-glycoprotein 9	15.0	37.6	-2.5	-4.2	0.0010	0.0821
221904_at	MGC21688	hypothetical protein MGC21688	402.7	312.5	1.3	4.1	0.0010	0.0821
209481_at	SNRK	SNF-1 related kinase	1259.1	1678.5	-1.3	-4.2	0.0010	0.0821
201828_x_at	CXX1	CAAX box 1	1167.2	873.0	1.3	4.0	0.0010	0.0823
217853_at	TENS1	tensin-like SH2 domain containing 1	877.7	746.1	1.2	3.6	0.0010	0.0825
209248_at	GHITM	growth hormone inducible transmembrane protein	1760.6	1475.4	1.2	4.4	0.0011	0.0834
219007_at	NUP43	nucleoporin 43kDa	1062.1	891.6	1.2	3.8	0.0011	0.0834
203837_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5	779.8	516.5	1.5	4.7	0.0011	0.0859
205522_at	HOXD4	homeo box D4	221.7	148.3	1.5	4.2	0.0011	0.0859
201146_at	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1354.1	959.7	1.4	4.7	0.0011	0.0865
204884_s_at	HUS1	HUS1 checkpoint homolog (S. pombe)	117.1	89.6	1.3	3.9	0.0011	0.0865
