HG_U133A probe	Gene Symbol	Gene Title	NPM1-mutant	NPM1-WT	Fold change	t statistic	P	q
211570_s_at	RAPSN	receptor-associated protein of the synapse, 43kD	30.2	26.2	1.1	4.2	0.0008	0.0834
218326_s_at	GPR48	G protein-coupled receptor 48	101.5	77.5	1.3	4.6	0.0008	0.0834
220874_at	---	---	199.5	152.4	1.3	4.1	0.0008	0.0834
221823_at	LOC90355	hypothetical gene supported by AF038182; BC009203	408.3	291	1.4	4.4	0.0008	0.0834
203567_s_at	TRIM38	tripartite motif-containing 38	1315.4	956.3	1.4	4.6	0.0008	0.085
219007_at	NUP43	nucleoporin 43kDa	1062.1	885.3	1.2	4.1	0.0008	0.085
34408_at	RTN2	reticulon 2	397.3	337.6	1.2	3.8	0.0008	0.0851
216529_at	---	---	97	64.5	1.5	4.5	0.0008	0.0853
220162_s_at	CARD9	caspase recruitment domain family, member 9	599.5	394.7	1.5	4.6	0.0008	0.0853
201540_at	FHL1	four and a half LIM domains 1	371.3	1462.1	-3.9	-5.3	0.0008	0.0857
201600_at	REA	repressor of estrogen receptor activity	6203.3	7781.5	-1.3	-5.1	0.0008	0.0857
212530_at	NEK7	NIMA (never in mitosis gene a)-related kinase 7	1015.2	779.7	1.3	4.8	0.0008	0.0857
213110_s_at	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	966	267.2	3.6	5.5	0.0008	0.0857
204315_s_at	GTSE1	G-2 and S-phase expressed 1	272	174.7	1.6	4.4	0.0009	0.0872
205017_s_at	MBNL2	muscleblind-like 2 (Drosophila)	197.9	107.9	1.8	4.8	0.0008	0.0872
202207_at	ARL7	ADP-ribosylation factor-like 7	269.1	520.4	-1.9	-4.5	0.0009	0.0885
208393_s_at	RAD50	RAD50 homolog (S. cerevisiae)	475	396.7	1.2	3.9	0.0009	0.0886
206310_at	SPINK2	serine protease inhibitor, Kazal type 2	3574.2	2637.2	1.4	4.4	0.0009	0.0906
208143_s_at	FAM12A	family with sequence similarity 12, member A	41.1	31.7	1.3	4.2	0.0009	0.0912
210184_at	ITGAX	integrin, alpha X (antigen CD11C (p150), alpha polypeptide)	495.7	397.1	1.2	4	0.0009	0.0912
221244_s_at	---	---	117.5	70.1	1.7	4.6	0.0009	0.0912
214187_x_at	---	---	158.4	113.3	1.4	4.3	0.0009	0.0939
204133_at	RNU3IP2	RNA, U3 small nucleolar interacting protein 2	89.1	190.1	-2.1	-4.2	0.001	0.0941
205977_s_at	EPHA1	EPH receptor A1	323.1	270.3	1.2	3.8	0.001	0.0942
206756_at	CHST7	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	22.6	59.7	-2.6	-4.1	0.001	0.0953
207634_at	PDCD1	programmed cell death 1	213.3	163.4	1.3	4.1	0.001	0.0953
208091_s_at	DKFZP564K0822	hypothetical protein DKFZp564K0822	957.8	755.5	1.3	3.9	0.001	0.0953
209170_s_at	GPM6B	glycoprotein M6B	19.2	191.7	-10	-3.9	0.001	0.0953
220064_at	FLJ11457	hypothetical protein FLJ11457	12.5	34	-2.7	-4.2	0.001	0.0953
222319_at	---	---	410	221	1.9	4.8	0.001	0.0953
204884_s_at	HUS1	HUS1 checkpoint homolog (S. pombe)	117.1	87.3	1.3	4.1	0.001	0.0954
207071_s_at	ACO1	aconitase 1, soluble	798	536.4	1.5	5.3	0.001	0.0954
219507_at	MGC12197	BM-011 protein	391.7	228.8	1.7	5	0.001	0.0954
220033_at	---	---	370.1	219.9	1.7	4.7	0.001	0.0954
220570_at	RETN	resistin	129.8	569.4	-4.4	-4.3	0.001	0.0954
203327_at	IDE	insulin-degrading enzyme	705	582.5	1.2	3.8	0.0011	0.0978
205142_x_at	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	402	621.4	-1.5	-4.8	0.0011	0.0978
203302_at	DCK	deoxycytidine kinase	918.9	670.4	1.4	4.7	0.0011	0.0979
208660_at	CS	citrate synthase	2562.5	3396.1	-1.3	-5.3	0.0011	0.0981
213358_at	KIAA0802	KIAA0802	320.2	237.2	1.4	4.2	0.0011	0.0981
219231_at	NCOA6IP	nuclear receptor coactivator 6 interacting protein	425.6	373.3	1.1	3.8	0.0011	0.0981
217865_at	RNF130	ring finger protein 130	2606.2	3605.6	-1.4	-4.7	0.0011	0.0989
213384_x_at	PLCB3	phospholipase C, beta 3 (phosphatidylinositol-specific)	269.7	228.9	1.2	3.7	0.0011	0.0999
216005_at	TNC	Tenascin C (hexabrachion)	92.8	81.5	1.1	3.5	0.0011	0.0999
216198_at	---	---	106.9	63.1	1.7	4.5	0.0011	0.0999
208648_at	VCP	valosin-containing protein	943.8	737.3	1.3	4.8	0.0011	0.1006
211022_s_at	ATRX	alpha thalassemia/mental retardation syndrome X-linked	165.9	89.9	1.8	4.5	0.0011	0.1006
202533_s_at	DHFR	dihydrofolate reductase	332.1	159	2.1	4.8	0.0012	0.1011
210211_s_at	HSPCA	heat shock 90kDa protein 1, alpha	8250.2	6757.8	1.2	4.3	0.0012	0.1011
212822_at	HEG	HEG homolog	45.9	108.2	-2.4	-4.4	0.0012	0.1011
201841_s_at	HSPB1	heat shock 27kDa protein 1	309.8	1352.4	-4.4	-5.1	0.0012	0.1015
214475_x_at	CAPN3	calpain 3, (p94)	35.3	280.4	-7.9	-5.4	0.0012	0.1015
215841_at	GUCA1B	guanylate cyclase activator 1B (retina)	203.3	126.2	1.6	4.5	0.0012	0.102
204285_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	474.5	1191	-2.5	-4.3	0.0012	0.1021
206110_at	HIST1H3H	histone 1, H3h	190.4	150.7	1.3	4	0.0012	0.1022
208900_s_at	TOP1	topoisomerase (DNA) I	891.6	545.3	1.6	4.3	0.0012	0.1022
215555_at	---	---	100.4	69.9	1.4	4.1	0.0012	0.1022
216905_s_at	ST14	suppression of tumorigenicity 14	14	45.2	-3.2	-3.8	0.0013	0.105
214400_at	INSL3	insulin-like 3 (Leydig cell)	24.2	65.2	-2.7	-4.5	0.0013	0.1056
202940_at	PRKWNK1	protein kinase, lysine deficient 1	388.6	285.7	1.4	4.3	0.0013	0.1076
207250_at	SIX6	sine oculis homeobox homolog 6 (Drosophila)	176.2	146.7	1.2	3.7	0.0013	0.1076
210703_at	---	---	65.5	62.6	1	3.3	0.0013	0.1076
217650_x_at	---	---	322.3	256.1	1.3	3.8	0.0013	0.1076
201845_s_at	---	---	1157.3	902.6	1.3	4.1	0.0013	0.1076
218477_at	TMEM14A	transmembrane protein 14A	624.4	388	1.6	4.3	0.0013	0.1076
204479_at	OSTF1	osteoclast stimulating factor 1	553.5	453	1.2	3.8	0.0014	0.1086
207503_at	TCP10	t-complex 10 (mouse)	155.8	137.5	1.1	3.4	0.0014	0.1086
220336_s_at	GP6	glycoprotein VI (platelet)	208.4	174.5	1.2	3.6	0.0013	0.1086
206142_at	ZNF135	zinc finger protein 135 (clone pHZ-17)	9.6	36	-3.8	-4.1	0.0014	0.1088
209653_at	KPNA4	karyopherin alpha 4 (importin alpha 3)	511.3	350.5	1.5	4.2	0.0014	0.1088
218084_x_at	FXYD5	FXYD domain containing ion transport regulator 5	5963.5	8315.1	-1.4	-4.4	0.0014	0.1116
218876_at	CGI-38	brain specific protein	19.2	234.5	-12.2	-4.1	0.0014	0.1116
211689_s_at	TMPRSS2	transmembrane protease, serine 2	10	19.3	-1.9	-3.9	0.0014	0.1121
214938_x_at	HMGB1	high-mobility group box 1	22919.4	18056.5	1.3	4.5	0.0014	0.1121
219105_x_at	ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)	623.5	508.6	1.2	4.1	0.0014	0.1121
218230_at	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	358.4	271.3	1.3	3.9	0.0015	0.1126
200005_at	EIF3S7	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	4377.9	6130.6	-1.4	-4.8	0.0015	0.1128
201146_at	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1354.1	966.7	1.4	4.7	0.0015	0.1133
201349_at	SLC9A3R1	solute carrier family 9, isoform 3 regulator 1	932.5	1525.7	-1.6	-4.7	0.0015	0.1151
210847_x_at	TNFRSF25	tumor necrosis factor receptor superfamily, member 25	28.2	89.3	-3.2	-4	0.0015	0.1151
215525_at	FLJ12610	Hypothetical protein FLJ12610	328.9	249.1	1.3	4	0.0015	0.117
201462_at	SCRN1	secernin 1	75	439.7	-5.9	-4	0.0016	0.1187
40359_at	C11orf13	chromosome 11 open reading frame 13	1435.3	1310.5	1.1	3.5	0.0016	0.1203
205558_at	TRAF6	TNF receptor-associated factor 6	349.7	251.4	1.4	4.1	0.0016	0.1205
207023_x_at	KRT10	keratin 10	1169.1	847.5	1.4	4.2	0.0016	0.1205
211426_x_at	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	1037.8	1317.1	-1.3	-4	0.0016	0.1205
214049_x_at	CD7	CD7 antigen (p41)	40.2	195.1	-4.9	-4.4	0.0016	0.1205
