Name	Accession	Symbol	Linear fold change	p-value
X13546		1.236602537	0.028149889
High mobility group AT-hook 1	NM_002131	HMGA1	1.235137434	0.012101636
IL2-inducible T-cell kinase	NM_005546	ITK	1.233182835	0.049082323
Ephrin-B1	NM_004429	EFNB1	1.22903395	0.011729332
U38980		1.22891678	0.049983865
AL133500		1.227203132	0.029421403
Hormonally upregulated Neu-associated kinase	NM_014586	HUNK	1.225902328	0.013332692
E74-like factor 3 (ets domain transcription factor, epithelial-specific )	AF017307	ELF3	1.224916665	0.00839069
AT-binding transcription factor 1	L32832	ATBF1	1.224855771	0.039952366
Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	AB010420	CBFA2T3	1.224812103	0.041051455
X-ray repair complementing defective repair in Chinese hamster cells 3	NM_005432	XRCC3	1.216898599	0.040126357
Retinoic acid receptor, beta	NM_016152	RARB	1.216655969	0.024265686
V-akt murine thymoma viral oncogene homolog 1	NM_005163	AKT1	1.212396813	0.007825441
Myeloproliferative leukemia virus oncogene	NM_005373	MPL	1.211867526	0.015201579
AB024404		1.203647277	0.012905022
E2F transcription factor 1	NM_005225	E2F1	1.203605615	0.042396636
Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	NM_001983	ERCC1	1.20326791	0.020818762
Thrombospondin 2	NM_003247	THBS2	1.200288969	0.044262877
Cadherin 4, type 1, R-cadherin (retinal)	L34059	CDH4	1.199954953	0.043912647
Insulin-like growth factor 2 receptor	NM_000876	IGF2R	1.199565298	0.029523889
RAB4A, member RAS oncogene family	M28211	RAB4A	1.198428677	0.030812703
EPH receptor A1	NM_005232	EPHA1	1.195009256	0.026447833
Ephrin-A1	NM_004428	EFNA1	1.194817635	0.008629041
Tumor-associated calcium signal transducer 2	NM_002353	TACSTD2	1.19381672	0.004667129
Signal transducer and activator of transcription 2, 113kDa	NM_005419	STAT2	1.192877174	0.012785918
Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	AB010420	CBFA2T3	1.191555297	0.009613065
High mobility group AT-hook 1	NM_002131	HMGA1	1.190381066	0.04561779
Neuroblastoma, suppression of tumorigenicity 1	NM_005380	NBL1	1.189405412	0.012610995
Promyelocytic leukemia	NM_002675	PML	1.188967552	0.030226746
V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	NM_004448	ERBB2	1.188759538	0.015789584
Serine/threonine kinase 17a (apoptosis-inducing)	NM_004760	STK17A	1.182253917	0.040790054
BRCA1 associated RING domain 1	NM_000465	BARD1	1.181622484	0.033276718
Ephrin-A1	NM_004428	EFNA1	1.17075857	0.040597613
GATA binding protein 2	BC015613	GATA2	1.164100021	0.047566856
Cyclin-dependent kinase 2	NM_001798	CDK2	1.163424826	0.013156343
Neuregulin 1	NM_013964	NRG1	1.163253041	0.016972694
SRY (sex determining region Y)-box 4	NM_003107	SOX4	1.162911089	0.031362351
Glioma-associated oncogene homolog 1 (zinc finger protein)	NM_005269	GLI1	1.160800098	0.015717298
Polycystic kidney disease 1 (autosomal dominant)	NM_000296	PKD1	1.159656413	0.027501514
Mitogen-activated protein kinase kinase 5	NM_002757	MAP2K5	1.159218711	0.034717688
Fas (TNFRSF6)-associated via death domain	NM_003824	FADD	1.157837101	0.040459329
POU domain, class 2, associating factor 1	NM_006235	POU2AF1	1.157400661	0.009950951
Lecithin-cholesterol acyltransferase	NM_000229	LCAT	1.156796599	0.018836523
Plasminogen activator, urokinase	NM_002658	PLAU	1.156525224	0.023359793
NM_005394		1.154691179	0.010067037
NM_005394		1.150473524	0.006032272
Protocadherin 1 (cadherin-like 1)	NM_002587	PCDH1	1.150137726	0.016098515
Calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	NM_015981	CAMK2A	1.149880136	0.034260095
Ubiquitin specific protease 8	NM_005154	USP8	1.149002352	0.017780699
Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	BC020057	ITGB1	1.146920879	0.048578746
Zinc finger protein 133 (clone pHZ-13)	NM_003434	ZNF133	1.145712274	0.013045148
Transcription factor AP-4 (activating enhancer binding protein 4)	NM_003223	TFAP4	1.145464495	0.037000553
Tumor necrosis factor (ligand) superfamily, member 12	NM_003809	TNFSF13	1.142520351	0.033713984
Cyclin-dependent kinase 6	NM_001259	CDK6	1.14000893	0.022868689
Casein kinase 1, gamma 2	BC020972	CSNK1G2	1.138600134	0.027560958
V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	S61953	ERBB3	1.138215544	0.018847296
Thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)	NM_000460	THPO	1.136812527	0.049056964
ELK4, ETS-domain protein (SRF accessory protein 1)	NM_001973	ELK4	1.136802219	0.043580025
Insulin-like growth factor 1 receptor	NM_000875	IGF1R	1.134248309	0.028879519
Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	S76638	NFKB2	1.131773737	0.029304089
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	BC002595	NDUFB7	1.131585805	0.024612153
Fms-related tyrosine kinase 3 ligand	NM_001459	FLT3LG	1.129667038	0.040570835
NM_080925		1.113347634	0.015236566
Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	NM_015850	FGFR1	1.092120646	0.020134185
Interleukin 13	NM_002188	IL13	-1.088656103	0.026817722
Serine/threonine kinase 11 (Peutz-Jeghers syndrome)	BC007981	STK11	-1.107391912	0.043124027
Selectin P (granule membrane protein 140kDa, antigen CD62)	NM_003005	SELP	-1.13462483	0.043395752
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	NM_006476	ATP5L	-1.135107152	0.040726621
Zinc finger protein 198	NM_003453	ZNF198	-1.137249561	0.040388188
Integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	NM_002209	ITGAL	-1.152816409	0.029635794
Casein kinase 1, alpha 1	BC008717	CSNK1A1	-1.152895835	0.045912202
Retinoblastoma 1 (including osteosarcoma)	NM_000321	RB1	-1.160509752	0.049243064
High-mobility group box 2	NM_002129	HMGB2	-1.170131822	0.038596101
Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	NM_004168	SDHA	-1.170300754	0.015593345
NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	NM_002495	NDUFS4	-1.170371556	0.035355507
NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	BC007323	NDUFC2	-1.185620356	0.015506696
Casein kinase 2, beta polypeptide	NM_001320	CSNK2B	-1.193391488	0.021217572
NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	NM_004552	NDUFS5	-1.201540087	0.04896928
Heterogeneous nuclear ribonucleoprotein H2 (H)	NM_019597	HNRPH2	-1.20161418	0.019625333
Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	NM_006003	UQCRFS1	-1.208341924	0.041318212
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1	NM_001688	ATP5F1	-1.2183825	0.012507689
TXK tyrosine kinase	NM_003328	TXK	-1.219749289	0.021350069
BC004521		-1.220572178	0.017158683
Phosphatidylinositol glycan, class F	NM_002643	PIGF	-1.226534411	0.026272436
Tumor protein p73	NM_005427	TP73	-1.228763474	0.026556844
V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	J04102	ETS2	-1.232701344	0.041225888
-1.245243262	0.008615281
Cytochrome c oxidase subunit VIIc	NM_001867	COX7C	-1.245984571	0.007277505
Ubiquinol-cytochrome c reductase core protein II	NM_003366	UQCRC2	-1.248866677	0.019824604
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa	NM_004541	NDUFA1	-1.24950682	0.044827366
Caspase 8, apoptosis-related cysteine protease	NM_033357	CASP8	-1.253332148	0.040726733
Trinucleotide repeat containing 5	NM_006586	TNRC5	-1.253500867	0.04082544
Cytochrome c oxidase subunit IV isoform 1	NM_001861	COX4I1	-1.254123916	0.032665259
Checkpoint suppressor 1	NM_005197	CHES1	-1.256474459	0.006294126
Cytochrome c oxidase subunit 8A (ubiquitous)	NM_004074	COX8A	-1.257131775	0.011099324
Protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	NM_002734	PRKAR1A	-1.257702415	0.022744125
ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	NM_001686	ATP5B	-1.258531114	0.003894858
Damage-specific DNA binding protein 2, 48kDa	NM_000107	DDB2	-1.271915405	0.008658608
NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa	NM_002494	NDUFC1	-1.275586868	0.007622992
Cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	NM_001865	COX7A2	-1.277015749	0.003351257
CCAAT/enhancer binding protein (C/EBP), delta	NM_005195	CEBPD	-1.280603258	0.00396497
Protein phosphatase 1, catalytic subunit, gamma isoform	NM_002710	PPP1CC	-1.283427208	0.027977379
Plasminogen activator, urokinase receptor	NM_002659	PLAUR	-1.284529263	0.025405681
Adenylate kinase 2	NM_001625	AK2	-1.291814373	0.031177513
Endothelial cell growth factor 1 (platelet-derived)	NM_001953	ECGF1	-1.297420792	0.024882369
Filamin A, alpha (actin binding protein 280)	NM_001456	FLNA	-1.300998672	0.009800011
Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	NM_002715	PPP2CA	-1.301778057	0.014541236
RAB7, member RAS oncogene family-like 1	NM_003929	RAB7L1	-1.304759284	0.011281936
Cytochrome c oxidase subunit VIIb	NM_001866	COX7B	-1.309315805	0.002017692
Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	NM_003000	SDHB	-1.311858235	0.015797921
Core-binding factor, beta subunit	NM_022845	CBFB	-1.311944251	0.026082486
Tumor protein p73	NM_005427	TP73	-1.31620973	0.02847267
Pleckstrin	NM_002664	PLEK	-1.317296192	0.013089638
Calmodulin 1 (phosphorylase kinase, delta)	NM_006888	CALM1	-1.31819786	0.023146802
Lymphocyte-activation gene 3	NM_002286	LAG3	-1.319819646	0.00586092
RAB1A, member RAS oncogene family	NM_004161	RAB1A	-1.328590639	0.002819221
Non-metastatic cells 2, protein (NM23B) expressed in	NM_002512	NME2	-1.33125836	0.015501586
CD37 antigen	NM_001774	CD37	-1.334472734	0.036390874
Inositol polyphosphate-4-phosphatase, type II, 105kDa	NM_003866	INPP4B	-1.338919939	0.044466947
Checkpoint suppressor 1	NM_005197	CHES1	-1.341037849	0.011133022
Thymidine kinase 2, mitochondrial	NM_004614	TK2	-1.341114563	0.011149953
Natural killer-tumor recognition sequence	NM_005385	NKTR	-1.346002896	0.008632989
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	BC001178	ATP5J	-1.348565299	0.009320042
Ras homolog gene family, member A	NM_001664	RHOA	-1.351885424	0.008128907
Replication protein A1, 70kDa	BC018126	RPA1	-1.352474791	0.023020183
NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	NM_021074	NDUFV2	-1.353225885	0.002477999
X-ray repair complementing defective repair in Chinese hamster cells 2	NM_005431	XRCC2	-1.355528517	0.026336534
CD40 ligand (TNF superfamily, member 5, hyper-IgM syndrome)	NM_000074	CD40LG	-1.362760117	0.002569047
Ras homolog gene family, member B	NM_004040	RHOB	-1.363854018	0.044225334
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	AF047182	NDUFA6	-1.371501159	0.004847639
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	NM_002489	NDUFA4	-1.378077198	0.002322648
CCAAT/enhancer binding protein (C/EBP), gamma	NM_001806	CEBPG	-1.378762162	0.009824689
Protein kinase, cAMP-dependent, catalytic, beta	NM_002731	PRKACB	-1.382829263	0.035542135
Coagulation factor II (thrombin) receptor	NM_001992	F2R	-1.392297026	0.039264982
ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	NM_004889	ATP5J2	-1.393222195	0.004215757
Ubiquinol-cytochrome c reductase core protein I	NM_003365	UQCRC1	-1.393533092	0.017127639
Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	NM_002393	MDM4	-1.398832174	0.029446212
Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	NM_000194	HPRT1	-1.40281581	0.00386583
Platelet-derived growth factor receptor, beta polypeptide	NM_002609	PDGFRB	-1.407832527	0.032856368
V-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	NM_002359	MAFG	-1.40833261	0.007802041
Nucleolar protein family A, member 3 (H/ACA small nucleolar RNPs)	NM_018648	NOLA3	-1.410139601	0.009673571
Melatonin receptor 1A	NM_005958	MTNR1A	-1.411143615	0.010464826
Interferon gamma receptor 1	NM_000416	IFNGR1	-1.418189267	0.047703147
Activated leukocyte cell adhesion molecule	Y10183	ALCAM	-1.418739753	0.018932503
Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	NM_003406	YWHAZ	-1.419458534	0.029155714
Vimentin	NM_003380	VIM	-1.438823505	0.033589301
NM_058253		-1.441932157	0.002776975
Interleukin 10	NM_000572	IL10	-1.443152939	0.00400996
Non-metastatic cells 3, protein expressed in	NM_002513	NME3	-1.445711379	0.032844298
Vimentin	NM_003380	VIM	-1.451194213	0.032968647
Protein tyrosine phosphatase, non-receptor type 12	NM_002835	PTPN12	-1.4532959	0.008531774
Nuclear transport factor 2-like export factor 2	AK023289	NXT2	-1.454693259	0.007527525
Myeloid cell leukemia sequence 1 (BCL2-related)	BC017197	MCL1	-1.469069664	0.049518562
Growth arrest and DNA-damage-inducible, alpha	NM_001924	GADD45A	-1.471457706	0.015640967
Fms-related tyrosine kinase 3	NM_004119	FLT3	-1.480041638	0.020533297
Ras homolog gene family, member A	NM_001664	RHOA	-1.481617511	0.009030446
L10844		-1.486576252	0.003653809
Adenylate kinase 2	NM_013411	AK2	-1.488551009	0.007314018
Ubiquinol-cytochrome c reductase, 6.4kDa subunit	BC003594	UQCR	-1.494672704	0.015796372
Coiled-coil domain containing 6	NM_005436	CCDC6	-1.512146152	0.011445881
Cytochrome c oxidase subunit Vb	M19961	COX5B	-1.515460218	0.003016012
Vitelliform macular dystrophy 2 (Best disease, bestrophin)	NM_004183	VMD2	-1.518000201	0.002898969
Activating transcription factor 4 (tax-responsive enhancer element B67)	NM_001675	ATF4	-1.523403714	0.047004061
FYN oncogene related to SRC, FGR, YES	NM_002037	FYN	-1.524432698	0.047406531
Uncoupling protein 2 (mitochondrial, proton carrier)	NM_003355	UCP2	-1.53140289	0.014166515
Tumor-associated calcium signal transducer 1	NM_002354	TACSTD1	-1.533922766	0.006639171
Titin	X69490	TTN	-1.534565075	0.018468978
U81031		-1.546808294	0.002825043
Tumor necrosis factor, alpha-induced protein 3	NM_006290	TNFAIP3	-1.562973859	0.04444111
Chromosome 20 open reading frame 24	NM_018840	C20orf24	-1.577534342	0.00714074
Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NM_000201	ICAM1	-1.58150365	0.00900457
Jun D proto-oncogene	NM_005354	JUND	-1.584269838	0.039832979
Protein tyrosine phosphatase, non-receptor type 7	NM_080589	PTPN7	-1.588085217	0.023100092
CCAAT/enhancer binding protein (C/EBP), alpha	NM_004364	CEBPA	-1.592354785	0.024108637
Inositol 1,3,4-triphosphate 5/6 kinase	NM_014216	ITPK1	-1.593342455	0.037637007
Protein kinase C, delta	NM_006254	PRKCD	-1.593542385	0.005172212
Integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)	NM_000211	ITGB2	-1.598160722	0.040672802
Ribosomal protein L10	NM_006013	RPL10	-1.601148087	0.013795106
V-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	NM_002881	RALB	-1.623337464	0.00352996
Lysozyme (renal amyloidosis)	NM_000239	LYZ	-1.62396965	0.038075809
B lymphoid tyrosine kinase	NM_001715	BLK	-1.663073494	0.008606271
Pre-B-cell leukemia transcription factor 3	NM_006195	PBX3	-1.672796292	0.034007018
Runt-related transcription factor 3	NM_004350	RUNX3	-1.682304513	0.025105175
Dual specificity phosphatase 1	NM_004417	DUSP1	-1.692499705	0.008565306
Pim-1 oncogene	NM_002648	PIM1	-1.740208069	0.004191986
Zinc finger protein 91 (HPF7, HTF10)	NM_003430	ZNF91	-1.743639282	0.018078957
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_020529	NFKBIA	-1.751076822	0.048139141
CD97 antigen	NM_078481	CD97	-1.760832151	0.009343845
Tumor necrosis factor, alpha-induced protein 3	NM_006290	TNFAIP3	-1.775294664	0.040515734
Glyceraldehyde-3-phosphate dehydrogenase	NM_002046	GAPD	-1.777671516	0.019394602
Lymphotoxin beta receptor (TNFR superfamily, member 3)	NM_002342	LTBR	-1.794238592	0.006503253
Adipose differentiation-related protein	BC005127	ADFP	-1.811912987	0.041664002
NM_005377		-1.828744695	0.041748208
Kruppel-like factor 10	S81439	KLF10	-1.83792364	0.043231513
Sestrin 1	NM_014454	SESN1	-1.852494056	0.013580876
Lysozyme (renal amyloidosis)	NM_000239	LYZ	-1.868696369	0.025924014
CD82 antigen	NM_002231	KAI1	-1.869462416	0.012216902
Integrin-linked kinase	NM_004517	ILK	-1.945388595	0.011405028
Superoxide dismutase 2, mitochondrial	NM_000636	SOD2	-1.974069848	0.046804368
Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	NM_002166	ID2	-2.021427061	0.010554698
Coagulation factor III (thromboplastin, tissue factor)	NM_001993	F3	-2.034242943	0.016723358
Receptor-interacting serine-threonine kinase 3	NM_006871	RIPK3	-2.13741225	0.012179047
Cathepsin L	NM_001912	CTSL	-2.170021612	0.012350429
DNA-damage-inducible transcript 3	NM_004083	DDIT3	-2.436924958	0.002385192
Hemopoietic cell kinase	NM_002110	HCK	-2.452836358	0.018783414
Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	NM_005248	FGR	-2.56788866	0.021322242
Growth differentiation factor 15	NM_004864	GDF15	-2.800370149	0.005632177
Protein kinase, cAMP-dependent, regulatory, type II, beta	NM_002736	PRKAR2B	-3.096883851	0.00383936
Amphiregulin (schwannoma-derived growth factor)	NM_001657	AREG	-5.147039438	0.003979557
