ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
212230_at	PPAP2B	Phosphatidic acid phosphatase type 2B	8613	2.363717
235266_at	PRO2000	ATPase family, AAA domain containing 2	29028	2.345162
228401_at	PRO2000	ATPase family, AAA domain containing 2	29028	2.563158
222740_at	PRO2000	ATPase family, AAA domain containing 2	29028	2.252079
218782_s_at	PRO2000	ATPase family, AAA domain containing 2	29028	2.085856
209337_at	PSIP2	PC4 and SFRS1 interacting protein 1	11168	1.825949
205128_x_at	PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	5742	0.656321
201606_s_at	PWP1	Nuclear phosphoprotein similar to S. cerevisiae PWP1	11137	0.738979
219076_s_at	PXMP2	Peroxisomal membrane protein 2, 22kDa	5827	3.309502
50965_at	RAB26	RAB26, member RAS oncogene family	25837	2.168685
219562_at	RAB26	RAB26, member RAS oncogene family	25837	2.75862
218585_s_at	RAMP	RA-regulated nuclear matrix-associated protein	51514	2.418753
1553015_a_at	RECQL4	RecQ protein-like 4	9401	2.748563
213338_at	RIS1	Ras-induced senescence 1	25907	5.371684
212027_at	RNPC7	RNA binding motif protein 25	58517	0.629131
201529_s_at	RPA1	Replication protein A1, 70kDa	6117	1.666561
214291_at	RPL17	Data not found	6139	0.801803
238156_at	RPS6	Ribosomal protein S6	6194	0.524235
221523_s_at	RRAGD	Ras-related GTP binding D	58528	6.256065
228550_at	RTN4R	Reticulon 4 receptor	65078	2.332371
204198_s_at	RUNX3	Runt-related transcription factor 3	864	1.410105
204197_s_at	RUNX3	Runt-related transcription factor 3	864	1.539241
207049_at	SCN8A	Sodium channel, voltage gated, type VIII, alpha	6334	5.477041
203453_at	SCNN1A	Sodium channel, nonvoltage-gated 1 alpha	6337	0.598899
1569594_a_at	SDCCAG1	Serologically defined colon cancer antigen 1	9147	0.671431
223283_s_at	SDCCAG33	Serologically defined colon cancer antigen 33	10194	2.430123
223282_at	SDCCAG33	Serologically defined colon cancer antigen 33	10194	2.938948
213370_s_at	SFMBT1	Scm-like with four mbt domains 1	51460	1.76612
206108_s_at	SFRS6	Splicing factor, arginine/serine-rich 6	6431	0.538866
213649_at	SFRS7	Splicing factor, arginine/serine-rich 7, 35kDa	6432	0.627288
204979_s_at	SH3BGR	SH3 domain binding glutamic acid-rich protein	6450	2.281878
227923_at	SHANK3	SH3 and multiple ankyrin repeat domains 3	85358	3.204822
39705_at	SIN3B	SIN3 homolog B, transcription regulator (yeast)	23309	0.733201
229009_at	SIX5	Sine oculis homeobox homolog 5 (Drosophila)	147912	2.17323
230748_at	SLC16A6	Solute carrier family 16 (monocarboxylic acid transporters), member 6	9120	1.964451
203340_s_at	SLC25A12	Solute carrier family 25 (mitochondrial carrier, Aralar), member 12	8604	1.495612
203339_at	SLC25A12	Solute carrier family 25 (mitochondrial carrier, Aralar), member 12	8604	2.090529
222217_s_at	SLC27A3	Solute carrier family 27 (fatty acid transporter), member 3	11000	3.221027
201349_at	SLC9A3R1	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	9368	1.932125
204432_at	SOX12	SRY (sex determining region Y)-box 12	6666	1.455602
225752_at	SPG6	Non imprinted in Prader-Willi/Angelman syndrome 1	123606	1.754731
202308_at	SREBF1	Data not found	6720	0.641216
203016_s_at	SSX2IP	Synovial sarcoma, X breakpoint 2 interacting protein	117178	1.228152
209478_at	STRA13	Stimulated by retinoic acid 13 homolog (mouse)	201254	4.592353
202260_s_at	STXBP1	Syntaxin binding protein 1	6812	1.907079
213090_s_at	TAF4	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	6874	1.965851
41037_at	TEAD4	TEA domain family member 4	7004	1.820345
212330_at	TFDP1	Transcription factor Dp-1	7027	1.416897
213135_at	TIAM1	T-cell lymphoma invasion and metastasis 1	7074	2.312106
228256_s_at	TIGA1	TIGA1	114915	2.103202
225388_at	TM4SF9	Tetraspanin 5	10098	1.855749
225387_at	TM4SF9	Tetraspanin 5	10098	2.467856
219892_at	TM6SF1	Transmembrane 6 superfamily member 1	53346	5.614236
204137_at	TM7SF1	Transmembrane 7 superfamily member 1 (upregulated in kidney)	7107	2.215794
207291_at	TMG4	Proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	79056	2.566752
226186_at	TMOD2	Tropomodulin 2 (neuronal)	29767	3.533308
216005_at	TNC	Tenascin C (hexabrachion)	3371	0.501235
202644_s_at	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	7128	0.533461
213885_at	TRIM3	Tripartite motif-containing 3	10612	1.664013
239694_at	TRIM7	Tripartite motif-containing 7	81786	1.889294
228956_at	UGT8	UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)	7368	3.686823
208358_s_at	UGT8	UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)	7368	2.396441
210021_s_at	UNG2	Uracil-DNA glycosylase 2	10309	2.69495
231227_at	WNT5A	Wingless-type MMTV integration site family, member 5A	7474	2.199931
213425_at	WNT5A	Wingless-type MMTV integration site family, member 5A	7474	2.321925
205990_s_at	WNT5A	Wingless-type MMTV integration site family, member 5A	7474	1.767428
203712_at	XTP5	KIAA0020	9933	0.704143
204234_s_at	ZNF195	Zinc finger protein 195	7748	0.689303
222227_at	ZNF236	Zinc finger protein 236	7776	0.243135
225382_at	ZNF275	Zinc finger protein 275	10838	2.30665
229551_x_at	ZNF367	Zinc finger protein 367	195828	4.686959
204026_s_at	ZWINT	Data not found	11130	1.500047
59697_at		Data not found		1.445079
244467_at		Data not found		2.865969
241957_x_at		Data not found		2.256321
241464_s_at		Data not found		0.638375
238513_at		Data not found		2.372496
237187_at		Data not found		2.100579
236488_s_at		Data not found		1.901558
236289_at		Data not found		2.215408
235919_at		Data not found		2.370305
233364_s_at		Data not found		0.374943
229899_s_at		Data not found	375100	0.582736
229715_at		Data not found		1.867653
229691_at		Data not found	376285	3.547396
229656_s_at		Data not found	344403	4.621638
228955_at		Data not found		2.302802
228238_at		Data not found		0.497837
228180_at		Data not found		0.588831
227193_at		Data not found		3.738104
226618_at		Similar to CG4502-PA	134111	8.323453
226549_at		Data not found		11.73435
226548_at		Data not found	Hs.97837	30.47934
225716_at		Data not found		2.805103
225467_s_at		Data not found		0.748061
216843_x_at		Data not found		0.779927
212693_at		Data not found		0.935256
209815_at		Data not found		3.167622
1568597_at		Data not found		2.123801
1568408_x_at		Data not found		0.588646
1556486_at		Data not found		2.917002
1554007_at		Data not found		4.800203
