RZPD clone name	IMAGE clone	Feature description	Genename	Chromosome	50% CIS	75% CIS	100% CIS
IMAGp998E11660;IMAGp971E0330	295666				3.2	4	5.1
IMAGp998K051891;IMAGp971K0650	768508				1.2	2.4	4.9
IMAGp998J14406;IMAGp971J1117	208621				2.5	2.1	4.8
IMAGp998B231782;IMAGp971B2344	726454	sal-like 4 (Drosophila)	SALL4	20q13.13-q13.2	2.1	2.8	4.8
IMAGp998M024021;IMAGp971P0165	1586473				1.9	2.6	4.8
IMAGp998C105092;IMAGp971B0286	2067009				2.2	2.2	4.7
IMAGp998I19131;IMAGp971E206	127962	Homo sapiens cDNA FLJ22539 fis, clone HRC13227		4	2.2	3.2	4.7
IMAGp998F246080;IMAGp971E22131	2445335	Homo sapiens mRNA for AND-1 protein	AND-1	14q22.1	0.9	2.1	4.7
IMAGp998B03791;IMAGp971F1134	345890				4.6	2.8	4.7
IMAGp998N15372;IMAGp971M1615	195662	cadherin 1, type 1, E-cadherin (epithelial)	CDH1	16q22.1	1.7	2.1	4.7
IMAGp998G201924;IMAGp971G2151	781099				2.2	2.6	4.6
IMAGp998E1983;IMAGp971E212	109818				2.1	2.3	4.5
IMAGp998C09200;IMAGp971D099	138176	hypothetical protein FLJ10652	FLJ10652	12p12.1	2.3	3.5	4.5
IMAGp998I204942;IMAGp971J2084	2009563				2.1	2.5	4.4
IMAGp998H171818;IMAGp971I1747	740416	SRY (sex determining region Y)-box 17	SOX17	8q11.22	2	2.2	4.4
IMAGp998P175394;IMAGp971N18124	2183296	Homo sapiens cDNA FLJ12742 fis, clone NT2RP2000644			NA	10.5	4.3
IMAGp998F105821;IMAGp971B1898	2345865				2.3	3.7	4.4
IMAGp998G01671;IMAGp971H0330	299928	Homo sapiens GN6ST mRNA for N-acetylglucosamine-6-O-sulfotransferas e (GlcNAc6ST)	CHST2	3q24	2.8	2.1	4.2
IMAGp998D125539;IMAGp971F1691	2238683				1.4	2.5	4.2
IMAGp998C22571;IMAGp971D2123	261453				1.8	2.4	4.1
IMAGp998M24260;IMAGp971I2312	161471	Sialyltransferase (CMP-N-acetylneuraminate-beta-galactoside alpha-2,6-sialyltransferase)	SIAT1	3q27-q28	2.7	3	4.1
IMAGp998N11579;IMAGp971K1823	264778	Human GT mitochondrial solute carrier protein homologue mRNA, complete cds	SLC25A16	10q21.3-q22.1	1.6	2.3	4.1
IMAGp998E15164;IMAGp971H10113	36807	Homo sapiens neutral sphingomyelinase (N-SMase) activation associated factor (NSMAF)	NSMAF		2.4	3.7	4
IMAGp998N06288;IMAGp971L03118	52960	Homo sapiens, clone IMAGE4123507, mRNA			2	2.8	4
IMAGp998M18194;IMAGp971N068	136121	Homo sapiens cDNA FLJ10247 fis, clone HEMBB1000705		14	4.8	2.4	4
IMAGp998J155722;IMAGp971K1295	2309102				2.6	2.4	4
IMAGp998B21790;IMAGp971E1334	345524	integral membrane protein 2C	ITM2C	2q37	2.8	2.3	4
IMAGp998J09792;IMAGp971C04134	346472	Homo sapiens, clone IMAGE4123507, mRNA			2.2	2.9	3.9
IMAGp998H175550;IMAGp971H2092	2243008			3	2.1	2.2	3.9
IMAGp998E24312;IMAGp971F2412	172415	Human mRNA for UDP-galactose translocator, complete cds	SLC35A2	Xp11.23-p11.22	2.1	2.6	3.9
IMAGp998J081153;IMAGp971J1040	485095				2.2	2.2	3.8
IMAGp998G18196;IMAGp971H148	136745	hypothetical protein FLJ20171	FLJ20171	8q21.3	3.2	2.4	3.8
IMAGp998F241862;IMAGp971F2248	757271				2.5	2.8	3.8
IMAGp998B09229;IMAGp971B0410	149288	hypothetical protein KIAA1165	KIAA1165	13q22.2	5.7	4.9	3.7
IMAGp998E11127;IMAGp971H145	126322				5.1	2.6	3.7
IMAGp998N02421;IMAGp971N0518	214465	Human BAC clone RG385F02 from 7p15	OSBPL3	7p15	4.2	4	3.6
IMAGp998B145536;IMAGp971B1592	2237485				1.1	2.2	3.6
IMAGp998C144120;IMAGp971D1066	1624261				1.5	2.7	3.6
IMAGp998M232973;IMAGp971E1958	1184062				2.5	3.2	3.6
IMAGp998D051943;IMAGp971D0552	788308	KIAA1254 protein	KIAA1254	15q21.1	2	2.2	3.6
IMAGp998M031831;IMAGp971M0448	745514				4.1	3.3	3.5
IMAGp998K243513;IMAGp971L2358	1391375				1.3	3.3	3.5
IMAGp998B165468;IMAGp971J04132	2211375	Human lipocortin-III mRNA, complete cds	ANXA3	4q13-q22	2.6	2.7	3.5
IMAGp998G024171;IMAGp971L0469	1643929				1.4	4	3.5
IMAGp998K15174;IMAGp971L16114	41539	Homo sapiens mRNA for KIAA0644 protein, complete cds	KIAA0644	7p21.1	1.8	3.6	3.4
IMAGp998I04624;IMAGp971H0926	281931	cytoplasmic polyadenylation element binding protein	CPEB1	15q24.2	1.4	2.6	3.4
IMAGp998M24235;IMAGp971N2411	151871	hypothetical protein FLJ22662	FLJ22662	12p13.31	2.6	2.2	3.4
IMAGp998F16280;IMAGp971H22117	49499	Homo sapiens cDNA FLJ32122 fis, clone PEBLM1000144, moderately similar to Trg			2.3	2.8	3.4
IMAGp998B23677;IMAGp971A2431	302134	H.sapiens mRNA for SOX-4 protein	SOX4	6p23	2	2.4	3.4
IMAGp998N204778;IMAGp971F1184	1946707	ESTs, Weakly similar to C Chain C, Human Activated Protein C [H.sapiens]			2.5	3.4	3.4
IMAGp998E163300;IMAGp971F12104	1309431				2.4	2.9	3.3
IMAGp998P192044;IMAGp971O2055	827394				2.3	2.6	3.3
IMAGp998I144113;IMAGp971I1366	1621717	ESTs, Weakly similar to S29170 annexin VII - mouse [M.musculus]			0.6	3.5	3.3
IMAGp998N045486;IMAGp971L02126	2218563				1.4	2.2	3.3
IMAGp998I16328;IMAGp971J1413	178647			15	2.1	2	3.3
IMAGp998C14658;IMAGp971A1330	294853	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1287006		9	1.8	2.5	3.2
IMAGp998M174328;IMAGp971I1573	1704376				2.2	2.5	3.2
IMAGp998D065777;IMAGp971B0496	2328917				2	2.7	3.2
IMAGp998D01196;IMAGp971D199	136656	sorting nexin 10	SNX10	7p21.1	1.6	4.9	3.2
IMAGp998B2070;IMAGp971A13110	22170	Human GS1 (protein of unknown function) mRNA, complete cds	DXF68S1E	Xp22.32	2	2.1	3.2
IMAGp998I17258;IMAGp971G1812	160600	Human mRNA for complement control protein factor I	IF	4q25	6.5	2.3	3.2
IMAGp998M04179;IMAGp971M107	130347	Homo sapiens dysferlin mRNA, complete cds	DYSF	2p13.3-p13.1	2.9	2.3	3.2
IMAGp998K175764;IMAGp971N22120	2324104				1.8	2.8	3.2
IMAGp998J11128;IMAGp971H045	126826				0.8	2.7	3.2
IMAGp998H195650;IMAGp971K18129	2281410				1.3	2.3	3.1
IMAGp998P025858;IMAGp971N0499	2360305				1.5	2.6	3.1
IMAGp998M03208;IMAGp971N109	141482				1.9	2.5	3.1
IMAGp998H07795;IMAGp971C0535	347574				2.1	2.6	3.1
IMAGp998A112011;IMAGp971D15103	814354				1.3	2.9	3.1
IMAGp998A205772;IMAGp971F2296	2326939				1.5	2.1	3.1
IMAGp998I09280;IMAGp971J02117	49203	LOC115265 similar to Smhs1 protein		4q23	2.9	5.5	3.1
IMAGp998J24653;IMAGp971I1829	293111	Human cDNA for uracil-DNA glycosylase	UNG	12	1.8	2.7	3
IMAGp998N161887;IMAGp971I2350	767055				1.9	2.3	3
