Probe Set ID	Symbol	Description	Map	Fold Change	P
36054_at	KIAA0892	KIAA0892 protein	19p13.1	0.68	1.86E-04
840_at	ZNF220	zinc finger protein 220	8p11	0.74	1.88E-04
36165_at	COX6C, PDX1	Pyruvate dehydrogenase complex, lipoyl-containing component X; E3-binding protein, cytochrome c oxidase subunit Vlc	11p13, 8q22-q23	1.42	2.02E-04
34707_at	CHD3	chromodomain helicase DNA binding protein 3	17p13.1	0.73	2.14E-04
41144_g_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	14q24-q31	0.69	2.29E-04
39180_at	FUS	fusion, derived from t(12;16) malignant liposarcoma	16p11.2	0.78	2.34E-04
31943_g_at	TULP3	tubby like protein 3	12p13	0.63	2.58E-04
40791_at	POLR2A	polymerase (RNA) II (DNA directed) polypeptide A (220kD)	17p13.1	0.61	2.59E-04
31353_f_at	FOXE2	forkhead box E2	22q13-qter	0.66	2.63E-04
31904_at	PDE21	phosphodiesterase 2A, cGMP-stimulated	11cen-q12.1	0.76	2.68E-04
1566_at	NCAM1	neural cell adhesion molecule 1	11q23.1	2.15	2.95E-04
32254_at	VAMP2	vesicle-associated membrane protein 2 (synaptobrevin 2)	17p13.1	0.7	2.99E-04
36023_at	LPRP	lacrimal proline rich protein	12p13	1.38	3.05E-04
38730_at	KIAA0864	KIAA0864 protein	17p11.2	0.77	3.73E-04
32268_at	BAIAP1	BAI-associated protein 1	3p14.1	0.49	3.76E-04
33133_at	FLII	flightles I (Drosophila) homolog	17p11.2	0.72	3.83E-04
40210_at	RAB13	RAB13, member RAS oncogene family	12q13	2.93	4.20E-04
34345_at	TOM	putative mitochondrial outer membrane protein import receptor	20q13.31-20q13.33	0.83	4.32E-04
36982_at	USP14	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)	18	0.67	4.34E-04
33707_at	PLA2G4	phospholipase A2, group IVC (cytosolic, calcium-independent)	19q13.3	1.4	4.36E-04
32021_at	LEMD2	LEM domain containing 2	6p21.31	0.77	4.46E-04
33617_s_at	ZNF46	zinc finger protein 46 (KUP)	14q23-q24	1.81	4.46E-04
31999_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	9q31.1	0.72	4.48E-04
33226_at	KIAA0876	KIAA0876 protein	19p13.3	0.6	4.50E-04
39014_at	FCGBP	Fc fragment of IgG binding protein	19q13.1	0.64	4.63E-04
1981_s_at	MAX	MAX protein	14q23	0.72	4.98E-04
41822_at	ZF5128	zinc finger protein	19q13.2	0.69	5.06E-04
33155_at	IDUA	iduronidase, alpha-L0	4p16.3	0.76	5.13E-04
36063_at	KIAA0495	KIAA0495	1pter-p36.32	0.55	5.17E-04
1985_s_at	NME1	non-metastatic cells 1, protein (NM23A) expressed in	17q21.3	1.68	5.27E-04
40574_at				0.74	5.82E-04
40290_f_at	SIAT4A	sialyltransferase 4A (beta-galactosidase alpha-2, 3-sialytransferase)	8p12	0.75	5.99E-04
1523_g_at	TNK1	tyrosine kinase, non-receptor, 1	17p13.1	0.78	6.20E-04
1018_at	WNT10B	wingless-type MMTV integration site family, member 10B	12q13	0.66	6.33E-04
1712_s_at	MAP2K4	mitogen-activated protein kinase kinase 4	17p11.2	0.56	6.63E-04
32886_at	GCGR	glucagon receptor	17q25	0.6	6.65E-04
41387_r_at	KIAA0346	KIAA0346 protein	17p13.1	0.6	7.09E-04
38250_at	KIAA0007	KIAA0007 protein	2	1.62	7.36E-04
289_at	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	17q21.3	0.68	7.57E-04
1518_at	ETS1	v-ets avian erythroblastosis virus E26 oncogene homolog 1	11q23.3	0.57	7.78E-04
1798_at	LIV-A	LIV-1 protein, estrogen regulated	18q12	1.57	7.81E-04
1836_at	CCNI	cyclin I	4	0.79	8.28E-04
39799_at	FABP5	fatty acid binding protein 5 (psoriasis-associated)	8	1.93	8.72E-04
38491_at	ETV6	ets variant gene 6 (TEL oncogene)	12p13	0.72	8.86E-04
34511_s_at	DKFZP434B204	DKFZP434B204 protein	9	2.72	9.12E-04
38488_s_at	IL15	interleukin 15	4q31	0.61	9.50E-04
34368_at	HDAC2	histone deacetylase 2	6q21	1.41	9.63E-04
2024_s_at	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	8q13	0.73	9.77E-04
31944_at	TULP3	tubby like protein 3	12p13	0.64	9.86E-04
