Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.12h_Signal	L3.12h_Signal	L4.12h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
204123_at	LIG3	0.040223	ligase III, DNA, ATP-dependent	cytokinesis	DNA binding	nucleus	 	 	-0.97	-0.64	-1.51	1.75	1.33	-0.26
204169_at	IMPDH1	0.021297	IMP (inosine monophosphate) dehydrogenase 1	 	IMPDH;catalytic activity;1.9e-187	 	Purine metabolism	GENMAPP/KEGG	-0.19	-0.68	-0.34	0.37	0.14	0.7
204207_s_at	RNGTT	0.003024	RNA guanylyltransferase and 5-phosphatase	mRNA capping	nucleic acid binding	nucleus	 	 	-0.35	-0.58	-0.78	0.77	0.6	0.33
204219_s_at	PSMC1	0.029984	proteasome (prosome, macropain) 26S subunit, ATPase, 1	 	AAA;ATP binding;4.6e-89	 	Proteasome_Degradation	GENMAPP/KEGG	-0.22	-0.51	-0.16	0.54	0.33	0.03
204227_s_at	TK2	0.038386	thymidine kinase 2, mitochondrial	nucleobase, nucleoside, nucleotide and nucleic acid metabolism	thymidine kinase activity	mitochondrion	 	 	-0.13	-0.5	-0.44	0.71	0.01	0.33
204280_at	RGS14	0.014382	regulator of G-protein signalling 14	signal transduction	receptor signaling protein activity	 	 	 	-0.21	-0.29	-0.63	0.56	0.12	0.46
204299_at	FUSIP1	0.032568	FUS interacting protein (serine-arginine rich) 1	assembly of spliceosomal tri-snRNP	RNA binding	nucleus	 	 	-0.46	-0.76	-0.58	0.7	1.11	-0.1
204325_s_at	NF1	0.025311	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	RAS protein signal transduction	enzyme inhibitor activity	cytoplasm	 	 	-0.15	-0.81	-1.45	0.59	0.51	1.37
204368_at	SLCO2A1	0.033438	solute carrier organic anion transporter family, member 2A1	lipid transport	lipid transporter activity	membrane fraction	 	 	-1.55	-0.25	-0.69	0.52	1.55	0.43
204378_at	BCAS1	0.044628	breast carcinoma amplified sequence 1	 	 	 	 	 	-1.57	-1.59	0.44	0.95	1.02	1.16
204395_s_at	GRK5	0.044094	G protein-coupled receptor kinase 5	 	RGS;signal transducer activity;1.8e-48	 	 	 	-0.87	-1.22	-0.25	1.09	1.3	-0.13
204437_s_at	FOLR1	0.041223	folate receptor 1 (adult)	receptor mediated endocytosis	receptor activity	membrane fraction	 	 	-1.14	-1.33	-0.89	-0.34	1.99	1.19
204441_s_at	POLA2	0.046855	polymerase (DNA-directed), alpha (70kD)	DNA replication	 	nucleus	DNA_replication	GENMAPP/KEGG	-1.62	-0.31	-0.82	-0.11	1.56	1.23
204471_at	GAP43	0.012237	growth associated protein 43	 	 	 	 	 	-1.12	-1.22	-1.08	1	0.18	1.9
204577_s_at	KIAA0643	0.023359	KIAA0643 protein	 	 	 	 	 	-1.22	-0.99	-0.31	0.1	1.35	1.01
204599_s_at	MRPL28	0.037034	mitochondrial ribosomal protein L28	 	structural constituent of ribosome	mitochondrion	 	 	-0.59	-0.25	-0.05	0.1	0.48	0.31
204607_at	HMGCS2	0.046204	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	acetyl-CoA metabolism	hydroxymethylglutaryl-CoA synthase activity	mitochondrion	Cholesterol_Biosynthesis	GENMAPP/KEGG	-1.03	-1.19	-1.07	1.62	-0.48	1.68
204696_s_at	CDC25A	0.033243	cell division cycle 25A	regulation of cyclin dependent protein kinase activity	protein tyrosine phosphatase activity	intracellular	Cell_cycle	GENMAPP/KEGG	-1	-0.48	-0.18	0.29	1.05	0.31
204734_at	KRT15	0.029094	keratin 15	epidermis development	structural constituent of cytoskeleton	intermediate filament	 	 	-1.2	-1.17	-0.51	-0.09	1.17	1.59
204803_s_at	RRAD	0.031004	Ras-related associated with diabetes	small GTPase mediated signal transduction	GTPase activity	 	 	 	-0.56	0.01	-0.82	0.19	0.58	0.64
204808_s_at	TMEM5	0.027058	transmembrane protein 5	 	 	integral to plasma membrane	 	 	-0.14	-0.7	-0.27	0.14	0.35	0.63
204843_s_at	PRKAR2A	0.034023	protein kinase, cAMP-dependent, regulatory, type II, alpha	protein amino acid phosphorylation	cAMP-dependent protein kinase regulator activity	cAMP-dependent protein kinase complex	G_Protein_Signaling	GENMAPP/KEGG	-1.64	-0.33	-1.03	0.38	1.9	0.55
205012_s_at	HAGH	0.02393	hydroxyacylglutathione hydrolase	 	hydroxyacylglutathione hydrolase activity	 	Pyruvate metabolism	GENMAPP/KEGG	-0.22	-0.86	-0.56	0.17	1	0.45
205093_at	PEPP3	0.023637	phosphoinositol 3-phosphate-binding protein-3	 	 	 	 	 	-0.59	-0.04	-0.41	0.27	0.57	0.21
205133_s_at	HSPE1	0.017095	heat shock 10kDa protein 1 (chaperonin 10)	 	 	 	 	 	-1.7	-1.63	-0.17	0.77	0.96	1.88
205264_at	ASE-1	0.042398	CD3-epsilon-associated protein; antisense to ERCC-1	immune response	protein binding	RNA polymerase I transcription factor complex	 	 	-0.68	-1.18	-0.13	0.02	1.12	0.84
205409_at	FOSL2	0.008843	FOS-like antigen 2	regulation of transcription from Pol II promoter	transcription factor activity	nucleus	 	 	-0.24	-0.71	-0.71	0.22	0.66	0.78
205457_at	C6orf106	0.004229	chromosome 6 open reading frame 106	 	 	 	 	 	-0.42	-0.47	-0.23	0.58	0.26	0.28
205461_at	RAB35	0.00453	RAB35, member RAS oncogene family	 	ras;small monomeric GTPase activity;5.4e-86	 	 	 	-0.81	-1.69	-1.19	1.88	0.9	0.82
205462_s_at	HPCAL1	0.002205	hippocalcin-like 1	vesicle-mediated transport	actin binding	cytosol	 	 	-0.27	-0.52	-0.64	0.53	0.58	0.32
205478_at	PPP1R1A	0.034456	protein phosphatase 1, regulatory (inhibitor) subunit 1A	 	DARPP-32;protein phosphatase inhibitor activity;3.4e-136	 	 	 	-0.24	-0.48	-0.12	0.36	0	0.48
205521_at	ENDOGL1	0.049691	endonuclease G-like 1	 	nucleic acid binding	 	 	 	0.25	-0.98	-1.07	0.38	0.74	0.79
205532_s_at	CDH6	0.009259	cadherin 6, type 2, K-cadherin (fetal kidney)	cell adhesion	calcium ion binding	integral to membrane	 	 	-0.8	-1.57	-0.91	0.91	0.45	1.78
205544_s_at	CR2	0.040737	complement component (3d/Epstein Barr virus) receptor 2	immune response	complement receptor activity	plasma membrane	 	 	0.05	-0.91	-0.71	0.44	0.24	0.91
205622_at	SMPD2	0.033639	sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)	sphingomyelin metabolism	magnesium ion binding	integral to plasma membrane	 	 	0.14	-1.46	-0.93	0.83	1.04	0.56
205696_s_at	GFRA1	0.012138	GDNF family receptor alpha 1	cell surface receptor linked signal transduction	receptor activity	extrinsic to membrane	Circadian_Exercise	GENMAPP/KEGG	-1.49	-0.87	-0.3	0.5	0.94	1.3
205714_s_at	ZMYND10	0.039839	zinc finger, MYND domain containing 10	 	 	 	 	 	-1.22	0.22	-1.66	0.48	1.17	1.27
205719_s_at	PAH	0.001966	phenylalanine hydroxylase	phenylalanine catabolism	phenylalanine 4-monooxygenase activity	 	Phenylalanine, tyrosine and tryptophan biosynthesis	GENMAPP/KEGG	-1.51	-1.24	-0.82	1.63	1.17	0.73
205759_s_at	SULT2B1	0.009883	sulfotransferase family, cytosolic, 2B, member 1	steroid metabolism	sulfotransferase activity	cytoplasm	 	 	-0.13	-0.56	-0.63	0.27	0.41	0.65
205763_s_at	DDX18	0.009861	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	 	RNA binding	 	 	 	-0.6	-0.45	-0.08	0.28	0.41	0.45
205766_at	TCAP	0.001781	titin-cap (telethonin)	protein complex assembly	structural constituent of muscle	cytoplasm	 	 	-0.76	-1.32	-0.63	0.71	1.14	0.9
205774_at	F12	0.032403	coagulation factor XII (Hageman factor)	proteolysis and peptidolysis	coagulation factor XIa activity	extracellular	Blood_Clotting_Cascade	GENMAPP/KEGG	-0.22	-0.76	-0.55	0.12	1.02	0.35
205809_s_at	WASL	0.0004	Wiskott-Aldrich syndrome-like	protein complex assembly	actin binding	actin cytoskeleton	G13_Signaling_Pathway	GENMAPP/KEGG	-0.72	-0.92	-1.13	0.7	1.12	0.95
205822_s_at	HMGCS1	0.004893	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	acetyl-CoA metabolism	hydroxymethylglutaryl-CoA synthase activity	soluble fraction	Cholesterol_Biosynthesis	GENMAPP/KEGG	-0.89	-0.85	-0.25	0.52	0.59	0.9
205976_at	KIAA0971	0.00267	KIAA0971 protein	 	 	 	 	 	-1.09	-1.14	-1.02	0.99	1.61	0.51
206052_s_at	SLBP	0.034768	stem-loop (histone) binding protein	histone mRNA 3-end processing	mRNA binding	nucleus	 	 	-1.05	-0.26	-0.48	0.62	0.07	1.09
206055_s_at	SNRPA1	0.026479	small nuclear ribonucleoprotein polypeptide A	RNA splicing	RNA binding	snRNP U2	 	 	-1.3	-0.42	-0.8	1.06	1.37	0.01
206127_at	ELK3	0.030906	ELK3, ETS-domain protein (SRF accessory protein 2)	regulation of transcription from Pol II promoter	transcription factor activity	nucleus	 	 	-1.22	-1.73	0.24	1.08	0.93	1.08
206159_at	GDF10	0.008742	growth differentiation factor 10	skeletal development	cytokine activity	 	 	 	-1.64	-0.59	-0.63	1.05	1.34	0.59
206161_s_at	SYT5	0.023083	synaptotagmin V	transport	transporter activity	synaptic vesicle	 	 	-0.81	-0.29	-0.7	0.98	0.02	0.77
206182_at	ZNF134	0.049227	zinc finger protein 134 (clone pHZ-15)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-0.66	-0.14	-0.17	0.02	0.55	0.41
206204_at	GRB14	0.025564	growth factor receptor-bound protein 14	neuropeptide signaling pathway	SH3/SH2 adaptor protein activity	 	 	 	-1.32	-1.26	-1.07	0.64	0.13	2.24
206223_at	LMTK2	0.022911	lemur tyrosine kinase 2	autophosphorylation	protein serine/threonine kinase activity	integral to membrane	 	 	-1.49	-0.52	-1.46	0.4	0.66	2.09
206338_at	ELAVL3	0.017136	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	neurogenesis	RNA binding	 	 	 	-0.32	-0.61	-0.36	0.17	0.28	0.81
206357_at	OPA3	0.028343	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	visual perception	 	mitochondrion	 	 	-1.43	-1.47	0.16	1.04	1.3	0.65
206479_at	TRPM1	0.032067	transient receptor potential cation channel, subfamily M, member 1	cation transport	cation channel activity	membrane fraction	 	 	-0.96	-1.11	-0.8	-0.2	1.1	1.66
206556_at	CLUL1	0.042473	clusterin-like 1 (retinal)	Clusterin;cell death;5.2e-12	 	 	 	 	-0.78	0.09	-0.73	0.23	0.43	0.78
206616_s_at	ADAM22	0.033822	a disintegrin and metalloproteinase domain 22	proteolysis and peptidolysis	metalloendopeptidase activity	integral to membrane	 	 	-0.58	-0.71	-0.71	0.49	1.36	-0.01
206645_s_at	NR0B1	0.013018	nuclear receptor subfamily 0, group B, member 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Nuclear_Receptors	GENMAPP/KEGG	-1.13	-0.59	-0.23	0.36	0.72	0.92
206653_at	POLR3G	0.036274	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	regulation of transcription from Pol III promoter	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase III complex	 	 	-0.2	-0.75	-0.65	-0.01	1.02	0.55
206704_at	CLCN5	0.045981	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)	ion transport	voltage-gated chloride channel activity	integral to plasma membrane	 	 	-0.67	-0.9	-0.35	1.34	-0.04	0.49
206772_at	PTHR2	0.005282	parathyroid hormone receptor 2	G-protein coupled receptor protein signaling pathway	G-protein coupled receptor activity	integral to plasma membrane	GPCRs_Class_B_Secretin-like	GENMAPP/KEGG	-1.17	-0.25	-0.87	0.89	0.83	0.63
206835_at	STATH	0.031068	statherin	ossification	protein binding	extracellular	 	 	-0.58	-0.84	-0.66	0.41	0.09	1.41
206981_at	SCN4A	0.047084	sodium channel, voltage-gated, type IV, alpha	cation transport	voltage-gated sodium channel activity	voltage-gated sodium channel complex	 	 	-0.45	-0.35	-0.6	-0.02	0.31	1.04
206982_at	CRYBA1	0.019111	crystallin, beta A1	visual perception	structural constituent of eye lens	 	 	 	-0.78	-0.35	-0.57	0.5	0.12	1.03
207118_s_at	MMP23B	0.025601	matrix metalloproteinase 23B	proteolysis and peptidolysis	metalloendopeptidase activity	extracellular matrix	 	 	-0.66	-0.2	-0.49	0.81	0.48	0.05
207239_s_at	PCTK1	0.02943	PCTAIRE protein kinase 1	regulation of cell cycle	protein serine/threonine kinase activity	 	Phosphatidylinositol signaling system	GENMAPP/KEGG	-0.44	-0.27	-0.39	0.41	-0.03	0.69
207344_at	AKAP3	0.032755	A kinase (PRKA) anchor protein 3	cell motility	protein kinase A binding	 	 	 	-0.22	-0.25	-0.8	0.55	0.06	0.66
207350_s_at	VAMP4	0.012264	vesicle-associated membrane protein 4	protein complex assembly	 	Golgi membrane	 	 	-0.48	-0.11	-0.31	0.23	0.48	0.2
207351_s_at	SH2D2A	0.035887	SH2 domain protein 2A	angiogenesis	 	 	 	 	-0.43	-0.59	-0.08	0.72	0.16	0.21
207363_at	RS1	0.042915	retinoschisis (X-linked, juvenile) 1	cell adhesion	protein binding	extracellular space	 	 	-1.02	-1.31	-1.34	0.96	-0.31	2.27
207369_at	BRS3	0.046021	bombesin-like receptor 3	glucose metabolism	rhodopsin-like receptor activity	plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-0.58	-1.45	-0.07	1.02	0.13	1.04
207445_s_at	CCR9	0.007641	chemokine (C-C motif) receptor 9	chemotaxis	rhodopsin-like receptor activity	integral to plasma membrane	 	 	-0.81	-0.33	-0.4	0.73	0.59	0.24
207493_x_at	SSX2	0.018878	synovial sarcoma, X breakpoint 2	regulation of transcription, DNA-dependent	rhodopsin-like receptor activity	intracellular	 	 	-0.72	-0.49	-0.49	0.85	0.81	-0.02
207516_at	CHRNB4	0.010548	cholinergic receptor, nicotinic, beta polypeptide 4	regulation of neurotransmitter secretion	receptor activity	nicotinic acetylcholine-gated receptor-channel complex	 	 	-1.42	-0.76	-1.48	1.83	1.37	0.25
207552_at	ATP5G2	0.005541	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2	ATP synthesis coupled proton transport	transporter activity	membrane fraction	Electron_Transport_Chain	GENMAPP/KEGG	-1.03	-1.1	-1.05	0.31	1.07	1.61
207622_s_at	ABCF2	0.039897	ATP-binding cassette, sub-family F (GCN20), member 2	DNA replication	nucleotide binding	mitochondrial membrane	 	 	-0.8	-0.72	-0.51	-0.09	0.58	1.38
207744_at	PRO0255	0.045238	 	 	 	 	 	 	-1.39	-1.31	-0.43	0.56	0.07	2.07
207749_s_at	PPP2R3A	0.013594	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	protein amino acid dephosphorylation	calcium ion binding	protein phosphatase type 2A complex	Glycogen_Metabolism	GENMAPP/KEGG	-0.58	-1.04	-0.13	0.67	0.41	0.71
207773_x_at	CYP3A43	0.047913	cytochrome P450, family 3, subfamily A, polypeptide 43	electron transport	monooxygenase activity	membrane fraction	 	 	-0.72	-0.66	-0.53	1.06	-0.27	1
207969_x_at	ACRV1	0.023378	acrosomal vesicle protein 1	development	 	 	 	 	-0.12	-0.36	-0.05	0.15	0.15	0.23
207986_x_at	CYB561	0.019467	cytochrome b-561	energy pathways	cytochrome-b5 reductase activity	integral to plasma membrane	 	 	-0.6	-0.51	-0.37	0.04	0.51	0.9
208008_at	DKFZP434O047	0.020293	DKFZP434O047 protein	 	 	 	 	 	-1.41	-1.01	-0.22	0.33	0.88	1.44
208140_s_at	DKFZP586M1120	0.024694	hypothetical protein DKFZp586M1120	 	 	 	 	 	-1	-0.37	-0.66	0.09	0.63	1.23
208226_x_at	ADAM22	0.045121	a disintegrin and metalloproteinase domain 22	proteolysis and peptidolysis	metalloendopeptidase activity	integral to membrane	 	 	-0.51	-0.21	-0.05	0.33	0.03	0.41
208282_x_at	DAZ2	0.015876	deleted in azoospermia 2	 	rrm;nucleic acid binding;3.9e-11	 	 	 	-1.14	-1.05	-1.02	1.26	1.67	-0.01
208334_at	NDST4	0.000828	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4	 	sulfotransferase activity	 	 	 	-1.34	-1.37	-0.97	0.74	1.52	1.36
