Probe set	Gene symbol	Score	q-value (%)	Gene description
216396_s_at	EI24	-12,155,329	0	etoposide induced 2.4 mRNA
204559_s_at	LSM7	-121,256,118	0	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)
217871_s_at	MIF	-121,017,384	0	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
210018_x_at	MALT1	-120,768,423	0	mucosa associated lymphoid tissue lymphoma translocation gene 1
212393_at	SBF1	-120,659,942	0	SET binding factor 1
205621_at	ALKBH1	-118,737,859	0	alkB, alkylation repair homolog 1 (E. coli)
217208_s_at	DLG1	-117,859,103	0	discs, large homolog 1 (Drosophila)
227409_at	PPP1R3E	-117,661,704	0	protein phosphatase 1, regulatory (inhibitor) subunit 3E
225402_at	TP53RK	-117,540,348	0	TP53 regulating kinase
204766_s_at	NUDT1	-116,970,524	0	nudix (nucleoside diphosphate linked moiety X)-type motif 1
203594_at	RTCD1	-11,6750078	0	RNA terminal phosphate cyclase domain 1
215286_s_at	PHTF2	-11,6739706	0	putative homeodomain transcription factor 2
209053_s_at	WHSC1	-11,6215531	0	Wolf-Hirschhorn syndrome candidate 1
233563_s_at	CPSF3L	-11,5743391	0	cleavage and polyadenylation specific factor 3-like
206978_at	CCR2	-11,5609802	0	chemokine (C-C motif) receptor 2
209520_s_at	NCBP1	-11,5336463	0	nuclear cap binding protein subunit 1, 80kDa
219484_at	HCFC2	-11,5093324	0	host cell factor C2
205562_at	RPP38	-11,4677775	0	ribonuclease P/MRP 38kDa subunit
221515_s_at	LCMT1	-11,3159423	0	leucine carboxyl methyltransferase 1
212340_at	YIPF6	-11,2592096	0	Yip1 domain family, member 6
203262_s_at	FAM50A	-11,2377053	0	family with sequence similarity 50, member A
229175_at	SMYD4	-11,2283419	0	SET and MYND domain containing 4
208977_x_at	TUBB2C	-11,2222076	0	tubulin, beta 2C
208190_s_at	LSR	-11,2155672	0	lipolysis stimulated lipoprotein receptor
207849_at	IL2	-11,2065629	0	interleukin 2
217909_s_at	MLX	-11,2059383	0	MAX-like protein X
203109_at	UBE2M	-11,1943907	0	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)
202697_at	NUDT21	-11,1777563	0	nudix (nucleoside diphosphate linked moiety X)-type motif 21
219133_at	OXSM	-11,1743849	0	3-oxoacyl-ACP synthase, mitochondrial
232983_s_at	SERGEF	-11,1673478	0	secretion regulating guanine nucleotide exchange factor
211752_s_at	NDUFS7	-11,1664143	0	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)
210349_at	CAMK4	-11,1338283	0	calcium/calmodulin-dependent protein kinase IV
200857_s_at	NCOR1	-11,062492	0	nuclear receptor co-repressor 1
210104_at	MED6	-11,0600635	0	mediator complex subunit 6
209463_s_at	TAF12	-10,9939655	0	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa
214940_s_at	SMG6	-10,9859547	0	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)
214258_x_at	HTATIP	-10,9598041	0	HIV-1 Tat interacting protein, 60kDa
225736_at	FBXO22	-10,9096434	0	F-box protein 22
225135_at	SIN3A	-10,9066192	0	SIN3 homolog A, transcription regulator (yeast)
202642_s_at	TRRAP	-10,9026282	0	transformation/transcription domain-associated protein
218126_at	FAM82C	-10,9018576	0	family with sequence similarity 82, member C
212955_s_at	POLR2I	-10,8614359	0	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa
214531_s_at	SNX1	-10,852296	0	sorting nexin 1
222429_at	DBNL	-10,7871022	0	drebrin-like
214500_at	H2AFY	-10,7585588	0	H2A histone family, member Y
218458_at	GMCL1	-10,7564263	0	germ cell-less homolog 1 (Drosophila)
219423_x_at	TNFRSF25	-10,6890487	0	tumor necrosis factor receptor superfamily, member 25
209158_s_at	PSCD2	-10,6700002	0	pleckstrin homology, Sec7 and coiled-coil domains 2 (cytohesin-2)
200894_s_at	FKBP4	-10,6513315	0	FK506 binding protein 4, 59kDa
219345_at	BOLA1	-10,5857317	0	bolA homolog 1 (E. coli)
208941_s_at	SEPHS1	-10,5544745	0	selenophosphate synthetase 1
210389_x_at	TUBD1	-10,5524641	0	tubulin, delta 1
202675_at	SDHB	-10,5408686	0	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)
209620_s_at	ABCB7	-10,5111653	0	ATP-binding cassette, sub-family B (MDR/TAP), member 7
210635_s_at	KLHL20	-10,4844383	0	kelch-like 20 (Drosophila)
211793_s_at	ABI2	-10,4540602	0	abl interactor 2
204936_at	MAP4K2	-10,4352707	0	mitogen-activated protein kinase kinase kinase kinase 2
211561_x_at	MAPK14	-10,4148575	0	mitogen-activated protein kinase 14
201912_s_at	GSPT1	-10,4078457	0	G1 to S phase transition 1
212862_at	CDS2	-10,3627524	0	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
212932_at	RAB3GAP1	-10,3543975	0	RAB3 GTPase activating protein subunit 1 (catalytic)
221483_s_at	ARPP-19	-10,3281642	0	cyclic AMP phosphoprotein, 19 kD
229884_s_at	MRPL2	-10,3219989	0	mitochondrial ribosomal protein L2
205401_at	AGPS	-10,2783495	0	alkylglycerone phosphate synthase
228019_s_at	MRPS18C	-10,2712334	0	mitochondrial ribosomal protein S18C
222812_s_at	RHOF	-10,2328482	0	ras homolog gene family, member F (in filopodia)
202355_s_at	GTF2F1	-10,216326	0	general transcription factor IIF, polypeptide 1, 74kDa
222763_s_at	WDR33	-10,1986378	0	WD repeat domain 33
212210_at	INTS1	20,3486758	0	integrator complex subunit 1
216929_x_at	ABO	19,7859443	0	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
235055_x_at	MUC4	19,5681411	0	mucin 4, cell surface associated
241378_at	MIB2	19,2470625	0	mindbomb homolog 2 (Drosophila)
203618_at	FAIM2	18,448653	0	Fas apoptotic inhibitory molecule 2
217054_at	MUC3A	18,3906128	0	mucin 3A, cell surface associated
237959_at	HUNK	17,7305904	0	hormonally upregulated Neu-associated kinase
219527_at	MOSC2	16,6125371	0	MOCO sulphurase C-terminal domain containing 2
243633_at	LYN	16,4250434	0	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
1555856_s_at	AKR1C2	16,1810305	0	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroiddehydrogenase, type III)
232534_at	LIN37	16,1099366	0	lin-37 homolog (C. elegans)
1567443_x_at	PSEN1	15,0289368	0	presenilin 1 (Alzheimer disease 3)
210476_s_at	PRLR	14,9850399	0	prolactin receptor
243365_s_at	AUTS2	14,9762129	0	autism susceptibility candidate 2
208730_x_at	RAB2A	14,8236379	0	RAB2A, member RAS oncogene family
229104_s_at	GPR39	14,3529086	0	G protein-coupled receptor 39
1554808_at	ACP1	14,3114083	0	acid phosphatase 1, soluble
232653_at	TRPS1	14,1825215	0	trichorhinophalangeal syndrome I
61874_at	C9orf7	14,0472646	0	chromosome 9 open reading frame 7
243902_at	SEC22B	14,0111825	0	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)
219498_s_at	BCL11A	13,788784	0	B-cell CLL/lymphoma 11A (zinc finger protein)
1569904_x_at	PALLD	13,665562	0	palladin, cytoskeletal associated protein
222339_x_at	NFIX	13,3782969	0	nuclear factor I/X (CCAAT-binding transcription factor)
216734_s_at	BLR1	13,2984447	0	Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)
243819_at	GNG2	13,2921924	0	guanine nucleotide binding protein (G protein), gamma 2
243914_at	EHMT2	13,203805	0	euchromatic histone-lysine N-methyltransferase 2
217182_at	MUC5AC	13,1778192	0	mucin 5AC, oligomeric mucus/gel-forming
243567_at	ZNF423	13,0440261	0	zinc finger protein 423
220451_s_at	BIRC7	12,9689524	0	baculoviral IAP repeat-containing 7 (livin)
214403_x_at	SPDEF	12,9583941	0	SAM pointed domain containing ets transcription factor
1569402_at	MEIS3	12,9483237	0	Meis homeobox 3
229451_at	GALNT9	12,9476099	0	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)
242337_at	P2RY4	12,7272631	0	pyrimidinergic receptor P2Y, G-protein coupled, 4
233734_s_at	OSBPL5	12,6810547	0	oxysterol binding protein-like 5
217597_x_at	RAB40B	12,6462699	0	RAB40B, member RAS oncogene family
224191_x_at	ROPN1	12,60794297	0	ropporin, rhophilin associated protein 1
241669_x_at	PRKD2	12,60097084	0	protein kinase D2
221404_at	IL1F6	12,58671269	0	interleukin 1 family, member 6 (epsilon)
1566779_at	PRRG1	12,54876215	0	proline rich Gla (G-carboxyglutamic acid) 1
237026_at	SORBS1	12,23809577	0	sorbin and SH3 domain containing 1
1555319_at	STAB1	12,20729281	0	stabilin 1
235002_at	NUDT16	12,17279558	0	nudix (nucleoside diphosphate linked moiety X)-type motif 16
214347_s_at	DDC	12,17192141	0	dopa decarboxylase (aromatic L-amino acid decarboxylase)
213755_s_at	SKI	12,12178609	0	v-ski sarcoma viral oncogene homolog (avian)
214595_at	KCNG1	12,08353991	0	potassium voltage-gated channel, subfamily G, member 1
243459_x_at	PFTK1	12,04774043	0	PFTAIRE protein kinase 1
216040_x_at	RAB11FIP3	11,957185	0	RAB11 family interacting protein 3 (class II)
1560065_at	PAIP2	11,85645046	0	poly(A) binding protein interacting protein 2
229191_at	TBCD	11,84369829	0	tubulin folding cofactor D
206564_at	OPRL1	11,83160379	0	opiate receptor-like 1
211909_x_at	PTGER3	11,75177504	0	prostaglandin E receptor 3 (subtype EP3)
217023_x_at	TPSAB1	11,74108194	0	tryptase alpha/beta 1
216887_s_at	LDB3	11,51385651	0	LIM domain binding 3
207851_s_at	INSR	11,50979409	0	insulin receptor
1570042_a_at	ADAM9	11,48487825	0	ADAM metallopeptidase domain 9 (meltrin gamma)
1554163_at	TWIST2	11,45977797	0	twist homolog 2 (Drosophila)
232640_at	COMMD5	11,37873791	0	COMM domain containing 5
236087_at	ABLIM2	11,360772	0	actin binding LIM protein family, member 2
208299_at	CACNA1I	11,34972645	0	calcium channel, voltage-dependent, T type, alpha 1I subunit
223900_s_at	PBRM1	11,30874487	0	polybromo 1
216052_x_at	ARTN	11,28159137	0	artemin
1560317_s_at	HIP1	11,24942781	0	huntingtin interacting protein 1
210558_at	AKR1C4	11,24770797	0	aldo-keto reductase family 1, member C4 (chlordecone reductase;3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)
243306_s_at	GCC1	11,15393199	0	GRIP and coiled-coil domain containing 1
1558581_at	MTA1	11,14009735	0	metastasis associated 1
220604_x_at	FTCD	11,13781662	0	formiminotransferase cyclodeaminase
215198_s_at	CALD1	11,0469107	0	caldesmon 1
208584_at	SNCG	10,91818996	0	synuclein, gamma (breast cancer-specific protein 1)
1566577_at	DPYSL5	10,89695871	0	dihydropyrimidinase-like 5
222651_s_at	TRPS1	10,86755808	0	trichorhinophalangeal syndrome I
215384_s_at	MAP1A	10,85098456	0	microtubule-associated protein 1A
207476_at	ITSN2	10,8480488	0	intersectin 2
213147_at	HOXA10	10,75438984	0	homeobox A10
240419_at	SLC6A15	10,7255567	0	solute carrier family 6, member 15
31835_at	HRG	10,72475466	0	histidine-rich glycoprotein
231079_at	NANOG	10,66682672	0	Nanog homeobox
211768_at	LAT2	10,64216702	0	linker for activation of T cells family, member 2
221747_at	TNS1	10,63496835	0	tensin 1
210769_at	CNGB1	10,63003618	0	cyclic nucleotide gated channel beta 1
211001_at	TRIM29	10,60893961	0	tripartite motif-containing 29
204136_at	COL7A1	10,56886692	0	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)
206816_s_at	SPAG8	10,560878	0	sperm associated antigen 8
1553047_at	PIP4K2B	10,53495365	0	phosphatidylinositol-5-phosphate 4-kinase, type II, beta
207900_at	CCL17	10,52319039	0	chemokine (C-C motif) ligand 17
238415_at	UBE4B	10,40506252	0	ubiquitination factor E4B (UFD2 homolog, yeast)
1562794_at	FGF12	10,32572945	0	fibroblast growth factor 12
231199_at	NAT13	10,32247114	0	N-acetyltransferase 13
243766_s_at	TEAD2	10,3216155	0	TEA domain family member 2
242240_at	PTK2	10,31978975	0	PTK2 protein tyrosine kinase 2
233531_at	SLC46A1	10,3175109	0	solute carrier family 46, member 1
1559400_s_at	PAPPA	10,23649776	0	pregnancy-associated plasma protein A, pappalysin 1
1564823_at	CDC42BPG	10,23523729	0	CDC42 binding protein kinase gamma (DMPK-like)
