Gene	Fold Change	Gene Name
G6PD	4.362771513	glucose-6-phosphate dehydrogenase
ACTA2	4.237578871	actin, alpha 2, smooth muscle, aorta
NSDHL	4.220188291	NAD(P) dependent steroid dehydrogenase-like
ZNF206	4.109029452	ZNF206
ACAT2	4.106051976	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A
MAB21L1	4.10380827	mab-21-like 1 (C. elegans)
HOXD11	4.068696711	homeobox D11
ELL	4.059245961	elongation factor RNA polymerase II
COBLL1	3.923751532	COBL-like 1
ZNF423	3.874506158	zinc finger protein 423
CALD1	3.729378403	caldesmon 1
C2orf7	3.715575187	chromosome 2 open reading frame 7
PPIL5	3.654540696	peptidylprolyl isomerase (cyclophilin)-like 5
COL6A1	3.653530154	collagen, type VI, alpha 1
HOXA7	3.621250635	homeobox A7
TMEM88	3.611304383	transmembrane protein 88
CRABP1	3.601626495	cellular retinoic acid binding protein 1
HOXA10	3.566918383	homeobox A10
RRM2	3.563545925	ribonucleotide reductase M2 polypeptide
AUTS2	3.535870243	autism susceptibility candidate 2
PLAC1	3.512094208	placenta-specific 1
FDPS	3.494287426	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
C10orf93	3.490657216	chromosome 10 open reading frame 93
NES	3.41460485	nestin
HOXD10	3.388165485	homeobox D10
UNC84A	3.338975401	unc-84 homolog A (C. elegans)
TNFSF7	3.285225206	TNFSF7
HPGD	3.249524128	hydroxyprostaglandin dehydrogenase 15-(NAD)
C7orf31	3.23903468	chromosome 7 open reading frame 31
COL13A1	3.237654321	collagen, type XIII, alpha 1
FLNA	3.206171265	filamin A, alpha (actin binding protein 280)
TMEM57	3.202586785	transmembrane protein 57
FAM122B	3.202586785	family with sequence similarity 122B
FASN	3.190756648	fatty acid synthase
CAND2	3.167056465	cullin-associated and neddylation-dissociated 2 (putative)
PDE11A	3.14381431	phosphodiesterase 11A
KIFAP3	3.14231655	kinesin-associated protein 3
MTRF1	3.137297118	mitochondrial translational release factor 1
PLAT	3.131024096	plasminogen activator, tissue
HMGCS1	3.059132775	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GINS2	3.054041334	GINS complex subunit 2 (Psf2 homolog)
SEMA6D	3.049636942	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
CGGBP1	3.040689695	CGG triplet repeat binding protein 1
UBE2U	3.023583412	ubiquitin-conjugating enzyme E2U (putative)
PRG1	3.013446335	PRG1
EDG8	2.958693564	endothelial differentiation, sphingolipid G-protein-coupled
CXorf40B	2.942219404	chromosome X open reading frame 40B
CORO1A	2.930785522	coronin, actin binding protein, 1A
CENTB5	2.919789271	centaurin, beta 5
GLUL	2.904070335	glutamate-ammonia ligase (glutamine synthetase)
TTC30A	2.887807104	tetratricopeptide repeat domain 30A
CDC6	2.884224357	cell division cycle 6 homolog (S. cerevisiae)
PCDH7	2.881533473	protocadherin 7
STXBP4	2.872257435	syntaxin binding protein 4
ANKRD22	2.871178844	ankyrin repeat domain 22
LMOD1	2.832652523	leiomodin 1 (smooth muscle)
MPP1	2.82834167	membrane protein, palmitoylated 1, 55kDa
MLLT3	2.826614192	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
IDH3G	2.80485155	isocitrate dehydrogenase 3 (NAD+) gamma
CXorf38	2.798275101	chromosome X open reading frame 38
KISS1R	2.793581017	KISS1 receptor
INSIG1	2.78561629	insulin induced gene 1
STYK1	2.76736842	serine/threonine/tyrosine kinase 1
APOBEC3B	2.758638213	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
TMLHE	2.749148441	trimethyllysine hydroxylase, epsilon
VBP1	2.743913802	von Hippel-Lindau binding protein 1
TUFM	2.706122102	Tu translation elongation factor, mitochondrial
ACSS2	2.705888681	acyl-CoA synthetase short-chain family member 2
COL3A1	2.692670901	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
MGC39518	2.655667876	MGC39518
TIMP2	2.655105402	TIMP metallopeptidase inhibitor 2
FLJ45187	2.651460741	hypothetical protein LOC387640
PSMD1	2.644547444	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1
RAD54L	2.643626146	RAD54-like (S. cerevisiae)
PPA2	2.637718798	pyrophosphatase (inorganic) 2
NF2	2.635350318	neurofibromin 2 (bilateral acoustic neuroma)
LUZP5	2.632869649	LUZP5
MCM10	2.622703731	minichromosome maintenance complex component 10
HMGCR	2.617309291	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
STC1	2.613838896	stanniocalcin 1
TBCD	2.601143954	tubulin folding cofactor D
ENDOG	2.598657747	endonuclease G
EBP	2.596503003	emopamil binding protein (sterol isomerase)
IDI1	2.592783168	isopentenyl-diphosphate delta isomerase 1
SCYL1BP1	2.588818912	SCY1-like 1 binding protein 1
HDAC8	2.585667216	histone deacetylase 8
TDRKH	2.580646507	tudor and KH domain containing
CTSL2	2.577214914	cathepsin L2
CDKN2C	2.575564084	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
JAG1	2.565549823	jagged 1 (Alagille syndrome)
DCC1	2.563601018	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
SPBC25	2.562056688	SPBC25
TFDP1	2.556925498	transcription factor Dp-1
CETN2	2.555906149	centrin, EF-hand protein, 2
ACLY	2.551620334	ATP citrate lyase
GRK5	2.544914719	G protein-coupled receptor kinase 5
PSMD2	2.543988341	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2
EML4	2.537744029	echinoderm microtubule associated protein like 4
MYL9	2.528899399	myosin, light chain 9, regulatory
SCML1	2.525311524	sex comb on midleg-like 1 (Drosophila)
PLXNA3	2.524675325	plexin A3
TNS1	2.523329493	tensin 1
METTL7B	2.519550616	methyltransferase like 7B
SLC39A8	2.511620812	solute carrier family 39 (zinc transporter), member 8
HS2ST1	2.509053639	heparan sulfate 2-O-sulfotransferase 1
SFXN3	2.502670227	sideroflexin 3
LAGE3	2.488947709	L antigen family, member 3
MYBL2	2.488631355	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
ANKRD17	2.483878701	ankyrin repeat domain 17
UBE3C	2.480590382	ubiquitin protein ligase E3C
BRRN1	2.47281079	BRRN1
CCDC28B	2.465815241	coiled-coil domain containing 28B
TBC1D22A	2.461952159	TBC1 domain family, member 22A
SNRPA1	2.446725607	small nuclear ribonucleoprotein polypeptide A
CXX1	2.446211915	CXX1
LOC642333	2.442576205	LOC642333
TPM2	2.428438579	tropomyosin 2 (beta)
PMS1	2.428198743	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)
HOXC13	2.420671221	homeobox C13
GBP1	2.418004858	guanylate binding protein 1, interferon-inducible, 67kDa
HPRT1	2.386751239	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)
CD74	2.364770845	CD74 molecule, major histocompatibility complex, class II invariant
UIP1	2.36027503	UIP1
SLC9A6	2.359767544	solute carrier family 9 (sodium/hydrogen exchanger), member 6
SNRPD3	2.358248919	small nuclear ribonucleoprotein D3 polypeptide 18kDa
MTMR1	2.350585481	myotubularin related protein 1
PDHA1	2.350430354	pyruvate dehydrogenase (lipoamide) alpha 1
PIR	2.342467238	pirin (iron-binding nuclear protein)
THOC4	2.33641634	THO complex 4
CCNF	2.325123596	cyclin F
CXorf40A	2.322786275	chromosome X open reading frame 40A
LY6E	2.320663355	lymphocyte antigen 6 complex, locus E
SRD5A1	2.318688054	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5
IKBKG	2.315371696	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma
SMPD1	2.313133496	sphingomyelin phosphodiesterase 1, acid lysosomal (acid
CORIN	2.312138017	corin, serine peptidase
GCAT	2.309479223	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A
CALML4	2.306479358	calmodulin-like 4
RAP2C	2.301089384	RAP2C, member of RAS oncogene family
CCNE2	2.29800737	cyclin E2
CCDC80	2.285392517	coiled-coil domain containing 80
LIPG	2.284381929	lipase, endothelial
HSPA14	2.283649989	heat shock 70kDa protein 14
GBE1	2.283375178	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)
SIRT2	2.282608696	sirtuin (silent mating type information regulation 2 homolog) 2 (S.
FDFT1	2.281412075	farnesyl-diphosphate farnesyltransferase 1
HTATSF1	2.281344391	HIV-1 Tat specific factor 1
DBI	2.280343923	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A
EIF2AK4	2.275889968	eukaryotic translation initiation factor 2 alpha kinase 4
ATG3	2.275517488	ATG3 autophagy related 3 homolog (S. cerevisiae)
CDC25A	2.275358125	cell division cycle 25 homolog A (S. pombe)
CD36	2.272733225	CD36 molecule (thrombospondin receptor)
SHCBP1	2.271580513	SHC SH2-domain binding protein 1
APOE	2.268635164	apolipoprotein E
COL4A1	2.268367211	collagen, type IV, alpha 1
DHCR24	2.267842004	24-dehydrocholesterol reductase
CAV1	2.267345355	caveolin 1, caveolae protein, 22kDa
COPE	2.26542658	coatomer protein complex, subunit epsilon
KIAA1826	2.263930632	KIAA1826
KIAA1429	2.257583821	KIAA1429
ABCA5	2.252143573	ATP-binding cassette, sub-family A (ABC1), member 5
HNRPA2B1	2.250598267	heterogeneous nuclear ribonucleoprotein A2/B1
ROR1	2.248643173	receptor tyrosine kinase-like orphan receptor 1
LMNA	2.247439231	lamin A/C
RAD51AP1	2.237478852	RAD51 associated protein 1
SAMD14	2.224437505	sterile alpha motif domain containing 14
C6orf173	2.223771536	chromosome 6 open reading frame 173
FANCD2	2.217100836	Fanconi anemia, complementation group D2
EXO1	2.215370255	exonuclease 1
ANLN	2.21028843	anillin, actin binding protein
PDLIM7	2.206965485	PDZ and LIM domain 7 (enigma)
LOC642981	2.203860166	LOC642981
MYCBP	2.202157752	c-myc binding protein
ATOX1	2.199358314	ATX1 antioxidant protein 1 homolog (yeast)
KIAA1370	2.198062167	KIAA1370
LIN28B	2.190014698	lin-28 homolog B (C. elegans)
SCARB1	2.188982467	scavenger receptor class B, member 1
SHFM1	2.185628263	split hand/foot malformation (ectrodactyly) type 1
KIAA1344	2.185487707	KIAA1344
SEC24D	2.185123263	SEC24 related gene family, member D (S. cerevisiae)
TIA1	2.181833141	TIA1 cytotoxic granule-associated RNA binding protein
ZNF75	2.18165023	zinc finger protein 75 (D8C6)
FLJ20186	2.177996396	hypothetical protein FLJ20186
BUB1	2.176582275	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
BPGM	2.176317379	2,3-bisphosphoglycerate mutase
TK1	2.174957674	thymidine kinase 1, soluble
ID2	2.174898621	inhibitor of DNA binding 2, dominant negative helix-loop-helix
ID2B	2.174898621	ID2B
ACTG2	2.17412648	actin, gamma 2, smooth muscle, enteric
VRK1	2.173916	vaccinia related kinase 1
ACTN3	2.170935046	actinin, alpha 3
PKM2	2.167597079	pyruvate kinase, muscle
SPAG5	2.16614023	sperm associated antigen 5
NDUFA9	2.165122311	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa
DDX26B	2.1649439	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B
GLIPR1	2.154190142	GLI pathogenesis-related 1 (glioma)
SYBL1	2.151623973	synaptobrevin-like 1
TRPV4	2.1513435	transient receptor potential cation channel, subfamily V, member 4
CLTB	2.150294911	clathrin, light chain (Lcb)
PDCD8	2.148099968	PDCD8
BRCC3	2.146354031	BRCA1/BRCA2-containing complex, subunit 3
LRRFIP1	2.144258909	leucine rich repeat (in FLII) interacting protein 1
RANBP1	2.144005136	RAN binding protein 1
WDR76	2.14398917	WD repeat domain 76
ALDOC	2.142809649	aldolase C, fructose-bisphosphate
FH	2.142454663	fumarate hydratase
EHD1	2.137132773	EH-domain containing 1
CPT2	2.133805917	carnitine palmitoyltransferase II
RFC2	2.133008261	replication factor C (activator 1) 2, 40kDa
ESPL1	2.127376439	extra spindle pole bodies homolog 1 (S. cerevisiae)
MCM8	2.120804064	minichromosome maintenance complex component 8
MCM6	2.113037378	minichromosome maintenance complex component 6
FLJ22222	2.112805396	hypothetical protein FLJ22222
MYL6	2.112357993	myosin, light chain 6, alkali, smooth muscle and non-muscle
EN1	2.110224648	engrailed homeobox 1
COL6A2	2.109241041	collagen, type VI, alpha 2
TMEM46	2.109202654	transmembrane protein 46
MICA	2.108179306	MHC class I polypeptide-related sequence A
UGCGL2	2.107845597	UDP-glucose ceramide glucosyltransferase-like 2
POLA2	2.107025994	polymerase (DNA directed), alpha 2 (70kD subunit)
C1orf151	2.105501927	chromosome 1 open reading frame 151
TPM4	2.097693502	tropomyosin 4
E2F8	2.094258893	E2F transcription factor 8
ZWINT	2.093701656	ZW10 interactor
PHF20L1	2.091095991	PHD finger protein 20-like 1
FUT11	2.089753149	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
LOC643675	2.089649477	LOC643675
ARHGEF9	2.088036449	Cdc42 guanine nucleotide exchange factor (GEF) 9
TJP2	2.087881345	tight junction protein 2 (zona occludens 2)
PSMD3	2.086482644	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3
PSMB9	2.085518354	proteasome (prosome, macropain) subunit, beta type, 9 (large
HPS3	2.083447199	Hermansky-Pudlak syndrome 3
KIAA1794	2.081688456	KIAA1794
CREB3L2	2.08142409	cAMP responsive element binding protein 3-like 2
CENPK	2.073882281	centromere protein K
ALS2CR4	2.072881479	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4
LSS	2.072423984	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
NFE2L2	2.071064051	nuclear factor (erythroid-derived 2)-like 2
PGK1	2.069487632	phosphoglycerate kinase 1
NDUFS1	2.067278619	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme
AK1	2.064916944	adenylate kinase 1
SPBC24	2.058109458	SPBC24
LEPR	2.055574974	leptin receptor
MCF2	2.050025323	MCF.2 cell line derived transforming sequence
GGCX	2.045890014	gamma-glutamyl carboxylase
FMR1	2.045222069	fragile X mental retardation 1
HMGB3	2.044045033	high-mobility group box 3
WDR4	2.041682346	WD repeat domain 4
MPHOSPH6	2.040057568	M-phase phosphoprotein 6
RAGE	2.039106857	renal tumor antigen
	2.036067311	serine/threonine protein kinase MST4
PIK3R3	2.035613822	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)
IDS	2.035312396	iduronate 2-sulfatase (Hunter syndrome)
ATP6AP1	2.035095673	ATPase, H+ transporting, lysosomal accessory protein 1
HIST1H3H	2.034713574	histone cluster 1, H3h
NUP205	2.032144027	nucleoporin 205kDa
DTL	2.030776513	denticleless homolog (Drosophila)
LOXL2	2.029631791	lysyl oxidase-like 2
IFI30	2.029552802	interferon, gamma-inducible protein 30
MICB	2.024686082	MHC class I polypeptide-related sequence B
CEP55	2.023270478	centrosomal protein 55kDa
PDHB	2.02297823	pyruvate dehydrogenase (lipoamide) beta
LOC158957	2.020465259	LOC158957
DHDDS	2.020465259	dehydrodolichyl diphosphate synthase
ZNF92	2.018887476	zinc finger protein 92
ZNF654	2.017690991	zinc finger protein 654
SYNJ1	2.016827618	synaptojanin 1
PSMB3	2.01585922	proteasome (prosome, macropain) subunit, beta type, 3
GDI1	2.012805429	GDP dissociation inhibitor 1
IL11RA	2.012775041	interleukin 11 receptor, alpha
FOXM1	2.010284353	forkhead box M1
KIF2C	2.00556094	kinesin family member 2C
ZNF267	2.002166145	zinc finger protein 267
C14orf1	2.001595097	chromosome 14 open reading frame 1
HOXA2	2.001469688	homeobox A2
COTL1	2.001334161	coactosin-like 1 (Dictyostelium)
C1S	2.000077944	complement component 1, s subcomponent
ATP11C	1.999318264	ATPase, Class VI, type 11C
ORAOV1	1.997886282	oral cancer overexpressed 1
MCM5	1.997475825	minichromosome maintenance complex component 5
	1.996841755	KIAA0564 protein
UHRF1	1.996564157	ubiquitin-like, containing PHD and RING finger domains, 1
RBM14	1.98922189	RNA binding motif protein 14
LOC647474	1.987406865	LOC647474
LOC643689	1.987406865	LOC643689
HNRPA3P1	1.987406865	HNRPA3P1
HNRPA3	1.987406865	heterogeneous nuclear ribonucleoprotein A3
ACO2	1.9817423	aconitase 2, mitochondrial
KDELR2	1.981394354	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention
NDUFS6	1.97884983	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme
DLEU2L	1.978219523	DLEU2L
DLEU2	1.978219523	DLEU2
C20orf172	1.977438434	C20orf172
SC4MOL	1.977260364	sterol-C4-methyl oxidase-like
DUT	1.977221332	dUTP pyrophosphatase
DEPDC4	1.977075245	DEP domain containing 4
NMT1	1.976977446	N-myristoyltransferase 1
SKP2	1.97305181	S-phase kinase-associated protein 2 (p45)
ACAA2	1.972448862	acetyl-Coenzyme A acyltransferase 2 (mitochondrial
MRPS28	1.971894024	mitochondrial ribosomal protein S28
KPNA1	1.971471026	karyopherin alpha 1 (importin alpha 5)
C1D	1.970269055	nuclear DNA-binding protein
IDH2	1.969517249	isocitrate dehydrogenase 2 (NADP+), mitochondrial
PLEKHC1	1.969420023	pleckstrin homology domain containing, family C (with FERM domain)
POLE2	1.968161327	polymerase (DNA directed), epsilon 2 (p59 subunit)
HN1	1.968022515	hematological and neurological expressed 1
MCM7	1.961084963	minichromosome maintenance complex component 7
CCHCR1	1.960912968	coiled-coil alpha-helical rod protein 1
ALDOA	1.959379816	aldolase A, fructose-bisphosphate
DKC1	1.957745522	dyskeratosis congenita 1, dyskerin
C2orf34	1.956579673	chromosome 2 open reading frame 34
F2RL2	1.956053559	coagulation factor II (thrombin) receptor-like 2
PHTF2	1.955786618	putative homeodomain transcription factor 2
DLAT	1.95443713	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate
BCKDHB	1.95397455	branched chain keto acid dehydrogenase E1, beta polypeptide (maple
COMMD4	1.952723855	COMM domain containing 4
EMD	1.952639468	emerin (Emery-Dreifuss muscular dystrophy)
SFRS2IP	1.952576653	splicing factor, arginine/serine-rich 2, interacting protein
HADH2	1.94907125	HADH2
CCNA2	1.947827198	cyclin A2
FAM58A	1.945213426	family with sequence similarity 58, member A
MNAB	1.944828909	MNAB
LOC653319	1.944304933	hypothetical protein LOC653319
ATAD2	1.942933781	ATPase family, AAA domain containing 2
LPIN1	1.941940881	lipin 1
CTNNAL1	1.941208006	catenin (cadherin-associated protein), alpha-like 1
SFRS4	1.939380222	splicing factor, arginine/serine-rich 4
PFKFB4	1.939056366	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
CD99L2	1.938895773	CD99 molecule-like 2
ZNF275	1.938863558	zinc finger protein 275
RRM1	1.938720281	ribonucleotide reductase M1 polypeptide
MRPS15	1.93542678	mitochondrial ribosomal protein S15
KNTC1	1.934352254	kinetochore associated 1
TYRP1	1.933895519	tyrosinase-related protein 1
PRDX1	1.933892056	peroxiredoxin 1
MELK	1.93330232	maternal embryonic leucine zipper kinase
CD99	1.933149944	CD99 molecule
CENPN	1.933071847	centromere protein N
SDHAL1	1.932902657	SDHAL1
PSMB6	1.932753988	proteasome (prosome, macropain) subunit, beta type, 6
SRGAP2	1.932712041	SLIT-ROBO Rho GTPase activating protein 2
LOC284702	1.930548869	LOC284702
FEN1	1.926507722	flap structure-specific endonuclease 1
SSH1	1.925232901	slingshot homolog 1 (Drosophila)
HTR1F	1.924776818	5-hydroxytryptamine (serotonin) receptor 1F
NT5DC2	1.923138526	5-nucleotidase domain containing 2
PTGFRN	1.922588499	prostaglandin F2 receptor negative regulator
ZNF273	1.920274568	zinc finger protein 273
SAP30	1.919083825	Sin3A-associated protein, 30kDa
LOC643509	1.918857067	similar to Dihydrofolate reductase
MLF1IP	1.915314469	MLF1 interacting protein
PGM2	1.912133013	phosphoglucomutase 2
POLR2A	1.911692787	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa
DHFR	1.91053657	dihydrofolate reductase
HNRPL	1.9076459	heterogeneous nuclear ribonucleoprotein L
IDH3B	1.906680507	isocitrate dehydrogenase 3 (NAD+) beta
ERO1L	1.905051549	ERO1-like (S. cerevisiae)
SDHB	1.904863345	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)
DLG7	1.904415283	discs, large homolog 7 (Drosophila)
CASP1	1.903051432	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)
MRPL39	1.901285406	mitochondrial ribosomal protein L39
GMNN	1.900822202	geminin, DNA replication inhibitor
VCL	1.897362321	vinculin
HSD17B4	1.896031024	hydroxysteroid (17-beta) dehydrogenase 4
CLCC1	1.89336825	chloride channel CLIC-like 1
CYB5R3	1.891432348	cytochrome b5 reductase 3
F8A1	1.890625206	coagulation factor VIII-associated (intronic transcript) 1
EIF2B1	1.890336131	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa
PFKL	1.888974103	phosphofructokinase, liver
ELOVL6	1.887864482	ELOVL family member 6, elongation of long chain fatty acids
PSMA1	1.887433572	proteasome (prosome, macropain) subunit, alpha type, 1
MCM2	1.885684581	minichromosome maintenance complex component 2
LOC653874	1.885575078	LOC653874
PHF6	1.885400691	PHD finger protein 6
HSP90AA1	1.884195362	heat shock protein 90kDa alpha (cytosolic), class A member 1
KIF14	1.883247951	kinesin family member 14
FAS	1.882705476	Fas (TNF receptor superfamily, member 6)
LOC440900	1.882329864	hypothetical LOC440900
ACTR3	1.880040262	ARP3 actin-related protein 3 homolog (yeast)
CTSB	1.878282361	cathepsin B
UBE3B	1.876864211	ubiquitin protein ligase E3B
GLRX	1.876693086	glutaredoxin (thioltransferase)
PSMB2	1.875283438	proteasome (prosome, macropain) subunit, beta type, 2
TUBB2A	1.874909071	tubulin, beta 2A
HARS	1.872615936	histidyl-tRNA synthetase
SSR4	1.872423667	signal sequence receptor, delta (translocon-associated protein
SLC44A1	1.872196097	solute carrier family 44, member 1
TAF5L	1.871920704	TAF5-like RNA polymerase II, p300/CBP-associated factor
DIAPH3	1.871207615	diaphanous homolog 3 (Drosophila)
TPM3	1.869126214	tropomyosin 3
ANKRD13A	1.869051182	ankyrin repeat domain 13A
SEC24A	1.867657435	SEC24 related gene family, member A (S. cerevisiae)
CEP78	1.865748537	centrosomal protein 78kDa
YWHAE	1.864294692	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation
PAX9	1.86421455	paired box gene 9
RNF36	1.864068148	RNF36
CCNB1	1.861983388	cyclin B1
HARSL	1.858393472	HARSL
RECQL4	1.858215875	RecQ protein-like 4
BACE2	1.858143216	beta-site APP-cleaving enzyme 2
GLA	1.856319787	galactosidase, alpha
P4HA2	1.856304735	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline
SCC-112	1.855360518	SCC-112 protein
ABHD2	1.854982149	abhydrolase domain containing 2
MCAM	1.854313589	melanoma cell adhesion molecule
TRAPPC1	1.853333427	trafficking protein particle complex 1
NDUFB3	1.853215572	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa
MRPL19	1.853121213	mitochondrial ribosomal protein L19
GSTP1	1.852284712	glutathione S-transferase pi
LIG1	1.852233106	ligase I, DNA, ATP-dependent
C3orf28	1.850872863	chromosome 3 open reading frame 28
USP32	1.849542085	ubiquitin specific peptidase 32
TAF5	1.848180594	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated
HSD17B7	1.847148582	hydroxysteroid (17-beta) dehydrogenase 7
GALNT2	1.847075958	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
LOC646278	1.846022418	LOC646278
LOC283683	1.846022418	LOC283683
H19	1.845318957	H19
RNF138	1.844680091	ring finger protein 138
HADHSC	1.84411237	HADHSC
C12orf31	1.843752561	chromosome 12 open reading frame 31
FUSIP1	1.841378379	FUS interacting protein (serine/arginine-rich) 1
LOC642558	1.841378379	LOC642558
DIDO1	1.84068678	death inducer-obliterator 1
PCYT2	1.840137602	phosphate cytidylyltransferase 2, ethanolamine
EWSR1	1.838804356	Ewing sarcoma breakpoint region 1
RAD18	1.838584336	RAD18 homolog (S. cerevisiae)
ME1	1.838354065	malic enzyme 1, NADP(+)-dependent, cytosolic
RECK	1.838329866	reversion-inducing-cysteine-rich protein with kazal motifs
EPB41	1.837741702	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
EIF2B3	1.837208417	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa
CBFA2T2	1.836814525	core-binding factor, runt domain, alpha subunit 2; translocated to, 2
PRPF8	1.835335806	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)
EPB41L2	1.833048676	erythrocyte membrane protein band 4.1-like 2
NOTCH2NL	1.831872924	Notch homolog 2 (Drosophila) N-terminal like
CHID1	1.831603752	chitinase domain containing 1
TIMELESS	1.830912449	timeless homolog (Drosophila)
LOC196463	1.830682307	hypothetical protein LOC196463
DLD	1.828075203	dihydrolipoamide dehydrogenase
LOC643576	1.827087437	LOC643576
LOC642969	1.827087437	LOC642969
PGAM1	1.827087437	phosphoglycerate mutase 1 (brain)
CFL1	1.826996586	cofilin 1 (non-muscle)
GUK1	1.825122983	guanylate kinase 1
GSTM4	1.824925154	glutathione S-transferase M4
GTSE1	1.823371027	G-2 and S-phase expressed 1
CYB5B	1.823196969	cytochrome b5 type B (outer mitochondrial membrane)
DNASE1L1	1.821247864	deoxyribonuclease I-like 1
RACGAP1	1.819051567	Rac GTPase activating protein 1
MRPL28	1.817776296	mitochondrial ribosomal protein L28
