ProbesetID	Genetitle	Genesymbol	t statistic	Overlaps
217122_s_at	Solutecarrierfamily35,memberE2	SLC35E2	7.47	None
228466_at	CloneIMAGE:111714mRNAsequence		5.59	None
212179_at	Chromosome6openreadingframe111	C6orf111	5.31	None
235919_at			5.10	None
215731_s_at	M-phasephosphoprotein9	MPHOSPH9	4.64	None
229886_at	FLJ32363protein	FLJ32363	5.87	None
228174_at			6.44	None
212774_at	Zincfingerprotein238	ZNF238	4.65	None
226478_at	Transmembrane7superfamilymember3	TM7SF3	4.64	None
42361_g_at	Chromosome6openreadingframe18	C6orf18	5.76	CC/HNC
202726_at	LigaseI,DNA,ATP-dependent	LIG1	6.26	None
231931_at	PRdomaincontaining15	PRDM15	7.15	CC/HNC
230777_s_at	PRdomaincontaining15	PRDM15	6.54	CC/HNC
229468_at	Cyclin-dependentkinase3	CDK3	5.45	None
230653_at			5.15	None
220969_s_at			4.93	CC/HNC
241838_at			4.90	None
235231_at	HypotheticalproteinLOC285989	LOC285989	4.47	None
212980_at	AHA1,activatorofheatshock90kDaproteinATPasehomologue2	AHSA2	4.47	None
219676_at	Zincfingerprotein435	ZNF435	5.16	None
226040_at	HypotheticalproteinLOC283585		4.43	None
223513_at	CentromereproteinJ	CENPJ	5.41	T/N,CC/HNC
228455_at	CDNAFLJ43677fis,cloneSYNOV4009295		5.28	CC/HNC
225786_at	Familywithsequencesimilarity36,memberA	FAM36A	4.56	CC/HNC
205345_at	BRCA1-associatedRINGdomain1	BARD1	5.04	CC/HNC
227921_at			4.97	None
230312_at			4.35	None
225841_at	HypotheticalproteinFLJ30525	FLJ30525	6.64	T/N
202743_at	Phosphoinositide-3–kinase,regulatorysubunit3(p55,c)	PIK3R3	5.96	None
209644_x_at	Cyclin-dependentkinaseinhibitor2A(melanoma,p16,inhibitsCDK4)	CDKN2A	6.39	T/N
225355_at	HypotheticalproteinDKFZP761M1511	DKFZP761M1511	5.05	None
204159_at	Cyclin-dependentkinaseinhibitor2C(p18,inhibitsCDK4)	CDKN2C	5.83	None
202412_s_at	Ubiquitinspecificprotease1	USP1	5.55	T/N
243539_at	KIAA1841protein	KIAA1841	4.86	None
1554447_at	CDNAcloneMGC:32876IMAGE:4734912,completecds		4.53	CC/HNC
213268_at	Calmodulin-bindingtranscriptionactivator1	CAMTA1	5.53	None
1555370_a_at	Calmodulin-bindingtranscriptionactivator1	CAMTA1	4.80	None
229795_at			4.27	T/N
225768_at	Nuclearreceptorsubfamily1,groupD,member2	NR1D2	4.51	CC/HNC
221045_s_at	Periodhomologue3(Drosophila)	PER3	6.43	CC/HNC
232889_at	HypotheticalproteinLOC153561	LOC153561	4.97	None
213089_at	HypotheticalproteinLOC153561	LOC153561	4.58	None
213605_s_at	FLJ40092protein	FLJ40092	5.95	None
221973_at	HypotheticalproteinLOC150759	LOC150759	5.14	T/N,CC/HNC
213703_at	HypotheticalproteinLOC150759	LOC150759	5.46	None
220325_at	TAF7-likeRNApolymeraseII,TATAboxbindingprotein-associatedfactor	TAF7L	5.11	None
219255_x_at	Interleukin17receptorB	IL17RB	5.67	None
205531_s_at	Glutaminase2(liver,mitochondrial)	GLS2	4.44	None
230011_at	Similartomousemeiosisdefective1gene	MGC40042	5.34	None
219753_at	Stromalantigen3	STAG3	6.09	None
233064_at	HypotheticalgenesupportedbyAL365406;BC034005		7.85	None
1553611_s_at	HypotheticalproteinFLJ33790	FLJ33790	5.15	None
205691_at	Synaptogyrin3	SYNGR3	4.84	T/N
1558217_at	HypotheticalproteinFLJ31952	FLJ31952	4.64	None
233320_at	Testicularcelladhesionmolecule1	TCAM1	7.07	T/N,CC/HNC
1556244_s_at	HypotheticalproteinLOC375196	LOC375196	7.56	None
226344_at	Zincfinger,matrintype1	ZMAT1	5.47	None
204798_at	v-mybmyeloblastosisviraloncogenehomologue(avian)	MYB	5.12	None
230469_at	Pleckstrinhomologydomaincontaining,familyKmember1	PLEKHK1	6.22	None
241903_at			5.20	CC/HNC
213353_at	ATP-bindingcassette,subfamilyA(ABC1),member5	ABCA5	4.35	CC/HNC
221103_s_at	HypotheticalproteinFLJ11142	FLJ11142	5.67	None
241705_at			4.63	None
218902_at	Notchhomologue1,translocation-associated(Drosophila)	NOTCH1	5.57	None
237269_at			4.92	CC/HNC
228245_s_at	Ovostatin	OVOS	4.30	T/N
244023_at	Spleentyrosinekinase	SYK	4.98	None
242918_at	Nuclearautoantigenicspermprotein(histone-binding)	NASP	4.60	None
242890_at	Helicase,lymphoid-specific	HELLS	4.45	T/N
220940_at	KIAA1641	KIAA1641	4.22	None
229666_s_at	Cleavagestimulationfactor,3¶pre-RNA,subunit3,77kDa	CSTF3	4.44	None
1559214_at			4.52	T/N
229490_s_at			4.32	T/N
205668_at	Lymphocyteantigen75	LY75	4.26	None
228434_at	Butyrophilin-like9	BTNL9	4.87	None
228262_at	HypotheticalproteinFLJ14503	FLJ14503	5.40	None
204069_at	Meis1,myeloidecotropicviralintegrationsite1homologue(mouse)	MEIS1	4.97	T/N,CC/HNC
1562921_at	E1Abindingproteinp300	EP300	4.28	CC/HNC
208498_s_at	Amylase,a2A;pancreatic	AMY2A	5.32	None
231164_at	HypotheticalgenesupportedbyAK095200;BC042853		6.91	T/N
206546_at	Synaptonemalcomplexprotein2	SYCP2	7.49	T/N,CC/HNC
1557570_a_at	HypotheticalproteinLOC285084	LOC285084	5.88	T/N
209792_s_at	Kallikrein10	KLK10	-4.32	None
206125_s_at	Kallikrein8(neuropsin/ovasin)	KLK8	-5.68	CC/HNC
207356_at	Defensin,b		-4.28	CC/HNC
226448_at	HypotheticalgenesupportedbyBC009447	MGC15887	-4.4	T/N
219368_at	Nucleosomeassemblyprotein1-like2	NAP1L2	-5.63	None
208712_at	CyclinD1(PRAD1:parathyroidadenomatosis1)	CCND1	-4.5	None
208711_s_at	CyclinD1(PRAD1:parathyroidadenomatosis1)	CCND1	-5.27	None
214073_at	Cortactin	CTTN	-5.1	None
203065_s_at	Caveolin1,caveolaeprotein,22kDa	CAV1	-4.58	T/N
210355_at	Parathyroidhormone-likehormone	PTHLH	-4.45	T/N
1556773_at	Parathyroidhormone-likehormone	PTHLH	-4.43	T/N
211756_at	Parathyroidhormone-likehormone	PTHLH	-4.46	T/N
230835_at	KIPV467	UNQ467	-4.37	CC/HNC
