Gene Name	Gene Description	Assay
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	Hs99999905_m1
GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	Hs00609198_m1
GPR43	G protein-coupled receptor 43	Hs00271142_s1
GPR65	G protein-coupled receptor 65	Hs00269247_s1
GUSB	glucuronidase, beta	Hs99999908_m1
HCST	hematopoietic cell signal transducer	Hs00367159_m1
HLA-G	HLA-G histocompatibility antigen, class I	Hs00365950_g1
ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	Hs00164932_m1
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	Hs00747379_m1
IER3	immediate early response 3	Hs00174674_m1
IER5	immediate early response 5	Hs00275419_s1
IL1A	interleukin 1, alpha	Hs00174092_m1
IL1RN	interleukin 1 receptor antagonist	Hs00277299_m1
IL23A	interleukin 23, alpha subunit p19	Hs00372324_m1
KLF10	Kruppel-like factor 10	Hs00194622_m1
KLF5	Kruppel-like factor 5 (intestinal)	Hs00156145_m1
LAMB3	laminin, beta 3	Hs00165078_m1
LIMS1;LIMS3	LIM and senescent cell antigen-like domains 1,LIM and senescent cell antigen-like domains 3	Hs00414460_m1
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	Hs00544822_m1
MAP3K8	mitogen-activated protein kinase kinase kinase 8	Hs00178297_m1
MT1K	metallothionein 1K	Hs00828387_g1
MYLIP	myosin regulatory light chain interacting protein	Hs00203131_m1
NBN	nibrin,	Hs00159537_m1
NFE2	nuclear factor (erythroid-derived 2), 45kDa	Hs00232351_m1
NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	Hs00234431_m1
NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	Hs00230071_m1
NR4A2	nuclear receptor subfamily 4, group A, member 2	Hs00428691_m1
OSM	oncostatin M	Hs00171165_m1
PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	Hs00277080_m1
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Hs00190079_m1
PHACTR1	phosphatase and actin regulator 1	Hs00286959_m1
PLAU	plasminogen activator, urokinase	Hs00170182_m1
PLAUR	plasminogen activator, urokinase receptor,	Hs00182181_m1
PLEKHG2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	Hs00293943_m1
PLEK	pleckstrin	Hs00160164_m1
PLK2	polo-like kinase 2 (Drosophila)	Hs00198320_m1
PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A	Hs00169585_m1
PRG1	proteoglycan 1, secretory granule	Hs00160444_m1
PRNP	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	Hs00175591_m1
PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	Hs00153133_m1
PTX3	pentraxin-related gene, rapidly induced by IL-1 beta	Hs00173615_m1
RABGEF1	RAB guanine nucleotide exchange factor (GEF) 1	Hs00205696_m1
RBAF600	retinoblastoma-associated factor 600	Hs00378210_m1
SEC31L1	SEC31-like 1 (S. cerevisiae)	Hs00274601_m1
SLC35B2	solute carrier family 35, member B2	Hs00379360_m1
SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	Hs00185826_m1
SNFT	Jun dimerization protein p21SNFT	Hs00232744_m1
SOD2	superoxide dismutase 2, mitochondrial	Hs00167309_m1
SOLH	small optic lobes homolog (Drosophila)	Hs00232164_m1
SOX4	SRY (sex determining region Y)-box 4	Hs00268388_s1
TAGAP	T-cell activation GTPase activating protein	Hs00299284_m1
TA-NFKBH	T-cell activation NFKB-like protein	Hs00262018_m1
TBCC	tubulin-specific chaperone c	Hs00268437_s1
TCTE1L	t-complex-associated-testis-expressed 1-like	Hs00359622_m1
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	Hs00234713_m1
TNFAIP6	tumor necrosis factor, alpha-induced protein 6	Hs00200180_m1
TNF	tumor necrosis factor (TNF superfamily, member 2)	Hs00174128_m1
TRIB1	tribbles homolog 1 (Drosophila)	Hs00179769_m1
XBP1	X-box binding protein 1	Hs00231936_m1
ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	Hs00185658_m1
ZNF217	zinc finger protein 217	Hs00232417_m1
