CLASS	RAMOS RA-1 Exp. #1	RAMOS RA-1 Exp. #2	Z-138 Exp. #1	Z-138 Exp. #2
C15orf39	-0.532	-0.561	-0.634	-0.734
C17orf27	0.917	0.678	0.777	0.502
C17orf49	0.541	0.558	0.591	0.551
C1orf19	0.904	0.807	0.827	0.711
C1orf2	0.578	0.591	0.555	0.625
C20orf19	0.661	0.787	0.814	0.867
C20orf46	-1.226	-1.598	-1.256	-1.046
C20orf54	1.385	0.764	1.289	0.747
C20orf6	-2.276	-0.671	-1.03	-1.206
C21orf51	0.96	0.588	0.751	0.502
C5	0.987	1.322	1.156	1.721
C6orf130	0.654	0.628	0.658	0.664
C6orf153	-0.827	-0.638	-0.605	-0.588
C6orf48	1.1	0.98	0.953	0.857
C6orf57	0.877	0.541	0.963	0.578
C8orf32	0.548	0.551	0.658	0.634
C8orf44	1.146	0.807	0.953	0.767
C8orf61	1.598	0.704	1.389	0.641
C9orf127	-0.541	0.764	1.126	0.907
C9orf43	-2.176	-2.272	-1.239	-1.139
C9orf46	1.408	1.023	1.222	0.86
C9orf50	-1.624	-1.276	-1.475	-1.548
C9orf71	0.884	-0.588	0.744	0.548
C9orf95	0.953	0.644	0.821	0.585
CA431756	-0.668	-0.641	-1.073	0.867
CA5A	-1.312	-1.92	-0.644	-1.06
CA772440	0.714	0.993	-0.91	0.508
CAB39L	-0.548	-0.721	-0.615	-0.704
CACNA2D4	1.08	0.757	1.369	1.149
CADPS	0.794	0.754	0.631	0.522
CALCOCO2	0.914	0.801	0.847	0.95
CB243794	0.943	1.003	1.355	0.794
CB984746	1.236	1.166	1.382	0.724
CBFA2T3	-0.541	-0.658	-0.718	-0.897
CBX7	1.053	0.811	0.728	0.621
CCDC102A	-0.943	-0.927	-0.864	-0.761
CCDC52	0.688	0.877	0.761	0.751
CCDC86	-1.272	-0.977	-0.917	-0.561
CCDC98	0.761	0.718	0.625	0.728
CCNB1IP1	0.634	0.781	0.98	1.149
CCNB3	0.993	1.096	0.94	1.256
CCNG1	0.638	0.568	0.691	0.625
CCT2	-0.525	-0.522	-0.585	-0.575
CD177	-1.139	-0.96	-0.611	-0.698
CD3EAP	-0.575	-0.747	-0.761	-0.771
CD44	1.11	0.814	0.774	0.508
CD48	0.641	0.691	0.731	0.817
CD511705	1.362	0.644	0.887	0.518
CD55	0.621	1.771	0.761	0.724
CD607715	1.91	0.615	0.914	0.664
CD99L2	0.867	1.083	1.06	0.923
CDKN1B	1.246	1.05	1.043	1.485
CDSN	-0.581	-0.728	-0.907	-0.91
CEBPE	0.767	0.548	0.791	0.95
CEBPZ	-0.608	-0.658	-0.678	-0.634
CENPH	0.575	0.644	0.628	0.744
CGI-115	-0.625	-0.854	-0.784	-0.867
CHD1	0.551	0.505	0.854	1.08
CHGB	0.581	-0.734	-1.558	-0.571
CHI3L2	1.073	1.139	1.196	1.119
CHPT1	0.754	0.575	0.561	0.651
CK824959	0.897	0.721	1.11	0.691
CLYBL	1.85	1.408	1.588	0.957
CMTM4	1.183	0.837	-0.714	0.595
COL9A3	1.422	1.269	1.425	1.1
COPG2	0.678	0.671	0.671	0.797
COPZ2	0.595	0.724	0.917	0.595
CORO2A	0.943	0.811	0.718	0.608
CPNE5	-0.678	-0.575	-0.621	-0.532
CSRP2	-1.987	2.236	1.229	0.698
CTH	1.322	1.289	1.176	1.103
CTNNBIP1	0.92	0.824	0.774	0.664
CTSH	0.541	0.744	1.315	0.827
CXorf45	0.545	0.588	0.767	0.897
CYP24A1	0.844	1.02	0.993	1.153
CYSLTR1	-1.87	-2.013	-1.179	-1.206
DAZ2	-1.405	-2.525	-0.874	-1.312
DBN1	1.11	1.066	1.02	1.033
DDIT3	1.119	1.1	1.126	1.043
DDIT4	0.688	0.737	0.781	0.791
DDX48	-0.561	-0.568	-0.565	-0.568
DENND4C	-1.541	-1.455	-1.282	-0.98
DFNA5	1.266	1.143	1.183	1.306
DHCR7	0.801	0.804	0.625	0.668
DHRS8	0.644	0.561	0.568	0.774
DHX37	-0.827	-0.824	-0.781	-0.684
DHX57	-0.618	-0.724	-0.684	-1.256
DISP2	-2.262	-0.801	-0.751	-1.276
DLC1	0.525	0.581	0.568	0.774
DLEU2	-0.525	-0.718	-0.631	-0.588
DNAH7	1.365	0.957	0.917	0.744
DNAI2	-1.392	-2.538	-1.399	-2.123
DNAJA1	-0.565	-0.598	-0.601	-0.644
DNTTIP2	-0.664	-0.648	-0.561	-0.578
DUSP16	-1.183	-0.747	-0.704	-1.624
DUSP22	0.508	0.595	0.678	0.897
EDA	0.588	1.219	0.987	0.681
EFHB	-1.668	-1.143	-1.003	-1.325
EIF2AK2	-0.588	-0.601	-1.213	-0.837
EIF2C4	1.598	0.641	1.319	0.558
EIF4EBP1	0.588	0.588	0.678	0.731
EME2	-0.884	-0.867	-1.156	-1.199
EMILIN2	1.475	1.508	1.445	1.458
EMP1	0.641	0.628	0.884	1.256
EPR1	1.203	1.81	1.1	1.515
ERF	-1.239	-1.066	-0.93	-0.674
ETHE1	0.917	0.85	0.847	0.691
FADS1	0.94	0.973	0.874	0.98
FADS2	0.724	1.276	0.651	0.784
FAM111B	-0.914	-0.731	-1.103	-0.668
FAM3B	1.206	0.555	1.239	1.488
FAM41C	-0.777	-0.93	-1.345	-0.691
FAM73B	-1.066	-1.023	-0.724	-0.618
FAM84B	1.007	1.222	0.728	0.618
FARSLB	-0.512	-0.694	-0.681	-0.508
FAS	1.139	0.847	0.688	0.532
FBXL14	1.794	1.017	1.11	1.209
FBXL16	1.133	0.904	0.837	0.661
FBXO15	1.256	0.957	1.834	1.252
FHOD3	-1.372	-1.651	-1.438	-1.113
FJX1	0.681	0.508	-1.834	1.007
FKBP1B	0.811	0.664	0.644	0.678
FLNA	-1.754	-1.505	-1.458	-0.807
FMO1	1.203	0.953	0.97	0.97
FOXA1	-2.176	-1.947	-2.003	-2.149
FOXD4	-2.173	-1.465	-0.83	-2.089
FSTL3	-0.585	-0.535	0.721	0.737
FXR2	-1.296	-0.757	-0.797	-0.634
FZD2	0.608	1.033	0.714	0.545
G36631	-0.641	-1.01	-0.747	-0.884
GAA	1.525	1.199	1.226	1.196
GAB1	1.654	1.123	0.625	0.568
GABARAPL3	0.674	1.624	0.541	0.568
GALNTL1	1.399	1.731	1.1	1.405
GAS2L2	-0.674	-2.402	-0.93	-1.136
GAS5	0.99	0.89	1.033	0.997
GDAP1	-1.345	-1.236	-1.216	-1.425
GDAP1L1	-1.033	-0.611	0.551	-0.694
GEMIN5	-0.957	-0.708	-0.807	-0.641
GFM1	-0.591	-0.661	-0.628	-0.578
GKAP1	0.87	0.625	0.728	1.113
GLCE	0.9	-1.073	-1.292	-0.621
GNAZ	1.754	1.385	1.292	1.312
GOLGA	0.615	-1.126	-1.315	-1.159
GPR172B	-0.615	-0.502	-0.581	0.654
GPR39	0.644	-0.764	0.605	0.528
GPR92	-0.784	-0.508	-0.767	0.551
GRK1	0.917	0.844	0.837	1.153
GSTZ1	0.561	0.641	0.588	0.714
GUCA2B	-2.611	-2.365	-2.129	-2.043
GYPC	0.611	0.671	0.591	0.774
HACE1	0.83	0.704	0.588	0.977
HBP1	0.95	0.923	0.857	0.943
HCG4P6	-0.512	-1.282	-1.641	0.751
HEBP1	0.977	0.561	0.814	0.512
HESX1	2.07	1.99	1.505	1.92
HHAT	1.106	0.728	0.591	0.581
HIGD1B	-1.694	-1.339	-0.668	-1.007
HIST1H2AB	-3.166	0.85	1.036	1.392
HIST1H2AL	-2.551	-2.412	-1.608	-2.717
HKR2	0.864	0.827	0.9	0.525
HNRPM	-0.561	-0.588	-1.003	-0.824
HOMER3	1.442	1.269	0.664	0.867
HOXA4	1.226	0.777	0.824	1.01
HSD17B8	0.704	0.794	0.774	0.884
HSP90AA1	-0.644	-0.661	-0.844	-0.837
HSPA1A	-0.731	-0.698	-0.834	-0.724
HSPA8	-1.332	-1.153	-1.266	-1.053
HSPC111	-0.561	-0.671	-0.661	-0.747
IFITM1	1.183	1.757	0.967	1.249
IFRD1	0.943	0.854	0.897	0.844
IGBP1	-1.226	0.591	0.731	0.854
IGSF4B	-1.296	-1.681	-1.063	-0.651
IL17RC	0.541	-1.864	-0.914	-1.013
IL1RN	0.548	0.545	0.518	0.904
IL21R	0.658	0.634	0.508	0.551
IL3RA	-1.545	0.857	1.166	1.422
IL4I1	1.943	1.97	0.548	1.09
IL6	-1.249	-1.352	-1.674	-0.704
IL7R	-0.894	-0.91	-0.87	-0.681
INHBE	1.153	1.757	1.442	1.817
ISG20	-0.525	-0.515	-0.585	-0.591
ITGAM	0.904	0.91	1.329	1.096
JAKMIP1	0.99	0.807	1.488	1.518
JOSD3	0.867	0.644	0.724	0.548
KCNT1	-1.903	-2.249	-1.442	-2.345
KLF2	0.83	0.937	1.179	0.774
KLHL24	1.664	0.977	0.731	1.07
KMO	-0.824	-1.013	-0.897	-0.95
KRT35	1.306	1.199	1.355	0.578
KRT6IRS	0.757	0.83	0.904	0.631
LCORL	1.246	0.983	0.967	0.512
LETMD1	0.505	0.591	0.658	0.698
LMCD1	0.877	0.714	0.704	0.525
LMO2	1.239	0.987	0.907	0.85
LRIG3	-0.638	-1.093	-0.767	-0.718
LRRC23	0.91	0.668	0.661	0.668
LRRC54	1.312	1.149	0.957	0.625
LSS	0.661	0.983	0.668	1.007
LTC4S	0.933	1.296	1.163	0.548
LUC7L	-1.053	-1.11	-0.844	-0.914
LYPLA2	-1.046	-1.026	-0.844	-0.661
M31157	-1.209	-2.787	-1.076	-2.319
MAT2A	-0.561	-0.532	-0.734	-0.698
MDH1B	-3	-2.116	-1.365	-0.621
METRN	0.953	1.219	0.98	0.94
MFAP1	-0.595	-0.638	-0.558	-0.618
MFAP3	-1.292	-0.85	-0.565	-1.083
MGLL	-0.854	-1.139	-0.711	-1.063
MIER3	0.638	0.744	0.95	1.053
MIG7	0.943	0.977	1.585	0.741
MND1	0.937	1.017	1.086	1.146
MOBP	-2.638	-1.634	-2.093	-1.113
MOCOS	0.681	1.007	1.033	0.674
MON1A	-0.654	-0.761	-0.714	-0.641
MPST	0.684	0.754	0.698	0.774
MRPS17	-0.628	-0.634	-0.618	-0.641
MRPS31	-0.651	-0.668	-0.615	-0.598
MS4A1	-0.598	-0.641	-0.595	-0.664
MT1F	0.708	0.595	0.761	0.618
MT2A	1.01	0.87	0.947	0.678
MTL5	1.614	1.259	1.581	1.585
MX1	0.86	0.754	0.634	0.565
MYBBP1A	-0.784	-0.737	-0.737	-0.661
MYL5	0.837	0.664	0.967	0.97
N47124	1.379	0.747	1.531	-0.714
NALP7	-0.884	-0.89	-0.884	-0.844
NCDN	-1.083	-0.761	-0.847	-0.565
NELL1	0.512	0.641	0.641	0.757
NFIL3	1.249	0.997	0.937	0.744
NHLH2	0.585	0.611	0.711	-0.9
NINJ1	0.737	0.817	0.857	0.718
NOL11	-0.638	-0.621	-0.585	-0.558
NOTCH2	1.093	0.864	0.571	0.518
NP	-0.565	-0.505	-0.628	-0.588
NPC2	0.814	0.781	0.731	0.688
NPTX1	0.897	0.95	1.02	0.757
NRL	1.272	1.007	1.206	0.977
NS3BP	-0.834	0.581	-0.784	0.993
NT5M	0.674	0.515	0.721	0.847
NUDT14	0.701	0.508	0.565	0.933
NUP62CL	0.744	1.272	0.92	0.98
OPLAH	1.046	0.917	1.269	0.847
OPTN	0.84	0.575	0.605	0.555
OR10H3	0.771	0.615	1.03	0.628
OR2A25	0.814	1.276	1.043	1.601
OR51D1	-1.93	0.522	0.943	0.615
OSGEPL1	1.239	0.681	0.711	0.512
PAOX	0.764	0.638	0.618	0.525
PAPD5	-1.093	-1.053	-1.023	-0.714
PCBP4	1.352	1.04	1.166	0.983
PCK2	0.688	0.864	0.84	1.02
PDE6B	0.834	0.532	1.046	0.99
PDE9A	2.136	1.232	2.834	2.282
PFN4	0.973	0.957	1.445	0.804
PGGT1B	-0.571	-2.099	-0.565	-0.811
PHACTR1	1.458	1.11	1.276	1.076
PHF23	-0.658	-0.731	-0.561	-0.508
PICK1	-2.083	-0.638	-0.744	-0.578
PLCXD3	0.807	0.95	1.478	0.581
PLEK	0.744	0.784	0.907	1.01
PLXND1	1.329	1.425	1.033	1.442
PNOC	-0.588	-0.634	-0.588	-0.598
POLR2F	-0.561	-0.611	-0.615	-0.648
POLR3H	-0.664	-0.641	-0.704	-0.598
PPM1M	0.757	1.143	1.133	1.299
PQLC3	0.834	0.698	0.837	0.884
PRODH	0.598	-0.731	0.551	0.588
PSG11	1.349	1.395	0.648	0.605
PTPDC1	1	1.133	0.99	0.807
PTPRH	0.977	2.146	0.92	0.91
PVRL1	-0.571	0.86	0.757	0.658
QPRT	0.648	0.558	0.615	0.545
RAB33A	1.817	1.465	1.525	1.229
RAB37	1.206	1.159	1.272	1.352
RALGPS1	0.694	0.598	1.312	0.804
RASA2	1.292	0.704	1.272	1.036
RASD1	0.99	1.302	0.541	0.83
RBKS	0.914	2.614	1.056	0.86
RBM19	-0.787	-0.764	-0.91	-0.618
RCBTB2	-0.864	-0.96	-0.797	-0.601
RCE1	-0.631	-0.731	-0.525	-0.688
RDM1	1.85	1.209	1.329	1.219
RECK	1.887	0.774	2.189	0.605
REEP2	0.767	0.525	0.634	0.515
RELB	0.691	0.658	0.611	0.611
RFX3	1.103	0.917	0.674	1.096
RGMA	1.691	1.85	1.538	1.1
RGS1	0.814	0.555	0.804	0.538
RIMS3	0.94	0.963	1.073	1.11
	0.953	0.628	0.767	0.618
	-1.937	0.548	0.784	0.757
RPS6KA2	0.847	0.708	0.754	0.688
RRP22	-0.598	-1.246	-1.276	-1.465
RRS1	-1.003	-0.817	-0.721	-0.575
RTDR1	1.465	0.93	0.947	0.721
RYK	-1.568	-1.349	-1.458	-1.043
S73202	0.917	1.269	-0.548	1.654
SAA2	-0.565	-1.176	-1.096	-1.767
SAFB	-0.977	-0.654	-0.904	-0.827
SAFB2	-0.771	-0.834	-0.977	-0.88
SCARNA17	1.033	0.714	0.654	0.704
SEL1L	1.017	0.525	0.658	0.641
SEMA4C	0.644	0.854	1.103	0.728
SERAC1	-1.84	-2.591	-1.438	-1.661
SERPIND1	-1.884	-2.143	-1.734	-0.678
SERPINE1	-2.083	-2.086	-0.777	-1.133
SFRS6	-0.807	-1.106	-0.731	-0.91
SFXN3	1.096	1.84	0.88	0.791
SH2D5	0.877	0.535	0.731	0.987
SHANK1	1.618	1.11	1	0.811
SHH	-1.521	-1.511	-2.003	-0.97
SIKE	1.418	0.791	1.106	0.585
SIN3B	-0.525	-0.678	-0.634	-0.588
SLC22A11	1.382	-1.196	-0.731	-0.867
SLC22A15	0.854	0.631	0.701	0.86
SLC22A18	0.761	0.641	0.571	0.621
SLC25A35	1.053	0.532	0.791	0.598
SLC27A5	1.106	0.874	0.801	0.618
SLC38A2	1.296	0.581	1.017	0.714
SLC39A11	1	0.711	0.595	0.684
SLC39A9	1.046	0.502	0.824	0.784
SLC43A1	0.545	0.688	0.668	0.88
SLC45A3	-0.625	-0.684	-0.708	-0.694
SLC7A11	0.724	0.628	0.558	0.708
SNAPC4	-0.578	-0.688	-0.764	-0.751
SNFT	0.638	0.721	0.721	0.904
SPA17	0.88	0.91	0.595	0.551
SPACA1	0.731	0.621	1.056	0.927
SPATA12	0.638	1.246	1.232	0.625
SPI1	-2.531	-2.491	-1.213	-0.837
SPINK2	1.306	0.737	1.146	0.618
SPRN	-0.508	-1.568	-2.594	-1.08
SPRY3	-1.096	-2.651	-1.432	-0.817
SPTBN4	0.718	0.704	0.95	1.206
SR-A1	-0.728	-0.621	-0.791	-0.538
ST3GAL5	1.382	1.143	1.408	1.518
ST3GAL6	0.508	0.512	0.744	0.86
STC2	0.671	0.522	0.628	1.129
STMN4	0.688	0.631	1.163	1.073
STS	0.827	0.827	1.056	1.017
SUB1	0.86	0.704	0.9	0.784
SYNCRIP	-0.502	-0.561	-0.518	-0.528
SYT9	1.502	0.601	1.302	0.93
SYTL1	1.286	1.262	1.289	1.256
TATDN3	0.937	0.754	0.92	0.854
TBC1D21	1.189	0.708	1.1	0.817
TBX19	1.379	1.163	0.605	0.618
TCEA2	0.644	0.817	1.026	1.445
TCEB3	-0.897	-0.774	-0.761	-0.747
TCF7	-2.295	-2.86	-2.727	-1.236
TCL1B	1.216	1.033	0.857	0.897
TCP11L1	1.1	0.654	0.794	0.558
TDG	-0.638	-0.628	-0.741	-0.744
TDRKH	0.714	0.555	0.86	0.724
TEKT2	-1.329	-0.591	-2.126	-1.06
TEX10	-0.661	-0.598	-0.601	-0.522
TFRC	-1.458	-1.296	-1.369	-1.232
THAP9	0.714	1.166	1.415	1.179
TIFA	0.708	0.741	0.561	0.528
TIGD7	1.727	1.139	-1.306	1.119
TIMD4	1.272	0.933	1.136	0.943
TLR1	-1.036	-0.648	-0.551	-0.764
TLR10	-1.04	-0.834	-0.917	-0.691
TLR3	-1.508	-0.668	-0.797	-0.525
TM6SF1	1.017	0.698	0.864	0.505
TMEM134	0.581	0.661	0.598	0.658
TMEM143	0.591	0.548	0.502	0.558
TMEM154	1.193	0.821	0.914	0.581
TMEM16K	0.83	0.502	0.943	0.718
TMEM53	0.737	0.605	0.561	0.522
TMEM87B	0.777	0.688	-1.076	-0.621
TMEPAI	0.963	0.84	0.98	0.631
TMPIT	0.754	0.641	0.664	0.797
TNFAIP2	1.422	1.286	1.073	0.821
TOE1	-0.977	-0.801	-0.781	-0.581
TOMM40	-1.462	-1.103	-1.02	-0.601
TP53AP1	1.043	0.598	0.797	0.535
TP73L	1.747	1.797	1.678	0.555
TPK1	0.947	0.588	0.608	0.535
TPST1	1.232	1.066	1.003	1.369
TRAPPC6A	0.728	0.731	0.691	0.708
TRAPPC6B	-2.525	0.711	0.744	0.731
TRIB3	0.897	1.01	0.937	1.046
TSC22D3	1.086	1.159	1.485	1.511
TSGA2	2.598	2.458	1.747	1.757
TST	0.535	0.581	0.512	0.532
TTC25	0.997	-1.432	1.02	0.854
TTC32	0.977	0.634	0.797	0.512
TTTY3	-2.757	-1.91	-1.784	-1.272
TUBB2B	1.511	1.369	1.561	1.163
TXNIP	0.894	0.671	0.744	0.558
U2AF2	-1.575	-0.648	-0.718	-0.518
UBE1L2	0.654	0.804	0.807	0.515
UTP14A	-0.993	-0.97	-0.89	-0.608
UTP15	-0.588	-0.827	-0.744	-0.794
UTP20	-0.99	-0.86	-1.246	-1.046
VLDLR	1.222	1.578	2.236	2.362
VWF	0.807	0.581	0.598	0.914
W05707	0.661	0.777	0.561	-0.864
WARS	0.545	0.764	0.744	0.957
WFS1	0.661	0.95	0.698	0.827
WIPI1	1.525	1.286	1.139	1.056
WNK4	0.648	0.681	1.023	0.651
YPEL5	1.259	1.169	1.1	1.133
ZBTB20	0.847	0.721	0.684	0.814
ZBTB9	-1.206	-0.731	-0.561	-0.854
ZC3H6	1.571	1.325	1.119	0.967
ZFAND1	1.013	0.591	0.804	0.548
ZFP90	1.315	1.508	0.937	1.408
ZNF121	-2.206	-1.99	0.518	-1.073
ZNF25	1.462	1.026	1.408	0.704
ZNF254	0.615	0.704	0.704	0.518
ZNF273	1.129	0.724	1.043	0.711
ZNF277	1.073	0.761	1.017	0.804
ZNF37A	0.751	0.648	0.688	0.634
ZNF425	-1.246	-1.425	-1.468	-1.013
ZNF438	1.492	0.781	1.943	0.824
ZNF682	1.013	1.199	1.08	1.332
ZNF70	-1.07	-0.983	-0.953	-0.86
ZRF1	-0.561	-0.591	-0.595	-0.575
