ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
201579_at	FAT	0.011323	FAT tumor suppressor homolog 1 (Drosophila)	cell adhesion	structural molecule activity	integral to plasma membrane			-1.02	-1.6	0.89	1.4	0.5
201599_at	OAT	0.03448	ornithine aminotransferase (gyrate atrophy)	amino acid metabolism	ornithine-oxo-acid transaminase activity	mitochondrial matrix	Urea cycle and metabolism of amino groups	GENMAPP/KEGG	-0.89	-1.37	1.17	0.02	1.1
201661_s_at	ACSL3	0.037276	acyl-CoA synthetase long-chain family member 3	fatty acid metabolism	magnesium ion binding		Fatty acid metabolism	GENMAPP/KEGG	-0.32	-0.44	0.38	0.4	-0.01
201672_s_at	USP14	0.035959	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)	ubiquitin-dependent protein catabolism	cysteine-type endopeptidase activity				-0.45	-0.85	0.61	0.04	0.67
201822_at	TIMM17A	0.005088	translocase of inner mitochondrial membrane 17 homolog A (yeast)	protein-mitochondrial targeting	protein translocase activity	mitochondrion			-0.88	-1.4	0.54	0.94	0.96
201829_at	NET1	0.029422	neuroepithelial cell transforming gene 1						-1.25	-1.03	1.18	0.02	1.09
201830_s_at	NET1	0.009039	neuroepithelial cell transforming gene 1						-1.25	-1.67	1.52	0.5	1.09
201865_x_at	NR3C1	0.004558	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Apoptosis	GENMAPP/KEGG	-0.78	-1.03	0.53	0.45	0.89
202124_s_at	ALS2CR3	0.031594	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3	neurotransmitter transport	receptor binding	cytoplasm			-0.79	-0.44	0.1	0.4	0.74
202152_x_at	USF2	0.020618	upstream transcription factor 2, c-fos interacting	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.76	-0.69	0.89	0.21	0.35
202176_at	ERCC3	0.046889	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	DNA topological change	damaged DNA binding	nucleus			-0.18	-0.63	0.47	0.15	0.21
202403_s_at	COL1A2	0.011979	collagen, type I, alpha 2	skeletal development	extracellular matrix structural constituent	collagen	Inflammatory_Response_Pathway	GENMAPP/KEGG	-1.47	-0.95	0.74	1.32	0.47
202412_s_at	USP1	0.031419	ubiquitin specific protease 1	ubiquitin-dependent protein catabolism	cysteine-type endopeptidase activity				-0.49	-1.34	0.33	1.03	0.59
202478_at	TRIB2	0.034174	tribbles homolog 2 (Drosophila)	protein amino acid phosphorylation	protein kinase activity				-1.44	-1.24	0.87	0.08	1.67
202491_s_at	IKBKAP	0.029676	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	protein complex assembly	signal transducer activity				-0.45	-1.03	0.86	0.4	0.27
202507_s_at	SNAP25	0.034127	synaptosomal-associated protein, 25kDa						-0.98	-0.42	0.8	0.5	0.15
202547_s_at	ARHGEF7	0.044828	Rho guanine nucleotide exchange factor (GEF) 7	signal transduction	guanyl-nucleotide exchange factor activity				-0.52	-0.19	0.44	0.1	0.18
202676_x_at	FASTK	0.041574	FAST kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				-1.33	-1.13	0.21	0.47	1.67
202739_s_at	PHKB	0.013827	phosphorylase kinase, beta	glycogen metabolism	phosphorylase kinase activity		Glycogen_Metabolism	GENMAPP/KEGG	-0.52	-0.39	0.22	0.18	0.51
202780_at	OXCT1	0.046167	3-oxoacid CoA transferase 1	succinyl-CoA metabolism	3-oxoacid CoA-transferase activity	mitochondrion	Synthesis and degradation of ketone bodies	GENMAPP/KEGG	-0.56	-0.65	0.12	0.21	0.86
202850_at	ABCD3	0.002801	ATP-binding cassette, sub-family D (ALD), member 3	transport	nucleotide binding	integral to peroxisomal membrane			-0.7	-0.49	0.48	0.29	0.44
202868_s_at	POP4	0.009417	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	rRNA processing	RNA binding	ribonuclease MRP complex			-0.22	-0.17	0.05	0.17	0.17
203016_s_at	SSX2IP	0.014896	synovial sarcoma, X breakpoint 2 interacting protein						-0.98	-1.32	0.84	1.25	0.28
203065_s_at	CAV1	0.004185	caveolin 1, caveolae protein, 22kDa		structural molecule activity	integral to plasma membrane	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-1.09	-1.6	0.66	1.25	1
203091_at	FUBP1	0.035844	far upstream element (FUSE) binding protein 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.73	-1.11	0.01	0.82	1.02
203130_s_at	KIF5C	0.028546	kinesin family member 5C	organelle organization and biogenesis	microtubule motor activity	kinesin complex			-1.45	-0.46	0.51	0.59	0.98
203177_x_at	TFAM	0.010295	transcription factor A, mitochondrial	DNA-dependent DNA replication	transcription factor activity	mitochondrion			-0.63	-0.63	0.64	0.47	0.16
203192_at	ABCB6	0.037195	ATP-binding cassette, sub-family B (MDR/TAP), member 6	transport	nucleotide binding	mitochondrion			-0.5	-1.76	1	0.41	1.15
203206_at	KIAA0140	0.009492	KIAA0140		S-adenosylmethionine-dependent methyltransferase activity				-0.36	-0.38	0.09	0.34	0.31
203230_at	DVL1	0.045728	dishevelled, dsh homolog 1 (Drosophila)	frizzled signaling pathway	signal transducer activity	cytoplasm	Wnt_signaling	GENMAPP/KEGG	-0.73	-1.2	0.84	1.14	-0.04
203260_at	C6orf74	0.01965	chromosome 6 open reading frame 74		catalytic activity				-0.36	-0.14	0.11	0.21	0.17
203411_s_at	LMNA	0.004161	lamin A/C	muscle development	structural molecule activity	nucleus			-1.85	-1.47	1.71	1.05	0.86
203423_at	RBP1	0.003982	retinol binding protein 1, cellular	vitamin A metabolism	transporter activity				-1.44	-1.48	1.37	1.16	0.57
203451_at	LDB1	0.010267	LIM domain binding 1	development	transcription cofactor activity	nucleus			-0.95	-0.53	0.29	0.67	0.58
203517_at	MTX2	0.009381	metaxin 2	mitochondrial transport		mitochondrion			-0.26	-0.54	0.24	0.23	0.33
203565_s_at	MNAT1	0.013463	menage a trois 1 (CAK assembly factor)	regulation of cyclin dependent protein kinase activity	ubiquitin-protein ligase activity	ubiquitin ligase complex			-0.58	-0.38	0.3	0.15	0.51
203596_s_at	IFIT5	0.039205	interferon-induced protein with tetratricopeptide repeats 5	immune response					-1.08	-1.33	0.81	0.02	1.52
203623_at	PLXNA3	0.010837	plexin A3	development	transmembrane receptor activity	integral to membrane			-0.93	-0.57	0.79	0.34	0.42
203697_at	FRZB	0.035579	frizzled-related protein	skeletal development	transmembrane receptor activity	extracellular			-0.4	-0.78	0.66	0.06	0.47
203736_s_at	PPFIBP1	0.026544	PTPRF interacting protein, binding protein 1 (liprin beta 1)						-1.15	-0.52	0.19	0.73	0.81
203785_s_at	DDX28	0.021395	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28		nucleic acid binding				-0.61	-0.33	0.34	0.11	0.5
203891_s_at	DAPK3	0.034937	death-associated protein kinase 3	protein amino acid phosphorylation	protein serine/threonine kinase activity	nucleus			-0.67	-0.7	0.9	0.09	0.37
203962_s_at	NEBL	0.020686	nebulette	regulation of actin filament length	actin binding	actin cytoskeleton			-0.88	-1.31	0.2	0.85	1.2
204000_at	GNB5	0.030189	guanine nucleotide binding protein (G protein), beta 5	signal transduction	GTPase activity	heterotrimeric G-protein complex	G_Protein_Signaling	GENMAPP/KEGG	-0.45	-0.81	0.65	0.06	0.56
204179_at	MB	0.002192	myoglobin	transport	oxygen transporter activity				-0.8	-1.17	0.76	0.54	0.78
204207_s_at	RNGTT	0.009794	RNA guanylyltransferase and 5-phosphatase	mRNA capping	nucleic acid binding	nucleus			-0.74	-0.53	0.63	0.46	0.2
204219_s_at	PSMC1	0.042133	proteasome (prosome, macropain) 26S subunit, ATPase, 1				Proteasome_Degradation	GENMAPP/KEGG	-0.52	-0.29	0.5	0.3	0.02
204235_s_at	GULP1	0.016295	GULP, engulfment adaptor PTB domain containing 1	phagocytosis, engulfment	signal transducer activity				-1.08	-1.26	0.93	1.25	0.21
204252_at	CDK2	0.037451	cyclin-dependent kinase 2	G2/M transition of mitotic cell cycle	protein serine/threonine kinase activity	nucleus	Cell_cycle	GENMAPP/KEGG	-0.94	-1.4	0.45	0.29	1.56
204285_s_at	PMAIP1	0.010185	phorbol-12-myristate-13-acetate-induced protein 1						-0.96	-0.68	0.76	0.69	0.23
204378_at	BCAS1	0.011513	breast carcinoma amplified sequence 1						-1.33	-0.57	0.59	0.66	0.8
204465_s_at	INA	0.021746	internexin neuronal intermediate filament protein, alpha	neurogenesis	structural constituent of cytoskeleton	neurofilament			-0.81	-0.61	0.2	0.87	0.36
204471_at	GAP43	0.048653	growth associated protein 43	regulation of cell growth	calmodulin binding	membrane			-1.28	-1.31	0.78	-0.04	1.72
204476_s_at	PC	0.019065	pyruvate carboxylase	gluconeogenesis	pyruvate carboxylase activity	mitochondrion	Citrate cycle (TCA cycle)	GENMAPP/KEGG	-0.64	-1.77	0.7	1.19	0.86
204492_at	ARHGAP11A	0.008325	similar to human GTPase-activating protein						-1.08	-0.56	0.73	0.43	0.57
204603_at	EXO1	0.00612	exonuclease 1	DNA repair	DNA binding				-1.12	-0.84	0.97	0.4	0.65
204625_s_at	ITGB3	0.049394	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	cell-matrix adhesion	receptor activity	integrin complex	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-0.5	-1.41	1.24	0.38	0.37
204651_at	NRF1	0.007328	nuclear respiratory factor 1	energy pathways	transcription factor activity	nucleus			-0.56	-0.31	0.36	0.21	0.31
204652_s_at	NRF1	0.035634	nuclear respiratory factor 1	energy pathways	transcription factor activity	nucleus			-0.34	-0.37	0.1	0.48	0.12
204740_at	CNKSR1	2.60E-05	connector enhancer of kinase suppressor of Ras 1		protein binding	membrane			-1.25	-1.39	0.95	0.95	0.95
204743_at	NP_25	0.036204	neuronal protein	central nervous system development					-0.87	-1.12	0.22	1.33	0.4
204803_s_at	RRAD	0.029749	Ras-related associated with diabetes	small GTPase mediated signal transduction	GTPase activity				-0.63	-0.36	0.05	0.45	0.5
204825_at	MELK	0.002762	maternal embryonic leucine zipper kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.83	-1.02	0.4	0.73	0.79
204895_x_at	MUC4	0.033956	mucin 4, tracheobronchial	cell-matrix adhesion	ErbB-2 class receptor binding	integral to plasma membrane			-0.66	-1.06	1.05	0.1	0.58
204925_at	CTNS	0.005443	cystinosis, nephropathic	amino acid metabolism	L-cystine transporter activity	lysosomal membrane			-0.83	-0.85	0.78	0.66	0.28
204934_s_at	HPN	0.001058	hepsin (transmembrane protease, serine 1)	proteolysis and peptidolysis	chymotrypsin activity	integral to plasma membrane			-0.55	-0.6	0.34	0.32	0.5
204935_at	PTPN2	0.004096	protein tyrosine phosphatase, non-receptor type 2	protein amino acid dephosphorylation	protein tyrosine phosphatase activity				-1.24	-1.15	1.08	0.98	0.45
204956_at	MTAP	0.015316	methylthioadenosine phosphorylase	nucleobase, nucleoside, nucleotide and nucleic acid metabolism	phosphorylase activity				-1.11	-1.32	0.71	1.4	0.35
205032_at	ITGA2	0.028273					Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-0.97	-0.89	0.78	0.04	1.04
205105_at	MAN2A1	0.035897	mannosidase, alpha, class 2A, member 1	carbohydrate metabolism	alpha-mannosidase activity	membrane fraction	N-Glycans biosynthesis	GENMAPP/KEGG	-0.46	-0.33	0.19	0.52	0.07
205115_s_at	RBM19	0.025975	RNA binding motif protein 19		RNA binding				-0.44	-1.3	0.37	0.84	0.67
205133_s_at	HSPE1	0.027201	heat shock 10kDa protein 1 (chaperonin 10)						-1.01	-1.39	0.34	0.53	1.52
205171_at	PTPN4	0.004481	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	protein amino acid dephosphorylation	non-membrane spanning protein tyrosine phosphatase activity	cytoskeleton			-1.26	-1.19	1.23	0.52	0.82
205187_at	SMAD5	0.008244	SMAD, mothers against DPP homolog 5 (Drosophila)	regulation of transcription, DNA-dependent	receptor signaling protein activity	nucleus	TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	-0.45	-0.95	0.5	0.49	0.47
205190_at	PLS1	0.008156	plastin 1 (I isoform)		structural constituent of cytoskeleton	brush border			-1.16	-1.21	0.44	1.28	0.72
205366_s_at	HOXB6	0.040787	homeo box B6	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-1.27	-0.75	-0.01	0.92	1.12
205405_at	SEMA5A	0.004446	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	cell adhesion	receptor activity	integral to membrane			-1.01	-1.16	0.84	1.01	0.41
205433_at	BCHE	0.011791	butyrylcholinesterase	cocaine metabolism	beta-amyloid binding	extracellular			-1.43	-1.24	0.88	1.48	0.4
205440_s_at	NPY1R	0.038923	neuropeptide Y receptor Y1	G-protein signaling, coupled to cyclic nucleotide second messenger	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-0.64	-1.19	1.18	0.49	0.18
205457_at	C6orf106	0.036418	chromosome 6 open reading frame 106						-0.75	-0.24	0.54	0.23	0.24
205461_at	RAB35	0.03493	RAB35, member RAS oncogene family	small GTPase mediated signal transduction	GTPase activity				-1.58	-0.81	1.54	0.5	0.41
205521_at	ENDOGL1	0.030506	endonuclease G-like 1		nucleic acid binding				-0.69	-0.31	0.09	0.43	0.49
205612_at	MMRN1	0.017184	multimerin 1	cell adhesion					-0.52	-1.36	0.6	0.57	0.86
205616_at	---	0.02025	CDNA FLJ25134 fis, clone CBR06934						-1.55	-1.49	0.16	1.49	1.45
205622_at	SMPD2	0.028134	sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)	sphingomyelin metabolism	magnesium ion binding	integral to plasma membrane			-1.1	-0.4	0.54	0.76	0.27
205690_s_at	G10	0.042845	maternal G10 transcript	regulation of transcription from Pol II promoter	transcription factor activity	nucleus			-0.55	-1.12	0.13	0.49	1.07
205714_s_at	ZMYND10	0.005428	zinc finger, MYND domain containing 10						-1.62	-1.29	0.54	1.23	1.33
205718_at	ITGB7	0.001704	integrin, beta 7	cell-matrix adhesion	receptor activity	integrin complex	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-1.44	-1.6	1.01	1.45	0.83
205744_at	DOC2A	0.048012	double C2-like domains, alpha	transport	transporter activity	synaptic vesicle			-0.76	-1.31	1.11	1.05	-0.07
205749_at	CYP1A1	0.046592	cytochrome P450, family 1, subfamily A, polypeptide 1	electron transport	monooxygenase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	-1.28	-0.71	0.78	0	1.21
205761_s_at	PP35	0.007152	protein similar to E.coli yhdg and R. capsulatus nifR3	tRNA processing	oxidoreductase activity				-0.44	-0.5	0.15	0.33	0.47
205790_at	SCAP1	0.024626	src family associated phosphoprotein 1	immune response	protein-tyrosine kinase activity				-0.61	-1	0.12	0.87	0.64
205822_s_at	HMGCS1	0.001254	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	acetyl-CoA metabolism	hydroxymethylglutaryl-CoA synthase activity	soluble fraction	Cholesterol_Biosynthesis	GENMAPP/KEGG	-1.09	-1.35	0.72	0.79	1.09
205848_at	GAS2	0.009736	growth arrest-specific 2	cellular morphogenesis		cytoskeleton			-1.27	-1.57	0.52	0.89	1.56
205866_at	FCN3	0.01747							-1.08	-0.9	0.33	1.19	0.48
205947_s_at	VIPR2	0.045308	vasoactive intestinal peptide receptor 2	signal transduction	G-protein coupled receptor activity	integral to plasma membrane	GPCRs_Class_B_Secretin-like	GENMAPP/KEGG	-0.35	-0.78	0.11	0.73	0.3
205987_at	CD1C	0.03398	CD1C antigen, c polypeptide	antimicrobial humoral response (sensu Vertebrata)		integral to plasma membrane			-0.68	-0.37	0.22	0.66	0.16
206052_s_at	SLBP	0.030958	stem-loop (histone) binding protein	histone mRNA 3-end processing	mRNA binding	nucleus			-0.8	-0.92	0.59	0.06	1.05
206085_s_at	CTH	0.002865	cystathionase (cystathionine gamma-lyase)	amino acid metabolism	cystathionine gamma-lyase activity		Methionine metabolism	GENMAPP/KEGG	-1.58	-1.48	0.67	1.21	1.42
206118_at	STAT4	0.028555	signal transducer and activator of transcription 4	regulation of transcription from Pol II promoter	transcription factor activity	nucleus			-1.2	-0.95	0.08	1.25	0.83
206121_at	AMPD1	0.046958	adenosine monophosphate deaminase 1 (isoform M)	nucleotide metabolism	AMP deaminase activity		Purine metabolism	GENMAPP/KEGG	-0.74	-0.36	0.31	0.07	0.72
206125_s_at	KLK8	0.010941	kallikrein 8 (neuropsin/ovasin)	proteolysis and peptidolysis	chymotrypsin activity				-0.73	-0.92	0.33	0.44	0.92
206127_at	ELK3	0.028271	ELK3, ETS-domain protein (SRF accessory protein 2)	regulation of transcription from Pol II promoter	transcription factor activity	nucleus			-0.17	-0.51	0.28	0.13	0.28
206176_at	BMP6	0.0143	bone morphogenetic protein 6	skeletal development	cytokine activity				-0.76	-0.53	0.21	0.71	0.38
206188_at	ZNF623	0.00288	zinc finger protein 623	regulation of transcription, DNA-dependent	DNA binding	nucleus			-1.35	-1.58	1.23	0.64	1.29
206209_s_at	CA4	0.015874	carbonic anhydrase IV	one-carbon compound metabolism	carbonate dehydratase activity	membrane fraction	Nitrogen metabolism	GENMAPP/KEGG	-0.49	-0.78	0.26	0.32	0.71
206223_at	LMTK2	0.043908	lemur tyrosine kinase 2	autophosphorylation	protein serine/threonine kinase activity	integral to membrane			-1.52	-1.38	0.24	0.49	1.97
206274_s_at	CROCC	0.0158	ciliary rootlet coiled-coil, rootletin						-0.67	-0.81	0.39	0.87	0.24
206311_s_at	PLA2G1B	0.045588	phospholipase A2, group IB (pancreas)	actin filament organization	phospholipase A2 activity		Glycerolipid metabolism	GENMAPP/KEGG	-1.47	-1.4	0.4	0.29	1.97
206318_at	SPINLW1	0.044012	serine protease inhibitor-like, with Kunitz and WAP domains 1 (eppin)		serine-type endopeptidase inhibitor activity				-0.41	-1.07	0.84	0.6	0.1
206322_at	SYN3	0.032272	synapsin III	neurotransmitter secretion	ATP binding	synaptic vesicle			-1.28	-1.14	0.51	0.26	1.59
206412_at	FER	0.043225	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	protein amino acid phosphorylation	protein-tyrosine kinase activity	nucleus			-1.32	-1.52	1.86	0.84	0.02
206427_s_at	MLANA	0.036531	melan-A			integral to plasma membrane			-0.81	-1.41	0.54	0.26	1.44
206458_s_at	WNT2B	0.025718	wingless-type MMTV integration site family, member 2B	protein folding	signal transducer activity	extracellular space	Wnt_signaling	GENMAPP/KEGG	-0.59	-1.49	0.88	1.03	0.34
206462_s_at	NTRK3	0.043015	neurotrophic tyrosine kinase, receptor, type 3	protein amino acid phosphorylation	transmembrane receptor protein tyrosine kinase activity	integral to plasma membrane			-0.12	-0.22	0.11	0.22	0.01
206475_x_at	CSH1	0.014122							-0.67	-0.77	0.13	0.63	0.69
206484_s_at	XPNPEP2	0.032558	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound	proteolysis and peptidolysis	metalloexopeptidase activity	membrane			-1.05	-0.6	0.09	0.95	0.63
206535_at	SLC2A2	0.033128	solute carrier family 2 (facilitated glucose transporter), member 2	carbohydrate metabolism	transporter activity	membrane fraction			-0.48	-0.59	0	0.48	0.59
206573_at	KCNQ3	0.01785	potassium voltage-gated channel, KQT-like subfamily, member 3	cation transport	voltage-gated potassium channel activity	membrane fraction			-0.82	-1.48	0.33	0.88	1.21
206577_at	VIP	0.031106	vasoactive intestinal peptide	muscle contraction	hormone activity	extracellular			-0.67	-0.79	0.17	0.32	0.96
206646_at	GLI	0.048492	glioma-associated oncogene homolog (zinc finger protein)	regulation of transcription from Pol II promoter	DNA binding	nucleus			-0.59	-1.37	0.22	0.48	1.3
206692_at	KCNJ10	0.015594	potassium inwardly-rectifying channel, subfamily J, member 10	ion transport	voltage-gated ion channel activity	integral to plasma membrane			-1.37	-1.26	0.59	1.57	0.5
206728_at	ECE2	0.008194	endothelin converting enzyme 2	proteolysis and peptidolysis	neprilysin activity	integral to membrane			-1.42	-0.73	0.83	0.94	0.56
206758_at	EDN2	0.042125	endothelin 2	transmembrane receptor protein tyrosine kinase signaling pathway	growth factor activity	extracellular			-0.8	-0.62	-0.05	0.79	0.68
206760_s_at	FCER2	0.049488	Fc fragment of IgE, low affinity II, receptor for (CD23A)		receptor activity	integral to plasma membrane			-0.41	-0.49	0.04	0.64	0.22
206811_at	ADCY8	0.0414	adenylate cyclase 8 (brain)	cAMP biosynthesis	magnesium ion binding	membrane fraction	Purine metabolism	GENMAPP/KEGG	-0.47	-0.72	0	0.47	0.72
206835_at	STATH	0.042945	KIAA0097 gene product						-0.83	-1.53	0.57	0.23	1.57
206923_at	PRKCA	0.035667	protein kinase C, alpha	regulation of cell cycle	protein kinase C activity	membrane fraction	Phosphatidylinositol signaling system	GENMAPP/KEGG	-1.17	-0.84	1	1.02	-0.01
206939_at	DCC	0.037826	deleted in colorectal carcinoma	induction of apoptosis	transmembrane receptor activity	integral to plasma membrane			-0.84	-0.68	0.04	0.49	0.98
206954_at	WIT-1	0.007642	Wilms tumor associated protein	cell proliferation					-1.72	-1.86	0.8	1.98	1.01
206985_at	HSD17B3	0.007099	hydroxysteroid (17-beta) dehydrogenase 3	steroid biosynthesis	estradiol 17-beta-dehydrogenase activity	microsome	Androgen and estrogen metabolism	GENMAPP/KEGG	-1.12	-0.57	0.53	0.7	0.54
207071_s_at	ACO1	0.006936	aconitase 1, soluble	tricarboxylic acid cycle	RNA binding	cytoplasm	Citrate cycle (TCA cycle)	GENMAPP/KEGG	-0.57	-0.53	0.52	0.16	0.43
207119_at	PRKG1	0.03526	protein kinase, cGMP-dependent, type I	protein amino acid phosphorylation	protein serine/threonine kinase activity	cAMP-dependent protein kinase complex	Phosphatidylinositol signaling system	GENMAPP/KEGG	-1.11	-1.11	1.31	0.9	-0.01
207152_at	NTRK2	0.013668	neurotrophic tyrosine kinase, receptor, type 2	protein amino acid phosphorylation	transmembrane receptor protein tyrosine kinase activity	integral to plasma membrane			-0.85	-0.55	0.21	0.48	0.74
207199_at	TERT	0.01821	telomerase reverse transcriptase	RNA-dependent DNA replication	DNA binding	chromosome, telomeric region			-0.41	-0.83	0.36	0.25	0.65
207244_x_at	CYP2A6	0.004022	cytochrome P450, family 2, subfamily A, polypeptide 6	electron transport	coumarin 7-hydroxylase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	-0.98	-0.88	0.74	0.83	0.35
207260_at	FEV	0.002671	FEV (ETS oncogene family)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.51	-0.69	0.53	0.39	0.3
207351_s_at	SH2D2A	0.016325	SH2 domain protein 2A	angiogenesis					-0.7	-1.62	1.2	0.65	0.7
207352_s_at	GABRB2	0.00142	gamma-aminobutyric acid (GABA) A receptor, beta 2	ion transport	GABA-A receptor activity	integral to plasma membrane			-1.45	-1.39	0.7	1.25	1.1
207367_at	ATP12A	0.022353	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	potassium ion transport	magnesium ion binding	hydrogen:potassium-exchanging ATPase complex			-1.09	-1.36	0.17	0.92	1.4
207399_at	BFSP2	0.038192	beaded filament structural protein 2, phakinin	visual perception	structural constituent of cytoskeleton	cytoskeleton			-1.5	-1.54	-0.08	1.72	1.35
207406_at	CYP7A1	0.041909	cytochrome P450, family 7, subfamily A, polypeptide 1	electron transport	monooxygenase activity	endoplasmic reticulum	Bile acid biosynthesis	GENMAPP/KEGG	-0.57	-1.55	1.13	0.17	0.98
207445_s_at	CCR9	0.023559	chemokine (C-C motif) receptor 9	chemotaxis	rhodopsin-like receptor activity	integral to plasma membrane			-0.63	-0.41	0.56	0.42	0.07
207491_at	MOGAT2	0.030084	monoacylglycerol O-acyltransferase 2		acyltransferase activity				-0.85	-1.45	0.15	0.87	1.34
207501_s_at	FGF12	0.039576	fibroblast growth factor 12						-0.36	-1.05	0.62	0.71	0.14
207504_at	CA7	0.015748	carbonic anhydrase VII	one-carbon compound metabolism	carbonate dehydratase activity		Nitrogen metabolism	GENMAPP/KEGG	-1.41	-1.6	1.24	0.27	1.59
207507_s_at	ATP5G3	0.031242	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	energy pathways	transporter activity	membrane fraction	Electron_Transport_Chain	GENMAPP/KEGG	-0.31	-1.01	0.54	0.25	0.59
207526_s_at	IL1RL1	0.043572	interleukin 1 receptor-like 1	signal transduction	transmembrane receptor activity	integral to membrane			-1.01	-1.74	1.6	1.21	-0.01
