Probe Set	Gene Symbol	Pearson Correlation Coefficient	P-value
201012_at	ANXA1	0.54	6.11E-04
213503_x_at	ANXA2	0.57	2.61E-04
210427_x_at	ANXA2	0.58	1.59E-04
201590_x_at	ANXA2	0.59	1.41E-04
211241_at	ANXA2P1	0.54	4.24E-04
208816_x_at	ANXA2P1	0.55	3.41E-04
222715_s_at	AP1GBP1	0.54	4.64E-04
230413_s_at	AP1S2	0.52	8.02E-04
203300_x_at	AP1S2	0.58	1.53E-04
230264_s_at	AP1S2	0.59	8.22E-05
230925_at	APBB1IP	0.63	1.92E-05
221492_s_at	APG3	0.62	3.75E-05
224025_s_at	APG7L	0.70	9.00E-07
38149_at	ARHGAP25	0.52	8.62E-04
204882_at	ARHGAP25	0.54	4.51E-04
226906_s_at	ARHGAP9	0.58	1.77E-04
1552691_at	ARL11	0.57	2.46E-04
205020_s_at	ARL4A	0.53	7.91E-04
202208_s_at	ARL7	0.54	4.24E-04
1555797_a_at	ARPC5	0.61	5.59E-05
211963_s_at	ARPC5	0.68	3.40E-06
203388_at	ARRB2	0.52	9.39E-04
224797_at	ARRDC3	0.61	8.69E-05
213702_x_at	ASAH1	0.52	8.08E-04
221666_s_at	ASC	0.55	4.74E-04
209135_at	ASPH	0.59	2.14E-04
212672_at	ATM	0.55	3.52E-04
210149_s_at	ATP5H	0.53	6.99E-04
200096_s_at	ATP6V0E	0.51	9.72E-04
214150_x_at	ATP6V0E	0.52	8.47E-04
201172_x_at	ATP6V0E	0.57	2.54E-04
201089_at	ATP6V1B2	0.67	7.00E-06
202874_s_at	ATP6V1C1	0.57	1.64E-04
214575_s_at	AZU1	0.64	6.47E-05
202391_at	BASP1	0.55	4.46E-04
202030_at	BCKDK	0.60	7.83E-05
205681_at	BCL2A1	0.64	1.58E-05
203278_s_at	BHC80	0.65	8.90E-06
227143_s_at	BID	0.51	9.40E-04
203771_s_at	BLVRA	0.54	4.67E-04
223376_s_at	BRI3	0.56	2.30E-04
205715_at	BST1	0.59	1.11E-04
202096_s_at	BZRP	0.52	7.92E-04
230259_at	C10orf125	0.57	1.77E-04
202878_s_at	C1QR1	0.58	4.27E-04
202877_s_at	C1QR1	0.65	1.02E-05
226607_at	C20orf194	0.53	5.82E-04
209906_at	C3AR1	0.64	1.55E-05
222735_at	C9orf87	0.53	8.94E-04
218772_x_at	C9orf87	0.57	2.88E-04
219714_s_at	CACNA2D3	0.57	2.51E-04
1552690_a_at	CACNA2D4	0.63	2.31E-05
212948_at	CAMTA2	0.71	5.00E-07
208683_at	CAPN2	0.65	1.06E-05
1552553_a_at	CARD12	0.57	2.42E-04
220066_at	CARD15	0.53	7.59E-04
228641_at	CARD8	0.64	1.74E-05
211366_x_at	CASP1	0.69	1.40E-06
206011_at	CASP1	0.69	2.50E-06
211368_s_at	CASP1	0.70	8.00E-07
209970_x_at	CASP1	0.70	1.30E-06
1552703_s_at	CASP1	0.70	1.10E-06
211367_s_at	CASP1	0.71	1.10E-06
212586_at	CAST	0.55	3.58E-04
207467_x_at	CAST	0.67	5.00E-06
208908_s_at	CAST	0.67	4.90E-06
216903_s_at	CBARA1	0.53	6.81E-04
225231_at	CBL	0.52	9.27E-04
209924_at	CCL18	0.53	7.02E-04
203416_at	CD53	0.57	2.06E-04
216942_s_at	CD58	0.55	3.94E-04
216322_at	CD58	0.56	2.41E-04
205173_x_at	CD58	0.61	9.03E-05
210895_s_at	CD86	0.57	1.75E-04
34210_at	CDW52	0.52	8.81E-04
34206_at	CENTD2	0.62	3.04E-05
212516_at	CENTD2	0.69	3.20E-06
204193_at	CHKB	0.58	1.48E-04
203518_at	CHS1	0.68	4.70E-06
226017_at	CKLFSF7	0.58	1.48E-04
1555214_a_at	CLECSF12	0.53	7.01E-04
221698_s_at	CLECSF12	0.53	5.92E-04
221042_s_at	CLMN	0.54	6.22E-04
200742_s_at	CLN2	0.53	9.54E-04
200743_s_at	CLN2	0.57	1.82E-04
208792_s_at	CLU	0.53	7.62E-04
208791_at	CLU	0.63	4.88E-05
207270_x_at	CMRF35	0.54	4.40E-04
217078_s_at	CMRF-35H	0.54	6.35E-04
209933_s_at	CMRF-35H	0.64	1.33E-05
201943_s_at	CPD	0.51	9.49E-04
201940_at	CPD	0.52	8.33E-04
202119_s_at	CPNE3	0.65	1.57E-05
228365_at	CPNE8	0.58	1.71E-04
241706_at	CPNE8	0.61	5.57E-05
222156_x_at	CPR8	0.54	4.09E-04
208146_s_at	CPVL	0.59	1.33E-04
201990_s_at	CREBL2	0.57	1.71E-04
201988_s_at	CREBL2	0.59	8.19E-05
206914_at	CRTAM	0.64	1.40E-05
1555889_a_at	CRTAP	0.53	6.64E-04
203104_at	CSF1R	0.70	2.10E-06
211287_x_at	CSF2RA	0.61	5.16E-05
203591_s_at	CSF3R	0.63	2.70E-05
1553297_a_at	CSF3R	0.66	7.30E-06
211571_s_at	CSPG2	0.53	6.32E-04
201360_at	CST3	0.57	2.16E-04
204971_at	CSTA	0.55	3.02E-04
201201_at	CSTB	0.65	9.00E-06
210554_s_at	CTBP2	0.56	2.80E-04
218923_at	CTBS	0.54	4.18E-04
218924_s_at	CTBS	0.54	5.00E-04
200765_x_at	CTNNA1	0.58	1.17E-04
200764_s_at	CTNNA1	0.61	4.08E-05
210844_x_at	CTNNA1	0.62	2.97E-05
200839_s_at	CTSB	0.53	7.02E-04
200766_at	CTSD	0.58	1.40E-04
202295_s_at	CTSH	0.54	4.56E-04
1563445_x_at	CTSL	0.56	4.01E-04
202902_s_at	CTSS	0.52	9.01E-04
202901_x_at	CTSS	0.56	2.20E-04
227981_at	CYB561D1	0.61	4.04E-05
203922_s_at	CYBB	0.54	6.39E-04
203799_at	DCL-1	0.61	8.22E-05
222239_s_at	DDX26	0.55	3.83E-04
202447_at	DECR1	0.53	5.91E-04
205382_s_at	DF	0.60	5.92E-05
203669_s_at	DGAT1	0.58	1.41E-04
217794_at	DKFZP564J157	0.52	8.16E-04
91703_at	DKFZp762C186	0.53	6.86E-04
221755_at	DKFZp762C186	0.54	4.04E-04
224611_s_at	DNAJC5	0.56	3.29E-04
224612_s_at	DNAJC5	0.63	2.29E-05
224825_at	DNTTIP1	0.58	1.44E-04
223763_at	DTNBP1	0.53	6.86E-04
201537_s_at	DUSP3	0.60	7.47E-05
208891_at	DUSP6	0.60	5.82E-05
208892_s_at	DUSP6	0.61	4.36E-05
208893_s_at	DUSP6	0.63	2.65E-05
219551_at	EAF2	0.54	4.42E-04
204858_s_at	ECGF1	0.59	1.18E-04
222483_at	EFHD2	0.56	2.79E-04
208726_s_at	EIF2S2	0.52	8.44E-04
222262_s_at	EKI1	0.55	3.03E-04
221773_at	ELK3	0.54	6.28E-04
224374_s_at	EMILIN2	0.61	5.29E-05
201719_s_at	EPB41L2	0.57	3.12E-04
211776_s_at	EPB41L3	0.54	5.22E-04
212681_at	EPB41L3	0.54	6.04E-04
225750_at	ERO1L	0.59	1.15E-04
1553352_x_at	ERVWE1	0.54	4.44E-04
205530_at	ETFDH	0.56	3.86E-04
204774_at	EVI2A	0.80	< 1e-07
211742_s_at	EVI2B	0.63	2.04E-05
213526_s_at	F25965	0.54	5.26E-04
225032_at	FAD104	0.56	2.29E-04
218618_s_at	FAD104	0.63	2.88E-05
209696_at	FBP1	0.52	8.63E-04
207674_at	FCAR	0.53	7.73E-04
204232_at	FCER1G	0.54	5.09E-04
1554899_s_at	FCER1G	0.58	1.65E-04
216950_s_at	FCGR1A	0.58	1.47E-04
214511_x_at	FCGR1A	0.59	1.22E-04
230559_x_at	FGD4	0.54	4.55E-04
227948_at	FGD4	0.55	5.50E-04
208438_s_at	FGR	0.67	4.60E-06
204236_at	FLI1	0.59	2.23E-04
225883_at	FLJ00012	0.57	4.32E-04
239135_at	FLJ11151	0.59	1.43E-04
218610_s_at	FLJ11151	0.60	7.64E-05
201818_at	FLJ12443	0.65	1.35E-05
208919_s_at	FLJ13052	0.53	7.14E-04
208918_s_at	FLJ13052	0.68	3.30E-06
213607_x_at	FLJ13052	0.70	1.30E-06
218029_at	FLJ13725	0.60	8.59E-05
218109_s_at	FLJ14153	0.67	3.90E-06
225316_at	FLJ14490	0.54	5.45E-04
235385_at	FLJ20668	0.53	6.06E-04
219574_at	FLJ20668	0.61	5.20E-05
226425_at	FLJ21069	0.54	5.78E-04
219202_at	FLJ22341	0.66	7.10E-06
233085_s_at	FLJ22833	0.64	7.09E-05
224779_s_at	FLJ22875	0.54	9.10E-04
226077_at	FLJ31951	0.56	5.34E-04
238063_at	FLJ32028	0.60	6.55E-05
238429_at	FLJ33069	0.68	3.40E-06
228937_at	FLJ38725	0.53	7.38E-04
208749_x_at	FLOT1	0.52	8.61E-04
219806_s_at	FN5	0.64	1.66E-05
209093_s_at	GBA	0.55	4.18E-04
204224_s_at	GCH1	0.53	6.30E-04
210658_s_at	GGA2	0.54	6.34E-04
211416_x_at	GGT1	0.51	9.62E-04
214681_at	GK	0.55	3.76E-04
214430_at	GLA	0.60	9.55E-05
204222_s_at	GLIPR1	0.58	1.76E-04
235678_at	GM2A	0.54	4.29E-04
35820_at	GM2A	0.55	3.19E-04
218913_s_at	GMIP	0.62	3.84E-05
202382_s_at	GNPDA1	0.74	1.00E-07
212334_at	GNS	0.61	5.10E-05
212335_at	GNS	0.70	1.20E-06
1554018_at	GPNMB	0.61	4.18E-05
205220_at	GPR109B	0.63	3.41E-05
214847_s_at	GPSM3	0.55	3.00E-04
212090_at	GRINA	0.55	3.30E-04
228754_at	GRIP2	0.67	4.00E-06
216041_x_at	GRN	0.56	2.33E-04
200678_x_at	GRN	0.57	1.80E-04
211284_s_at	GRN	0.58	1.94E-04
201673_s_at	GYS1	0.53	7.69E-04
212873_at	HA-1	0.64	1.85E-05
1555628_a_at	HAVCR2	0.64	1.82E-05
208018_s_at	HCK	0.62	3.10E-05
202957_at	HCLS1	0.61	5.04E-05
203430_at	HEBP2	0.52	7.61E-04
201944_at	HEXB	0.68	2.50E-06
226364_at	HIP1	0.57	2.51E-04
228772_at	HNMT	0.52	8.03E-04
211732_x_at	HNMT	0.57	1.64E-04
204112_s_at	HNMT	0.60	7.49E-05
36030_at	HOM-TES-103	0.53	6.68E-04
214651_s_at	HOXA9	0.55	3.33E-04
212552_at	HPCAL1	0.53	5.89E-04
218092_s_at	HRB	0.51	9.65E-04
200942_s_at	HSBP1	0.64	1.43E-05
200799_at	HSPA1A	0.56	8.73E-04
201841_s_at	HSPB1	0.54	9.14E-04
207180_s_at	HTATIP2	0.53	6.32E-04
209448_at	HTATIP2	0.57	2.30E-04
204683_at	ICAM2	0.59	1.06E-04
213620_s_at	ICAM2	0.59	1.71E-04
201631_s_at	IER3	0.52	8.88E-04
201422_at	IFI30	0.53	9.28E-04
201642_at	IFNGR2	0.61	4.20E-05
201393_s_at	IGF2R	0.52	7.90E-04
212827_at	IGHM	0.60	1.16E-04
206420_at	IGSF6	0.58	1.16E-04
227295_at	IKIP	0.56	4.74E-04
209575_at	IL10RB	0.69	1.70E-06
39402_at	IL1B	0.52	7.22E-04
226333_at	IL6R	0.69	1.90E-06
201234_at	ILK	0.56	2.83E-04
208594_x_at	ILT8	0.58	1.19E-04
202794_at	INPP1	0.55	4.35E-04
210840_s_at	IQGAP1	0.53	7.40E-04
220034_at	IRAK3	0.59	9.79E-05
210184_at	ITGAX	0.62	3.06E-05
203337_x_at	ITGB1BP1	0.56	4.79E-04
202803_s_at	ITGB2	0.54	5.36E-04
213146_at	JMJD3	0.52	9.27E-04
41386_i_at	JMJD3	0.57	2.16E-04
227647_at	KCNE3	0.63	4.25E-05
200700_s_at	KDELR2	0.58	1.87E-04
76897_s_at	KIAA0674	0.51	9.94E-04
212314_at	KIAA0746	0.52	8.60E-04
212311_at	KIAA0746	0.56	3.39E-04
204157_s_at	KIAA0999	0.64	1.84E-05
225922_at	KIAA1450	0.53	6.99E-04
229173_at	KIAA1715	0.52	7.44E-04
218755_at	KIF20A	0.55	3.95E-04
220266_s_at	KLF4	0.57	1.71E-04
1552486_s_at	LACTB	0.52	7.69E-04
210644_s_at	LAIR1	0.67	5.30E-06
228762_at	LFNG	0.58	1.56E-04
201105_at	LGALS1	0.57	3.64E-04
211100_x_at	LILRA1	0.56	3.10E-04
207857_at	LILRA2	0.53	6.81E-04
211101_x_at	LILRA2	0.55	3.95E-04
211102_s_at	LILRA2	0.58	1.48E-04
206881_s_at	LILRA3	0.56	2.23E-04
210146_x_at	LILRB2	0.54	5.05E-04
207697_x_at	LILRB2	0.60	8.10E-05
210152_at	LILRB4	0.61	4.44E-05
1555643_s_at	LIR9	0.52	7.45E-04
220132_s_at	LLT1	0.53	7.14E-04
225808_at	LOC124512	0.55	4.65E-04
226329_s_at	LOC129531	0.65	3.56E-05
212934_at	LOC137886	0.67	8.20E-06
1557049_at	LOC149478	0.62	3.06E-05
225618_at	LOC201176	0.59	1.15E-04
1557411_s_at	LOC203427	0.58	1.43E-04
226219_at	LOC257106	0.58	1.34E-04
238756_at	LOC283431	0.54	4.60E-04
227466_at	LOC285550	0.54	4.93E-04
225599_s_at	LOC286144	0.63	2.42E-05
226395_at	LOC286170	0.57	1.64E-04
212708_at	LOC339287	0.55	3.36E-04
224932_at	LOC400916	0.80	< 1e-07
223335_at	LOC51249	0.63	6.05E-05
240061_at	LOC54103	0.55	3.16E-04
213142_x_at	LOC54103	0.60	1.20E-04
205036_at	LSM6	0.58	1.82E-04
215633_x_at	LST1	0.60	7.73E-05
214574_x_at	LST1	0.60	5.87E-05
211582_x_at	LST1	0.61	7.13E-05
210629_x_at	LST1	0.61	5.26E-05
211581_x_at	LST1	0.61	6.31E-05
214181_x_at	LST1	0.61	5.44E-05
208771_s_at	LTA4H	0.73	5.00E-07
203005_at	LTBR	0.55	3.67E-04
200901_s_at	M6PR	0.58	1.35E-04
209166_s_at	MAN2B1	0.56	2.31E-04
213045_at	MAST3	0.53	6.98E-04
202484_s_at	MBD2	0.64	1.38E-05
1553978_at	MEF2B	0.56	2.56E-04
209199_s_at	MEF2C	0.63	4.09E-05
201126_s_at	MGAT1	0.58	1.37E-04
239824_s_at	MGC10744	0.53	7.09E-04
224480_s_at	MGC11324	0.66	7.00E-06
226276_at	MGC23909	0.56	4.10E-04
228532_at	MGC24133	0.62	5.47E-05
225401_at	MGC31963	0.57	2.49E-04
1558693_s_at	MGC31963	0.64	1.49E-05
226629_at	MGC34680	0.62	3.50E-05
209191_at	MGC4083	0.54	6.36E-04
218130_at	MGC4368	0.56	2.82E-04
225230_at	MGC54289	0.66	7.40E-06
209467_s_at	MKNK1	0.53	6.25E-04
203414_at	MMD	0.58	1.48E-04
204959_at	MNDA	0.59	1.33E-04
233177_s_at	MR-1	0.66	8.40E-06
225523_at	MRPL53	0.53	8.72E-04
219666_at	MS4A6A	0.56	5.13E-04
223344_s_at	MS4A7	0.55	5.67E-04
214770_at	MSR1	0.53	6.00E-04
210242_x_at	MTHFS	0.65	9.80E-06
202180_s_at	MVP	0.65	1.02E-05
1555041_a_at	NAGA	0.53	6.12E-04
202943_s_at	NAGA	0.55	3.13E-04
202944_at	NAGA	0.56	2.72E-04
218231_at	NAGK	0.59	9.02E-05
209949_at	NCF2	0.62	2.98E-05
222422_s_at	NDFIP1	0.58	1.79E-04
217800_s_at	NDFIP1	0.63	5.20E-05
206790_s_at	NDUFB1	0.55	3.03E-04
203621_at	NDUFB5	0.52	8.83E-04
223158_s_at	NEK6	0.54	4.81E-04
222774_s_at	NETO2	0.56	3.50E-04
207535_s_at	NFKB2	0.57	2.07E-04
1553043_a_at	NKIR	0.73	4.00E-07
201157_s_at	NMT1	0.52	7.80E-04
212377_s_at	NOTCH2	0.61	4.42E-05
202443_x_at	NOTCH2	0.62	3.46E-05
200701_at	NPC2	0.56	2.21E-04
240440_at	NPL	0.53	6.35E-04
202395_at	NSF	0.53	8.82E-04
207545_s_at	NUMB	0.54	5.17E-04
209073_s_at	NUMB	0.64	2.26E-05
220035_at	NUP210	0.53	9.99E-04
202155_s_at	NUP214	0.59	9.78E-05
202153_s_at	NUP62	0.56	2.23E-04
224707_at	ORF1-FL49	0.66	7.30E-06
218556_at	ORMDL2	0.56	2.81E-04
218304_s_at	OSBPL11	0.68	2.30E-06
1554503_a_at	OSCAR	0.56	2.32E-04
204479_at	OSTF1	0.65	1.21E-05
218196_at	OSTM1	0.60	5.97E-05
220001_at	PADI4	0.57	2.45E-04
209615_s_at	PAK1	0.55	3.43E-04
223562_at	PARVG	0.53	6.63E-04
243296_at	PBEF1	0.58	1.97E-04
208857_s_at	PCMT1	0.54	6.41E-04
217746_s_at	PDCD6IP	0.59	9.01E-05
202671_s_at	PDXK	0.59	9.50E-05
218018_at	PDXK	0.62	3.59E-05
200788_s_at	PEA15	0.52	7.35E-04
200787_s_at	PEA15	0.53	5.95E-04
208981_at	PECAM1	0.58	1.43E-04
208983_s_at	PECAM1	0.58	1.79E-04
244126_at	PEX11G	0.54	5.08E-04
206380_s_at	PFC	0.58	1.29E-04
200886_s_at	PGAM1	0.58	1.54E-04
213638_at	PHACTR1	0.56	4.20E-04
222689_at	PHCA	0.52	7.28E-04
212120_at	PIGF	0.71	7.00E-07
226459_at	PIK3AP1	0.55	4.79E-04
219788_at	PILRA	0.55	3.40E-04
222218_s_at	PILRA	0.57	1.90E-04
201251_at	PKM2	0.59	1.41E-04
210145_at	PLA2G4A	0.62	9.22E-05
214866_at	PLAUR	0.57	1.88E-04
204613_at	PLCG2	0.59	1.04E-04
203471_s_at	PLEK	0.54	4.04E-04
202446_s_at	PLSCR1	0.59	8.73E-05
202430_s_at	PLSCR1	0.60	9.77E-05
202996_at	POLD4	0.58	3.50E-04
217848_s_at	PP	0.61	4.34E-05
225373_at	PP2135	0.63	2.45E-05
212841_s_at	PPFIBP2	0.52	8.01E-04
241742_at	PRAM-1	0.54	5.62E-04
201494_at	PRCP	0.63	2.77E-05
201619_at	PRDX3	0.52	9.77E-04
201859_at	PRG1	0.53	8.34E-04
233748_x_at	PRKAG2	0.66	6.40E-06
200603_at	PRKAR1A	0.57	2.01E-04
200605_s_at	PRKAR1A	0.60	1.73E-04
202545_at	PRKCD	0.52	7.54E-04
219023_at	PRO0971	0.53	9.13E-04
219183_s_at	PSCD4	0.56	2.43E-04
203460_s_at	PSEN1	0.58	3.80E-04
211178_s_at	PSTPIP1	0.71	6.00E-07
202896_s_at	PTPNS1	0.55	3.78E-04
202897_at	PTPNS1	0.63	2.46E-05
202990_at	PYGL	0.53	7.02E-04
212636_at	QKI	0.72	7.00E-07
205174_s_at	QPCT	0.54	7.39E-04
217764_s_at	RAB31	0.53	7.01E-04
1555630_a_at	RAB34	0.57	1.86E-04
224710_at	RAB34	0.58	1.58E-04
211961_s_at	RAB7	0.54	5.30E-04
218700_s_at	RAB7L1	0.55	3.82E-04
218699_at	RAB7L1	0.58	1.68E-04
213603_s_at	RAC2	0.59	1.68E-04
209050_s_at	RALGDS	0.53	6.02E-04
225188_at	RAPH1	0.55	4.58E-04
212820_at	RC3	0.63	2.57E-05
202296_s_at	RER1	0.58	1.28E-04
204336_s_at	RGS19	0.58	1.18E-04
212122_at	RHOQ	0.52	8.27E-04
212117_at	RHOQ	0.59	1.08E-04
214449_s_at	RHOQ	0.61	6.89E-05
212119_at	RHOQ	0.68	2.20E-06
209684_at	RIN2	0.51	9.54E-04
201779_s_at	RNF13	0.69	1.90E-06
201780_s_at	RNF13	0.71	7.00E-07
223592_s_at	RNF135	0.65	1.12E-05
225414_at	RNF149	0.64	2.38E-05
206050_s_at	RNH	0.53	6.01E-04
206168_at	RoXaN	0.59	1.14E-04
203379_at	RPS6KA1	0.61	7.07E-05
202449_s_at	RXRA	0.52	7.92E-04
200660_at	S100A11	0.59	9.59E-05
208540_x_at	S100A11	0.60	6.06E-05
218254_s_at	SARA2	0.65	1.92E-05
200802_at	SARS	0.58	1.40E-04
225272_at	SAT2	0.55	3.46E-04
206995_x_at	SCARF1	0.54	5.97E-04
202228_s_at	SDFR1	0.53	7.50E-04
210293_s_at	SEC23B	0.58	1.27E-04
201583_s_at	SEC23B	0.61	6.54E-05
222127_s_at	SEC3L1	0.55	3.72E-04
219259_at	SEMA4A	0.58	1.57E-04
202833_s_at	SERPINA1	0.52	8.82E-04
212268_at	SERPINB1	0.54	5.32E-04
212321_at	SGPL1	0.57	1.60E-04
212322_at	SGPL1	0.72	3.00E-07
226673_at	SH2D3C	0.51	9.74E-04
1555702_a_at	SIAT6	0.52	8.83E-04
230836_at	SIAT8D	0.54	6.19E-04
242943_at	SIAT8D	0.54	5.74E-04
230261_at	SIAT8D	0.62	4.78E-05
217507_at	SLC11A1	0.52	8.90E-04
217473_x_at	SLC11A1	0.55	3.41E-04
210423_s_at	SLC11A1	0.58	1.41E-04
210422_x_at	SLC11A1	0.58	1.56E-04
218066_at	SLC12A7	0.54	5.35E-04
219593_at	SLC15A3	0.52	7.40E-04
202856_s_at	SLC16A3	0.57	2.05E-04
217691_x_at	SLC16A3	0.58	1.39E-04
202855_s_at	SLC16A3	0.59	1.11E-04
206600_s_at	SLC16A5	0.63	3.18E-05
204342_at	SLC25A24	0.61	6.65E-05
226679_at	SLC26A11	0.58	1.39E-04
204430_s_at	SLC2A5	0.61	1.11E-04
220091_at	SLC2A6	0.55	5.65E-04
203971_at	SLC31A1	0.59	1.30E-04
214830_at	SLC38A6	0.57	1.82E-04
213113_s_at	SLC43A3	0.55	3.65E-04
203076_s_at	SMAD2	0.54	5.27E-04
218404_at	SNX10	0.68	2.20E-06
202114_at	SNX2	0.56	2.24E-04
202113_s_at	SNX2	0.58	1.47E-04
223241_at	SNX8	0.53	9.76E-04
227716_at	SOC	0.59	1.10E-04
217827_s_at	SPG21	0.57	2.32E-04
226353_at	SPPL2A	0.56	2.48E-04
222411_s_at	SSR3	0.57	2.48E-04
38487_at	STAB1	0.55	4.18E-04
204150_at	STAB1	0.57	2.04E-04
201331_s_at	STAT6	0.67	9.30E-06
40420_at	STK10	0.54	6.37E-04
212111_at	STX12	0.63	3.35E-05
203530_s_at	STX4A	0.52	7.49E-04
212459_x_at	SUCLG2	0.66	1.42E-05
215772_x_at	SUCLG2	0.66	2.63E-05
214835_s_at	SUCLG2	0.67	8.90E-06
202565_s_at	SVIL	0.56	3.78E-04
201079_at	SYNGR2	0.56	2.64E-04
229723_at	TAGAP	0.54	8.97E-04
209451_at	TANK	0.57	1.92E-04
212350_at	TBC1D1	0.57	2.01E-04
222173_s_at	TBC1D2	0.61	7.14E-05
212685_s_at	TBL2	0.54	6.92E-04
