Probe Set	Name	Symbol	WBC?Day3 R	WBC?Day3 P	WBC?Day3 FDR	WBC?Day3 adj. for MTXPG R	WBC?Day3 adj. for MTXPG p
221602_s_at	Fas apoptotic inhibitory molecule 3	FAIM3	0.32	4.00E-05	1.00E-02	0.25	3.00E-03
218699_at	RAB7, member RAS oncogene family-like 1	RAB7L1	0.31	5.00E-05	1.00E-02	0.39	3.00E-06
211528_x_at	HLA-G histocompatibility antigen, class I, G	HLA-G	0.31	5.00E-05	1.00E-02	0.36	2.00E-05
212022_s_at	antigen identified by monoclonal antibody Ki-67	MKI67	-0.31	5.00E-05	1.00E-02	-0.29	6.00E-04
213008_at		KIAA1794	-0.31	5.00E-05	1.00E-02	-0.31
202589_at	thymidylate synthetase	TYMS	-0.31	5.00E-05	1.00E-02	-0.26	2.00E-03
200743_s_at	tripeptidyl peptidase I	TPP1	0.31	6.00E-05	1.00E-02	0.39	3.00E-06
205436_s_at	H2A histone family, member X	H2AFX	-0.31	6.00E-05	1.00E-02	-0.33	1.00E-04
216834_at	regulator of G-protein signalling 1	RGS1	0.31	6.00E-05	1.00E-02	0.26	2.00E-03
204192_at	CD37 antigen	CD37	0.31	7.00E-05	1.00E-02	0.38	7.00E-06
