Probe Set	Unigene acc. No.	Gene symbol	Gene	Fold Change	log2 Fold Change	std	p_value	lower cl	upper cl	Detection call
98398_s_at	Mm.3333	Apobec1	apolipoprotein B editing complex 1	-2.89	-1.53	0.12	0	-1.91	-1.15	PP PPP
97887_at	Mm.28394	Apoc2	apolipoprotein C-II	-2.19	-1.13	0.13	0	-1.55	-0.71	PP PPP
93592_at	Mm.2082	Apod	apolipoprotein D	-1.72	-0.78	0.13	0.01	-1.21	-0.36	PP PPA
95356_at	Mm.168157	Apoe	apolipoprotein E	-58.35	-5.87	0.17	0	-6.42	-5.32	PP PPP
93063_at	Mm.131766	App	amyloid beta (A4) precursor protein	-4.4	-2.14	0.09	0	-2.43	-1.85	PP PPP
93282_at	Mm.1786	Aprt	adenine phosphoribosyl transferase	-2.45	-1.3	0.17	0.01	-1.85	-0.74	PP PPP
104328_at	Mm.22477	Aqp9	aquaporin 9	17.73	4.15	0.21	0	3.48	4.82	PP PPA
104549_at	Mm.2545	Aqr	aquarius	2.33	1.22	0.09	0	0.93	1.5	PP PPP
101213_at	Mm.5286	Arbp	acidic ribosomal phosphoprotein P0	2.69	1.43	0.08	0	1.16	1.7	PP PPP
160082_s_at	Mm.1486	Arf4	ADP-ribosylation factor 4	1.55	0.63	0.09	0.01	0.35	0.91	PP PPP
101866_at	Mm.87720	Arfrp1	ADP-ribosylation factor related protein 1	1.98	0.99	0.09	0	0.71	1.27	PP PPP
101112_g_at	Mm.757	Arha	ras homolog gene family, member A	-1.61	-0.68	0.06	0	-0.88	-0.49	PP PPP
101030_at	Mm.687	Arhb	ras homolog gene family, member AB	-11.26	-3.49	0.26	0	-4.32	-2.67	PP PPP
96056_at	Mm.262	Arhc	ras homolog gene family, member C	-3.02	-1.59	0.09	0	-1.87	-1.31	PP PPP
96360_at	Mm.30016	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha	-1.54	-0.62	0.1	0.01	-0.95	-0.29	PP PPP
94258_at	Mm.2241	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	2.26	1.18	0.12	0	0.79	1.56	PP PPP
98001_at	Mm.3181	Arhgef1	Rho guanine nucleotide exchange factor (GEF) 1	-1.71	-0.78	0.09	0	-1.07	-0.49	PP PPP
98434_at	Mm.3439	Arhgef7	Rho guanine nucleotide exchange factor (GEF7)	1.66	0.73	0.12	0.01	0.34	1.13	PP PPP
95438_at	Mm.255377	Arht1	ras homolog gene family, member T1	1.8	0.85	0.09	0	0.56	1.14	PP PPP
104046_at	Mm.200649	Arih1	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)	2.56	1.36	0.13	0	0.95	1.77	PP PPP
95563_at	Mm.200649	Arih1	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)	2.11	1.08	0.11	0	0.72	1.43	PP PPP
98084_at	Mm.139700	Arl2bp	ADP-ribosylation factor-like 2 binding protein	-2.02	-1.02	0.12	0	-1.41	-0.63	PP PPP
95749_at	Mm.29778	Armet	arginine-rich, mutated in early stage tumors	4.07	2.03	0.12	0	1.66	2.4	PP PPP
92529_s_at	Mm.4316	Arnt	aryl hydrocarbon receptor nuclear translocator	-1.81	-0.85	0.18	0.02	-1.44	-0.27	PP PPP
96357_at	Mm.30010	Arpc1b	actin related protein 2/3 complex, subunit 1B	-1.73	-0.79	0.16	0.02	-1.3	-0.28	PP PPP
95434_at	Mm.24498	Arpc3	actin related protein 2/3 complex, subunit 3	-1.65	-0.72	0.1	0.01	-1.04	-0.4	PP PPP
97273_at	Mm.27932	Ars2-pending	arsenate resistance protein 2	4.7	2.23	0.12	0	1.86	2.61	PP PPP
100931_at	Mm.620	Arsa	arylsulfatase A	-1.88	-0.91	0.12	0	-1.29	-0.53	PP PPP
104629_at	Mm.24331	Asb3	ankyrin repeat and SOCS box-containing protein 3	1.51	0.59	0.08	0.01	0.33	0.86	PP PPP
98914_at	Mm.28606	Asf1a	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	3.43	1.78	0.16	0	1.28	2.28	PP PPA
97364_at	Mm.29680	Asf1b	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	3.26	1.71	0.15	0	1.22	2.19	PP PPA
103763_at	Mm.130752	Ash1l	ash1 (absent, small, or homeotic)-like (Drosophila)	1.81	0.86	0.11	0	0.51	1.2	PP PPA
95133_at	Mm.2942	Asns	asparagine synthetase	4.3	2.1	0.19	0	1.49	2.71	PP PPP
98455_at	Mm.209903	Atf2	activating transcription factor 2	1.55	0.63	0.11	0.01	0.28	0.98	PP PPA
104155_f_at	Mm.2706	Atf3	activating transcription factor 3	-5.73	-2.52	0.14	0	-2.97	-2.06	PP PPP
104156_r_at	Mm.2706	Atf3	activating transcription factor 3	-4.31	-2.11	0.09	0	-2.39	-1.83	PP PPP
93796_at	Mm.205791	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	-1.65	-0.72	0.14	0.01	-1.18	-0.27	PP PPP
99579_at	Mm.424	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	2.76	1.47	0.06	0	1.26	1.67	PP PPP
162223_f_at	Mm.35134	Atp2a1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	-2.15	-1.11	0.17	0.01	-1.66	-0.56	PP PPP
93403_at	Mm.6306	Atp2a3	ATPase, Ca++ transporting, ubiquitous	-1.66	-0.73	0.13	0.01	-1.13	-0.32	AP APA
100753_at	Mm.4069	Atp5a1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1	1.98	0.99	0.08	0	0.72	1.25	PP PPP
92799_g_at	Mm.12677	Atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	2.91	1.54	0.08	0	1.3	1.79	PP PPP
92800_i_at	Mm.12677	Atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	1.82	0.86	0.12	0.01	0.49	1.23	PP PPP
92798_at	Mm.12677	Atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	2.39	1.26	0.08	0	0.99	1.52	PP PPP
93596_i_at	Mm.20841	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	2	1	0.13	0	0.58	1.42	PP PPP
161487_f_at	Mm.258	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1	2.35	1.23	0.12	0	0.84	1.63	PP PPP
102134_f_at	Mm.10314	Atp5g2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2	1.96	0.97	0.09	0	0.7	1.24	PP PPP
98128_at	Mm.353	Atp5j	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F	2.16	1.11	0.07	0	0.89	1.33	PP PPP
93014_at	Mm.14663	Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	2.75	1.46	0.12	0	1.08	1.84	PP PPP
99128_at	Mm.41	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	2.44	1.29	0.11	0	0.95	1.62	PP PPP
94043_at	Mm.21961	Atp6ip1	ATPase, H+ transporting, lysosomal interacting protein 1	-2.61	-1.39	0.08	0	-1.65	-1.12	PP PPP
96000_at	Mm.20869	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	-2.02	-1.02	0.21	0.02	-1.7	-0.33	PP PPP
96919_at	Mm.30155	Atp6v0c	ATPase, H+ transporting, V0 subunit C	-2.42	-1.28	0.09	0	-1.58	-0.97	PP PPP
92603_at	Mm.1081	Atp6v0d1	ATPase, H+ transporting, V0 subunit D isoform 1	-2.33	-1.22	0.1	0	-1.55	-0.89	PP PPP
94301_at	Mm.22602	Atp6v0e	ATPase, H+ transporting, V0 subunit	-2.1	-1.07	0.09	0	-1.37	-0.77	PP PPP
95745_g_at	Mm.29771	Atp6v1a1	ATPase, H+ transporting, V1 subunit A, isoform 1	-1.65	-0.72	0.07	0	-0.95	-0.5	PP PPP
95746_at	Mm.29771	Atp6v1a1	ATPase, H+ transporting, V1 subunit A, isoform 1	-1.93	-0.95	0.16	0.01	-1.46	-0.44	PP PPP
92598_at	Mm.10727	Atp6v1b2	ATPase, H+ transporting, V1 subunit B, isoform 2	-1.83	-0.87	0.12	0	-1.25	-0.5	PP PPP
160124_r_at	Mm.196502	Atp6v1c1	ATPase, H+ transporting, V1 subunit C, isoform 1	-2.34	-1.22	0.13	0	-1.64	-0.81	PP PPP
94532_at	Mm.29045	Atp6v1e1	ATPase, H+ transporting, V1 subunit E isoform 1	-1.58	-0.66	0.06	0	-0.84	-0.47	PP PPP
95656_i_at	Mm.29541	Atp6v1f	ATPase, H+ transporting, V1 subunit F	3.66	1.87	0.11	0	1.53	2.22	AP APA
96281_at	Mm.29868	Atp6v1g1	ATPase, H+ transporting, V1 subunit G isoform 1	-1.9	-0.93	0.07	0	-1.13	-0.72	PP PPP
93984_at	Mm.2171	Atpi	ATPase inhibitor	2.67	1.42	0.1	0	1.09	1.74	PP PPP
160270_at	Mm.203896	AU043785	expressed sequence AU043785	2.43	1.28	0.11	0	0.94	1.61	PP PPP
98469_at	Mm.3488	Aurkb	aurora kinase B	3.71	1.89	0.19	0	1.29	2.49	PP PPP
102249_at	Mm.10739	Avil	advillin	-1.98	-0.99	0.17	0.01	-1.52	-0.46	PP PPP
102412_at	Mm.12568	AW541137	expressed sequence AW541137	1.85	0.89	0.12	0.01	0.5	1.27	PP PPP
96867_at	Mm.30061	Azgp1	alpha-2-glycoprotein 1, zinc	-4.06	-2.02	0.25	0	-2.81	-1.24	PP PPP
102982_at	Mm.129701	B230308N11Rik	RIKEN cDNA B230308N11 gene	2.17	1.12	0.14	0	0.68	1.55	PP PPA
93088_at	Mm.163	B2m	beta-2 microglobulin	-1.9	-0.92	0.08	0	-1.19	-0.66	PP PPP
102936_at	Mm.26364	B4galt6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	-1.82	-0.87	0.11	0	-1.21	-0.52	PP PPP
92243_at	Mm.211139	B930007L02Rik	RIKEN cDNA B930007L02 gene	2.15	1.1	0.07	0	0.89	1.31	PP PPP
100539_at	Mm.197523	Bach-pending	brain acyl-CoA hydrolase	3.7	1.89	0.19	0	1.28	2.49	PP PPP
95659_at	Mm.29546	Baf53a-pending	BRG1/brm-associated factor 53A	2.33	1.22	0.17	0.01	0.67	1.77	PP PPA
161129_r_at	Mm.129578	Bag2	Bcl2-associated athanogene 2	1.63	0.71	0.11	0.01	0.36	1.06	PP PPP
160962_at	Mm.129578	Bag2	Bcl2-associated athanogene 2	3.54	1.82	0.15	0	1.35	2.3	PP PPP
92528_at	Mm.43133	Bai1	brain-specific angiogenesis inhibitor 1	-1.8	-0.85	0.15	0.01	-1.33	-0.37	PP PPP
103098_at	Mm.197534	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	-2.62	-1.39	0.12	0	-1.76	-1.02	PP PPP
99337_at	Mm.197534	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	-3.06	-1.61	0.19	0	-2.22	-1.01	PP PPP
101105_at	Mm.7508	Banf1	barrier to autointegration factor 1	3.77	1.91	0.06	0	1.71	2.12	PP PPP
95673_s_at	Mm.29586	Basp1	brain abundant, membrane attached signal protein 1	-3.75	-1.91	0.16	0	-2.4	-1.41	PP PPP
95674_r_at	Mm.29586	Basp1	brain abundant, membrane attached signal protein 1	-1.78	-0.83	0.09	0	-1.11	-0.56	PP PPP
160384_at	Mm.30076	Bat1a	HLA-B-associated transcript 1A	3.54	1.82	0.07	0	1.61	2.04	PP PPP
93900_at	Mm.20304	Bat2	HLA-B associated transcript 2	-2.58	-1.37	0.21	0.01	-2.03	-0.7	PP PPP
101854_r_at	Mm.203962	Bat3	HLA-B-associated transcript 3	1.64	0.71	0.08	0	0.45	0.98	PP PPP
93444_at	Mm.6672	Batf	basic leucine zipper transcription factor, ATF-like	-2.14	-1.1	0.18	0.01	-1.68	-0.52	PP PPP
93536_at	Mm.19904	Bax	Bcl2-associated X protein	2.7	1.43	0.12	0	1.06	1.81	PP PPP
103081_at	Mm.40331	Baz1b	bromodomain adjacent to zinc finger domain, 1B	2.55	1.35	0.06	0	1.17	1.53	PP PPP
98509_at	Mm.3584	BC002199	cDNA sequence BC002199	2.46	1.3	0.15	0	0.82	1.78	PP PPP
161677_r_at	Mm.203556	BC003494	cDNA sequence BC003494	-1.47	-0.55	0.07	0.01	-0.79	-0.32	PP PPP
96222_at	Mm.28717	BC003993	cDNA sequence BC003993	-2.25	-1.17	0.23	0.01	-1.89	-0.45	PP PPP
100949_at	Mm.6419	BC004044	cDNA sequence BC004044	-6.37	-2.67	0.19	0	-3.29	-2.05	PP PPP
103212_at	Mm.227167	BC006933	cDNA sequence BC006933	3.33	1.73	0.12	0	1.34	2.13	PP PPP
161641_at	Mm.26783	BC008155	cDNA sequence BC008155	-2.15	-1.11	0.11	0	-1.47	-0.74	PP PPP
95488_at	Mm.25018	BC010304	cDNA sequence BC010304	1.7	0.77	0.08	0	0.5	1.03	PP PPP
160976_at	Mm.195916	BC012974	hypothetical gene supported by BC012974	-2.83	-1.5	0.07	0	-1.74	-1.26	PP PPP
161990_f_at	Mm.195916	BC012974	hypothetical gene supported by BC012974	-1.44	-0.53	0.08	0.01	-0.79	-0.27	PP PPP
96158_at	Mm.28332	BC017133	cDNA sequence BC017133	1.87	0.9	0.13	0.01	0.49	1.31	AP APA
102969_at	Mm.218233	BC023037	cDNA sequence BC023037	1.58	0.66	0.09	0.01	0.36	0.96	PP PPP
96737_at	Mm.28904	BC023106	cDNA sequence BC023106	-1.5	-0.58	0.09	0.01	-0.88	-0.28	PP PPP
104136_at	Mm.22094	BC024558	cDNA sequence BC024558	-1.74	-0.8	0.09	0	-1.07	-0.52	PP PPP
161925_at	Mm.233067	BC024683	cDNA sequence BC024683	-1.85	-0.89	0.16	0.01	-1.4	-0.37	PP PPP
100913_at	Mm.222956	BC026682	cDNA sequence BC026682	-1.71	-0.77	0.15	0.01	-1.24	-0.3	PP PPP
101097_at	Mm.275853	BC028768	cDNA sequence BC028768	1.9	0.93	0.12	0	0.54	1.31	AP APA
104643_at	Mm.31267	BC037006	cDNA sequence BC037006	-1.9	-0.93	0.17	0.01	-1.46	-0.4	PP PPA
92388_at	Mm.4055	BC038311	cDNA sequence BC038311	1.6	0.68	0.11	0.01	0.33	1.02	PP PPP
160876_at	Mm.4236	Bcap29	B-cell receptor-associated protein 29	4.26	2.09	0.16	0	1.57	2.61	PP PPA
93252_at	Mm.17	Bcap31	B-cell receptor-associated protein 31	-1.54	-0.62	0.1	0.01	-0.95	-0.29	PP PPP
98545_at	Mm.36241	Bcap37	B-cell receptor-associated protein 37	4.79	2.26	0.08	0	2.01	2.51	PP PPP
100026_at	Mm.4606	Bcat1	branched chain aminotransferase 1, cytosolic	3.53	1.82	0.21	0	1.15	2.49	PP PPP
100443_at	Mm.24210	Bcat2	branched chain aminotransferase 2, mitochondrial	-1.91	-0.93	0.17	0.01	-1.48	-0.38	PP PPP
