Probe set number	Locuslink number	Gene symbol
37283_at	4330	MN1
37285_at	212	ALAS2
37534_at	1525	CXADR
37544_at	4783	NFIL3
37645_at	969	CD69
37888_at	23169	UGTREL7
37944_at	2643	GCH1
37984_s_at	382	ARF6
38276_at	4794	NFKBIE
38278_at	10865	MRF-1
38315_at	8854	ALDH1A2
38325_at	9562	MINPP1
38326_at	50486	G0S2
38336_at	23150	KIAA1013
38354_at	1051	CEBPB
38355_at	8653	DBY
38364_at	11050	BCE-1
38642_at	214	ALCAM
38717_at	25840	DKFZP586A0522
38994_at	8835	STATI2
39003_at	754	PTTG1IP
39077_at	10589	DRAP1
39331_at	7280	TUBB
39338_at	6281	S100A10
39411_at	25976	DKFZP434J214
39724_s_at	8454	CUL1
39728_at	10437	IFI30
39729_at	7001	PRDX2
39736_at	998	CDC42
39759_at	9444	QKI
40082_at	2180	FACL2
40091_at	604	BCL6
40153_at	6890	TAP1
40454_at	2195	FAT
40516_at	196	AHR
40775_at	9452	ITM2A
40780_at	1488	CTBP2
40790_at	8553	BHLHB2
40814_at	3423	IDS
41191_at	23022	KIAA0992
41193_at	1848	DUSP6
41215_s_at	3398	ID2
41225_at	1845	DUSP3
41723_s_at	3123	HLA-DRB1
41767_r_at	23015	GOLGIN-67
32184_at	4005	LMO2
32227_at	5552	PRG1
32249_at	3078	HFL1
32860_g_at	6772	STAT1
33338_at	6772	STAT1
33369_at	6307	SC4MOL
33386_at	3005	H1F0
33412_at	3956	LGALS1
33439_at	6935	TCF8
33848_r_at	1027	CDKN1B
33891_at	25932	CLIC4
33924_at	23258	RAB6IP1
34308_at	8334	H2AFL
34378_at	123	ADFP
34383_at	7398	USP1
34782_at	3720	JMJ
34818_at	2119	ETV5
34850_at	10477	UBE2E3
34875_r_at	9821	RB1CC1
35277_at	10418	SPON1
35831_at	10079	ATP9A
36103_at	6348	CCL3
36155_at	9806	KIAA0275
36575_at	5996	RGS1
36617_at	3397	ID1
36618_g_at	3397	ID1
36630_at	1831	DSIPI
36635_at	23200	ATP11B
36650_at	894	CCND2
36669_at	2354	FOSB
36937_s_at	9124	PDLIM1
36943_r_at	5325	PLAGL1
36979_at	6515	SLC2A3
37006_at	10569	SLU7
37014_at	4599	MX1
37021_at	1512	CTSH
37027_at	195	AHNAK
37043_at	1870	E2F2
37343_at	3710	ITPR3
37393_at	3280	HRY
37403_at	301	ANXA1
37405_at	8991	SELENBP1
37409_at	6733	SRPK2
37695_at	9781	UBCE7IP4
37701_at	5997	RGS2
37716_at	4345	MOX2
37724_at	4609	MYC
37732_at	23429	RYBP
38035_at	9107	MTMR6
38042_at	2539	G6PD
38051_at	4118	MAL
38087_s_at	6275	S100A4
38096_f_at	3115	HLA-DPB1
38374_at	7071
38739_at	2114	ETS2
38750_at	4854	NOTCH3
38843_at	10042	HMG2L1
39182_at	2014	EMP3
39827_at	54541	RTP801
39829_at	10123	ARL7
39839_at	8531	CSDA
39873_at	5128	PCTK2
39878_at	5101	PCDH9
39908_at	10629	TAF6L
40165_at	64061	SE20-4
40215_at	7357	UGCG
40631_at	10140	TOB1
40888_f_at	1915	EEF1A1
40954_at	486	FXYD2
40992_s_at	8819	SAP30
41246_at	10292	TNRC3
41266_at	3655	ITGA6
41356_at	1875	E2F5
41504_s_at	4094	MAF
41544_at	10769	SNK
41577_at	26051	PPP1R16B
41819_at	2533	FYB
32542_at	2273	FHL1
32570_at	3248	HPGD
32609_at	8337	H2AFO
32616_at	4067	LYN
2062_at	3490	IGFBP7
2057_g_at	2260	FGFR1
2036_s_at	960	CD44
1973_s_at	4609	MYC
2094_s_at	2353	FOS
1915_s_at	2353	FOS
1916_s_at	2353	FOS
1809_at	8317	CDC7L1
1717_s_at	330	BIRC3
1633_g_at	11040	PIM2
1575_at	5243	ABCB1
1519_at	2114	ETS2
1478_at	3702	ITK
1479_g_at	3702	ITK
1452_at	8543	LMO4
1402_at	4067	LYN
1403_s_at	6352	CCL5
1405_i_at	6352	CCL5
35372_r_at	3576	IL8
1369_s_at	3576	IL8
1370_at	3575	IL7R
1292_at	1844	DUSP2
1211_s_at	8738	CRADD
1213_at	6733	SRPK2
1150_at	5791	PTPRE
1118_at	5734	PTGER4
1104_s_at	3303	HSPA1A
32793_at	6957	TRB@
32794_g_at	6957	TRB@
1105_s_at	6957	TRB@
432_s_at	6955	TRA@
1106_s_at	6955	TRA@
1110_at	6964	TRD@
1115_at	5196	PF4
1065_at	2322	FLT3
1005_at	1843	DUSP1
946_at	6993	TCTEL1
873_at	3202	HOXA5
753_at	22795	NID2
717_at	28951	GS3955
572_at	7272	TTK
558_at	3848	KRT1
478_g_at	3663	IRF5
404_at	3566	IL4R
315_at	51357	PRDM2
316_g_at	51357	PRDM2
296_at	7280	TUBB
297_g_at	7280	TUBB
307_at	240	ALOX5
286_at	8337	H2AFO
287_at	467	ATF3
245_at	6402	SELL
182_at	3710	ITPR3
160_at	8027	STAM
106_at	864	RUNX3
35842_at	NA
41188_at	NA
32855_at	NA
41747_s_at	NA
37242_at	NA
37641_at	NA
38262_at	NA
39698_at	NA
40428_i_at	NA
40487_at	NA
40767_at	NA
31449_at	NA
41690_at	NA
35663_at	NA
31525_s_at	NA
32926_at	NA
35961_at	NA
36227_at	NA
37420_i_at	NA
37842_at	NA
37861_at	NA
38567_at	NA
36398_at	NA
36412_s_at	NA
32323_at	NA
37707_i_at	NA
37009_at	NA
38446_at	NA
37747_at	NA
1126_s_at	NA
32878_f_at	NA
