SAM_probes	Gene Symbol	Description
222503_s_at	WDR41	MLL translocation-related probes
203819_s_at	IGF2BP3	MLL translocation-related probes
220202_s_at	RC3H2	MLL translocation-related probes
201850_at	CAPG	MLL translocation-related probes
1554747_a_at	39693	MLL translocation-related probes
224311_s_at	CAB39	MLL translocation-related probes
227776_at	NA	MLL translocation-related probes
210978_s_at	TAGLN2	MLL translocation-related probes
1569830_at	PTPRC	MLL translocation-related probes
228520_s_at	APLP2	MLL translocation-related probes
1566342_at	SOD2	MLL translocation-related probes
225204_at	PPTC7	MLL translocation-related probes
200778_s_at	39693	MLL translocation-related probes
211067_s_at	GAS7	MLL translocation-related probes
209970_x_at	CASP1	MLL translocation-related probes
213274_s_at	CTSB	MLL translocation-related probes
230207_s_at	DOCK5	MLL translocation-related probes
219079_at	CYB5R4	MLL translocation-related probes
207968_s_at	MEF2C	MLL translocation-related probes
1562194_at	ZEB2	MLL translocation-related probes
230000_at	RNF213	MLL translocation-related probes
205425_at	HIP1	MLL translocation-related probes
213915_at	NKG7	MLL translocation-related probes
205798_at	IL7R	MLL translocation-related probes
212459_x_at	SUCLG2	MLL translocation-related probes
209536_s_at	EHD4	MLL translocation-related probes
223032_x_at	PRELID1	MLL translocation-related probes
218217_at	SCPEP1	MLL translocation-related probes
203769_s_at	STS	MLL translocation-related probes
210872_x_at	GAS7	MLL translocation-related probes
1557910_at	HSP90AB1	MLL translocation-related probes
201044_x_at	DUSP1	MLL translocation-related probes
210754_s_at	LYN	MLL translocation-related probes
222458_s_at	C1orf108	MLL translocation-related probes
230206_at	DOCK5	MLL translocation-related probes
201835_s_at	PRKAB1	MLL translocation-related probes
237062_at	RNF10	MLL translocation-related probes
202453_s_at	GTF2H1	MLL translocation-related probes
208130_s_at	TBXAS1	MLL translocation-related probes
215772_x_at	SUCLG2	MLL translocation-related probes
225604_s_at	C9orf19	MLL translocation-related probes
225127_at	TMEM181	MLL translocation-related probes
57540_at	BRE	MLL translocation-related probes
1555730_a_at	CFL1	MLL translocation-related probes
209535_s_at	NA	MLL translocation-related probes
203132_at	RB1	MLL translocation-related probes
203561_at	FCGR2A	MLL translocation-related probes
225785_at	REEP3	MLL translocation-related probes
208875_s_at	PAK2	MLL translocation-related probes
1564053_a_at	YTHDF3	MLL translocation-related probes
220199_s_at	C1orf80	MLL translocation-related probes
244546_at	CYCS	MLL translocation-related probes
230264_s_at	AP1S2	MLL translocation-related probes
200782_at	ANXA5	MLL translocation-related probes
242776_at	ZCCHC6	MLL translocation-related probes
220038_at	SGK3	MLL translocation-related probes
208908_s_at	CAST	MLL translocation-related probes
1553678_a_at	ITGB1	MLL translocation-related probes
216591_s_at	SDHC	MLL translocation-related probes
233510_s_at	PARVG	MLL translocation-related probes
201444_s_at	ATP6AP2	MLL translocation-related probes
207467_x_at	CAST	MLL translocation-related probes
1555814_a_at	RHOA	MLL translocation-related probes
219015_s_at	ALG13	MLL translocation-related probes
218013_x_at	DCTN4	MLL translocation-related probes
200742_s_at	TPP1	MLL translocation-related probes
213241_at	PLXNC1	MLL translocation-related probes
225805_at	HNRNPU	MLL translocation-related probes
243857_at	MORF4L2	MLL translocation-related probes
1552264_a_at	MAPK1	MLL translocation-related probes
214511_x_at	FCGR1B	MLL translocation-related probes
242617_at	TMED8	MLL translocation-related probes
223978_s_at	CRLS1	MLL translocation-related probes
242714_at	NA	MLL translocation-related probes
1557411_s_at	SLC25A43	MLL translocation-related probes
229629_at	NA	MLL translocation-related probes
218542_at	CEP55	MLL translocation-related probes
221218_s_at	TPK1	MLL translocation-related probes
218196_at	OSTM1	MLL translocation-related probes
1552703_s_at	COP1	MLL translocation-related probes
224996_at	RLBP1L1	MLL translocation-related probes
1554600_s_at	LMNA	MLL translocation-related probes
214531_s_at	SNX1	MLL translocation-related probes
228654_at	SPIN4	MLL translocation-related probes
235198_at	OSTM1	MLL translocation-related probes
227405_s_at	FZD8	MLL translocation-related probes
227646_at	EBF1	Phenotype-related probes
39318_at	TCL1A	Phenotype-related probes
209995_s_at	TCL1A	Phenotype-related probes
205267_at	POU2AF1	Phenotype-related probes
1566363_at	DNTT	Phenotype-related probes
210487_at	DNTT	Phenotype-related probes
229487_at	EBF1	Phenotype-related probes
207655_s_at	BLNK	Phenotype-related probes
220068_at	VPREB3	Phenotype-related probes
233261_at	EBF1	Phenotype-related probes
221969_at	PAX5	Phenotype-related probes
232204_at	EBF1	Phenotype-related probes
206398_s_at	CD19	Phenotype-related probes
214761_at	ZNF423	Phenotype-related probes
221349_at	VPREB1	Phenotype-related probes
206001_at	NPY	Phenotype-related probes
212012_at	PXDN	Phenotype-related probes
212827_at	IGHM	Phenotype-related probes
244876_at	EBF1	Phenotype-related probes
209374_s_at	IGHM	Phenotype-related probes
221558_s_at	LEF1	Phenotype-related probes
230983_at	FAM129C	Phenotype-related probes
1555779_a_at	CD79A	Phenotype-related probes
206591_at	RAG1	Phenotype-related probes
205049_s_at	CD79A	Phenotype-related probes
1556543_at	ZCCHC7	Phenotype-related probes
206255_at	BLK	Phenotype-related probes
226496_at	ZCCHC7	Phenotype-related probes
1563209_a_at	MACROD2	Phenotype-related probes
203372_s_at	SOCS2	Phenotype-related probes
244280_at	MAGED4B	Phenotype-related probes
235278_at	MACROD2	Phenotype-related probes
229114_at	NA	Phenotype-related probes
203373_at	SOCS2	Phenotype-related probes
205297_s_at	CD79B	Phenotype-related probes
209101_at	CTGF	Phenotype-related probes
243362_s_at	LOC641518	Phenotype-related probes
220359_s_at	ARPP-21	Phenotype-related probes
215925_s_at	CD72	Phenotype-related probes
207030_s_at	CSRP2	Phenotype-related probes
227766_at	LIG4	Phenotype-related probes
208650_s_at	CD24	Phenotype-related probes
204581_at	CD22	Phenotype-related probes
212599_at	AUTS2	Phenotype-related probes
241505_at	NA	Phenotype-related probes
219667_s_at	BANK1	Phenotype-related probes
208302_at	HMHB1	Phenotype-related probes
239214_at	NA	Phenotype-related probes
220448_at	KCNK12	Phenotype-related probes
266_s_at	CD24	Phenotype-related probes
208370_s_at	RCAN1	Phenotype-related probes
32541_at	PPP3CC	Phenotype-related probes
226632_at	CYGB	Phenotype-related probes
203556_at	ZHX2	Phenotype-related probes
207000_s_at	PPP3CC	Phenotype-related probes
203354_s_at	PSD3	Phenotype-related probes
204698_at	ISG20	Phenotype-related probes
202551_s_at	CRIM1	Phenotype-related probes
1556599_s_at	ARPP-21	Phenotype-related probes
1558662_s_at	BANK1	Phenotype-related probes
226878_at	HLA-DOA	Phenotype-related probes
208651_x_at	CD24	Phenotype-related probes
210948_s_at	LEF1	Phenotype-related probes
231935_at	ARPP-21	Phenotype-related probes
216379_x_at	CD24	Phenotype-related probes
38521_at	CD22	Phenotype-related probes
203796_s_at	BCL7A	Phenotype-related probes
226002_at	GAB1	Phenotype-related probes
33304_at	ISG20	Phenotype-related probes
209771_x_at	CD24	Phenotype-related probes
202552_s_at	CRIM1	Phenotype-related probes
201540_at	FHL1	Phenotype-related probes
213618_at	CENTD1	Phenotype-related probes
239278_at	NA	Phenotype-related probes
225998_at	GAB1	Phenotype-related probes
222915_s_at	BANK1	Phenotype-related probes
223565_at	MGC29506	Phenotype-related probes
209574_s_at	C18orf1	Phenotype-related probes
232431_at	NR3C1	Phenotype-related probes
1557030_at	GAB1	Phenotype-related probes
226218_at	IL7R	Phenotype-related probes
221286_s_at	MGC29506	Phenotype-related probes
229513_at	STRBP	Phenotype-related probes
204215_at	C7orf23	Phenotype-related probes
239328_at	RCSD1	Phenotype-related probes
219753_at	STAG3	Phenotype-related probes
203795_s_at	BCL7A	Phenotype-related probes
228698_at	PINX1	Phenotype-related probes
201677_at	C3orf37	Phenotype-related probes
224759_s_at	C12orf23	Phenotype-related probes
213674_x_at	IGHG1	Phenotype-related probes
242551_at	C18orf1	Phenotype-related probes
201792_at	AEBP1	Phenotype-related probes
1553369_at	FAM129C	Phenotype-related probes
242672_at	RFTN1	Phenotype-related probes
225019_at	CAMK2D	Phenotype-related probes
222891_s_at	BCL11A	Phenotype-related probes
225619_at	SLAIN1	Phenotype-related probes
222150_s_at		Phenotype-related probes
209153_s_at	TCF3	Phenotype-related probes
216321_s_at	NR3C1	Phenotype-related probes
229790_at	TERF2	Phenotype-related probes
236099_at	NA	Phenotype-related probes
1559315_s_at	LOC144481	Phenotype-related probes
221773_at	ELK3	Phenotype-related probes
213142_x_at		Phenotype-related probes
227432_s_at	INSR	Phenotype-related probes
225655_at	UHRF1	Phenotype-related probes
226485_at	NA	Phenotype-related probes
212956_at	TBC1D9	Phenotype-related probes
217979_at	TSPAN13	Phenotype-related probes
219563_at	C14orf139	Phenotype-related probes
219498_s_at	BCL11A	Phenotype-related probes
223732_at	SLC23A1	Phenotype-related probes
216620_s_at	ARHGEF10	Phenotype-related probes
201866_s_at	NR3C1	Phenotype-related probes
211126_s_at	CSRP2	Phenotype-related probes
236198_at	NA	Phenotype-related probes
1566428_at	PAX5	Phenotype-related probes
238587_at	UBASH3B	Phenotype-related probes
211671_s_at	NR3C1	Phenotype-related probes
219497_s_at	BCL11A	Phenotype-related probes
204083_s_at	TPM2	Phenotype-related probes
228976_at	ICOSLG	Phenotype-related probes
1563392_at	ERG	Phenotype-related probes
1559078_at	BCL11A	Phenotype-related probes
201678_s_at	C3orf37	Phenotype-related probes
217422_s_at	CD22	Phenotype-related probes
207996_s_at	C18orf1	Phenotype-related probes
228359_at	UBASH3B	Phenotype-related probes
227407_at	TAPT1	Phenotype-related probes
231944_at	ERO1LB	Phenotype-related probes
227551_at	FAM108B1	Phenotype-related probes
201865_x_at	NR3C1	Phenotype-related probes
210450_at	LOC90925	Phenotype-related probes
1556598_at	ARPP-21	Phenotype-related probes
226101_at	PRKCE	Phenotype-related probes
209282_at	PRKD2	Phenotype-related probes
209170_s_at	GPM6B	Phenotype-related probes
220285_at	FAM108B1	Phenotype-related probes
218589_at	P2RY5	Phenotype-related probes
209152_s_at	TCF3	Phenotype-related probes
241926_s_at	ERG	Phenotype-related probes
205798_at	IL7R	Phenotype-related probes
244592_at	FLI1	Phenotype-related probes
208623_s_at	EZR	Phenotype-related probes
234032_at	ZCCHC7	Phenotype-related probes
1563473_at	PPP1R16B	Phenotype-related probes
1561737_at	NA	Phenotype-related probes
239742_at	TULP4	Phenotype-related probes
1559221_at	NA	Phenotype-related probes
231793_s_at	CAMK2D	Phenotype-related probes
208965_s_at	IFI16	Phenotype-related probes
230405_at	LOC441108	Phenotype-related probes
1566362_at	DNTT	Phenotype-related probes
213541_s_at	ERG	Phenotype-related probes
229002_at	FAM69B	Phenotype-related probes
224910_at	CARHSP1	Phenotype-related probes
210776_x_at	TCF3	Phenotype-related probes
226735_at	TAPT1	Phenotype-related probes
224609_at	SLC44A2	Phenotype-related probes
238462_at	UBASH3B	Phenotype-related probes
1561690_at	SSBP2	Phenotype-related probes
228555_at	CAMK2D	Phenotype-related probes
233138_at	C18orf1	Phenotype-related probes
215117_at	RAG2	Phenotype-related probes
38269_at	PRKD2	Phenotype-related probes
226244_at	CLEC14A	Phenotype-related probes
213811_x_at	TCF3	Phenotype-related probes
213016_at	NA	Phenotype-related probes
221011_s_at	LBH	Phenotype-related probes
209167_at	GPM6B	Phenotype-related probes
242572_at	GAB1	Phenotype-related probes
204759_at	RCBTB2	Phenotype-related probes
242028_at	NA	Phenotype-related probes
202786_at	STK39	Phenotype-related probes
226100_at	MLL5	Phenotype-related probes
1564310_a_at	PARP15	Phenotype-related probes
212646_at	RFTN1	Phenotype-related probes
204286_s_at	PMAIP1	Phenotype-related probes
208966_x_at	IFI16	Phenotype-related probes
206059_at	ZNF91	Phenotype-related probes
205463_s_at	PDGFA	Phenotype-related probes
220588_at	BCAS4	Phenotype-related probes
206332_s_at	IFI16	Phenotype-related probes
225784_s_at	KIAA1166	Phenotype-related probes
213256_at	39510	Phenotype-related probes
239393_at	PAN3	Phenotype-related probes
230015_at	PRCD	Phenotype-related probes
208657_s_at	39700	Phenotype-related probes
243521_at	NA	Phenotype-related probes
201161_s_at	CSDA	Phenotype-related probes
1553145_at	FLJ39653	Phenotype-related probes
230332_at	ZCCHC7	Phenotype-related probes
225240_s_at	MSI2	Phenotype-related probes
223246_s_at	STRBP	Phenotype-related probes
228333_at	NA	Phenotype-related probes
202911_at	MSH6	Phenotype-related probes
204951_at	RHOH	Phenotype-related probes
204285_s_at	PMAIP1	Phenotype-related probes
208328_s_at	MEF2A	Phenotype-related probes
204604_at	PFTK1	Phenotype-related probes
225763_at	RCSD1	Phenotype-related probes
239571_at	MEF2A	Phenotype-related probes
223397_s_at	NIP7	Phenotype-related probes
226545_at	CD109	Phenotype-related probes
220012_at	ERO1LB	Phenotype-related probes
201485_s_at	RCN2	Phenotype-related probes
210829_s_at	SSBP2	Phenotype-related probes
230795_at	NA	Phenotype-related probes
227405_s_at	FZD8	Phenotype-related probes
203206_at	FAM53B	Phenotype-related probes
238071_at	LCN10	Phenotype-related probes
229830_at	NA	Phenotype-related probes
203787_at	SSBP2	Phenotype-related probes
1564276_at	LOC441108	Phenotype-related probes
209582_s_at	CD200	Phenotype-related probes
235061_at	PPM1K	Phenotype-related probes
209679_s_at	LOC57228	Phenotype-related probes
1568795_at	NA	Phenotype-related probes
229202_at	NA	Phenotype-related probes
242665_at	FMNL2	Phenotype-related probes
201669_s_at	MARCKS	Phenotype-related probes
227408_s_at	SNX25	Phenotype-related probes
212906_at	GRAMD1B	Phenotype-related probes
226134_s_at	NA	Phenotype-related probes
242110_at	ARHGAP5	Phenotype-related probes
211450_s_at	MSH6	Phenotype-related probes
243365_s_at	AUTS2	Phenotype-related probes
206147_x_at	SCML2	Phenotype-related probes
201015_s_at	JUP	Phenotype-related probes
244261_at	IL28RA	Phenotype-related probes
243363_at	LOC641518	Phenotype-related probes
203386_at	TBC1D4	Phenotype-related probes
219031_s_at	NIP7	Phenotype-related probes
224994_at	CAMK2D	Phenotype-related probes
243010_at	MSI2	Phenotype-related probes
238798_at	TAPT1	Phenotype-related probes
212535_at	MEF2A	Phenotype-related probes
222116_s_at	TBC1D16	Phenotype-related probes
232539_at	NA	Phenotype-related probes
220137_at	FLJ20674	Phenotype-related probes
209169_at	GPM6B	Phenotype-related probes
236149_at	THOC3	Phenotype-related probes
204462_s_at	SLC16A2	Phenotype-related probes
237594_at	MSI2	Phenotype-related probes
204165_at	WASF1	Phenotype-related probes
223245_at	STRBP	Phenotype-related probes
203999_at	SYT1	Phenotype-related probes
225237_s_at	MSI2	Phenotype-related probes
225569_at	EIF2C2	Phenotype-related probes
210852_s_at	AASS	Phenotype-related probes
